[00:00:00.782 --> 00:00:04.684]  This is a Monday evening emergency broadcast.
[00:07:20.725 --> 00:07:27.131]  I was talking to Eddie today, some in text messages, and he's not sure whether or not he's going to end up having to leave.
[00:07:27.171 --> 00:07:35.500]  He sure hopes he isn't, but he's getting ready for that, and he's got a lot of family and a lot of businesses and a lot of roots in Southern California, and I get it.
[00:07:36.140 --> 00:07:37.442]  But he understands what's happening.
[00:07:37.902 --> 00:07:43.608]  Paul Watson, friend of mine, known the guy 19 years, I guess since 2001, yeah, 20 years.
[00:07:47.372 --> 00:07:59.118]  I said, you watch, it's going to come back, it's going to be permanent, it's going to be an ID on the phone, and I talked to Paul today and he's like, well, I got a year lease on my condo, my apartment, and I'll just have to fight it here.
[00:07:59.899 --> 00:08:12.306]  And maybe he's right, maybe that's the thing to do, but this is diabolical, this is a plan, and only having zero compliance with it is going to stop it.
[00:08:12.646 --> 00:08:14.067]  And a lot of you are probably saying,
[00:08:14.892 --> 00:08:16.273]  Well, so what?
[00:08:16.353 --> 00:08:23.480]  I'll just take the shot and I'll just carry a phone around and I'll just let them scan me to go in the grocery store or the shopping mall or for my car to start.
[00:08:23.880 --> 00:08:32.088]  I want to explain to you, after we cover these articles, where they're going to take you if you submit to that because this is just the doorway to tyranny.
[00:08:32.288 --> 00:08:34.990]  I want to tell you what's down those stairs and in that dungeon.
[00:08:35.651 --> 00:08:42.016]  So whether you believe in the Bible and the devil and God, corruption and oppressive forces believe in you.
[00:08:42.757 --> 00:08:55.609]  And if they could ever have an ID system to make you submit to them and make you politically be aligned with them to be able to buy and sell, they would have complete control over every facet of your life.
[00:08:56.129 --> 00:09:03.016]  For thousands of years in every culture and every society, governments would try to control the money and control the people and control culture.
[00:09:03.436 --> 00:09:04.277]  Every time they did it,
[00:09:04.793 --> 00:09:10.776]  They would see all sorts of alternate currencies and black markets emerge.
[00:09:11.316 --> 00:09:12.736]  So what were they going to do?
[00:09:13.317 --> 00:09:15.798]  Well, they couldn't do anything because of human nature.
[00:09:16.558 --> 00:09:25.242]  But now with computers, and now with surveillance, and now with control, and now with the tests that have been going on for decades in Communist China, allied with the biggest U.S.
[00:09:25.282 --> 00:09:32.025]  tech companies, they have developed systems of total surveillance and social control over their people.
[00:09:32.845 --> 00:09:42.872]  That is way more sophisticated and evil than what John tried to describe in his vision that became the final book of the Bible, Revelation.
[00:09:44.113 --> 00:09:50.255]  But this social credit rating goes far beyond a traditional credit score, which is based on your finances.
[00:09:50.876 --> 00:09:57.318]  China's version factors in everything from jaywalking, to smoking on trains, to buying too many video games.
[00:09:57.798 --> 00:10:03.681]  If your score gets too low, you can be banned from buying plane tickets, renting a house, or getting a loan.
[00:10:04.321 --> 00:10:11.224]  So now, in late July 2021, we have a corporate governmental authoritarian alliance.
[00:10:12.398 --> 00:10:34.106]  With the Fortune 100, the United Nations, the Communist Chinese, Hollywood, the blue cities, the blue states, the left, all pushing a worldwide ID based on whether or not you've taken experimental injections that the ruling powers at the World Health Organization want you to take.
[00:10:36.027 --> 00:10:37.007]  And so just last week,
[00:10:39.039 --> 00:10:47.669]  We saw Macron, who had promised a year ago and six months ago, no one's going to make you have a medical ID, no one's going to make you have an inoculation to have these apps.
[00:10:48.618 --> 00:10:50.440]  Now they come out and say, yes, we built the apps.
[00:10:50.920 --> 00:10:53.883]  You must have this app on your phone.
[00:10:53.923 --> 00:10:59.769]  We must authorize you to have this app for you to even go to a grocery store or go to a bar or go to your job.
[00:11:00.109 --> 00:11:04.353]  There were massive demonstrations around the country and riots that were legitimate.
[00:11:04.914 --> 00:11:06.836]  And so he, quote, backed off two days ago.
[00:11:06.876 --> 00:11:13.102]  And I said on my Sunday show, I said, watch, he'll come back in a few days and say, actually, I didn't back off.
[00:11:14.397 --> 00:11:15.518]  Here's your prison sentences.
[00:11:15.678 --> 00:11:16.118]  And he did.
[00:11:16.158 --> 00:11:20.961]  He said six years in prison and massive fines.
[00:11:21.001 --> 00:11:22.122]  I'll show you that article in a moment.
[00:11:22.522 --> 00:11:23.863]  So that's how their psychology works.
[00:11:23.983 --> 00:11:25.884]  Every time we oppose them, they back off.
[00:11:26.244 --> 00:11:34.689]  Once we dissipate, they come back again because they know we're emotional instead of being steadfast and not ever backing down.
[00:11:34.849 --> 00:11:41.013]  So on Freedom Day, Boris Johnson announces mandatory vaccine passports.
[00:11:41.533 --> 00:11:42.774]  So they've been telling people
[00:11:43.860 --> 00:11:44.941]  In the UK for a year.
[00:11:45.802 --> 00:11:46.582]  Six months into that.
[00:11:47.043 --> 00:11:48.264]  It's been going on for a year and a half total.
[00:11:49.024 --> 00:12:02.535]  If you will wear your mask, take your injections, do what we say, let us track you, let us control you, let us quarantine you for two weeks when you come back into the country, and do all this crap that politicians and others are exempt from, by the way, they have a program.
[00:12:03.977 --> 00:12:07.279]  And the politicians, of course, don't follow any of it because they're lords and you're slaves.
[00:12:07.940 --> 00:12:08.500]  We're slaves.
[00:12:09.221 --> 00:12:11.423]  He said, we'll then let you go back to being free.
[00:12:12.756 --> 00:12:18.280]  But now he came out today on Freedom Day from a TV screen instead of a press conference.
[00:12:18.940 --> 00:12:23.363]  The elite separating itself from the press, from the people, behind their walls.
[00:12:23.963 --> 00:12:25.384]  We're locked up on lockdown.
[00:12:25.684 --> 00:12:29.827]  He's God knows where in the world at some palatial giant estate.
[00:12:31.028 --> 00:12:35.291]  That's what big tech, that's what the big bankers, that's what the royalty are doing.
[00:12:35.571 --> 00:12:36.792]  They're at giant estates.
[00:12:37.674 --> 00:12:42.676]  Completely free, doing whatever they want all day long, while you're locked in your little coffin apartment.
[00:12:42.976 --> 00:12:53.240]  And here he is, like Emperor Palpatine in Star Wars, onto a screen, wherever he's at, giving his orders to the slaves.
[00:12:53.901 --> 00:13:04.045]  And saying, on Freedom Day, you will no longer be able to have a PCR test, that you have to pay for, hundreds of dollars, to say you don't have COVID-19.
[00:13:05.305 --> 00:13:06.906]  That has now been dispensed with.
[00:13:07.167 --> 00:13:20.938]  You must now take an experimental shot that never got legal authorization in your body that's already caused massive death or you are not allowed to go to the bars or go out to see live music.
[00:13:21.338 --> 00:13:29.886]  And of course you know and they admit the plan is once you accept that, once it's beta tested, then it's the grocery store, then it's a shopping mall, just like Macron said last week.
[00:13:30.566 --> 00:13:33.188]  And again, why are all these countries following the same directives?
[00:13:33.528 --> 00:13:34.849]  Because it's the United Nations.
[00:13:35.189 --> 00:13:46.277]  What the United Nations says, oh, it didn't come from a lab, oh, hydroxychloroquine isn't good, or ivermectin isn't good, or rendezvous isn't good, whatever they say is now the law.
[00:13:46.758 --> 00:13:54.183]  You wake up and you're under United Nations AI control and censorship enforced by governments and big tech.
[00:13:54.743 --> 00:13:59.547]  We need even more young adults to receive a protection
[00:14:00.094 --> 00:14:04.976]  That is of immense benefit to your family and friends and to yourselves.
[00:14:05.417 --> 00:14:15.782]  And so I would remind everybody that some of life's most important pleasures and opportunities are likely to be increasingly dependent on vaccination.
[00:14:16.362 --> 00:14:24.486]  There are already countries that require you already to be double jabbed as a condition of quarantine free travel.
[00:14:25.126 --> 00:14:28.048]  And I'm afraid that list seems likely to grow.
[00:14:28.929 --> 00:14:35.994]  We're also concerned, as they are in other countries, by the continuing risk posed by nightclubs.
[00:14:36.194 --> 00:14:54.786]  I don't want to have to close nightclubs again, as they have elsewhere, but it does mean nightclubs need to do the socially responsible thing and make use of the NHS Covid pass, which shows proof of vaccination, a recent negative test or natural immunity as a means of entry.
[00:14:56.158 --> 00:15:05.261]  As we said last week, we do reserve the right to mandate certification at any point if it's necessary to reduce transmission.
[00:15:05.301 --> 00:15:21.806]  And I should serve notice now that by the end of September, when all over 18s will have had their chance to be double jabbed, we're planning to make full vaccination the condition of entry to nightclubs and other venues where large crowds gather.
[00:15:22.711 --> 00:15:26.353]  Proof of a negative test will no longer be enough.
[00:15:27.554 --> 00:15:36.258]  We want this country to be able to enjoy the fruits of our massive efforts and of our enormous vaccination campaign.
[00:15:37.439 --> 00:15:46.004]  But to do that, we must remain cautious and we must continue to get vaccinated.
[00:15:46.044 --> 00:15:50.286]  And that's why we're asking you to come forward and get your jabs now.
[00:15:51.420 --> 00:15:59.343]  Now, let me stress, we want people to be able to take back their freedoms as they can today.
[00:16:00.723 --> 00:16:03.484]  I'm here to announce your happy Freedom Day.
[00:16:04.365 --> 00:16:16.289]  I'm here to tell you that you're going to have a government ID on your phone, where you have proven that we've been able to put in your body what we want, an experimental injection, or you can't have a job, you can't live, you're going to be put in prison.
[00:16:16.969 --> 00:16:19.510]  Yes, ladies and gentlemen, the Mark of the Beast is here.
[00:16:20.373 --> 00:16:22.295]  These globalists love to rub it in on us.
[00:16:23.156 --> 00:16:31.546]  What did they say in Israel a few months ago when everybody had to wear bracelets that they'd been injected or tracking satellite bracelets that they were on quarantine?
[00:16:31.766 --> 00:16:33.728]  They called them freedom bracelets.
[00:16:34.636 --> 00:16:50.319]  That's like the sign above Auschwitz that says, work will make you free, or what we saw in the fictional idea of a Soviet future in 1984, that war is peace, freedom is slavery, ignorance is intelligence, or whatever the exact lines were.
[00:16:50.939 --> 00:16:59.621]  Here we are seeing the gaslighting in our face when they admit the vaccine isn't protecting you from future COVID variants.
[00:16:59.881 --> 00:17:04.062]  They could never have a cure for that.
[00:17:04.960 --> 00:17:26.645]  But you see, there's always going to be a new cold virus, and so now you're all suspect forever with AI tracking you, with fake PCR tests that are 94% false, dominating your life, making every man, woman and child in the world a suspect criminal, a dirty, horrible thing on the face of the planet, a virus that must be eradicated.
[00:17:26.846 --> 00:17:28.606]  Because the virus is only a metaphor.
[00:17:29.006 --> 00:17:35.829]  With the globalists of humans that are the virus that they say is a virus that must be removed from the earth to save the planet.
[00:17:36.249 --> 00:17:37.990]  They have scripted themselves.
[00:17:38.030 --> 00:17:45.433]  They have cast themselves as the saviors and only after we've been removed can this new utopia begin.
[00:17:46.033 --> 00:17:48.794]  They tell you compliance will get you out of lockdown.
[00:17:49.434 --> 00:17:52.415]  They tell us that compliance will get us out of the mask.
[00:17:52.995 --> 00:17:56.597]  But the more we comply, the worse it gets.
[00:17:57.930 --> 00:18:14.322]  The more we submit, the more demands they issue because we're being held captive by a scientific dictatorship that isn't using the old methods of jet airplanes and fighter bombers and troops and machine guns and tanks.
[00:18:15.270 --> 00:18:19.175]  This is all psychological war and an invisible enemy.
[00:18:19.475 --> 00:18:34.373]  And the supposed helpers, the medical system, through the corporate world and through the UN, is literally coming at us with so-called vaccines that are experimental, that aren't vaccines, that have not been linked but have been conclusively proven.
[00:18:36.288 --> 00:18:36.368]  Yes.
[00:18:52.389 --> 00:19:01.274]  And then there's the corporate media and there's big tech dutifully suppressing all these deaths and medical doctors and nurses and scientists that speak up.
[00:19:01.714 --> 00:19:03.636]  This is all a beta test.
[00:19:04.376 --> 00:19:15.883]  COVID as bad as it's been and the millions starving to death and the lockdowns and the suicides and all the folks that have died from lack of medical treatment while the hospitals sat empty but you still paid your insurance.
[00:19:17.216 --> 00:19:34.792]  That was all a beta test for what's coming if we accept the social credit score, if we accept the vaccine passports, if we let France and the once great UK and all these other areas bully us into adopting the system they're under.
[00:19:35.152 --> 00:19:42.479]  So you look at France, you look at the UK, you look at Australia, and you say screw them, let them labor under the British Crown, let them labor under the New World Order.
[00:19:42.739 --> 00:19:53.405]  But that world government system that came out of Cecil Rhodes 120 years ago, that set up the CFR, set up the New World Order, and the system they're under is already coming here.
[00:19:53.725 --> 00:19:57.667]  So it's England and France under this nightmare, Mark of the Beast today.
[00:19:58.027 --> 00:19:59.428]  It's us within two years.
[00:20:00.108 --> 00:20:02.809]  There is no future now if we don't stop this.
[00:20:03.390 --> 00:20:09.113]  I've studied the Club of Rome, the Bilderberg Group, the Davos Group, the Rockefeller Foundation.
[00:20:09.793 --> 00:20:11.114]  I've studied Bill and Melinda Gates.
[00:20:11.254 --> 00:20:12.314]  I've studied IBM.
[00:20:12.754 --> 00:20:14.655]  I've studied what their goal is and their plan.
[00:20:16.036 --> 00:20:25.440]  They believe that humans will continue to consume until we've hit 20 million people and the whole world collapses in starvation and war.
[00:20:26.261 --> 00:20:32.544]  And so they believe they've got to orchestrate a controlled collapse before that big collapse comes.
[00:20:35.148 --> 00:20:39.391]  They even sold members of my family on that before I was even born.
[00:20:40.372 --> 00:20:50.058]  But I woke up to their master plan, myself and my own research, and I later even convinced members of my family that what they'd been taught was wrong, like my father.
[00:20:50.879 --> 00:21:03.528]  Now, he didn't join them, but he was recruited by them, and he went to UT when he was in high school, part of Plan 2, and after that, and he didn't tell me any of this until 14 years ago when he saw my film, Endgame,
[00:21:04.517 --> 00:21:05.718]  Blueprint for global enslavement.
[00:21:08.921 --> 00:21:09.862]  Before it even came out.
[00:21:10.582 --> 00:21:11.143]  And he saw it.
[00:21:11.183 --> 00:21:15.247]  My mother looked at him in my studio, on a couch, watching it on a big screen TV.
[00:21:17.388 --> 00:21:18.189]  At our old offices.
[00:21:18.610 --> 00:21:19.671]  We moved here 14 years ago.
[00:21:21.352 --> 00:21:22.753]  And she said, David, this can't be true.
[00:21:22.793 --> 00:21:23.774]  And he said, no, it's all true.
[00:21:23.874 --> 00:21:26.817]  I, you know, I went to plan two, you know, I was part of that, you know.
[00:21:28.007 --> 00:21:29.448]  You know, about people who were involved in it.
[00:21:29.468 --> 00:21:32.390]  She goes, yeah, I remember having dinner with the head of the botany department.
[00:21:32.410 --> 00:21:34.212]  I remember some of those people you're talking about.
[00:21:34.792 --> 00:21:38.595]  And he's like, yeah, no, those are the people that tried to recruit me for this world government plan.
[00:21:39.736 --> 00:21:44.400]  And he said, yeah, they would take us when we were in high school and give us a Petri dish.
[00:21:44.640 --> 00:21:48.983]  They do this all over the country with top, top test score kids.
[00:21:49.924 --> 00:21:54.948]  There was six kids out of Texas in the group that were in this group with my dad by the time they were sophomores in high school.
[00:21:56.633 --> 00:22:18.344]  They took Petri dishes that had, I guess, cuters, what they call it, what bacteria grow on, and they would put some bacteria on it and seal it and put it under a lamp where it had heat and show how, over a certain amount of time, the bacteria would eat all of the medium and then eat each other and then the whole thing would be dead, a black, dead mess, within a few weeks.
[00:22:20.245 --> 00:22:24.667]  And they would show them that and they would say, this is what happens if we don't
[00:22:25.672 --> 00:22:27.453]  Set up a world government, depopulate people.
[00:22:28.014 --> 00:22:40.982]  It's a very simple equation, very simple test, but at the same time the experiment certainly got people on board very, very quickly.
[00:22:41.656 --> 00:22:43.878]  And so my dad was not that special.
[00:22:44.318 --> 00:22:50.523]  This was happening to thousands of young people a year across the world who are being inducted into this system.
[00:22:51.203 --> 00:22:54.986]  I separately reverse engineered it and exposed it and fought it myself.
[00:22:55.066 --> 00:22:58.189]  But the point is, we're talking about the real world.
[00:22:58.529 --> 00:23:00.390]  We're talking about what governs the planet.
[00:23:00.650 --> 00:23:02.632]  We're talking about what's going to happen to you and your family.
[00:23:03.072 --> 00:23:08.917]  And so the idea to have the New York Times poo-poo eugenics and poo-poo globalism and the New World Order
[00:23:09.497 --> 00:23:20.183]  While this is the governing system of our planet, is them simply not wanting the general public to be participants in a larger debate about what's actually happening.
[00:23:20.663 --> 00:23:26.606]  And so the system is now establishing a global social credit score tied to your phone.
[00:23:28.106 --> 00:23:47.176]  And then if you're not a good globalist, if you don't submit to the shots they want at the beginning, or the political controls they want, or you don't agree to be publicly sterilized, or you don't agree to send your children for gender reassignment, I mean notice out of the gates they want you to take experimental shots right up front that are all over the news as killing people.
[00:23:49.457 --> 00:23:49.998]  Think about that.
[00:23:50.798 --> 00:23:53.860]  And so imagine up front it's something that horrible,
[00:23:55.180 --> 00:24:00.086]  Imagine what's coming next, because I'll tell you the genius, Klaus Schwab, and whoever's programming him.
[00:24:01.668 --> 00:24:03.570]  They don't talk about utopias anymore.
[00:24:03.850 --> 00:24:05.753]  They don't say world government's going to save the earth.
[00:24:06.013 --> 00:24:08.136]  They don't say it's going to be beautiful puppy dogs and kittens.
[00:24:08.476 --> 00:24:14.083]  He goes, you're going to own nothing, you're going to have nothing, and you're going to like it, and we're going to get rid of humans because humans are bad.
[00:24:15.370 --> 00:24:25.998]  They're not even mincing words because Klaus Schwab wants to scare the intelligentsia and scare all the leftists that signed on to depopulate to save the earth.
[00:24:26.299 --> 00:24:28.561]  They're now realizing they're going to get depopulated too.
[00:24:29.621 --> 00:24:30.782]  So you see, that's the key to this.
[00:24:32.644 --> 00:24:36.046]  Once you sign on to this thing, you have signed on to literal hell.
[00:24:36.527 --> 00:24:38.909]  Once you've devalued your fellow humans,
[00:24:40.785 --> 00:24:45.146]  And said, I've got to get rid of them to save the Earth, but really, because I want their resources, I want to play God.
[00:24:45.966 --> 00:24:56.068]  You've gotten rid of the checks and balances and the chivalry that would have protected you, and you've opened the gates to a literal scientific hell.
[00:24:57.328 --> 00:24:58.949]  So here we are in the middle of 2021.
[00:24:59.029 --> 00:25:00.909]  The future's here.
[00:25:02.049 --> 00:25:06.410]  And world government's being established, and its end game is forced depopulation.
[00:25:07.432 --> 00:25:07.612]  I don't
[00:25:31.206 --> 00:25:34.007]  I got a tumor in the shock point, a tumor under my arm and all my lymph nodes.
[00:25:34.407 --> 00:25:36.967]  I mean, the doctors are like, I've never seen cancer like this.
[00:25:36.987 --> 00:25:37.487]  Get in there now.
[00:25:38.348 --> 00:25:42.209]  And that's the good news is, the doctors are freaking out.
[00:25:42.469 --> 00:25:44.769]  Because they were trained in the tail end of real science.
[00:25:45.329 --> 00:25:47.830]  And they were trained to understand what's going on.
[00:25:47.870 --> 00:25:49.270]  So they see the death happening.
[00:25:49.610 --> 00:25:52.771]  So I open the phones up, just loaded with medical doctors.
[00:25:54.241 --> 00:25:57.582]  And by the way, we call them back and make them send us their ID cards.
[00:25:57.982 --> 00:25:58.823]  And it's real doctors.
[00:25:59.163 --> 00:26:02.684]  Surgeons, cancer doctors, you name it.
[00:26:02.984 --> 00:26:04.024]  We've had a bunch of them on the show.
[00:26:05.085 --> 00:26:07.105]  And they're getting so pissed, they're going to speak out.
[00:26:07.225 --> 00:26:12.907]  So, ladies and gentlemen, this is earth-wrecking, human-wrecking stuff.
[00:26:14.788 --> 00:26:16.329]  I mean, just today I showed like 20 articles.
[00:26:17.790 --> 00:26:23.695]  Where they go, it's pretty normal to grow tumors once you take the Pfizer or Moderna shot, don't worry.
[00:26:24.336 --> 00:26:28.820]  But again, you go to your doctor and they go, holy hell, this is malignant!
[00:26:31.563 --> 00:26:32.764]  And these people are dying!
[00:26:38.143 --> 00:26:40.343]  It looks like what they're giving people is super cancer.
[00:26:41.084 --> 00:26:44.184]  I mean, some of these people are dying of cancer within one month of getting these shots.
[00:26:44.524 --> 00:26:50.165]  You get the shot and every isolated dormant cancer in your body just turns on and you get eaten.
[00:26:51.785 --> 00:26:54.706]  And again, I'm facing the end of my life right now.
[00:26:54.846 --> 00:26:58.887]  I mean, I look at my children, I look at my wife, I look at my friends, I care about everybody.
[00:26:59.327 --> 00:27:01.647]  I mean, folks, this is real.
[00:27:01.687 --> 00:27:02.967]  This isn't me up here just saying this.
[00:27:04.068 --> 00:27:05.408]  I wish to God this wasn't true.
[00:27:06.394 --> 00:27:08.234]  But see, they know how Stockholm Syndrome works.
[00:27:08.814 --> 00:27:15.636]  They know that when you're hit with something this bad, the average person will make excuses and say it's not real because they don't want to face what's happened.
[00:27:15.916 --> 00:27:21.037]  Because there's no real leadership pointing out what's happened and saying no to it, and that's why they've done this.
[00:27:21.257 --> 00:27:23.137]  Because the national media is going to black out.
[00:27:23.257 --> 00:27:28.258]  Anybody saying they died of cancer, anybody died of stroke, anybody died of heart attack, it's so sick.
[00:27:28.598 --> 00:27:34.979]  But that leads us to this next huge, absolutely huge piece of news.
[00:27:37.102 --> 00:27:47.348]  That's why we do this emergency broadcast tonight, not just their announcement of the Mark of the Beast, the global social credit score, and you won't be able to have a job or go to the store unless you have this system on your phone.
[00:27:47.408 --> 00:27:48.549]  I mean, this is so criminal.
[00:27:49.366 --> 00:27:53.507]  To then totally control you once you're under that and make you do more, more, more, more, more.
[00:27:53.687 --> 00:28:00.569]  I mean, my God, I've taken a very dangerous gene therapy injection that makes your body attack itself is the beginning thing you want.
[00:28:01.210 --> 00:28:01.930]  See, they're smart.
[00:28:02.130 --> 00:28:03.650]  They're not even getting you in slow now.
[00:28:03.850 --> 00:28:11.813]  They're making you bow down to hardcore stuff and submit and basically adapt to them saying, give us your children to sacrifice them.
[00:28:13.226 --> 00:28:23.939]  The Babylonians, the Aztecs, the Mayans, the Druids, every culture at one point or another demanded firstborn children to sacrifice.
[00:28:24.960 --> 00:28:28.164]  And now they're about to authorize zero to twelve.
[00:28:30.148 --> 00:28:31.469]  COVID doesn't even affect children.
[00:28:31.489 --> 00:28:34.050]  They admit it, but they say it'll screw and they're going to do it.
[00:28:34.350 --> 00:28:35.570]  And that's kind of them.
[00:28:35.891 --> 00:28:46.455]  The system's kind of holding off to see if we're going to allow this because they want to metaphysically involve us and killing our own children because they convinced us babies aren't humans before they're born, which they are.
[00:28:46.815 --> 00:28:51.938]  That kind of raised the level of control that kind of lowered God's heads of protection.
[00:28:53.458 --> 00:28:54.879]  But if they can convince us,
[00:28:57.017 --> 00:29:05.029]  To let them inject children and then just like with autism, cover up how they're hurt, how they're maimed, how they kill, then they can get away with anything.
[00:29:06.151 --> 00:29:08.174]  So let's hit the second big reason we're doing this.
