[00:00:00.000 --> 00:00:20.000]  [Outro]
[00:02:21.564 --> 00:02:31.772]  But it's the corporate interests that nobody's watching or nobody's looking at that have taken control of really both political parties and are setting up this worldwide great reset technocracy.
[00:02:32.173 --> 00:02:39.919]  And so the big news here, the big takeaway, what we've now learned is that Fiona Hill is a big globalist leftist.
[00:02:40.099 --> 00:02:41.801]  She worked at the newspaper, The Globalist.
[00:02:42.081 --> 00:02:43.302]  That's the name of the newspaper.
[00:02:43.823 --> 00:02:45.263]  She was at the Brookings Institute.
[00:02:45.283 --> 00:02:53.545]  She headed up one of Soros's major foundations and was on the board of his Open Society Foundation, his most powerful lead organization.
[00:02:54.465 --> 00:02:57.906]  And she's connected to MI6, the CIA.
[00:02:58.346 --> 00:03:02.807]  I mean, she really is a political operative, even above the level of spies.
[00:03:03.647 --> 00:03:08.107]  And this woman was brought into the White House very early on in 2017 because Trump was tricked.
[00:03:11.843 --> 00:03:14.848]  Fiona Hill came out in the news and said, I'm a Russia expert!
[00:03:15.806 --> 00:03:21.208]  And even though I'm basically a Democrat, I think that the Russians probably weren't involved in the dossier.
[00:03:21.748 --> 00:03:29.230]  And Trump saw that and his handlers came, or people trying to be his handlers came and said, Mr. President, look, see, she's on your side, bring her in.
[00:03:29.910 --> 00:03:39.513]  And then she brought in McMaster and all the other globalists who then we now know worked as a palace coup against President Trump to block his agenda, to leak this information and the rest is history.
[00:03:39.933 --> 00:03:43.114]  That's how the Russiagate fraud basically took over.
[00:03:43.683 --> 00:03:49.106]  Most of the Trump administration for four years and how they stopped a lot of his agenda of restoring our Republic from going through.
[00:03:49.586 --> 00:03:59.532]  So now we understand why back in 2017, we were already reporting that there were illegal wiretaps against president Trump when he was a candidate.
[00:03:59.772 --> 00:04:03.774]  And then when he was first elected and later that was declassified and confirmed years after we broke it.
[00:04:04.724 --> 00:04:06.085]  And you're probably asking, how do we know that?
[00:04:06.685 --> 00:04:11.167]  Well, there were people in the White House who were patriots, but they were scared.
[00:04:11.748 --> 00:04:19.032]  And they knew that if they brought out the information, that they would probably be put in prison or maybe even killed by this faction.
[00:04:19.752 --> 00:04:25.115]  And they actually shopped the information around to Fox News and others, and no one would touch it.
[00:04:25.135 --> 00:04:26.256]  The Wall Street Journal, you name it.
[00:04:26.676 --> 00:04:28.577]  And so again, it fell to Roger Stone.
[00:04:29.375 --> 00:04:30.115]  And Alex Jones.
[00:04:30.675 --> 00:04:38.277]  And so Roger had high level White House sources known to me, I'm not going to say who obviously, that told him all of this and explained it all to him.
[00:04:39.137 --> 00:04:41.517]  And that's how we were able to bring forward this information.
[00:04:42.017 --> 00:04:58.200]  In fact, even before these individuals were in the White House, before Trump actually even was president elect, we already knew that they were using the Russiagate system to set up a stay behind network of Obama operatives in case Trump won to basically make sure that Trump never got control of the government.
[00:04:58.897 --> 00:05:18.744]  So experiencing this from the inside, we've really learned that there is an ongoing international, multinational, corporate coup of globalism over America and that the information we were covering on air at InfoWars solely was widely known inside the Republican and Democratic parties at the top and widely known in the White House.
[00:05:20.151 --> 00:05:23.756]  Trump's not stupid, but he's very naive when it comes to politics.
[00:05:23.796 --> 00:05:25.338]  He truly had never been in the swamp.
[00:05:25.679 --> 00:05:30.966]  He'd give him lots of political donations for issues and things that he needed to lobby for.
[00:05:31.386 --> 00:05:36.754]  Trump didn't realize that China, yes, is a big threat and our number one threat as a nation state we face.
[00:05:37.274 --> 00:05:38.454]  And their communist ideology.
[00:05:38.854 --> 00:05:58.499]  But it's the globalists that set up China and set up the communists in control of modern China that are the monolithic threat that is five, six, seven times more dangerous if you look at it in the aggregate than China because it's successfully infiltrated and taken over not just most of the government but also most of the major corporations.
[00:05:58.539 --> 00:06:08.120]   So that's why this is such an incredible development to see the Durham indictment and the reports that more indictments are now
[00:06:08.120 --> 00:06:12.210]   coming from very high level Justice Department sources and that it leads right to the top of
[00:06:12.210 --> 00:06:18.681]   the Democratic Party and that what Roger and I were able to do now four plus years ago
[00:06:18.681 --> 00:06:26.920]   was put a major chink in their armor and almost brought down the entire silent palace coup that
[00:06:26.920 --> 00:06:28.040]  was going on.
[00:06:28.270 --> 00:06:30.752]  And we could have derailed Russiagate and the world would be a different place.
[00:06:31.072 --> 00:06:32.994]  Trump wouldn't have had the election stolen.
[00:06:33.594 --> 00:06:35.755]  The United States would have already won the trade war with China.
[00:06:37.016 --> 00:06:42.940]  And America would still be number one when it came to energy exploration and exporting.
[00:06:43.641 --> 00:06:45.402]  Instead now be one of the biggest importers.
[00:06:45.862 --> 00:06:48.144]  And we would not have $4, $5 a gallon gas.
[00:06:48.244 --> 00:06:50.085]  And we would not have the borders totally collapsing.
[00:06:50.495 --> 00:06:51.697]  And just everything we see.
[00:06:52.859 --> 00:06:57.106]  And so in closing, that makes me realize something.
[00:06:57.907 --> 00:07:00.311]  It's not our enemies that made us fail.
[00:07:00.912 --> 00:07:02.034]  It's not even the cowards.
[00:07:03.603 --> 00:07:06.704]  That knew what was going on and wouldn't lift a finger because they were too scared.
[00:07:07.404 --> 00:07:09.625]  It's that I didn't realize how important InfoWars was.
[00:07:10.305 --> 00:07:18.428]  I didn't even realize four or five years ago that our enemies were so weak that just a little bit of exposure came that close to totally bringing them down.
[00:07:18.668 --> 00:07:23.690]  I mean, she got taken out, McMaster got taken out, but they held on for a few years and did irrevocable damage.
[00:07:24.350 --> 00:07:41.740]   And that if we had just known how close we were to defeating them, And if I would have responded to the corporate media, not by defending myself and saying I'm not a Russian agent or things like that, but pointed out this was being done to us, just like WikiLeaks has been persecuted, because we're telling the truth and we're challenging this corrupt system.
[00:07:42.441 --> 00:07:45.743]  And so what happened with InfoWars is really a cautionary tale for everybody.
[00:07:46.343 --> 00:08:21.616]   Especially other independent media out there is you've got to realize how powerful you are You've got to realize how important you are and that just by existing and just by having no good honest reporting You will become a conduit for whistleblowers and people that want to tell the truth But are looking for somebody else out there who will help them get that information out so we're getting a lot of clarity about what happened and now we realize why Fiona Hill was before Congress and While she was on 60 Minutes, CNN, MSNBC, NBC, ABC, saying Alex Jones was getting her death threats and Roger Stone was getting her death threats.
[00:08:22.176 --> 00:08:36.007]  All of that was being said to divert, as a red herring, away from the fact that she's a multinational globalist operative, in my view, engaged in espionage to keep the United States under this yoke of the whole globalist corporate system.
[00:08:36.267 --> 00:08:42.592]   And again, she writes for TheGlobalist.com And testify to Congress, she doesn't even know what a globalist is!
[00:08:43.373 --> 00:08:50.396]  I learned the term globalist 25 years ago reading their own documents where they described themselves as globalists.
[00:08:51.477 --> 00:08:53.477]  Which means global governance.
[00:08:53.998 --> 00:09:04.162]  Which we now see the Davos Group and the UN being set up and established and being promoted by the strobe talbots and others that have publicly called for world government and who trained Fiona Hill.
[00:09:04.483 --> 00:09:12.635]   And of course this whole New information coming out and the indictments leads right back to him as well being the main kingpin at the Brookings Institute.
[00:09:12.675 --> 00:09:17.118]  So listeners, you've done a great job keeping us on air over the years.
[00:09:17.218 --> 00:09:21.641]  We've had massive effects helping wake up Tucker Carlson and Joe Rogan and countless millions.
[00:09:22.121 --> 00:09:25.263]  And we've broken thousands of huge stories, hundreds of number one stories.
[00:09:25.543 --> 00:09:30.206]  And without InfoWars, we'd be in much worse shape today than we are now in our fight against the New World Order.
[00:09:30.387 --> 00:09:34.289]  We're really starting to turn the tides, especially intellectually, culturally, spiritually.
[00:09:35.080 --> 00:09:47.409]  But I just want to encourage all of you to redouble your efforts to take articles from InfoWars and to share them and to spread them and to celebrate the fact that InfoWars is under attack and bloodied and in a lot of trouble in many ways.
[00:09:48.049 --> 00:09:56.335]  Not because we're weak or not because we're bad, but because we've been champions for freedom and we stood up to the globalists and we did what was morally right.
[00:09:57.233 --> 00:10:06.464]  We didn't sit there and calculate all the odds or what would happen to us or will we get sued or will we get put in jail, but we did the right thing and stood up to these bullies.
[00:10:06.924 --> 00:10:14.533]  And that's what builds open and free societies is good men and women knowing they're on the side of right and getting past the fear and standing up.
[00:10:14.874 --> 00:10:20.160]   So if more of us will just do like InfoWars has done, And have courage to do the right thing, they can't get us all.
[00:10:20.580 --> 00:10:27.107]  But regardless, I'm going to keep moving on, I'm going to redouble my efforts, and I'm going to realize just how important we've been thanks to your support.
[00:10:27.407 --> 00:10:30.310]  And I'm not going to let this incredible time we're all living in go to waste.
[00:10:30.631 --> 00:10:32.713]  So again, thank you for supporting InfoWars.
[00:10:33.049 --> 00:10:33.970]  Thank you for praying for us.
[00:10:34.010 --> 00:10:41.435]  You are the InfoWar and take the Roger Stone interview now that we know it really happened and get out to everybody you know because this thing is bigger than Russiagate.
[00:10:41.655 --> 00:10:45.598]  It can bring down the entire Deep State House of Cards.
[00:10:46.018 --> 00:10:57.867]  For myself, Roger Stone, the InfoWars crew, Owen Schroer and others who are all being politically persecuted, we thank you for your support and your prayers and we ask you now to redouble your efforts because the children are counting on us and God is watching.
[00:10:58.089 --> 00:11:03.235]  Right after you started at the White House, there was a smear campaign against you.
[00:11:03.955 --> 00:11:06.598]  Public, distressing, I'm sure.
[00:11:07.019 --> 00:11:07.900]  What was that all about?
[00:11:09.232 --> 00:11:11.673]  Well, I'm still trying to get to the bottom of some of that, to be honest.
[00:11:12.133 --> 00:11:17.114]  He's got a major Soros mole discovered in the White House, breaking now.
[00:11:17.634 --> 00:11:17.994]  May 2017.
[00:11:19.994 --> 00:11:24.535]  Right-wing conspiracists launch an online campaign to discredit her.
[00:11:24.815 --> 00:11:28.616]  George Soros has penetrated the Trump White House.
[00:11:28.936 --> 00:11:35.123]   A woman named Fiona Hill I have to say, the scale of this did take me by surprise.
[00:11:35.304 --> 00:11:36.246]  This was Roger Stone.
[00:11:36.386 --> 00:11:38.089]  It was Roger Stone, Alex Jones.
[00:11:38.690 --> 00:11:39.893]  And I did think... So from the right.
[00:11:40.032 --> 00:11:41.032]  Why me?
[00:11:41.032 --> 00:11:51.352]   I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[00:11:51.685 --> 00:11:56.208]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points.
[00:11:56.508 --> 00:11:58.670]  That was 60% off on our bestselling items.
[00:11:58.830 --> 00:12:00.471]  We have Winter Sun at 50% off.
[00:12:00.551 --> 00:12:01.351]  So good for your body.
[00:12:01.371 --> 00:12:02.252]  So good for your immune system.
[00:12:02.692 --> 00:12:03.113]  50% off.
[00:12:03.173 --> 00:12:05.654]  We have Ultra 12 at 60% off.
[00:12:05.694 --> 00:12:07.316]  That is the lowest we've ever gone.
[00:12:07.396 --> 00:12:11.338]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[00:12:12.079 --> 00:12:12.559]  60% off.
[00:12:12.599 --> 00:12:16.402]  We've got a bunch of products sold out for a long time, like Brain Force Plus back in stock.
[00:12:16.827 --> 00:12:21.750]  50% off and we have Ultimate Bone Broth back in stock at InfoWareStore.com.
[00:12:21.790 --> 00:12:23.450]  It's now Bone Broth Plus.
[00:12:23.611 --> 00:12:29.113]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[00:12:29.473 --> 00:12:37.978]  It is amazing for your whole body, amazing for your joints, amazing for inflammation and it funds the InfoWare, which is so important in the fight against the New World Order.
[00:12:38.398 --> 00:12:41.299]  So thank you all for your support with Supply Chain Breakdowns.
[00:12:41.339 --> 00:12:46.262]  I recommend you get your Christmas shopping done now and have it done and support the InfoWare at InfoWareStore.com.
