[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[00:12:29.074 --> 00:12:36.703]  Americans were shocked to discover that the people making and enforcing the rules had no intention of following those rules.
[00:12:36.703 --> 00:12:40.848]  Within a short period, mask mandates across the country ended.
[00:12:40.848 --> 00:12:45.333]  It turns out the public was willing to endure inconvenience, but not hypocrisy.
[00:12:46.755 --> 00:12:50.517]  This country is facing a similar moment again now.
[00:12:50.517 --> 00:12:58.620]  Once again, officials in California have been caught on camera exposing their own contempt for their own public health measures.
[00:12:58.620 --> 00:13:03.462]  This is footage shot at a Democratic fundraiser yesterday morning in Napa, Napa Valley.
[00:13:03.462 --> 00:13:05.263]  That's just north of San Francisco.
[00:13:05.263 --> 00:13:06.343]  Nancy Pelosi was there.
[00:13:06.343 --> 00:13:08.264]  She's got an estate right nearby.
[00:13:08.264 --> 00:13:11.725]  So were other Democratic officials and the party's biggest donors.
[00:13:11.725 --> 00:13:12.886]  They paid $30,000 per ticket to be there.
[00:13:16.075 --> 00:13:25.678]  Now, looking at the picture, the first thing you notice about the group, other than how strikingly homogenous and non-diverse it is, is that none of them are wearing masks.
[00:13:25.678 --> 00:13:30.419]  They're breathing all the fresh air they like, as if it's 2019 again.
[00:13:30.419 --> 00:13:38.961]  The only people there who are wearing masks are their servants, the faceless brown serfs scurrying back and forth to bring them things.
[00:13:38.961 --> 00:13:41.822]  There's nothing worse than having to help breathe on you.
[00:13:41.822 --> 00:13:44.603]  But that's not a problem for Nancy Pelosi, as you can see.
[00:13:45.766 --> 00:13:47.549]  It's repulsive, but revealing!
[00:14:02.034 --> 00:14:10.558]  It's pretty clear at this point that Nancy Pelosi, our chief COVID enforcer, doesn't believe a word she says about the virus.
[00:14:10.558 --> 00:14:12.719]  Now, Pelosi is 81 years old.
[00:14:12.719 --> 00:14:15.300]  That's deep in the risk range for coronavirus.
[00:14:15.300 --> 00:14:26.266]  She's standing at a crowded event in Napa, which according to the Biden administration's color-coded map of the country, is one of the riskiest places in America for coronavirus transmission.
[00:14:26.986 --> 00:14:33.929]  And yet Pelosi is not social distancing, she's not wearing a face shield, she doesn't even have a mask on.
[00:14:33.929 --> 00:14:34.709]  Why is that?
[00:14:34.709 --> 00:14:38.230]  Well, clearly she understands she's not in danger.
[00:14:38.230 --> 00:14:43.172]  And since there are no Republicans present, she has no reason to pretend otherwise.
[00:14:43.172 --> 00:14:48.414]  As a reminder, here's what Nancy Pelosi sounds like when she's back in Washington.
[00:14:48.414 --> 00:14:54.057]  Members and staff will be required to wear masks at all times.
[00:14:54.057 --> 00:14:54.757]  This is a mask.
[00:14:56.610 --> 00:14:59.873]  From all over the country, I'm getting these masks.
[00:14:59.873 --> 00:15:04.337]  Real men wear masks and these masks are essentially important.
[00:15:04.337 --> 00:15:10.002]  The chair views the failure to wear a mask as a serious breach of decorum.
[00:15:10.002 --> 00:15:13.285]  I had no advice for them except when they come here they have to wear a mask.
[00:15:13.285 --> 00:15:22.174]  But in any case, I'm a big believer in wearing the mask and not sharing any, shall we say, air unnecessarily.
[00:15:24.482 --> 00:15:25.222]  Yeah.
[00:15:25.222 --> 00:15:30.664]  So the real justification for mask mandates was right in the middle of that montage of clips.
[00:15:30.664 --> 00:15:37.427]  Quote, Failure to wear a mask is a serious breach of decorum, Nancy Pelosi says.
[00:15:37.427 --> 00:15:38.447]  And she means it.
[00:15:38.447 --> 00:15:44.849]  And that's why in Napa, her little brown servants wear masks as they bring her wine.
[00:15:44.849 --> 00:15:46.290]  Decorum demands that they do.
[00:15:47.415 --> 00:15:54.225]  If there's ever been a clear window into their plans, into the society they are trying to build, now we're not aware of it.
[00:15:54.225 --> 00:15:54.845]  We'll be right back.
[00:15:54.845 --> 00:15:55.346]  Stay with us.
[00:15:57.099 --> 00:16:05.521]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[00:16:05.521 --> 00:16:06.541]  Here's why.
[00:16:06.541 --> 00:16:10.442]  We now have a small number of solar generators back in stock.
[00:16:10.442 --> 00:16:15.564]  These emergency backup systems provide life-saving backup power when you need it most.
[00:16:15.564 --> 00:16:23.966]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[00:16:24.546 --> 00:16:32.539]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[00:16:33.257 --> 00:16:39.339]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too!
[00:16:39.339 --> 00:16:43.160]  Go to MySolarBackup.com to learn more and check availability.
[00:16:43.160 --> 00:16:45.180]  That's MySolarBackup.com.
[00:16:45.180 --> 00:16:53.582]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[00:16:53.582 --> 00:16:55.943]  Yours free at MySolarBackup.com.
[00:16:56.707 --> 00:17:03.051]  What if you could cut your heating bills this winter with your existing wood burning fireplace and not spend thousands doing it?
[00:17:03.051 --> 00:17:06.032]  You can with Great Wall of Fire Fireplace Grates.
[00:17:06.032 --> 00:17:06.473]  Our U.S.
[00:17:06.473 --> 00:17:14.617]  patented, made in America, wall of fire grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30 day money back guarantee.
[00:17:14.617 --> 00:17:18.760]  See our grates in action and get free shipping from wall of fire dot com or call 800-274-7364.
[00:17:18.760 --> 00:17:19.420]  Fireplace heat without
[00:17:29.999 --> 00:17:36.323]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[00:17:36.323 --> 00:17:38.504]  It only takes about 30 seconds.
[00:17:38.504 --> 00:17:46.689]  The MECHTECH carbine upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[00:17:46.689 --> 00:17:49.451]  It's the world's most versatile pistol accessory.
[00:17:49.451 --> 00:17:51.432]  Build your custom upper today.
[00:17:51.432 --> 00:17:53.834]  Simply go to handgunconversion.com.
[00:17:53.834 --> 00:17:55.455]  That's handgunconversion.com.
[00:17:58.143 --> 00:18:00.604]  The world is awakening.
[00:18:00.604 --> 00:18:04.107]  The world is beginning to understand the globalist paradigm.
[00:18:04.107 --> 00:18:15.393]  They are discovering the globalists, the elites, the manipulation, the CFR, the Trilateral Commission, the Bilderberg Group, the Bohemian Grove, the Club of Rome.
[00:18:15.393 --> 00:18:18.015]  And so, even though it seems like the globalists are winning,
[00:18:19.212 --> 00:18:25.180]  The truth is, they've had to come out in the open to attack human freedom because they're actually losing.
[00:18:25.180 --> 00:18:28.325]  We have forced them out in the open.
[00:18:28.325 --> 00:18:34.153]  So as bad as these times are, and a lot of negative things are about to happen, realize humanity is winning.
[00:18:34.153 --> 00:18:36.095]  You've got to trust in the plan of God.
[00:18:36.696 --> 00:18:38.677]  Humanity is the main stakeholder on this planet.
[00:19:02.358 --> 00:19:14.170]  But the big corporations for a hundred years have told us that humans are bad and evil and a pestilence on the earth so that we begin to believe we're bad and we'll turn off our life force and let the eugenics-based globalists take control of the planet.
[00:19:14.170 --> 00:19:17.454]  If you go to Klaus Schwab, the head of the Davos Group's own Wikipedia page,
[00:19:17.954 --> 00:19:26.401]  He brags on there about how they're capturing democracy and taking over governments worldwide to set up a corporate dictatorship under the UN.
[00:19:26.401 --> 00:19:28.703]  They admit all of this.
[00:19:28.703 --> 00:19:29.984]  They plan the lockdowns.
[00:19:29.984 --> 00:19:31.665]  They release the viruses.
[00:19:31.665 --> 00:19:33.387]  They think you're stupid.
[00:19:33.387 --> 00:19:39.492]  And their plan is to slowly cut off the resources so they can dictate total social control over you and your lives.
[00:19:40.072 --> 00:19:50.637]  That's how I was able to predict everything they did decades before they executed it, word for word, with total precision, because they have a detailed battle plan.
[00:19:50.637 --> 00:19:52.358]  We cover it live, weekdays, 11 a.m.
[00:19:52.358 --> 00:19:53.198]  to 3 p.m.
[00:19:53.198 --> 00:19:55.299]  at InfoWars.com forward slash show.
[00:19:55.299 --> 00:20:01.182]  Tell everybody to tune in now and warn the world.
[00:20:01.182 --> 00:20:03.824]  You're listening to the Alex Jones Show.
[00:20:32.102 --> 00:20:34.243]  Well, you said it.
[00:20:34.243 --> 00:20:36.085]  A man and his will to survive.
[00:20:36.085 --> 00:20:37.726]  You better decide you want to survive now.
[00:20:38.786 --> 00:20:41.907]  Because the globalists took the planet over by fractional reserve banking and fraud.
[00:20:41.907 --> 00:20:43.728]  They put Hitler in.
[00:20:43.728 --> 00:20:45.108]  They put Lenin and Stalin in.
[00:20:45.108 --> 00:20:46.649]  They put Mao in.
[00:20:46.649 --> 00:20:49.790]  They put Fidel Castro and Hugo Chavez in.
[00:20:49.790 --> 00:20:51.451]  They put Justin Trudeau in.
[00:20:51.451 --> 00:20:53.832]  And they took over the planet by fraud.
[00:20:53.832 --> 00:20:58.754]  And we tried to take it back with populism and Brexit and Trump and Bolsonaro.
[00:20:58.754 --> 00:21:00.894]  And they said, no, you don't.
[00:21:00.894 --> 00:21:03.255]  We're going to hit you with a bioweapon.
[00:21:03.255 --> 00:21:04.916]  And that'll sure change the subject.
[00:21:05.902 --> 00:21:22.056]  And then they bring in the vaccine that lowers your regular immunity, puts off mutants, and now I've got a stack of news stories next segment about polio's back, and all these weird viruses are killing people that aren't COVID, and why is this record illness?
[00:21:22.056 --> 00:21:23.938]  Because they've released the plagues on us.
[00:21:26.485 --> 00:21:31.630]  And the bottom line is the vaccine lowers your immunity, so it can take your body over and kill you.
[00:21:31.630 --> 00:21:32.771]  And I've got the articles right here.
[00:21:32.771 --> 00:21:41.339]  Majority of the deaths in hospitals, the vaccinated, and that's even when we caught them, removing a large number of the vaccinated deaths from the rolls.
[00:21:41.339 --> 00:21:48.686]  An exclusive article by Kellan McBreen last night, and I'm gonna ask we repost to the front page of InfoWars.com.
[00:21:48.686 --> 00:21:51.949]  But let me just start over here, because I literally have hundreds of articles.
[00:21:52.816 --> 00:21:54.218]  Documenting all this.
[00:21:54.218 --> 00:21:58.102]  Let's play Fauci from March of last year.
[00:21:58.102 --> 00:21:59.303]  How many months ago is that?
[00:21:59.303 --> 00:22:03.388]  That's a lot of months ago.
[00:22:03.388 --> 00:22:05.850]  Over a year and a half ago.
[00:22:05.850 --> 00:22:10.616]  And here is Fauci talking about antibody
[00:22:12.463 --> 00:22:15.444]  Issues, antibody-dependent enhancement.
[00:22:15.444 --> 00:22:17.085]  It's one of the main things killing people.
[00:22:17.085 --> 00:22:28.128]  You take a shot, if you ever come in contact with a virus like it, you have a horrible autoimmune response and your body attacks itself and your organs liquefy.
[00:22:28.128 --> 00:22:29.329]  But don't believe me, here he is.
[00:22:30.208 --> 00:22:35.512]  Now, the issue of safety is something that I want to make sure the American public understand.
[00:22:35.512 --> 00:22:44.279]  It's not only safety when you inject somebody and they get maybe an idiosyncratic reaction, they get a little allergic reaction, they get pain.
[00:22:44.279 --> 00:22:45.720]  There's safety associated
[00:22:46.300 --> 00:22:48.661]  Does the vaccine make you worse?
[00:22:48.661 --> 00:22:57.964]  And there are diseases in which you vaccinate someone, they get infected with what you're trying to protect them with, and you actually enhance the infection.
[00:22:57.964 --> 00:23:01.245]  You can get a good feel for that in animal models.
[00:23:01.245 --> 00:23:05.146]  So that's going to be interspersed at the same time that we're testing.
[00:23:05.146 --> 00:23:08.167]  We're going to try and make sure we don't have enhancement.
[00:23:08.167 --> 00:23:14.069]  So the worst possible thing you could do is vaccinate somebody to prevent infection and actually make them worse.
[00:23:14.369 --> 00:23:26.691]  And that's what all the scientists say has happened, but now he doesn't want to discuss it because they skipped the animal trials and went right to the general public, and now the FDA won't release any of the trials that they've done in the last eight, nine months here or in England.
[00:23:26.691 --> 00:23:29.792]  They said they'll release it in 2025, and then they'll back it up.
[00:23:29.792 --> 00:23:32.112]  It'll be like the Kennedy assassination files.
[00:23:32.112 --> 00:23:33.993]  Are folks tracking this?
[00:23:33.993 --> 00:23:38.074]  But see, the left just dumps it down to save lives, take the shots, save lives.
[00:23:38.074 --> 00:23:38.914]  It doesn't.
[00:23:38.914 --> 00:23:40.054]  It doesn't protect you.
[00:23:40.882 --> 00:23:42.984]  We're going to document it all here in a moment.
[00:23:42.984 --> 00:23:46.408]  But here is Dr. Sachak Bhakti.
[00:23:46.408 --> 00:23:49.491]  He speaks with Dr. Mercola about India.
[00:23:49.491 --> 00:23:52.955]  Less than 10% are vaccinated there, last time I checked.
[00:23:52.955 --> 00:23:56.559]  And they have way, way lower death and illness rates than we do.
[00:23:56.559 --> 00:24:00.203]  And it's the Vax people that are actually having the problems in India.
[00:24:00.203 --> 00:24:00.584]  Here it is.
[00:24:01.408 --> 00:24:07.710]  Anyway, so we've got the experience with Israel, and they are getting, I believe, most of the people, the cases there are people who have been vaccinated.
[00:24:07.710 --> 00:24:10.291]  And India has hardly anyone immunized.
[00:24:10.291 --> 00:24:12.872]  I don't know if it's just this current status, but it's very low.
[00:24:12.872 --> 00:24:15.452]  It's well under 25 percent, maybe as low as 10 percent.
[00:24:15.452 --> 00:24:17.393]  And we're not seeing a lot of cases in India at all.
[00:24:18.160 --> 00:24:22.464]  Well, I talked to Indian colleagues a couple of weeks ago.
[00:24:22.464 --> 00:24:25.526]  Okay, so why don't you update us on your perspective on that?
[00:24:25.526 --> 00:24:32.352]  And they said that, of course, less than 10% of India is vaccinated, but there are an awful lot of Indians, you know.
[00:24:32.352 --> 00:24:35.214]  Yeah, over a billion, yes.
[00:24:35.214 --> 00:24:39.197]  So, you know, if 100 million have been vaccinated,
[00:24:39.958 --> 00:24:41.600]  That's a damn lot.
[00:24:41.600 --> 00:24:52.209]  And they are in fact seeing very severe cases, very severe cases of true corona infections.
[00:24:52.209 --> 00:24:56.192]  And they are among the vaccinated.
[00:24:56.192 --> 00:25:06.021]  What we're witnessing in India and probably also in Israel is the immune-dependent enhancement of disease.
[00:25:06.960 --> 00:25:15.232]  Which we have always warned against, you know, together with Dorothy Cahill a long time ago.
[00:25:16.094 --> 00:25:20.398]  And I think also in our book.
[00:25:20.398 --> 00:25:21.979]  It's bound to happen.
