[00:00:16.105 --> 00:00:17.628]  Tomorrow's news, today.
[00:05:04.395 --> 00:05:22.963]  Why would you spend your money this Christmas season to buy gifts for friends and family and loved ones, with the establishment, with the big corporations that are dedicated to waging war on all of our freedoms and suppressing us and forcing medical tyranny on us?
[00:05:22.963 --> 00:05:24.184]  I've never backed down to tyranny.
[00:05:24.924 --> 00:05:27.307]  We've had incredible successes fighting them.
[00:05:27.307 --> 00:05:28.768]  Thanks for your support.
[00:05:28.768 --> 00:05:34.395]  But now, as 2021 comes to a close, I want to encourage you now more than ever
[00:05:35.299 --> 00:05:37.180]  To support the truth.
[00:05:37.180 --> 00:05:40.822]  And you do that at InfoWareStore.com.
[00:05:40.822 --> 00:05:42.282]  Storewide free shipping.
[00:05:42.282 --> 00:05:44.363]  Double Patreon points running right now.
[00:05:44.363 --> 00:05:49.886]  Huge deals on Vitamin Mineral Fusion, DNA Force Plus, Lung Cleanse, and Turbo Force.
[00:05:49.886 --> 00:05:54.268]  And these are really amazing high quality products that also fund the InfoWare.
[00:05:54.268 --> 00:05:57.069]  The only way you fail is not taking action.
[00:06:11.042 --> 00:06:15.863]  Big Brother, mainstream media, government cover-ups.
[00:06:15.863 --> 00:06:17.564]  You want to stop tyranny?
[00:06:17.564 --> 00:06:19.224]  Well, so does he.
[00:06:19.224 --> 00:06:26.186]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:26.186 --> 00:06:38.329]  Well, the reports of five-year-olds and up having microcarditis and heart attacks and even dying are nightmarishly now as we thought they would coming in.
[00:06:40.017 --> 00:06:50.523]  Now we have the corporate media going around trying to block and censor parents and medical workers and others that simply speak about it and talk about it.
[00:06:50.523 --> 00:07:08.312]  And of course we witnessed last week the American Heart Association having their post on Twitter blocked saying you're not allowed to make medical statements, only the WHO and Fauci are.
[00:07:10.316 --> 00:07:19.882]  Isn't that just incredible to live in a world where the United Nations is in full control?
[00:07:19.882 --> 00:07:37.852]  Not so they can build some Star Trek future, like they always claim they want to, but a nightmare dehumanization technocracy for those that are even able to survive the great culling that is now unfolding here on Earth.
[00:07:40.950 --> 00:07:44.813]  You're a TV viewer.
[00:07:44.813 --> 00:07:53.219]  You can see in front of me one, two, three stacks.
[00:07:53.219 --> 00:08:02.785]  Because everybody's talking about Ghislaine Maxwell and how you can't get any news about her trial.
[00:08:02.785 --> 00:08:04.226]  At least everybody who's awake is.
[00:08:04.226 --> 00:08:08.249]  Mainstream news is barely even covering it.
[00:08:08.249 --> 00:08:09.490]  But we're all hearing about
[00:08:10.981 --> 00:08:12.222]  Cuomo.
[00:08:12.222 --> 00:08:13.524]  Aren't we, ladies and gentlemen?
[00:08:13.524 --> 00:08:23.494]  We're all hearing about Cuomo over and over and over and over again.
[00:08:23.494 --> 00:08:29.120]  Chris Cuomo.
[00:08:29.120 --> 00:08:34.706]  And how Chris Cuomo might
[00:08:36.397 --> 00:08:48.858]  Have an allegation not even there's an allegation of sexual harassment might Have an allegation of sexual harassment nothing about his brother
[00:08:50.481 --> 00:09:03.926]  And he helped him cover up 20 plus thousand deliberate deaths in the nursing homes where they would get people sick by sending COVID patients in and not give them treatment, only intubate them to get $53,000 per person they murdered.
[00:09:03.926 --> 00:09:05.307]  No, no, no, no, no, no, no.
[00:09:05.307 --> 00:09:07.288]  That's not a crime.
[00:09:07.288 --> 00:09:14.831]  No, let's distract from the Ghislaine Maxwell trial and let's distract from everything coming out there with the firing of Chris Cuomo.
[00:09:17.020 --> 00:09:24.507]  And Brian Stelter all up there sanctimoniously, now stabbing his former colleague in the back.
[00:09:24.507 --> 00:09:29.351]  All of the CNN hosts, and the ABC hosts, and all of them are guilty.
[00:09:29.351 --> 00:09:33.535]  Remember the Project Veritas video they got of the ABC News anchor?
[00:09:33.535 --> 00:09:35.757]  In fact, grab that report from last year, guys.
[00:09:35.757 --> 00:09:38.259]  No, it's actually 2019 it came out.
[00:09:38.259 --> 00:09:40.001]  Late 2019, almost two years ago.
[00:09:40.001 --> 00:09:41.402]  In fact, about two years ago.
[00:09:41.402 --> 00:09:43.004]  It was December, if I remember correctly.
[00:09:44.042 --> 00:09:47.784]  And she's sitting back laughing, going, I would have loved to get that big story.
[00:09:47.784 --> 00:09:50.906]  Boy, I'd be famous if I got even more famous.
[00:09:50.906 --> 00:09:56.509]  But they wouldn't let me run with it because it dealt with pedophilia and little children and the Clintons.
[00:09:56.509 --> 00:09:59.971]  And she's not upset about the children.
[00:09:59.971 --> 00:10:04.934]  She's upset that the story got spiked when it would have been the number one story in the world.
[00:10:04.934 --> 00:10:07.155]  She didn't care about actually saving children.
[00:10:07.155 --> 00:10:12.058]  She wanted to break the story because it would make her, as a tart, more money.
[00:10:19.363 --> 00:10:25.207]  But remember, she laughed and she joked, the ABC anchor about, or was it NBC?
[00:10:25.207 --> 00:10:32.832]  National anchor brags about, or actually whistleblows is how they spun it, but leaked video was the headline.
[00:10:32.832 --> 00:10:34.373]  That was ABC, it was.
[00:10:34.373 --> 00:10:44.759]  Project Veritas, ABC's Amy Robach, frustrated on hot mic that network quashed Jeffrey Epstein's story.
[00:10:44.759 --> 00:10:47.021]  Yeah, we'll grab that and play that coming up.
[00:10:49.585 --> 00:11:00.671]  But in my stacks here, even from declassified documents of government admissions, I have why they're really abusing children.
[00:11:00.671 --> 00:11:09.936]  This isn't like some unorganized program where it's just rich people in their basements
[00:11:11.806 --> 00:11:16.529]  Having sex and killing children, torturing children to death.
[00:11:16.529 --> 00:11:27.177]  It's a whole systematic combine and a program like a college is an institution of higher learning.
[00:11:27.177 --> 00:11:30.099]  Well, the intelligence agencies at the top
[00:11:31.837 --> 00:11:41.481]  And these major so-called institutions are universities you go to on how to be soulless and how to abuse people and how to be compromised.
[00:11:41.481 --> 00:11:52.665]  And then if you're completely, totally soulless and compromised, then you get promoted in positions of power because you've shown you have no bottom.
[00:11:52.665 --> 00:11:57.247]  And so I've had a lot of requests by some of the larger podcasters in the world
[00:11:58.336 --> 00:12:24.467]  They come on their shows very soon, and now that all this is broken exactly as I said it did, and so I happened to just this morning, with the crew, spend about 30 minutes repulling just a few stories of total admissions of the government grabbing children out of their backyards, taking them and raping them for years on end, and reprogramming them with drugs and electroshock therapy, and then giving them new identities, and then sending them to college, and even training them, and then putting them in government!
[00:12:26.408 --> 00:12:32.552]  The Manchurian Candidate is not just a book that got made into a film with Frank Sinatra.
[00:12:32.552 --> 00:12:34.633]  It's a pretty good movie.
[00:12:34.633 --> 00:12:42.737]  And then remade back in the 2000s.
[00:12:42.737 --> 00:12:45.159]  It's something that's really going on.
[00:12:45.159 --> 00:12:50.062]  So this is industrial level mind control.
[00:12:50.899 --> 00:12:55.080]  Gary Franci is going to be in studio, owner of the Next Network.
[00:12:55.080 --> 00:12:57.260]  Good friend of mine, known him over 16 years.
[00:12:57.260 --> 00:12:58.200]  He's visiting here in town.
[00:12:58.200 --> 00:12:58.860]  We had dinner last night.
[00:12:58.860 --> 00:13:02.321]  He's going to be in studio with us the second hour to cover just the waterfront.
[00:13:02.321 --> 00:13:14.223]  And then in the third hour, we have a whistleblower coming on from the UK, who's part of a big film coming out, where they used COVID as the cover last year before they'd really taken hold of their bioweapon.
[00:13:14.223 --> 00:13:18.264]  This year, it's been very real, to kill old people and euthanize them.
[00:13:19.292 --> 00:13:23.893]  Or give them a quote, good death, as translated from euthanize.
[00:13:23.893 --> 00:13:25.854]  So that is coming up as well.
[00:13:25.854 --> 00:13:28.834]  A couple of announcements.
[00:13:28.834 --> 00:13:30.095]  I really never do this.
[00:13:30.095 --> 00:13:33.475]  I never push back projects.
[00:13:33.475 --> 00:13:39.277]  But I've decided to do it just because I made the decision last week to shoot even more information and more material.
[00:13:40.302 --> 00:13:51.587]  for this six hour plus course, Mind Wars, Spirit Wars, Spirit Wars, Mind Wars, it's interchangeable, but the technical title is Reset Wars, Spirit Wars, Mind Wars.
[00:13:51.587 --> 00:14:00.912]  And just so much is going on, I decided to shoot even more and add even more to it to where it's really a six plus hour documentary.
[00:14:00.912 --> 00:14:06.814]  And deals with, okay, we know what they're doing to us.
[00:14:06.814 --> 00:14:08.695]  How do we brainwash ourselves?
[00:14:08.695 --> 00:14:09.916]  Because if you don't set
[00:14:12.196 --> 00:14:13.276]  The clock in your mind.
[00:14:13.276 --> 00:14:15.618]  Somebody else is going to be in there doing it.
[00:14:15.618 --> 00:14:22.440]  And so this is really explosive information in this presentation, in this masterclass.
[00:14:22.440 --> 00:14:28.103]  So, that is coming up.
[00:14:28.103 --> 00:14:33.405]  It was going to be released tomorrow at 7pm on December 7th.
[00:14:33.405 --> 00:14:41.349]  But I have decided, because we're not even done with it, I made the decision to add a bunch of stuff, that it'll be done tomorrow.
[00:14:42.608 --> 00:14:49.033]  And then it'll be uploaded and ready, and we're going to launch it at 7 p.m.
[00:14:49.033 --> 00:14:52.315]  at night on Monday, December 13th.
[00:14:52.315 --> 00:15:02.282]  And that is when it will be released at ResetWars.com for those of you that want to go there and sign up for the class, ResetWars.com.
[00:15:02.282 --> 00:15:06.845]  If you want updates and all the rest of it, and for 48 hours before, there's going to be a 25% discount.
[00:15:08.346 --> 00:15:17.456]  So you'll be able to get that if you sign up on Friday or Saturday, Sunday, or I guess Friday at midnight through Saturday through Sunday at midnight at ResetWars.com.
[00:15:17.456 --> 00:15:23.323]  There'll also be a lot of other videos and reports and special interviews and things that are surrounding it.
[00:15:23.323 --> 00:15:24.825]  You'll learn all about it coming up.
[00:15:26.004 --> 00:15:30.205]  By Wednesday and Thursday, I'm going to start giving you specifics about Reset Wars.
[00:15:30.205 --> 00:15:34.567]  And that's the other thing, is you don't work this hard on something for over six months.
[00:15:34.567 --> 00:15:38.788]  It's years of work, but six months of production, and then have no promotion of it.
[00:15:38.788 --> 00:15:40.529]  So I really want to roll it out.
[00:15:40.529 --> 00:15:42.529]  That's why I wanted to add to it and expand on it.
[00:15:42.529 --> 00:15:50.392]  So Reset Wars will be dropping into the third dimension coming up at 7 p.m.
[00:15:50.392 --> 00:15:53.333]  Central on December 13th, next Monday.
[00:15:54.184 --> 00:15:57.249]  Alright ladies and gentlemen, please stay with us, big broadcaster ahead.
[00:16:00.345 --> 00:16:05.588]  Our 2021 Cyber Week Specials end on Monday, December 6th.
[00:16:05.588 --> 00:16:14.353]  That means if you want store-wide free shipping, double Patreon points, and up to 50% off on our best-selling products like Prostagard, you have to take advantage of it right now.
[00:16:14.353 --> 00:16:17.835]  We also have Vitamin Mineral Fusion, sold out for months, back in stock.
[00:16:17.835 --> 00:16:22.357]  All the vitamins, all the minerals, the amino acids, so good for your immune system, your entire body.
[00:16:22.357 --> 00:16:23.818]  It's 40% off.
[00:16:23.818 --> 00:16:24.758]  DNA Force Plus, 40% off.
[00:16:25.939 --> 00:16:26.860]  The list goes on and on.
[00:16:42.975 --> 00:16:49.002]  Whatever you do, do your shopping there with patriots that are fighting for all of our collective liberties together.
[00:16:49.002 --> 00:16:51.966]  If you shop at the big box stores, you deserve to be a slave.
[00:16:51.966 --> 00:16:55.490]  If you shop at InfoWars, you're part of the team fighting for liberty.
[00:16:55.490 --> 00:16:57.392]  God bless and thanks for your support.
[00:16:57.392 --> 00:17:00.035]  I've been fighting as hard as I can for almost 28 years.
[00:17:01.276 --> 00:17:01.957]  We're good to go.
[00:17:16.485 --> 00:17:20.407]  With their full operational deindustrialization, Great Reset.
[00:17:20.407 --> 00:17:29.350]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:17:29.350 --> 00:17:32.632]  So we've got to information warfare the enemy and try to stop their agenda.
[00:17:32.632 --> 00:17:34.873]  We've also got to get personally prepared.
[00:17:34.873 --> 00:17:37.434]  And one of the number one things to do is high quality, storable food.
[00:17:37.434 --> 00:17:40.275]  We've got the best food ready to ship at very affordable prices.
[00:17:40.895 --> 00:17:41.796]  We're good to go!
[00:17:59.400 --> 00:18:01.062]  This is a great sponsor.
[00:18:01.062 --> 00:18:06.490]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[00:18:06.490 --> 00:18:11.196]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[00:18:11.196 --> 00:18:14.340]  You can also buy cheap antennas and things for in your car or in your house that
[00:18:14.420 --> 00:18:17.403]  Also, we're on the site, InfoWarsPhone.com.
[00:18:17.403 --> 00:18:18.905]  That's just a site that takes you to these folks.
[00:18:18.905 --> 00:18:21.788]  They supply the board for everybody with their systems as well.
[00:18:21.788 --> 00:18:29.976]  They're amazing folks, and you get a free phone, a $650 value, absolutely free, at InfoWarsPhone.com.
[00:18:29.976 --> 00:18:32.158]  Smartphones are always tracking everything you do.
[00:18:32.158 --> 00:18:32.639]  These aren't.
[00:18:32.639 --> 00:18:34.601]  And the calls are free when folks call you.
[00:18:34.601 --> 00:18:36.282]  You just pay $99.95 a month for your minutes.
[00:18:38.424 --> 00:18:39.644]  150 minutes.
[00:18:39.644 --> 00:18:40.545]  The calls to you are free.
[00:18:40.545 --> 00:18:41.685]  Works like a regular cell phone.
[00:18:41.685 --> 00:18:43.005]  You're not being tracked or traced.
[00:18:43.005 --> 00:18:44.286]  And I keep one in my car.
[00:18:44.286 --> 00:18:45.986]  I've given them to my parents as gifts.
[00:18:45.986 --> 00:18:48.527]  Way out in the middle of nowhere where regular phones don't work, they work.
[00:18:48.527 --> 00:18:49.387]  Infowarsphone.com or 941-955-1020.
[00:18:49.387 --> 00:18:50.627]  941-955-1020 and ask the Alex Jones Special.
[00:19:01.488 --> 00:19:02.649]  Granny Do-Right.
[00:19:02.649 --> 00:19:03.449]  Granny Do-Right.
[00:19:03.449 --> 00:19:04.409]  Thanks for holding her on the air.
[00:19:04.409 --> 00:19:05.110]  Go ahead.
[00:19:05.110 --> 00:19:05.630]  Hey, Alex.
[00:19:05.630 --> 00:19:08.251]  First of all, let me say I love your products.
[00:19:08.251 --> 00:19:18.957]  I am a granny, and for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or age spots, as they're lovingly called.
[00:19:18.957 --> 00:19:25.180]  But since taking Eurex 2 for the last couple of years, my skin is just really gorgeous, actually.
[00:19:25.180 --> 00:19:26.180]  People think I'm 55 years old.
[00:19:28.461 --> 00:19:36.187]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[00:19:36.187 --> 00:19:44.934]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, okay, you know, this is the ticket.
[00:19:44.934 --> 00:19:45.755]  This is working.
[00:19:45.755 --> 00:19:46.756]  This is wonderful.
[00:19:46.756 --> 00:19:51.299]  You know, I don't, I don't have to put on Dermablend anymore, you know.
[00:19:51.299 --> 00:19:55.963]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[00:20:01.900 --> 00:20:07.785]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:20:26.536 --> 00:20:30.858]  Thank you again for joining us on this December 6 Monday transmission.
[00:20:30.858 --> 00:20:31.958]  I'm your host, Alex Jones.
[00:20:31.958 --> 00:20:36.720]  Very blessed and honored to be here talking to millions of you.
[00:20:36.720 --> 00:20:48.945]  And I would just encourage all of you to understand how rare and special a transmission like this is with amazing people like you listening and contributing information and spreading the word.
[00:20:50.034 --> 00:21:08.189]  And all the very informative guests, some of them even prophetic, and the calls, all of the really interesting and thought-provoking callers, this is really a focal point of human consciousness and our will.
[00:21:08.189 --> 00:21:18.157]  And it's something they're trying to black out, something the social engineers, the dark wizards, the New World Order are trying to keep from view because we are a burning torch
[00:21:19.261 --> 00:21:31.329]  On the hill and a message to others around the country and around the world that there is a resistance and the resistance is strong.
[00:21:31.329 --> 00:21:41.856]  So before I hit all this nightmare information, remember it's the same reason I would go get a tooth that had an infection fix.
[00:21:41.856 --> 00:21:47.880]  My body would send a signal of pain from a rotten tooth to me so that I would know there was an issue.
[00:21:49.053 --> 00:21:50.694]  And so that I would protect it.
[00:21:50.694 --> 00:21:52.314]  And so that I would tend to it.
[00:21:52.314 --> 00:21:53.575]  So that I would look at it.
[00:21:53.575 --> 00:21:55.776]  Or I would then remove it.
[00:21:55.776 --> 00:21:59.057]  But in modern times, be able to get it fixed.
[00:21:59.057 --> 00:22:00.638]  At least for a while.
[00:22:00.638 --> 00:22:05.800]  Nothing's as good as what God gave us up front, is it?
[00:22:05.800 --> 00:22:11.282]  So when I cover all these horrible things, you have to understand the globalists were in deep trouble two years ago.
[00:22:11.282 --> 00:22:17.505]  Their project for corporate world government was being resisted by nationalist nation states on every populated continent.
[00:22:20.197 --> 00:22:24.900]  Every continent but Antarctica.
[00:22:24.900 --> 00:22:31.063]  And so, they launched COVID-19 and all that it stands for.
[00:22:31.063 --> 00:22:35.686]  As their big weapon program and as their original plan.
[00:22:35.686 --> 00:22:41.330]  But they launched it, I don't even think early.
[00:22:42.213 --> 00:22:45.677]  Because their own writings had it coming in about 2020.
[00:22:45.677 --> 00:23:00.872]  And they even predicted in some of their British military reports, national reports back in 2007 and others, that by the year 2020, they thought there'd be a global populist movement fighting globalism.
[00:23:02.301 --> 00:23:17.885]  And that they would then use the fear of viruses to have a UN world response that would then basically take over the nation states and put people on a digital passport system and basically close the door on freedom and humanity forever.
[00:23:17.885 --> 00:23:30.909]  And if you want to find an article about that original British report that said a lot of this, just type in brain chips and flash mobs, a grim vision of the future.
[00:23:35.424 --> 00:23:36.884]  London Guardian.
[00:23:36.884 --> 00:23:44.767]  And then it links to the 17-page synopses of the classified report put out by the British, if memory serves, in 2007.
[00:23:44.767 --> 00:23:46.968]  And there it is.
[00:23:46.968 --> 00:23:48.668]  Revolution, flash mobs, and brain chips.
[00:23:48.668 --> 00:23:51.309]  A grim-viewed vision of the future.
[00:23:51.309 --> 00:23:53.030]  And they've got it all happening in the year 2020.
[00:23:53.030 --> 00:23:57.271]  Including the virus.
[00:23:59.991 --> 00:24:24.731]  And then of course three years later they wrote Operation Lockstep and the UN officially said the Rockefeller Foundation would be in command with their adjunct being the Consortium of Foundations set up to carry out eugenics, captained by
[00:24:27.745 --> 00:24:41.094]  William Gates III, who's at least a fourth-generation eugenicist, depopulation royalty.
[00:24:41.094 --> 00:24:54.243]  Family goes back to the 1880s in it, when the science of extermination and enslavement was only 30 years old.
[00:24:54.243 --> 00:24:55.864]  So that's where we are, my friends.
[00:24:58.453 --> 00:25:02.495]  As a civilization and as a society.
[00:25:02.495 --> 00:25:11.599]  And so there was a big awakening taking place and they told us what they would do to us and they did it.
[00:25:11.599 --> 00:25:13.580]  And it's illegitimate.
[00:25:13.580 --> 00:25:16.161]  It's criminal.
[00:25:16.161 --> 00:25:22.924]  It is a bigger, more vicious plan than anything Hitler ever dreamed of.
[00:25:22.924 --> 00:25:25.505]  And it's already killed millions of people and intends to kill billions.
[00:25:27.173 --> 00:25:42.102]  Is the designed, organized collapse of civilization as a form of warfare against the species itself under the Carnegie Endowment Directive from the 1920s to end all war.
[00:25:42.102 --> 00:25:45.784]  Memorandum 7277 of the State Department.
[00:25:45.784 --> 00:25:47.225]  Memorandum 200 as well.
[00:25:47.225 --> 00:25:54.129]  That is a stated goal when they were commissioned to end all war
[00:25:55.825 --> 00:26:23.879]  After a six-year commission of the Carnegie Endowment, the decision was made to end humanity as we know it, industrialize the development of humanoids, license the birth of said humanoids, and have a very tiny, less than one-tenth of one percent original human population left, who would probably then decide to transcend, they projected, with technology developments into a new species.
[00:26:23.879 --> 00:26:24.380]  That's from the 20s.
[00:26:26.656 --> 00:26:28.917]  And some of their top futurists were H.G.
[00:26:28.917 --> 00:26:30.177]  Wells.
[00:26:30.177 --> 00:26:31.738]  That's why Hitler wanted H.G.
[00:26:31.738 --> 00:26:35.059]  Wells killed.
[00:26:35.059 --> 00:26:36.380]  Not because H.G.
[00:26:36.380 --> 00:26:40.701]  Wells... First thing Hitler wanted when he got into power in 33 was to kill H.G.
[00:26:40.701 --> 00:26:42.802]  Wells.
[00:26:42.802 --> 00:26:44.242]  And if you ask yourselves, well why?
[00:26:44.242 --> 00:26:49.504]  I thought I'd go research that when I learned that 30-something years ago.
[00:26:49.504 --> 00:26:49.704]  H.G.
[00:26:49.704 --> 00:26:53.906]  Wells even talked about it when he was on San Antonio radio station.
[00:26:54.875 --> 00:26:56.796]  I've heard the interview on KTSA.
[00:26:56.796 --> 00:27:01.417]  I've heard an archive of it.
[00:27:01.417 --> 00:27:05.438]  And that was because they had his writings, both public and private.
[00:27:05.438 --> 00:27:07.559]  And they had both fiction and non-fiction.
[00:27:07.559 --> 00:27:14.981]  And the competing plan they had was a liberal Reich system of depopulation.
[00:27:14.981 --> 00:27:17.442]  And Hitler didn't like that plan.
[00:27:17.442 --> 00:27:21.523]  He wanted only Aryans to be able to end up living.
[00:27:21.523 --> 00:27:23.284]  He wanted to kill even most of the white people.
[00:27:25.219 --> 00:27:29.262]  And that's not what HG Wells commissioned by Cecil Rhodes was setting up.
[00:27:29.262 --> 00:27:44.714]  So you have to understand, when you tune into my show, we just cut through all the BS, and we just go right to who's actually running things.
[00:27:44.714 --> 00:27:48.297]  And we cut to what they're doing, and they're playing for you and your family.
[00:27:48.297 --> 00:27:51.519]  Oh, Trump called Milley an effing idiot.
[00:27:51.519 --> 00:27:53.741]  Oh my gosh, how cool!
[00:27:53.741 --> 00:27:54.401]  Oh man, he's like a...
[00:27:55.646 --> 00:27:56.847]  Trump's like a rock star.
[00:27:56.847 --> 00:27:57.667]  He's so real.
[00:27:57.667 --> 00:27:58.788]  He's so funny.
[00:27:58.788 --> 00:28:01.550]  And Millie is an effing scumbag.
[00:28:01.550 --> 00:28:05.713]  And an anti-American piece of filth.
[00:28:05.713 --> 00:28:08.554]  A big, fat, ugly, fake punk.
[00:28:08.554 --> 00:28:12.437]  But that is only the tip of the iceberg.
[00:28:12.437 --> 00:28:15.399]  You know, Trump, who the big effing idiots are?
[00:28:15.399 --> 00:28:19.521]  People that still go along with these so-called vaccines when they know they don't work and they're hurting people.
[00:28:19.521 --> 00:28:24.965]  But because it might make them look bad, they won't come out against it and say that they were conned and they were set up and that it was wrong.
[00:28:26.616 --> 00:28:30.783]  Because Trump knows if he does that, the system will kill him.
[00:28:30.783 --> 00:28:37.034]  So I guess Trump doesn't mind having millions of children maimed, dead, and dying on his name.
[00:28:37.034 --> 00:28:38.456]  But I won't carry that around with me.
[00:28:39.807 --> 00:28:40.947]  Hey everybody, I have a question to ask you.
[00:29:03.632 --> 00:29:22.194]  Why would you spend your money this Christmas season to buy gifts for friends and family and loved ones, with the establishment, with the big corporations that are dedicated to waging war on all of our freedoms and suppressing us and forcing medical tyranny on us?
[00:29:22.194 --> 00:29:23.435]  I've never backed down to tyranny.
[00:29:24.136 --> 00:29:26.537]  We've had incredible successes fighting them.
[00:29:26.537 --> 00:29:27.998]  Thanks for your support.
[00:29:27.998 --> 00:29:36.423]  But now as 2021 comes to a close, I want to encourage you now more than ever to support the truth.
[00:29:36.423 --> 00:29:38.604]  And you do that at InfoWarsTore.com.
[00:29:40.066 --> 00:29:41.508]  Storewide free shipping.
[00:29:41.508 --> 00:29:43.611]  Double Patriot points running right now.
[00:29:43.611 --> 00:29:49.118]  Huge deals on Vitamin Mineral Fusion, DNA Force Plus, Lung Cleanse, and Turbo Force.
[00:29:49.118 --> 00:29:53.503]  And these are really amazing high quality products that also fund the Info War.
[00:29:53.503 --> 00:29:56.307]  The only way you fail is not taking action.
[00:29:59.983 --> 00:30:01.304]  Let's go ahead and take another call.
[00:30:01.304 --> 00:30:03.325]  Let's talk to Malcolm in Tennessee.
[00:30:03.325 --> 00:30:03.765]  Welcome.
[00:30:03.765 --> 00:30:04.465]  Hello, Alex?
[00:30:04.465 --> 00:30:05.026]  Yes, Malcolm.
