[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[00:18:59.366 --> 00:19:09.493]  So they have created this crisis in front of everyone, but they don't care, because they stole the election, and they're bringing in more illegals that they can use as a permanent underclass that they control.
[00:19:09.493 --> 00:19:12.555]  Now the incredible news is Project Veritas has done it yet again.
[00:19:13.135 --> 00:19:18.640]  They just got internal photos at one of these major facilities in Texas that has thousands and thousands and thousands of people per building.
[00:19:34.426 --> 00:19:46.554]  And there's a whole bunch of these different buildings there in way worse squalor than they ever were under Obama, and of course Trump completely cleaned it up, got them nice facilities, and let the observers come in, which they're supposed to by law.
[00:19:46.554 --> 00:19:50.917]  They're not letting any observers in, violating federal law, because they're criminals.
[00:19:50.917 --> 00:19:57.141]  Because they do what they want, and under UN replacement, migration, they are breaking Europe and the United States.
[00:19:57.581 --> 00:20:02.124]  The goal is to bring in 600 million foreigners by the year 2050.
[00:20:02.124 --> 00:20:04.705]  That's the official UN number.
[00:20:04.705 --> 00:20:08.448]  250 million into France alone by 2035.
[00:20:08.448 --> 00:20:10.709]  You cannot make this up.
[00:20:10.709 --> 00:20:13.851]  In Europe total they want over 600 million as well.
[00:20:13.851 --> 00:20:19.194]  That again, never get jobs, are on the government dole, and are controlled by the government, that vote for the government.
[00:20:19.961 --> 00:20:21.482]  And we'll riot for the government.
[00:20:21.482 --> 00:20:24.684]  So here is the incredible five and a half minute report.
[00:20:24.684 --> 00:20:26.165]  It's posted on pollwars.com.
[00:20:26.165 --> 00:20:27.285]  We're posting it to Bandot Video.
[00:20:27.285 --> 00:20:31.548]  They're trying to block this and censor it and shadow ban it on Twitter and on Facebook.
[00:20:31.548 --> 00:20:33.229]  This should get 50 million views.
[00:20:33.229 --> 00:20:37.531]  It's only got 300 plus thousand views on YouTube even though it just broke yesterday.
[00:20:37.531 --> 00:20:39.792]  In the old days it would have 10 million views.
[00:20:39.792 --> 00:20:41.093]  This needs to be seen.
[00:20:41.093 --> 00:20:42.274]  It shows the total fraud.
[00:20:43.352 --> 00:20:50.390]  The puppet chief, the usurper, the scammer, the stooge that is Joe Biden and his other stooge Kamala Harris.
[00:20:50.390 --> 00:20:51.794]  So here is this report.
[00:20:52.907 --> 00:20:54.227]  Please get it out to everyone you know.
[00:20:54.227 --> 00:20:57.609]  And then after this report, I should be back live in studio.
[00:20:57.609 --> 00:21:07.632]  I'm on my way there right now, and I'm going to lay out the tragic shooting in Colorado, and how they're trying to use that to come up for our guns, and how we need to be countering this situation.
[00:21:07.632 --> 00:21:15.215]  I've got all the facts, all the information, and a game plan to really expose where this culture of evil, where this culture of violence is coming from.
[00:21:15.795 --> 00:21:18.758]  And how as a nation and as a world we can heal.
[00:21:18.758 --> 00:21:24.023]  And the fact that it was a good police officer that actually helped stop this monster.
[00:21:24.023 --> 00:21:25.144]  A good guy with a gun.
[00:21:25.144 --> 00:21:28.508]  And how that's the answer to counter this evil growing.
[00:21:28.508 --> 00:21:31.791]  We need the right to self-defense now more than ever.
[00:21:31.791 --> 00:21:35.014]  So here is Project Veritas' new incredible report.
[00:21:35.014 --> 00:21:37.657]  Topping even their previous coups.
[00:21:37.657 --> 00:21:38.998]  And then we'll be right back on the other side.
[00:21:39.597 --> 00:21:40.938]  I'm on the ground in Donna, Texas.
[00:21:40.938 --> 00:21:45.940]  If you want to take a look at this facility right here, to your left, that is the Border Patrol tent facility.
[00:21:45.940 --> 00:21:47.641]  It stands right behind me.
[00:21:47.641 --> 00:21:51.783]  Just a month ago, Customs and Border Patrol agents completed the construction of that facility.
[00:21:51.783 --> 00:21:54.125]  It's a 165,000 square foot facility.
[00:21:54.125 --> 00:21:58.347]  And we have never seen images inside this facility before.
[00:21:58.347 --> 00:22:05.670]  They won't even allow the non-profit lawyers who conduct the actual oversight of these immigration detention centers to go inside.
[00:22:05.670 --> 00:22:08.332]  Nobody has seen photos inside of this place.
[00:22:09.182 --> 00:22:18.666]  Until now, Project Veritas has obtained never-before-seen photographs of what it actually looks like inside this facility.
[00:22:18.666 --> 00:22:27.651]  Shocking images showing people wrapped up in what looks like metal foil, laying on the ground, their faces covered.
[00:22:27.651 --> 00:22:30.132]  Why won't the administration be honest about this?
[00:22:30.132 --> 00:22:32.353]  Why won't they show you these images?
[00:22:32.353 --> 00:22:33.994]  We have a man who's telling us to leave.
[00:22:33.994 --> 00:22:34.694]  Where were the press?
[00:22:38.683 --> 00:22:41.784]  Tell us it's private property, but you know what isn't private property?
[00:22:41.784 --> 00:22:42.805]  Airspace!
[00:22:42.805 --> 00:22:48.707]  We're gonna fly this Cirrus right over the top of the detention center to get a better look.
[00:22:48.707 --> 00:22:51.428]  Airspace is not private property, so we're flying 1,000 feet.
[00:22:51.428 --> 00:22:52.889]  There's the facility right there.
[00:22:52.889 --> 00:22:53.829]  You can see it.
[00:22:53.829 --> 00:22:54.770]  There it is.
[00:22:54.770 --> 00:22:59.792]  We're flying over the facility to give you a quick vantage point.
[00:22:59.792 --> 00:23:01.353]  There's the tents.
[00:23:01.353 --> 00:23:04.174]  There's Gabe Offman over there.
[00:23:10.702 --> 00:23:16.725]  Now, during a recent press conference, the press secretary was asked the question why they haven't released these images.
[00:23:16.725 --> 00:23:21.028]  Even you haven't released any images that you obviously could redact if you wanted to.
[00:23:22.014 --> 00:23:32.482]  Again, we remain committed to sharing with all of you data on the number of kids crossing the... She dodged the question, saying, quote... And we remain committed to transparency.
[00:23:32.482 --> 00:23:34.423]  I don't have an update for you on the timeline.
[00:23:34.423 --> 00:23:35.204]  End quote.
[00:23:35.204 --> 00:23:41.828]  Well, Press Secretary of the White House, let Project Veritas do your job for you.
[00:23:41.828 --> 00:23:47.252]  Just last night, we have now obtained these photos inside this facility.
[00:23:47.252 --> 00:23:49.194]  Now, these photos are very, very grim.
[00:23:52.037 --> 00:23:59.819]  In addition to the photos, Project Veritas has also learned that these photographs were taken in the last few days.
[00:23:59.819 --> 00:24:04.240]  There are 8 pods with 8 cells in each facility.
[00:24:04.240 --> 00:24:10.042]  At any given moment, there are an average of 3,000 people in custody inside this detention center.
[00:24:10.482 --> 00:24:20.207]  Now, the pod has 8 cells that are currently holding 600, that's 600, unaccompanied juvenile males age 7 to 17.
[00:24:20.207 --> 00:24:23.269]  They are separated by age or physical size depending on the room.
[00:24:23.269 --> 00:24:28.912]  50 of the individuals inside this facility were COVID positive in these cells.
[00:24:28.912 --> 00:24:35.636]  There have been multiple sexual assaults inside this facility, normal assaults and daily medical emergencies.
[00:24:35.896 --> 00:24:38.659]  This border crisis does not appear to be slowing down.
[00:24:38.659 --> 00:24:43.243]  In fact, we've just obtained new leaked documents as well from another insider.
[00:24:43.243 --> 00:24:46.066]  This one inside the Department of Homeland Security.
[00:24:46.066 --> 00:24:47.828]  It says the document was prepared by the U.S.
[00:24:47.828 --> 00:24:50.911]  Customs and Border Protection Office of Intelligence.
[00:24:51.551 --> 00:24:57.373]  It warns of a potential Central American-based caravan coming our way in less than two weeks on March 30th.
[00:24:57.373 --> 00:25:09.758]  It says, quote, in the days leading up to March 30th, and should a caravan form, CBP personnel in the region will work closely with and maintain constant communication with CBP, Customs and Border Patrol.
[00:25:09.758 --> 00:25:11.779]  Now, every car that drives by is beaving at us.
[00:25:12.219 --> 00:25:14.262]  A lot of people giving us the middle finger here.
[00:25:14.262 --> 00:25:22.171]  A lot of people are not happy that we are filming or we are recording or asking questions about this facility.
[00:25:22.171 --> 00:25:31.583]  Not only did our DHS, that's Department of Homeland Security, insider leak us these documents, the insider also secretly recorded in a private DHS Q&A session
[00:25:32.143 --> 00:25:42.597]  Alejandro Mayorkas commenting on what he thinks is happening at the border and you can hear this quote from Alejandro talking about the new administration making a decision not to expel unaccompanied children.
[00:25:42.597 --> 00:25:48.866]  The new administration made a decision not to expel unaccompanied children.
[00:25:50.950 --> 00:26:03.868]  And we are addressing a significant increase in the encounters with unaccompanied children in between the ports of entry.
[00:26:04.571 --> 00:26:06.351]  Here's a Customs and Border Patrol van.
[00:26:06.351 --> 00:26:09.452]  These are minors aged 7 to 17 inside the van.
[00:26:09.452 --> 00:26:11.392]  He's waving at us right now.
[00:26:11.392 --> 00:26:23.875]  The people that are being accompanied in this facility, according to what Project Veritas has learned, between the ages of 7 and 17, males, 600 unaccompanied juveniles.
