[00:00:00.370 --> 00:00:01.552]  It's on InfoWars.com.
[00:09:59.060 --> 00:10:07.305]  United went from 59% of their employees to 99% of their employees in less than two months after implementing the requirement. 99%.
[00:10:09.324 --> 00:10:12.885]  Oh, and now they admit the shot doesn't work even on CNN, so there's more shots!
[00:10:13.265 --> 00:10:19.528]  Oh, but it does work in attacking your ovaries, and attacking your cornea, and attacking your liver, and your heart, and your brain.
[00:10:19.868 --> 00:10:21.748]  I mean, you ever wanted to see depopulation?
[00:10:22.049 --> 00:10:23.069]  You wondered how they do it.
[00:10:23.289 --> 00:10:24.770]  They said they would through a vaccine.
[00:10:25.170 --> 00:10:26.090]  Operation Lockstep.
[00:10:26.370 --> 00:10:28.031]  Not like I just said this 20 months ago.
[00:10:28.051 --> 00:10:29.931]  21 months ago when this all started.
[00:10:29.951 --> 00:10:31.232]  It's not like I just said it.
[00:10:32.316 --> 00:10:32.956]  Six months ago.
[00:10:33.076 --> 00:10:34.457]  I said it 20 years ago.
[00:10:34.837 --> 00:10:36.758]  I said it 15 years ago in Endgame.
[00:10:37.358 --> 00:10:39.118]  Because it's their damn plan.
[00:10:41.039 --> 00:10:44.740]  And if we keep putting up with it, I guess it's their world and we're just dying in it.
[00:10:45.761 --> 00:10:46.961]  So there's that incredible footage.
[00:10:47.001 --> 00:10:47.782]  Now look at this.
[00:10:48.522 --> 00:10:52.503]  I have seen in the last few months at least 10 of these articles in the US.
[00:10:52.963 --> 00:10:53.984]  I've seen it in France.
[00:10:54.064 --> 00:10:55.064]  I've seen it in Germany.
[00:10:55.604 --> 00:10:56.785]  I've seen it in the UK.
[00:10:58.157 --> 00:11:04.620]  And now we see it at one of the most prestigious universities out there when it comes to their medical school.
[00:11:05.260 --> 00:11:14.784]  UC Irvine Director of Medical Ethics placed on investigatory leave under investigation over challenge to vaccine mandate.
[00:11:15.684 --> 00:11:22.467]  So he's the ethics head who they hired many years ago to make sure they follow laws and just proper ethics.
[00:11:24.708 --> 00:11:27.749]  So it'd be kind of like, you know, the top referee in the NFL.
[00:11:29.249 --> 00:11:31.911]  And then the other team, in a game, openly cheats.
[00:11:34.692 --> 00:11:38.375]  And he says, okay, you know, 10-yard penalty first down.
[00:11:38.395 --> 00:11:39.475]  And they say, nope, you're fired.
[00:11:40.276 --> 00:11:42.477]  And everybody sees that the vaccine's killing people.
[00:11:42.697 --> 00:11:44.218]  Everybody sees it isn't a vaccine.
[00:11:44.538 --> 00:11:46.239]  Everybody sees the liability protection.
[00:11:46.419 --> 00:11:47.780]  Everybody sees the World ID.
[00:11:47.800 --> 00:11:55.505]  Everybody sees Fauci cooking it up with Daszak under Bill Gates' control and admitting they made it and wanted to release it open air and create the exact virus.
[00:11:58.151 --> 00:12:00.313]  But still, oh, you're censored.
[00:12:00.813 --> 00:12:01.854]  Oh, still, you're fired.
[00:12:01.974 --> 00:12:03.935]  Oh, still, you're on investigation leave.
[00:12:03.955 --> 00:12:05.756]  You're on investigatory leave.
[00:12:07.017 --> 00:12:20.647]  University of California, Irvine has placed their Director of Medical Ethics, Dr. Aaron Karlady, on investigatory leave after he challenged the constitutionality of the UC vaccine mandate.
[00:12:23.128 --> 00:12:23.969]  And it goes on from there.
[00:12:25.865 --> 00:12:28.207]  He needs to be on Joe Rogan's show.
[00:12:28.267 --> 00:12:29.048]  He needs to be here.
[00:12:29.869 --> 00:12:31.090]  He needs to get out there.
[00:12:31.330 --> 00:12:36.815]  But there he is putting his money and life on the line because he knows the evil's gotten too great.
[00:12:37.576 --> 00:12:39.878]  But they're creating their army of people that'll follow orders.
[00:12:40.298 --> 00:12:41.279]  They're purging the military.
[00:12:41.299 --> 00:12:42.180]  They're purging the police.
[00:12:42.500 --> 00:12:46.464]  They're purging the whole system and putting their useful idiots in there.
[00:12:49.292 --> 00:12:50.974]  I mean, I've just got hundreds of such articles here.
[00:12:50.994 --> 00:12:55.399]  Pfizer officially announces it's coming for your children.
[00:12:55.459 --> 00:12:58.101]  Key article and videos on InfoWars.com.
[00:12:58.602 --> 00:13:02.987]  Despite the fact that the younger you are, they've done studies and tried to cover them up.
[00:13:03.047 --> 00:13:05.610]  It's coming out of two-year-olds and five-year-olds.
[00:13:05.790 --> 00:13:08.973]  Massive heart attacks, deaths, and they suppress the deaths.
[00:13:09.634 --> 00:13:11.196]  It's all going to be coming out soon, folks.
[00:13:12.423 --> 00:13:13.723]  I've talked to the lawyers involved.
[00:13:14.104 --> 00:13:14.904]  Let me just leave it at that.
[00:13:14.964 --> 00:13:16.104]  I've seen the documentation.
[00:13:16.124 --> 00:13:19.065]  But it's actually coming out that they suppress the trials, even already.
[00:13:20.385 --> 00:13:21.306]  Very important story.
[00:13:22.206 --> 00:13:27.108]  And Los Angeles County Sheriff refuses to enforce vaccine mandate.
[00:13:27.988 --> 00:13:31.249]  But just like Biden just said, globalism is corporate tyranny.
[00:13:32.062 --> 00:13:33.945]  And the corporations lobby the government.
[00:13:34.205 --> 00:13:35.386]  They want governmental power.
[00:13:35.467 --> 00:13:37.790]  So they have the executive give the order.
[00:13:38.510 --> 00:13:39.692]  The executive gets the heat.
[00:13:40.153 --> 00:13:40.934]  He's just a puppet.
[00:13:40.994 --> 00:13:45.039]  And then big tech and big media and the airlines, all of them are the big banks.
[00:13:45.399 --> 00:13:46.241]  They can do whatever they want.
[00:13:47.918 --> 00:13:53.142]  And so even in New South Wales, the worst police state on earth, the police don't enforce the not going in businesses.
[00:13:53.182 --> 00:13:57.486]  Though, you've seen some footage of them beating people in grocery stores who didn't have vaccine passports.
[00:13:58.066 --> 00:14:02.449]  It's beyond some dystopian sci-fi nightmare situation.
[00:14:02.910 --> 00:14:05.312]  Now, let's get to this video.
[00:14:06.513 --> 00:14:10.496]  Go ahead and roll the video of the graph and I'll go ahead and narrate it for everybody.
[00:14:13.223 --> 00:14:16.525]  Video illustrates how COVID vaccines have totally backfired.
[00:14:16.565 --> 00:14:17.446]  Well, they didn't backfire.
[00:14:18.127 --> 00:14:22.069]  It's like saying dropping a bomb on Hiroshima or Nagasaki, but the A-bombs backfired.
[00:14:22.149 --> 00:14:23.590]  No, they were meant to detonate and kill people.
[00:14:24.651 --> 00:14:27.613]  And you can see the worldwide deaths from all over the world.
[00:14:28.294 --> 00:14:35.959]  Burma, Brazil, Cambodia, they're just going in two minutes in this video that's on Infowars.com to the countries.
[00:14:36.680 --> 00:14:37.621]  And it's all the same.
[00:14:37.801 --> 00:14:38.341]  It's incredible.
[00:14:38.381 --> 00:14:39.222]  You take the shot.
[00:14:40.899 --> 00:14:44.140]  And in a few weeks, it just explodes, if not within a few days.
[00:14:45.120 --> 00:14:45.460]  Wow.
[00:14:45.961 --> 00:14:51.382]  Because it generates the very virus in your body, makes the spike protein, the shell of virus makes you sick.
[00:14:52.943 --> 00:14:54.883]  And you have the biggest spikes ever seen.
[00:14:54.983 --> 00:14:55.363]  Doesn't matter.
[00:14:55.383 --> 00:15:07.727]  It's Israel, Gibraltar, Singapore, England, the United States, Jordan, Malaysia, and it's all right there.
[00:15:10.768 --> 00:15:11.729]  Majority of people dying.
[00:15:11.769 --> 00:15:12.670]  The majority of people getting sick.
[00:15:12.710 --> 00:15:13.370]  Have to have the shot.
[00:15:13.390 --> 00:15:16.173]  Thank you for joining us here on the Alex Jones Show.
[00:15:16.273 --> 00:15:18.115]  Owen Schroer, trying to put him in prison.
[00:15:18.655 --> 00:15:19.496]  He just got out of court.
[00:15:19.536 --> 00:15:21.478]  He'll be here with us middle of the next hour.
[00:15:21.558 --> 00:15:22.779]  Stay tuned for that.
[00:15:22.819 --> 00:15:30.125]  But let me go ahead right now and hit this really, really important big news that we've got.
[00:15:31.487 --> 00:15:34.229]  I saw this clip this morning when I got up at 5 a.m.
[00:15:34.349 --> 00:15:35.510]  I sent it to the producers.
[00:15:35.590 --> 00:15:36.851]  I said, I want to play this on the show.
[00:15:38.078 --> 00:15:40.760]  And when I got here this morning, they've been looking for hours.
[00:15:41.581 --> 00:15:43.062]  It had been expunged everywhere.
[00:15:43.102 --> 00:15:48.086]  So we had to go to Sean Hannity's show itself on the Fox site and find the video there.
[00:15:48.467 --> 00:15:49.968]  They do not want this video out.
[00:15:50.028 --> 00:15:55.172]  Now, part of the show is everywhere from saying a lot of these Haitians have HIV and AIDS, which is true.
[00:15:56.913 --> 00:16:00.997]  So the Democrats are all, they have a law passed in California, you can give somebody HIV or hepatitis, it's okay.
[00:16:02.762 --> 00:16:06.723]  But oh my gosh, COVID-19, even the fear of it, we're all guilty, we're all bad.
[00:16:06.743 --> 00:16:08.604]  And that's how the Nazis took control.
[00:16:09.364 --> 00:16:12.065]  First thing, all these groups were dirty and had to be locked up.
[00:16:12.145 --> 00:16:20.727]  So we've seen this medical tyranny before, and none of it makes sense unless you realize it's all about a power grab.
[00:16:22.167 --> 00:16:23.668]  So here is the censored clip.
[00:16:25.060 --> 00:16:30.622]  That we've also re-uploaded to Bandot Video and put back in the article, but this is a story in and of itself.
[00:16:31.182 --> 00:16:37.665]  Trump warns Central American countries are emptying their prisons into the United States, because that's so true.
[00:16:38.405 --> 00:16:43.827]  It's like 90% men coming in, and boy, when they find out their names from the countries, it's scary.
[00:16:44.327 --> 00:16:53.231]  And Mexico's been warning that this is majority, hardened criminals, rapists, murderers, mentally ill people, handicaps.
[00:16:53.331 --> 00:16:53.831]  I mean, we're just...
[00:16:54.651 --> 00:16:58.612]  We're having the homeless dumped on us as if we don't have enough.
[00:16:58.652 --> 00:16:59.873]  It's all cloud and pebbin'.
[00:17:00.133 --> 00:17:01.934]  So here's the clip they're really afraid of.
[00:17:02.894 --> 00:17:03.934]  There's something wrong.
[00:17:05.215 --> 00:17:09.856]  You wouldn't believe you could even say this, but somebody doesn't love our country.
[00:17:10.116 --> 00:17:17.839]  When they allow this to happen to our country, we have hundreds of thousands of people pouring in every two weeks.
[00:17:18.219 --> 00:17:19.440]  Hundreds of thousands.
[00:17:19.500 --> 00:17:23.221]  And coming from countries we don't even know from where they're coming in.
[00:17:23.841 --> 00:17:26.182]  You know, they're emptying out many countries.
[00:17:26.262 --> 00:17:27.663]  I used to say the three.
[00:17:28.603 --> 00:17:35.747]  Guatemala, you could add Mexico, Honduras, you could add El Salvador, but I used to say three or four countries.
[00:17:36.167 --> 00:17:37.528]  I hear it's 50 countries.
[00:17:37.568 --> 00:17:40.629]  They're emptying out their prisons into the United States.
[00:17:40.989 --> 00:17:41.790]  Their jails.
[00:17:41.850 --> 00:17:47.172]  Some of the toughest people on earth are being dumped into the United States because they don't want them.
[00:17:47.552 --> 00:17:49.933]  They don't want to take care of them for the next 40 years.
[00:17:50.454 --> 00:17:59.917]   So these People that are the roughest prisoners there are anywhere are being dumped into the United States for us to take care of them.
[00:18:01.097 --> 00:18:10.580]  While they try to downsize the police by 50% in the blue cities to then only put SJW Antifa people in uniform.
[00:18:10.720 --> 00:18:11.300]  That's happening.
[00:18:12.113 --> 00:18:17.237]  So this, you can see, this is the destabilization, collapsed the country, a giant client group that'll never get jobs.
[00:18:17.557 --> 00:18:21.620]  In Europe, people that the UN brought in, 10 years later on average, 90% are still on welfare.
[00:18:21.860 --> 00:18:23.902]  They live in ghettos, they rob, they steal, they kill.
[00:18:25.943 --> 00:18:28.645]  It's a plan, and I'm gonna show you part of that plan in a moment.
[00:18:29.546 --> 00:18:34.630]  But first, ladies and gentlemen, yeah, there's awesome police announced, they'll no longer respond to 911 calls.
[00:18:35.270 --> 00:18:40.614]  And up in Dallas, the young man that shot three people, they released him less than 24 hours later.
[00:18:41.855 --> 00:18:43.536]  On personal recognizance bond.
[00:18:46.219 --> 00:18:46.759]  Did you hear me?
[00:18:47.279 --> 00:18:48.040]  Because he's black.
[00:18:49.141 --> 00:18:50.442]  And so we can't be black.
[00:18:50.882 --> 00:18:52.123]  I mean, we can't be racist.
[00:18:52.483 --> 00:18:56.226]  So we have to let black people out that shoot black people.
[00:18:56.607 --> 00:18:57.988]  I'm sure black folks really love that.
[00:18:59.448 --> 00:19:02.150]  So see, this is all of the stabilization campaign of the country.
[00:19:02.550 --> 00:19:12.998]  Here is Trump pointing out the high levels of HIV and AIDS out of the Clinton-ravaged, UN-ravaged Haiti, also being brought here by the hundreds of thousands per month.
[00:19:13.038 --> 00:19:13.339]  Here it is.
[00:19:18.226 --> 00:19:20.969]  Hundreds of thousands of people flowing in from Haiti.
[00:19:20.989 --> 00:19:24.112]  Haiti has a tremendous AIDS problem.
[00:19:24.933 --> 00:19:26.895]  AIDS is a step beyond.
[00:19:26.915 --> 00:19:30.118]  AIDS is a real bad problem.
[00:19:30.478 --> 00:19:34.542]  So hundreds of thousands of people are coming into our country.
[00:19:35.103 --> 00:19:41.699]   And if you look at the stats, if you look at the numbers, If you look at, just take a look at what's happening in Haiti.
[00:19:42.319 --> 00:19:44.281]  A tremendous problem with AIDS.
[00:19:45.002 --> 00:19:51.727]  Many of those people will probably have AIDS and they're coming into our country and we don't do anything about it.
[00:19:51.787 --> 00:19:53.169]  We let everybody come in.
[00:19:54.149 --> 00:19:55.531]  Sean, it's like a death wish.
[00:19:56.051 --> 00:19:57.833]  It's like a death wish for our country.
[00:19:59.278 --> 00:20:21.028]  Well, yeah, it's called the UN-Clardon-Piven-Collapse-The-Nation-State-Blame-It-On-The-Politicians-You-Own-And-Then-Bring-In-A-World-Corporate-Tyranny-Technocracy-Tracking-And-Tracing-Everyone-To-Protect-The-Wealthy-Population-From-The-Hordes-They-Brought-In-That's-How-The-Ultra-Rich-Controllers-Absorb-Their-Real-Enemy-The-Nouveau-Riche-It's-All-About-Targeting-New-Wealth-And-Competition-Of-The-Globalist.
[00:20:22.432 --> 00:20:28.597]  And then getting the new Orisha to join the Globeless finally, and the eradication of the third world out of self-preservation.
[00:20:28.997 --> 00:20:35.982]  Which I do not sign on this plan, but I have been offered to join them in front of witnesses at work here before, and I'm gonna leave it at that.
[00:20:36.783 --> 00:20:40.145]  That's why they hate my ass, because they tried to get me to join them, they thought I would, and I didn't.
[00:20:40.805 --> 00:20:42.126]  And I guess they're pretty smart, aren't they?
[00:20:42.146 --> 00:20:45.009]  Except they're missing God, they're missing the Holy Spirit.
[00:20:45.891 --> 00:20:48.015]  They're smart enough to try to hire me 15 years ago?
[00:20:48.095 --> 00:20:49.037]  Hire me 10 years ago?
[00:20:49.057 --> 00:20:52.664]  They haven't tried in a while and they just want to destroy us, but that shows you who they are.
[00:20:53.105 --> 00:20:54.267]  Now let's look at what's really behind this.
[00:20:54.367 --> 00:21:07.095]   Why did Sacha Baron Cohen, two Decembers ago, almost two years ago, Say at the ADL awards ceremony, arrest Alex Jones and arrest people that talk about replacement migration, when that's on the UN's own website.
[00:21:07.716 --> 00:21:08.956]  And here it is, revealed.
[00:21:09.096 --> 00:21:12.198]  UN plan to flood America with 600 million migrants.
[00:21:12.698 --> 00:21:13.959]  That's from 2018.
[00:21:14.559 --> 00:21:17.201]  Paul Joseph Watson article got attacked everywhere by the fact checkers.
[00:21:17.481 --> 00:21:18.962]  It's from the UN's own website.
[00:21:19.582 --> 00:21:20.402]  Well, guess what?
[00:21:20.442 --> 00:21:32.285]  Now the Financial Times of London came out yesterday and says Europeans should be prepared for demographic replacement by Arabs and Asians and, of course, North Africans, saying because of climate change, a billion of them are going to be here by 2050.
[00:21:32.825 --> 00:21:35.026]  Oh, sorry, 600 million for North America.
[00:21:35.486 --> 00:21:36.806]  That's Mexico's going to get flooded, too.
