[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[00:08:47.808 --> 00:08:51.673]  I'm not happy about it, but I've got my soul lined up with God and I can deal with it.
[00:08:52.274 --> 00:08:54.197]  When the general public figures out...
[00:08:55.836 --> 00:09:02.520]  And feels the pain, but when they figure out how much trouble they're in, it's going to be explosive, and it's going to be hellish, and it's going to be dangerous.
[00:09:03.160 --> 00:09:05.802]  That's exactly what Klaus Schwab has been planning the whole time.
[00:09:06.322 --> 00:09:09.224]  Only full awakening to it and getting right with God can save us.
[00:09:09.484 --> 00:09:15.627]  Well, I want everybody to brace yourselves, and I really want everybody to then let this soak in and decide what you're going to do about it.
[00:09:17.408 --> 00:09:44.659]   But we have Mike Adams, who's a great engineer and a very smart man, joining us to break down a lawyer Who's prominent, who just pointed out and put a story out that's gone viral, that Mike Adams expanded on it, with the Pentagon's AI, main AI project that was monitoring COVID-19 worldwide, but particularly in the US, that was launched last April, and its findings.
[00:09:46.480 --> 00:09:49.122]  And the findings are very conclusive.
[00:09:50.171 --> 00:10:04.117]  That the individuals that have taken the mRNA injections that they call vaccines, Pfizer and Moderna, are having their immune systems erased within five to six months and then are developing ADE.
[00:10:04.137 --> 00:10:08.039]  And ADE is something you don't want.
[00:10:09.700 --> 00:10:16.503]  Because if you come in contact with any other type of cold virus, you have a violent cytokine storm and generally die.
[00:10:18.516 --> 00:10:24.379]  And when they see this happen, they're claiming it's COVID killing you, and they're blaming the unvaccinated.
[00:10:24.759 --> 00:10:26.039]  But it's all in the Pentagon Report.
[00:10:26.059 --> 00:10:28.341]  We've got the slideshow from the Pentagon.
[00:10:29.841 --> 00:10:34.864]  And Mike Adams joins us coming up in T-minus 24 minutes to go over that.
[00:10:36.144 --> 00:10:53.535]   We also have a lot of huge news on the economy and the so-called spending budget that is almost $4 trillion that Gives hundreds of billions of dollars to Democrat operatives on the streets to steal elections and basically sow racial division.
[00:10:54.135 --> 00:10:55.336]  We've got all that, but it's okay.
[00:10:55.356 --> 00:11:01.821]  House Budget Committee Chairman says the federal government can, quote, afford anything and that money is unlimited.
[00:11:01.861 --> 00:11:06.285]  That's a real video, a real quote, and we're going to talk about what that really means.
[00:11:06.345 --> 00:11:07.486]  It means food shortages.
[00:11:07.546 --> 00:11:09.047]  It means collapse of civilizations.
[00:11:09.507 --> 00:11:10.368]  It means Venezuela.
[00:11:10.968 --> 00:11:31.969]  When they start telling you in Weimar, Germany in the 1920s, or they start telling you in the 1990s in Zimbabwe, Africa, or they start telling you in the 2000s in places in South America like Venezuela, that they got plenty of money and that money's unlimited, the government can quote do anything.
[00:11:33.200 --> 00:11:36.021]  Katie, bar the door, you're going to see what's already happening.
[00:11:36.501 --> 00:11:39.743]  Food prices exploding, commodity prices exploding, long lines.
[00:11:39.923 --> 00:11:43.484]  It's really bad in Europe, really bad in Australia, really bad in the UK.
[00:11:43.564 --> 00:11:48.607]  And they're now saying food shortages throughout Christmas and basically no Christmas.
[00:11:49.187 --> 00:11:53.469]  And CNN blames America in a headline, how America ruined Christmas.
[00:11:53.989 --> 00:11:59.731]  If we would have just all taken our shots, our third and fourth shots, we would have all saved the world.
[00:11:59.811 --> 00:12:00.772]  Everything's our fault.
[00:12:01.232 --> 00:12:02.637]  Aren't they nice folks over at SEMA?
[00:12:02.677 --> 00:12:05.205]  I thought it was Klaus Schwab and the Great Reset.
[00:12:05.928 --> 00:12:06.790]  That's all coming up.
[00:12:07.845 --> 00:12:08.865]  And the crew makes a good point.
[00:12:08.885 --> 00:12:11.186]  They put up an article from last year in the New York Times.
[00:12:11.406 --> 00:12:15.327]  Oh, instead of coronavirus, the hunger will kill us as global food crisis looms.
[00:12:15.707 --> 00:12:20.288]  Back then they said 287 million people went to the verge of starvation.
[00:12:20.308 --> 00:12:22.009]  An extra 20 plus million did die.
[00:12:22.549 --> 00:12:23.309]  New numbers are out.
[00:12:23.329 --> 00:12:25.670]  Looks like another 40 million extra will die this year.
[00:12:26.130 --> 00:12:34.352]  So that's 60 million people Klaus Schwab killed with the lockdowns and the people wearing masks and saying they were heroes and staying in.
[00:12:35.532 --> 00:12:39.515]  Because when the first world shuts down, the third world dies.
[00:12:40.716 --> 00:12:44.298]  And then those that live flood us and flood over our borders.
[00:12:44.878 --> 00:12:49.561]  And we've got, it's now 80,000 documented coming towards the border.
[00:12:50.122 --> 00:12:53.024]  Another 10,000 or so over a few days are coming across just from Haiti.
[00:12:53.304 --> 00:12:59.188]  But an 80,000 just broke through Thursday across the Guatemala border, UN directed.
[00:12:59.208 --> 00:13:02.750]  80,000, the Mexican government confirms. 80,000.
[00:13:05.932 --> 00:13:07.173]  Marching and taking U.N.
[00:13:07.193 --> 00:13:08.575]  buses up to the Texas border.
[00:13:09.475 --> 00:13:12.058]  Then broken up and same number again, 80%.
[00:13:12.098 --> 00:13:12.558]  I'm not kidding.
[00:13:12.598 --> 00:13:12.998]  Pull it up.
[00:13:13.018 --> 00:13:13.419]  80,000 are now coming.
[00:13:13.258 --> 00:13:14.378]  I'm kidding, pull it up.
[00:13:14.378 --> 00:13:17.018]  80, so I'm not saying 80,000, 80, 80%.
[00:13:17.018 --> 00:13:21.697]   80,000 are now coming and of the 40,000 or so that already got here in the last month,
[00:13:21.697 --> 00:13:28.017]   80%, you can look it up, Biden administration releases 80% of the 80,000.
[00:13:28.017 --> 00:13:32.698]   So you do the math, that's more than 60,000 right there for you.
[00:13:32.916 --> 00:13:33.897]  So simply incredible.
[00:13:34.557 --> 00:13:38.160]  Right now, let's just dive into the COVID worldwide police state news.
[00:13:38.661 --> 00:13:43.465]  Representative Adam Schiff says YouTube ban on vaccine skepticism doesn't go far enough.
[00:13:44.756 --> 00:13:54.961]  Any criticism, including local news or even doctors showing you the inserts of regular vaccines and the side effects, you're not allowed as a consumer or a doctor to have consumer reports.
[00:13:55.221 --> 00:13:55.941]  All of it's banned.
[00:13:56.622 --> 00:13:58.563]  This is what Facebook said two years ago about me.
[00:13:58.943 --> 00:14:01.844]  They said, no positive Alex Jones, only negative.
[00:14:01.864 --> 00:14:03.065]  That was an actual statement.
[00:14:04.318 --> 00:14:04.819]  Same thing here.
[00:14:05.059 --> 00:14:07.462]  Only positive stuff about vaccines.
[00:14:07.643 --> 00:14:08.223]  All vaccines.
[00:14:08.704 --> 00:14:16.655]  Not just this mRNA gene therapy, but real vaccines like measles, mumps, rubella, experimental vaccines that are killing people for HIV, you name it, for Ebola.
[00:14:16.875 --> 00:14:19.098]  You are not to post an article about it or talk about it.
[00:14:19.358 --> 00:14:20.279]  It's so good for you.
[00:14:20.339 --> 00:14:21.159]  No, they admit it can kill you.
[00:14:21.860 --> 00:14:25.882]  Continuing, Twitter censors obituary of COVID vaccine victim.
[00:14:26.402 --> 00:14:28.264]  The doctors confirmed she died of a heart attack.
[00:14:28.284 --> 00:14:31.926]  The young woman, the young mother, what, 30 years old when she took the shot?
[00:14:32.346 --> 00:14:33.687]  And they just said that's not allowed.
[00:14:33.827 --> 00:14:37.890]  So you can go read the screenshots of them being restricted and blocked.
[00:14:38.430 --> 00:14:38.930]  For yourself.
[00:14:38.991 --> 00:14:39.651]  But she's dead now.
[00:14:39.911 --> 00:14:40.332]  Heart attack.
[00:14:40.552 --> 00:14:43.894]  It says on the insert, up until a few months ago, there was nothing on the inserts, remember?
[00:14:44.135 --> 00:14:48.018]  But now it says, oh, myocarditis and a bunch of other forms of heart attacks.
[00:14:48.438 --> 00:14:49.359]  Oh, and here's another one for you.
[00:14:49.739 --> 00:14:54.643]  Denver police officer and father of four takes the jab and now cannot walk.
[00:14:55.384 --> 00:14:56.144]  But that's okay.
[00:14:56.545 --> 00:14:57.866]  You know, it's for the greater good, right?
[00:14:58.206 --> 00:15:01.249]  Newsom unleashes mass culling of America's children.
[00:15:02.298 --> 00:15:13.631]  California Governor Gavin Newsom has done the unthinkable, ignored the research, ignored the deaths, ignored the doctors and parents that will rise up like a firestorm in the next few days, weeks and months as he moves against the children.
[00:15:14.865 --> 00:15:16.865]  That's to give vaccine liability protection.
[00:15:16.865 --> 00:15:19.865]  Because first it was experimental, now that's expiring.
[00:15:19.865 --> 00:15:21.865]  So they lie and say, "Oh, it's approved," when it's not.
[00:15:21.865 --> 00:15:24.865]  They've approved the official vaccine in 2025.
[00:15:24.865 --> 00:15:25.865]  It's all side of hand.
[00:15:25.865 --> 00:15:30.865]   But by him mandating it for children, at a state level, it kicks in emergency authorization.
[00:15:30.865 --> 00:15:32.865]  Rick Perry did something really bad.
[00:15:32.865 --> 00:15:33.865]  And Rick Perry's better than these guys.
[00:15:33.865 --> 00:15:39.865]   But when he approved the Gardasil experimental shot 14 years ago that had killed people in other countries,
[00:15:39.865 --> 00:15:46.865]   live virus vaccine, and then when he recommended it, made it "sanctioned," but it wasn't forced,
[00:15:46.865 --> 00:15:49.865]   but it was on the list of what they want you to take to go to school.
[00:15:50.626 --> 00:16:00.632]  They try to lie and say you have to, but that then gave liability protection to the drug in the United States, and it caused a lot of deaths and problems, and now you don't see them pushing Gardasil shots, do you?
[00:16:01.632 --> 00:16:09.660]   Continuing, though, Video healthcare workers burn scrubs in protest of New York vaccine mandate out in the streets by the thousands.
[00:16:09.680 --> 00:16:17.110]  Gee, don't listen to nurses and doctors that have seen nine, ten months of the vaccine killing people here in the US and maiming them.
[00:16:17.551 --> 00:16:19.793]  No, no, they were the heroes before, right?
[00:16:19.833 --> 00:16:20.554]  But now they're not.
[00:16:21.963 --> 00:16:25.104]  And Brazil's Bolsonaro is what I wish Trump would have been.
[00:16:25.484 --> 00:16:27.744]  Brazil's Bolsonaro unchained.
[00:16:28.284 --> 00:16:34.085]  If you accept this vaccination passport, it will lead to population control and eugenics.
[00:16:34.125 --> 00:16:38.906]  That story up on InfoWars.com, NewsWars.com, also NationalFile.com.
[00:16:39.566 --> 00:16:48.308]  And Fauci says unvaccinated should not be able to work or go to school in a new statement on Face the Nation.
[00:16:49.656 --> 00:16:50.957]  Where have I heard of that before?
[00:16:51.077 --> 00:16:51.958]  Oh, here's the AP.
[00:16:52.498 --> 00:16:56.561]  Israel titans COVID Green Pass rules sparking protest.
[00:16:57.677 --> 00:16:58.537]  Oh, look at this!
[00:16:59.018 --> 00:17:08.601]  They took the first two shots and now Israel has the highest rates of deaths and illnesses in the world, over 90% injected, vaccinated, and now, booster jab every six months?
[00:17:09.961 --> 00:17:20.005]  1.5 million double-dosed and recovered Israelis, people that actually got sick from the shots, lose Green Pass privileges as stricter COVID-19 rules kick in.
[00:17:20.105 --> 00:17:34.532]   Oh, stricter rules that you'll put in your body what we say, when we say, Have you compared Israel to Sweden or Palestine or anywhere that's much lower vaccine rates?
[00:17:34.632 --> 00:17:38.755]  They have the highest rate in the world compared to other places like them.
[00:17:38.775 --> 00:17:45.138]  You know, large countries that do not have high vaccination rates, they have very low illness rates.
[00:17:45.318 --> 00:17:46.899]  Here's some of the numbers from Israel.
[00:17:47.419 --> 00:17:48.600]  You can see Sweden compared.
[00:17:48.620 --> 00:17:51.862]  They've got one-tenth the cases and illnesses that Israel has.
[00:17:55.097 --> 00:18:02.201]  And they're protesting all over Europe, freedom without certificates, thousands protesting against COVID passports and planned vaccine mandates in Romania.
[00:18:02.421 --> 00:18:04.082]  That's all up on InfoWars.com.
[00:18:04.622 --> 00:18:05.283]  Very, very important.
[00:18:05.323 --> 00:18:17.029]  But, oh, SNL in Hollywood looking down its nose at us does a skit making fun of parents protesting forced injections for their children to go to school and the fact that it's color of law and you don't have to.
[00:18:18.709 --> 00:18:22.352]  They're trying to make it actually a law and a mandate, but nope, but nobody's passed a law yet.
[00:18:22.612 --> 00:18:30.739]  It's all just bureaucracies and media and the executive branch and drug companies ordering you what to do and a bunch of Hollywood trash making fun of you.
[00:18:31.180 --> 00:18:35.423]  When I can assure you, Hollywood's exempt and so is Congress and so is the CDC.
[00:18:35.483 --> 00:18:35.924]  Look it up.
[00:18:36.224 --> 00:18:37.725]  They're exempt, but you're not.
[00:18:38.065 --> 00:18:39.286]  You're a slave.
[00:18:39.767 --> 00:18:42.069]  It's all coming up on the other side.
[00:18:42.109 --> 00:18:42.649]  Stay with us.
[00:18:42.969 --> 00:18:45.532]  Monday through Friday, I'm here live on air 11 a.m.
[00:18:45.552 --> 00:18:46.172]  to 3 p.m.
[00:18:46.232 --> 00:18:46.613]  Central.
[00:18:47.293 --> 00:19:04.203]  Only way this dog hunts and gets out of the phantom zone of censorship is when you take action and tell strangers and friends and neighbors and co-workers and family and everybody else about the broadcast that lives at freeworldnews.tv, infowars.com, forward slash show.
[00:19:05.664 --> 00:19:07.665]  So I just read you a lot of really important news.
[00:19:08.425 --> 00:19:16.650]  The coming up next segment, we're going to show you the Pentagon documents and the Pentagon report and the Pentagon PowerPoint.
[00:19:17.659 --> 00:19:18.940]  Published by the Pentagon.
[00:19:20.301 --> 00:19:30.028]  And a lead lawyer, Thomas Renz, who is currently lead counsel in three of the major big national lawsuits, is filing this as his evidence.
[00:19:30.268 --> 00:19:31.489]  And it's very clear.
[00:19:32.109 --> 00:19:33.350]  I've shown it to medical doctors.
[00:19:33.410 --> 00:19:34.551]  I've shown it to statisticians.
[00:19:35.191 --> 00:19:36.452]  And it's all right there.
[00:19:36.892 --> 00:19:42.336]  It's all in what the Pentagon released with their big COVID AI analysis program.
[00:19:42.396 --> 00:19:54.126]   And it's also what we see In the October report by the CDC before they even approved the vaccine, they'd already done some secretive trials in the UK and it was causing heart attacks.
[00:19:54.646 --> 00:19:59.368]  And they said, this will probably cause myocarditis, heart swelling, and also straight up heart attacks.
[00:19:59.388 --> 00:20:01.269]  So that's going on.
[00:20:01.709 --> 00:20:12.354]  And so when you have a heart attack and die, whether you're 12 years old or whether you were, you know, Hank Aaron and were 80 years old or whatever, 79 years old, they just try to suppress that fact.
[00:20:14.062 --> 00:20:15.302]  So that's what's coming out.
[00:20:15.643 --> 00:20:19.664]  And yeah, this came out months ago, but now even more information has come out.
[00:20:19.684 --> 00:20:25.786]  50,000 patients died soon after, within 14 days after getting COVID-19 vaccines, says Whistleblower.
[00:20:26.046 --> 00:20:32.929]  That's why the CDC doesn't count somebody who dies from the COVID-19 vaccines, Pfizer and Moderna, in the first 14 days.
[00:20:32.969 --> 00:20:34.089]  They count it as unvaccinated.
[00:20:35.009 --> 00:20:38.511]  But that's during the period that if it's going to kill you quick, it's going to kill you.
[00:20:39.151 --> 00:20:41.812]  So if you're a radio listener, understand everything I'm saying we're putting on screen.
[00:20:42.813 --> 00:20:44.734]  Don't believe a word I say, go check it out for yourself.
[00:20:46.096 --> 00:20:52.200]  That's why the system's constantly trying to demonize us and constantly trying to shut us down and has gotten rid of my due process.
[00:20:53.821 --> 00:20:56.944]  It is because they are dismantling this country.
[00:20:57.024 --> 00:21:02.628]  This country is in a war for its survival and if Congress and others don't fully wake up to it, it's over.
[00:21:03.309 --> 00:21:07.672]  I can tell you that I've talked to basically all the top talk show hosts in the country.
[00:21:09.206 --> 00:21:10.046]  I mean, all the top ones.
[00:21:10.546 --> 00:21:12.047]  The top five I talked to.
[00:21:12.127 --> 00:21:13.187]  And they're all totally awake now.
[00:21:13.207 --> 00:21:13.988]  They've all checked it all out.
[00:21:14.008 --> 00:21:14.668]  They know it's all true.
[00:21:14.688 --> 00:21:16.808]  They're doing as much as they can to bring this out.
[00:21:16.868 --> 00:21:25.271]  But if the governors and the people in the legislatures and the Republican leadership don't get hardcore, I don't know what we're going to do.
[00:21:25.611 --> 00:21:33.474]  We're going to have to start doing civil disobedience and things just to bring this out so much that it forces it out.
[00:21:33.494 --> 00:21:35.794]  Because we're under UN global corporate attack.
[00:21:35.814 --> 00:21:36.855]  That's what the Great Reset is.
[00:21:37.850 --> 00:21:48.915]  And the Congress and the FBI is all prepared for a foreign state enemy when the main state is Facebook and Twitter and Google and the Chai Coms and all these big consortiums of power.
[00:21:50.316 --> 00:21:51.076]  Take Big Pharma.
[00:21:52.037 --> 00:21:53.437]  The central banks are the most powerful.
[00:21:53.457 --> 00:21:58.519]  They're the private shareholders of the European, US, Australian, New Zealand, Canadian banks.
[00:21:59.040 --> 00:22:00.380]  They issue the currency and credit.
[00:22:00.921 --> 00:22:01.941]  The federal government doesn't.
[00:22:02.781 --> 00:22:04.302]  And they own Big Pharma.
[00:22:04.362 --> 00:22:05.683]  That's the second largest combine.
[00:22:06.668 --> 00:22:08.557]  And then it's defense, and then it's, uh...
[00:22:09.734 --> 00:22:14.214]   media and so on and former Australian member of parliament says Pfizer and AstraZeneca
[00:22:14.214 --> 00:22:20.843]   Paid lobbyists to direct Australia's leaders to push vaccine mandates video. Well, I don't need him to tell me
[00:22:20.843 --> 00:22:25.514]   that it's true They've spent billions in the US in the last decade buying
[00:22:25.514 --> 00:22:29.253]   of the politicians billions in Europe and hundreds of millions in Australia
[00:22:29.253 --> 00:22:35.294]   That's why when Pfizer CEO came on TV a month ago and he said I don't care of the two top scientists quit at
[00:22:35.294 --> 00:22:38.933]   the FDA over these shots we're gonna have boosters and
[00:22:39.613 --> 00:22:41.613]  Three weeks later, they did.
[00:22:41.613 --> 00:22:50.329]   I I don't care what the scientists on the CDC and FDA boards say, even if it's in law that we follow what they say, it's gonna happen.
[00:22:50.389 --> 00:22:52.492]  And Fauci said it's gonna happen too, and it is!
[00:22:53.714 --> 00:22:55.777]  Because they are bought and paid for.
[00:22:56.866 --> 00:23:00.367]  And the Justice Department won't indict him, so that's where we are.
[00:23:00.407 --> 00:23:05.168]  We're literally in the hands of a big pharma cartel that's merged with Big Tech.
[00:23:05.448 --> 00:23:11.650]  Big Tech is heavily invested in all this, and that's why YouTube, all of them, came out and said, there will be no criticism of any vaccine.
[00:23:11.690 --> 00:23:14.890]  And now, hell, maybe if a drug makes you have a heart attack, you can't talk about it.
[00:23:14.910 --> 00:23:16.651]  It already happens with the shots.
[00:23:18.379 --> 00:23:21.441]  So you can find that video at InfoWars.com.
[00:23:21.461 --> 00:23:22.742]  It's also on GatewayPunta.com.
[00:23:22.802 --> 00:23:30.247]  A former Australian Member of Parliament came out and said Pfizer and AstraZeneca are paying lobbyists to direct Australia's leaders to push vaccine mandates.
[00:23:30.387 --> 00:23:42.623]   Clive Palmer, leader of the United Australia Party, claimed outside New South Wales Premier Was told she would be charged with a corruption probe if she imposed a vaccine mandate.
[00:23:42.703 --> 00:23:51.110]  And it turns out that, yeah, that's why the New South Wales lady stepped down when she was openly getting reportedly over a million dollars herself from Big Pharma to do this.
[00:23:53.018 --> 00:23:55.019]  And we're not just talking about for campaign money, folks.
[00:23:55.039 --> 00:23:56.279]  We mean paid.
[00:23:56.539 --> 00:23:58.160]  That's how you get a lockstep operation.
[00:23:58.180 --> 00:24:00.581]  I mean, what has Bill Gates done for 30 years?
[00:24:00.961 --> 00:24:01.861]  It's mainstream news.
[00:24:02.241 --> 00:24:08.103]  He spent over $100 billion of tax-exempt money and government money he got.
