[00:00:01.190 --> 00:00:14.919]  InfoWars has been banned.
[00:22:38.373 --> 00:22:47.542]  But now whatever they've released and whatever's going on and the fact that Pfizer admits that they are shedding and that that created the Delta variant, that's a real thing.
[00:22:47.542 --> 00:22:49.824]  I mean, Tim Pool got it, almost killed him.
[00:22:49.824 --> 00:22:52.287]  He said he's never been this sick in his life.
[00:22:52.287 --> 00:22:53.508]  Same thing with me.
[00:22:53.508 --> 00:22:54.789]  I got it and it was rough.
[00:22:54.789 --> 00:22:57.171]  I see how the average person would panic and go to the hospital.
[00:22:57.171 --> 00:23:01.896]  It feels like a gorilla's on your chest or a horse kicked you in the chest.
[00:23:01.896 --> 00:23:02.637]  Almost killed my dad.
[00:23:03.683 --> 00:23:06.084]  This is very, very real, ladies and gentlemen.
[00:23:06.084 --> 00:23:08.864]  And they got a bunch of different projects going on.
[00:23:08.864 --> 00:23:15.706]  But we know that when you take the shots, you're way more likely to die when you come in contact with a regular cold virus that's called ADE.
[00:23:15.706 --> 00:23:18.246]  You've been harping on it for over a year and a half.
[00:23:18.246 --> 00:23:19.567]  Harping on it.
[00:23:19.567 --> 00:23:30.589]  And saying that within six months of people taking the shots, and then the winter coming, that's when the coronaviruses are able to spread and expand because our bodies get weaker from lack of sun.
[00:23:30.589 --> 00:23:32.110]  That's how they're able to replicate in the cells.
[00:23:32.110 --> 00:23:32.750]  That's just a fact.
[00:23:33.630 --> 00:23:36.532]  Vitamin D deficiencies, you're not getting sun.
