[00:00:00.190 --> 00:00:00.613]  World War 3!
[00:04:04.369 --> 00:04:10.635]  Now imagine my excitement when we had the opportunity to release, uh, declare our own global pandemic.
[00:04:10.975 --> 00:04:22.365]  It was my chance to look like the Nostradamus of public health and to position myself and business partners like Dr. Fauci as the de facto authorities on response and solutions.
[00:04:22.765 --> 00:04:32.134]  Through exaggerated doomsday scenarios and computer simulations, our petty control freaks instituted harsh rules and draconian lockdowns.
[00:04:32.735 --> 00:04:42.865]  Even after our dire predictions proved false, scared and well-meaning people continued to submit to the arbitrary and foolish demands of their so-called leaders.
[00:04:43.533 --> 00:04:56.024]  Having achieved global lockdown and medical martial law, we will continue to hold hostage your ability to congregate, work, travel, or do just about anything until we're prepared to roll out our bigger plan.
[00:04:56.564 --> 00:05:01.469]  I like to call this Pandemic One, because believe me, we have others in the works.
[00:05:02.009 --> 00:05:09.452]  Our final solution is to have you begging for us to vaccinate, tag, and digitally track each one of you like livestock.
[00:05:09.732 --> 00:05:22.157]  Not only will my foundation enjoy legal immunity and trillions in profits, but these mandatory experimental vaccines will move us so much further down the road to absolute centralized global control.
[00:05:22.657 --> 00:05:28.080]  If only my good friend Jeffrey Epstein had been here to celebrate with me aboard the Lolita Express.
[00:05:28.920 --> 00:05:32.724]  So remember, global citizens, this will end when I say it ends.
[00:05:33.204 --> 00:05:36.347]  Could be a year, maybe two years, maybe never.
[00:05:36.367 --> 00:05:42.633]  I guarantee that if we have our way, it will be at least until you're not able to do anything to stop it.
[00:05:42.914 --> 00:05:45.076]  Just surrender your personal freedom and co-
[00:05:46.308 --> 00:05:49.690]  A word of warning to you, my fellow Americans.
[00:05:49.950 --> 00:05:52.892]  The second dose of the COVID-19 vaccine is no joke.
[00:05:53.192 --> 00:06:01.857]  I had the COVID booster, the Moderna, about four or five days ago, and I am still feeling wild side effects from it.
[00:06:02.098 --> 00:06:04.539]  It made me feel worse than I felt in a long time.
[00:06:04.759 --> 00:06:08.721]  Like I had the worst flu in the world, extreme shortness of breath.
[00:06:08.842 --> 00:06:10.463]  I just felt so bad.
[00:06:10.643 --> 00:06:12.043]  A dizziness, fatigue.
[00:06:12.264 --> 00:06:13.885]  Shaking chills, fever.
[00:06:14.585 --> 00:06:16.487]  Extremely irrational thinking.
[00:06:16.747 --> 00:06:17.968]  Aches, headaches.
[00:06:18.329 --> 00:06:20.211]  And it's just been devastating.
[00:06:20.291 --> 00:06:21.372]  Just felt miserable.
[00:06:21.732 --> 00:06:25.035]  I recently took the COVID-19 vaccination.
[00:06:25.776 --> 00:06:28.339]  After the shot, I felt fine.
[00:06:29.059 --> 00:06:35.166]  But within three days, I went to the doctor because I had problems with my face.
[00:06:36.816 --> 00:06:39.620]  The whole left side of my face, actually.
[00:06:41.183 --> 00:06:42.925]  I have bell palsy now.
[00:06:42.965 --> 00:06:45.649]  Cassidy got the second Moderna shot on a Monday.
[00:06:45.869 --> 00:06:48.273]  By Thursday morning, they were in the ER.
[00:06:48.393 --> 00:06:49.415]  She got sick.
[00:06:50.287 --> 00:06:50.847]  Right away.
[00:06:51.168 --> 00:06:57.732]  The death of his youngest daughter, Cassidy, came out of nowhere four days after her second dose of the COVID vaccine.
[00:06:57.852 --> 00:07:01.595]  Everybody from her work had kind of had flu-like symptoms.
[00:07:01.715 --> 00:07:06.058]  Just like the nurse was telling us earlier today, when we got tested, she experienced chills, shakes.
[00:07:06.118 --> 00:07:07.439]  And she said all her friends did too.
[00:07:07.499 --> 00:07:08.540]  Yep, all her friends did.
[00:07:08.660 --> 00:07:17.209]  There's a report from the New York Times that there's been a severe allergic reaction from a healthcare worker in Alaska after receiving the Pfizer-BioNTech vaccine.
[00:07:17.329 --> 00:07:21.954]  Patriot doctor in Missouri works at nursing home and wants to comment on COVID vaccines.
[00:07:22.114 --> 00:07:23.035]  Yeah, hi Alex.
[00:07:23.075 --> 00:07:23.256]  So...
[00:07:24.857 --> 00:07:25.698]  I'm a geriatrician.
[00:07:25.718 --> 00:07:27.098]  I'm family medicine trained.
[00:07:27.178 --> 00:07:28.639]  I'm a geriatrician.
[00:07:28.659 --> 00:07:29.559]  I work in nursing homes.
[00:07:30.140 --> 00:07:40.725]  I have had 21 patients that I've identified that have died within 48 hours of getting either the first or second vaccine from AstraZeneca.
[00:07:40.845 --> 00:07:45.527]  She was healthy, happy, active.
[00:07:47.779 --> 00:08:01.230]  The greatest mom you ever saw in your life and then she was so sick that she was you know in less than probably 12 hours she was intubated and on life support and then she passed.
[00:08:01.390 --> 00:08:05.093]  When you get this spike protein antibody in your system
[00:08:05.553 --> 00:08:09.015]  It will permanently and irreversibly change your immune system.
[00:08:09.275 --> 00:08:20.502]  When you inject this shot that has this polyethylene glycol on the coating on the outside of it, that is what is leading to anaphylactic reactions, shock, and death.
[00:08:20.862 --> 00:08:26.305]  I think we're going to see massive injuries and a lot more deaths start somewhere between
[00:08:26.325 --> 00:08:26.845]  I would.
[00:08:26.886 --> 00:08:27.886]  I would recommend it.
[00:08:27.906 --> 00:08:31.369]  And I would recommend it to a lot of people that don't want to get it.
[00:08:31.429 --> 00:08:33.351]  And a lot of those people voted for me, frankly.
[00:08:51.598 --> 00:08:58.619]  Well, President Trump is not a doctor, and neither is Bill Gates, so I'm not going to take his advice, and he's welcome to opinions.
[00:08:59.500 --> 00:09:07.583]  But we see massive numbers of top scientists, virologists, genetic engineers, medical doctors, nurses going public all over the world.
[00:09:08.124 --> 00:09:12.366]  So many of them, we can't play them all here on air during the live show, but they're all posted every day.
[00:09:12.446 --> 00:09:15.187]  New interviews, new reports at Band.Video.
[00:09:15.227 --> 00:09:15.687]  Here's one.
[00:09:15.887 --> 00:09:19.949]  Irish doctor exposes great reset agenda behind COVID hoax in powerful video.
[00:09:20.329 --> 00:09:24.431]  It's up exclusively right now at EuropeWars.com and InfoWars.com.
[00:09:24.451 --> 00:09:26.772]  Here's Dr. Anne McCloskey from Northern Ireland.
[00:09:27.938 --> 00:09:40.487]  Across this island and across the world, there are millions of people who are awakening to the understanding that this current health crisis, this so-called pandemic, is a Trojan horse which has been used to introduce a new era for humanity.
[00:09:40.968 --> 00:09:50.275]  The Great Reset, the Fourth Industrial Revolution, Building Back Better, whatever catchy, chirpy name the bankers and billionaires are calling it, it's not good for you and me, for the ordinary people.
[00:09:51.135 --> 00:09:57.240]  Relationships between individuals, families, communities, governments and nations will change fundamentally.
[00:09:57.880 --> 00:10:06.944]  They're coming for you, your family, your job, your savings, your home, your pension, your culture, your traditions, your freedom, your very way of life.
[00:10:08.024 --> 00:10:11.346]  Unless we unite to resist, we do not consent.
[00:10:11.366 --> 00:10:18.369]  This is not a conspiracy theory, but the outworking of a scheme written by people who hate the human race.
[00:10:18.869 --> 00:10:22.550]  Agenda 21 has been implemented now and will come to pass.
[00:10:23.311 --> 00:10:26.312]  Unless we unite to resist, we do not consent.
[00:10:27.475 --> 00:10:40.847]  Last year, a seasonal respiratory virus of high infectivity but low pathogenicity passed across the world and sadly took with it people who were very old, who were already very sick, and most of whom were in the last months and years of their lives.
[00:10:41.487 --> 00:10:42.869]  There were younger people who died.
[00:10:43.569 --> 00:10:46.492]  May God have mercy on their souls and comfort their families and friends.
[00:10:47.813 --> 00:10:51.915]  But in terms of the overall all-cause mortality, there was nothing to see.
[00:10:52.616 --> 00:10:54.437]  Seasonal viruses do this every year.
[00:10:54.457 --> 00:10:59.760]  They have done since time began and they will continue to do so no matter what humans do.
[00:11:00.961 --> 00:11:06.864]  In 2020, in no country was there a significant increase in overall mortality compared to the past.
[00:11:07.805 --> 00:11:11.187]  Ireland in this pandemic actually increased her population by a couple of percent.
[00:11:12.970 --> 00:11:25.178]  If we take away the track and trace system, calling for the first time in medical history a case, someone who's perfectly well, who has no symptoms, and which is going to cost the UK government £37 billion over two years.
[00:11:25.799 --> 00:11:29.341]  I don't even know what £37 billion looks like, what it would buy.
[00:11:29.401 --> 00:11:30.822]  Would it be two hospitals?
[00:11:30.842 --> 00:11:32.003]  Would it be five hospitals?
[00:11:32.023 --> 00:11:33.444]  Would it be a thousand nurses jobs?
[00:11:33.824 --> 00:11:34.525]  I have no idea.
[00:11:35.125 --> 00:11:37.547]  But these PCR tests measure nothing.
[00:11:37.587 --> 00:11:40.009]  They are an illusion to create a crisis.
[00:11:40.709 --> 00:12:00.111]  If we take away the fact that the WHO changed the rules, changed the way in which we measure disease impact by saying that any death within 28 days of a positive PCR test was due to COVID, and even without a positive test if you had symptoms, shortness of breath, fever, the things that people die from every day, that was COVID too.
[00:12:01.124 --> 00:12:16.093]  If we take away the daily, no hourly, incessant misery-porn on the legacy media, dolefully recounting the figures and scrutinising the anguished last hours of those who were taken, and the po-faced politicians with crocodile tears pretend to care.
[00:12:16.989 --> 00:12:24.095]  If we take away the psychological abuse of populations across this planet, using applied behavioural psychology designed to keep them in terror.
[00:12:24.735 --> 00:12:42.169]  If we take away the signage, the arrows, the one-way systems, walk, don't walk, the yellow notices on every flat surface, the sanitisation, the masks, all the paraphernalia of this neuro-linguistic programme, and mental abuse which tells us that we are the bio-hazards, we are a danger to our families and friends.
[00:12:42.650 --> 00:12:44.832]  If we take all this away, there is nothing to see.
[00:12:45.152 --> 00:12:46.193]  The Emperor has no clothes.
[00:12:46.837 --> 00:12:48.681]  But of course there was something to say, wasn't there?
[00:12:49.312 --> 00:12:51.353]  Viruses don't make laws, governments do.
[00:12:52.154 --> 00:12:56.957]  But what we did see, what we saw was removal of our most basic and inalienable rights.
[00:12:57.518 --> 00:13:05.603]  To work, to earn, to move, to associate, to kiss, to hug, to go to church, to bury our dead with dignity, to live our lives as we see fit.
[00:13:06.063 --> 00:13:10.346]  We saw the removal of a right to speak, to protest, to object to this tyranny.
[00:13:10.927 --> 00:13:18.392]  We saw censorship, character assassination and banishment of scientists and professors who dared to offer an alternative narrative.
[00:13:19.112 --> 00:13:27.880]  We saw our children and young people locked up, denied their education, the right to play outside, to live their precious young lives however they and their parents saw fit.
[00:13:28.480 --> 00:13:37.788]  We've seen millions of the poorest and most marginalised people on the planet pushed to starvation and death because of the economic fallout, because poverty kills.
[00:13:39.161 --> 00:13:47.203]  I've worked as a GP throughout this past year, and I've not seen people gasping for breath from Covid, but people utterly abandoned by their health system.
[00:13:48.063 --> 00:13:51.384]  People in despair from loneliness, from isolation, from fear.
[00:13:51.724 --> 00:13:56.766]  People who haven't seen their families and loved ones for months and whose lives are infinitely poorer as a result.
[00:13:57.466 --> 00:13:59.026]  I've seen delayed cancer diagnoses.
[00:13:59.427 --> 00:14:00.347]  People having treatments.
[00:14:02.617 --> 00:14:06.358]  All right, there's a few minutes left in her incredibly powerful presentation.
[00:14:06.418 --> 00:14:09.439]  I think I don't need to tell you that you need to share this if you want to be free.
[00:14:09.899 --> 00:14:19.462]  It's at EuropeWars.com, it's at Band.Video, it's at NewsWars.com, and I'm going to get a version of it posted at InfoWars.com as well.
[00:14:20.402 --> 00:14:25.163]  But this lady is amazing and everything she says is dead on in just like a seven minute clip.
[00:14:25.183 --> 00:14:26.284]  There's a few minutes left of it.
[00:14:26.784 --> 00:14:30.705]  And you can show that to somebody and say, this is all of it in one nutshell, perfectly set.
[00:14:31.445 --> 00:14:32.185]  Now, why did they do it?
[00:14:32.225 --> 00:14:34.266]  Because their whole house of cards was coming down.
[00:14:34.586 --> 00:14:41.688]  They've created thousands of trillions of fake dollars, fake currencies, and they need to bring in martial law and make us forget
[00:14:42.776 --> 00:14:48.758]  That it was their fractional reserve banking and scams and derivatives that caused this, not us and the so-called COVID.
[00:14:49.298 --> 00:14:52.299]  This is the beginning of the planetary collapse that only gets worse.
[00:14:52.699 --> 00:14:55.760]  And they'll cover up each last huge crime with the new crime that's bigger.
[00:14:56.120 --> 00:14:58.480]  This is an algorithmic takeover system.
[00:14:58.701 --> 00:14:59.881]  I call it satanic logic.
[00:15:00.481 --> 00:15:07.585]  And we're all awakening to it right now, and this is a beautiful time, because the globalists have bitten off way more than they can chew.
[00:15:08.045 --> 00:15:11.407]  Irish doctor exposes great recent agenda behind COVID hoax and powerful video.
[00:15:11.687 --> 00:15:18.170]  It's up to you now to accept this mission and to spread this video like your lives depend on it, because it does!
[00:15:18.430 --> 00:15:19.051]  Stay with us!
[00:15:20.351 --> 00:15:21.052]  World War III?
[00:15:22.927 --> 00:15:30.152]  Well, according to the International Union of Scientists, we're the closest we've ever been to it since the Cuban Missile Crisis in the early 1960s.
[00:15:31.133 --> 00:15:34.015]  It's Thursday, March 18th, 2021.
[00:15:34.215 --> 00:15:36.056]  I'm your host, Alex Jones.
[00:15:36.097 --> 00:15:37.538]  There's the headline of the live show.
[00:15:37.998 --> 00:15:38.859]  World War III.
[00:15:39.379 --> 00:15:43.282]  Putin pulls Russian ambassadors from D.C.
[00:15:43.322 --> 00:15:44.643]  in response to Biden's threat.
[00:15:45.970 --> 00:15:53.692]  And I'm going to be playing the clip of him with Stephanopoulos coming up next segment where he said he has a killer with no soul and that Russia will pay the price.
[00:15:55.552 --> 00:15:57.973]  This is after Putin said he wants to work with Biden.
[00:15:58.453 --> 00:16:01.393]  This is after he said that he doesn't want a civil war in America.
[00:16:01.773 --> 00:16:04.494]  This is after he said there's no evidence we got involved in your election.
[00:16:04.594 --> 00:16:05.694]  Communist China did.
[00:16:05.714 --> 00:16:13.776]  And the response, of course, from Joe Biden was
[00:16:14.946 --> 00:16:17.267]  The price he's going to pay, you'll see shortly.
[00:16:17.808 --> 00:16:18.508]  He's a killer.
[00:16:18.728 --> 00:16:22.671]  I mean, this is just unbelievable rhetoric.
[00:16:23.971 --> 00:16:28.014]  This is the kind of crap we used to hear from Kim Jong-un and Kim Jong-il.
[00:16:29.315 --> 00:16:32.597]  This is the stuff that you see dictators throwing around, or Baghdad Bob.
[00:16:33.337 --> 00:16:35.238]  This is not the stuff you see from a U.S.
[00:16:35.278 --> 00:16:36.139]  president, ever.
[00:16:36.819 --> 00:16:37.300]  No U.S.
[00:16:37.340 --> 00:16:39.221]  president has ever talked like this.
[00:16:40.441 --> 00:16:41.422]  To a nuclear power.
[00:16:42.403 --> 00:16:44.004]  And this is just an insane escalation.
[00:16:44.024 --> 00:16:46.326]  That video clip is coming up next segment.
[00:16:46.346 --> 00:16:48.668]  You know, I've got a lot of other really interesting news here.
[00:16:48.728 --> 00:17:07.203]  It's all very fascinating, but compared to the globalists trying to start war with Russia at China's behest, so they'll be the dominant power, compared to the global rollout of these deadly gene therapies and the media trying to suppress that and all the censorship, compared to the economic collapse being engineered right now to bring us under total globalist control,
[00:17:08.416 --> 00:17:10.998]  Everything else is window dressing.
[00:17:11.639 --> 00:17:17.123]  I mean, is it interesting that Dan Bongino, at least on the Westwood One radio stations, is going to take over for Rush Limbaugh?
[00:17:17.363 --> 00:17:18.104]  Yeah, that's interesting.
[00:17:19.225 --> 00:17:29.493]  I mean, is it interesting that the man charged with the killing of eight people in Georgia massacre parlors was an incel pervert, not a Trump supporter like the media is saying?
[00:17:29.833 --> 00:17:30.794]  Yeah, that's all important.
[00:17:31.707 --> 00:17:39.049]  Or we've got Biden telling illegals to surge the border if he's elected, telling them to come here so they can smuggle more children in, which is now happening.
[00:17:39.069 --> 00:17:40.250]  Yeah, that's a powerful video.
[00:17:41.270 --> 00:17:53.414]  You've got media outlets saying that they want to be able to have access to the migrant children and Biden's not even responding to them because the media went along with censorship of everybody else and loss of access for everybody else.
[00:17:53.474 --> 00:17:57.315]  Now you will become what you tried to turn us into.
[00:17:58.257 --> 00:18:03.461]  Toothless, legless, armless vassals of the globalist.
[00:18:04.722 --> 00:18:07.845]  You have made yourselves obsolete as the fourth of state.
[00:18:07.965 --> 00:18:16.372]  The media is now a lapdog dying dinosaur on its deathbed, on its last vapors of fuel.
[00:18:17.557 --> 00:18:19.298]  And then that leads us to the other big story.
[00:18:19.338 --> 00:18:29.902]  Mainstream media was forced to report on federal judges and court hearings where it came out that the Clintons were on the Lita Express, that they were involved with underage girls.
[00:18:30.863 --> 00:18:34.464]  And that got pulled out of mainstream media articles with no response.
[00:18:34.484 --> 00:18:35.745]  They didn't say that they retracted it.
[00:18:36.225 --> 00:18:39.327]  They just pulled it from the Daily Beast and Radar Online.
[00:18:39.667 --> 00:18:42.028]  And that ties into Big Judge.
[00:18:43.468 --> 00:18:44.249]  Big Judge.
[00:18:45.761 --> 00:18:55.125]  Up in Wisconsin, former president of Drag Queen Story Hour, that's the Pedophile Story Hour Foundation, and children's court judge, a children's court judge.
[00:18:56.065 --> 00:18:56.765]  My, my, my.
[00:18:57.266 --> 00:19:00.667]  Arrested on seven counts of child porn.
[00:19:02.588 --> 00:19:06.409]  It's a club, it's a guild, it's an army, it's a force.
[00:19:08.250 --> 00:19:08.810]  And just like
[00:19:10.618 --> 00:19:25.348]  At Penn State, you had Jerry Sandusky supplying children through the Abused Children Foundation to famous people that would come into town, and quote, the 9 and 10, 11-year-old children would stay with the celebrities in their own little cottages.
[00:19:25.368 --> 00:19:25.428]  Yes.
[00:19:27.269 --> 00:19:33.634]  I have hundreds of articles of drag queen storytime leaders being busted, kidnapping children, raping children.
[00:19:33.654 --> 00:19:37.136]  A lot of them have child rape convictions of 3-year-olds, 5-year-olds, 6-year-olds.
[00:19:39.045 --> 00:19:42.591]  And a surprising number of them are family court judges.
[00:19:43.753 --> 00:19:45.475]  Family court judges.
[00:19:45.656 --> 00:19:47.739]  Isn't that just interesting?
[00:19:49.201 --> 00:19:53.909]  And to Trump's credit, he was really cracking down on that, and to law enforcement's credit, they know what to target.
[00:19:55.623 --> 00:20:09.959]  He was also the leader of Wisconsin's LBGTQP, literally P society, and all over the place the leaders of the LGBT movements keep getting arrested for having sex with 10 year olds and 11 year olds.
[00:20:11.067 --> 00:20:13.950]  Because the truth is, it wasn't about gay marriage.
[00:20:13.990 --> 00:20:23.738]  It was always about sex with your children, because it's a satanic ritual to drain off their energy, to drain off their innocence, and drain off their future.
[00:20:24.079 --> 00:20:28.283]  The only thing they like better is chopping your children up with a meat cleaver while they rape them.
[00:20:28.743 --> 00:20:31.826]  And I'm sorry to tell you that, but that's what the big boys do.
[00:20:32.687 --> 00:20:33.547]  Put up Renfield.
[00:20:33.788 --> 00:20:35.889]  This judge, you take one look at him like a
[00:20:38.348 --> 00:20:39.148]  Sandusky type.
[00:20:39.689 --> 00:20:45.591]  He has the little piggy face, the little piggy eyes, the little piggy soft demeanor of a supplier.
[00:20:46.651 --> 00:20:48.312]  That's a supplier right there.
[00:20:48.572 --> 00:20:53.754]  That's what I call a Renfield model, not a Dracula or Dragon model.
[00:20:54.595 --> 00:20:58.536]  Let's pull up Prince Philip when he got out of the hospital yesterday.
[00:20:58.556 --> 00:21:00.377]  Let's show you a Dragon model.
[00:21:01.297 --> 00:21:02.438]  That's a Renfield model.
[00:21:02.478 --> 00:21:05.299]  Let's show you a Dracule or Dracula model.
[00:21:06.394 --> 00:21:10.915]  And again, they don't live forever, but the spirits in them are very, very old.
[00:21:11.955 --> 00:21:14.036]  And so you've got a little supply gremlin right there.
[00:21:14.056 --> 00:21:17.917]  And then you can also pull up one of their generals, if everybody wants to see one.
[00:21:19.077 --> 00:21:21.138]  I would say that Chuck Schumer is a general.
[00:21:21.978 --> 00:21:24.859]  You could take one look, plus the evidence, Wiener was his protege.
[00:21:25.419 --> 00:21:29.160]  You could take one look at Sacha Baron Cohen, or one look at Prince Philip.
[00:21:29.220 --> 00:21:30.660]  Yeah, blow that up full screen for folks.
[00:21:31.120 --> 00:21:33.581]  And that is a heavy hitter operator right there.
[00:21:34.465 --> 00:21:34.986]  You see that?
[00:21:35.006 --> 00:21:36.068]  You see O'Brien Stelter?
[00:21:36.468 --> 00:21:40.094]  He's segwaying from Renfield into heavy hitter.
[00:21:43.559 --> 00:21:44.841]  We put Stelter on screen now, please.
[00:21:45.523 --> 00:21:48.607]  Stelter is now segwaying into Dracula mode.
[00:21:50.060 --> 00:21:54.963]  They don't normally promote people from Renfield to Dracula, but he is being promoted.
[00:21:55.084 --> 00:22:00.007]  You can see him enjoying strutting his demonic possession there on the red carpet.
[00:22:00.427 --> 00:22:02.469]  He also, I'm sure, would love to babysit your children.
[00:22:02.709 --> 00:22:14.337]  But this judge, oh, they also just busted that big top trans YouTube star who ran a daycare, of course, out of their house for reportedly child porn and the reports of them raping children.
[00:22:14.357 --> 00:22:19.441]  I mean, that goes together like flies on big old piles of dog manure, doesn't it?
[00:22:21.630 --> 00:22:22.110]  There you go.
[00:22:22.170 --> 00:22:26.454]  Transgender YouTube star downloaded child sex images while running child daycare service.
[00:22:26.474 --> 00:22:27.555]  Then you just read a little footnote.
[00:22:27.795 --> 00:22:33.480]  Oh, there were previous reports that he and his husband, her husband, were raping kids.
[00:22:33.740 --> 00:22:37.043]  But they're like, well, they're transgender, so we can't look into that.
[00:22:38.124 --> 00:22:42.127]  I mean, it's just a dude with a wig that wants access to children.
[00:22:42.147 --> 00:22:43.548]  And of course, take one look.
[00:22:43.568 --> 00:22:44.449]  Those are Renfields.
[00:22:44.889 --> 00:22:46.510]  Renfields, Renfields, Renfields.
[00:22:46.831 --> 00:22:49.033]  Can we put a Dracula back on screen, please?
[00:22:49.906 --> 00:23:00.793]  Because again, Bram Stoker was writing about allegories of what he witnessed, what was known in high society in London, that a count comes to town, and boy, does he like to drink the blood of women and babies.
[00:23:01.334 --> 00:23:11.460]  When you see those old 1920s, 30s, 40s movies, where he brings a baby into the Black Sabbath with all the beautiful women, and they all descend on the baby and start drinking his blood, that's actually how they do it.
[00:23:11.481 --> 00:23:16.404]  They'll keep a baby alive for a full day, while they lance it and drain the blood off.
[00:23:18.734 --> 00:23:20.855]  So liberal.
[00:23:21.516 --> 00:23:26.158]  And oh, don't worry though, Twitter will ban you now if you call pedophilia bad.
[00:23:26.758 --> 00:23:29.299]  Pedophilia is good, good, good, according to Twitter.
[00:23:29.860 --> 00:23:35.342]  And so remember, everybody that works there, everybody that goes along to Google, Facebook, they're all signed on, ladies and gentlemen.
[00:23:35.923 --> 00:23:37.643]  They're all signed on.
[00:23:37.884 --> 00:23:39.124]  Let's put Jimmy Savelle up there.
[00:23:39.844 --> 00:23:42.326]  He was a Renfield that segued into Dracula.
[00:23:43.564 --> 00:23:56.185]  They don't live forever, but they sure do everything else that you all heard about in the old legends of that royal king that never dies from the Carpathian Mountains that took over the British Empire.
[00:23:56.565 --> 00:23:57.326]  We'll be right back.
[00:23:57.367 --> 00:23:57.887]  Stay with us.
[00:23:59.093 --> 00:24:02.174]  The Bell Tolls, and the bell tolls for thee.
[00:24:02.475 --> 00:24:04.615]  I'm Alex Jones, your host.
[00:24:04.635 --> 00:24:05.416]  Very honored to be here.
[00:24:05.856 --> 00:24:11.198]  This is undoubtedly the most censored, most demonized, most lied about broadcast in the world.
[00:24:12.059 --> 00:24:20.402]  And just as there is a evil force or gravity trying to pull us down, you, thanks to your action, your prayers, hold us in place.
[00:24:20.743 --> 00:24:25.965]  You are the power that invigorates InfoWars millisecond to millisecond.
[00:24:25.985 --> 00:24:27.626]  And I salute and thank you all.
