[00:00:10.320 --> 00:00:11.840]  Attention!
[00:02:41.272 --> 00:02:42.733]  And it's like, oh, that's just his opinion.
[00:02:42.733 --> 00:02:43.954]  No, none of this is my opinion.
[00:02:45.698 --> 00:02:52.060]  I began to read where they were saying that they would set up a planetary government, get rid of family, and then phase out the population.
[00:02:52.060 --> 00:02:55.682]  And I thought, this is really wild, because these people run things.
[00:02:55.682 --> 00:03:01.924]  And they projected forward computers, and tracking us, and controlling us, and social credit scores, and all of this.
[00:03:06.110 --> 00:03:10.473]  And I had a lot of family that was intellectual and was studying how things worked.
[00:03:10.473 --> 00:03:12.234]  So I just thought everybody knew this stuff.
[00:03:12.234 --> 00:03:13.215]  So here we are today.
[00:03:13.215 --> 00:03:14.215]  Now, here's the rest of the story.
[00:03:14.215 --> 00:03:15.816]  It's not about how I know all this.
[00:03:15.816 --> 00:03:19.018]  It's how they're not in the testing phase anymore.
[00:03:19.018 --> 00:03:21.260]  They've gone operational.
[00:03:21.260 --> 00:03:24.302]  And so, can we put the headline up for the live show today, please?
[00:03:24.302 --> 00:03:25.342]  From InfoWars.com.
[00:03:25.342 --> 00:03:29.065]  Every day we have a posting with a live audio and video feed in it.
[00:03:29.065 --> 00:03:32.647]  And it says right there, we are now in the new world order.
[00:03:32.647 --> 00:03:35.229]  Tune into this emergency broadcast if you want to live.
[00:03:36.960 --> 00:03:47.305]  Because when you look at people and when you see children that are two or three years old today, they're growing up in a dystopia.
[00:03:47.305 --> 00:03:49.226]  And it's going to accelerate very, very quickly.
[00:03:49.226 --> 00:03:52.888]  And that's the last generation that will even be able to have children.
[00:03:52.888 --> 00:03:54.649]  And most of them won't be able to.
[00:03:54.649 --> 00:03:59.051]  And most of the children you see today will be dead by the time they're 20 years old.
[00:04:00.129 --> 00:04:02.210]  Of cancers and other things implanted in them.
[00:04:02.210 --> 00:04:07.991]  And you'll just, you'll be told, oh, something else caused it, but it's, it's, it's the, it's the vaccines.
[00:04:07.991 --> 00:04:09.051]  You're all being killed.
[00:04:09.051 --> 00:04:11.112]  We're all dying.
[00:04:11.112 --> 00:04:12.812]  So I want all the FBI agents to know.
[00:04:12.812 --> 00:04:14.473]  I want all the bureaucrats to know.
[00:04:14.473 --> 00:04:16.714]  I want liberals to know, conservatives to know.
[00:04:16.714 --> 00:04:18.114]  Everybody thinks you're part of the system.
[00:04:18.114 --> 00:04:19.674]  You're not part of the system.
[00:04:19.674 --> 00:04:27.476]  I can tell you the people running this are not in control.
[00:04:27.476 --> 00:04:29.177]  Now they've been given advanced knowledge.
[00:04:31.482 --> 00:04:32.183]  Interdimensionally.
[00:04:32.183 --> 00:04:33.063]  That's how they get it.
[00:04:33.063 --> 00:04:35.145]  You'd call it Satanism.
[00:04:35.145 --> 00:04:36.546]  But it's aliens.
[00:04:36.546 --> 00:04:40.809]  And they're running a plan to have us slowly all kill ourselves and merge with machines.
[00:04:40.809 --> 00:04:44.132]  Now, if you want to go through this, go ahead and accept it.
[00:04:44.132 --> 00:04:46.534]  But you need to understand this is a planetary takeover.
[00:04:46.534 --> 00:04:47.634]  That's what it is.
[00:04:47.634 --> 00:04:50.436]  And any of you that go along with this are fools.
[00:04:50.436 --> 00:04:53.879]  Because we received the transmission 2,000 years ago that it will be stopped.
[00:04:53.879 --> 00:04:54.379]  We'll be right back.
[00:04:54.379 --> 00:04:54.740]  Stay with us.
[00:04:58.684 --> 00:05:01.407]  Now is the time to get prepared.
[00:05:01.407 --> 00:05:03.849]  You gotta pray to God and get your soul ready.
[00:05:03.849 --> 00:05:06.351]  You gotta be prepared to physically defend yourself and your family.
[00:05:06.351 --> 00:05:12.236]  And you've also got to get things that allow you and your family to not be dependent on the system.
[00:05:12.236 --> 00:05:14.238]  That's why they want to bankrupt the economy.
[00:05:14.238 --> 00:05:17.661]  It's why they want to destroy the infrastructure of this nation.
[00:05:17.661 --> 00:05:22.825]  Because they want all of us on our knees so they can dictate our surrender to them.
[00:05:22.825 --> 00:05:23.426]  Infowars
[00:05:23.886 --> 00:05:26.849]  Is a critical organization in the fight against the globalists.
[00:05:26.849 --> 00:05:31.073]  And if you gave us straight up donations, that would be great because our work is important.
[00:05:31.073 --> 00:05:32.153]  We appreciate it.
[00:05:32.153 --> 00:05:38.539]  But we bring you great products so that you get high quality products at the same time as support of the info or a 360 win.
[00:05:39.760 --> 00:05:53.808]  Well, we've only got a few days left to get 20-20 prices before the prices go up on high-quality, storable food with huge discounts as big as $850 discount on a year's supply of food at InfoWarsTore.com.
[00:05:53.808 --> 00:05:57.731]  So take advantage of these sales right now at InfoWarsTore.com while you still can.
[00:06:18.402 --> 00:06:25.166]  Alright, I've analyzed basically every element, every angle of the globalist operation.
[00:06:25.166 --> 00:06:30.110]  And I can tell you that it is demonically inspired and not of this world.
[00:06:30.110 --> 00:06:36.654]  I don't get into flying saucers, Roswell, Little Green Men, Sidonia on Mars, any of that stuff.
[00:06:36.654 --> 00:06:43.218]  Though I've had dinner with Apollo astronauts that told me that the government does have secret operations with aliens.
[00:06:43.218 --> 00:06:47.701]  All I know is that inter-dimensionally there is an attack on this planet.
[00:06:48.757 --> 00:06:58.985]  And so we can look at all this news and all the things that are happening, all the insanity, and we can say to ourselves, well, this is man-made.
[00:06:58.985 --> 00:07:00.226]  But it's not.
[00:07:00.226 --> 00:07:02.047]  We have a fallen nature.
[00:07:02.047 --> 00:07:16.579]  But we are being manipulated, and the Bible tells us that inter-dimensionally, a creature that is out of the light spectrum vision that we can see, fell to this planet,
[00:07:17.577 --> 00:07:27.622]  And has a plan to overtake us, play God, and then use us and our creativity to build an escape system for it off of the planet.
[00:07:27.622 --> 00:07:28.883]  That's how advanced we are.
[00:07:28.883 --> 00:07:36.547]  We are way more advanced than the species, the creature, that turned against God.
[00:07:36.547 --> 00:07:38.248]  Now that's the Bible, folks.
[00:07:38.248 --> 00:07:43.891]  And the whole secret societies, and the churches, and the masons, and all of that is to keep you from that information.
[00:07:43.891 --> 00:07:44.872]  But Solomon knew it.
[00:07:45.598 --> 00:07:47.299]  The Egyptians knew it.
[00:07:47.299 --> 00:07:49.679]  The Aztecs knew it and were overtaken by it.
[00:07:49.679 --> 00:07:53.301]  That's what this is.
[00:07:53.301 --> 00:07:57.202]  And they've proven now in scientific studies, and I told you this before it was declassified.
[00:07:57.202 --> 00:08:05.424]  Because I heard it directly when I was a child from people that were in the program and in the project.
[00:08:05.424 --> 00:08:09.586]  That they had groups then taking intravenous DMT and things like that.
[00:08:10.800 --> 00:08:24.163]  And like astronauts going into the other dimension and communicating with these entities and making deals and getting knowledge back, which you read in the Graham Grimoire black magic books, the real ones, not the pop culture ones that are out there.
[00:08:24.163 --> 00:08:28.063]  You got to get into private libraries like the Getty and places we've been allowed into.
[00:08:28.063 --> 00:08:36.945]  There's some of our sources, Gavin Wentz, Willie Weaver's husband, got us into the actual main satanic library in North America from his contacts.
[00:08:38.922 --> 00:08:44.767]  Tapestries of black Sabbaths, bleeding children out, everything.
[00:08:44.767 --> 00:08:47.308]  We actually put that video out.
[00:08:47.308 --> 00:08:49.770]  And so they've definitely done some good work there.
[00:08:49.770 --> 00:08:54.454]  So, that's what we're dealing with here.
[00:08:54.454 --> 00:08:59.918]  And when you pull back from it and you understand that, then everything else makes sense.
[00:08:59.918 --> 00:09:01.700]  I can talk about the martial law.
[00:09:01.700 --> 00:09:03.221]  I can talk about the lockdown.
[00:09:03.221 --> 00:09:04.382]  I can talk about the mass.
[00:09:04.382 --> 00:09:05.803]  I can talk about the announcements that
[00:09:06.974 --> 00:09:10.836]  You're going to have to have vaccines and travel passports to fly.
[00:09:10.836 --> 00:09:12.137]  It's now official.
[00:09:12.137 --> 00:09:13.638]  I mean, we're off the edge of the cliff.
[00:09:13.638 --> 00:09:15.659]  We're in the new world order now.
[00:09:15.659 --> 00:09:22.123]  But if you don't understand that at the end of this, everybody dies and there's no more children,
[00:09:23.686 --> 00:09:48.283]  And in the process of wanting to live through the social credit score, they tighten the noose down, they tighten the vice down, until you are involved in public rituals of sterilizing your children, sterilizing yourself, resisting God, resenting God, and turning over your humanity because you're so sick, you've got to merge with machines, so you just believe you have a chance to still live, though you will actually die.
[00:09:49.241 --> 00:09:58.609]  But it will be a law that you cannot call the synthetics that are human-machine merged cyborgs dead.
[00:09:58.609 --> 00:10:10.179]  If you say that's not a person anymore, they didn't transfer over to the machine, it's a fraud, it's a complex AI mimicking them, that will be punishable by death.
[00:10:10.179 --> 00:10:12.782]  I have the entire enemy blueprint.
[00:10:12.782 --> 00:10:14.703]  Alright?
[00:10:14.703 --> 00:10:15.124]  And now,
[00:10:16.604 --> 00:10:27.927]  I've studied this so much, and now we've gone so far, and I've experienced things at different levels, to where now, anybody can go read what the Globalists say and what they do and know what they're going to carry out.
[00:10:27.927 --> 00:10:36.169]  But now, from my immersion in this, since about seven years old, I can, to use the analogy, see the code of the Matrix.
[00:10:36.169 --> 00:10:42.491]  And so, let me just tell you for sure, that it's only going to get worse from here.
[00:10:42.491 --> 00:10:43.591]  The good times are over.
[00:10:45.199 --> 00:10:46.920]  Don't commit suicide, folks.
[00:10:46.920 --> 00:10:48.761]  You're here to warn others.
[00:10:48.761 --> 00:10:49.641]  And we have spirits.
[00:10:49.641 --> 00:10:50.482]  They can get our bodies.
[00:10:50.482 --> 00:10:51.022]  They can put us.
[00:10:51.022 --> 00:10:52.002]  They can torture us.
[00:10:52.002 --> 00:10:52.683]  They can rape us.
[00:10:52.683 --> 00:10:54.443]  But God is real.
[00:10:54.443 --> 00:10:55.264]  Good is real.
[00:10:55.264 --> 00:10:58.105]  And we are resonating to really bad darkness.
[00:10:58.105 --> 00:11:02.347]  And the planet is being turned completely over to Satan right now.
[00:11:02.347 --> 00:11:03.488]  And it is going to be so bad.
[00:11:05.011 --> 00:11:10.656]  That's why you look at Bill Gates, you look at Warren Buffett, you look at Prince Charles, you look at Prince Philip.
[00:11:10.656 --> 00:11:12.798]  I mean, pull up a photo of Prince Philip.
[00:11:12.798 --> 00:11:14.419]  Type in crazy Prince Philip.
[00:11:14.419 --> 00:11:16.942]  You look at Jimmy Savelle.
[00:11:16.942 --> 00:11:18.603]  You look at Brian Stelter.
[00:11:18.603 --> 00:11:20.124]  You look at Joe Biden.
[00:11:20.124 --> 00:11:21.326]  You look at Hillary Clinton.
[00:11:21.326 --> 00:11:24.028]  Those aren't people in power.
[00:11:24.028 --> 00:11:25.629]  Those aren't people that are happy.
[00:11:25.629 --> 00:11:27.191]  Those are slaves.
[00:11:27.191 --> 00:11:28.172]  Those are wraiths.
[00:11:29.738 --> 00:11:38.907]  Those are people that have resonated so long and so much with raw, demonic possession.
[00:11:38.907 --> 00:11:46.154]  An experience that is extremely exhilarating at one level, but deeper into it, it becomes total bondage.
[00:11:46.154 --> 00:11:48.997]  But the boiling, satanic rage
[00:11:50.365 --> 00:11:52.546]  Is unlike anything you've ever felt.
[00:11:52.546 --> 00:11:53.526]  I have felt it.
[00:11:53.526 --> 00:11:55.347]  It is extremely addictive.
[00:11:55.347 --> 00:11:58.728]  But I only dipped into it maybe 20 times.
[00:11:58.728 --> 00:12:01.249]  And it's extremely high-level satanic energy as well.
[00:12:01.249 --> 00:12:03.429]  I'm talking Lucifer energy.
[00:12:03.429 --> 00:12:05.630]  These people are more like gremlins.
[00:12:05.630 --> 00:12:10.932]  But, you look at a Prince Philip, Prince Charles, or the Rockefellers or Rothschilds, that's Lucifer energy, okay?
[00:12:10.932 --> 00:12:12.933]  This is not a game, folks.
[00:12:12.933 --> 00:12:14.673]  And so, I'm just gonna tell you everything.
[00:12:14.673 --> 00:12:16.494]  I'm gonna just start laying it all out for you.
[00:12:16.494 --> 00:12:19.455]  Because, you have to understand
[00:12:21.209 --> 00:12:23.636]  I don't know if Adelson has that look.
[00:12:23.636 --> 00:12:28.169]  He has the look of an old, sick man that had a parasitic business model.
[00:12:30.825 --> 00:12:37.826]  Look at Stelter, look at Hillary, look at- look at- Prince Charles tries to hide it, but look at Prince Philip, he can't hide it.
[00:12:37.826 --> 00:12:39.787]  That's why they don't have it out in public now.
[00:12:39.787 --> 00:12:45.468]  I mean, you look at him, the latest photos of him, I mean, it looks like a- it looks like that, but actually ten times more evil.
[00:12:45.468 --> 00:12:51.049]  Looks like Stelter, but a Transylvanian Vlad the Impaler model.
[00:12:51.049 --> 00:12:51.509]  Yeah.
[00:12:51.509 --> 00:12:54.330]  I mean, that is the direct descendant of Count Dracula.
[00:12:54.330 --> 00:12:55.650]  That is Dracula.
[00:12:55.650 --> 00:12:59.051]  I mean, these people aren't- those people drink blood, okay?
[00:12:59.994 --> 00:13:02.055]  Blood transfusions weekly of children.
[00:13:02.055 --> 00:13:04.457]  It's all on record.
[00:13:04.457 --> 00:13:07.199]  See, you need to grow up, folks.
[00:13:07.199 --> 00:13:08.640]  That is a avatar.
[00:13:08.640 --> 00:13:13.684]  That is a body suit for an alien.
[00:13:13.684 --> 00:13:17.246]  And all of you have a supercomputer brain that's tied to the universe.
[00:13:17.246 --> 00:13:23.851]  You all know when I say that you get chills up your back and the hair stands up on your arms because you already know that.
[00:13:23.851 --> 00:13:25.272]  You don't need me to tell you that.
[00:13:28.387 --> 00:13:30.409]  Christ came up to these men that were demon-possessed.
[00:13:30.409 --> 00:13:32.090]  They were saying, we're going to kill you.
[00:13:32.090 --> 00:13:37.994]  And Christ said, in the name of God, devils out of these men!
[00:13:37.994 --> 00:13:42.698]  And the devils left those men on that hilltop and ran into some wild pigs.
[00:13:42.698 --> 00:13:44.860]  And the pigs ran off the edge of a cliff.
[00:13:52.867 --> 00:13:59.812]  And so, again, aliens don't land in flying saucers like Mars attacks and come out with ray guns.
[00:13:59.812 --> 00:14:09.158]  They take over your electrochemical magnetic system with a jamming oscillation frequency at a space-time continuum transmission.
[00:14:09.158 --> 00:14:16.463]  And the only way to block it is to have free will and accept God's energy of love and justice and freedom and to resonate with that.
[00:14:16.463 --> 00:14:18.704]  But with great wisdom comes great sorrow.
[00:14:18.704 --> 00:14:20.966]  Because if you actually become a real Christian,
[00:14:23.328 --> 00:14:25.890]  And tune into the Christ energy.
[00:14:25.890 --> 00:14:32.374]  You will then see the Satanism, and you won't be able to be part of it, you won't be able to join it.
[00:14:32.374 --> 00:14:34.395]  And it will be very painful to you.
[00:14:35.424 --> 00:15:02.350]  To know the universe's secrets and have a connection to the absolute creator of everything, and to have free will to know how good it is, and then to see weird Count Dracula creatures on top, big piles of marble and gold suits and all this, oh, like a bunch of Skeksis dressed up, how powerful they are, and they're all being promised life extension technology, you're gonna live forever, you're gonna merge the machines, but first you've gotta suck all the knowledge out of humanity.
[00:15:02.990 --> 00:15:14.019]  And use our incredible God-given creativity, made in a little G, to build this fabulous system, but all we get is the poison and the trash and the radiation and the death.
[00:15:14.019 --> 00:15:17.742]  We don't get any of the actual good stuff.
[00:15:17.742 --> 00:15:25.648]  And of course the globalists are so twisted, they can't even use any of the good stuff, they can't even recognize it.
[00:15:25.648 --> 00:15:29.451]  And so I just want to tell liberals, conservatives, all of you, look, I know what happened with Trump.
[00:15:30.373 --> 00:15:32.034]  Wishful thinking happened with Trump.
[00:15:32.034 --> 00:15:34.656]  So I'm going to tell you what really went down when Trump would come back.
[00:15:34.656 --> 00:15:35.416]  I've thought about this.
[00:15:35.416 --> 00:15:36.517]  I've prayed about this.
[00:15:36.517 --> 00:15:39.439]  And I'll explain when we come back.
[00:15:39.439 --> 00:15:41.360]  But just listen to me.
[00:15:41.360 --> 00:15:43.362]  Listen to me.
[00:15:43.362 --> 00:15:44.903]  The New World Order is here.
[00:15:44.903 --> 00:15:47.925]  Tune in to this emergency broadcast if you want to live.
[00:15:47.925 --> 00:15:49.426]  That's not a joke.
[00:15:49.426 --> 00:15:54.529]  Because the God of this world loves death.
[00:15:54.529 --> 00:15:55.090]  Loves death.
[00:15:57.219 --> 00:15:59.621]  The Resistance dot video.
[00:15:59.621 --> 00:16:02.043]  The Resistance dot video.
[00:16:02.043 --> 00:16:04.265]  The Resistance dot video.
[00:16:04.265 --> 00:16:06.447]  The Resistance dot video.
[00:16:06.447 --> 00:16:08.608]  The Resistance dot video.
[00:16:08.608 --> 00:16:11.451]  The Resistance dot video.
[00:16:11.451 --> 00:16:13.452]  Infowars dot com.
[00:16:13.452 --> 00:16:15.394]  Newswars dot com.
[00:16:15.394 --> 00:16:16.935]  Ban dot video.
[00:16:16.935 --> 00:16:20.438]  And hundreds of other URLs we've launched have been banned.
[00:16:20.438 --> 00:16:25.442]  That's why every month we launch a new URL before they ban it.
[00:16:26.383 --> 00:16:27.083]  We're good.
[00:16:56.530 --> 00:17:01.792]  The best product, I'm not supposed to be biased, but I'm going to tell you all now, if you haven't tried TurboForce, you need to try it.
[00:17:01.792 --> 00:17:04.554]  I've tried TurboForce with everything.
[00:17:04.554 --> 00:17:06.235]  Sometimes, you know, I went a little bit crazy.
[00:17:06.235 --> 00:17:07.895]  I put TurboForce in my coffee.
[00:17:07.895 --> 00:17:08.856]  That was a crazy week.
[00:17:08.856 --> 00:17:20.541]  I don't remember sleeping, but as far as the products go, TurboForce is my favorite, and all the Infowars products are down to taking control of your life, taking control of your health, not relying on other people to do it for you.
[00:17:20.541 --> 00:17:21.842]  Nobody wakes up in the morning
[00:17:23.325 --> 00:17:23.805]  I don't know.
[00:17:40.674 --> 00:17:43.415]  There's only one person who woke up and thought that, and that was me.
[00:17:43.415 --> 00:17:51.396]  I woke up and thought, you know what, okay, I want to take control of my life, I want to take control of my health, and that's why you need to go to Infowars.com, take control of your health right now and support the resistance.
[00:17:51.396 --> 00:17:54.697]  Don't buy into the groupthink, don't drink the Kool-Aid, drink the TurboForce.
[00:17:54.697 --> 00:17:59.158]  Kool-Aid's bad and the TurboForce is good.
[00:17:59.158 --> 00:18:01.799]  You're listening to the Alex Jones Show.
[00:18:10.627 --> 00:18:11.848]  You found it.
[00:18:11.848 --> 00:18:13.889]  The tip of the spear.
[00:18:13.889 --> 00:18:21.154]  It is the Alex Jones Show.
[00:18:21.154 --> 00:18:26.397]  There must be some kind of way out of here.
[00:18:26.397 --> 00:18:30.720]  There must be some kind of way out of here.
[00:18:30.720 --> 00:18:33.242]  Say the joker to the thief.
[00:18:33.242 --> 00:18:35.063]  There's too much confusion.
[00:18:35.063 --> 00:18:36.404]  There's too much confusion.
[00:18:36.404 --> 00:18:37.945]  Boy, Bob Dylan can write a song.
[00:18:39.560 --> 00:18:42.361]  Jimi Hendrix can sing and play the guitar.
[00:18:42.361 --> 00:18:44.681]  And they live forever.
[00:18:44.681 --> 00:18:49.243]  As long as humanity lives on.
[00:18:49.243 --> 00:18:51.183]  We recognize beauty.
[00:18:51.183 --> 00:18:52.364]  We recognize strength.
[00:18:52.364 --> 00:18:54.844]  We connect to the universe that God made.
[00:18:54.844 --> 00:18:56.105]  We commune with God.
[00:18:56.105 --> 00:18:58.145]  We interface.
[00:18:58.145 --> 00:19:01.466]  God experiences the universe through us.
[00:19:01.466 --> 00:19:05.227]  We are probes sent out by the Almighty.
[00:19:05.227 --> 00:19:06.988]  We experience.
[00:19:06.988 --> 00:19:07.688]  We create life.
[00:19:09.551 --> 00:19:17.356]  All right, here's the truth about Donald Trump.
[00:19:17.356 --> 00:19:35.828]  Donald Trump is a service-oriented type individual who has messianic instincts, as any real alpha male would, trying to lead and empower and believing that they can do things for their people so they'll bust their ass.
[00:19:36.749 --> 00:19:38.429]  That's called a motivating system.
[00:19:38.429 --> 00:19:41.470]  It's like a high-horsepower car.
[00:19:41.470 --> 00:19:44.330]  And he sees the service economy falling apart.
[00:19:44.330 --> 00:19:45.871]  He sees America run down.
[00:19:45.871 --> 00:19:47.751]  And he says, why should we sell to China?
[00:19:47.751 --> 00:19:49.571]  We're better than them.
[00:19:49.571 --> 00:20:00.233]  He sees the globalists wanting to vandalize America and piss on us because they're a bunch of hunchbacked New World Order people.
[00:20:00.233 --> 00:20:04.414]  And they want to defile it, just like Satanists want to defile a child.
[00:20:04.414 --> 00:20:06.194]  Just like vandals want to burn down a beautiful building.
[00:20:09.093 --> 00:20:10.854]  Or cut a beautiful woman's nose off.
[00:20:10.854 --> 00:20:22.662]  They do it because they're spiritually ugly, and we are such incredible beings, made in the image of the Creator, that they want to annihilate us.
[00:20:22.662 --> 00:20:33.989]  And so, everything is an exercise of globalist Skeksy-like spider power over those of us that are in an embryonic level of human development.
[00:20:36.101 --> 00:20:52.370]  But they have full awareness of how powerful you are and are just fundamentally, galactically, universally envious of our very existence and they want to rape us and torture us and tear us into pieces and poison us.
[00:20:52.370 --> 00:20:53.911]  But it will never raise them up.
[00:20:53.911 --> 00:20:56.332]  It will never build them up.
[00:20:56.332 --> 00:20:58.994]  Because they're not human.
[00:20:58.994 --> 00:21:02.476]  And humans can turn their will over to energy that's not human.
[00:21:04.093 --> 00:21:06.514]  And when they do that, you see what they want.
[00:21:06.514 --> 00:21:07.094]  All these U.N.
[00:21:07.094 --> 00:21:07.975]  officials.
[00:21:07.975 --> 00:21:10.096]  The PBS official.
[00:21:10.096 --> 00:21:11.776]  And all these undercover Veritas videos.
[00:21:11.776 --> 00:21:12.276]  What do they say?
[00:21:12.276 --> 00:21:12.997]  And now at the U.N.
[00:21:12.997 --> 00:21:13.917]  publicly.
[00:21:13.917 --> 00:21:15.838]  We want to come to your houses.
[00:21:15.838 --> 00:21:17.959]  We want to take your children for re-education.
[00:21:21.965 --> 00:21:28.167]  And that's the spirit right there.
[00:21:28.167 --> 00:21:30.728]  I'm literally showing you what it looks like.
[00:21:30.728 --> 00:21:31.508]  You gotta have it.
[00:21:31.508 --> 00:21:35.190]  It's like a person starving to death with a big cheeseburger sitting right there.
[00:21:35.190 --> 00:21:37.631]  You're in the Sahara Desert and there's a big glass of ice water.
[00:21:37.631 --> 00:21:39.411]  They just want it so bad.
[00:21:39.411 --> 00:21:43.493]  They just want to gouge your children's eyes out and tear their tongues out with forks and rape them.
[00:21:44.033 --> 00:21:46.535]  And pour battery acid down their throats and hear them beg for mommy.
[00:21:46.535 --> 00:21:50.337]  They want to put them in cages and sit there while the kid begs for food while they starve to death.
[00:21:50.337 --> 00:21:51.958]  They want to take them out every hour and rape them.
[00:21:51.958 --> 00:21:52.899]  They want to defile.
[00:21:52.899 --> 00:21:54.320]  They're going to kill you!
[00:21:54.320 --> 00:21:56.441]  Have you figured that out yet?
[00:21:56.441 --> 00:22:02.025]  They want to inject you and give you cancer and poison you and hurt you because they like it.
[00:22:02.025 --> 00:22:04.487]  Bill Gates wants to annihilate you.
[00:22:04.487 --> 00:22:07.249]  Period.
[00:22:07.249 --> 00:22:09.430]  What does the Bible say?
[00:22:09.430 --> 00:22:11.832]  They come to kill, steal, and destroy.
[00:22:12.853 --> 00:22:22.423]  So Trump likes women, and golf courses, and steaks, and lobster tails, and human adulation.
[00:22:22.423 --> 00:22:24.485]  He, of course he's narcissistic.
[00:22:24.485 --> 00:22:29.530]  That's what the left calls anyone that believes in themselves or cares about themselves, has an image.
[00:22:29.530 --> 00:22:30.591]  Oh, that's narcissistic.
[00:22:30.591 --> 00:22:34.415]  That's all just mumbo globalist, satanic jumbo.
[00:22:34.415 --> 00:22:35.436]  None of it means anything.
[00:22:36.516 --> 00:22:43.719]  They label human behaviors and traits, and then act like they invented that and created it under God, and all it is is a satanic, pervert, pedophile cult.
[00:22:43.719 --> 00:22:44.300]  Sigmund Freud.
[00:22:44.300 --> 00:22:48.402]  I mean, Freud, Skinner, all of them were pedophiles!
[00:22:48.402 --> 00:22:51.383]  My God, they invented it!
[00:22:51.383 --> 00:22:54.985]  That's just the beginning screwing a five-year-old girl or boy.
[00:22:54.985 --> 00:22:56.766]  They want to kill you!
[00:22:56.766 --> 00:23:02.228]  They want your soul, they want your energy, they want desperation in children.
[00:23:02.228 --> 00:23:02.949]  Because that's like...
[00:23:04.224 --> 00:23:12.946]  Nails on a chalkboard to God, and God will get pissed and allow devils to take over if people don't stand up.
[00:23:12.946 --> 00:23:15.767]  So the Satanists know what they're doing.
[00:23:15.767 --> 00:23:18.067]  They train you to accept evil.
[00:23:18.067 --> 00:23:21.428]  So let me go back to Trump.
[00:23:21.428 --> 00:23:29.970]  Trump thought he could go in there and defeat these people, and he's never been a devil worshiper, but he did whatever was popular.
[00:23:31.288 --> 00:23:35.713]  But as he felt the real evil, he got closer to God because his wife is a Christian.
[00:23:35.713 --> 00:23:42.942]  And he felt the energy of God and Christ empowering him and got into that energy and that mission because Trump's an energy guy.
[00:23:42.942 --> 00:23:45.204]  He doesn't believe in religions and names and this or that.
