[00:00:00.289 --> 00:00:01.812]  I don't think so.
[00:02:39.814 --> 00:02:47.900]  He didn't talk about this on the show, but he talked about it off air with me, how he saw animal-human hybrids in underground bases more than 20 years ago now.
[00:02:49.565 --> 00:02:52.766]  Well, now it's not an underground basis.
[00:02:52.766 --> 00:02:53.726]  It's happening for real.
[00:02:53.726 --> 00:02:58.068]  I'm about to premiere a sickening video right now that I'm going to show you.
[00:02:58.068 --> 00:03:00.088]  Mainline news preparing you for it.
[00:03:00.088 --> 00:03:02.589]  Human-pig hybrid created in lab.
[00:03:02.589 --> 00:03:03.609]  Here are the facts.
[00:03:03.609 --> 00:03:05.490]  Notice they said, oh, it just happened this year.
[00:03:05.490 --> 00:03:07.691]  No, it didn't.
[00:03:07.691 --> 00:03:11.492]  Human-animal chimeras are gestating, that means inside the uterus, on U.S.
[00:03:11.492 --> 00:03:13.812]  research farms.
[00:03:13.812 --> 00:03:16.353]  Technology review, MIT.
[00:03:16.353 --> 00:03:18.574]  That's what, five years ago, six years ago.
[00:03:19.645 --> 00:03:19.865]  U.S.
[00:03:19.865 --> 00:03:24.867]  scientists create human-animal hybrids by growing human organs inside sheep and pigs.
[00:03:24.867 --> 00:03:28.448]  I worked for a large animal vet that did artificial insemination and worked on cloning.
[00:03:28.448 --> 00:03:33.610]  One of the top guys, top students ever with his degree from A&M.
[00:03:33.610 --> 00:03:36.691]  And I remember working there when I was 15 years old.
[00:03:36.691 --> 00:03:37.671]  I'm 47 now.
[00:03:37.671 --> 00:03:40.232]  30 plus years ago.
[00:03:40.232 --> 00:03:45.974]  And they had cloned sheep and they had cloned cows that were being produced and sold in mass.
[00:03:45.974 --> 00:03:48.555]  That then had their own babies and were mixed with other normal animals.
[00:03:49.500 --> 00:03:54.083]  You tell the average person this is going on, they don't even believe it.
[00:03:54.083 --> 00:04:00.588]  So when we come back, I'm going to show you the shocking footage that went up this morning and has gotten basically no attention.
[00:04:00.588 --> 00:04:06.893]  We tracked it back to its source to a farm.
[00:04:06.893 --> 00:04:10.676]  You can say, oh, well, that's just a horrible deformity of the pig.
[00:04:10.676 --> 00:04:14.439]  Except if you look at it, it's far too simian.
[00:04:14.439 --> 00:04:16.761]  It actually appears to be a simian.
[00:04:18.001 --> 00:04:21.323]  That is monkey or ape hybrid because they have those as well.
[00:04:21.323 --> 00:04:24.405]  They have thousands of types they admit to.
[00:04:24.405 --> 00:04:29.807]  Including humans spliced with dolphins.
[00:04:29.807 --> 00:04:33.569]  That of course is a project, one project to the Navy.
[00:04:33.569 --> 00:04:36.751]  Spiders and goats that have been mixed, spider goats.
[00:04:36.751 --> 00:04:39.233]  That's a 40 year old technology.
[00:04:39.233 --> 00:04:41.614]  Hitler was cloning rabbits 70 plus years ago.
[00:04:43.049 --> 00:04:46.191]  We're not in Kansas anymore.
[00:04:46.191 --> 00:04:47.091]  We're on Earth 2021.
[00:04:47.091 --> 00:04:49.412]  That's really like Earth 2248.
[00:04:49.412 --> 00:05:00.397]  We'll be right back with The True Horror, the biggest story ever, straight ahead.
[00:05:00.397 --> 00:05:04.399]  I want to explain something that is absolutely key to understanding our world.
[00:05:04.399 --> 00:05:07.341]  It's very, very simple, but the most people don't know.
[00:05:07.341 --> 00:05:09.882]  The privately owned central banks of the world
[00:05:10.965 --> 00:05:23.556]  Are artificially creating thousands of trillions of dollars and other major currencies and using them to buy up infrastructure, intellectual property, energy.
[00:05:23.556 --> 00:05:26.539]  They're using it to buy people, to buy influence.
[00:05:26.539 --> 00:05:33.244]  And in the past, they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money
[00:05:33.905 --> 00:05:37.649]  ...to get into the general circulation or it would cause massive inflation.
[00:05:37.649 --> 00:05:53.785]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything, not to have the companies operate, but to actually shut them down and force a collapse of civilization, making the companies they do fund be the only things left standing.
[00:05:53.785 --> 00:05:54.806]  This is a great reset.
[00:05:54.806 --> 00:05:56.187]  This is what's happening now.
[00:05:56.187 --> 00:05:56.908]  Warn everyone.
[00:05:56.908 --> 00:05:57.889]  It's the only way to stop it.
[00:06:12.289 --> 00:06:19.310]  Remember Grandma and Grandpa saying, we don't turn things around in culture, things are going to fall apart.
[00:06:19.310 --> 00:06:20.211]  Evil's going to take over.
[00:06:20.211 --> 00:06:24.992]  We're going to have a Mark of the Beast, world cashless society.
[00:06:24.992 --> 00:06:26.852]  They're going to have human animal clones.
[00:06:26.852 --> 00:06:28.093]  Now here we are, 50, 60, 70 years later and
[00:06:30.305 --> 00:06:31.105]  It's all happening.
[00:06:31.105 --> 00:06:35.427]  Thank you for joining us on this live October 7th, Thursday broadcast.
[00:06:35.427 --> 00:06:40.508]  I come to you with just incredible news and information today that's over the top.
[00:06:40.508 --> 00:06:47.051]  You know, one of the biggest criticisms of this broadcast, one of the things they've leveled major attacks on in the last 20 years.
[00:06:49.125 --> 00:07:04.130]  Is that I talk about chemicals in the water that are destroying the endocrine systems and the normal genetic imprint of reproduction, not just in amphibians and fish, not just in lower level mammals, but also in humans.
[00:07:05.060 --> 00:07:11.286]  Well, that's because it's going on and it's part of a larger operation purposely done in their own internal documents that have leaked.
[00:07:11.286 --> 00:07:18.252]  And then, of course, I began to discover when I was first on air 27, 28 years ago that Lister said, hey, you want to know what's really going on?
[00:07:18.252 --> 00:07:27.041]  They've been sending a lot of internal documents, but also public documents from places like MIT, but also articles out of the BBC back then.
[00:07:28.953 --> 00:07:39.297]  Reporting that 20 years previous, they had created animal-human clones in test tubes, and that they were beginning to implant them in cow uteruses to grow humanoids.
[00:07:39.297 --> 00:07:42.318]  Now, the human doesn't have any rights because it's not a human, it's part animal.
[00:07:42.318 --> 00:07:47.920]  That's how they get around animal rights, and that's how they get around human rights, because it's a new thing.
[00:07:47.920 --> 00:07:56.924]  It's like a synthetic drug when they take, say, ecstasy and make a new drug, and for a while, until they pass a law making it illegal, you can sell it in gas stations.
[00:07:58.356 --> 00:07:59.156]  Because it's new.
[00:07:59.156 --> 00:08:00.057]  Well, it's the same thing.
[00:08:00.057 --> 00:08:09.240]  So by splicing humans and animals, now you can say, oh, there's no fetal tissue in this vaccine because it's an animal monkey clone.
[00:08:09.240 --> 00:08:17.642]  And that's all right here in MIT and National Geographic and everything the last few years, as they externalized what I was telling you about previously.
[00:08:17.642 --> 00:08:24.545]  So you weren't ready and brainwashed and conditioned yet to accept that 25 years ago, 26 years ago, 27 years ago.
[00:08:24.545 --> 00:08:26.926]  So people say, oh, Jones is crazy.
[00:08:26.926 --> 00:08:27.746]  He wasn't reading a
[00:08:29.409 --> 00:08:41.657]  scientific study out of MIT about animal-human hybrids, or then I got mailed after that a Time Life Books, big life magazine, about them saying they were doing it in the 60s.
[00:08:41.657 --> 00:08:49.263]  So they were either lying and saying they were in the 60s creating humans and test tubes with animal DNA, or they'd done it.
[00:08:49.263 --> 00:08:52.645]  But the point is, it's here now.
[00:08:52.645 --> 00:08:56.267]  So I was working out this morning at about 8 a.m.
[00:08:56.267 --> 00:08:56.608]  and I
[00:08:59.991 --> 00:09:00.211]  I don't
[00:09:21.581 --> 00:09:27.686]  That's how you can tell when you look from 20 feet away at a bowl of fruit, even with the best plastic fruit, is it real or is it fake?
[00:09:27.686 --> 00:09:29.488]  You can eyeball it and tell.
[00:09:29.488 --> 00:09:34.512]  Your facial recognition is better than the best supercomputers.
[00:09:34.512 --> 00:09:35.694]  It's amazing.
[00:09:35.694 --> 00:09:38.076]  And so I looked at it and said, that's absolutely real.
[00:09:38.076 --> 00:09:44.922]  But whether it's real or not, and that's today's show headline, first video of animal-human clone released.
[00:09:46.547 --> 00:09:50.411]  Whether this video is real or not, and I believe it's real, I know in my gut it's real.
[00:09:50.411 --> 00:09:55.876]  That's my entire intellect saying, yes, that's real.
[00:09:55.876 --> 00:09:58.839]  It is real and it is going on and they've been keeping it quiet.
[00:09:58.839 --> 00:10:05.545]  And I predicted a year ago, with all the shows like Sweet Tooth and movies like Lamb coming out, there's more than 20 shows about human-animal hybrids.
[00:10:05.545 --> 00:10:09.749]  And I talked to folks at Netflix that were at the meetings in like three years ago at
[00:10:11.809 --> 00:10:16.711]  Sundance Film Festival, and they were told to come out with dystopic animal-human clones.
[00:10:16.711 --> 00:10:19.892]  They weren't told, hey, to get people ready, but that's an executive level.
[00:10:19.892 --> 00:10:20.733]  I can see what's going on.
[00:10:20.733 --> 00:10:22.633]  I can tell you that's what was happening.
[00:10:22.633 --> 00:10:32.177]  And I said, just a few years ago and a few months ago, and about 11 months ago on Joe Rogan's show, I said, soon they're going to announce this and show it to the world.
[00:10:32.177 --> 00:10:33.938]  And now it's happening.
[00:10:33.938 --> 00:10:35.419]  This is exactly how they would do it.
[00:10:36.567 --> 00:10:38.988]  Just boom at one of the facilities.
[00:10:38.988 --> 00:10:47.971]  Go ahead while all these movies are out and all these shows are in theaters and all the trailers are on TV for shows like Lamb, programs like Lamb Films, then you see this.
[00:10:47.971 --> 00:10:57.274]  So I'm going to roll this footage for the first time exclusively to a big audience and we're going to link the video also in the live show feed.
[00:10:57.274 --> 00:10:59.274]  Can we put the live show feed up for TV viewers?
[00:10:59.274 --> 00:11:04.896]  Because I want to ask TV viewers and radio listeners to go to InfoWars.com and to get
[00:11:06.459 --> 00:11:10.785]  The live show feed of the show.
[00:11:10.785 --> 00:11:15.752]  And to share it with everyone, there it is, breaking first video of Animal-Human Hybrid released.
[00:11:18.439 --> 00:11:20.260]  Click here for exclusive live feed.
[00:11:20.260 --> 00:11:27.885]  Go to InfoWars.com, go to NewsWars.com, go to FreeWorldNews.tv, to the Alex Jones section.
[00:11:27.885 --> 00:11:29.066]  You'll find the live feed there.
[00:11:29.066 --> 00:11:32.048]  That's the URL to share, because it's not as easily censored.
[00:11:32.048 --> 00:11:34.410]  And share it from FreeWorldNews.tv.
[00:11:34.410 --> 00:11:40.153]  Just click on the Alex Jones live feed section, Alex Jones area, and you'll go right to it, left-hand corner.
[00:11:40.153 --> 00:11:45.197]  But right now, let's go ahead and roll this footage of a barn.
[00:11:46.493 --> 00:11:51.395]  With a human-pig hybrid that they admit they've developed.
[00:11:51.395 --> 00:11:55.177]  And you can say, well, maybe it's a real pig being born and they just put this over its face.
[00:11:55.177 --> 00:11:56.237]  I've looked at it.
[00:11:56.237 --> 00:11:58.878]  I've looked at the fingers removing the straw from the head.
[00:11:58.878 --> 00:12:01.459]  This is somebody's phone.
[00:12:01.459 --> 00:12:02.740]  It's just happened.
[00:12:02.740 --> 00:12:03.620]  And they're filming it.
[00:12:03.620 --> 00:12:04.180]  This is real.
[00:12:04.180 --> 00:12:05.601]  That's my analysis.
[00:12:06.758 --> 00:12:13.340]  It's like, you know, you could have the fanciest sex doll in the world, or Madame Tussaud's Wax Museum of Meryl Monroe.
[00:12:13.340 --> 00:12:14.621]  That's not Meryl Monroe.
[00:12:14.621 --> 00:12:16.481]  You know it's got glass eyes.
[00:12:16.481 --> 00:12:17.442]  Or you know it's a morph.
[00:12:17.442 --> 00:12:19.582]  You know, they got the best morph systems out there now.
[00:12:19.582 --> 00:12:23.104]  You can still tell when Hollywood's faked something.
[00:12:23.104 --> 00:12:25.905]  Schwarzenegger, you know, reappears in the Terminator movies as a young man.
[00:12:25.905 --> 00:12:26.685]  You can tell it in him.
[00:12:27.813 --> 00:12:32.236]  This is real, in my expert research view, but you're an expert too, your eye's good.
[00:12:32.236 --> 00:12:38.540]  We're going to show you this footage, and it's now live at man.video and freeworldnews.tv, the footage you're about to see.
[00:12:38.540 --> 00:12:47.066]  And I suggest you get it, and I suggest you share it, so that when people see this, it isn't through mainstream media going, is it real, isn't it real?
[00:12:47.066 --> 00:12:51.729]  Just conditioning you so that when they openly announce what's happening, you're already acclimated to it.
[00:12:51.729 --> 00:12:52.570]  This is brainwashing.
[00:12:54.775 --> 00:12:59.896]  No, this is an animal-human-animal-looks-animal-chimpanzee hybrid.
[00:12:59.896 --> 00:13:00.996]  And I've got MIT.
[00:13:00.996 --> 00:13:02.117]  Let me show you right here.
[00:13:02.117 --> 00:13:04.277]  National Geographic human-pig hybrids.
[00:13:04.277 --> 00:13:04.557]  Right here.
[00:13:04.557 --> 00:13:09.098]  National Geographic.
[00:13:09.098 --> 00:13:09.698]  Here's another one.
[00:13:09.698 --> 00:13:11.359]  Human-animal chimeras are gestating.
[00:13:11.359 --> 00:13:13.039]  That means inside the uterus on U.S.
[00:13:13.039 --> 00:13:13.679]  research labs.
[00:13:13.679 --> 00:13:15.140]  Humanoids inside cows.
[00:13:15.140 --> 00:13:18.580]  Humanoids inside pigs.
[00:13:18.580 --> 00:13:19.581]  Alright?
[00:13:19.581 --> 00:13:20.381]  There's one independent.
[00:13:21.263 --> 00:13:22.404]  Showing this to all the TV viewers.
[00:13:22.404 --> 00:13:23.144]  There it is.
[00:13:23.144 --> 00:13:25.686]  Human-animal chimeras are gestating in U.S.
[00:13:25.686 --> 00:13:26.307]  research labs.
[00:13:26.307 --> 00:13:29.889]  And that's a man who's part sheep and part pig.
[00:13:29.889 --> 00:13:31.771]  It's all in your face, okay?
[00:13:31.771 --> 00:13:35.233]  So, here is the footage that I believe is real.
[00:13:35.233 --> 00:13:35.494]  Here it is.
[00:13:47.887 --> 00:13:48.488]  We're good to go.
[00:14:08.775 --> 00:14:11.437]  All right, now you notice that is in a foreign language.
[00:14:11.437 --> 00:14:16.301]  My point is, I'm showing you news articles that say they're doing it in the United States.
[00:14:16.301 --> 00:14:33.474]  Now, if I was the globalist and I know how they operate, I would go in and artificially inseminate pigs, when you're finally going to announce this, on private farms so they can freak people out and watch they're going to do this, and say the earth is so damaged and so out of control, it's creating these mutations because of global warming.
[00:14:33.474 --> 00:14:36.516]  That's why the third world's starving to death, not from the COVID lockdown that's 100% did it.
[00:14:37.797 --> 00:14:42.879]  Oh, deadly viruses are emerging, not because Peter Daszak and Fauci and Gates created it in a lab.
[00:14:42.879 --> 00:14:44.960]  We wouldn't have the documents proving they did.
[00:14:44.960 --> 00:14:46.440]  And they said they were going to release it.
[00:14:46.440 --> 00:14:47.481]  Total smoking gun.
[00:14:47.481 --> 00:14:51.902]  Oh no, the news is saying it happened because you had a car or air conditioning.
[00:14:51.902 --> 00:14:53.183]  See, it's your fault you're dying.
[00:14:53.183 --> 00:14:54.983]  It's your fault there's human-animal clones.
[00:14:54.983 --> 00:14:56.664]  It's your fault there's deadly viruses.
[00:14:56.664 --> 00:14:58.885]  Five of them spliced together and released.
[00:14:58.885 --> 00:14:59.825]  All confirmed.
[00:14:59.825 --> 00:15:04.747]  It's your fault there's human-animal clones.
[00:15:04.747 --> 00:15:05.167]  You see that?
[00:15:07.332 --> 00:15:09.033]  And I'm usually good at figuring out languages.
[00:15:09.033 --> 00:15:09.934]  Is it Spanish?
[00:15:09.934 --> 00:15:11.134]  Is it Portuguese?
[00:15:11.134 --> 00:15:11.975]  We're going to figure it out.
[00:15:11.975 --> 00:15:13.836]  But we're all doing this together.
[00:15:13.836 --> 00:15:16.457]  Go to the Twitter feed with it, guys, and see what folks are saying there.
[00:15:16.457 --> 00:15:21.881]  But this is the reality, ladies and gentlemen, and this is what's going on in our world.
[00:15:21.881 --> 00:15:23.862]  They're really arresting preachers in the U.S.
[00:15:23.862 --> 00:15:27.864]  and Canada and Europe and Australia that try to reopen their churches, in some cases after 500 plus days.
[00:15:29.650 --> 00:15:31.851]  They're really teaching pedophilia in schools.
[00:15:31.851 --> 00:15:35.174]  They're really saying they're going to print a trillion dollar platinum coin.
[00:15:35.174 --> 00:15:40.337]  It's only worth a few thousand dollars and say now that they can create a trillion and that there's unlimited money and the feds can do whatever they want.
[00:15:40.337 --> 00:15:42.678]  That's the head of the budget committee.
[00:15:42.678 --> 00:15:44.760]  They're really handing the world over to communist China.
[00:15:44.760 --> 00:15:46.981]  They're really dissolving the borders.
[00:15:46.981 --> 00:15:52.004]  They're really teaching critical race theory in schools that whites are inherently bad and are genetic mutants.
[00:15:52.004 --> 00:15:53.625]  They're really doing all this.
[00:15:53.625 --> 00:15:55.807]  It's a scientific mad scientist takeover.
[00:15:57.489 --> 00:16:05.916]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[00:16:05.916 --> 00:16:06.937]  Here's why.
[00:16:06.937 --> 00:16:10.841]  We now have a small number of solar generators back in stock.
[00:16:10.841 --> 00:16:15.985]  These emergency backup systems provide life-saving backup power when you need it most.
[00:16:15.985 --> 00:16:24.393]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[00:16:24.953 --> 00:16:32.946]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[00:16:33.647 --> 00:16:39.733]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too!
[00:16:39.733 --> 00:16:43.557]  Go to MySolarBackup.com to learn more and check availability.
[00:16:43.557 --> 00:16:45.578]  That's MySolarBackup.com.
[00:16:45.578 --> 00:16:53.986]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[00:16:53.986 --> 00:16:56.349]  Yours free at MySolarBackup.com.
[00:16:56.869 --> 00:16:57.810]  Hey everybody.
[00:16:57.810 --> 00:17:03.313]  If you've ever thought about heirloom beans as a storable survival food, I've got great news.
[00:17:03.313 --> 00:17:05.755]  In fact, I'll bet it's the best news you've heard in a while.
[00:17:05.755 --> 00:17:06.595]  Here's the thing.
[00:17:06.595 --> 00:17:10.898]  We've just received a fresh batch of gourmet heirloom beans.
[00:17:10.898 --> 00:17:11.859]  Survival soup beans.
[00:17:12.259 --> 00:17:20.447]  These beans are gorgeous, highly nutritious, and above all, with no hesitation whatsoever, the best tasting beans in the entire world.
[00:17:20.447 --> 00:17:21.548]  The best part?
[00:17:21.548 --> 00:17:30.576]  We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to.
[00:17:30.836 --> 00:17:31.857]  Gets even better!
[00:17:31.857 --> 00:17:42.622]  With your permission, and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[00:17:42.622 --> 00:17:43.442]  Period.
[00:17:43.442 --> 00:17:45.463]  Go to soupbeansurvival.com.
[00:17:45.463 --> 00:17:47.624]  That's soupbeansurvival.com.
[00:17:47.624 --> 00:17:51.706]  And discover the real reason we're giving this unusual superfood away.
[00:17:51.706 --> 00:17:53.587]  At soupbeansurvival.com.
[00:17:53.587 --> 00:17:54.868]  That's soupbeansurvival.com.
[00:17:58.615 --> 00:18:02.438]  Back in stock, down-and-out liquid sleep support.
[00:18:02.438 --> 00:18:03.799]  It's been out of stock for a while.
[00:18:03.799 --> 00:18:07.582]  It's one of three sleep aids we have at Infowarsstore.com.
[00:18:07.582 --> 00:18:08.783]  This one has been very popular.
[00:18:08.783 --> 00:18:09.964]  It's sold off the shelves.
[00:18:09.964 --> 00:18:13.826]  It's back in stock, down-and-out liquid sleep support.
[00:18:13.826 --> 00:18:16.669]  This is probably the strongest
[00:18:17.469 --> 00:18:19.690]  Sleep aid that we have, I would say.
[00:18:19.690 --> 00:18:22.591]  Knockout, Rocket Rest, both great.
[00:18:22.591 --> 00:18:23.992]  Comes in pill form.
[00:18:23.992 --> 00:18:28.013]  This is the liquid tincture, and I think this is probably the most powerful one.
[00:18:28.013 --> 00:18:30.014]  Survival Shield X2 Nascent Iodine.
[00:18:30.014 --> 00:18:35.897]  This is, if you haven't done an iodine challenge yet, if you haven't done the iodine challenge, what are you waiting for?
[00:18:35.897 --> 00:18:36.617]  Now is the time.
[00:18:36.917 --> 00:18:41.479]  The average person on the face of this incredible planet is still unaware
[00:19:02.486 --> 00:19:12.269]  There's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[00:19:12.269 --> 00:19:20.032]  From the United States to Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, fascist world government.
[00:19:20.032 --> 00:19:26.134]  That's why they launched their Great Reset, and their program after collapsing us, of Build Back Better.
[00:19:27.274 --> 00:19:33.042]  This is nothing more than a top-down, vertical consolidation of the world economy.
[00:19:33.042 --> 00:19:43.256]  And because they couldn't take our guns, and because we wouldn't bow, because the left, which is the ideology of this world government system, couldn't win, they released a biological weapon on us.
[00:19:44.117 --> 00:19:48.441]  Now we know two years ago, we learned about it about 20 months ago.
[00:19:48.441 --> 00:19:49.042]  It's that simple.
[00:19:49.042 --> 00:19:52.145]  They can't beat us because of our free speech and our guns.
[00:19:52.145 --> 00:19:56.328]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[00:19:56.328 --> 00:20:01.633]  Expose this paradigm and we win.
[00:20:01.633 --> 00:20:04.236]  You're listening to the Alex Jones Show.
[00:20:15.196 --> 00:20:16.516]  The language is Spanish.
[00:20:16.516 --> 00:20:22.738]  He's saying maranito, meaning little pig, and then he says person, human.
[00:20:22.738 --> 00:20:24.678]  We're going to play the club for you again right now.
[00:20:24.678 --> 00:20:38.022]  I'm Alex Jones, your host, and more images and video is emerging around the world of human-like pigs or monkey-like pigs in China, not just in Mexico, where we now know this video came from.
[00:20:41.363 --> 00:20:42.784]  True horror, ladies and gentlemen.
[00:20:42.784 --> 00:20:45.245]  Here's another one of the humanized pigs.
[00:20:45.245 --> 00:20:47.506]  Now, they're going to say that's a natural mutation.
[00:20:47.506 --> 00:20:49.406]  This type of stuff's not been recorded before.
[00:20:49.406 --> 00:20:50.967]  Why is it happening now?
[00:20:50.967 --> 00:20:58.270]  Oh, right, while human-pig hybrid created in lab, here are the facts.
[00:20:58.270 --> 00:21:03.592]  Now, there's a very mutagenic factor to this, and it's also been found in major studies.
[00:21:03.592 --> 00:21:07.234]  The 100th monkey syndrome is one of the well-documented ones, where you can have monkeys
[00:21:09.192 --> 00:21:09.412]  Thank you.
[00:21:31.761 --> 00:21:34.183]  And know how to break it open themselves.
[00:21:34.183 --> 00:21:34.864]  It's documented.
[00:21:34.864 --> 00:21:41.410]  It's an electromagnetic sixth sense internet that we call spiritual, but it's really electrochemical.
[00:21:41.410 --> 00:21:41.830]  It's real.
[00:21:41.830 --> 00:21:46.034]  It's been documented.
[00:21:46.034 --> 00:21:53.921]  And so could it be that because they're doing all this cloning and all this genetic engineering, that because these creatures are transmitting,
[00:21:55.390 --> 00:22:05.189]  It's like geese know how to read the magnetic lines of the earth and fly 5,000 miles at 3,000 miles and hummingbirds can fly 4,000 miles and butterflies can fly 3,000-4,000 miles.
[00:22:05.189 --> 00:22:07.353]  Monarchs from Canada all the way down to Mexico.
[00:22:10.077 --> 00:22:17.621]  Well, they are picking up the electromagnetic systems of other animals, other plants, and the earth, and the sun, and the moon.
[00:22:17.621 --> 00:22:19.121]  This is all known now.
[00:22:19.121 --> 00:22:20.362]  This isn't mumbo-jumbo.
[00:22:20.362 --> 00:22:27.566]  The ancients all knew it, but they tried to figure it out their own way and ascribed it to mythical, secret, unseen things, but they couldn't see it.
[00:22:27.566 --> 00:22:36.250]  Well, we now know you can't see a cell phone radiation, can't see microwave radiation, can't see the radiation in your microwave, but you put a fork in there and hit the button, you're going to see something.
[00:22:37.964 --> 00:22:43.130]  We're going to see those wavelengths going through and hitting that metal and having an explosive reaction.
[00:22:43.130 --> 00:22:47.494]  And you put a baby in that microwave like a lot of crazy crackhead women do.
[00:22:47.494 --> 00:22:54.482]  I've met two different groups of cops in the United States that went on calls where crackhead women put babies in microwaves.
[00:22:54.482 --> 00:22:56.985]  And you can't see the microwave sitting the baby, but it's happening.
[00:22:58.404 --> 00:23:05.687]  It's like you can't see the microwave radiation come out of a cell phone, but it's made those type of brain tumors go up more than 10,000% in the last 20 years.
[00:23:05.687 --> 00:23:08.208]  And the doctors always know it's what side of the head you put the phone to.
[00:23:08.208 --> 00:23:11.609]  Remember that.
[00:23:11.609 --> 00:23:13.690]  Just keeping it a few feet away will probably save your life.
[00:23:13.690 --> 00:23:14.611]  You go, why?
[00:23:14.611 --> 00:23:22.394]  Because however long the antenna is, engineers will tell you, and this is a guesstimation, stupid way of saying it, it varies system to system, but however long the antenna is,
[00:23:24.935 --> 00:23:30.999]  Every length out of the wavelength from the length of the antenna, it cuts in power by half.
[00:23:30.999 --> 00:23:40.225]  So when you're right up against your skull, it's all going right in through your brain and it's actually inducting into your bone and into your brain.
[00:23:40.225 --> 00:23:46.409]  And that's why there are studies out 30 years ago that the first big cell phones out would, quote, heat the brain up to two degrees.
[00:23:46.409 --> 00:23:48.230]  Look it up.
[00:23:48.230 --> 00:23:49.211]  So this is a side issue.
[00:23:50.509 --> 00:23:56.434]  Here we are in the year 2021 and the Senate, we put this on screen, remember?
[00:23:56.434 --> 00:23:58.395]  Four months ago, the U.S.
[00:23:58.395 --> 00:24:00.417]  Senate headline, U.S.
[00:24:00.417 --> 00:24:07.422]  Senate refuses to ban certain types of animal-human hybrids.
[00:24:07.422 --> 00:24:15.289]  Senate kills GOP legislation to prohibit certain human-animal hybrids, chimeras, forbs.
[00:24:15.289 --> 00:24:17.911]  And I said four months ago, let's see if my memory serves, how long ago was that?
[00:24:21.493 --> 00:24:22.234]  Was it four months ago?
[00:24:22.234 --> 00:24:22.995]  I think it was four months ago.
[00:24:22.995 --> 00:24:24.316]  Let's see if my memory serves.
[00:24:24.316 --> 00:24:28.320]  The point is that's where our country is and that's what's going on.
[00:24:28.320 --> 00:24:32.946]  Taxpayer monies for this!
