[00:00:00.000 --> 00:00:16.719]  [Thunder]
[00:14:08.109 --> 00:14:19.032]  Here in a moment, as we kind of move through what are some of my favorite chapters that are throughout this course, Alex kept calling it the whole time, it's like a video book.
[00:14:19.573 --> 00:14:26.435]  There's 11 chapters broken down, everything from how mind control works, how to break out of it.
[00:14:27.395 --> 00:14:29.177]  The spiritual wars, the mind wars.
[00:14:29.217 --> 00:14:30.098]  This is really a book.
[00:14:30.198 --> 00:14:31.439]  I mean, that's what it is.
[00:14:31.459 --> 00:14:33.141]  You were saying, you know, this is really a book we're putting together.
[00:14:33.161 --> 00:14:36.124]  I was like, yeah, kind of like Frank Herbert called it a film book or a video book.
[00:14:36.544 --> 00:14:37.325]  That's what this is.
[00:14:37.706 --> 00:14:38.827]  It's really a visual book.
[00:14:39.605 --> 00:14:40.485]  It's a visual book.
[00:14:40.745 --> 00:14:41.626]  A visual course.
[00:14:42.426 --> 00:14:49.229]  And so we're going to play just one of my quick favorite parts from the course here.
[00:14:49.709 --> 00:14:54.131]  But before we do that, we'll be back on to talk about the emotional control grid.
[00:14:54.411 --> 00:14:57.232]  Some amazing stories about Alex you never heard.
[00:14:57.612 --> 00:15:03.094]  Remember, Reset Wars is officially out today and that it is available everywhere.
[00:15:03.515 --> 00:15:04.255]  Well, absolutely.
[00:15:04.375 --> 00:15:08.817]  And let's let the listeners know, because we haven't gotten this yet, but we should.
[00:15:09.497 --> 00:15:18.079]  We intend to roll out a whole new system through this, and weekly reports, and monthly reports, and physical books, and so much.
[00:15:18.099 --> 00:15:32.423]  That's why when we say being part of Spirit Wars, Mind Wars, Mind Wars, Spirit Wars, and the Great Reset, as we counter the Great Reset with Reset Wars, is getting in on the next level of the Info Wars fight, and what the enemy has really, really feared.
[00:15:32.462 --> 00:15:37.423]   because I've always had a sense of destiny and will and knowing I was doing it for the right reason,
[00:15:37.423 --> 00:15:42.622]   knowing I was doing it because I wasn't gonna let humanity be enslaved and I've just seen the power
[00:15:42.622 --> 00:15:48.362]   of God flowing through me and that can happen with you as well at a level you've never experienced.
[00:15:48.362 --> 00:15:54.301]   And once you experience this, this Promethean fire, you're gonna be on a whole new path.
[00:15:54.444 --> 00:16:07.718]  So go to ResetWars.com and keep us on the air, but also get this groundbreaking information that is, you know, people pay hundreds of thousands of dollars for these fake college educations that basically are worthless in most cases.
[00:16:08.118 --> 00:16:11.562]  Well, this ladies and gentlemen is not even a fraction of a fraction of that.
[00:16:12.262 --> 00:16:17.531]  And it is how the enemy is controlling you and the secrets to unlock your mind and free yourself from it.
[00:16:17.692 --> 00:16:19.495]  And it keeps InfoWars on the air.
[00:16:19.555 --> 00:16:20.837]  A total complete 360 win.
[00:16:20.877 --> 00:16:21.418]  ResetWars.com.
[00:16:25.984 --> 00:16:27.485]  Why should you order Reset Wars?
[00:16:28.145 --> 00:16:33.247]  It will help you understand how to survive, prepare, and thrive in the Great Reset.
[00:16:33.367 --> 00:16:35.388]  Pressure is coming and they're ramping it up.
[00:16:35.868 --> 00:16:40.130]  With this course, you'll finally know what's really going on and how to prepare.
[00:16:40.830 --> 00:16:45.792]  This course will give you the strength to resist the pressure of the Great Reset and make it to the other side.
[00:16:46.572 --> 00:16:50.694]  Join right now and order Reset Wars today at ResetWars.com.
[00:16:51.673 --> 00:16:53.533]  All right, we're back here this evening.
[00:16:53.553 --> 00:16:54.574]  Thank you so much for joining us.
[00:16:54.614 --> 00:16:55.814]  Jake Ducey is here.
[00:16:55.894 --> 00:16:58.935]  This is ResetWars, ResetWars.com.
[00:16:58.995 --> 00:17:06.157]  This is the secrets of how they're controlling us, and basically a cheat sheet to be aware of it and to be conscious of it.
[00:17:06.237 --> 00:17:15.039]  And none of us are perfect, but the process is incredible and is dramatic if you'll just watch the course, take notes, and then start putting it into common sense function.
[00:17:15.319 --> 00:17:17.279]  Jake Ducey, we have so many notes, so much to get to.
[00:17:17.299 --> 00:17:18.200]  Let's start plowing into it.
[00:17:18.800 --> 00:17:19.020]  Yeah.
[00:17:20.664 --> 00:17:39.004]  One of my favorite things about the course is two, is one, my favorite bits of you have always just been a bitter piece where you talk about quantum physics and in this you've got an entire chapter, an entire training breaking down not only it from an abstract level but how to apply it into your life.
[00:17:39.745 --> 00:17:42.388]  And so I thought we'd go into there.
[00:17:42.468 --> 00:17:48.694]  And one of the things that I really like about the course is how you turn everything into an exercise.
[00:17:48.774 --> 00:17:51.797]  This isn't just like abstract information or news.
[00:17:52.237 --> 00:18:01.245]  This is a every chapter Alex built is devoted to specifically helping you apply a new section into your life.
[00:18:03.067 --> 00:18:17.739]  When you go through, not only is the chapter on quantum physics in the Observer Effect one of the most beautiful bits in the whole course, but you end that chapter with an experiment, with a challenge, with an exercise.
[00:18:18.379 --> 00:18:35.452]  And you talk about suspending your disbelief and testing the power of human consciousness, allowing, you know, your vision for your life to be built, the impact you can have to change this world to be built in your consciousness, and then testing the power of consciousness into your life to create it.
[00:18:36.173 --> 00:18:53.543]   And I love that, but before we get into that, I thought, let's start with What is the observer effect and why is it important that we understand the significance of that from a quantum subatomic perspective?
[00:18:53.884 --> 00:18:59.088]  And you talk about how reality is created from the subatomic level and how the elites use that.
[00:18:59.628 --> 00:19:03.912]  But what is the observer effect all about or what fascinates you most about it?
[00:19:04.332 --> 00:19:07.515]  Well, Jake, I made you come in here because you're super smart.
[00:19:07.535 --> 00:19:09.136]  I think you make points as good as I do.
[00:19:09.596 --> 00:19:11.578]  And I'm in the course and I lay it all out.
[00:19:11.898 --> 00:19:16.279]  But you've got your own perspective, which I totally agree with, but it's just from a different angle.
[00:19:16.719 --> 00:19:19.600]  And so I could, you know, give people the technical definition.
[00:19:19.620 --> 00:19:22.881]  I could talk about it for hours, but I'd like to hear your definition of it.
[00:19:23.861 --> 00:19:31.864]  The observer effect is the fact that when we pray for something, it actually has an effect on the universe.
[00:19:31.904 --> 00:19:35.525]  When we observe something, it actually has an effect on the universe.
[00:19:35.685 --> 00:19:46.932]   And with computers and with spectrometers and under observation, This has been proven and they know that electrons and neutrons and atoms go in and out of this dimension.
[00:19:47.372 --> 00:19:48.073]  The energy is there.
[00:19:48.153 --> 00:19:48.694]  It's gone.
[00:19:48.734 --> 00:19:56.543]  It goes back and forth and observing it has a major effect on it and that energy is not destroyed.
[00:19:56.683 --> 00:19:58.665]  It is only transferred into something else.
[00:19:58.724 --> 00:20:02.924]   So this is all Newtonian physics, but then up to quantum physics.
[00:20:02.924 --> 00:20:06.324]   And the fact that the globalists use us like hacked computers.
[00:20:06.324 --> 00:20:12.284]   Heard of zombie attack where the hackers go out and they take over 1,000, 10,000, 20,000 computers,
[00:20:12.284 --> 00:20:19.484]   a million computers, and then they can take down whole governments, whole corporations, whole systems
[00:20:19.484 --> 00:20:24.484]   because they've taken control of those computers and now those computers are doing zombie attacks.
[00:20:24.484 --> 00:20:27.324]  Well, that's what happens with us.
[00:20:27.442 --> 00:20:29.943]  The enemy knows this and is programming people.
[00:20:29.983 --> 00:20:35.566]  So this isn't like Oprah Winfrey's secret where you just imagine something and want it so you get it.
[00:20:36.226 --> 00:20:43.330]  This is if you're in God's will and focus and moving in this path, then it becomes stronger and stronger and stronger.
[00:20:43.370 --> 00:20:44.551]  It's electromagnetic.
[00:20:45.151 --> 00:20:52.675]  And that's basically, I mean, we get into the science of it and spend a lot of time, probably an hour or something on it in the course.
[00:20:52.735 --> 00:20:54.056]  But what's your view on it?
[00:20:55.566 --> 00:21:03.213]  I like what you said because if someone's watching this and they're like, well, what does quantum physics have to do with defeating the Great Reset?
[00:21:04.074 --> 00:21:10.380]  And the thing is that there's a reason that we aren't taught the real science.
[00:21:11.141 --> 00:21:18.846]  In schools, because like you said, that's a good analogy of how the observer effect in quantum physics, everything's energy.
[00:21:19.447 --> 00:21:22.249]  Consciousness creates reality down to the subatomic level.
[00:21:22.369 --> 00:21:24.390]  Sometimes subatomic particles are particles.
[00:21:24.490 --> 00:21:26.231]  Sometimes they're waves in another dimension.
[00:21:26.632 --> 00:21:27.993]  This creates the entire world.
[00:21:28.033 --> 00:21:31.055]  This is why, you know, tech people say, it's a simulation.
[00:21:31.375 --> 00:21:37.839]  Although I don't love that word because a simulation, you know, we think of it as a video game, which kind of takes out the spirit of it.
[00:21:38.280 --> 00:21:40.241]  The animating spirit of life.
[00:21:40.401 --> 00:21:42.697]  We have higher orders that are expressed in this dimension.
[00:21:42.961 --> 00:21:51.085]  Yeah, and the reason I think that this is so important is because once we understand that, everything shifts.
[00:21:51.485 --> 00:22:15.877]   And so one of the powerful things that I learned, just sitting in on the course and watching it so many times, is basically how you are able to use this to go from a 17-year-old, 16-year-old kid Recording in your closet to becoming one of the most powerful people in America, like quite literally.
[00:22:16.517 --> 00:22:26.660]  And it's the exact same process that all of us can use, but when we don't understand it, we create our own enslavement, which is how this whole globalist, that's what my view is.
[00:22:26.820 --> 00:22:27.340]  Exactly.
[00:22:27.560 --> 00:22:32.182]  Look, the CIA, right here we'll show it to you, they know this, they say this, they're using it against you.
[00:22:32.882 --> 00:22:40.685]  So imagine if, because they have to trick you though, if you're in control of yourself, you can get hundreds of times more control than they get over you, yourself.
[00:22:41.206 --> 00:22:46.228]  So it's kind of like you said on the show when you were here recently, brainwash yourself before somebody else brainwashes you.
[00:22:47.334 --> 00:22:50.816]  And so I want to talk because Alex doesn't talk about himself that much.
[00:22:50.856 --> 00:22:54.058]  And even in the course, I was like, man, you've got so many good stories.
[00:22:54.118 --> 00:22:57.099]  And Alex didn't want to go into every one, but I was forcing him to.
[00:22:57.639 --> 00:23:04.603]  One of the stories that that I think so powerful that will be so powerful for anyone that's going through this course.
[00:23:05.359 --> 00:23:09.119]   is because this whole thing is about keeping our self-image really low.
[00:23:09.119 --> 00:23:11.759]  And if we don't realize how powerful we are, they win.
[00:23:11.759 --> 00:23:17.038]   But if a bunch of people wake up and activate, find that strength, the game's over.
[00:23:17.038 --> 00:23:21.519]   There's a bunch of us running around realizing we create reality.
[00:23:21.519 --> 00:23:24.479]  And I didn't know you started in your closet.
[00:23:24.479 --> 00:23:30.398]   And one of the stories, I was asking you about getting banned when you got kicked off,
[00:23:30.398 --> 00:23:33.759]   when they all in one fell swoop, they took you guys off everywhere.
[00:23:34.284 --> 00:23:55.914]   And I want you to tell the story about the first time when you had this vision that you were going to be doing radio and fight this whole system, when that time when you entered the contest of the local radio show and you were a teenager, pretty young and you were supposed to create your own fake
[00:23:55.914 --> 00:24:01.255]   show, send it in to try to win. And the reason I love this is because it didn't
[00:24:01.255 --> 00:24:05.164]   really go that well for you when when they ended and the guy ended up just
[00:24:05.164 --> 00:24:09.974]   making fun of you on this on air. And I want you to tell that story and and and and
[00:24:09.974 --> 00:24:14.904]   what happened out of that you know because you you you had a powerful you know
[00:24:14.904 --> 00:24:18.324]   realization out of it that it was actually this good thing that you knew you're
[00:24:18.324 --> 00:24:22.822]   gonna be successful And I think a lot of us, you know, we get knocked down by life so much.
[00:24:22.862 --> 00:24:24.503]  We don't realize how powerful we are.
[00:24:24.803 --> 00:24:26.384]  That's what this course is all about.
[00:24:26.424 --> 00:24:27.885]  So tell that story, you know.
[00:24:27.945 --> 00:24:28.565]  So what happens?
[00:24:28.846 --> 00:24:29.886]  There's this contest.
[00:24:30.226 --> 00:24:32.048]  You cut this clip.
[00:24:32.068 --> 00:24:32.548]  What happened?
[00:24:33.919 --> 00:24:39.261]  Well, to make a long story short, the LBJ family owned KLBJ at that time.
[00:24:40.501 --> 00:24:43.122]  And it was the number one talk station, arguably, in Texas.
[00:24:43.402 --> 00:24:44.282]  It covered most of the state.
[00:24:45.442 --> 00:24:47.183]  And I was listening to it in high school.
[00:24:47.203 --> 00:24:48.343]  The Fresh Limbaugh was on there.
[00:24:49.264 --> 00:24:51.844]  And they had a shake-up and got a new host.
[00:24:52.705 --> 00:24:55.125]  And they had this host who was a visiting host home for a few months.
[00:24:55.145 --> 00:24:56.646]  And he said, OK, we're having a contest.
[00:24:57.406 --> 00:25:00.427]  Produce a radio show, record it, send it in, and maybe you'll get a job here.
[00:25:01.425 --> 00:25:02.626]  And he wasn't really even doing that.
[00:25:02.646 --> 00:25:03.766]  Turns out he was a radio consultant.
[00:25:03.786 --> 00:25:04.827]  He was trying to get the job himself.
[00:25:04.867 --> 00:25:05.207]  He didn't.
[00:25:06.148 --> 00:25:09.870]  And so I went with my cousin, who had already gotten to college.
[00:25:09.890 --> 00:25:10.810]  He's about a year older than me.
[00:25:11.310 --> 00:25:13.071]  I was just a senior in high school.
[00:25:14.072 --> 00:25:15.633]  And he had a bunch of recording equipment.
[00:25:15.653 --> 00:25:20.115]  So I did like a whole basically hour of me reading out of news articles, talking about things.
[00:25:20.155 --> 00:25:21.176]  I wish I could find that tape somewhere.
[00:25:21.196 --> 00:25:21.756]  It was pretty good.
[00:25:22.396 --> 00:25:25.698]  And I also cut ads to show that I could cut ads on the stuff.
[00:25:26.158 --> 00:25:26.819]  So he gets it.
[00:25:27.856 --> 00:25:33.178]  And then people start calling on, Hey, you know, that guy's on there playing clips, making fun of me.
[00:25:33.558 --> 00:25:33.678]  Yeah.
