[00:00:09.943 --> 00:00:10.364]  We're here!
[00:02:17.192 --> 00:02:18.953]  It's a very spiritual moment.
[00:02:20.715 --> 00:02:24.738]  And it lets you see across the ether to the expanded other dimensions.
[00:02:26.979 --> 00:02:28.000]  The enemy knows about that.
[00:02:28.020 --> 00:02:30.702]  They want to keep you away from that because that's where the real power is.
[00:02:30.722 --> 00:02:31.483]  That's where God is.
[00:02:32.978 --> 00:02:34.721]  We're about to talk to Ernest Ramirez.
[00:02:34.761 --> 00:02:37.104]  This is going to be a painful interview because I've seen some of his other interviews.
[00:02:38.927 --> 00:02:42.212]  And we've also got so many others coming on.
[00:02:42.332 --> 00:02:45.457]  Dr. Richard Bartlett, who I haven't interviewed yet, who's a real hero.
[00:02:46.837 --> 00:02:51.758]  We're going to have Steve Quayle on, Robert Barnes, Joel Skousen, and so many others on this emergency.
[00:02:51.778 --> 00:02:55.719]  I used to say emergency once a year with a show, like when something big or huge happened.
[00:02:55.959 --> 00:03:01.500]  Now it's every other show is an emergency broadcast because every day it's stuff that crazy, that wild.
[00:03:01.760 --> 00:03:02.501]  We're in an emergency.
[00:03:02.521 --> 00:03:03.481]  We're in martial law.
[00:03:03.721 --> 00:03:05.281]  He's doing all this under emergency powers.
[00:03:05.581 --> 00:03:08.082]  They implemented all those executive orders we warned you about forever.
[00:03:10.026 --> 00:03:18.548]  But we can rise the occasion, we can override big tech before they put in the internet kill switch and the big power outage cyber attack they're planning that they've already telegraphed they're about to launch.
[00:03:18.869 --> 00:03:24.150]  That's while the globalists are moving into bunkers underground in New Zealand and Canada and Hawaii and other areas.
[00:03:25.710 --> 00:03:34.453]  So it's going to be rough but it's going to separate the wheat from the chaff and this big entertainment delusion satanic system is going to come to an end.
[00:03:35.566 --> 00:03:39.949]  Of its own will, because it can't help but attack and finally make its move.
[00:03:39.969 --> 00:03:44.973]  Because all it wants to do is take a bunch of people with it into eternity.
[00:03:45.313 --> 00:03:46.354]  It knows it's not going to win.
[00:03:46.394 --> 00:03:47.395]  It knows it's already lost.
[00:03:47.715 --> 00:03:48.796]  That's why it acts like this.
[00:03:48.816 --> 00:03:49.937]  That's why it doesn't make sense.
[00:03:49.977 --> 00:03:58.984]  They destroy themselves because they're just clawing as they get swept into that black hole, into the phantom zone, as many souls as they can try to imprison with them in eternity.
[00:03:59.844 --> 00:04:04.348]  What matters is, is what you do while you're alive in this test, not what happens to your body.
[00:04:05.367 --> 00:04:11.130]  So accept death of the body, ask God to lead God and direct you, and to come into you, and it will happen.
[00:04:12.270 --> 00:04:26.717]  If you've already been serving evil, you'll fill that block where you can't reach God, but you want God, and you ask God to start drilling through that, and then you will be hit by the Holy Spirit at some point, and then you will begin to turn like a big ocean liner takes a while towards God.
[00:04:28.168 --> 00:04:30.209]  That's the most general type when people turn back.
[00:04:30.709 --> 00:04:36.172]  You can also have a Saul of Tarsus on the road to Damascus where God wants somebody and goes, boom, thunderbolt.
[00:04:36.472 --> 00:04:39.794]  You get the whole vision, the whole system, the whole upload.
[00:04:42.395 --> 00:04:44.756]  And that's basically what happened to me, but I'm just going to leave it at that.
[00:04:44.776 --> 00:04:45.797]  Happened to David Icke as well.
[00:04:47.277 --> 00:04:52.820]  So, then you get other big downloads and now it's one continuous download.
[00:04:52.900 --> 00:04:54.361]  It's just like, you know,
[00:04:55.205 --> 00:04:56.406]  All my systems are yours.
[00:04:57.887 --> 00:05:01.651]  And so this is going to be intense, folks, because the enemy has turned on the power.
[00:05:02.171 --> 00:05:03.092]  And that's how God works.
[00:05:03.412 --> 00:05:06.435]  For every action, there's an opposite-equal reaction to Newtonian physics.
[00:05:06.475 --> 00:05:08.537]  So as they power up, we power up.
[00:05:09.437 --> 00:05:13.281]  This is a big moment in the history of our ancient species.
[00:05:14.702 --> 00:05:19.486]  Okay, so we're going to talk to Ernest Ramirez, who lost his son, his 16-year-old son, Ernest Jr.
[00:05:20.623 --> 00:05:27.865]  And then we're going to get Dr. Richard Bartlett on the Skype line and Steve Quayle, Robert Barnes, Joel Skousen, and more today.
[00:05:28.625 --> 00:05:30.485]  So please stay with us.
[00:05:30.505 --> 00:05:35.687]  We're going to go to a quick little break here while we're getting him on, and we'll be right back.
[00:05:35.787 --> 00:05:37.627]  InfoWars.com, NewsWars.com.
[00:05:37.987 --> 00:05:40.648]  Please tell folks to tune into this live feed and later when it's archived.
[00:05:40.888 --> 00:05:43.409]  The purpose of fear is to call us into action, and there is plenty to be afraid of today.
[00:05:43.429 --> 00:05:49.290]  Half the population has lined up for an untested, deadly, and debilitating experimental injection because they were told to be afraid of an invisible, asymptomatic disease.
[00:06:08.194 --> 00:06:17.563]  The perpetrators of all this have clearly stated their goal of having 80% of the population hooked up to an artificial intelligence hive mind in less than nine years.
[00:06:18.163 --> 00:06:24.529]  For those of us who have awoken from the spell, we know this is all really happening, and it's unbelievably unsettling to see.
[00:06:24.930 --> 00:06:26.371]  But there is only two things to do.
[00:06:27.472 --> 00:06:30.154]  We continue sounding the alarm because it's a numbers game.
[00:06:30.634 --> 00:06:33.396]  If enough people awaken from the cold spell, then we win.
[00:06:33.937 --> 00:06:39.061]  But even when we win, and we eventually will, the days of convenience are soon coming to an end.
[00:06:39.341 --> 00:06:40.842]  And so, we must prepare.
[00:06:41.162 --> 00:06:51.289]  Get up to a year's worth of storable foods, water filtration, survival gear, seeds, shortwave radios, and life-saving knowledge at InfoWareStore.com.
[00:07:04.637 --> 00:07:05.377]  InfoWars.
[00:07:05.738 --> 00:07:07.318]  Tomorrow's news today.
[00:07:07.338 --> 00:07:13.301]  I love the hell out of my country, but I don't trust my government anymore.
[00:07:14.081 --> 00:07:19.764]  My son received a vaccine and he died a few days later.
[00:07:19.784 --> 00:07:25.087]  The only explanation that was given to me was an enlarged heart.
[00:07:25.887 --> 00:07:29.069]  So if I have anything to say to anybody, look down at your child.
[00:07:30.569 --> 00:07:31.470]  It's not worth the risk.
[00:07:32.463 --> 00:07:36.626]  I mean, you see your baby right now, you might not see your baby tomorrow.
[00:07:37.587 --> 00:07:39.288]  I have to live with that the rest of my life.
[00:07:40.629 --> 00:07:51.577]  Well, as a father of four, my oldest is my 18-year-old son, I see our guest coming on and I see the photo of his very handsome son behind him and it makes me want to start crying.
[00:07:52.398 --> 00:07:59.063]  It also makes me think violent thoughts about the people that did this to his son, who thought he was doing the right thing and trying to help people.
[00:08:00.353 --> 00:08:02.854]  But we're going to bring him to justice through the courts, ladies and gentlemen.
[00:08:03.334 --> 00:08:04.354]  And don't worry, they will pay.
[00:08:04.394 --> 00:08:10.517]  They violated the Nuremberg Code, Geneva Convention, and a lot more with this secret experimentation and lying to the public about it being authorized.
[00:08:11.817 --> 00:08:18.960]  Last October, the CDC accidentally flashed up on a slideshow and then later it was, quote, declassified.
[00:08:20.074 --> 00:08:26.456]  A list of potential side effects that they knew from previous studies of similar mRNA shots was causing.
[00:08:27.056 --> 00:08:31.538]  It includes myocarditis and then flat-out heart attacks, swelling of the heart.
[00:08:32.238 --> 00:08:44.802]  So I know it's hard for Ernest Ramirez to talk about Ernest Jr., his son, but we only saw a short clip of him on local Fox, hundreds gather at Texas Capitol to oppose vaccine mandates, and then
[00:08:46.567 --> 00:08:46.687]  Well,
[00:09:17.216 --> 00:09:24.002]  Like I said, you know, I took the Moderna because it was just me and my son.
[00:09:24.303 --> 00:09:26.405]  You know, it's always been just us two.
[00:09:27.546 --> 00:09:29.407]  And we were locked up in the house.
[00:09:29.828 --> 00:09:34.612]  When all this started up, we figured it's safest to just keep to ourselves.
[00:09:35.953 --> 00:09:38.856]  And so I took it because I'm in and out from work.
[00:09:39.717 --> 00:09:43.000]  You know, my son would wake him up in the morning, give him a kiss, tell him,
[00:09:45.570 --> 00:09:47.510]  Oh, Jimmy, I'll tell him I love you.
[00:09:48.011 --> 00:09:48.571]  Go to work.
[00:09:51.671 --> 00:09:53.692]  When I get home, he ran outside.
[00:09:54.072 --> 00:09:56.292]  You know, I always call him my baby boy.
[00:09:57.213 --> 00:10:01.513]  He was almost a little bit bigger than me, but I was always here to run outside.
[00:10:01.573 --> 00:10:02.214]  Give me a hug.
[00:10:02.594 --> 00:10:05.514]  I give him a kiss and we prepare what, you know, for the evening.
[00:10:05.534 --> 00:10:06.274]  What are we going to do?
[00:10:06.314 --> 00:10:07.035]  What are we going to eat?
[00:10:08.275 --> 00:10:11.476]  So they started advertising saying it was safe for teenagers.
[00:10:11.956 --> 00:10:13.276]  And like I said, my concern
[00:10:14.147 --> 00:10:18.170]  We, we were never apart.
[00:10:18.290 --> 00:10:19.151]  We're always together.
[00:10:20.532 --> 00:10:24.515]  And I started taking a peek, get sick, you know, and he has to go to the hospital.
[00:10:25.836 --> 00:10:29.178]  There's no way in the world they're going to keep me from his side.
[00:10:29.939 --> 00:10:32.621]  You know, I was going to end up getting a trail bore or whatever.
[00:10:33.141 --> 00:10:35.323]  So I said, well, they're telling me it's safe.
[00:10:35.343 --> 00:10:36.604]  Pfizer's safe for him.
[00:10:37.845 --> 00:10:38.025]  So,
[00:10:38.596 --> 00:10:43.597]  I waited, you know, a couple more weeks and they kept announcing, you know, it's good for the teenagers.
[00:10:43.617 --> 00:10:45.258]  So I said, okay, let's go take it.
[00:10:46.658 --> 00:10:51.199]  So he took them, he took the Pfizer shot at a local hospital here.
[00:10:52.259 --> 00:10:56.240]  And, uh, you know, we still stayed home, you know, we didn't go out.
[00:10:57.100 --> 00:11:04.442]  And, uh, finally, my neighbors, they're like family, her husband, my best friend, their kids are like my own kids.
[00:11:05.728 --> 00:11:07.289]  Well, they asked to take him out to eat.
[00:11:07.589 --> 00:11:10.570]  I said, yeah, you know, they're good Christian people.
[00:11:10.610 --> 00:11:13.012]  So they went, they went to eat.
[00:11:13.232 --> 00:11:14.853]  They went to the park to play basketball.
[00:11:15.693 --> 00:11:22.516]  She said the three boys were running from one side to the other and he just collapsed while he was running.
[00:11:22.536 --> 00:11:24.557]  He collapsed and fell.
[00:11:25.098 --> 00:11:29.500]  A local PD just happened to be at the park and he started doing CPR.
[00:11:31.621 --> 00:11:35.563]  My best friend, he started
[00:11:36.109 --> 00:11:38.631]  Even a mouth-to-mouth and there was nothing they could do.
[00:11:38.671 --> 00:11:39.651]  The ambulance got there.
[00:11:39.851 --> 00:11:46.956]  As soon as I got there, they loaded him up and I chased the ambulance to the hospital and they told me, your son's dead.
[00:11:46.976 --> 00:11:48.217]  I couldn't believe it.
[00:11:48.577 --> 00:11:49.457]  Couldn't believe it at all.
[00:11:50.758 --> 00:11:53.980]  And, uh, they took a local, the local detectives.
[00:11:54.320 --> 00:11:59.964]  They came and told me, uh, that he had passed due to an enlarged heart.
[00:12:00.424 --> 00:12:02.565]  And I got upset because they're not even doctors.
[00:12:02.685 --> 00:12:05.087]  How are they going to know?
[00:12:06.485 --> 00:12:07.845]  That was a large heart.
[00:12:08.005 --> 00:12:11.126]  Why didn't a doctor call me or something else?
[00:12:11.826 --> 00:12:12.766]  That's what I appreciate.
[00:12:13.266 --> 00:12:15.367]  Miss Ivory Hecker, she investigated.
[00:12:16.507 --> 00:12:18.748]  Texas Health Department never called me back.
[00:12:19.088 --> 00:12:21.088]  They transferred me to six different people.
[00:12:22.128 --> 00:12:25.169]  And to this day, I have not received a call from them.
[00:12:25.189 --> 00:12:26.369]  I emailed Governor Abbott.
[00:12:26.769 --> 00:12:29.970]  Also, still haven't got any emails from him either.
[00:12:31.010 --> 00:12:35.611]  And when Miss Hecker talked to one of the doctors, he said,
[00:12:36.738 --> 00:12:43.300]  He figured my son wasn't vaccinated there and she showed him his card.
[00:12:44.460 --> 00:12:48.922]  And he goes, oh, well, maybe because the side effect that she was obese or something.
[00:12:48.942 --> 00:12:49.982]  So she showed him a photo.
[00:12:50.242 --> 00:12:52.183]  Does he look like he's obese?
[00:12:52.763 --> 00:12:55.624]  And he said, no, he looks like a normal 16 year old boy.
[00:12:56.924 --> 00:13:00.926]  And I mean, and then he said, well, maybe his paperwork, you know, got misplaced.
[00:13:00.946 --> 00:13:01.666]  I said, what?
[00:13:02.673 --> 00:13:04.055]  It meant nothing to them.
[00:13:04.475 --> 00:13:06.177]  You know, it's not their loss, it's my loss.
[00:13:06.197 --> 00:13:12.542]  Did you know, sir, that they're actually told at the hospitals, I've had guests on about it, to cover up that the vaccine is doing this.
[00:13:12.963 --> 00:13:29.017]  Did you know that the federal government, when they were preparing to do the emergency authorization last October, said in a report that's now public that they believe Moderna and Pfizer, they've already seen it with similar shots in Europe and Israel, would cause heart attacks in teenage boys?
[00:13:30.282 --> 00:13:30.722]  No, sir.
[00:13:31.382 --> 00:13:34.584]  I didn't hear anything till after he passed in April.
[00:13:35.144 --> 00:13:39.066]  I didn't hear any type of reports till after his passing.
[00:13:40.006 --> 00:13:45.848]  I heard that it was 60% of the teenage boys, teenagers, were passing due to a large heart.
[00:13:46.368 --> 00:13:50.270]  Even if they would have said 10%, I wouldn't have risked not even, no percentage.
[00:13:50.310 --> 00:13:51.971]  But my son worries more than that.
[00:13:52.911 --> 00:13:55.452]  I mean, like I said, you know, nothing can bring him back.
[00:13:56.212 --> 00:13:57.653]  The government, I don't care what they
[00:13:58.103 --> 00:14:00.284]  There's no amount of money that could replace my son.
[00:14:01.605 --> 00:14:02.906]  He was the best kid there was.
[00:14:02.926 --> 00:14:06.068]  I mean, I've never had no problem.
[00:14:06.228 --> 00:14:07.209]  I love the hell out of him.
[00:14:08.130 --> 00:14:09.230]  We're a team, me and him.
[00:14:09.250 --> 00:14:11.212]  I always said, it's me and you against the world.
[00:14:13.533 --> 00:14:14.374]  He was my world.
[00:14:17.202 --> 00:14:18.243]  Oh, excuse me, I'm sorry.
[00:14:34.734 --> 00:14:35.936]  That's what Biden said last night.
[00:14:35.976 --> 00:14:52.038]  He said it this is an epidemic of the unvaccinated even though it's the vaccinated that are mutating and creating these new mutations like the vaccine mutant that's out there now that has hit so many people and that of course is the Delta variant.
[00:14:52.638 --> 00:14:54.100]  But they consciously knew this.
[00:14:54.120 --> 00:14:55.601]  I'm going to put that document back on screen.
[00:14:55.621 --> 00:14:58.184]  If you'd like us to bring these documents to you, we can.
[00:14:58.504 --> 00:15:05.231]  But this is on the FDA's own website, the CDC's own website, that they knew before this was emergency authorized that it would do it.
[00:15:05.291 --> 00:15:06.852]  And now there's new articles.
[00:15:06.913 --> 00:15:13.339]  Teenage boys are 14 times more likely to suffer heart complication from Pfizer jab, specifically heart swelling.
[00:15:13.359 --> 00:15:13.980]  So the police
[00:15:15.259 --> 00:15:15.579]  Of course.
[00:15:15.619 --> 00:15:16.760]  That's what I said.
[00:15:16.780 --> 00:15:18.201]  I mean, I've told different reporters.
[00:15:18.281 --> 00:15:19.582]  I said, to me, if I go out there,
[00:15:45.208 --> 00:15:46.349]  I just had to go out drinking.
[00:16:15.529 --> 00:16:15.769]  Yes sir!
[00:16:26.354 --> 00:16:28.514]  I said figure well that's what I'm going to do.
[00:16:28.694 --> 00:16:29.795]  I'm going to head to D.C.
[00:16:29.815 --> 00:16:30.875]  Well I'm going to D.C.
[00:16:30.915 --> 00:16:31.375]  next week.
[00:16:31.435 --> 00:16:36.716]  I hadn't told anybody that but they're trying to demonize the First Amendment so I'm going up there to support free speech.
[00:16:36.736 --> 00:16:38.736]  They're trying to ban protests in D.C.
[00:16:38.776 --> 00:16:39.536]  I'm just there to cover it.
[00:16:39.876 --> 00:16:43.537]  Maybe you should go up there with us because people need to hear from you, Ernest.
[00:16:43.977 --> 00:16:45.677]  And they need to hear about what happened to Junior, don't they?
[00:16:46.698 --> 00:16:47.138]  Yes, sir.
[00:16:47.158 --> 00:16:50.398]  Well my plans are, we're taking, I'm riding a bike up there.
[00:16:50.758 --> 00:16:55.059]  I have a friend of mine, Robert Tooney, Bikers for Christ.
[00:16:57.056 --> 00:17:07.821]  He's going along with me and we said we're leaving October 16th and hopefully to be up there on Monday the 18th.
[00:17:08.682 --> 00:17:11.263]  Also, we have Texans for Vaccine Choice.
[00:17:11.283 --> 00:17:17.487]  They're going to be up there supporting us and we have Miss Jennifer Bridges out of Houston.
[00:17:18.447 --> 00:17:20.028]  Hopefully she'll be able to show up.
[00:17:20.188 --> 00:17:23.390]  Miss Ivory Hecker said she's going to cover the story and she said
[00:17:23.786 --> 00:17:25.127]  More than likely, she'll be there in D.C.
[00:17:25.207 --> 00:17:25.467]  also.
[00:17:25.487 --> 00:17:29.570]  Well, that's beautiful what you're doing to save other lives, because I know that's what your son would want.
[00:17:30.351 --> 00:17:34.854]  Specifically, again, humanizing your son.
[00:17:34.874 --> 00:17:38.016]  I see those incredible photos there behind you.
[00:17:38.036 --> 00:17:39.837]  It reminds me of my son who's 18.
[00:17:40.618 --> 00:17:43.199]  But what's really sad about this is he lived with you.
[00:17:43.219 --> 00:17:45.481]  Like you said, you took care of him from the beginning.
[00:17:45.501 --> 00:17:49.043]  I think you were saying he was a single parent.
[00:17:49.444 --> 00:17:52.926]  And just that bond there, basically like your son, but also your brother.
[00:17:53.659 --> 00:17:58.602]  So close to you and I just can't imagine what your sorrows like to have him taken from you.
[00:17:59.803 --> 00:18:03.165]  Yes, I mean, it's heartbreaking coming home every day to an empty house.
[00:18:03.926 --> 00:18:09.209]  I mean, you know, I wait for him to run out the door to give me a hug.
[00:18:10.230 --> 00:18:12.371]  You know, I'm not getting that anymore.
[00:18:13.432 --> 00:18:16.133]  Yeah.
[00:18:16.674 --> 00:18:21.597]  How many days after he got the experimental injection did he have that heart swelling and collapse?
[00:18:22.925 --> 00:18:29.309]  I believe it was on the 19th, I believe, and it happened on the 24th.
[00:18:29.329 --> 00:18:30.990]  April.
[00:18:31.010 --> 00:18:31.090]  Yes.
[00:18:52.995 --> 00:18:56.760]  The way I look at it, I mean, everybody should have their own choice.
[00:18:57.020 --> 00:19:02.046]  I mean, my concern are the kids because, you know, we know this is affecting the kids more than anything.
[00:19:02.066 --> 00:19:06.131]  And, uh, I mean, everybody should have their own choice.
[00:19:06.232 --> 00:19:08.454]  If you decide to do whatever, that's up to you.
[00:19:08.474 --> 00:19:12.139]  I mean, give us, these are our God-given rights.
[00:19:15.419 --> 00:19:16.040]  Absolutely.
[00:19:16.680 --> 00:19:26.250]  There's an Israeli study that you're 13 to 27 times more immune than with these experimental shots, but they lied to everybody and said they were 96% effective.
[00:19:26.470 --> 00:19:27.191]  I think you've got
[00:19:28.562 --> 00:19:28.742]  No, no.
[00:19:28.802 --> 00:19:30.423]  I mean, this is not a sacrifice.
[00:19:58.513 --> 00:19:59.454]  The kids are our future.
[00:19:59.474 --> 00:20:00.635]  We're supposed to be protecting them.
[00:20:01.336 --> 00:20:15.369]  You know, I mean, I've seen an article in Houston where they're already taking a bus, a medical bus, to one of the schools and accompanied by a sheriff's department trying to enforce a vaccine on kids.
[00:20:15.449 --> 00:20:15.949]  Intimidate.
[00:20:16.030 --> 00:20:16.190]  Yep.
[00:20:16.830 --> 00:20:17.091]  Yes.
[00:20:17.731 --> 00:20:20.734]  And I said, you know, I mean, that's, that's not right.
[00:20:20.998 --> 00:20:21.758]  There's no way now.
[00:20:21.798 --> 00:20:22.879]  I mean, I'm sorry.
[00:20:23.079 --> 00:20:24.360]  I mean, there's no way.
[00:20:24.420 --> 00:20:24.760]  No, sir.
[00:20:24.820 --> 00:20:25.441]  It is wrong.
[00:20:25.701 --> 00:20:32.145]  And the first young person that dies after deputies are there intimidating people via color of law when there's no law to take it.
[00:20:32.385 --> 00:20:33.566]  That's when the war is going to start.
[00:20:33.826 --> 00:20:35.887]  And I think they're really trying to start a civil war.
[00:20:35.947 --> 00:20:41.610]  I saw Klaus Schwab of the Bilderberg and Deimos group say, I'll plan this to make them angry.
[00:20:41.991 --> 00:20:44.552]  So they want us to burn our own cities down so things collapse.
[00:20:45.153 --> 00:20:46.293]  And I don't think that's the answer.
[00:20:46.373 --> 00:20:50.616]  I think the answer is prosecuting the globalists that carried this out, sir.
[00:20:53.689 --> 00:20:54.010]  Yes, sir.
[00:20:54.070 --> 00:20:57.591]  I mean, like I said, I'm just, I'm just here to speak about my son.
[00:20:57.631 --> 00:20:58.651]  I just want to push it.
[00:21:00.972 --> 00:21:01.393]  I understand.
[00:21:01.433 --> 00:21:02.613]  And I've been asking a lot of questions.
[00:21:02.653 --> 00:21:03.673]  We really appreciate you.
[00:21:04.074 --> 00:21:09.076]  If anybody wants to get in contact with you or talk to you or have you speak to their group, how do they do that?
[00:21:09.156 --> 00:21:12.397]  Ernest Ramirez, talk about your son, Ernest Ramirez Jr.
[00:21:12.497 --> 00:21:13.817]  And then, and then we got 10 minutes left.
[00:21:13.857 --> 00:21:14.718]  I appreciate your time.
[00:21:15.078 --> 00:21:16.238]  Anything else you'd like to add?
[00:21:16.278 --> 00:21:17.179]  Please talk to us.
[00:21:17.999 --> 00:21:20.400]  I mean, like I said, I'm traveling out there.
[00:21:20.845 --> 00:21:25.066]  I've had a flag made with my son's picture, along with my American flag.
[00:21:25.086 --> 00:21:33.049]  Cause like I said, from the beginning, I mean, I love the hell out of my country, but I don't trust my government anymore at all.
[00:21:33.869 --> 00:21:37.750]  I mean, so if they see me on the road, it doesn't matter, honk, wave.
[00:21:38.231 --> 00:21:41.872]  They see me eating at a restaurant, they're more than welcome to come up, talk to me.
[00:21:42.772 --> 00:21:46.233]  You know, if they want to join in, they don't have to be on a motorcycle.
[00:21:46.253 --> 00:21:48.714]  They can join in on the pickup truck, cars, whatever.
[00:21:49.882 --> 00:21:54.564]  We just got to make noise because I know for sure I'm not the only one this has happened to.
[00:21:54.644 --> 00:21:59.125]  A lot of us, we deal with a problem and we try to go on with life.
[00:21:59.785 --> 00:22:00.826]  But he was my life.
[00:22:00.926 --> 00:22:01.686]  I have nothing left.
[00:22:02.206 --> 00:22:12.569]  So if I don't yell and scream on his behalf, well good am I. I was here to protect my son and if he's not here no more, I have to keep on.
[00:22:12.589 --> 00:22:18.011]  I have to raise this up and try to prevent another child from dying.
[00:22:19.344 --> 00:22:21.805]  Absolutely, that is exactly what you're doing here.
[00:22:21.825 --> 00:22:28.747]  Well, again, I understand you're talking about what happened to your son, and we appreciate your courage, and again, I understand the pressure.
[00:22:28.767 --> 00:22:30.188]  It's like, hey, it's safe, it's effective.
[00:22:30.528 --> 00:22:35.570]  With every other drug, if they tell you that, it's been approved, it's gone through five, ten years testing, but they lied about that.
[00:22:35.630 --> 00:22:38.751]  Now they say it's approved, they just did another emergency authorization.
[00:22:39.531 --> 00:22:42.072]  So they lie to the public, and it's just very...
[00:22:43.775 --> 00:22:45.477]  Infuriating more than frightening.
[00:22:45.837 --> 00:22:49.400]  It's infuriating that they know this doesn't protect children or young people.
[00:22:49.661 --> 00:22:56.607]  They know it particularly hurts teenage boys and they're doing it and it's just absolutely outrageous in my view.
[00:22:57.508 --> 00:22:57.868]  Yes, sir.
[00:22:57.888 --> 00:22:59.230]  And I don't like to work.
[00:22:59.410 --> 00:23:00.611]  I don't like what I heard them say.
[00:23:00.711 --> 00:23:01.532]  It's worth the risk.
[00:23:02.052 --> 00:23:04.415]  It's not it was not to me.
[00:23:05.275 --> 00:23:06.076]  It wasn't worth it.
[00:23:07.277 --> 00:23:08.959]  You know, because I don't have them.
[00:23:09.341 --> 00:23:10.602]  I mean, there's no way.
[00:23:10.782 --> 00:23:11.942]  I'm never getting to see him again.
[00:23:11.983 --> 00:23:13.824]  So you're going to see him in heaven, brother.
[00:23:14.024 --> 00:23:15.044]  There's a spiritual realm.
[00:23:15.064 --> 00:23:15.745]  We all know it.
[00:23:15.765 --> 00:23:18.526]  And you know, I, you're a good man and you're going to see your son again.
[00:23:19.587 --> 00:23:19.947]  Yes, sir.
[00:23:21.328 --> 00:23:21.688]  Thank you.
[00:23:21.988 --> 00:23:22.508]  No, thank you.
[00:23:22.688 --> 00:23:23.969]  We've got a few more minutes left.
[00:23:24.249 --> 00:23:25.610]  Uh, again, is there any way for people out there?
[00:23:25.630 --> 00:23:27.371]  Cause they're going to call us wanting to get in touch with you.
[00:23:27.791 --> 00:23:37.216]  Is there, is it okay for us to give people your email or, or, or you can give out my email or, I mean, if they want, they can send me a text, a text, a messenger, whatever.
[00:23:38.661 --> 00:23:39.682]  Answer everything, you know.
[00:23:39.902 --> 00:23:46.408]  I mean, if they want to talk, you know, or even if they want to, you know, send me prayers, I'm for it.
[00:23:52.870 --> 00:23:58.653]  Early on, wanting to protect others and believing their lies to go out and do this to help others.
[00:23:58.713 --> 00:24:00.254]  And that's very Christ-like, laying down.
[00:24:00.274 --> 00:24:02.476]  I mean, your son laid down his life for others.
[00:24:02.536 --> 00:24:03.576]  He believed he was doing that.
[00:24:03.997 --> 00:24:07.859]  Just like a soldier, you know, that goes to a war that may not be perfect, but he believes he's helping people.
[00:24:08.599 --> 00:24:15.183]  And so now out of this, I believe we're going to save, I believe your testimony is going to save thousands of people and turn the tide.
[00:24:15.744 --> 00:24:19.686]  And so I think, you know, that's, you know, I think the devil's really stepped in it.
[00:24:21.641 --> 00:24:22.001]  Yes, sir.
[00:24:22.382 --> 00:24:22.742]  Yes, sir.
[00:24:22.762 --> 00:24:23.142]  Of course.
[00:24:23.402 --> 00:24:27.945]  I mean, the way I say it, I feel we're in the end times already.
[00:24:28.105 --> 00:24:30.107]  This is where revelations is coming up.
[00:24:31.127 --> 00:24:36.411]  So, I mean, if I got a week, month, a year left, I'm going to continue to fight, you know?
[00:24:37.111 --> 00:24:38.552]  Oh, I agree with you.
[00:24:38.612 --> 00:24:39.072]  Exactly.
[00:24:39.113 --> 00:24:44.776]  Things are going to get so rough as we're going down this path that your son might be blessed he's not here at this point.
[00:24:45.557 --> 00:24:45.957]  Yes, sir.
