[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[00:05:44.056 --> 00:05:45.918]  It's discounted as well with free shipping.
[00:05:45.918 --> 00:05:50.321]  And so many other items are up to 60% off with store-bought free shipping right now at
[00:05:50.481 --> 00:05:52.344]  Infowarstore.com.
[00:05:52.344 --> 00:05:53.846]  It's a 360 win.
[00:05:53.846 --> 00:05:57.371]  We're fighting the globals as hard as we can and selling great products to fund it.
[00:05:57.371 --> 00:05:59.174]  Please support us and make your life better.
[00:06:11.565 --> 00:06:15.668]  Resistance to tyrants is obedience to God.
[00:06:15.668 --> 00:06:19.111]  It's Alex Jones.
[00:06:19.111 --> 00:06:29.380]  Ladies and gentlemen, it is Friday, November 12th, 2021.
[00:06:29.380 --> 00:06:36.105]  And no one knows who originally said it until today.
[00:06:36.105 --> 00:06:37.887]  And I didn't know.
[00:06:37.887 --> 00:06:39.168]  Somebody actually found a clip of it.
[00:06:40.316 --> 00:06:44.037]  And then the internet made a edited down version out of it.
[00:06:44.037 --> 00:06:56.722]  But I didn't know it was yours truly back in April of last year 2020 that said, wait until 15 days to flatten the curve turns into the first two years.
[00:06:56.722 --> 00:07:04.125]  And so then out of that was paraphrased, I think the maxim of this whole fraud that we see everywhere that I've decided to put a t-shirt out with.
[00:07:05.555 --> 00:07:11.737]  The supply chain breakdowns are so bad, it's even hard to get T-shirts made in America or printed in America.
[00:07:11.737 --> 00:07:20.479]  But we're going to come out with one that says, the worst part of the 15 days to flatten the curve is the first two years.
[00:07:20.479 --> 00:07:24.701]  Of course, there's another meme out there that's, I think, just as important you see everywhere.
[00:07:24.701 --> 00:07:32.463]  It's an image of a man or a woman screaming, going, my vaccine doesn't work if you don't take yours.
[00:07:34.517 --> 00:07:49.420]  And now Gene Simmons has joined all these other globalists in saying, like Geraldo Rivera and Noam Chomsky, that you shouldn't be allowed to leave your house if you haven't had the shot and that you're evil.
[00:07:49.420 --> 00:07:54.941]  This is a guy that made his money promoting Satanism and his nickname is the Demon.
[00:07:54.941 --> 00:08:02.103]  Just a little nerd in a clown outfit who wants to forcibly inject your family, wants to rape you with a poison death shot.
[00:08:05.421 --> 00:08:07.803]  But I mean that's what evil wants, it always wants to dominate and control.
[00:08:07.803 --> 00:08:24.156]  Hey Gene, I know you're probably paid like so many other scumbags to push the garbage, lies, and big pharma, this big takeover, but you know the CDC via a Freedom of Information Act request just put this out last night?
[00:08:24.156 --> 00:08:27.539]  It's a pretty big deal.
[00:08:27.539 --> 00:08:32.163]  And they say that no one who has natural immunity
[00:08:34.790 --> 00:08:45.716]  Who got it naturally, has ever spread COVID or transmitted it, but those that take the vaccine are actually more likely now to spread it.
[00:08:45.716 --> 00:08:54.741]  And I think that's why they're obviously paying people like Gene Simmons to run around and say, you know, you're all evil, you're demons, you're of the devil.
[00:08:54.741 --> 00:09:01.745]  If you don't go along with me, in fact, if we go to InfoWars.com, I did a very saucy rebuke of him last night, tailored to wake up rockers.
[00:09:03.325 --> 00:09:05.546]  I took the gloves off of Mr. Bad Boy.
[00:09:05.546 --> 00:09:06.486]  Mr. Clown Outfit.
[00:09:06.486 --> 00:09:07.166]  So scary.
[00:09:07.166 --> 00:09:09.147]  That big demon face was scary.
[00:09:09.147 --> 00:09:12.228]  I just cry in my bed at night from it.
[00:09:12.228 --> 00:09:16.150]  And you can see the headline on Infowars.com or Band.Video.
[00:09:16.150 --> 00:09:18.351]  It's got the image of him.
[00:09:18.351 --> 00:09:23.713]  And the quote, the demon says you're evil if you don't take the shot.
[00:09:23.713 --> 00:09:27.654]  So absolutely creepy.
[00:09:27.654 --> 00:09:31.536]  So that's just one of the little giblets we have for you today.
[00:09:32.833 --> 00:09:45.861]  Fully vaccinated Jen Psaki is still bedridden with COVID-19 weeks after infection and Joe Rogan recovered in a couple of days by eating flea and tick medicine he got from Alex Jones.
[00:09:45.861 --> 00:09:46.942]  Ivermectin.
[00:09:46.942 --> 00:09:47.983]  Is that what's going on?
[00:09:47.983 --> 00:09:51.365]  That's one of the things going around on the internet.
[00:09:51.365 --> 00:09:52.906]  I got a bunch of these other ones.
[00:09:52.906 --> 00:10:02.072]  When your car stops halfway from home because the chip inside detected that you have used your monthly allowance of gasoline, remember that it started with a mask and a shot and you complied.
[00:10:03.234 --> 00:10:07.276]  And that goes into the great reset and the big announcement Schwab is set to make in two hours.
[00:10:07.276 --> 00:10:11.817]  We're going to try to carry it live on the World Economic Forum.
[00:10:11.817 --> 00:10:14.698]  Announcing the great narrative, and we know what that great narrative is.
[00:10:14.698 --> 00:10:19.420]  We're going to lay it out coming up next hour before he gives the speech.
[00:10:19.420 --> 00:10:22.921]  You'll definitely get tomorrow's news today.
[00:10:22.921 --> 00:10:23.962]  That's why you're tuning in, right?
[00:10:23.962 --> 00:10:27.603]  And then, of course, we got the really serious issues.
[00:10:27.603 --> 00:10:32.305]  Xi Jinping was already declared dictator two years ago.
[00:10:33.905 --> 00:10:37.286]  Now he's been declared emperor for life.
[00:10:37.286 --> 00:10:38.326]  God emperor.
[00:10:38.326 --> 00:10:39.647]  But that's how communism works.
[00:10:39.647 --> 00:10:53.751]  You get hereditary dynasties like North Korea, you get things like the communist dynasty in China, where the average general's worth like four billion dollars, but the general public is basically homeless but works full-time jobs.
[00:10:56.280 --> 00:11:01.965]  China's elite Han Xie, a key victory paving his way for his indefinite rule.
[00:11:01.965 --> 00:11:06.609]  He's now co-equal to Mao Zedong.
[00:11:06.609 --> 00:11:08.430]  And the left is cheering him here in America.
[00:11:08.430 --> 00:11:09.211]  We've got that for you.
[00:11:09.211 --> 00:11:13.995]  And of course, the big news that I'm going to get to right now.
[00:11:13.995 --> 00:11:21.101]  No, it's not that Joe Biden came out and referred to a black person as the greatest Negro ever.
[00:11:22.295 --> 00:11:25.357]  Because he's living like in the 1950s, his brain's so rotted.
[00:11:25.357 --> 00:11:30.801]  It's not that the media's spinning and saying he didn't say that when he did say it on video.
[00:11:30.801 --> 00:11:32.702]  And that's, to me, the bigger story.
[00:11:32.702 --> 00:11:35.724]  They're gaslighting you, saying you didn't see that.
[00:11:35.724 --> 00:11:44.830]  It's been all the gaslighting of gaslighting, the mega mother of all gaslighting, to tell you for the last, really, eight, nine months is when it started.
[00:11:46.001 --> 00:11:49.606]  That there is no inflation and that inflation isn't a problem.
[00:11:49.606 --> 00:11:58.239]  And when economists would tweet about it, respected ones, they would get banned for a week or some taken off of Twitter or Facebook or Instagram.
[00:11:59.936 --> 00:12:04.458]  Even CNBC videos were getting deleted because, oh, that's another thing you can't say.
[00:12:04.458 --> 00:12:20.645]  Can't question Fauci, can't question lockdowns, can't question election fraud, can't challenge critical race theory, can't challenge drag queen pedophile story time, and, oh, you can't talk about inflation or open borders or child smuggling or anything they don't want you to.
[00:12:20.645 --> 00:12:24.507]  But now it didn't work very well because, you know, they can try to hide
[00:12:25.560 --> 00:12:35.506]  The hundreds of thousands of dead people from the shots and the millions that have had serious blood clots and legs amputated and you name it and brain aneurysms and myocarditis.
[00:12:35.506 --> 00:12:43.810]  They can try to hide that, but they can't hide the fact that in Texas gasoline is twice what it was a year ago.
[00:12:43.810 --> 00:12:46.472]  And in California it's three times.
[00:12:46.472 --> 00:12:47.673]  And you can't hide that
[00:12:48.800 --> 00:12:53.542]  I used to just buy the medium grade filet mignon because I don't want to spend $30 for a filet mignon.
[00:12:53.542 --> 00:12:53.962]  I'll spend $10.
[00:12:53.962 --> 00:12:55.503]  It tastes basically as good.
[00:12:55.503 --> 00:12:59.345]  I mean, I guess I got the money if I wanted to at about $30 filet mignon at the grocery store.
[00:12:59.345 --> 00:13:02.226]  But now I go to the grocery store and the little bitty cheap ones are $30.
[00:13:02.226 --> 00:13:05.507]  The ones I used to get for $10.
[00:13:05.507 --> 00:13:05.968]  That's in a year.
[00:13:09.508 --> 00:13:11.991]  Oh, but of course the farmers and ranchers aren't getting any of that money.
[00:13:11.991 --> 00:13:17.218]  No, it's all inflation and manipulation and three meatpacking companies that run everything now.
[00:13:17.218 --> 00:13:22.824]  It's all consolidation of the market and the big mega monopoly screwing everybody.
[00:13:22.824 --> 00:13:24.547]  This is a vertical integration.
[00:13:24.547 --> 00:13:25.768]  It's the Great Reset.
[00:13:25.768 --> 00:13:26.970]  That's how I told you 21 months ago.
[00:13:28.559 --> 00:13:35.826]  In February of 2020, that by the next Christmas, you'd be paying double for many goods.
[00:13:35.826 --> 00:13:38.588]  And you are, aren't you?
[00:13:38.588 --> 00:13:41.911]  Because, oh, I'd love to say I have this huge IQ.
[00:13:41.911 --> 00:13:43.032]  I really don't.
[00:13:43.032 --> 00:13:48.317]  When I had my enemy's playbook and they said they would do this to quote, teach you not to be well off.
[00:13:49.636 --> 00:13:53.242]  And they have press secretaries saying, oh, we could lower gas prices, but we're not.
[00:13:53.242 --> 00:13:56.407]  I mean, that was Saki three weeks ago.
[00:13:56.407 --> 00:13:59.412]  So first it doesn't exist, and you're crazy if you say it's happening.
[00:13:59.412 --> 00:14:03.438]  Then, oh, we could lower the prices, which they could, but we're not going to.
[00:14:05.017 --> 00:14:11.682]  And then now it's, oh my gosh, there is inflation, we're so concerned about it, we're going to fix it, as if Psaki and Biden run any of it.
[00:14:11.682 --> 00:14:18.967]  So I've got that clip when we come back of even Jake Tapper throwing him under the bus, because this was always the setup, so he'll get the blame.
[00:14:18.967 --> 00:14:22.089]  And I'm all for Biden getting the blame and going to jail, he's an old evil pedophile.
[00:14:22.549 --> 00:14:27.070]  But he's like a lower level front man or the enemy's attacking us.
[00:14:27.070 --> 00:14:32.971]  They're like a knight on a horse with a big javelin stabbing us and they've got a shield and the shield is Joe Biden.
[00:14:32.971 --> 00:14:45.274]  He takes all the heat, he gets bent up and battered and when the night's done he just throws that down and the squire or the armorer hands them another shield.
[00:14:45.274 --> 00:14:47.775]  That's what the last four or five presidents have been other than Trump.
[00:14:47.775 --> 00:14:49.455]  Trump was his own man, had his own issues but
[00:14:51.517 --> 00:14:55.079]  But going back to Presidents before him, I mean, Obama, all these guys are front men.
[00:14:55.079 --> 00:15:01.383]  I mean, Obama was involved in some of the decisions because he was smart, but he wasn't a person in charge.
[00:15:01.383 --> 00:15:05.005]  He was a high level general, but not a field marshal.
[00:15:05.005 --> 00:15:09.327]  And with Biden, he's not even a general anymore.
[00:15:09.327 --> 00:15:13.009]  He was a general when he worked for Obama.
[00:15:13.009 --> 00:15:14.530]  He was a general, but he's not now.
[00:15:14.530 --> 00:15:15.191]  He's a nobody.
[00:15:16.189 --> 00:15:20.031]  And he just goes up there and takes the blame for everything and makes America look bad.
[00:15:20.031 --> 00:15:25.233]  And then we all blame him instead of the UN and the globalists and the Great Reset.
[00:15:25.233 --> 00:15:26.114]  They're the enemy.
[00:15:26.114 --> 00:15:26.754]  They're everything.
[00:15:26.754 --> 00:15:28.115]  And finally we're starting to hear...
[00:15:29.164 --> 00:15:32.985]  Republican senators talk about the Great Reset and this is a plan and this is a war.
[00:15:32.985 --> 00:15:42.149]  And thank God Tucker Carlson the last two nights talked about the big banks and how they're imploding the country in the Great Reset and how they're using racial division to distract and divert us.
[00:15:42.149 --> 00:15:43.970]  So that's coming up too, next segment.
[00:15:43.970 --> 00:15:46.951]  I mean, we figure that out or we lose, okay?
[00:15:46.951 --> 00:15:48.451]  This is a new type of war.
[00:15:48.451 --> 00:15:52.873]  It's economic, world government, collapsed borders, and it's on right now.
[00:15:52.873 --> 00:15:55.294]  And more lockdowns are coming that'll cause more mass starvation.
[00:15:58.473 --> 00:16:05.649]  If a hurricane is smashing, I'm cutting this brief announcement on the afternoon of November 9th, 2021.
[00:16:08.735 --> 00:16:18.981]  And I just want all the listeners and viewers to know that have kept this show on the air that I am very, very thankful to you because my main drive is opposing these globalists and is standing against them.
[00:16:18.981 --> 00:16:20.983]  I know that that's your main drive as well.
[00:16:20.983 --> 00:16:30.549]  So I thank you for your moral support, your prayers, your word of mouth, fighting for all of us and all of our children's futures, and also your financial support at infowarestore.com.
[00:16:31.658 --> 00:16:34.980]  And it isn't just funding the InfoWar that you engage in when you buy the products.
[00:16:34.980 --> 00:16:39.784]  You get amazing products that are so good for you and yourself and your family.
[00:16:39.784 --> 00:16:49.511]  And right now, until November 14th, we have Black Friday Comes Early, up to 60% off on our best-selling items, StoreWide for shipping, and Double Patriot Points.
[00:16:49.511 --> 00:16:50.952]  So again, thank you all for your support.
[00:16:50.952 --> 00:16:56.116]  You get amazing products like Ultimate Bone Broth and Brain Force Plus and so many others.
[00:16:56.116 --> 00:17:00.079]  Right now, massively discounted at InfoWarStore.com.
[00:17:00.259 --> 00:17:06.465]  After being unavailable for more than two years, Ultimate Bone Broth is back at InfoWarsLive!
[00:17:06.465 --> 00:17:12.611]  Ultimate Bone Broth is now Ultimate Bone Broth Plus because we've made it even stronger and reformulated it.
[00:17:12.611 --> 00:17:19.017]  And listen, it's not just concentrated chicken broth in there that's so good for your joints and your bones and your whole body.
[00:17:19.017 --> 00:17:19.478]  It's got
[00:17:19.958 --> 00:17:35.221]  Really strong, high-end, turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other stuff in it, like real organic cocoa, bean powder with natural chocolate flavor, and a touch of sea salt, and just on and on and on.
[00:17:35.221 --> 00:17:37.701]  Magnesium, potassium's added.
[00:17:37.701 --> 00:17:42.222]  This is so good for inflammation, for your immune system, for your whole body.
[00:17:42.222 --> 00:17:45.102]  Grandma always gave you chicken soup when you were sick, remember?
[00:17:45.102 --> 00:17:48.023]  That's a tiny amount of the same stuff that's in there.
[00:17:48.723 --> 00:17:51.505]  That is now in here in a very large amount.
[00:17:51.505 --> 00:18:00.531]  So again, get the power of grandma's chicken soup with the power of turmeric and everything else with the new and improved bone broth at infowarestore.com.
[00:18:00.531 --> 00:18:15.222]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for quote dark forces that the FBI and CIA have been advising him on who these evil groups are.
[00:18:16.280 --> 00:18:21.130]  They know that all over the world, their poison shot is being banned by major governments.
[00:18:21.130 --> 00:18:23.415]  And Moderna's in trouble as well.
[00:18:23.415 --> 00:18:27.383]  They know that the people are starting to get wise to this depopulation agenda.
[00:18:28.297 --> 00:18:40.050]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[00:18:40.050 --> 00:18:43.274]  The weapons work a little too good.
[00:18:43.274 --> 00:18:48.059]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[00:18:48.780 --> 00:18:50.921]  But it's too late for them to turn back now.
[00:18:50.921 --> 00:18:52.682]  They're coming after our children.
[00:18:52.682 --> 00:18:57.784]  So it's up to us to protect our little children, or God will not look favorably on us.
[00:18:57.784 --> 00:18:59.985]  Remember, God is watching.
[00:18:59.985 --> 00:19:03.266]  This is a great sponsor.
[00:19:03.985 --> 00:19:09.409]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[00:19:09.409 --> 00:19:14.052]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[00:19:14.052 --> 00:19:18.435]  You can also buy cheap antennas and things for in your car or in your house that also are on the site.
[00:19:18.435 --> 00:19:20.336]  Infowarsphone.com.
[00:19:20.336 --> 00:19:21.837]  That's just a site that takes you to these folks.
[00:19:21.837 --> 00:19:24.719]  They supply the border patrol, everybody, with their systems as well.
[00:19:24.719 --> 00:19:28.381]  They're amazing folks, and you get a free phone at $650 value, absolutely free, at Infowarsphone.com.
[00:19:32.884 --> 00:19:35.066]  Smartphones are always tracking everything you do.
[00:19:35.066 --> 00:19:35.526]  These aren't.
[00:19:35.526 --> 00:19:37.507]  And the calls are free when folks call you.
[00:19:37.507 --> 00:19:41.870]  You just pay $99.95 a month for your minutes.
[00:19:41.870 --> 00:19:42.290]  150 minutes.
[00:19:42.290 --> 00:19:43.491]  So the calls you were free.
[00:19:43.491 --> 00:19:44.612]  It works like a regular cell phone.
[00:19:44.612 --> 00:19:45.933]  You're not being tracked or traced.
[00:19:45.933 --> 00:19:47.233]  And I keep one in my car.
[00:19:47.233 --> 00:19:48.935]  I've given them to my parents as gifts.
[00:19:48.935 --> 00:19:51.456]  Way out in the middle of nowhere where regular phones don't work, they work.
[00:19:51.456 --> 00:19:52.397]  Infowarsphone.com or 941-955-1020.
[00:19:52.397 --> 00:19:53.557]  941-955-1020 and ask the Alex Jones Special.
[00:20:02.000 --> 00:20:04.628]  You're listening to The Alex Jones Show!
[00:20:26.039 --> 00:20:31.003]  If you are receiving this transmission, you are the resistance.
[00:20:31.003 --> 00:20:37.169]  Live from the InfoWars.com studios, it's Alex Jones.
[00:20:37.169 --> 00:20:49.079]  Alright, no joke, CNN has a list of things Joe Biden can do to fix the inflation that the private Federal Reserve has created by the overprinting of money.
[00:20:49.079 --> 00:20:52.402]  And telling people to stay home and not work so there's a labor shortage.
[00:20:55.606 --> 00:21:00.990]  Unclog the supply chain when they've set this up for the supply chain collapse.
[00:21:00.990 --> 00:21:03.872]  Address the worker shortage via immigration.
[00:21:03.872 --> 00:21:06.875]  Yeah, bring in more unskilled workers from around the world.
[00:21:06.875 --> 00:21:08.336]  That'll fix it.
[00:21:08.336 --> 00:21:10.998]  Address the spike in energy prices.
[00:21:10.998 --> 00:21:15.761]  But they never say open up the Keystone Pipeline, reopen the Anwar Reserve.
[00:21:15.761 --> 00:21:20.205]  They never say stop having the order to block
[00:21:21.423 --> 00:21:22.503]  Any new oil drilling?
[00:21:22.503 --> 00:21:23.744]  No, no, there's none of that in here.
[00:21:23.744 --> 00:21:25.985]  Address the spike in energy prices.
[00:21:25.985 --> 00:21:27.805]  Oh, okay.
[00:21:27.805 --> 00:21:31.866]  Talks about green energy, more of the same, more things that did this.
[00:21:31.866 --> 00:21:33.387]  Engage the private sector.
[00:21:33.387 --> 00:21:35.408]  I'm going to have them take over.
[00:21:35.408 --> 00:21:36.428]  Pass his agenda.
[00:21:36.428 --> 00:21:37.468]  Yes, more spending.
[00:21:37.468 --> 00:21:38.369]  Yes.
[00:21:38.369 --> 00:21:42.850]  The five trillion extra he wants right now, that'll really stop inflation.
[00:21:42.850 --> 00:21:45.371]  Ease tariffs, even though we already have the lowest tariffs in the world.
[00:21:47.878 --> 00:21:53.081]  Push domestic production when everything he does policy-wise is the opposite.
[00:21:53.081 --> 00:21:56.284]  Appoint a tougher Fed chief.
[00:21:56.284 --> 00:21:57.324]  End the pandemic.
[00:21:57.324 --> 00:21:59.986]  Oh, we all just take our shots.
[00:21:59.986 --> 00:22:04.069]  Then the pandemic wouldn't cause this in the economy when they're the ones running the whole shutdown.
[00:22:04.069 --> 00:22:05.550]  It's just like the UN saying, oh,
[00:22:07.967 --> 00:22:11.429]  You know, we just need billions of dollars to feed all the starving people.
[00:22:11.429 --> 00:22:13.151]  We don't know why they're all starving all of a sudden.
[00:22:13.151 --> 00:22:14.352]  They go, oh, COVID did it.
[00:22:14.352 --> 00:22:16.473]  No, the lockdowns you did for COVID did it.
[00:22:16.473 --> 00:22:19.315]  And killed 20 times what COVID did.
[00:22:19.315 --> 00:22:20.056]  That's a real number, Bob.
[00:22:20.056 --> 00:22:21.437]  That's over 20 times.
[00:22:21.437 --> 00:22:22.998]  Globally.
[00:22:22.998 --> 00:22:28.281]  But it feels so good to wear the mask and get into everything and you're a hero and a survivor.
[00:22:28.281 --> 00:22:32.424]  So here's Jake Tapper throwing their puppet onto the bus.
[00:22:32.424 --> 00:22:36.447]  Joe Biden after all the denials that inflation, that doesn't exist.
[00:22:36.447 --> 00:22:37.368]  It's a conspiracy theory.
[00:22:38.629 --> 00:22:51.438]  We're going to start today with our money lead and a change of tone from the White House as it acknowledges that the rising prices most of us are experiencing that they have downplayed will likely last much longer than originally expected.
[00:22:51.438 --> 00:23:02.845]  For weeks, President Biden has promised Americans that this inflation is only temporary, but now he's admitting these higher prices are slowing down the economic recovery from our emergent side of the coronavirus pandemic.
[00:23:02.845 --> 00:23:07.308]  And top Biden officials are conceding it could be middle to end of next year, 2022.
[00:23:09.069 --> 00:23:10.930]  All right, that's enough folks.
[00:23:10.930 --> 00:23:12.190]  It's never going away.
[00:23:12.190 --> 00:23:17.452]  They're destroying the currency by design to bring in the new global reset currency.
[00:23:17.452 --> 00:23:22.314]  We've got that coming up with Klaus Schwab and analysis in the second and third hour and we'll open the phones up.
[00:23:22.314 --> 00:23:36.419]  But first, Tucker Carlson's the only person on national TV explaining that it's globalist class warfare using all this leftist divide and conquer to distract us from the fact that we're all under attack by the globalists in their own words.
[00:23:36.419 --> 00:23:37.700]  Here's part of that report last night.
[00:23:39.141 --> 00:23:52.075]  So as we've told you many times before, as soon as the economy crashed to the benefit of the big banks, the New York Times, Washington Post, etc., etc., started throwing the word racist around with increasing volume.
[00:23:52.075 --> 00:24:01.145]  It was almost like they were working on behalf of the oligarchs to divide the rest of us against each other so we wouldn't notice that a small group was getting super, super rich.
[00:24:02.113 --> 00:24:05.114]  Almost nobody in journalism ever mentions this.
[00:24:05.114 --> 00:24:08.315]  Batya Angar Sargon is one of the few who does.
[00:24:08.315 --> 00:24:09.455]  She just went on CNN over the weekend.
[00:24:09.455 --> 00:24:13.416]  I feel a little guilty playing a clip from a rival network, but this is just too good to miss.
[00:24:13.416 --> 00:24:15.817]  Here's how it went.
[00:24:15.817 --> 00:24:21.078]  The media's response to Junkin's victory is literally the reason that he won, right?
[00:24:21.078 --> 00:24:21.959]  How did they respond?
[00:24:21.959 --> 00:24:24.179]  There's a hundred media, a hundred reactions.
[00:24:24.179 --> 00:24:26.840]  You're being pretty overly generalizing, I think.
[00:24:26.840 --> 00:24:28.420]  Let me get more specific for you, okay?
[00:24:28.420 --> 00:24:30.921]  Because I have to say, I have to admit, having watched
[00:24:31.641 --> 00:24:35.983]  There's been a lot of very, very, very good genuflection on this front.
