[00:00:12.645 --> 00:00:15.666]  Jesse Peters is right.
[00:01:36.534 --> 00:01:38.136]  Lord Biden.
[00:01:38.136 --> 00:01:39.877]  Get us that!
[00:01:39.877 --> 00:01:41.299]  That's what we want.
[00:01:41.299 --> 00:01:48.186]  That changes the whole conversation of the country.
[00:01:48.186 --> 00:01:50.509]  I've authorized it.
[00:01:50.509 --> 00:01:53.532]  Just make sure it's legal.
[00:01:53.532 --> 00:01:54.693]  You know, I really love
[00:01:57.096 --> 00:01:59.438]  Watching everybody imitate what we do, because that's actually my goal.
[00:01:59.438 --> 00:02:00.839]  People say, what do you like to call people?
[00:02:00.839 --> 00:02:01.460]  Lord Fauci?
[00:02:01.460 --> 00:02:02.380]  Now they're doing it.
[00:02:02.380 --> 00:02:03.561]  They're saying, go after the globalists.
[00:02:03.561 --> 00:02:04.962]  They're saying, get in their face.
[00:02:04.962 --> 00:02:05.843]  We're all the same team.
[00:02:05.843 --> 00:02:06.464]  These are tactics.
[00:02:06.464 --> 00:02:07.144]  These are great tactics.
[00:02:07.144 --> 00:02:09.026]  Send it to him.
[00:02:09.026 --> 00:02:12.569]  We've gotten plenty of credit for trying to kill me and put me in prison right now.
[00:02:12.569 --> 00:02:15.311]  All I want to do is win against these people.
[00:02:15.311 --> 00:02:18.333]  But here is the video before we even started the contest that had me happy.
[00:02:18.333 --> 00:02:20.795]  I did the contest five years ago.
[00:02:20.795 --> 00:02:23.858]  What I was saying, you ought to go confront them and say, Bill Clinton's a rapist.
[00:02:23.858 --> 00:02:24.538]  Infowars.com.
[00:02:26.445 --> 00:02:29.028]  This is the Tucker Carlson clip that caused the chain reaction.
[00:02:51.949 --> 00:02:58.294]  So, that's what we need to do, is peacefully, non-violently, but very aggressively and civil disobedience.
[00:02:58.294 --> 00:03:01.476]  We'll talk with Dr. Zelenko, good friend of mine, great patriot for humanity.
[00:03:01.476 --> 00:03:05.960]  In just a few minutes we've got a break, but we can joke and laugh about this all day.
[00:03:07.921 --> 00:03:11.783]  This is really, really, really, really serious.
[00:03:11.783 --> 00:03:19.388]  And we now have more FDA documents that have come out confirming what Dr. Yedon said a year and a half ago and what Dr. Zelenko said and so much more.
[00:03:19.388 --> 00:03:26.373]  And Dr. Yedon has also come out, former chief scientist at Pfizer, and said this is definitely a depopulation weapon.
[00:03:26.373 --> 00:03:28.814]  Six months ago he said it looks like it may be depopulation.
[00:03:28.814 --> 00:03:32.837]  He said now there is no doubt this is depopulation.
[00:03:33.820 --> 00:03:37.762]  That's like Michael Jordan saying, there's no doubt he made the three-pointer.
[00:03:37.762 --> 00:03:39.663]  Michael Jordan knows basketball.
[00:03:39.663 --> 00:03:44.225]  Dr. Michael Udon knows vaccines.
[00:03:44.225 --> 00:03:45.186]  And this is not a vaccine.
[00:03:45.186 --> 00:03:49.268]  And you've got so many other scientists.
[00:03:49.268 --> 00:03:53.310]  You've got the inventor of mRNA technology coming out in emergency warnings.
[00:03:53.310 --> 00:03:53.710]  You notice
[00:03:54.997 --> 00:03:59.200]  The inventor of it was a little more tame about it the first year.
[00:03:59.200 --> 00:04:02.562]  Now he's like, no, it's the population, it's evil, we gotta stop them.
[00:04:02.562 --> 00:04:06.424]  Just what Dr. Zelenko and I talked about the time before last he came on.
[00:04:08.277 --> 00:04:16.882]  And that was, we are going to have to just come out and say everything that's going down, everything that's happening.
[00:04:16.882 --> 00:04:18.383]  We got to just admit they're killing us.
[00:04:18.383 --> 00:04:20.464]  Because we argue, oh, this doesn't work.
[00:04:20.464 --> 00:04:21.565]  Oh, the vaccine's not perfect.
[00:04:21.565 --> 00:04:22.945]  You know, why are you wrong?
[00:04:22.945 --> 00:04:25.707]  If we do that, they keep winning.
[00:04:25.707 --> 00:04:28.028]  But that's not what's going on here.
[00:04:28.028 --> 00:04:29.509]  That's not what's happening.
[00:04:29.509 --> 00:04:34.112]  This is premeditated plan from the beginning.
[00:04:35.040 --> 00:04:38.962]  All right, we're getting Dr. Zelenko hooked up right now, getting his camera working here.
[00:04:38.962 --> 00:04:42.184]  We're going to go to break and come back in 60 seconds with him straight ahead.
[00:04:42.184 --> 00:04:46.246]  InfoWars.com, tomorrow's news today.
[00:04:46.246 --> 00:04:48.107]  And please don't forget FreeWorldNews.tv.
[00:04:48.107 --> 00:05:00.734]  It's the same address as Vandot Video, it's just on a blocked link.
[00:05:00.734 --> 00:05:03.175]  History is happening now.
[00:05:04.460 --> 00:05:22.133]  As we close out the year 2021 and accelerate into the critical year of 2022, it is so important to really meditate on the fact and let it sink in that we are in the middle of a globalist world government takeover whose end game is forced depopulation.
[00:05:22.133 --> 00:05:29.358]  The death, the disease, the horror being caused by these GMO gene therapy shots is just the beginning.
[00:05:30.580 --> 00:05:35.363]  They are now accelerating a program that will collapse civilization.
[00:05:35.363 --> 00:05:37.944]  There's not much time left to turn this around.
[00:05:37.944 --> 00:05:47.030]  The globals are now getting a big cyber attack ready that they're going to launch, and again, blame on terrorists and use as a pretext to further collapse civilization.
[00:05:47.030 --> 00:05:51.413]  Only being aware of this and only rallying against it now can back them off.
[00:05:51.413 --> 00:05:58.817]  Please, ladies and gentlemen, continue to spread the word about InfoWars.com and NewsWars.com and the live show, because you are the modern Paul Reveres.
[00:05:58.817 --> 00:06:00.098]  Without you, we're going to lose.
[00:06:02.776 --> 00:06:11.003]  From the front lines of the information war, it's Alex Jones.
[00:06:11.003 --> 00:06:25.295]  So if it's going to be used, it's better to focus on those groups who have risk of severe disease and death, rather than, as we see, some countries are using to give boosters to kill children, which is not right.
[00:06:26.661 --> 00:06:43.837]  So, when your government scientists tell you that a variant that's 0.3% different from SARS could masquerade as a new virus and be a threat to your health, you should know, and I'm telling you, they are lying.
[00:06:43.837 --> 00:06:50.483]  If they're lying, and they are, why is the pharmaceutical industry making top-up vaccines?
[00:06:51.260 --> 00:06:52.641]  They are making them.
[00:06:52.641 --> 00:07:01.307]  You should be terrified at this point, as I am, because there's absolutely no possible justification for their manufacture.
[00:07:01.307 --> 00:07:12.975]  But they're being made, and the world's medicines regulators have said, because they're quite similar to the original vaccines, the ones that are being given now, we won't be asking them to do any clinical safety studies.
[00:07:12.975 --> 00:07:17.558]  So let me just say again, the variants are not different enough to represent a threat to use.
[00:07:17.558 --> 00:07:20.960]  You do not need to top up vaccines, yet they are being made.
[00:07:21.660 --> 00:07:25.384]  And the regulators have more or less waved them through.
[00:07:25.384 --> 00:07:26.905]  I'm very frightened of that.
[00:07:26.905 --> 00:07:31.509]  There's no possible benign interpretation of this.
[00:07:31.509 --> 00:07:35.433]  I believe that they're going to be used to damage your health and possibly kill you.
[00:07:35.433 --> 00:07:36.274]  Seriously.
[00:07:36.274 --> 00:07:43.120]  I can see no sensible interpretation other than a serious attempt at mass depopulation.
[00:07:43.120 --> 00:07:45.041]  This will provide the tools to do it.
[00:07:45.862 --> 00:08:03.079]  And plausible deniability, because they'll create another story about some sort of biological threat, and you'll line up and get your top-up vaccines, and a few months or a year or so later, you'll die of some peculiar, explicable syndrome, and they won't be able to associate it with the top-up vaccines.
[00:08:03.079 --> 00:08:08.884]  But that's my belief, that they're lying to you about variants, so they can make damaging
[00:08:09.905 --> 00:08:14.650]  Top-up vaccines that you don't need at all, and I think they'll be used for malign purposes.
[00:08:14.650 --> 00:08:20.755]  And if you don't wake up, that's what's going to happen, I think, during next year.
[00:08:20.755 --> 00:08:22.537]  Well, that's really scary, and it's true.
[00:08:22.537 --> 00:08:31.005]  It's Dr. Michael Yeadon, former head of the technology division and the head scientist of respiratory viruses at Pfizer.
[00:08:32.679 --> 00:08:35.821]  And Dr. Robert Malone is the inventor of mRNA technology.
[00:08:35.821 --> 00:08:40.244]  The first year and a half, he's like, maybe they're idiots, maybe they don't know, but this is going to hurt a lot of people.
[00:08:40.244 --> 00:08:42.906]  Now he's like, no, it's premeditated, it's evil, we got to stop them.
[00:08:42.906 --> 00:08:44.307]  Because you cannot deny that.
[00:08:44.307 --> 00:08:50.091]  I had Dr. Zelenko on time before last, about a month ago, and I'm not tooting our horn.
[00:08:50.091 --> 00:08:51.972]  I'm saying we know what we're talking about.
[00:08:51.972 --> 00:08:54.614]  Please listen to us because I want to get out of this with our lives.
[00:08:54.614 --> 00:08:56.095]  I want you to get out of it as well.
[00:08:56.095 --> 00:08:57.156]  This is real.
[00:08:57.156 --> 00:08:58.177]  The biggest threat in the last
[00:08:59.306 --> 00:09:01.548]  Human development, this is the biggest event ever.
[00:09:01.548 --> 00:09:20.941]  You cannot debate that this is like Hitler on steroids and that if we don't identify it's on purpose and we don't identify these are war criminals and we don't identify they cooked it up on purpose, then they keep being able to debate us and argue little fine points and keep people distracted.
[00:09:20.941 --> 00:09:22.462]  So that is not the point
[00:09:24.005 --> 00:09:25.065]  That we're making here.
[00:09:25.065 --> 00:09:26.746]  This is not some accidental thing.
[00:09:26.746 --> 00:09:31.828]  These aren't just companies that mean well that screwed up in all this garbage.
[00:09:31.828 --> 00:09:35.550]  These are individuals that are using this to take over the planet.
[00:09:35.550 --> 00:09:38.251]  And it's in the Great Reset documents.
[00:09:38.251 --> 00:09:39.592]  And it's an incredible time to be alive.
[00:09:41.542 --> 00:09:43.564]  Zev Zelenko joins us here.
[00:09:43.564 --> 00:09:44.724]  He needs no introduction.
[00:09:44.724 --> 00:09:45.985]  So much has happened.
[00:09:45.985 --> 00:09:55.112]  He also issued an alert yesterday that if something happens to him, that he's not died of cancer, which he's fighting right now, but that it could be foul play.
[00:09:55.112 --> 00:09:56.133]  I want to say the same thing.
[00:09:56.133 --> 00:09:57.734]  I'm getting a lot of death threats right now.
[00:09:57.734 --> 00:09:59.475]  We're not being dramatic, folks.
[00:09:59.475 --> 00:10:01.837]  We're at the tip of the spear, exposing mass murderers.
[00:10:01.837 --> 00:10:03.318]  This is a war.
[00:10:03.318 --> 00:10:05.300]  And like Marshall McLuhan said 50 years ago,
[00:10:05.900 --> 00:10:10.222]  I got a lot of questions and a lot to say and a lot to break down and I want you to be able to take us where you want to go first.
[00:10:10.222 --> 00:10:11.963]  So take us there and then I want to talk to you about Dr.
[00:10:28.968 --> 00:10:36.791]  Michael Yeadon, who I know you talk a lot about getting even more hardcore now and basically aligning with what you and I are saying.
[00:10:36.791 --> 00:10:44.253]  It isn't about us being right, but I think it's key to really have people face what we're up against if we have any chance of beating them.
[00:10:44.253 --> 00:10:46.254]  We're going to win.
[00:10:46.254 --> 00:10:48.595]  It's like someone who plays chess.
[00:10:48.595 --> 00:10:52.436]  The better chess player you are, the more moves ahead you could see.
[00:10:52.436 --> 00:10:54.357]  And I see already that it's checkmate.
[00:10:54.986 --> 00:11:03.312]  The only question that's still a variable is how much carnage and what will be the body count of the innocent until we get to that point.
[00:11:03.312 --> 00:11:14.781]  And the reason why I'm doing these interviews is that I hope that spreading the true narrative and giving people hope may mitigate or reduce the body count.
[00:11:14.781 --> 00:11:18.624]  And so regarding Dr. Michael Yadin, I know him personally.
[00:11:18.624 --> 00:11:19.705]  He's a mentor of mine.
[00:11:19.705 --> 00:11:22.667]  He's a brilliant scientist, former Vice President of Pfizer.
[00:11:23.579 --> 00:11:31.103]  And he told me personally that for every one child that dies from COVID, a hundred die from the vaccine.
[00:11:31.103 --> 00:11:37.206]  The vaccine is a hundred times more lethal to children than the virus.
[00:11:37.206 --> 00:11:47.491]  I think it's more than that, but he has the statistics and the data analysis to prove that, and he has actually presented that information to the world.
[00:11:47.491 --> 00:11:48.392]  He's a man of integrity.
[00:11:48.392 --> 00:11:48.992]  He has only
[00:11:49.944 --> 00:11:52.125]  Uh, what to lose from coming out of retirement.
[00:11:52.125 --> 00:11:53.505]  He's a very wealthy man.
[00:11:53.505 --> 00:11:56.126]  He doesn't need the, uh, all this aggravation.
[00:11:56.126 --> 00:12:07.749]  The only reason why he's doing it is I believe that he's being motivated by altruism and a genuine desire to, um, protect people from carnage.
[00:12:07.749 --> 00:12:19.433]  Um, now I think that it's extremely important to understand what is the motivation behind the criminals and monsters that have done this.
[00:12:20.325 --> 00:12:22.527]  Because, and everything, no one should believe a word I'm saying.
[00:12:22.527 --> 00:12:25.809]  They should just listen and then do their own due diligence.
[00:12:25.809 --> 00:12:33.514]  I provided for you resources and references to what I'm about to say, but much of which I'm sure you know.
[00:12:33.514 --> 00:12:45.403]  But 30 years ago, it became obvious to the people in power and people who are the wealthiest, most powerful people in the planet, that there was going to be a major catastrophe economically.
[00:12:46.201 --> 00:12:55.943]  Uh, in 30 years, there will be a collapse bankruptcy of the beginning bankruptcy of Social Security and Medicare.
[00:12:55.943 --> 00:12:57.603]  And that's all known.
[00:12:57.603 --> 00:13:04.604]  And Biden's recent policies of increased entitlements have upped the date to the anticipated collapse.
[00:13:04.604 --> 00:13:08.785]  The 2027-2026 used to be 2028.
[00:13:08.785 --> 00:13:09.825]  That's the beginning.
[00:13:09.825 --> 00:13:15.426]  And within 10 years, there'll be a complete bankruptcy that will have a tsunami
[00:13:16.167 --> 00:13:32.220]  Affect on the global economy and threatens the stakeholders, their power and their wealth and control mechanisms over humanity, which they've had cultivated over millennia.
[00:13:32.220 --> 00:13:43.749]  We're talking about a force of evil that has always used human slavery as an asset.
[00:13:45.796 --> 00:13:50.617]  Slavery has always been the most lucrative industry in the history of humanity.
[00:13:50.617 --> 00:13:52.437]  And these people are amoral.
[00:13:52.437 --> 00:13:53.338]  They're not immoral.
[00:13:53.338 --> 00:13:55.038]  They are amoral.
[00:13:55.038 --> 00:13:58.599]  Which means they are moral when it's expedient for them.
[00:13:58.599 --> 00:14:01.279]  They're immoral when it's expedient for them.
[00:14:01.279 --> 00:14:04.080]  They support the Jews when it's expedient for them.
[00:14:04.080 --> 00:14:06.680]  They support the Christians when it's useful to them.
[00:14:06.680 --> 00:14:10.541]  And then they set the Jews against the Christians and vice versa when it's useful for them.
[00:14:10.541 --> 00:14:12.522]  They're capitalists when they need to be.
[00:14:12.522 --> 00:14:13.762]  They're communists when they need to be.
[00:14:14.321 --> 00:14:29.544]  This level of malevolence transcends all of these systems that they have set, and they play games and create chaos and geopolitical destabilization in order to promote their own agenda.
[00:14:29.544 --> 00:14:36.886]  In this particular case, it became obvious to everyone that there was going to be a huge economic collapse, and they were threatened.
[00:14:36.886 --> 00:14:38.486]  What have they done?
[00:14:38.486 --> 00:14:41.407]  They've initiated a plan over the last 30 years that
[00:14:42.827 --> 00:14:58.017]  Will result in when the system collapses, and the dust settles, they will have the new financial infrastructure and control mechanisms to lead to the ultimate enslavement of humanity.
[00:14:58.017 --> 00:15:01.399]  And let me explain.
[00:15:01.399 --> 00:15:11.085]  In 2016, everyone knows, Klaus Schwab said that within 10 years, meaning by 2026, right before the anticipated collapse,
[00:15:11.835 --> 00:15:18.337]  Seven billion people will be tagged with a digital tracking device, essentially.
[00:15:18.337 --> 00:15:28.000]  A biometric sensor that transmits biometric data with your location to a third party.
[00:15:28.000 --> 00:15:29.481]  And it's not science fiction.
[00:15:29.481 --> 00:15:32.322]  There's a patent, which we've spoken about several times.
[00:15:32.322 --> 00:15:35.243]  He said on French TV, he said, first you'll wear it, then it'll be in the skin.
[00:15:36.823 --> 00:15:40.244]  Right, that's Klaus Schwab saying that and I have that video.
[00:15:40.244 --> 00:15:44.606]  But in addition to that, there's a patent, the two patents that go hand in hand.
[00:15:44.606 --> 00:15:53.730]  The one patent that says that the current vaccines have nanotechnology in them that allows them to measure your heart rate.
[00:15:53.730 --> 00:15:55.310]  Stay right there, we're gonna come right back to you.
[00:15:55.310 --> 00:15:57.051]  This is riveting information.
[00:15:57.051 --> 00:15:59.372]  Dr. Zalinko, please stay with us.
[00:15:59.372 --> 00:16:01.793]  History is happening now.
[00:16:03.115 --> 00:16:20.783]  As we close out the year 2021 and accelerate into the critical year of 2022, it is so important to really meditate on the fact and let it sink in that we are in the middle of a globalist world government takeover whose end game is forced depopulation.
[00:16:20.783 --> 00:16:28.007]  The death, the disease, the horror being caused by these GMO gene therapy shots is just the beginning.
[00:16:29.232 --> 00:16:34.013]  They are now accelerating a program that will collapse civilization.
[00:16:34.013 --> 00:16:36.594]  There's not much time left to turn this around.
[00:16:36.594 --> 00:16:45.676]  The globals are now getting a big cyber attack ready that they're going to launch, and again, blame on terrorists and use as a pretext to further collapse civilization.
[00:16:45.676 --> 00:16:50.057]  Only being aware of this and only rallying against it now can back them off.
[00:16:50.057 --> 00:16:57.459]  Please, ladies and gentlemen, continue to spread the word about InfoWars.com and NewsWars.com and the live show, because you are the modern Paul Reveres.
[00:16:57.459 --> 00:16:58.739]  Without you, we're going to lose.
[00:17:00.623 --> 00:17:07.745]  I have the greatest sense of loss deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[00:17:07.745 --> 00:17:09.566]  I've had a lot of loss.
[00:17:09.566 --> 00:17:10.326]  Everybody else has.
[00:17:10.326 --> 00:17:24.270]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[00:17:24.270 --> 00:17:25.991]  And now we're just throwing it all away.
[00:17:27.970 --> 00:17:36.476]  And I see the general public in a medically-induced, scientifically-induced, behavioral-psychologically-controlled trance.
[00:17:36.476 --> 00:17:41.058]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[00:17:41.058 --> 00:17:50.765]  But this is the process of birth, and then growth, and then falling apart, and then degenerating and collapsing, and then coming back to life again.
[00:17:51.932 --> 00:17:59.979]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[00:17:59.979 --> 00:18:07.385]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[00:18:07.385 --> 00:18:14.530]  After years of being off the shelves we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[00:18:14.530 --> 00:18:16.392]  It's Ultimate Bone Broth Plus.
[00:18:17.052 --> 00:18:26.080]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:18:26.080 --> 00:18:29.723]  Then it's got added magnesium and potassium for electrolytes.
[00:18:29.723 --> 00:18:36.248]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:18:36.248 --> 00:18:38.190]  It even tastes better than the last formula.
[00:18:38.190 --> 00:18:40.672]  And what it does for your body is simply amazing.
[00:18:40.672 --> 00:18:45.576]  Again, it has that cutting-edge chicken broth protein isolate powder.
[00:18:45.876 --> 00:18:47.718]  It's time to protect your privacy.
[00:18:47.718 --> 00:18:52.222]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals
[00:19:08.078 --> 00:19:16.664]  Hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[00:19:16.664 --> 00:19:21.107]  So in the future, under their globalist takeover, they can shut you down.
[00:19:21.107 --> 00:19:29.994]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[00:19:29.994 --> 00:19:32.735]  That's why everybody should visit InfoWarsTore.com.
[00:19:32.735 --> 00:19:37.579]  We're carrying a huge new line of very compliant, made in America products
[00:19:37.859 --> 00:19:40.881]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:22.065 --> 00:20:48.449]  I didn't talk to Dr. Zelenko before he came on air today and I didn't tell him I want to talk about the Great Reset and engineered financial collapse and how SWAB is now pre-programming there's gonna be a big cyber attack that they claim terrorists launched we know who will really launch it and notice he just brought it up without us even asking because we're all synced up that's God consciousness that's what scares the Satanist he wrote an article titled government is the enemy
[00:20:49.662 --> 00:20:52.185]  What is really going on by Dr. Zelenko?
[00:20:52.185 --> 00:20:54.268]  So, Doctor, please continue.
[00:20:54.268 --> 00:20:57.572]  You got caught up on the break.
[00:20:57.572 --> 00:21:00.456]  They know they fraudulently created all this fractional reserve banking.
[00:21:00.456 --> 00:21:02.078]  They've created all these derivatives.
[00:21:02.078 --> 00:21:03.480]  They've taken the world over by it.
[00:21:04.201 --> 00:21:05.102]  But it's a scam.
[00:21:05.102 --> 00:21:20.030]  So instead of them all going to jail, they've come up with a plan to collapse the world economy, pose as the saviors, and depopulate the useful cedars in the process, which is what so many corrupt feudal lords have done in the past, like the Aztecs and others, when they didn't want to feed their population.
[00:21:20.030 --> 00:21:22.331]  Please continue.
[00:21:22.331 --> 00:21:32.096]  Yeah, so the patent that I mentioned earlier gives the technology and the mechanism through which Klaus Schwab's prophecy, let's say,
[00:21:32.763 --> 00:21:45.650]  Uh, about 7 billion people having a digital identifier, um, that connects them to a centralized network or grid or matrix, um, is going to happen.
[00:21:45.650 --> 00:21:50.413]  And, and the second patent that goes together with that is what Microsoft has from 2020.
[00:21:50.413 --> 00:21:55.156]  Um, it's W-O-20-20-O-6-O-6-O-6.
[00:21:55.156 --> 00:22:00.819]  And that patent describes the linkage of biometric data transmission to cryptocurrency.
[00:22:01.345 --> 00:22:03.986]  And so let me explain to you what that actually means.
[00:22:03.986 --> 00:22:15.270]  It means that in the future, say 2026 at the time, there'll be no more EasyPass, there'll be no more Apple Pay, there'll be no more credit cards.
[00:22:15.270 --> 00:22:18.651]  It'll be biometric transactions.
[00:22:18.651 --> 00:22:29.415]  In other words, you are now injected with a technology that transmits your internal temperament and your internal data with your location to a third party.
[00:22:29.415 --> 00:22:29.555]  Now,
[00:22:30.276 --> 00:22:35.978]  And that will allow you to, let's say, put your hand on a scanner and then walk out from the supermarket.
[00:22:35.978 --> 00:22:41.900]  So the hipsters think it's cool, but the problem with that is, what if I don't want to be part of the Matrix?
[00:22:41.900 --> 00:22:47.222]  What if I don't want to be injected with a tracking technology?
[00:22:47.222 --> 00:22:50.044]  Well, then I would be excluded from the system of finance.
[00:22:50.044 --> 00:22:56.166]  I won't be able to buy bread, at least not probably on the black market, but I won't be able to buy bread for my family.
[00:22:56.166 --> 00:22:57.246]  So it's a control mechanism.
[00:22:57.246 --> 00:22:58.507]  It's the mark of the beast.
[00:22:58.507 --> 00:22:58.927]  In other words,
[00:23:00.272 --> 00:23:11.741]  If I don't participate in the system that they have created and control, I will be excluded from the ability to do transactions, financial transactions.
[00:23:11.741 --> 00:23:13.522]  So they don't have to put a bullet in my head.
[00:23:13.522 --> 00:23:18.826]  They just have to prevent my ability to buy food for my family.
[00:23:18.826 --> 00:23:21.988]  And that's like the social credit system in China, where basically
[00:23:22.557 --> 00:23:26.778]  They could set a radius through which I can't go out of my house and put me on house arrest.
[00:23:26.778 --> 00:23:27.698]  They know my location.
[00:23:27.698 --> 00:23:34.879]  I step out out of my permitted radius, let's say, and they turn off my ability to do finance.
[00:23:34.879 --> 00:23:36.720]  So this is a control mechanism.
[00:23:36.720 --> 00:23:45.342]  And the entire crisis here has nothing to do with medicine, has nothing to do with health.
[00:23:45.342 --> 00:23:47.442]  There are fools on this planet right now who actually think
[00:23:48.021 --> 00:23:53.323]  That the governing bodies actually care about your well-being, then there's no hope for you.
[00:23:53.323 --> 00:23:57.585]  But the reality is that COVID-19 is a weapon of mass destruction.
[00:23:57.585 --> 00:23:58.686]  It was made in a laboratory.
[00:23:58.686 --> 00:24:00.047]  No one denies that.
[00:24:00.047 --> 00:24:00.847]  And I want to tell you something, Alex.
[00:24:00.847 --> 00:24:11.372]  I don't know if you realize that Ralph Baric, Dr. Baric, was involved in every step of the development of this bioweapon and converting it to a human virus.
[00:24:11.372 --> 00:24:13.833]  He took a bad coronavirus.
[00:24:14.417 --> 00:24:18.781]  Changed some things on it, got a patent for it, and technology to convert it to a human virus.
[00:24:18.781 --> 00:24:29.629]  Then Dr. Baric and Zheng Li in Wuhan, funded by the NIH, they published a paper thanking the NIH, figured out how to augment the lethality of this virus to destroy human lung tissue.
[00:24:29.629 --> 00:24:35.794]  Which was key because Fauci wanted his HIV protein to be part of it so he could pay.
[00:24:35.794 --> 00:24:37.956]  Yes, but here's something you may not know.
[00:24:37.956 --> 00:24:40.318]  That in March of 2020, I came across data, papers,
[00:24:43.697 --> 00:24:43.857]  I don't
[00:25:04.219 --> 00:25:06.881]  By the way, on your Skype is a link to that paper.
[00:25:06.881 --> 00:25:07.781]  Everything I'm saying, I have
[00:25:31.543 --> 00:25:34.904]  evidence for and it should be presented because otherwise it won't be believed.
[00:25:34.904 --> 00:25:35.144]  Yes, sir.
[00:25:35.144 --> 00:25:37.824]  We'll either put it on screen or we'll put it in post later once this is archived.
[00:25:37.824 --> 00:25:38.564]  Please start over.
[00:25:38.564 --> 00:25:40.325]  This is huge.
[00:25:40.325 --> 00:25:40.705]  All right, fine.
[00:25:40.705 --> 00:25:47.426]  So Ralph Baric in 1999 did research at the University of Chapel Hill, North Carolina.
[00:25:47.426 --> 00:25:56.668]  He was able to manipulate a bat animal virus, a bat coronavirus, converted by modulating a surface protein to infect human beings.
[00:25:56.668 --> 00:25:58.348]  But it was still benign.
[00:25:58.348 --> 00:26:00.509]  It was just infecting human beings now.
[00:26:00.509 --> 00:26:00.769]  And then
[00:26:02.003 --> 00:26:18.728]  In 2010, the same Ralph Varric figured out a way to diffuse coronaviruses by using zinc and zinc ionophores, inhibiting RNA-dependent RNA polymerase, or inhibiting coronavirus replication.
[00:26:18.728 --> 00:26:25.470]  In 2015, and by the way, everything's here being funded by the United States government, because it's on the papers.
[00:26:25.470 --> 00:26:30.472]  And on the peer-reviewed papers, they thank the United States government, NIH or whatever, for the funding.
[00:26:31.078 --> 00:26:49.361]  Then, in 2015, in Wuhan, Barrick, together in collaboration with Zheng Li, Dr. Zheng Li, the bad lady they call her, were able to figure out a way to augment the payload of this weapon to destroy human lung tissue and cause blood clots.
[00:26:49.361 --> 00:26:56.042]  They wrote a paper about it, they thanked the NIH, they published it, and they got patents on it.
[00:26:56.042 --> 00:26:57.703]  And here's another layer to the story.
[00:26:57.703 --> 00:26:59.343]  The same Ralph Barrick worked
