[00:00:10.478 --> 00:00:12.300]  They're all alike.
[00:10:03.863 --> 00:10:06.204]  Let's see if any of them retract.
[00:10:06.204 --> 00:10:09.425]  Rolling Stone did because they were the first to run it in print.
[00:10:09.425 --> 00:10:21.830]  They ran the hospital's press release, saying he doesn't work here and no one's ever come in sick with that and there's no lines and there's plenty of ambulances.
[00:10:21.830 --> 00:10:26.072]  Now scroll down a little bit and we'll show the retraction on the article for TV viewers.
[00:10:26.072 --> 00:10:31.514]  So all that's going on, but the bigger story is the others aren't even
[00:10:33.058 --> 00:10:33.639]  Retracting.
[00:10:33.639 --> 00:10:35.580]  Yeah, there's the retraction.
[00:10:35.580 --> 00:10:36.781]  So what does that say?
[00:10:36.781 --> 00:10:43.246]  It means they're a foreign, multinational, globalist group engaged in war with you.
[00:10:43.246 --> 00:10:46.589]  Engaged in trying to deceive you.
[00:10:46.589 --> 00:10:48.510]  They're on the deceiver's team.
[00:10:48.510 --> 00:10:54.755]  We'll go over all of that today, give you the news behind the news.
[00:10:54.755 --> 00:11:00.700]  The rest of the story, as Paul Harvey would say, or as I would say, InfoWars.
[00:11:00.700 --> 00:11:02.021]  Tomorrow's news today.
[00:11:04.608 --> 00:11:12.591]  Or the history of the future now.
[00:11:12.591 --> 00:11:22.375]  But what do I want to hit first, right up front, in the next segment?
[00:11:22.375 --> 00:11:33.759]  I was sent by a family friend, an old family friend, an extraordinary story from an extraordinary organization on mass psychosis.
[00:11:34.747 --> 00:11:42.293]  And I watched the 21-minute report and I have to say this is the best work in totality of what we face that I've ever seen in one piece.
[00:11:42.293 --> 00:11:49.479]  And I just really am blown away by the group called After School, S-K-O-O-L.
[00:11:49.479 --> 00:11:52.902]  I've seen some of their other reports as well.
[00:11:52.902 --> 00:11:55.083]  But then I thought I'd pull some of the history of this.
[00:11:55.083 --> 00:11:59.487]  Is mass psychosis the greatest threat to humanity?
[00:12:00.965 --> 00:12:06.947]  Mass psychosis is the most visible explanation for what we're seeing in America today and the world.
[00:12:06.947 --> 00:12:15.290]  But I want to explain that it was even in the WikiLeaks that Hillary said, we are going to trigger mass psychosis.
[00:12:15.290 --> 00:12:19.952]  So, they're doing it and that's why the statistics, in fact it was in a couple days ago, stacked.
[00:12:19.952 --> 00:12:24.414]  Will you repull me a bunch of articles about the left being the most mentally ill in all the studies?
[00:12:24.414 --> 00:12:30.016]  Because they bought into a false reality and they're involved in a mass psychosis.
[00:12:32.788 --> 00:12:37.170]  And that's why they are lying, because they believe they're the elite, and it's for our own good.
[00:12:37.170 --> 00:12:40.192]  But when you tell lies, you start believing in yourself.
[00:12:40.192 --> 00:12:50.016]  And so I'm going to explain how they're trying to recreate, we can put the full show headline up in a moment, how they're trying to recreate a global French Revolution on a mass scale.
[00:12:50.016 --> 00:12:59.041]  And that was primitive psychologists, the Jacobins, the Illuminati, that's in the history books, by the way, that's a real group, out of Weishaupt, out of Germany,
[00:12:59.943 --> 00:13:03.484]  They weren't trying to overthrow the royals of the church to get rid of a hierarchy.
[00:13:03.484 --> 00:13:08.066]  They wanted to be the hierarchy.
[00:13:08.066 --> 00:13:22.272]  They wanted to be in full and total absolute control and actually overturn reality and turn the public into a giant subclass.
[00:13:22.272 --> 00:13:23.893]  There it is.
[00:13:23.893 --> 00:13:28.895]  Monday Live Globalist Behavioral Psychologists Are Purposely Invoking Mass Psychosis.
[00:13:32.955 --> 00:13:35.197]  Mass psychosis.
[00:13:35.197 --> 00:13:47.445]  Social engineers of the Great Reset are purposely destabilizing the planet to launch a worldwide French Revolution 2.0 to collapse civilization, which was the plan of the French Revolution.
[00:13:47.445 --> 00:13:49.906]  They don't want the general public to have civilization.
[00:13:49.906 --> 00:13:57.111]  They said, we're going to build little sub-castle cities that have all the technology and then no one else will have it outside.
[00:13:57.111 --> 00:13:59.853]  So we're going to explain the world they're building.
[00:13:59.853 --> 00:14:00.974]  They are the offspring,
[00:14:02.256 --> 00:14:06.179]  Physical, genetic offspring, also the spiritual offspring.
[00:14:06.179 --> 00:14:08.680]  They're of the lineage of the Satanic Great Reset.
[00:14:08.680 --> 00:14:14.304]  And we're going to also hit the fact that Taliban's always worked for the U.S.
[00:14:14.304 --> 00:14:16.045]  government, the criminals, the U.S.
[00:14:16.045 --> 00:14:17.246]  government.
[00:14:17.246 --> 00:14:18.907]  That's coming up as well.
[00:14:18.907 --> 00:14:29.914]  Separately, we are going to have to end the sale on all the products we've had on sale except for vitamin mineral fusion, and it's going to sell out the next week and a half.
[00:14:31.647 --> 00:14:48.731]  It's all the vitamins, all the minerals that are essential, so good for your immune system, with a bunch of key amino acids for a better upload, plus it's a powder you put into water that makes it delicious, tasty, natural organic fruit punch, great for children, great for adults, essential for everybody, but really important for old folks whose guts don't absorb much with pills.
[00:14:48.731 --> 00:14:55.132]  We're going to keep it on sale until it sells out, but everything else
[00:14:55.839 --> 00:15:00.283]  We're not getting in for so long that I'm going to have to just take off sale this weekend.
[00:15:00.283 --> 00:15:01.584]  Pollen Block, 40% off.
[00:15:01.584 --> 00:15:02.926]  Living Defense, 40% off.
[00:15:02.926 --> 00:15:04.707]  Ultimate Krill Oil, 40% off.
[00:15:04.707 --> 00:15:06.529]  Vazo Beats, 50% off.
[00:15:06.529 --> 00:15:09.232]  Hair and Beard Support, the newest addition to InfoWars.
[00:15:09.232 --> 00:15:11.173]  Life, it's also a great multivitamin mineral.
[00:15:11.173 --> 00:15:12.315]  I'm going to keep that at 52.
[00:15:12.315 --> 00:15:14.497]  We've got a good amount of that.
[00:15:14.497 --> 00:15:16.278]  But those are at infowarsstore.com.
[00:15:17.603 --> 00:15:18.985]  I want to thank you all for your support.
[00:15:18.985 --> 00:15:24.671]  Everything we've been able to do has been good because of you spreading the word, you praying for us, and you buying the products.
[00:15:24.671 --> 00:15:28.054]  So you know who you are all across the country and all across the world.
[00:15:28.054 --> 00:15:32.239]  I know it's hard to get the stuff in Canada or overseas, but you still do it.
[00:15:32.239 --> 00:15:33.040]  You jump through the hoops.
[00:15:33.040 --> 00:15:33.981]  So thank you so much.
[00:15:33.981 --> 00:15:34.982]  We wouldn't be here without you.
[00:15:35.618 --> 00:15:37.279]  So please remember, now it's more important than ever.
[00:15:37.279 --> 00:15:38.340]  Everything we said is coming true.
[00:15:38.340 --> 00:15:40.242]  Our credibility is super high right now.
[00:15:40.242 --> 00:15:42.084]  We're doing our most important work right now.
[00:15:42.084 --> 00:15:43.305]  So please help keep us in the fight.
[00:15:43.305 --> 00:15:44.586]  We can't do it without you.
[00:15:44.586 --> 00:15:49.490]  So again, from the bottom of my heart, for the whole crew, we thank you for all your support out there, viewers and listeners.
[00:15:49.490 --> 00:15:51.632]  And I also thank the crew for the amazing job they do.
[00:15:51.632 --> 00:15:53.193]  Alright, InfoWars.com.
[00:15:53.193 --> 00:15:54.714]  Tomorrow's news today.
[00:15:54.714 --> 00:15:56.336]  We'll be back with the heart of the matter.
[00:15:57.688 --> 00:16:06.116]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year.
[00:16:06.116 --> 00:16:07.137]  Here's why.
[00:16:07.137 --> 00:16:10.400]  We now have a small number of solar generators back in stock.
[00:16:10.996 --> 00:16:16.099]  These emergency backup systems provide life-saving backup power when you need it most.
[00:16:16.099 --> 00:16:25.106]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[00:16:25.106 --> 00:16:33.071]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[00:16:33.783 --> 00:16:39.869]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too!
[00:16:39.869 --> 00:16:43.692]  Go to MySolarBackup.com to learn more and check availability.
[00:16:43.692 --> 00:16:45.714]  That's MySolarBackup.com.
[00:16:45.714 --> 00:16:54.102]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[00:16:54.102 --> 00:16:56.444]  Yours free at MySolarBackup.com.
[00:16:57.000 --> 00:16:57.961]  Hey everybody!
[00:16:57.961 --> 00:17:03.465]  If you've ever thought about heirloom beans as a storable survival food, I've got great news.
[00:17:03.465 --> 00:17:05.907]  In fact, I'll bet it's the best news you've heard in a while.
[00:17:05.907 --> 00:17:06.748]  Here's the thing.
[00:17:06.748 --> 00:17:11.052]  We've just received a fresh batch of gourmet heirloom beans.
[00:17:11.052 --> 00:17:12.413]  Survival soup beans.
[00:17:12.413 --> 00:17:20.559]  These beans are gorgeous, highly nutritious, and above all, with no hesitation whatsoever, the best tasting beans in the entire world.
[00:17:20.559 --> 00:17:21.080]  The best part?
[00:17:21.620 --> 00:17:30.890]  We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to.
[00:17:30.890 --> 00:17:31.911]  Gets even better!
[00:17:31.911 --> 00:17:42.681]  With your permission, and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[00:17:42.681 --> 00:17:43.082]  Period.
[00:17:43.482 --> 00:17:45.504]  Go to soupbeansurvival.com.
[00:17:45.504 --> 00:17:47.647]  That's soupbeansurvival.com.
[00:17:47.647 --> 00:17:51.751]  And discover the real reason we're giving this unusual superfood away.
[00:17:51.751 --> 00:17:53.634]  At soupbeansurvival.com.
[00:17:53.634 --> 00:17:55.496]  That's soupbeansurvival.com.
[00:17:58.414 --> 00:18:14.649]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[00:18:14.649 --> 00:18:18.292]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[00:18:18.292 --> 00:18:22.456]  It's a check box that everybody needs to have taken care of, right along with water filtration.
[00:18:23.256 --> 00:18:32.423]  Self-defense and a relationship with God, but now more than ever you need to get your storable food orders in now We're ready to ship to you within 24 hours of your order.
[00:18:32.423 --> 00:18:47.173]  It's high quality It's very very low cost at info or store comm because in the future You're going to see more food supply shortages, and you're going to see food supply price increases that are already taking place So lock in your storable food now at a lower price and funding
[00:18:47.353 --> 00:18:51.559]  Do you think it's a bad trait of Mike Lindell that he's so optimistic that he's so positive?
[00:18:51.559 --> 00:18:51.900]  No.
[00:19:04.432 --> 00:19:07.273]  It's that type of optimism that built this country.
[00:19:07.273 --> 00:19:13.116]  We would have never defeated the British 250 years ago if we didn't have a lot of optimism and we didn't persevere.
[00:19:13.116 --> 00:19:18.758]  George Washington lost most of his major battles, but he kept fighting for six years and finally we won.
[00:19:18.758 --> 00:19:25.220]  Well, Mike Lindell has been fighting as a man in the arena and he's continuing to expose serious issues with the 2020 election.
[00:19:25.220 --> 00:19:26.521]  We need to keep him in the fight.
[00:19:26.841 --> 00:19:30.043]  Plus, he's got hundreds of incredible made-in-America products.
[00:19:30.043 --> 00:19:30.904]  Not just pillows.
[00:19:30.904 --> 00:19:31.544]  Not just towels.
[00:19:31.544 --> 00:19:32.125]  Not just sheets.
[00:19:32.125 --> 00:19:33.025]  Not just beds.
[00:19:33.025 --> 00:19:38.529]  And he's got up to 66% off at MyPillow.com with promo code ALEX.
[00:19:38.529 --> 00:19:39.870]  You get the best deals.
[00:19:39.870 --> 00:19:41.031]  It's made in America.
[00:19:41.031 --> 00:19:42.492]  He's investigating the election.
[00:19:42.492 --> 00:19:43.713]  He's fighting the globalists.
[00:19:43.713 --> 00:19:45.594]  He's standing up against forced inoculations.
[00:19:46.194 --> 00:19:48.196]  His organization is reaching millions of people.
[00:19:48.196 --> 00:19:52.660]  We just support it and support InfoWars at the same time at MyFellow.com.
[00:19:52.660 --> 00:19:55.163]  Promo code Alex up to 66% off.
[00:19:55.163 --> 00:19:56.364]  You need these products already?
[00:19:56.364 --> 00:19:57.505]  They're high quality?
[00:19:57.505 --> 00:20:01.889]  Use promo code Alex and stay big!
[00:20:01.889 --> 00:20:04.592]  You're listening to the Alex Jones Show!
[00:20:12.164 --> 00:20:24.510]  Defending the Republic from enemies, foreign and domestic.
[00:20:24.510 --> 00:20:26.591]  It's Alex Jones.
[00:20:26.591 --> 00:20:35.215]  Well, I always knew the globalists were going to use the threat of a virus to collapse the world economy.
[00:20:36.431 --> 00:20:50.686]  Make us all carry smartphones to track our every movement, and then bring in a carbon tax calorie counting system that doesn't just track everywhere you go, it tells you when you can get in a car, when you can drive, where you can go, who you can visit, what type of job you can have.
[00:20:50.686 --> 00:20:54.550]  I mean, just hellish level of control.
[00:20:55.874 --> 00:21:09.908]  And then they're going to organize the people that do opt into it into a mob of people that hate those of us that aren't part of it, claiming that because we didn't join the authoritarianism, that's why they're sick, that's why they're starving, that's why they're dying.
[00:21:09.908 --> 00:21:16.915]  And as the tyranny gets worse and worse and worse, by the time the sheep wake up, they're already basically in the gulag.
[00:21:16.915 --> 00:21:18.196]  That's how this process works.
[00:21:19.065 --> 00:21:39.802]  And of course, those that lower the drawbridge to tyranny, those that help bring in the oppression, they always think they're going to get some cush job in the new utopia, the new dystopia where they enslave everybody, but then those that are the operatives that betray the nation are always the first people either executed or sent to slave labor.
[00:21:39.802 --> 00:21:46.948]  This is an extremely formulaic system that the globalists are carrying out.
[00:21:48.207 --> 00:22:01.172]  And if you read the WikiLeaks and you see what they're doing and you look at the Yale and Harvard reports, how years ago they studied how to use a pandemic to create fear and to create a post-industrial world.
[00:22:01.172 --> 00:22:17.398]  And I actually have a stack of news here where the Journal of Nature has come out, and I'll be covering this next hour, and said, yes, we are going to use the COVID lockdowns now to bring in not
[00:22:19.108 --> 00:22:21.969]  Climate lockdowns every two years, but every month.
[00:22:21.969 --> 00:22:25.731]  See, they always announce something that is horrible, but sounds not as bad.
[00:22:25.731 --> 00:22:27.611]  Oh, climate lockdowns every two years.
[00:22:27.611 --> 00:22:29.972]  I'll sit at home and watch Netflix.
[00:22:29.972 --> 00:22:32.053]  All production goes down.
[00:22:32.053 --> 00:22:33.994]  But now they're like, oh, actually, it'll be every month.
[00:22:33.994 --> 00:22:39.256]  And then, oh, actually, it's going to be what the smartphone says you can do.
[00:22:39.256 --> 00:22:44.197]  That's all officially been announced by Australia, by Canada, by the UN.
[00:22:44.197 --> 00:22:45.858]  Next segment, I've got clips of them announcing it.
[00:22:46.630 --> 00:22:56.494]  I've played for you children's cartoons from 11 years ago in the UK, saying in the future your smartphone will say what job you have, when you can go outside you'll get meat once a year.
[00:22:56.494 --> 00:23:00.875]  And people would look at that and think, this is a joke, Alex, back when I aired it 11 years ago.
[00:23:00.875 --> 00:23:06.077]  The Plandopolis isn't real, put out by the UN and the Rockefeller Foundation.
[00:23:06.077 --> 00:23:10.019]  Because back then, I mean, come on, we're not going to stay in our houses and have smartphones tell us what to do.
[00:23:10.871 --> 00:23:12.372]  But Australia is now implementing it.
[00:23:12.372 --> 00:23:13.513]  They're the beta test.
[00:23:13.513 --> 00:23:19.578]  And New York has already implemented the apps on phones that are now saying, oh, your paper cards aren't good enough.
[00:23:19.578 --> 00:23:22.100]  You've got to have the Excelsior pass.
[00:23:22.100 --> 00:23:26.003]  England's announced it's in, starting this month, in a few days.
[00:23:26.003 --> 00:23:29.105]  So it isn't coming.
[00:23:29.105 --> 00:23:29.966]  It's here now.
[00:23:29.966 --> 00:23:39.193]  You don't need me to tell you 20 years ago or 10 years ago, and you've seen those videos where I say word for word what's coming, because it's a plan.
[00:23:39.193 --> 00:23:39.894]  It's a program.
[00:23:41.920 --> 00:23:47.104]  So here it is, an excellent piece, Mass Psychosis, at the end of the broadcast today.
[00:23:47.104 --> 00:23:47.925]  It's 20 minutes long.
[00:23:47.925 --> 00:23:48.866]  I'm going to air it.
[00:23:48.866 --> 00:23:53.169]  We're going to have it posted under the live show feed today at InfoWars.com.
[00:23:53.169 --> 00:23:57.413]  The masses have never thirsted after truth.
[00:23:57.413 --> 00:24:07.741]  They turn aside from evidence that is not to their taste, preferring to defer error, to defy error, if error seduces them.
[00:24:11.124 --> 00:24:20.791]  We're going to play some of that report coming up, but the issue here is that they said, stay at home, watch Netflix for 15 days to flatten the curve.
[00:24:20.791 --> 00:24:22.172]  Come on, it's a vacation.
[00:24:22.172 --> 00:24:23.272]  Be lazy.
[00:24:23.272 --> 00:24:30.057]  And as soon as you accepted that, boom, the mask of the symbol of slavery, then the shots come in.
[00:24:30.057 --> 00:24:32.138]  I said, hey, they plan to give you 10 shots a year.
[00:24:32.138 --> 00:24:33.860]  Here's the Rockefeller document.
[00:24:33.860 --> 00:24:34.860]  That's ridiculous.
[00:24:34.860 --> 00:24:36.461]  It's only two.
[00:24:36.461 --> 00:24:38.583]  Now they announced this week, 10 shots.
[00:24:39.418 --> 00:24:42.601]  Israel said five shots last week, ten shots today.
[00:24:42.601 --> 00:24:45.063]  I have the articles.
[00:24:45.063 --> 00:24:46.204]  It's all a blueprint.
[00:24:46.204 --> 00:24:47.024]  It's all a plan.
[00:24:47.024 --> 00:24:51.548]  And again, do you set a bear trap up just to hurt a bear's foot?
[00:24:51.548 --> 00:24:55.091]  No, you set it up so it clamps down.
[00:24:55.091 --> 00:24:57.232]  You're in a cabin, you know, a quarter mile away.
[00:24:57.232 --> 00:25:01.876]  You hear the bell dinging, because you also put a big cowbell on it.
[00:25:01.876 --> 00:25:04.738]  You hear the banging and, oh, the bear's caught.
[00:25:04.738 --> 00:25:07.781]  You then walk up and shoot the bear with a rifle from 50 yards away.
[00:25:08.450 --> 00:25:11.752]  We're now in the bear trap.
[00:25:11.752 --> 00:25:14.874]  And if you think sticking your foot in another bear trap is going to help you, you're wrong.
[00:25:14.874 --> 00:25:21.038]  We're going to have to collectively get our foot out of the bear trap.
[00:25:21.038 --> 00:25:23.940]  And if we don't do it, God help us.
[00:25:23.940 --> 00:25:30.504]  So, behavioral psychologists and psychiatrists admittedly run this whole thing.
[00:25:30.504 --> 00:25:32.986]  And they brag about it.
[00:25:32.986 --> 00:25:37.249]  And so, during the French Revolution, the Jacobin group
[00:25:37.836 --> 00:25:39.256]  Which was run by the Illuminati.
[00:25:39.256 --> 00:25:41.597]  This was in mainline history books.
[00:25:41.597 --> 00:25:43.178]  They went to a nine-day work week.
[00:25:43.178 --> 00:25:44.438]  They were going to abolish the family.
