[00:00:00.649 --> 00:00:01.814]  Tromethamine.
[00:03:21.259 --> 00:03:28.421]  Why has Pfizer changed the formulation of its COVID vaccine for children to include ingredient that stabilizes people suffering a heart attack?
[00:03:29.341 --> 00:03:35.423]  And then if you scroll down into this article, so you got to do a little work, it goes to an FDA briefing document.
[00:03:35.463 --> 00:03:36.203]  Here it is right here.
[00:03:37.783 --> 00:03:39.444]  Yeah, this is it right here.
[00:03:39.465 --> 00:03:46.545]   Pfizer-BioNTech COVID-19 vaccine for use in children five through 11 years old, dated October 26, 2021.
[00:03:46.545 --> 00:03:50.025]   So just before Halloween, they decided to sneak this through.
[00:03:50.025 --> 00:03:52.265]  Now, if you go down to page 14.
[00:03:52.265 --> 00:03:53.425]  And this is the incredible part.
[00:03:53.425 --> 00:03:54.425]  Yeah, this is it right here.
[00:03:54.425 --> 00:03:57.024]  So it talks about the vaccine formulation.
[00:03:57.024 --> 00:04:02.144]   To provide a vaccine with improved stability profile, the Pfizer-BioNTech COVID-19 vaccine uses,
[00:04:02.144 --> 00:04:05.745]   in children's five to 11, uses tromethamine buffer
[00:04:05.745 --> 00:04:10.625]   instead of phosphate-buffered saline, as used in previous formulation,
[00:04:10.625 --> 00:04:13.745]  and excludes sodium chloride and potassium chloride.
[00:04:14.255 --> 00:04:15.095]  So there it is.
[00:04:15.115 --> 00:04:16.496]  But that's not a buffer.
[00:04:17.317 --> 00:04:18.057]  It's not a buffer.
[00:04:18.137 --> 00:04:22.219]  It's a literal heart attack drug, and that's what they claim here.
[00:04:22.659 --> 00:04:23.580]  So you go to Drugs.com.
[00:04:23.600 --> 00:04:26.321]  So again, they're doing all this through changing definitions.
[00:04:26.461 --> 00:04:28.602]  Exactly, how they change the definition of what a vaccine is.
[00:04:28.642 --> 00:04:29.043]  But here it is.
[00:04:29.083 --> 00:04:32.864]  Tromethamine is used to prevent acid problems in the blood.
[00:04:33.325 --> 00:04:34.545]  That doesn't sound like a buffer.
[00:04:34.565 --> 00:04:37.407]  That doesn't sound like a saline solution when you think of saline solution.
[00:04:38.067 --> 00:04:43.590]  Now you go through, it says, well it's not for newborns, that's one thing it says, but this is interesting.
[00:04:43.650 --> 00:04:47.693]  Some people may have very bad and sometimes deadly side effects when taking a drug.
[00:04:48.393 --> 00:04:51.735]  So there it is right there and then it lists the different side effects that can happen.
[00:04:51.755 --> 00:04:54.897]  But this is what caught my eye more than anything.
[00:04:55.798 --> 00:05:00.320]  Medicine may cause tissue damage if drug links from the vein.
[00:05:01.421 --> 00:05:02.481]  Now why is that interesting?
[00:05:05.416 --> 00:05:08.418]  And this is from my understanding of when nurses give these shots.
[00:05:08.438 --> 00:05:18.425]  They're supposed to give them into the muscle, not into the vein, because if it gets in the vein, that's why you're having problems with these blood clots and other heart problems and other blood disorders that people are going through.
[00:05:19.065 --> 00:05:22.748]  So, and this says here, there's a problem if it leaks from the vein.
[00:05:22.808 --> 00:05:24.469]  It's supposed to be given intravenously.
[00:05:25.369 --> 00:05:27.551]  So they're mixing drugs that are contraindicated.
[00:05:27.851 --> 00:05:29.312]  Exactly.
[00:05:29.332 --> 00:05:32.134]  And you can look at what the side effects are here.
[00:05:33.604 --> 00:05:45.013]  You know, allergic reaction, rash, hive, blistered, peeling skin, trouble breathing, hoarseness, swelling, low blood sugar, shortness of breath, fever.
[00:05:45.833 --> 00:05:48.615]  But then, there's another little, you can go to more detail.
[00:05:49.096 --> 00:05:50.097]  Oh, and it has other ones.
[00:05:50.157 --> 00:05:54.700]  Cardiovascular, chemical phlebitis, venous spasms, cardiovascular.
[00:05:54.740 --> 00:05:57.162]  They say they're not frequently reported, but here they are.
[00:05:57.943 --> 00:05:59.344]  Excavation tissue damage.
[00:05:59.464 --> 00:06:01.906]  And again, Rob, I want to continue with this, but here's the big issue.
[00:06:02.566 --> 00:06:08.129]  They're putting another drug with another drug and then burying it in a document.
[00:06:08.169 --> 00:06:09.210]  And nobody's talking about it.
[00:06:09.270 --> 00:06:09.570]  Yeah, yeah.
[00:06:09.590 --> 00:06:10.130]  That's the big thing.
[00:06:10.170 --> 00:06:11.291]  Nobody's talking about this.
[00:06:11.391 --> 00:06:13.692]  It's not, you have to go search through the 14 pages.
[00:06:13.712 --> 00:06:18.755]  But it shows they blew up, like Fauci said in 2019, we're going to blow the whole system up, do whatever we want.
[00:06:18.915 --> 00:06:19.215]  That's true.
[00:06:19.235 --> 00:06:20.736]  It's just mad scientists doing whatever they want.
[00:06:20.896 --> 00:06:26.499]  And all they have to do is get a pandemic together and then that gives them the excuse to do whatever they want and just change the rules.
[00:06:26.559 --> 00:06:29.541]  And now they're putting very dangerous blood thinner in children.
[00:06:29.781 --> 00:06:33.980]   uh... have to sell you learn across the status you damage that that you're gonna
[00:06:33.980 --> 00:06:37.021]  see happen when they give this uh...
[00:06:37.021 --> 00:06:40.821]   vaccine to the kids right into their muscle if they're giving it to them in
[00:06:40.821 --> 00:06:45.819]   their muscle now that i have a hand again this is this comes out right at the end of october
[00:06:46.028 --> 00:06:49.769]  Here we are, 10-11 days later, and almost no coverage of this.
[00:06:49.869 --> 00:06:51.449]  Even Alex Jones didn't know about it.
[00:06:51.809 --> 00:06:53.770]  Showing how incredible the censorship level is.
[00:06:53.950 --> 00:06:54.230]  It is.
[00:06:54.430 --> 00:06:55.830]  And this is what's scary.
[00:06:55.850 --> 00:06:59.151]  So this came out today, or actually a few days ago.
[00:06:59.631 --> 00:07:02.112]  Majority of parents plan to get kids vaccinated again.
[00:07:02.132 --> 00:07:06.473]  So this is a propaganda piece to get people conditioned to go out and get their kids vaccinated.
[00:07:06.493 --> 00:07:07.353]  So they're saying, oh, it's over 300.
[00:07:07.593 --> 00:07:08.393]  Everybody's doing it.
[00:07:08.433 --> 00:07:09.514]  Yeah, everybody's going to do it.
[00:07:09.554 --> 00:07:15.637]   Meanwhile, They've banned the Pfizer shot in a bunch of countries because of blood clots and heart attacks, and Moderna in a bunch of countries.
[00:07:15.977 --> 00:07:18.519]  Three European countries under 30 said don't take it.
[00:07:19.119 --> 00:07:21.101]  France, Sweden, and one other just this week.
[00:07:21.341 --> 00:07:23.922]  But again, they're like, oh, the children love it, it's fine, America!
[00:07:24.122 --> 00:07:26.664]  They're literally attacking America with a bioweapon.
[00:07:26.964 --> 00:07:32.088]  And this sounds like something they got a group of doctors together and go, we're seeing all these blood clots, what do we do?
[00:07:32.128 --> 00:07:34.829]  Let's put a blood thinner or a heart medication into the machine.
[00:07:34.849 --> 00:07:35.850]  They're like, yeah, let's do it!
[00:07:36.630 --> 00:07:39.672]  And exactly, because that's because the average scientist wasn't involved.
[00:07:40.072 --> 00:07:51.657]  They think this is all good, so they're telling you, oh, we'll add a blood thinner, even though this makes the body create the spike protein for up to 15 months, we now know, that's causing this ongoing problem.
[00:07:51.997 --> 00:07:54.238]  So just to open, oh, we'll put a little bit of blood thinner in it.
[00:07:54.498 --> 00:07:55.978]  That'll fix it, which goes away in a day.
[00:07:56.278 --> 00:07:56.738]  Exactly.
[00:07:56.898 --> 00:08:00.319]  And so we're going to see, I think you're going to see a lot of kids go down soon.
[00:08:00.679 --> 00:08:03.000]  I've been searching for... There's already a bunch of deaths in Europe.
[00:08:03.060 --> 00:08:05.080]  There's kids, there's kids being put in the hospital.
[00:08:05.140 --> 00:08:09.301]  We just saw our first NFL player go to the hospital and he was double vaccinated.
[00:08:09.721 --> 00:08:12.442]  But you know, that doesn't... Judas Priest guy takes a shot, heart attack.
[00:08:12.722 --> 00:08:14.704]  Has a heart attack on stage, even wrote about it.
[00:08:14.744 --> 00:08:17.127]  During his guitar solo, he started feeling chest pains.
[00:08:17.647 --> 00:08:18.889]  And you can actually watch the video.
[00:08:18.909 --> 00:08:20.390]  He goes behind the stage at the end.
[00:08:20.430 --> 00:08:21.592]  He doesn't even stay up for the encore.
[00:08:21.612 --> 00:08:23.253]  Look at this, ladies and gentlemen.
[00:08:23.614 --> 00:08:24.775]  This is the smoking guy.
[00:08:25.175 --> 00:08:26.717]  This is the FDA document, Rob.
[00:08:26.737 --> 00:08:28.259]  Let's just... Yeah, let's go through it again.
[00:08:28.759 --> 00:08:28.960]  Yeah.
[00:08:29.000 --> 00:08:31.902]  Because this isn't a debate even about the shot or any of that.
[00:08:31.942 --> 00:08:38.149]  This is the FDA saying, hey, we just added this for children and they buried it in an article and no one's picked it up.
[00:08:38.229 --> 00:08:39.330]  I mean, you talk about fine print.
[00:08:39.710 --> 00:08:40.951]  Devil's in the details, man.
[00:08:41.051 --> 00:08:41.432]  Right there.
[00:08:41.452 --> 00:08:41.692]  Page 14.
[00:08:41.732 --> 00:08:44.194]  Look, there's page 14 right there.
[00:08:44.234 --> 00:08:45.516]  So you can go get it yourself.
[00:08:46.411 --> 00:08:49.712]  Read the document yourself and go to it, right there, Vaccine Formulation.
[00:08:50.112 --> 00:08:55.893]  And so there it makes the change, right there, to the... And you know Facebook and Twitter and Google are going to block this.
[00:08:56.253 --> 00:08:56.674]  Oh yeah, totally.
[00:08:56.694 --> 00:09:00.575]  I mean, they are literally... They're going to say this is vaccine misinformation and you can't put this out.
[00:09:00.595 --> 00:09:01.815]  They are murdering criminals.
[00:09:04.636 --> 00:09:08.216]  The head of Pfizer says he wants everyone arrested who criticizes him.
[00:09:08.277 --> 00:09:11.497]  And here is the smoking gun from the FDA's own website.
[00:09:11.517 --> 00:09:13.718]  You know, we don't just believe this on sites.
[00:09:14.338 --> 00:09:16.039]  We went to the FDA website.
[00:09:16.099 --> 00:09:17.079]  Any of you can do this.
[00:09:17.840 --> 00:09:18.460]  This is real.
[00:09:18.660 --> 00:09:19.820]  Yeah, it's truly disgusting.
[00:09:19.840 --> 00:09:27.664]  So you really got to ask yourself, what person in their right mind would inject this into their children when there have been no safety studies of the original vaccine?
[00:09:28.324 --> 00:09:30.225]  And now they've just added this new thing into it.
[00:09:30.245 --> 00:09:31.826]  And they're just like, well, we're going to give this to kids.
[00:09:32.026 --> 00:09:39.229]  And they're calling it a very strong, very toxic, very dangerous anticoagulation drug, which has never been approved in children before.
[00:09:40.069 --> 00:09:40.710]  That's another point.
[00:09:40.750 --> 00:09:51.818]  And that makes sense why I saw the headline separately that this drug two weeks ago was approved for children when it wasn't, but not in the vaccine.
[00:09:52.039 --> 00:09:55.261]  But they had to approve it for children just to do that.
[00:09:55.301 --> 00:09:59.945]  So this is something you would give to somebody singularly without anything else and you give it to them into the vein.
[00:10:00.445 --> 00:10:06.611]  When, from my understanding, they give this vaccine into the muscle tissue so it doesn't travel through the body, but that's what we're seeing.
[00:10:06.711 --> 00:10:10.274]  Yeah, the indication says don't do it, so they're not just adding this illegally.
[00:10:10.575 --> 00:10:12.797]  They're going against the indications on the drug.
[00:10:12.897 --> 00:10:13.357]  Exactly.
[00:10:13.617 --> 00:10:16.400]  And then you're going to see the tissue damage and the other things that happen.
[00:10:17.081 --> 00:10:22.445]  Ladies and gentlemen, we have been transformed into nothing more now than lab rats.
[00:10:23.566 --> 00:10:26.869]  And listen, my wife was at home at dinner with my four-year-old daughter.
[00:10:26.950 --> 00:10:28.351]  I wanted to be home at six o'clock.
[00:10:28.571 --> 00:10:32.895]  I'm up here at eight o'clock at night because ladies and gentlemen, this is a war on humanity.
[00:10:33.135 --> 00:10:34.236]  This is serious.
[00:10:34.837 --> 00:10:41.403]  And the fact that they're censoring things so bad now that it took us 10 days to learn of this is scary as hell.
[00:10:41.423 --> 00:10:48.870]  So please, please, please understand when they're on TV and the FDA board members like, well, they got to give it to the kids to see if it works or not.
[00:10:49.530 --> 00:10:58.333]  That literally, we have animal rights for rats, we have animal rights for cows and pigs and other animals, and I think that's fine, that they're not being treated inhumanely.
[00:10:58.573 --> 00:11:02.234]  We have it for monkeys, for chimpanzees, for apes.
[00:11:02.574 --> 00:11:07.415]  Our children deserve the same amount of protection, at least as a chimpanzee, okay?
[00:11:07.736 --> 00:11:27.427]   We are literally all in a giant, open-air medical laboratory now, and there's so many facets to this, but the bottom line, Is that they have put a dangerous blood thinner in a vaccine that is contraindicated and they are doing it in plain view and there's no coverage of it.
[00:11:27.447 --> 00:11:29.388]  So I'll be covering this tomorrow at 11 a.m.
[00:11:29.448 --> 00:11:30.769]  with my syndicated radio show.
[00:11:31.690 --> 00:11:46.761]   This is so damn important, ladies and gentlemen, that you research this and you take this video and you share it on your email, your text message, your word of mouth to all the parents you know so they know about this because Obviously, again, the higher-ups knew this was a blood clotting agent, they knew it.
[00:11:47.362 --> 00:11:53.466]  But then the scientists and the people in the agency were like, whoa, we are having massive heart attacks and problems and myocarditis.
[00:11:53.786 --> 00:11:57.829]  Well, okay, we'll put a blood thinner in it, like put a Band-Aid on a gunshot wound.
[00:11:58.449 --> 00:12:08.496]  And so this is obviously, people are like, oh God, so this admits, this confirms they know about the heart attacks and the myocarditis, the blood clots.
[00:12:09.349 --> 00:12:16.191]  This is not a... I love how they put it in there as a... It's like saying, oh my car takes gasoline so I put salt water in it.
[00:12:16.971 --> 00:12:25.833]  I mean, this isn't what you do for a buffering agent replacing saline in the shot with a large portion of an anti-clotting drug.
[00:12:26.093 --> 00:12:29.154]  What they say is in there is the entire base of the shot.
[00:12:30.094 --> 00:12:35.355]  The ocean in which the other particles swim is a anti-blood clotting agent.
[00:12:35.455 --> 00:12:39.376]  I mean, folks, this is the biggest news yet, and every week or so it gets worse.
[00:12:39.656 --> 00:12:40.216]  It gets crazier.
[00:12:40.636 --> 00:12:42.236]  Schools are closed all over the U.S.
[00:12:42.977 --> 00:12:48.918]  Local news is reporting it because a large portion of teachers became deathly ill when they were made to take booster shots.
[00:12:49.158 --> 00:12:49.758]  Look at this headline.
[00:12:49.798 --> 00:12:53.599]  A large number of our staff had negative reactions to the COVID booster shot.
[00:12:53.919 --> 00:12:54.539]  See, it's the booster.
[00:12:54.559 --> 00:12:55.579]  It gets worse the more they give you.
[00:12:56.224 --> 00:12:59.646]  At a clinic over the weekend, resulting in absences today.
[00:13:00.186 --> 00:13:11.653]  As you may be aware, there is already a substantive teacher staff shortage throughout the state of Michigan, further complicating the availability to cover those absences.
[00:13:12.053 --> 00:13:15.175]  Please note, we notified parents as quickly as we could.
[00:13:15.235 --> 00:13:16.336]  Thank you for your understanding.
[00:13:16.935 --> 00:13:21.641]  School shuts down after large number of staff suffer adverse reactions from COVID booster jab.
[00:13:21.922 --> 00:13:29.030]  Then when I actually went and checked in Michigan, it's a bunch of school districts are saying the same thing on their websites, but no one's picking it up.
[00:13:29.090 --> 00:13:35.539]  It got picked up one place in Michigan, ABC News 12, and they bury it in the article.
[00:13:36.204 --> 00:13:41.146]  That the large portion, a large group got sick, and then other schools got sick.
[00:13:42.347 --> 00:13:43.688]  How huge is that?
[00:13:44.128 --> 00:13:45.609]  This is the takedown of the West, folks.
[00:13:45.749 --> 00:13:47.369]  Only Western countries are being hit by this.
[00:13:47.770 --> 00:13:48.770]  This is depopulation.
[00:13:48.990 --> 00:13:49.210]  All right.
[00:13:49.911 --> 00:13:52.212]  The articles at Band.Video, FreeWorldNews.TV.
[00:13:52.252 --> 00:13:55.193]  It's up to all of you to share this and save the children.
[00:13:55.232 --> 00:14:02.232]   My God, if you don't care about saving yourself, at least save the children.
[00:14:03.232 --> 00:14:09.991]   If a hurricane is smashing into the Gulf Coast, and I make the prediction that it's going
[00:14:09.991 --> 00:14:12.032]  to cause flooding, that's not a prediction.
[00:14:12.632 --> 00:14:15.733]  You know it's a hurricane, you know it's got a lot of water it's going to dump, it's going to cause flooding.
[00:14:16.212 --> 00:14:21.293]   So it wasn't a prediction 20 months ago when I said the UN order to lock down the world
[00:14:21.293 --> 00:14:24.932]   economy is going to cause a chain reaction that's going to cause supply chain problems
[00:14:24.932 --> 00:14:28.052]  for years, that's going to starve tens of millions to death.
[00:14:28.052 --> 00:14:29.052]  And now it all happened.
[00:14:29.052 --> 00:14:33.251]   25 million extra dead, hundreds of millions on the verge of starvation, and the UN that
[00:14:33.251 --> 00:14:35.411]  ordered it is running around being the savior.
[00:14:35.411 --> 00:14:38.551]   Listen, when the first world collapses, the third world dies.
[00:14:38.551 --> 00:14:40.411]  And now the first world is becoming the third world.
[00:14:40.411 --> 00:14:41.812]  So listen to me now.
[00:14:41.812 --> 00:14:45.091]   We've got the highest quality storable foods, the lowest price you're going to find, ready
[00:14:45.091 --> 00:14:48.611]  to ship to you right now at 10% off until November 15th.
[00:14:48.611 --> 00:14:50.812]  But after that, the prices are going up.
[00:14:50.832 --> 00:14:52.893]  We cannot suppress prices anymore.
[00:14:53.333 --> 00:15:00.538]  So protect yourself, get high-quality, storable food, so you're self-sufficient, and fund the InfoWar today at 360Win at InfoWarStore.com.
[00:15:00.758 --> 00:15:01.719]  It's time to get your food!
