[00:00:00.000 --> 00:00:13.220]   *fart* *outro*
[00:04:16.125 --> 00:04:18.125]  There was plenty of daylight.
[00:04:18.109 --> 00:04:22.292]  Brooks could see the women and children he was plowing over with the SUV.
[00:04:22.633 --> 00:04:33.181]  Brooks passed several streets that could have taken him far away from the crowd, and Brooks could have stopped the vehicle at any moment, or at the very least, driven it away from the crowd.
[00:04:33.381 --> 00:04:38.825]  But he kept on going, disregarding the innocent American lives that were beneath him.
[00:04:39.145 --> 00:04:40.206]  John Bowne reporting.
[00:04:40.586 --> 00:04:43.228]  InfoWars, tomorrow's news, today.
[00:04:44.309 --> 00:04:48.892]  There is no doubt that the Waukesha attack is a terror attack.
[00:04:48.912 --> 00:04:51.014]  We have all the evidence of that coming up.
[00:04:51.094 --> 00:04:54.436]  Five dead, more than 20 seriously wounded, including children.
[00:04:54.916 --> 00:04:58.499]  And the left is actually celebrating, saying, good, kill all the white people.
[00:04:58.519 --> 00:04:59.940]  It's mainly white people saying that.
[00:05:01.461 --> 00:05:05.004]  We have launched the most important sale of the year.
[00:05:05.364 --> 00:05:10.187]  Because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[00:05:10.888 --> 00:05:21.924]   So, Right now, the real Black Friday sale is beginning, and it's only going to run until the end of the month, and that's now only six, seven days.
[00:05:22.665 --> 00:05:26.631]  InfoWars store official Black Friday special has arrived.
[00:05:27.452 --> 00:05:29.013]  Ladies and gentlemen, people love it.
[00:05:29.053 --> 00:05:29.853]  It's our bestseller.
[00:05:30.274 --> 00:05:31.854]  Vitamin Mineral Fusion.
[00:05:31.994 --> 00:05:38.078]  All the vitamins, all the minerals, all the key amino acids, everything you need for your immune system and your body.
[00:05:38.098 --> 00:05:38.918]  And it tastes great.
[00:05:39.498 --> 00:05:40.639]  And it funds the InfoWar.
[00:05:41.339 --> 00:05:45.822]  It is back in stock 40% off with free shipping and double Patreon points.
[00:05:46.242 --> 00:05:48.643]  And so much more at InfoWarStore.com.
[00:05:48.883 --> 00:05:52.425]  It's only six, seven days left in the biggest sale of 2021.
[00:05:53.686 --> 00:05:54.426]  Bet on freedom.
[00:05:54.546 --> 00:05:55.347]  Bet on InfoWars.
[00:05:55.427 --> 00:05:57.148]  Bet on yourself and your great products.
[00:05:57.168 --> 00:06:05.491]  The only way you fail is not taking action at InfoWarsStore.com Waging war on corruption.
[00:06:06.012 --> 00:06:11.254]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:06:15.516 --> 00:06:25.034]   Remember earlier in the year, In Seattle, Washington, Black Lives Matter was blocking a major highway, just ran out at 1 a.m.
[00:06:25.094 --> 00:06:30.358]  in front of vehicles going 80 miles an hour, and a couple white women were run over and killed.
[00:06:30.958 --> 00:06:35.041]  And the media said a white supremacist did it, even though they knew it was a black man.
[00:06:36.078 --> 00:06:40.860]  Who was just getting on the highway and didn't see the crowd of people running out in front of him.
[00:06:41.260 --> 00:06:42.121]  Didn't do it on purpose.
[00:06:42.741 --> 00:06:44.442]  Like deer run out in front of your car.
[00:06:44.782 --> 00:06:45.642]  I've hit deer before.
[00:06:45.702 --> 00:06:46.883]  Almost got killed.
[00:06:46.923 --> 00:06:49.264]  Certainly killed the deer I hit because it just jumps out in front of you.
[00:06:49.644 --> 00:06:50.285]  Remember that?
[00:06:53.146 --> 00:06:55.827]  Oh my gosh, white supremacists ran over the people!
[00:06:55.907 --> 00:06:57.408]  Oh my god, Black Lives Matter!
[00:06:58.828 --> 00:07:06.644]   But in Waukesha, A man is on his Instagram and on his Twitter and everywhere saying, I'm going to basically kill white people.
[00:07:07.004 --> 00:07:08.105]  We need to go to war with them.
[00:07:08.125 --> 00:07:10.566]  He shoots rap videos about how he's going to do it.
[00:07:10.586 --> 00:07:17.949]  He leaves leftist Milwaukee to go to the small town that's known to be conservative of Waukesha.
[00:07:19.030 --> 00:07:22.812]  And he runs over more than 30 people, killing five people and targeting children.
[00:07:25.573 --> 00:07:30.576]  And there's video of him through the window doing it while he's firing the gun out the window at people.
[00:07:32.503 --> 00:07:37.546]  Because he was mad about a white supremacist terrorist the president told us about.
[00:07:39.688 --> 00:07:40.068]  Remember?
[00:07:41.409 --> 00:07:42.570]  That's right, Kyle Rittenhouse.
[00:07:44.531 --> 00:07:46.493]  And by the way, I know why Kyle Rittenhouse is doing this.
[00:07:46.513 --> 00:07:55.459]  He's a nice guy and he doesn't want to be hunted and killed the rest of his life, but he's done interviews saying, you know, I support BLM and I think we should reform the justice system.
[00:07:58.151 --> 00:08:03.392]  Why, just because you saw the left and the George Soros justice system try to wrongfully put you in prison?
[00:08:04.752 --> 00:08:11.754]  This guy, who they've now arrested, who the media's been battling to cover up his identity, I'll say it's him.
[00:08:11.794 --> 00:08:12.954]  You can see him through the window.
[00:08:12.994 --> 00:08:13.994]  There's still shots of it.
[00:08:14.294 --> 00:08:15.854]  Try to pull those up, guys, if you can.
[00:08:17.375 --> 00:08:17.975]  Team of viewers.
[00:08:22.576 --> 00:08:29.037]   This guy, There's a shot of him right there through the window.
[00:08:30.479 --> 00:08:38.346]  This individual shot rap videos basically bragging about this type of activity.
[00:08:39.487 --> 00:08:47.715]  And much of the left is on Twitter and all over the place defending him and saying, well, Kyle Rittenhouse is a cold-blooded murderer.
[00:08:48.656 --> 00:09:00.185]   And so tit for tat, Randomly picking a more conservative, more white town, so you can then drive down the road and try to kill as many people as you can.
[00:09:00.546 --> 00:09:04.829]  And it was out within an hour of the terrible terrorist attack happening last night.
[00:09:06.811 --> 00:09:18.821]  The footage from above of him driving through people on purpose, getting to the largest mass of the crowd he could, trying to kill as many people as he could.
[00:09:20.629 --> 00:09:26.491]  And the media would not touch that footage, and they would not say what color the person was.
[00:09:26.991 --> 00:09:56.204]   You know that if it had been a white person, you would be hearing, it's the end of the world, all whites are terrorists, we've got to have total communism in America, we've got to have a race war, but because it's another black person or Islamic, Attacking a group of who they believe to be white people, in a huge racial attack, a terror attack, a racist terror attack, the media is in overdrive trying to cover it up.
[00:09:57.384 --> 00:10:00.425]  Who does the Justice Department say the number one terror threat in America is?
[00:10:00.625 --> 00:10:17.046]   White men, who statistically have one of the lowest crime rates there is out there, and the attacks on whites are 20 to 1 in Chicago, 10 to 1 nationwide, And whites are hunted and targeted in this country now.
[00:10:18.249 --> 00:10:24.183]  And that is done by the left and pushed by the ruling elite who want to divide us all and have us kill each other.
[00:10:27.383 --> 00:10:32.064]  And they're importing new giant third-world populations who can then be brainwashed into tribalism.
[00:10:32.564 --> 00:10:38.026]  That's where they came from in their countries, where they would kill somebody the same color as them, but all because they were a different tribe.
[00:10:38.386 --> 00:10:45.988]  And you bring people in from tribalism all over the world, and now they're a Democrat tribe, and now they're going to go out and they're going to kill the evil white people.
[00:10:46.718 --> 00:10:48.900]  This is how you take the country down.
[00:10:49.501 --> 00:10:56.387]  This is how you resegregate the nation as Democrats are doing on ESPN and MSNBC.
[00:10:56.867 --> 00:10:57.988]  We played the clips yesterday.
[00:10:58.829 --> 00:10:59.930]  It's a memo that comes down.
[00:11:01.004 --> 00:11:05.346]  They go, we're only having black people on this show now because no whites are allowed to be here.
[00:11:05.707 --> 00:11:07.147]  We're going to have our own little space here.
[00:11:07.508 --> 00:11:09.529]  That's reintroducing segregation.
[00:11:10.309 --> 00:11:13.551]  So groups can be divided and put into their own group and then programmed.
[00:11:13.871 --> 00:11:22.716]  And this is all from big, ruthless mega corporations running the worst slave factories on the planet around the world with Americans living in this bubble.
[00:11:24.457 --> 00:11:24.917]  With what?
[00:11:25.237 --> 00:11:28.479]  One third of Americans never leave the county they live in.
[00:11:28.659 --> 00:11:30.360]  Almost half never leave the state.
[00:11:33.353 --> 00:11:36.914]  I mean just a decade ago it was half of Americans never leave the U.S.
[00:11:36.974 --> 00:11:39.135]  Now it's half of them don't leave their state.
[00:11:39.575 --> 00:11:46.558]  People are inside watching television thinking whatever the news tells them is the reality when it's not.
[00:11:46.938 --> 00:11:52.800]  CNN last night ran the headline hours after this happened saying there's nothing more frightening today than an angry white man.
[00:11:54.880 --> 00:12:03.039]   And they show Carl Rittenhouse that Went out and tried to fill a vacuum the police wouldn't fill because they were too busy getting on their knees and laying on their bellies.
[00:12:03.399 --> 00:12:04.360]  The Black Lives Matter.
[00:12:05.300 --> 00:12:10.004]  And now Kyle, at the behest of his lawyers, wanting to be left alone and wanting to end all this.
[00:12:10.044 --> 00:12:10.605]  And I understand.
[00:12:10.925 --> 00:12:13.867]  He's like, hey, Olive Branch, I support BLM, be nice.
[00:12:14.228 --> 00:12:15.169]  Let's all be friends.
[00:12:15.209 --> 00:12:18.691]  Well, Kyle, you see how friendly George Soros' organization is.
[00:12:19.272 --> 00:12:32.948]   And make no mistake, George Soros, the Democratic Party, and the insiders finance both sides of the Charlottesville event to try to collide two groups together and have a bunch of bystanders get hurt so they can bring in tyranny.
[00:12:33.868 --> 00:12:44.932]  And George Soros has financed Antifa and BLM on record, and so has the big Hollywood elite, and so has big tech, and there's blood all over their hands for what you just saw in Waukesha.
[00:12:46.353 --> 00:12:47.613]  This is their divide and conquer.
[00:12:47.633 --> 00:12:52.015]  And I believe Americans are smart enough, a majority of us are, of every color.
[00:12:52.919 --> 00:12:58.279]   To see how we're being manipulated, to see how we're being played, to see how this is leading us in destruction,
[00:12:58.279 --> 00:13:04.198]   when we should be unified against the New World Order that's coming after all of us with their poison shots.
[00:13:04.198 --> 00:13:11.319]   And coming after all of us with their lockdowns, and coming after all of us with their globalist tyranny.
[00:13:11.319 --> 00:13:18.360]  So, I have this...
[00:13:18.360 --> 00:13:28.358]  [BLANK_AUDIO]
[00:13:19.440 --> 00:13:19.840]  Creeps.
[00:13:20.461 --> 00:13:20.941]  Rap sheet.
[00:13:21.882 --> 00:13:22.843]  Child sex trafficking.
[00:13:22.883 --> 00:13:23.563]  It's always the same.
[00:13:25.425 --> 00:13:25.845]  Pimping.
[00:13:27.126 --> 00:13:27.647]  Sex slaves.
[00:13:27.927 --> 00:13:28.948]  He brags about it on videos.
[00:13:28.988 --> 00:13:29.708]  We have the videos.
[00:13:34.252 --> 00:13:35.013]  Let's get to it later.
[00:13:36.758 --> 00:13:42.566]  And then I've got the media defending him, and then I've got what led up to this on CNN, MSNBC, ABC News.
[00:13:43.006 --> 00:13:44.428]  White people are inherently evil.
[00:13:44.708 --> 00:13:46.651]  They kill black people with impunity.
[00:13:46.971 --> 00:13:49.274]  Thanksgiving is about murdering black people.
[00:13:50.219 --> 00:13:57.404]  He doesn't go up to Chicago to try to stop 99% of the crime that blacks being killed as other blacks.
[00:13:57.765 --> 00:14:00.006]  He doesn't go up there with the 2,000 plus a year killed.
[00:14:00.427 --> 00:14:01.587]  No, no, no, no, no, no, no.
[00:14:02.228 --> 00:14:11.375]  He just sits there and imitates MTV and puts out his gangster thug rap, thinking that'll make him cool and make him some money.
[00:14:12.773 --> 00:14:18.075]  And then he gets all whacked out, probably on amphetamines or something, and says, screw it!
[00:14:18.815 --> 00:14:20.236]  I'm gonna go kill some white people.
[00:14:20.436 --> 00:14:23.217]  In fact, he says that on his Instagram and on his Twitter.
[00:14:23.257 --> 00:14:27.539]  He says, somebody just needs to start taking these people out, but nobody's got the courage.
[00:14:28.019 --> 00:14:28.779]  Oh, we've got it!
[00:14:28.839 --> 00:14:29.799]  You've got the courage!
[00:14:29.839 --> 00:14:30.820]  What a big man!
[00:14:31.460 --> 00:14:45.690]  A bunch of people out there at a yearly fall parade, people out having fun, seeing their neighbors, dancing around, cheerleaders, little kids, and here you come with your cool red car to run everybody over.
[00:14:46.490 --> 00:14:47.651]  Aren't you a big hero?
[00:14:47.971 --> 00:14:48.872]  Aren't you a big man?
[00:14:48.892 --> 00:14:50.633]  Look at them running over those bodies.
[00:14:51.354 --> 00:14:53.655]  Boom, boom, boom, running over, running over, running over.
[00:14:56.597 --> 00:14:57.118]  What a hero.
[00:14:59.090 --> 00:15:05.877]  Meanwhile, Carl Rittenhouse is out there trying to get people's medical attention and is chased down by a pedophile and other known criminals.
[00:15:06.899 --> 00:15:09.201]  They try to kill him and he's the white supremacist.
[00:15:09.241 --> 00:15:14.046]  No, he didn't shoot those three white men because he was a white supremacist.
[00:15:15.014 --> 00:15:24.136]  He was anti-tyranny and anti-mob, but the black brainwashed zombie by the globalists, he did it because he was a racist.
[00:15:24.417 --> 00:15:33.379]  He did it because it was racial, just like that popped up meth head white kid did in the Carolinas at a black church and killed nine people.
[00:15:33.839 --> 00:15:36.080]  And when that happened, every white person was guilty.
[00:15:36.120 --> 00:15:36.900]  We were all evil.
[00:15:37.160 --> 00:15:40.541]  We had to do exactly what the Democrats said for absolution, which wasn't true.
[00:15:41.181 --> 00:15:43.843]  So no, are all black people guilty for what this monster did?
[00:15:43.923 --> 00:15:44.123]  No.
[00:15:44.543 --> 00:15:45.504]  But I'll tell you who's guilty.
[00:15:45.544 --> 00:15:52.088]  George Soros and CNN and MSNBC and everybody else saying America's inherently evil and whites are inherently evil.
[00:15:52.327 --> 00:15:56.087]   It's a bunch of mega banks that stole the country trying to get us all to kill each other
[00:15:56.087 --> 00:15:59.927]   so we don't get together and send all them like Bill Gates to prison.
[00:15:59.927 --> 00:16:17.408]   We've got the big Black Friday sale is finally here and score wide free shipping double pay three points until the
[00:16:17.408 --> 00:16:18.967]  end of the month.
[00:16:19.209 --> 00:16:21.494]  And two of our best-selling products are back in stock.
[00:16:21.614 --> 00:16:23.037]  Vitamin Mineral Fusion.
[00:16:23.962 --> 00:16:30.767]  It has all the vitamins, all the minerals, a bunch of key cofactors and amino acids for your immunity, for your entire body, for everything.
[00:16:30.787 --> 00:16:33.229]  It is a liquid multivitamin mineral and people love it.
[00:16:33.249 --> 00:16:34.990]  It's been sold out for months and months and months.
[00:16:35.010 --> 00:16:37.892]  We've got a limited supply in because we won't cut the quality of the product.
[00:16:37.913 --> 00:16:39.394]  We can only get so much of the ingredients.
[00:16:39.414 --> 00:16:41.135]  So, it's going to sell out very, very quickly.
[00:16:41.155 --> 00:16:44.377]  But despite that, it's 40% off and in fullwarrestore.com.
[00:16:44.437 --> 00:16:47.620]  Then we have Prostagard with saw palmetto and so much more.
[00:16:47.960 --> 00:16:50.262]  Sold out for almost nine months.
[00:16:50.702 --> 00:16:51.463]  It's back in stock.
[00:16:52.003 --> 00:16:54.845]  Because the supply chain breakdowns could not get it in.
[00:16:55.005 --> 00:16:58.267]  So good for not just your prostate, but all your glands, your whole body.
[00:16:58.327 --> 00:16:59.448]  It's great for women as well.
[00:16:59.728 --> 00:17:03.670]  It's just that Salt Palmetto's documented to massively cut cancer risk in the prostate.
[00:17:03.690 --> 00:17:04.391]  Look it up yourself.
[00:17:04.471 --> 00:17:06.872]  Imagine what else it does for the rest of your body.
[00:17:07.032 --> 00:17:10.434]  Infowarsstore.com and TurboForce.
[00:17:10.454 --> 00:17:14.317]  10 hours on average of clean, good energy without the big comedown.
[00:17:14.737 --> 00:17:14.997]  It's 40% off.
[00:17:16.792 --> 00:17:17.853]  And then fullwarrestore.com.
[00:17:17.893 --> 00:17:22.436]  And then we have what we believe, there may be some stronger, the highest level curcuminoid.
[00:17:22.456 --> 00:17:26.139]  We went to the top manufacturer of turmeric stuff.
[00:17:26.199 --> 00:17:28.241]  We private labeled an even stronger one.
[00:17:28.261 --> 00:17:29.942]  Theirs was a 75 curcuminoid.
[00:17:30.222 --> 00:17:31.263]  We said, what's the highest you can do?
[00:17:31.303 --> 00:17:31.983]  They said, if you pay more, 95%.
[00:17:33.344 --> 00:17:34.665]  We had it tested separate firms.
[00:17:35.485 --> 00:17:36.585]  95% curcuminoid.
[00:17:36.625 --> 00:17:38.006]  That's the active ingredient in it.
[00:17:38.286 --> 00:17:40.587]  That's why it works so much better than other turmeric formulas.
[00:17:40.727 --> 00:17:44.868]  InfowarStore.com or 888-253-3139.
[00:17:45.148 --> 00:17:46.929]  And Ultimate Bone Broth, new and improved.
[00:17:47.429 --> 00:17:49.790]  Also so good for your immune system and whole body and joints.
[00:17:50.069 --> 00:17:54.069]   And for people that want to be active, it's back in stock as well.
[00:17:54.069 --> 00:18:01.328]  [BLANK_AUDIO]
[00:18:01.328 --> 00:18:06.869]   Today, anyone who is awake can clearly see why Alex Jones was de-platformed.
[00:18:07.000 --> 00:18:12.722]  InfoWars was right above the target, and the globalists were a year out from launching their attack.
[00:18:13.282 --> 00:18:18.463]  Three years later, and InfoWars is still thriving, thanks to the support of our audience.
[00:18:18.963 --> 00:18:24.545]  But we are now facing the fiercest battle yet, and we need you to help save InfoWars.
[00:18:25.245 --> 00:18:32.046]  The enemies entrenched within our government are breaking the justice system more than ever in their attack against Alex Jones.
[00:18:32.647 --> 00:18:36.467]  No crime, no evidence, no jury, no trial?
[00:18:36.927 --> 00:18:37.648]  We don't think so.
[00:18:38.168 --> 00:18:42.168]  They want to kill the messenger in a kangaroo trial with their new U.S.S.A.
[00:18:42.749 --> 00:18:43.649]  But we won't let them.
[00:18:44.269 --> 00:18:46.349]  Alex Jones will have his day in court.
[00:18:46.969 --> 00:18:54.231]  With your support, go to SaveInfoWars.com now and give your donation to save the First Amendment.
[00:18:55.191 --> 00:18:58.812]  Save InfoWars.com and God bless America.
[00:19:01.093 --> 00:19:18.720]  For a fraction of the cost of your cable bill or your phone bill, you could get so many of the incredibly powerful products at InfoWars.com that will enrich your life, that will make your body so much more healthy, that will really boost and supercharge your immune system.
[00:19:19.280 --> 00:19:20.781]  But that's only part of it.
[00:19:21.381 --> 00:19:28.244]   You're also then funding an organization of maniacs that will not back down in the face of intimidation
[00:19:28.244 --> 00:19:30.324]  and attacks, that will not be slaves.
[00:19:30.324 --> 00:19:34.324]   People that think just like you and are willing to, quite frankly, die for freedom.
[00:19:34.324 --> 00:19:38.163]   I want to stay in the fight against the federal border. So it's very simple. Everybody needs
[00:19:38.163 --> 00:19:41.203]   coffee. We got some of the best coffee you're going to find anywhere at a great deal.
[00:19:41.203 --> 00:19:42.962]  Everybody loves turmeric.
[00:19:43.129 --> 00:19:44.790]  Knows how anti-inflammatory it is.
[00:19:45.150 --> 00:19:46.471]  We've got liquid and powder.
[00:19:46.491 --> 00:19:49.233]  95% humanoid in the body's powder.
[00:19:49.614 --> 00:19:50.674]  Nobody's got something like that.
[00:19:51.155 --> 00:19:52.316]  And it goes on and on.
[00:19:52.416 --> 00:19:54.317]  So, do your shopping at InfoWars.
[00:19:54.737 --> 00:20:00.522]  Do your shopping at InfoWarsTour.com and fund the Second American Revolution, 1776 worldwide.
[00:20:02.403 --> 00:20:08.241]   Leading a frontal assault on the lies of the New World Order. It's Alex Jones
[00:20:08.241 --> 00:20:26.043]   All right, I could sit here for the next four hours five hours ten hours and
[00:20:27.202 --> 00:20:33.643]   Just show you examples of the left engaging in total criminal activity not just here, but all over the planet
[00:20:33.643 --> 00:20:34.903]  (upbeat music)
[00:20:34.909 --> 00:20:49.015]  I mean, Chuckie Schumer came out last night and repeated it today in tweets and said, oh, don't worry, we're going to pass our infrastructure bill, or we passed our infrastructure bill, and so people won't come off the highway and accidentally run people over.
[00:20:50.247 --> 00:20:53.511]  That's just him cynically throwing that in everybody's face.
[00:20:54.452 --> 00:20:59.257]  Because he is the type of individual at the very top of the power structure that is directing this.
[00:20:59.898 --> 00:21:04.924]  He is a true monster by every stretch of the word.
[00:21:06.706 --> 00:21:17.970]   And I've just got a Soros-funded DA John Chisholm, and I've got his Harvard dissertation here and current papers he writes for Harvard.
[00:21:18.591 --> 00:21:20.493]  So he's a leader amongst these people.
[00:21:21.053 --> 00:21:26.879]  Just like the DA here in Austin lets armed robbers that pistol-whip people out of jail on $1,000 bonds.
[00:21:27.659 --> 00:21:29.381]  They go out and rob 10 more people the next day.
[00:21:29.401 --> 00:21:30.081]  That actually happened.
[00:21:31.723 --> 00:21:34.726]  Well, he's the guy that let this guy out.
[00:21:36.041 --> 00:21:43.464]  On all these weapons charges and assault charges, and again, he was already in jail for sex trafficking minors.
[00:21:44.725 --> 00:21:46.425]  You can't make all this up, okay?
[00:21:49.207 --> 00:21:56.730]  As a prosecutor, I'm committed to substantive reform that affirms procedural justice, proportional outcomes, and true public health and safety.
[00:21:57.450 --> 00:22:08.759]   In a paper released last month, MKECO's Chief Public Defender, I am It proposed a paradigm for effective reform and he writes basically a big George Soros treatise.
[00:22:09.700 --> 00:22:13.803]  Papers for the extensive session on community corrections.
[00:22:17.266 --> 00:22:18.767]  Again, you can't make this up.
[00:22:19.827 --> 00:22:21.228]  The guy at the Parkland shooting.
[00:22:21.908 --> 00:22:23.730]  For two years said he was going to shoot and kill everybody.
[00:22:23.770 --> 00:22:24.811]  They called him the school shooter.
[00:22:25.131 --> 00:22:26.792]  He was kicked out of school for it at the time.
[00:22:27.512 --> 00:22:30.174]  And then I had students on saying he said he was going to come kill everybody.
[00:22:30.194 --> 00:22:30.955]  They wouldn't stop him.
[00:22:31.175 --> 00:22:34.617]  And the police stood down and waited outside for ten minutes while he killed everybody.
[00:22:35.178 --> 00:22:38.000]  And CNN said those were actors I had on and were fake.
[00:22:39.281 --> 00:22:40.562]  And that I said nobody died.
[00:22:40.722 --> 00:22:41.322]  Didn't say that.
[00:22:41.862 --> 00:22:43.424]  But that's how criminal these gribs are.
[00:22:44.204 --> 00:22:51.289]  No, he was part of the same type program where he had engaged in assaults, robberies, home invasions.
[00:22:51.369 --> 00:22:52.009]  Go look it up!
[00:22:54.291 --> 00:22:55.972]  Because his last name was Cruz.
[00:22:57.693 --> 00:22:59.694]  He was, quote, Hispanic, so he was allowed to commit crimes.
[00:22:59.734 --> 00:23:00.795]  He wasn't even Hispanic.
[00:23:01.095 --> 00:23:03.277]  He was adopted by people with Hispanic surnames.
[00:23:03.797 --> 00:23:05.318]  He was Caucasian.
[00:23:05.598 --> 00:23:06.339]  It doesn't even matter.
[00:23:06.839 --> 00:23:08.940]  What the hell does it matter what color he is?
[00:23:09.000 --> 00:23:12.383]  But that's the race-based system they're putting us into.
[00:23:14.090 --> 00:23:14.610]  Here's the deal.
[00:23:16.152 --> 00:23:21.275]  Normally with this much news and this heavy stuff going on, I would cancel the guest today and just take calls, but I'm not going to do that today.
[00:23:21.315 --> 00:23:21.956]  We'll do that tomorrow.
[00:23:21.976 --> 00:23:25.819]  We have some very special guests today, though.
[00:23:25.859 --> 00:23:28.221]  David Icke is scheduled to be on coming up next segment.
[00:23:29.582 --> 00:23:35.886]  Another very interesting, very informative fellow I've been working with for a long time behind the scenes, but he's now going to be on air hosting the fourth hour.
[00:23:36.307 --> 00:23:40.270]  Jake Ducey is going to be here to talk about Reset Wars and give you a first look at that.
[00:23:41.691 --> 00:23:43.092]  That's going to be out in just about a week and a half.
[00:23:44.605 --> 00:23:51.008]  And then also, we've got Mark Rondazza, my lead lawyer, as we're under attack by these corrupt courts.
[00:23:52.009 --> 00:23:56.571]  He's going to be popping in in studio as well today.
[00:23:58.472 --> 00:24:07.537]  But I actually feel guilty even coming on air and talking about the terror attack in Wisconsin.
[00:24:08.317 --> 00:24:09.878]  Who put today's show headline up on screen?
[00:24:09.898 --> 00:24:10.158]  Thanks.
[00:24:12.659 --> 00:24:13.520]  Waukesha attack.
[00:24:15.731 --> 00:24:19.014]  Because it really is a tragedy.
[00:24:21.797 --> 00:24:27.864]  But on a scale of the actual terror attack going on, it doesn't even rate as one-tenth of one percent.
