[00:00:09.856 --> 00:00:12.277]  Oh, got my bag.
[00:04:38.156 --> 00:04:51.765]  The main transmission begins in T-minus 60 seconds and we are absolutely ready and prepared with incredible information as humanity awakens and begins to fight back against the globalist tyranny.
[00:04:51.765 --> 00:04:57.809]  Infowars.com is fighting our tomorrow's news today, today, today, today.
[00:04:59.221 --> 00:05:01.983]  I sell supplements for two reasons.
[00:05:01.983 --> 00:05:07.508]  Because they work, they're real, they're powerful, and because it's a giant market.
[00:05:07.508 --> 00:05:10.010]  But again, why is there a giant market?
[00:05:10.010 --> 00:05:11.612]  Because it works.
[00:05:11.612 --> 00:05:13.613]  That's why it exponentially grows.
[00:05:13.613 --> 00:05:19.939]  So whether it's saw palmetto and other key ingredients in our prostate formula,
[00:05:20.754 --> 00:05:42.270]  Prostagard, or whether it is the super high-grade Organic Vitamin B12 and Ultra 12, or whether it's the PQQ or the CoQ10 in DNA Force, or the pure Deep Earth Crystal Iodine in X2, these are all the very best supplements you're going to find in an already great market of high-quality products out there.
[00:05:42.270 --> 00:05:43.951]  And it funds the InfoWars.
[00:05:43.951 --> 00:05:48.355]  So even if these products weren't high-quality, which they are, you're funding the InfoWars, you can't lose.
[00:05:48.355 --> 00:05:49.996]  InfoWars delivers in spades.
[00:05:50.635 --> 00:05:54.081]  Please visit InfoWareStore.com and get the products today.
[00:05:54.081 --> 00:05:57.527]  Again, I want to thank you all for keeping us on air at InfoWareStore.com.
[00:06:01.278 --> 00:06:06.181]  From the front lines of the Information War, it's Alex Jones.
[00:06:06.181 --> 00:06:08.163]  It's Tuesday, February 23rd, 2021.
[00:06:08.163 --> 00:06:10.704]  I'm your host, Alex Jones.
[00:06:10.704 --> 00:06:14.967]  We are living in incredible times.
[00:06:29.392 --> 00:06:42.660]  If this broadcast was able to get out to the governments of the world and to the peoples of the world, we would not be going into the horrible nightmare situation we're entering.
[00:06:42.660 --> 00:06:46.282]  The good news is for many years it was able to reach the general public.
[00:06:46.282 --> 00:06:57.448]  We still reach a giant audience of hardcore folks that are awake and informed, but when it turns to reaching new people unfettered every day, I am locked up in a phantom zone.
[00:06:58.991 --> 00:07:10.181]  And you are locked up in a phantom zone until you use your email and your text message and your word of mouth to direct people to InfoWars.com, NewsWars.com, and Ban.Video.
[00:07:10.181 --> 00:07:19.269]  And so, I will remind you at the start of the transmission to remember how important you are and how powerful this information is only when you take action.
[00:07:19.269 --> 00:07:22.452]  Okay.
[00:07:22.452 --> 00:07:25.335]  We are seeing the normalization of depopulation.
[00:07:26.846 --> 00:07:33.950]  The globalists run a scientific dictatorship where the science of tyranny is law.
[00:07:33.950 --> 00:07:49.199]  And they have us all in a giant Milgram experiment where they found that upwards of 90% of people, if they're told by authority figures, by successive approximation, by incrementalism, will kill men, women, and children in order to do so by the government.
[00:07:49.199 --> 00:07:51.200]  By authority figures.
[00:07:51.200 --> 00:07:54.982]  And so this is a giant Milgram experiment, similar to the Stanford research,
[00:07:56.204 --> 00:07:57.985]  Incidents as well.
[00:07:57.985 --> 00:08:06.091]  So that's why I'm begging you when I talk about these things, write these things down and then go look up the information because look at these headlines.
[00:08:06.091 --> 00:08:08.994]  And I see these every day and they try to suppress them.
[00:08:08.994 --> 00:08:11.075]  We're going to post this info wars dot com.
[00:08:11.075 --> 00:08:13.417]  It's from natural news dot com.
[00:08:13.417 --> 00:08:22.364]  Immunologist warns Pfizer and Moderna coronavirus vaccines may cause neurodegenerative disorders such as Alzheimer's.
[00:08:22.364 --> 00:08:25.466]  It's in the prestigious from a prestigious scientist group.
[00:08:27.373 --> 00:08:40.491]  It is in the prestigious paper published in the Journal of Microbiology and Infectious Diseases by Dr. Klassen, immunologist J. Bart Klassen.
[00:08:40.491 --> 00:08:43.255]  We're going to be looking at all this, but oh, let's just not believe him.
[00:08:45.293 --> 00:08:48.734]  Here's another headline, InfoWars.com, December last year.
[00:08:48.734 --> 00:08:52.856]  Doctors raise alarm over COVID vaccine linked to infertility.
[00:08:52.856 --> 00:08:54.357]  That was just one part of it.
[00:08:54.357 --> 00:09:06.882]  Here's the actual lawsuit filed with hundreds of pages of exhibits and videos and major studies by Dr. Michael Yeadon, the former chief scientist at Pfizer.
[00:09:06.882 --> 00:09:07.942]  You say, where are the whistleblowers?
[00:09:07.942 --> 00:09:08.482]  Well, there he is.
[00:09:10.419 --> 00:09:16.684]  Medical doctor Wolfgang Wudard, head of the EU Advisory Main Commission.
[00:09:16.684 --> 00:09:17.926]  Very prestigious.
[00:09:17.926 --> 00:09:19.947]  You read this, it says the same thing.
[00:09:19.947 --> 00:09:23.410]  That the protein in it is associated with Alzheimer's.
[00:09:23.410 --> 00:09:28.234]  Everybody knows that it's a certain protein in the brain that people have with Alzheimer's.
[00:09:28.234 --> 00:09:30.977]  Guess what?
[00:09:30.977 --> 00:09:33.039]  It's the same protein that's produced in your cells.
[00:09:33.039 --> 00:09:35.040]  Isn't that loving?
[00:09:35.040 --> 00:09:36.802]  Isn't that liberal?
[00:09:37.699 --> 00:09:39.741]  And there's nothing like dying that way.
[00:09:39.741 --> 00:09:41.262]  It's so fun.
[00:09:41.262 --> 00:09:56.775]  So, I guess, you know, his father died of Alzheimer's, so Bill Gates wants to pass on the love, because the main vaccine he's behind is the mRNA Pfizer operation.
[00:09:56.775 --> 00:09:59.517]  So we're going to go over that for you today.
[00:09:59.517 --> 00:10:05.762]  And of course, it attacks the placenta, and it then loads the cell full of the protein, doesn't just slough it,
[00:10:06.676 --> 00:10:15.323]  And then when that cell dies or divides, you can have a major autoimmune response, but that's down the road and you won't know quite exactly what happened to you when it hits you.
[00:10:15.323 --> 00:10:18.226]  See, old Billy Boy knows how to kill you in 5, 10, 15 years.
[00:10:18.226 --> 00:10:21.768]  You'll get a certain percentage drop over dead in a couple days like Hank Aaron.
[00:10:21.768 --> 00:10:25.952]  You'll get a certain percentage of the nursing homes that drop dead, but they're already so old they kind of deserve it, you know.
[00:10:26.693 --> 00:10:31.818]  Hell, you get 15% of an award or a nursing home dies if they tag it.
[00:10:31.818 --> 00:10:37.744]  But that's in the VARs, or reporting system, or VAERS.
[00:10:37.744 --> 00:10:40.246]  But if they're old, they kind of deserve it, you know.
[00:10:40.246 --> 00:10:41.908]  Hank Aaron had a good life.
[00:10:41.908 --> 00:10:44.570]  Just bye-bye, Hanky.
[00:10:44.570 --> 00:10:45.331]  There you go.
[00:10:45.331 --> 00:10:48.114]  And they lied and said the autopsy said he didn't die of the shot.
[00:10:48.114 --> 00:10:49.075]  No autopsy was done.
[00:10:53.328 --> 00:10:54.269]  Robert Kennedy Jr.
[00:10:54.269 --> 00:11:00.153]  got banned off Facebook for talking about Hank Aaron and showing studies saying it was killing old people, which is all true.
[00:11:00.153 --> 00:11:01.274]  And they said, oh, you lied.
[00:11:01.274 --> 00:11:02.775]  The coroner said he didn't die of that.
[00:11:02.775 --> 00:11:03.775]  Turned out no.
[00:11:03.775 --> 00:11:04.356]  Autopsy.
[00:11:04.356 --> 00:11:06.497]  He went and interviewed him last week.
[00:11:06.497 --> 00:11:10.700]  But you won't see that because he's banned on Facebook.
[00:11:10.700 --> 00:11:12.121]  Let me just continue here for you.
[00:11:12.121 --> 00:11:15.384]  Here's the actual study.
[00:11:15.384 --> 00:11:18.446]  COVID-19 RNA-based vaccines and the risk of
[00:11:19.139 --> 00:11:20.220]  Cryon disease.
[00:11:20.220 --> 00:11:22.081]  They have another name for that.
[00:11:22.081 --> 00:11:24.642]  Spongiform encephalopathy.
[00:11:24.642 --> 00:11:27.884]  Or, mad cow disease.
[00:11:27.884 --> 00:11:31.986]  You know, they don't call it chemtrails when they manipulate the weather.
[00:11:31.986 --> 00:11:37.389]  They call it high altitude aerosol spraying weather modification.
[00:11:37.389 --> 00:11:39.330]  They're like, oh there's no such thing as chemtrailing.
[00:11:39.330 --> 00:11:40.671]  We do spray stuff out of the jet.
[00:11:42.308 --> 00:11:44.591]  Engines, though, mix with the fuels and darken the earth.
[00:11:44.591 --> 00:11:45.413]  That's all true.
[00:11:45.413 --> 00:11:47.896]  We just don't call it chemtrails, boys and girls.
[00:11:47.896 --> 00:11:48.998]  And same thing here.
[00:11:48.998 --> 00:11:49.919]  Oh, yeah.
[00:11:49.919 --> 00:11:52.082]  We just know this doesn't cause mad cow.
[00:11:52.082 --> 00:11:56.588]  That's really what Alzheimer's is, is prions, proteins, protein crystals in the brain.
[00:11:56.588 --> 00:11:57.770]  Oh, no, no, no, no, no, no.
[00:11:59.255 --> 00:12:04.117]  Vaccines in general aren't linked to mad cow, because we don't call it mad cow.
[00:12:04.117 --> 00:12:06.298]  We call it spongiform encephalopathy.
[00:12:06.298 --> 00:12:11.921]  And it's a different crystal that you get when you eat cows that ate meat, because they're not supposed to.
[00:12:11.921 --> 00:12:17.684]  And then the protein goes through the blood-brain barrier, through their guts, because cows aren't meant to eat.
[00:12:17.684 --> 00:12:18.584]  They're not omnivores.
[00:12:18.584 --> 00:12:20.385]  They're not carnivores.
[00:12:20.385 --> 00:12:21.945]  And so they're only supposed to eat.
[00:12:21.945 --> 00:12:23.166]  That's why they have three stomachs.
[00:12:23.166 --> 00:12:24.987]  And then they ferment it in their stomachs, the grass.
[00:12:25.726 --> 00:12:32.851]  And so if you feed cows that, it then gets into their bones, gets into their joints, and then you can eat it and grow the crystals in your brain.
[00:12:32.851 --> 00:12:36.274]  That's a different type of spongiform encephalopathy.
[00:12:36.274 --> 00:12:48.622]  But the protein that is created by this tends to fold in the study they looked at, and that is what creates a different type of prion.
[00:12:48.622 --> 00:12:52.265]  But hey, nothing more fun than a good old prion!
[00:12:52.265 --> 00:12:54.667]  Woo!
[00:12:54.667 --> 00:12:55.067]  Liberal!
[00:12:56.016 --> 00:12:58.237]  Whoa, it's so nice!
[00:12:58.237 --> 00:12:59.198]  What's gonna happen?
[00:12:59.198 --> 00:13:00.679]  And it's already happening!
[00:13:00.679 --> 00:13:03.481]  Large numbers are dying, large numbers are becoming brain damaged.
[00:13:03.481 --> 00:13:12.667]  I mean, I've got crew works right out here whose mom's a chief nurse at a nursing home, and they gave them all the first round of the shot a few months ago, and none of them came out to dinner!
[00:13:12.667 --> 00:13:16.309]  None of them got up for like a week, and some of them died!
[00:13:16.309 --> 00:13:19.351]  Whoo!
[00:13:19.351 --> 00:13:21.852]  Man!
[00:13:21.852 --> 00:13:24.214]  But the nurse says something like, shut up, you don't know anything.
[00:13:24.810 --> 00:13:26.871]  Besides, there's too many of these damn old people around here.
[00:13:26.871 --> 00:13:27.951]  Let's get rid of them.
[00:13:27.951 --> 00:13:31.853]  But all of you, you can get early onset of neurological disorders.
[00:13:31.853 --> 00:13:34.814]  And then Fauci will say some new virus is doing that to you.
[00:13:34.814 --> 00:13:37.715]  Because Fauci's a hardcore killer.
[00:13:37.715 --> 00:13:39.635]  Oh, he hatched the whole HIV thing and everything else.
[00:13:39.635 --> 00:13:41.136]  He's a really nice man.
[00:13:41.136 --> 00:13:42.697]  Why do you think Bill Gates likes him so much?
[00:13:42.697 --> 00:13:44.457]  Because he looks up to him.
[00:13:44.457 --> 00:13:46.378]  Because Bill Gates's father funded Fauci.
[00:13:47.145 --> 00:13:49.287]  Fauci's gonna get you and your family.
[00:13:49.287 --> 00:13:50.007]  Don't you worry.
[00:13:50.007 --> 00:13:59.915]  So all you good FBI agents that serve the Democrats, you roll those sleeves up, you're 35, 40 years old, and you're gonna have Alzheimer's when you're 55.
[00:13:59.915 --> 00:14:01.276]  You're gonna get euthanized too.
[00:14:01.276 --> 00:14:03.218]  But it doesn't matter, you're a G-man!
[00:14:06.036 --> 00:14:11.642]  Yeah, just like Cuomo sending all those old folks over there to die knowingly under Fauci's order.
[00:14:11.642 --> 00:14:16.026]  Yep, he ain't going to do nothing about that because you're G-Man!
[00:14:16.026 --> 00:14:16.847]  G-Man!
[00:14:16.847 --> 00:14:17.868]  Yeah, Americans!
[00:14:19.787 --> 00:14:20.688]  Oh, I'm sorry.
[00:14:20.688 --> 00:14:22.148]  Oh, but it doesn't matter.
[00:14:22.148 --> 00:14:22.989]  It's better.
[00:14:22.989 --> 00:14:26.131]  You know, the British government gave pregnant women the shot and had a bunch of miscarriages.
[00:14:26.131 --> 00:14:27.191]  Gave over 75 the shot.
[00:14:27.191 --> 00:14:27.952]  A bunch of them died.
[00:14:27.952 --> 00:14:31.333]  Had convulsions and Guillain-Barré and narcolepsy and convulsions.
[00:14:31.333 --> 00:14:32.774]  And what was the other one?
[00:14:32.774 --> 00:14:33.495]  A whole bunch of them.
[00:14:33.495 --> 00:14:34.915]  It was Bell's palsy.
[00:14:34.915 --> 00:14:35.776]  A whole bunch of those.
[00:14:35.776 --> 00:14:40.339]  Those are kind of hard to cover up when your face is paralyzed an hour after you take the shot or the next morning.
[00:14:40.339 --> 00:14:42.960]  But it's okay because it's liberal.
[00:14:42.960 --> 00:14:44.601]  But oh, look at this!
[00:14:45.467 --> 00:14:51.051]  The WHO, who's our boss, had said, don't give it to pregnant women, because it's a little obvious when a large portion lose the baby.
[00:14:51.051 --> 00:14:54.674]  But they said, hell, let's just get over this.
[00:14:54.674 --> 00:14:56.075]  Yes!
[00:14:56.075 --> 00:14:59.317]  WHO, Green Lights, MRNA vaccine experimentation.
[00:14:59.317 --> 00:15:00.438]  Experimentation!
[00:15:00.438 --> 00:15:04.461]  Never authorized, never tested on animals, on pregnant women and newborn infants.
[00:15:04.461 --> 00:15:05.882]  Yeah!
[00:15:05.882 --> 00:15:07.883]  It's like, man, this baby's retarded!
[00:15:07.883 --> 00:15:08.944]  This baby never talked!
[00:15:11.474 --> 00:15:13.475]  Because they never got a chance to.
[00:15:13.475 --> 00:15:15.615]  Then they just say, oh, there's something else wrong with them.
[00:15:15.615 --> 00:15:17.356]  See, because autism was the test.
[00:15:17.356 --> 00:15:21.637]  They could give hundreds of millions of boys brain damage with the vaccines, which is all done by design.
[00:15:21.637 --> 00:15:35.721]  Then now they can kill billions slowly, and everybody will just go along with it and have little 10K runs for, you know, half the kids can't talk, and, you know, half the folks above 50 can't talk, and there'll be the studies that they all took the shots, but they won't care, because their families won't want to admit what they did.
[00:15:35.721 --> 00:15:36.721]  It'll be, shut up!
[00:15:36.721 --> 00:15:37.522]  Don't talk about that!
[00:15:37.522 --> 00:15:38.762]  You're hurting the victims!
[00:15:39.302 --> 00:15:46.026]  Feelings of... We don't know why they're all dying, but it's still liberal.
[00:15:46.026 --> 00:15:48.627]  Let's hurt the babies and the mommies.
[00:15:48.627 --> 00:15:49.287]  Yes!
[00:15:49.287 --> 00:15:49.808]  Yes!
[00:15:49.808 --> 00:15:50.748]  Kill them!
[00:15:50.748 --> 00:15:51.949]  Kill them, liberal!
[00:15:51.949 --> 00:15:53.310]  I love you, Bill Gates!
[00:15:53.310 --> 00:15:54.991]  Murder them for Satan!
[00:15:54.991 --> 00:15:58.632]  I love your pink sweaters!
[00:15:58.632 --> 00:16:02.675]  I love the Patriot Blend Wake Up America coffee.
[00:16:02.675 --> 00:16:03.975]  I just love it.
[00:16:03.975 --> 00:16:04.996]  I can't get enough of it.
[00:16:06.075 --> 00:16:08.356]  We've got a fresh brew right now.
[00:16:08.356 --> 00:16:09.576]  That's what fills my mug.
[00:16:09.576 --> 00:16:10.736]  That's what fills my belly.
[00:16:10.736 --> 00:16:12.237]  That's what fills my soul.
[00:16:12.237 --> 00:16:14.157]  Wake Up America Patriot Blend Coffee.
[00:16:14.157 --> 00:16:18.298]  Folks, we have had this coffee for years at InfoWarsTore.com.
[00:16:18.298 --> 00:16:18.918]  Years.
[00:16:18.918 --> 00:16:20.599]  Never raised the price.
[00:16:20.599 --> 00:16:20.899]  Never.
[00:16:20.899 --> 00:16:23.419]  The Wake Up America Blend, the best coffee.
[00:16:23.419 --> 00:16:24.600]  The crew here loves it.
[00:16:24.600 --> 00:16:25.820]  We drink it every day.
[00:16:25.820 --> 00:16:30.281]  And of course, that's just one of the great ways you can support InfoWars here.
[00:16:30.461 --> 00:16:32.823]  Everybody drinks coffee, or just about everybody.
[00:16:32.823 --> 00:16:38.407]  Why not support InfoWars and keep the coffee supply at your house with the Wake Up America Patriot Blend?
[00:16:38.407 --> 00:16:39.988]  Of course, read all the great reviews.
[00:16:39.988 --> 00:16:41.249]  Pretty much perfect review there.
[00:16:41.249 --> 00:16:42.310]  4.9 star.
[00:16:42.310 --> 00:16:47.994]  When you have thousands of reviews, it's impossible to have a perfect review unless literally everybody gives it 5 stars.
[00:16:47.994 --> 00:16:51.977]  So, I mean, if you have 4.9, that's pretty much everybody who gives it a 5 star, except maybe one or two people.
[00:16:51.977 --> 00:16:54.699]  Patriot Blend, 100% organic coffee.
[00:16:54.699 --> 00:16:57.601]  Only available at InfoWarsStore.com.
[00:16:59.718 --> 00:17:10.000]  I'm John Moyer here, the host of the InfoWars War Room, and I have had a major wake-up call living in Texas this last week about how important storable food is.
[00:17:10.000 --> 00:17:20.702]  Now, I have plenty of storable food in my house, but my notion has always been this is last case scenario, worst case scenario, like end of America, apocalyptic type scenario.
[00:17:20.702 --> 00:17:22.922]  But I'm realizing now that's not the case.
[00:17:22.922 --> 00:17:26.703]  Folks, they can shut off the power, they can shut off the water at any given moment.
[00:17:27.083 --> 00:17:33.031]  Now, I was lucky I had plenty of food in my fridge and in my pantry that I didn't have to dig into my storable food.
[00:17:33.031 --> 00:17:35.214]  But many people in Texas didn't.
[00:17:35.214 --> 00:17:36.716]  Don't be in that situation.
[00:17:36.716 --> 00:17:38.538]  Don't have that major wake-up call.
[00:17:38.538 --> 00:17:42.103]  When they come to shut down your power, and they shut down the stores and the food supply,
[00:17:42.975 --> 00:18:00.622]  Have the backup, have the insurance, and be ready to feed yourself, your family, your friends, and your neighbors with a storable food, best quality, best price, 10% off right now at InfowarsStore.com!
[00:18:00.622 --> 00:18:03.283]  You're listening to the Alex Jones Show!
[00:18:18.908 --> 00:18:26.189]  We are on the march, and the Empire is striking back with their worldwide Great Reset planetary lockdown.
[00:18:26.189 --> 00:18:28.129]  And I want to finish up with a stack of COVID news.
[00:18:28.129 --> 00:18:31.490]  The next segment, Tucker Carlson had Naomi Wolf on.
[00:18:31.490 --> 00:18:34.610]  She even showed up on my show one time promoting a book like 20 years ago.
[00:18:34.610 --> 00:18:38.611]  She's a good liberal, like Glinda, the good witch in, uh,
[00:18:40.185 --> 00:18:42.165]  Wizard of Oz.
[00:18:42.165 --> 00:18:43.026]  Is there such a thing?
[00:18:43.026 --> 00:18:48.727]  But I mean, she's like, my God, this is a total police state, total martial law takeover using COVID.
[00:18:48.727 --> 00:18:50.407]  And it's the Democrats mainly doing it.
[00:18:50.407 --> 00:18:51.187]  We've got to fight this.
[00:18:51.187 --> 00:18:53.607]  So it's pretty powerful.
[00:18:53.607 --> 00:18:55.848]  That's coming up next segment.
[00:18:55.848 --> 00:18:59.789]  But I don't think targeting pregnant women is funny.
[00:18:59.789 --> 00:19:01.749]  I don't think targeting old folks is funny.
[00:19:01.749 --> 00:19:06.890]  In fact, it makes me so angry that I just have to get sarcastic about it or I'm going to start crying.
[00:19:06.890 --> 00:19:06.990]  And
[00:19:08.605 --> 00:19:09.825]  This is violence against us.
[00:19:09.825 --> 00:19:10.866]  It's all premeditated.
[00:19:10.866 --> 00:19:12.347]  And you have to understand something.
[00:19:12.347 --> 00:19:15.289]  You just joined us here on the Alex Jones Show.
[00:19:15.289 --> 00:19:18.051]  I study a good 10 hours a day.
[00:19:18.051 --> 00:19:24.816]  I get up at like 5 a.m., study a couple hours, a couple hours in the afternoon before I go to bed.
[00:19:24.816 --> 00:19:35.343]  And I have seen, no exaggeration, hundreds of top scientists, hundreds of top epidemiologists, and then hundreds of medical doctors in hospitals and in
[00:19:36.167 --> 00:19:39.649]  Nursing homes and in teaching facilities.
[00:19:39.649 --> 00:19:47.654]  And I've also seen hundreds of nurses online, and we had a bunch of them on as guests, where it runs the gamut of carnage.
[00:19:47.654 --> 00:19:57.439]  It's like what you'd expect to hear if there were witnesses to Joseph Mingala, the crazy doctor, the angel of death in Nazi Germany.
[00:19:57.439 --> 00:20:00.121]  It's just simply insane.
[00:20:00.121 --> 00:20:02.082]  It just runs the gamut.
[00:20:02.082 --> 00:20:03.643]  The entire gambit.
[00:20:05.026 --> 00:20:06.867]  And I just start thinking about it.
[00:20:06.867 --> 00:20:11.469]  I mean, we had people on 10 years ago, nurses, when the studies were in the news, and then we covered it.
[00:20:11.469 --> 00:20:14.931]  The nurses would call in and we would later, back then, we would say, send us your ID.
[00:20:14.931 --> 00:20:15.891]  We won't say who you are.
[00:20:15.891 --> 00:20:16.812]  We'd have a nurse on.
[00:20:16.812 --> 00:20:19.373]  Then someone came on and said who they were and where they worked.
[00:20:19.373 --> 00:20:25.776]  And they would say, oh, no, we're ordered to give all the preemies vaccines, but then up to a third of them die.
[00:20:25.776 --> 00:20:29.738]  So then we have to argue with the hospital board about can we resuscitate them?
[00:20:30.822 --> 00:20:33.384]  And a lot of places don't even resuscitate these kids.
[00:20:33.384 --> 00:20:36.808]  Just because they weigh three pounds or something, they just kill them, folks.
[00:20:36.808 --> 00:20:40.471]  It's killing the weak.
[00:20:40.471 --> 00:20:45.336]  But that's the Spartans were the first to really do that on an organized scale.
[00:20:45.336 --> 00:20:46.597]  And they actually killed the weak.
[00:20:46.597 --> 00:20:51.201]  And it did make some good-looking, very smart, aggressive people.
[00:20:51.201 --> 00:20:55.085]  But the globalists aren't even doing that, ladies and gentlemen.
