[00:00:15.418 --> 00:00:16.179]  Info Wars.
[00:04:19.699 --> 00:04:22.500]  The globalists admitting that the vaccine is being used for depopulation.
[00:04:22.520 --> 00:04:25.642]  Just the biggest developments yet on that front.
[00:04:26.522 --> 00:04:33.585]  The ADL, our master, our commander, our ruler, our thought police field marshal, our fuhrer,
[00:04:35.333 --> 00:04:40.718]  The head of the ADL, Jonathan Greenblatt, has said Tucker must go.
[00:04:40.819 --> 00:04:48.026]  He talked about the Great Reset's plan for replacement migration, which is an official UN plan.
[00:04:48.366 --> 00:04:54.572]  Democrats teach it in all their schools, but you aren't allowed to talk about it as an American because Mr. Greenblatt's in charge.
[00:04:54.773 --> 00:04:55.133]  Okay?
[00:04:55.233 --> 00:04:55.994]  We'll be right back.
[00:05:05.524 --> 00:05:15.512]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:05:19.155 --> 00:05:20.656]  Ladies and gentlemen,
[00:05:21.673 --> 00:05:27.355]  Thank you so much for joining us on this live Sunday, April 11th, 2021 broadcast.
[00:05:27.896 --> 00:05:32.138]  I'll be here for the next two hours, as I am every Sunday, four to six p.m.
[00:05:32.158 --> 00:05:32.478]  Central.
[00:05:32.498 --> 00:05:40.121]  And then the great Owen Schroer comes in with Sunday Live for two more hours with special guest news analysis and your calls.
[00:05:40.861 --> 00:05:44.263]  I intend to also open the phones up and take calls in the second hour tonight.
[00:05:44.823 --> 00:05:46.184]  Then I've got the weekday transmission 11 a.m.
[00:05:46.224 --> 00:05:46.284]  to
[00:05:47.544 --> 00:05:47.964]  3 p.m.
[00:05:48.004 --> 00:05:57.490]  and other great info or shows at band.video, like our great morning show, American Journal with Harrison Smith, live call-in show, weekday mornings, 8 a.m.
[00:05:57.510 --> 00:05:57.790]  Central.
[00:05:58.631 --> 00:06:15.781]  And just remember, with the whole backdrop of what we're about to cover, on hundreds of radio stations, over 100 cable and TV stations, UHF, VHF, you name it, and global shortwave, WWCR, on TV satellites, radio satellites, you name it, the currency of the realm, the King Daddy,
[00:06:16.923 --> 00:06:19.264]  The essence of victory is you.
[00:06:22.606 --> 00:06:30.850]  You could have a big wound on your foot and you're on a deserted island where you stepped on an old nail and you're getting gangrene.
[00:06:31.930 --> 00:06:38.973]  But if you're able to cauterize that out with a piece of burning bamboo and then get some penicillin, you're going to live and not lose the leg.
[00:06:40.054 --> 00:06:43.595]  But if you don't have penicillin and the infection got too bad, you probably die.
[00:06:44.876 --> 00:06:46.537]  Well, InfoWars is like penicillin.
[00:06:47.984 --> 00:07:03.348]  So when you get shipwrecked, if you had that little medicine chest with some penicillin, you kept it in a cool, dry place, maybe in a cave, a few years later, you're still deserted on the island, you got a bad infection, you take the penicillin, knocks out the bacteria, you live.
[00:07:03.368 --> 00:07:04.988]  Well, it's the same thing with the show.
[00:07:05.468 --> 00:07:17.251]  If you don't share it, you're the white blood cells, or you're like the bloodstream, you know, carrying the antibiotics to the infection, then we don't have any hope.
[00:07:18.257 --> 00:07:27.484]  So, InfoWars is like a big bottle of penicillin on the shelf, but you've got to get it in to the body, ladies and gentlemen.
[00:07:27.644 --> 00:07:30.206]  So, this is your mission.
[00:07:32.447 --> 00:07:42.274]  If you choose to accept it, is to tell everybody you know about the local stations you're listening to, or TV stations you're watching, but regardless, tell friends and family to tune in at the dreaded, demonized InfoWars.com.
[00:07:44.099 --> 00:07:45.820]  And NewsWorks.com and BandOnVideo.
[00:07:46.220 --> 00:07:48.421]  Sunday live, here's the incredible headlines.
[00:07:48.441 --> 00:07:51.683]  Let me tell you what's coming up and I'm going to drill through every single bit of it.
[00:07:52.083 --> 00:07:58.266]  Sunday live, Biden threatens war with Russia while collapsing U.S.
[00:07:58.426 --> 00:07:58.786]  border.
[00:07:59.346 --> 00:08:02.388]  Meanwhile, the Caribbean nation of St.
[00:08:02.448 --> 00:08:09.011]  Vincent is using a volcano to hold its citizens hostage for forced inoculations.
[00:08:10.669 --> 00:08:12.050]  And so much more.
[00:08:13.011 --> 00:08:16.394]  So, coming up today, this is what we're going to cover.
[00:08:17.114 --> 00:08:36.210]  Secretary of State Blinken, who blinked big time with China, they've since basically invaded Hong Kong and Taiwan, warns of consequences if Russia acts aggressively in Ukraine, where we are moving troops in against the Russian-held areas of eastern Ukraine that have been Russia since Russia was Russia.
[00:08:38.393 --> 00:08:43.475]  It's like if the Russians claimed Boston or New York, we'd say, ah, that's not a Russian city.
[00:08:44.596 --> 00:08:50.479]  But eastern Ukraine is where Russia started, and it's where Russia's gotten a bunch of wars over it.
[00:08:52.580 --> 00:09:05.306]  And all the really smart analysts agree, including the former heads of major intelligence agencies, I've not talked to just one but two in the last few weeks, they agree that there's a good chance this is going to start a large war.
[00:09:05.926 --> 00:09:06.827]  But that's okay.
[00:09:07.887 --> 00:09:13.868]  As the puppet Vice President Kamala Harris said on Twitter, where she's still got free speech, the President doesn't.
[00:09:13.908 --> 00:09:14.468]  Real President.
[00:09:15.049 --> 00:09:20.250]  Brighter days are ahead with a picture of her looking out Air Force Two's window.
[00:09:20.910 --> 00:09:24.050]  Very creepy indeed.
[00:09:26.571 --> 00:09:31.672]  And then we're going to get into exclusives we have.
[00:09:31.832 --> 00:09:36.173]  Watch human smuggler with baby in cartel tats confronted by reporters.
[00:09:38.044 --> 00:09:38.684]  At the border.
[00:09:40.926 --> 00:09:45.328]  And then the mainstream media writing, not dozens, but hundreds of news articles.
[00:09:45.668 --> 00:10:01.257]  When I say hundreds, basically hundreds of NBC channels and ABC news channels around the country ran newscasts from LA to Phoenix to San Antonio, anywhere near the border.
[00:10:01.597 --> 00:10:03.278]  Not like San Antonio was close, but closer.
[00:10:04.864 --> 00:10:10.588]  Saying Alex Jones is a liar and hoaxed video of saving children from a smuggler.
[00:10:12.309 --> 00:10:12.810]  Wow.
[00:10:14.711 --> 00:10:19.614]  Well, since then, hundreds of people have gone down there peacefully to McAllen to show where I was at.
[00:10:20.255 --> 00:10:22.576]  And you can be there 30 minutes, you'll catch the exact same thing.
[00:10:25.278 --> 00:10:27.259]  And they're like, well, Biden says it's legal.
[00:10:27.299 --> 00:10:32.563]  Well, Biden could say we could sell heroin to two-year-olds or give, you know, hand grenades to chimpanzees.
[00:10:32.963 --> 00:10:33.864]  Doesn't mean it's the law.
[00:10:35.623 --> 00:10:37.605]  I mean, Biden can say that, you know, he's God.
[00:10:37.665 --> 00:10:38.045]  He isn't.
[00:10:38.926 --> 00:10:40.347]  There's not even an executive order.
[00:10:40.367 --> 00:10:47.113]  And I'm going to show you the Associated Press in three articles admitting it's illegal in a moment.
[00:10:47.153 --> 00:10:48.174]  That's coming up next segment.
[00:10:50.116 --> 00:10:52.177]  But it just shows how they lie to you.
[00:10:53.719 --> 00:10:55.260]  Oh, and that goes to the next point.
[00:10:55.740 --> 00:10:58.383]  It's why they don't want anybody to have their own radio show, their own TV show.
[00:10:59.480 --> 00:11:08.587]  They're confident that in the future they're going to shut down terrestrial radio and TV just by it becoming obsolete, but it won't become obsolete just like AM didn't if that's the only place you get the truth.
[00:11:09.208 --> 00:11:14.552]  AM was all going off in the early 80s until Rush Limbaugh came and then made AM incredibly valuable again.
[00:11:15.753 --> 00:11:21.278]  So, they don't know what to do because, you know, the truth's still getting out.
[00:11:22.694 --> 00:11:29.377]  And so now they censor on YouTube and Facebook and Twitter congressional hearings with scientists saying COVID-19 is way overblown.
[00:11:29.417 --> 00:11:34.618]  And now Governor DeSantis has a roundtable with a prestigious scientist saying the same thing.
[00:11:34.658 --> 00:11:37.640]  So that gets banned because, well, the U.N.
[00:11:37.800 --> 00:11:39.060]  is the medical authority.
[00:11:39.740 --> 00:11:40.661]  And who runs the U.N.?
[00:11:40.681 --> 00:11:43.842]  Big Pharma, which Google and Facebook and Twitter have merged with.
[00:11:46.155 --> 00:11:47.236]  They don't want you to know that truth.
[00:11:47.276 --> 00:11:52.803]  That brings us to our next big enchilada, and I'll be covering that at the bottom of the hour.
[00:11:53.583 --> 00:11:54.705]  Tucker must go!
[00:11:54.725 --> 00:12:00.431]  ADL CEO calls on cable companies to drop Fox News.
[00:12:01.232 --> 00:12:05.196]  He already threatened Mark Zuckerberg into letting him run aboard
[00:12:06.289 --> 00:12:10.211]  That they was put on last year that oversees speech on Facebook.
[00:12:10.712 --> 00:12:11.752]  That's 3 billion people.
[00:12:12.112 --> 00:12:16.134]  Mr. Rosenblatt's the head of the board that decides what can be said and what can't be.
[00:12:16.755 --> 00:12:20.757]  He's our political commissar, our boss, our censor.
[00:12:21.757 --> 00:12:24.879]  Closest thing in my lifetime to a Nazi ruling over me I've run into.
[00:12:25.099 --> 00:12:35.485]  But oh, he was safe from those Nazis like George Soros and Arnold Schwarzenegger who they've given awards to because they both praised Hitler and won work for Hitler.
[00:12:37.464 --> 00:12:40.147]  Oh yeah, Schwarzenegger in Rolling Stone and other places said he loved Hitler.
[00:12:40.427 --> 00:12:43.711]  But see, if you love Hitler, Mr. Rosenblatt loves you.
[00:12:43.731 --> 00:12:48.575]  Because he loves power and control.
[00:12:49.016 --> 00:12:50.237]  He's the high priest.
[00:12:50.257 --> 00:12:52.519]  You've got to go to him for absolution.
[00:12:53.533 --> 00:12:56.076]  And so Tucker talked about replacement migration.
[00:12:56.136 --> 00:12:57.078]  It's an official U.N.
[00:12:57.098 --> 00:12:59.941]  plan that the Democrat Party and all these universities push.
[00:13:00.342 --> 00:13:00.943]  You hear it everywhere.
[00:13:01.243 --> 00:13:10.195]  Soon you old evil white people will all be dead and we're going to bring in all these minorities and have them on welfare so they'll be the majority, which they are now, and they'll vote for Venezuela.
[00:13:13.015 --> 00:13:19.818]  And of course the big banks will then finance that and sit offshore and watch us go from a richest nation in the world to the most enslaved nation in the world.
[00:13:19.838 --> 00:13:22.038]  4% of the world's population had half the wealth in the 50s.
[00:13:22.418 --> 00:13:23.539]  Half that wealth's already gone.
[00:13:23.579 --> 00:13:24.439]  We're down about 30%.
[00:13:26.360 --> 00:13:29.961]  And so, we're going to show you at the UN website.
[00:13:29.981 --> 00:13:36.744]  So I guess Mr. Rosenblatt should call for the UN to be shut down because they call for replacement migration and it doesn't exist.
[00:13:37.124 --> 00:13:37.904]  Oh, but it gets better.
[00:13:38.184 --> 00:13:39.665]  I have the ADL calling for
[00:13:40.791 --> 00:13:51.921]  Stopping replacement migration and banning any non-Jews from Israel living there and not having a one-state solution, I'll show you from ADL.org.
[00:13:52.822 --> 00:13:57.046]  Oh, but see, it's okay if they have race-mixing laws in Israel.
[00:13:59.229 --> 00:14:02.651]  And it's okay if they're against replacement migration in Israel.
[00:14:03.391 --> 00:14:12.096]  But if you talk about it here, which is being done by design, and the left's teaching that whites are bad and evil, you see it all over the news, it means everywhere.
[00:14:12.136 --> 00:14:18.379]  Every five seconds, Target sells a book they published with prayers about destroying white people because we're inherently bad.
[00:14:21.200 --> 00:14:23.962]  Mr. Rosenblatt doesn't say a word about it.
[00:14:24.002 --> 00:14:25.603]  In fact, he endorses it.
[00:14:27.444 --> 00:14:27.644]  Wow.
[00:14:28.897 --> 00:14:31.698]  So, um, racial politics is powerful.
[00:14:32.378 --> 00:14:34.219]  And that's what Mr. Rosenblatt's doing.
[00:14:35.260 --> 00:14:40.062]  So let me be honest with you, the closest thing I see to a Nazi in America is Mr. Rosenblatt.
[00:14:40.202 --> 00:14:47.385]  And is Sacha Baron Cohen that says arrest people, arrest Mark Zuckerberg if he allows any other ideas on Facebook.
[00:14:48.045 --> 00:14:49.166]  That's called fascism.
[00:14:49.526 --> 00:14:50.526]  That's called dangerous.
[00:14:50.906 --> 00:14:52.047]  That's called un-American.
[00:14:53.247 --> 00:14:54.968]  But hey, they've already basically taken over the whole internet.
[00:15:08.164 --> 00:15:14.505]  We are back live broadcasting worldwide on this live Sunday, April 11th transmission.
[00:15:17.105 --> 00:15:18.126]  I'm Alex Jones, your host.
[00:15:18.506 --> 00:15:20.186]  So let's dive right into it.
[00:15:22.687 --> 00:15:24.347]  Yours truly and Tucker Carlson.
[00:15:26.707 --> 00:15:32.950]  Along with Vice President Pence for the last four days have been dueling as the top three things on Twitter.
[00:15:33.610 --> 00:15:38.212]  And that drives the left into just in total insane frothing mode.
[00:15:39.393 --> 00:15:41.174]  Because Tucker's shadow man on there.
[00:15:41.234 --> 00:15:42.294]  I'm totally man on there.
[00:15:42.334 --> 00:15:44.595]  And you know, Mike Pence is the former vice president.
[00:15:47.797 --> 00:15:53.480]  And when they see the millions and millions of views of us running into
[00:15:54.648 --> 00:16:05.833]  Children that had not been screened properly by the Border Patrol turned loose to a so-called Catholic Charities, where it's a bunch of people with devil tattoos, you name it, loading children into the trunk of a car.
[00:16:06.734 --> 00:16:09.155]  We made the point they were transporting them illegally.
[00:16:10.057 --> 00:16:16.598]  And all of what's going on is smuggling, according to federal law, when they're not given the paperwork, when they're not going to a hearing.
[00:16:17.118 --> 00:16:19.379]  I mean, a judge has to bare minimum release them.
[00:16:19.699 --> 00:16:21.359]  So federal law is being violated.
[00:16:21.859 --> 00:16:24.020]  No executive order has been signed.
[00:16:24.920 --> 00:16:31.141]  But I thought I would show TV viewers, and radio listeners can search any of this for yourself, some of the mainstream news on this just the last few days.
[00:16:31.481 --> 00:16:32.502]  Here's the Associated Press.
[00:16:32.962 --> 00:16:34.782]  Migrants free without court notice.
[00:16:36.823 --> 00:16:38.203]  Sometimes no paperwork.
[00:16:38.905 --> 00:16:39.945]  Well, it's not sometimes.
[00:16:40.025 --> 00:16:41.066]  It's almost all the time.
[00:16:41.126 --> 00:16:42.446]  We've interviewed the whistleblowers.
[00:16:42.466 --> 00:16:44.626]  We've interviewed the local police and the Border Patrol.
[00:16:44.646 --> 00:16:45.807]  The Border Patrol's been on record.
[00:16:46.027 --> 00:16:49.348]  The hell, the head of the Border Patrol came out and said, it's a humanitarian disaster.
[00:16:49.848 --> 00:16:52.388]  We've got 15,000 a day just of kids alone.
[00:16:53.529 --> 00:16:57.349]  They're asking NASA employees to take them, college professors to take them.
[00:16:57.870 --> 00:17:03.291]  The FBI said two weeks ago, we're waiving the law that you need a background check before you keep children.
[00:17:04.053 --> 00:17:05.715]  Because they said, rush the border.
[00:17:05.755 --> 00:17:06.796]  Biden said, rush the border.
[00:17:07.377 --> 00:17:08.598]  He said, you have courage if you do it.
[00:17:08.939 --> 00:17:10.160]  It causes the biggest rush ever.
[00:17:10.881 --> 00:17:13.404]  And then when it breaks down, they go, oh, well, there goes the law.
[00:17:13.764 --> 00:17:14.345]  Oopsie.
[00:17:15.266 --> 00:17:16.727]  Just let them go wherever they want.
[00:17:17.168 --> 00:17:21.953]  And here's this woman wearing a mask with the Grim Reaper tattoo on each leg and each arm.
[00:17:22.214 --> 00:17:24.256]  And it's the exact Grim Reaper tattoo of MS-13.
[00:17:27.219 --> 00:17:31.861]  And so we went and got all this footage, and what is the response of the internet the first day on Wednesday?
[00:17:32.121 --> 00:17:33.002]  Oh, it's fake.
[00:17:33.042 --> 00:17:34.442]  He hired fake police.
[00:17:35.623 --> 00:17:39.424]  They had tweets with like 20,000 retweets going, what the hell?
[00:17:39.485 --> 00:17:40.845]  Jones hired fake police.
[00:17:40.925 --> 00:17:42.026]  This whole thing's fake.
[00:17:42.206 --> 00:17:42.666]  Oh, yeah.
[00:17:42.966 --> 00:17:43.666]  It's real fake.
[00:17:43.686 --> 00:17:49.449]  I don't have a budget to even shoot professional commercials, much less fake stuff.
[00:17:49.469 --> 00:17:52.270]  That's why all our ads are me standing there going, here's the product, folks.
[00:17:55.299 --> 00:17:59.141]  I mean, if I could shoot stuff like this with a $100 million budget, I'd win Oscars every year, okay?
[00:17:59.901 --> 00:18:07.004]  Then, the Catholic charity goes, no, Jones did it, but you know, this was just a guy helping migrants, uh-huh, cramming them in the back of a car.
[00:18:08.244 --> 00:18:08.684]  Illegally.
[00:18:08.704 --> 00:18:10.085]  That's why the police took the kids away.
[00:18:11.505 --> 00:18:12.586]  And took them back into the charity.
[00:18:12.646 --> 00:18:19.308]  And then, I had to go back to Austin, and our guys were there another day, they have a whole bunch of footage of the same thing happening.
[00:18:19.649 --> 00:18:20.089]  And worse!
[00:18:21.377 --> 00:18:23.938]  And don't worry, we're going back down there, we're going back down to Brownsville.
[00:18:24.238 --> 00:18:25.039]  We're going everywhere now.
[00:18:25.059 --> 00:18:28.381]  I'm going to be down at the border all the time now, because you're saying it doesn't exist.
[00:18:28.441 --> 00:18:35.184]  But, hell, they say Antibody doesn't exist, or BLM never set a fire, just say the border doesn't even exist.
[00:18:35.404 --> 00:18:36.384]  They'll probably say that next.
[00:18:36.785 --> 00:18:37.745]  So, let's continue.
[00:18:37.825 --> 00:18:40.427]  Migrants free without court notice, sometimes no paperwork.
[00:18:40.507 --> 00:18:40.867]  Oh, really?
[00:18:40.907 --> 00:18:41.507]  Totally illegally.
[00:18:42.327 --> 00:18:42.828]  Here's another one.
[00:18:42.868 --> 00:18:43.228]  AP.
[00:18:43.328 --> 00:18:43.588]  U.S.
[00:18:43.648 --> 00:18:49.111]  waives FBI checks on caregivers at new migrant facilities, including those with dirt floors under bridges.
[00:18:51.280 --> 00:18:55.474]  All this we told you years ago, months ago, now it's all confirmed by your God.
[00:18:55.494 --> 00:18:57.702]  Talking to Mainstream Media, The AP.
[00:18:58.988 --> 00:18:59.448]  Here's another one.
[00:18:59.468 --> 00:19:04.692]  Border Patrol agents found 63 people inside a commercial trailer during a failed human smuggling attempt in Laredo.
[00:19:05.012 --> 00:19:06.253]  Well, it's not smuggling.
[00:19:06.313 --> 00:19:07.673]  I mean, they don't need any paperwork.
[00:19:07.733 --> 00:19:15.078]  I mean, you heard, cram them in the back of a van, cram them in the back of a hatchback, put them in a truck, put them in an 18-wheeler.
[00:19:15.138 --> 00:19:19.381]  I mean, oh, but when the cops stop them, oh, it's human smuggling.
[00:19:19.621 --> 00:19:23.463]  When we stop them illegally, we're bad people.
[00:19:23.503 --> 00:19:24.024]  That's right.
[00:19:24.144 --> 00:19:24.624]  We're bad people.
[00:19:27.552 --> 00:19:32.196]  Abbott claims child sex abuse and neglect of migrant children at San Antonio migrant facility.
[00:19:32.456 --> 00:19:32.596]  No.
[00:19:32.876 --> 00:19:34.238]  They've had the jail guards go public.
[00:19:34.298 --> 00:19:35.098]  Everybody's gone public.
[00:19:35.138 --> 00:19:35.679]  It's massive.
[00:19:35.919 --> 00:19:36.599]  It's out of control.
[00:19:37.400 --> 00:19:40.162]  And the media makes jokes about that, even though all the whistleblowers just came out.
[00:19:40.483 --> 00:19:41.503]  Those are on InfoWars.com.
[00:19:41.664 --> 00:19:44.025]  And we've got this.
[00:19:45.166 --> 00:19:49.550]  Catholic Charities responds to radio host Alex Jones' McAllen child immigrant encounter video.
[00:19:50.631 --> 00:19:51.371]  Valley Central.
[00:19:53.753 --> 00:19:56.816]  Wonder why Biden's czar, after only two months on the job, abruptly quit.
[00:19:58.826 --> 00:19:59.966]  After citing no crisis.
[00:20:02.227 --> 00:20:05.568]  House passes legislation to legalize millions of undocumented migrants.
[00:20:05.608 --> 00:20:06.108]  Fox News.
[00:20:07.129 --> 00:20:11.010]  New York to give illegals who lost work during pandemic one-time payments of $15,600.
[00:20:11.950 --> 00:20:13.250]  Citizens to get nothing.
[00:20:13.810 --> 00:20:19.212]  It's all a magnet to bring them here so Democrats can put them in their houses, sign them up, and get the money.
[00:20:19.532 --> 00:20:20.773]  That's for Democrat operatives.
[00:20:21.073 --> 00:20:21.893]  That's come out in court.
[00:20:23.604 --> 00:20:27.348]  South Texas finding bodies of illegals on their land every day.
[00:20:27.909 --> 00:20:29.951]  Newswars.com with links to local news.
[00:20:30.431 --> 00:20:31.893]  Raped and killed men and women.
[00:20:32.493 --> 00:20:34.615]  And it's not white supremacists doing it, folks.
[00:20:34.976 --> 00:20:35.636]  It's the cartels.
[00:20:35.837 --> 00:20:36.738]  But they're brown.
[00:20:36.978 --> 00:20:37.819]  They can't do wrong.
[00:20:39.661 --> 00:20:39.941]  U.S.
[00:20:39.981 --> 00:20:43.625]  spends $6 million per day to house unaccompanied migrant children.
[00:20:44.960 --> 00:20:45.841]  Says the federal government.
[00:20:46.461 --> 00:20:50.725]  Why do you think Putin ten years ago barred adoptions of Russian children by Americans?
[00:20:51.226 --> 00:21:05.399]  They said that they found a large percentage disappeared to other countries other than the U.S., many of them ended up dead, and the Russians alleged sex abuse, and that pedophiles were raping even small babies, and that some babies later ended up in snuff films.
[00:21:06.500 --> 00:21:07.601]  CBS News, remember that?
[00:21:10.037 --> 00:21:13.723]  Can't get the Russian meat anymore, but they're getting the Central American.
[00:21:13.763 --> 00:21:16.487]  That's mainly who the UN organizes and brings up.
[00:21:19.031 --> 00:21:20.453]  So that's what we've got going on here.
[00:21:21.618 --> 00:21:22.799]  And the media tried to spin it.
[00:21:22.819 --> 00:21:25.120]  Look at this article out of Talking Points Memo.
[00:21:25.961 --> 00:21:27.361]  Charity helping migrants.
[00:21:27.462 --> 00:21:31.324]  Oh, it's just helping migrants that have been waived in and not even checked.
[00:21:31.684 --> 00:21:34.866]  And a lot of times no DNA testing ever, not even with their parents.
[00:21:35.306 --> 00:21:37.528]  Alex Jones uses staged confrontation.
[00:21:37.928 --> 00:21:38.208]  Oh really?
[00:21:38.248 --> 00:21:38.928]  What was staged?
[00:21:39.008 --> 00:21:39.869]  The people weren't real?
[00:21:40.689 --> 00:21:42.410]  No, they go on to admit it was real.
[00:21:42.651 --> 00:21:45.312]  They just call it staged.
[00:21:47.947 --> 00:21:49.368]  Did Alex Jones really save kids?
[00:21:49.408 --> 00:21:50.328]  Analysis of viral video.
[00:21:50.368 --> 00:21:51.368]  Where he stops car.
[00:21:52.849 --> 00:21:53.689]  Catholic Charities.
[00:21:53.789 --> 00:21:54.430]  Oh, the Blaze.
[00:21:54.730 --> 00:21:57.111]  You know, the guy that brings teddy bears down to the smuggled kids.
[00:21:57.471 --> 00:21:58.851]  Glenn Beck, man, he just won't stop.
[00:21:59.172 --> 00:22:03.393]  Catholic Charities accuses Alex Jones of staging confrontation over reported child migrants.
[00:22:05.854 --> 00:22:07.035]  Trump ended it for four years.
[00:22:07.075 --> 00:22:08.996]  Guess that upset old Glenn Beckie boy.
[00:22:09.416 --> 00:22:10.536]  He was like, let them all in.
[00:22:10.596 --> 00:22:11.217]  Bring the kids in.
[00:22:11.237 --> 00:22:11.657]  Remember that?
[00:22:12.577 --> 00:22:13.477]  What a crepazoid.
[00:22:14.218 --> 00:22:16.839]  And he posted that on the Blaze and attacked me and said I'm a fake.
[00:22:17.915 --> 00:22:23.480]  No, buddy, we all know who the actor is and the guy that rehearses for hours before he goes on air, breathes off a teleprompter.
[00:22:23.520 --> 00:22:24.301]  We know who the fake is.
[00:22:24.742 --> 00:22:26.103]  And I just wish Lindbeck would stop.
[00:22:26.483 --> 00:22:27.464]  I've tried to get him to stop.
[00:22:28.225 --> 00:22:32.249]  He destroyed himself with his attack on Trump early on, and now he's turning to Colonel Sanders.
[00:22:34.511 --> 00:22:35.672]  So there you go, ladies and gentlemen.
[00:22:35.692 --> 00:22:38.315]  I'm not going to go, oh, look, Sister Norma's
[00:22:39.568 --> 00:22:46.152]  Pimmatel, named one of Time Magazine's 100 Most Influential Women, she runs the Catholic Charities down there, with all the kids pouring in.
[00:22:47.013 --> 00:22:48.594]  And she's a big globalist, of course.
[00:22:49.374 --> 00:22:50.355]  And she's so sweet.
[00:22:51.116 --> 00:22:52.316]  And she's just so nice.
[00:22:54.498 --> 00:22:59.141]  So, now they're just waving everybody, and first they said, don't call them illegal aliens, call them migrants.
[00:22:59.501 --> 00:23:02.223]  And now it's, oh, don't even call them illegal being smuggled.
[00:23:02.923 --> 00:23:05.285]  Just, just, just, just don't even look, it's all legal now.
[00:23:05.485 --> 00:23:08.187]  There's no law, it's still illegal, but we just call it legal.
[00:23:09.520 --> 00:23:13.423]  And we'll have Glenn Beck come out and say, that's the case.
[00:23:14.384 --> 00:23:15.085]  So there you go.
