[00:00:00.149 --> 00:00:05.091]  Today, President Biden declared the powers that only a dictator would have.
[00:07:00.292 --> 00:07:09.498]  The Department of Labor will require employers with 100 or more workers to give those workers paid time off to get vaccinated.
[00:07:10.739 --> 00:07:15.502]  No one should lose pay in order to get vaccinated or take a loved one to get vaccinated.
[00:07:16.823 --> 00:07:27.251]  Today, in total, the vaccine requirements in my plan will affect about 100 million Americans, two-thirds of all workers,
[00:07:28.362 --> 00:07:33.462]  And even before Trump was removed from office via fraud, what did we see happen?
[00:07:34.326 --> 00:07:44.770]  We saw the media and the government, the Justice Department, going after people that talked about hydroxychloroquine, or then things like ivermectin, or vitamin C, or vitamin D, or zinc.
[00:07:45.250 --> 00:07:49.572]  They didn't want people having therapeutics, even though all the studies showed that those things were essential.
[00:07:50.192 --> 00:07:57.955]  But let's set that aside, in the interest of not having a debate about it, and look at something that no one is debating, Regeneron.
[00:07:58.823 --> 00:08:17.678]  Two different types of monoclonal antibodies from a company around since 1988 that doesn't have liability protection like the big vaccine makers and who is the most profitable company for its size per capita in the big pharma system because they produced some amazing quality high-tested things.
[00:08:18.419 --> 00:08:24.343]  Their system, when given to people early, has a 98-plus percent success rate.
[00:08:24.783 --> 00:08:25.804]  Trump took it last year.
[00:08:25.884 --> 00:08:26.985]  Governor Abbott took it this year.
[00:08:27.005 --> 00:08:34.530]  A lot of my crew that got the Delta variant were very sick, took it, and within 5 to 10 hours, they were all completely better.
[00:08:34.550 --> 00:08:37.391]  500 million doses have been made by the federal government.
[00:08:37.491 --> 00:08:39.613]  Trump put the order in before he was removed from office.
[00:08:39.973 --> 00:08:41.134]  And they have those doses.
[00:08:41.434 --> 00:08:42.255]  All it takes is one dose.
[00:08:42.935 --> 00:08:46.197]  That's more people than there are in the U.S.
[00:08:46.237 --> 00:08:48.078]  That's 150 plus million extra doses.
[00:08:48.698 --> 00:08:56.922]  And now Biden has set up a board that is denying the unvaccinated Regeneron in red states like Texas and Florida.
[00:08:57.542 --> 00:09:00.223]  This is criminal level activity.
[00:09:00.644 --> 00:09:04.105]  This is bureaucrats literally going after people's lives.
[00:09:04.346 --> 00:09:07.327]  You see the talking point from Jimmy Kimmel and Howard Stern and others.
[00:09:07.447 --> 00:09:09.228]  Oh, F those people that aren't vaccinated.
[00:09:09.528 --> 00:09:11.349]  Don't give them health care when they have a heart attack.
[00:09:11.729 --> 00:09:15.470]  If somebody comes into the hospital and is sick, they're not injected, don't give them health care.
[00:09:16.171 --> 00:09:25.455]  That is literally a 100% violation of the Nuremberg Code, where you can't bully or intimidate people to make them take an experimental shot.
[00:09:26.575 --> 00:09:29.956]  And that leads us to another one of Biden's gigantic lies.
[00:09:30.817 --> 00:09:38.420]  That the COVID-19 injections of Pfizer and other systems are supposedly approved by the FDA.
[00:09:39.662 --> 00:09:43.685]  Many said they were waiting for approval from the Food and Drug Administration, the FDA.
[00:09:44.846 --> 00:09:47.367]  Well, last month the FDA granted that approval.
[00:09:48.608 --> 00:09:50.630]  So, the time for waiting is over.
[00:09:51.567 --> 00:09:58.071]  The FDA simply said we're going to reauthorize it as emergency use and claim that it is cleared.
[00:09:58.591 --> 00:10:10.699]  That's why the two head scientists over the vaccine program at the FDA quit a week and a half ago because they said Biden was going to be making this announcement and lying and saying that it was an approved vaccine when it wasn't.
[00:10:11.479 --> 00:10:12.820]  Again, you're being gaslit.
[00:10:13.100 --> 00:10:14.081]  You're being lied to.
[00:10:14.101 --> 00:10:17.423]  My message to unvaccinated Americans is this.
[00:10:19.244 --> 00:10:21.125]  What more is there to wait for?
[00:10:22.617 --> 00:10:24.437]  What more do you need to see?
[00:10:25.878 --> 00:10:29.658]  We've made vaccinations free, safe, and convenient.
[00:10:30.119 --> 00:10:31.319]  Look at the facts for yourself.
[00:10:31.399 --> 00:10:39.020]  We're told to trust the science, but the CDC counts people who died within 14 days of the jab as unvaccinated.
[00:10:39.700 --> 00:10:47.062]  When you add those numbers in, it's clear that the vaccinated are dying at a higher percentage rate than the unvaccinated.
[00:10:47.822 --> 00:10:52.764]  Then we've got the really hardcore proof that Biden and his big pharma controllers hope you don't see.
[00:10:53.185 --> 00:10:58.607]  The story is the same in more than 30 highly vaccinated countries for COVID-19.
[00:10:59.388 --> 00:11:04.230]  And Israel is the most startling example, along with Singapore and Gibraltar.
[00:11:04.770 --> 00:11:07.432]  With over 90% of the population injected
[00:11:07.972 --> 00:11:22.593]  They have a over tenfold hospitalization and death rate per capita than Sweden and the Palestinians that are right next door to them that do not trust the UN or Israel and have not taken the shots.
[00:11:23.374 --> 00:11:27.459]  This flies completely in the face of everything Joe Biden has said.
[00:11:27.879 --> 00:11:28.600]  But it gets worse.
[00:11:29.441 --> 00:11:38.932]  If you go and look at what type of virus people are infected with in Israel, in Singapore, in Gibraltar, and in places like the UK that are highly injected,
[00:11:39.432 --> 00:11:55.963]  It's 99% the Delta variant, which again, mutated out of the vaccine, knocking out most of the wild viruses and COVID-19, then mutating COVID-19 to create a super virus 1,000 times more communicable.
[00:11:56.923 --> 00:12:01.606]  So for all of you out there, six months ago saying, hey, it's just businesses mandating.
[00:12:01.626 --> 00:12:03.888]  It'll never be the government mandating.
[00:12:04.551 --> 00:12:07.352]  You have to understand, globalism is about corporate fascism.
[00:12:07.972 --> 00:12:11.694]  It's about the big Fortune 100, controlling governments.
[00:12:12.154 --> 00:12:13.715]  That's how they're able to globally do this.
[00:12:13.855 --> 00:12:20.377]  This is the New World Order, corporate rule, and the power to put in our bodies what they want, when they want.
[00:12:20.898 --> 00:12:24.339]  And for other sectors, I issue this appeal.
[00:12:25.928 --> 00:12:38.941]  To those of you running large entertainment venues, from sports arenas, concert venues, to movie theaters, please require folks to get vaccinated or show a negative test as a condition of entry.
[00:12:40.069 --> 00:12:58.654]  So when Biden comes out and says, I want all the sports stadiums and all of the concert venues to make sure everyone coming in has been injected, what he's really saying is he wants the world medical ID, vaccine, passport that Klaus Schwab and the UN and others have demanded.
[00:12:58.975 --> 00:13:03.556]  Because on the back of that, they create the casual society and a system that doesn't just track you.
[00:13:04.116 --> 00:13:11.560]  As I said earlier, but a system that tells you where you can go and what you can do, and that also taxes you at the same time.
[00:13:12.520 --> 00:13:22.425]  Already, I've announced, we'll be requiring vaccinations at all nursing home workers who treat patients on Medicare and Medicaid, because I have that federal authority.
[00:13:23.465 --> 00:13:32.570]  Tonight, I'm using that same authority to expand that to cover those who work in hospitals, home healthcare facilities, or other medical facilities.
[00:13:33.646 --> 00:13:36.252]  A total of 17 million healthcare workers.
[00:13:37.735 --> 00:13:40.301]  If you're seeking care at a health facility,
[00:13:40.956 --> 00:13:44.818]  You should be able to know that the people treating you are vaccinated.
[00:13:45.258 --> 00:13:46.819]  Simple, straightforward, period.
[00:13:47.440 --> 00:13:55.964]  Oh, and by the way, did you know the head of the CDC a few months ago testified before Congress and said that only half the CDC has taken this experimental shot?
[00:13:56.685 --> 00:14:00.286]  Oh, and the White House, they're not mandating it for White House workers either.
[00:14:00.967 --> 00:14:10.012]  And the head of Pfizer said two weeks ago on television that he's 50-something years old and healthy, so he doesn't need his own company's injection.
[00:14:10.752 --> 00:14:15.215]  So they're mandating for you and I to take something that they themselves won't take.
[00:14:15.856 --> 00:14:20.519]  And now he's saying that healthcare workers all need to be inoculated.
[00:14:20.839 --> 00:14:31.467]  But it's healthcare workers that have seen the carnage and the illnesses and the deaths, the heart attacks, the strokes, the blood clots, that they've now even put as warnings on these injections.
[00:14:32.247 --> 00:14:38.132]  So they are frontline workers who are being told to cover up the fact that it's the vaccinated that are dead and dying.
[00:14:38.812 --> 00:14:47.358]  And now they're being told to walk the plank and roll the dice and put their own health on the line for an injection that doesn't even protect you.
[00:14:48.078 --> 00:14:55.983]  And an injection that actually lowers your immune system and turns your body into a factory of creating mutated deadly virus.
[00:14:56.063 --> 00:15:01.107]  We've been patient, but our patience is wearing thin.
[00:15:02.608 --> 00:15:04.569]  And your refusal has cost all of us.
[00:15:05.339 --> 00:15:12.421]  Biden is threatening Americans and saying that his patience is wearing out and that it's a pandemic of the unvaccinated.
[00:15:13.561 --> 00:15:26.348]  But if you look at the Israeli studies and others, natural immunity is 13 to 27 times better than the limited immunity that only lasts a few months from these frankenshots that have so many deadly side effects.
[00:15:27.149 --> 00:15:34.513]  So he's lying to you, just like he lied to you six months ago and two months ago and a week ago saying, just take the shot.
[00:15:35.273 --> 00:15:36.574]  It's got total protection.
[00:15:36.834 --> 00:15:37.714]  You won't get COVID.
[00:15:38.535 --> 00:15:41.797]  Well, a real vaccine would keep you from getting a disease.
[00:15:42.657 --> 00:15:45.538]  If you take measles, mumps, rubella, you get protection from that.
[00:15:45.738 --> 00:15:46.738]  It may have side effects.
[00:15:46.938 --> 00:15:47.918]  It may be contaminated.
[00:15:47.978 --> 00:15:49.099]  That's been the issue in the past.
[00:15:49.439 --> 00:15:52.419]  If you take a tetanus vaccine for 10 years, you're protected.
[00:15:53.099 --> 00:15:54.580]  That's the only vaccine I've had is tetanus.
[00:15:55.020 --> 00:15:55.880]  It's a real vaccine.
[00:15:56.500 --> 00:15:57.020]  Though the U.N.'
[00:15:57.000 --> 00:16:00.021]  's been caught painting them with steroids in Africa, so you gotta watch out.
[00:16:00.521 --> 00:16:01.741]  But this isn't a vaccine.
[00:16:02.182 --> 00:16:03.742]  It doesn't protect you.
[00:16:04.802 --> 00:16:07.543]  But he sits there and gaslights you and lies to you.
[00:16:08.467 --> 00:16:13.239]  That's why his two top regulators over vaccines at the FDA quit a week and a half ago.
[00:16:14.085 --> 00:16:16.447]  The mainstream media is not reporting on it.
[00:16:16.867 --> 00:16:21.791]  And we now even have the Mayor of Chicago saying you must pledge allegiance to the New World Order.
[00:16:22.111 --> 00:16:26.975]  We have the National Health Minister in Australia saying we're coming to your house with contact tracers.
[00:16:27.235 --> 00:16:28.256]  This is a New World Order.
[00:16:28.576 --> 00:16:39.405]  We have other world leaders announcing a corporate medical world order run by the United Nations where doctors and scientists and members of Congress like Rand Paul and former presidents
[00:16:39.705 --> 00:16:44.748]  Are censored from the internet when they question the policies of the COVID-19 takeover.
[00:16:45.368 --> 00:16:47.789]  This is 21st century war.
[00:16:48.589 --> 00:16:49.590]  Again, let's recap.
[00:16:50.110 --> 00:16:53.572]  He's lying to you and saying these vaccines protect you when they're not even vaccines and they don't.
[00:16:54.632 --> 00:17:00.275]  He's lying to you and saying that if you're unvaccinated, you're the one infecting everybody.
[00:17:01.015 --> 00:17:08.099]  When all the science is clear, it is the vaccinated that created the new super dangerous, very communicable Delta strain.
[00:17:09.616 --> 00:17:16.359]  This is all being done to divide and conquer our nation and bring in a world ID that will track and trace everything you do.
[00:17:16.680 --> 00:17:18.020]  A worldwide social credit score.
[00:17:18.400 --> 00:17:21.582]  This really is the end of the land of the free, home of the brave.
[00:17:22.182 --> 00:17:32.708]  All out of a virus that was hooked up by the former head of the CDC, who later headed up another federal agency, who created this weapon, this system at Wuhan.
[00:17:33.840 --> 00:17:35.721]  And now Fauci has been caught.
[00:17:36.501 --> 00:17:51.869]  Four-year lawsuits have produced 900 pages of documents where he directed a gain-of-function development of the exact same virus, later known as COVID-19, by combining all these different animal viruses with the HIV delivery system.
[00:17:52.509 --> 00:18:00.679]  And then he even told Peter Daszak, the head of the program at Wuhan, prepare a vaccine for what we've created in December of 2019.
[00:18:01.140 --> 00:18:02.822]  We know the virus was actually released.
[00:18:03.503 --> 00:18:09.450]  This is a global corporate takeover using a mass scare of a microbe.
[00:18:10.111 --> 00:18:17.517]  ...to then get full control of society, shut down small businesses, and declare the general public non-essential.
[00:18:18.217 --> 00:18:19.238]  This is eugenics.
[00:18:19.698 --> 00:18:20.939]  This is the New World Order.
[00:18:21.419 --> 00:18:28.925]  It's in Operation Lockstep, put on 11 years ago by the Rockefellers, that they would take over and set up a UN world government using the fear of a virus.
[00:18:29.245 --> 00:18:30.526]  That's how I was able to predict it.
[00:18:31.046 --> 00:18:32.648]  And now, they're doing it.
[00:18:33.268 --> 00:18:34.329]  We must organize.
[00:18:34.369 --> 00:18:35.290]  We must get together.
[00:18:35.350 --> 00:18:53.608]  We must support small businesses and companies and political leaders and religious leaders that will stand up to this for what it is, a global government great reset takeover designed to collapse the world economy and create a post-industrial system so they can carry out the orderly depopulation of Earth.
[00:18:54.489 --> 00:18:56.309]  President Biden is not our president.
[00:18:56.629 --> 00:18:57.490]  He is a puppet.
[00:18:57.630 --> 00:18:58.570]  He is a front man.
[00:18:59.070 --> 00:19:01.591]  And they know he'll take the heat for Afghanistan.
[00:19:01.631 --> 00:19:10.613]  He'll take the heat for the World ID and forced inoculations and then he'll be removed and they think you'll forget and blame him and not blame the globalists.
[00:19:10.993 --> 00:19:12.613]  We must blame Bill Gates.
[00:19:12.933 --> 00:19:15.214]  We must blame Dr. Anthony Fauci.
[00:19:15.254 --> 00:19:17.354]  We must blame the architects
[00:19:17.634 --> 00:19:27.898]  At the Bilderberg Group, Henry Kissinger and his protégé, Klaus Schwab, and Ted Turner, and Oprah Winfrey, and the people that head up the global depopulation operation.
[00:19:28.359 --> 00:19:40.504]  If we don't recognize this new, modern, stealthy corporate enemy, we have no future, our resources will be incrementally cut off, we'll be poisoned with these deadly shots, and we will be exterminated.
[00:19:41.204 --> 00:19:42.225]  Hitler made his move.
[00:19:42.705 --> 00:19:43.966]  The Communists made their move.
[00:19:44.406 --> 00:19:46.427]  Other authoritarian systems have made their moves.
[00:19:46.887 --> 00:19:48.408]  Pirates can't help themselves.
[00:19:48.468 --> 00:19:50.049]  They always grab for power.
[00:19:50.469 --> 00:19:55.892]  And this system, like other systems of corruption, of oppression and conquest, will fail.
[00:19:56.372 --> 00:20:00.014]  The only question is how many millions more have to die.
[00:20:00.374 --> 00:20:08.719]  Or will it be billions until humanity wakes up and stands up and realizes it's better to die on your feet than on your knees as a slave.
[00:20:27.037 --> 00:20:39.924]  We will be looking at what contact tracing looks like in the New World Order.
[00:20:40.244 --> 00:20:41.905]  I am not happy being vindicated.
[00:20:42.185 --> 00:20:47.829]  I am not happy having the entire Rockefeller New World Order UN takeover plan unfolding.
[00:20:48.329 --> 00:20:53.812]  I am not happy to see the Mayor of Chicago saying you must pledge allegiance to the New World Order when she's talking about lockdowns.
[00:20:54.452 --> 00:21:04.656]  I am not happy when we see the head health minister in Australia say, contact tracers are coming, you can't leave your house ever unless you've had shots of these experimental injections, this is the new world order.
[00:21:05.137 --> 00:21:06.197]  I'm not happy about that.
[00:21:06.477 --> 00:21:08.038]  I knew it was coming, I tried to stop it.
[00:21:08.358 --> 00:21:09.999]  But we're not caught flat footed.
[00:21:10.059 --> 00:21:18.202]  People are really awake around the world and the globalists are trying to censor and failing because they can't get their agenda through if the people know the truth.
[00:21:18.382 --> 00:21:21.884]  And out of all the great resistance out there, Rand Paul and so many others,
[00:21:22.964 --> 00:21:25.165]  We've got Roger Stones out there fighting it.
[00:21:25.205 --> 00:21:26.845]  We've got Joe Rogan.
[00:21:26.885 --> 00:21:30.306]  We've got all those great people like Tucker Carlson and all of you out there.
[00:21:30.686 --> 00:21:37.267]  But out of all the groups and organizations, it is the InfoWars listeners and viewers that are the biggest and most hardcore and most effective.
[00:21:37.548 --> 00:21:39.468]  That's why they hate me, because they hate you.
[00:21:39.988 --> 00:21:42.029]  So more than ever, tell folks about Band.Video.
[00:21:42.269 --> 00:21:43.669]  Tell folks about InfoWars.com.
[00:21:43.909 --> 00:21:45.089]  Tell them the truth lives there.
[00:21:45.369 --> 00:21:48.650]  And not just check it out, but to share it with others and tell them to share it.
[00:21:48.950 --> 00:21:50.211]  And that triggers a chain reaction.
[00:21:50.411 --> 00:21:51.211]  And then separately,
[00:21:52.111 --> 00:21:58.595]  Vitamin Mineral Fusion is about to sell out the next three or four days, but despite that, it is 33% off.
[00:21:58.915 --> 00:22:00.897]  Knockout Sleep Aid, back in stock.
[00:22:01.357 --> 00:22:02.678]  All natural aid ingredients.
[00:22:03.198 --> 00:22:04.179]  Wonderful restful sleep.
[00:22:04.219 --> 00:22:06.580]  So good for your immune system as well to get that good sleep.
[00:22:06.941 --> 00:22:08.361]  It is 50% off.
[00:22:08.882 --> 00:22:13.865]  And we have the super concentrated Vitamin B12, Ultra 12, back in stock.
[00:22:14.265 --> 00:22:15.266]  50% off and a lot more.
[00:22:15.586 --> 00:22:17.649]  So, this sale about a mineral fusion runs through Monday.
[00:22:17.889 --> 00:22:20.873]  The new sale throughout the week is the Knockout and the Old 4 12.
[00:22:21.433 --> 00:22:23.156]  Get yours today at M4WareStore.com.
