[00:00:01.007 --> 00:00:04.830]  Ladies and gentlemen, we have now cracked the code.
[00:14:49.699 --> 00:14:50.880]  We're making you non-essential.
[00:14:51.260 --> 00:14:53.983]   This Is there total takeover plan?
[00:14:54.984 --> 00:15:07.812]  And so I'm asking listeners, I'm asking archivists, we have one archivist, to go back into those hundreds of shows we did in the last 21 months and all the headlines and all the articles and all the places because we're famous for telling you what's coming but...
[00:15:09.443 --> 00:15:13.684]  I'm up here on Saturday evening with one crew member doing a great job who's taking time off.
[00:15:13.704 --> 00:15:38.786]   I don't even see his family during the holidays to be here with me to just get this out and we don't have the personnel to go find the hundreds of times I said this is not that deadly of a virus but it's a chimera a new thing they own so that they can put it out there and then claim this thing naturally mutated into all these deadly viruses that are going to cause mega death And then they've got plausible deniability to say it didn't come out of a lab, so World War III didn't start.
[00:15:39.266 --> 00:15:45.467]  I simply extrapolated out from the data I had that this was coming, and I predicted it hundreds and hundreds of times.
[00:15:46.287 --> 00:15:49.048]  So if I can figure this out, Ted Cruz can figure this out.
[00:15:49.528 --> 00:15:51.828]  If I can figure this out, Dr. Rand Paul can figure it out.
[00:15:52.168 --> 00:15:54.429]  If I can figure this out, Bolsonaro can figure it out.
[00:15:54.829 --> 00:16:02.554]   And Bolsonaro's now challenged the UN and said, it's the over-vaccinated, people that have taken multiple shots, They're actually dying.
[00:16:02.814 --> 00:16:04.235]  And he's pointed out it came out of a lab.
[00:16:05.095 --> 00:16:22.583]  But if we don't do this, we're going to allow the very people that created the virus on record, who released the virus, and who are now posing as our saviors running policy, to run our lives and keep walking us deeper and deeper and deeper into this biological warfare takeover they're engaged in.
[00:16:24.881 --> 00:16:25.961]  The secrets are out now.
[00:16:26.041 --> 00:16:26.502]  We know.
[00:16:26.902 --> 00:16:29.002]  My hypothesis from their own documents is there.
[00:16:29.483 --> 00:16:44.047]  Why were all the big tech companies and all the big pharma companies and the big banks, they were all, you know, Google, Apple, Twitter, Facebook, you know, investing in this, but particularly Apple and Google and Facebook.
[00:16:45.348 --> 00:16:51.990]  And why was all the big pharma in this Wuhan lab on chimeric viruses that could jump into humans?
[00:16:53.464 --> 00:16:58.047]  Because they all had to be corrupted, they all had to be in on it, so no one could blackmail the other group.
[00:16:58.548 --> 00:17:00.069]  That's how these global corporatists act.
[00:17:00.669 --> 00:17:09.216]  And so now they release the new variant, obviously made in a lab, that is the cover for all the ADE deaths that are going to happen from the previous inoculations.
[00:17:09.476 --> 00:17:20.144]  But then that will scare people into submission to take the new vaccine that they just now developed in the last two weeks, that's ready, and that Israel had drills two weeks ago of making their public take.
[00:17:20.604 --> 00:17:22.606]  So they're already up to their second booster shot.
[00:17:22.646 --> 00:17:23.768]  That's four shots in Israel.
[00:17:24.148 --> 00:17:31.636]  Now, magically, they have a drill of this happening two weeks later right as the vaccine rolls out for variants that they just say will protect you from variants.
[00:17:32.116 --> 00:17:34.779]  It just so protects you from the variant that came out.
[00:17:35.320 --> 00:17:36.521]  I mean, come on.
[00:17:36.581 --> 00:17:37.502]  This is all scripted.
[00:17:37.522 --> 00:17:38.503]  This is all a blueprint.
[00:17:38.523 --> 00:17:39.704]  This is all a plan.
[00:17:39.965 --> 00:17:41.086]  They brag it's a plan.
[00:17:41.526 --> 00:17:42.527]  They brag they've done it.
[00:17:42.768 --> 00:17:58.742]   And You've got all these gullible people signing on and going along with this, and the sicker they get, and the more of them die, they're not going to blame Big Pharma, they're not going to blame the UN, they're not going to blame China, they're not going to blame the Chai Kongs, they're going to blame the unvaccinated that were smart enough to do the research and know what was happening.
[00:17:59.302 --> 00:18:10.926]   And then, as the unvaccinated refuse to take these deadly shots, as it becomes obvious that they're poison, that they're a bioweapon, slash chemical weapon, We all get fired from our jobs.
[00:18:11.246 --> 00:18:18.988]  We all get shut off from the infrastructure, which then further collapses, which is part of the post-industrial world depopulation plan that Klaus Schwab talked about.
[00:18:19.228 --> 00:18:19.889]  You'll own nothing.
[00:18:19.909 --> 00:18:20.609]  You'll have nothing.
[00:18:20.949 --> 00:18:22.109]  Soon you'll live in communes.
[00:18:22.149 --> 00:18:23.550]  Those of you that are lucky enough to survive.
[00:18:23.970 --> 00:18:26.431]  This is modern warfare by the globalists.
[00:18:26.491 --> 00:18:29.632]  And if society doesn't wake up to this and realize this, we have no hope.
[00:18:29.672 --> 00:18:30.332]  We have no future.
[00:18:30.812 --> 00:18:44.144]  So, we're now into the second wave of the globalist attack, we're now into the second lockdowns, we're now into their next move, and we predicted it, we laid it out, and it's now 100% confirmed that the more you submit, the more freedom you lose.
[00:18:44.404 --> 00:18:46.767]  That the more you lay down, the more you're enslaved.
[00:18:47.007 --> 00:18:49.169]  That the more shots you take, the sicker you are.
[00:18:50.150 --> 00:18:56.756]  But people just can't get their minds around something this evil, this out of control, so they're falling into what you call Stockholm Syndrome.
[00:18:57.577 --> 00:19:00.519]  That's this Emergency Saturday Transmission.
[00:19:00.899 --> 00:19:02.861]  Very thankful for Zach for coming in and putting this together.
[00:19:03.561 --> 00:19:08.624]  I pray to all of you to research what we said here, to find out it's true, and even worse than I've said, to take action.
[00:19:08.945 --> 00:19:11.406]  Because again, in the UK and in Germany, the numbers are out.
[00:19:11.747 --> 00:19:15.449]  Government numbers twice as likely to die, period, if you take these shots.
[00:19:16.149 --> 00:19:21.433]  Not just the hundreds of footballers having heart attacks and dying hundreds of times the previous record level.
[00:19:21.713 --> 00:19:25.616]  You know, not just all the anecdotal things we see, but their own government numbers.
[00:19:27.876 --> 00:19:29.597]  And yes, you can argue the world's overpopulated.
[00:19:29.717 --> 00:19:32.358]  Yes, you can argue, hey, it'd be better off if there was less people.
[00:19:32.418 --> 00:19:34.399]  But they're going to kill us.
[00:19:34.439 --> 00:19:35.580]  They're coming after everybody.
[00:19:36.681 --> 00:19:40.763]  And they're the most greedy, hateful, horrible people that have the largest carbon footprints themselves.
[00:19:41.143 --> 00:19:46.046]  So they've just sold us this suicide pact, but they themselves aren't even signed on to it.
[00:19:46.406 --> 00:19:48.367]  Say no to the death cult while there's still time.
[00:19:48.807 --> 00:19:50.208]  We're going to post this to FreeWorldNews.tv.
[00:19:51.383 --> 00:19:54.064]  You're not able to share Banned.video on most platforms.
[00:19:54.084 --> 00:19:56.044]  You can share it via your text message or email.
[00:19:56.124 --> 00:19:56.604]  Please do it.
[00:19:56.964 --> 00:19:58.105]  Because you're the rest of the equation.
[00:19:58.125 --> 00:19:59.565]  If you don't take action, we fail.
[00:19:59.965 --> 00:20:02.646]  But freeworldnews.tv is still not blocked at this time.
[00:20:02.686 --> 00:20:03.406]  Maybe next week.
[00:20:03.746 --> 00:20:05.627]  But for now, eight, nine months it's been in the site.
[00:20:05.927 --> 00:20:07.007]  Freeworldnews.tv.
[00:20:07.407 --> 00:20:09.588]  Take this report from freeworldnews.tv.
[00:20:09.988 --> 00:20:20.135]   Get the link from there or from InfoWars.com and get that actual link and share it because The globalists are so close to losing, so close to failing, and their whole house of cards coming down.
[00:20:20.655 --> 00:20:30.386]  If they don't come down, they're bringing in a permanent feudalist state that is an exterminist plan that would make the Nazis blush.
[00:20:31.337 --> 00:20:32.057]  All right, I'm out of time.
[00:20:32.638 --> 00:20:33.478]  Thank you for watching.
[00:20:33.618 --> 00:20:36.659]  I beg you, I beg you to please take action.
[00:20:36.759 --> 00:20:39.880]  I beg you to research this and I beg you to warn others.
[00:20:40.260 --> 00:20:41.221]  You are the Paul Reveres.
[00:20:41.681 --> 00:20:42.721]  Thank you so much for watching.
[00:20:43.102 --> 00:20:45.462]  Again, everything is now up to you.
[00:20:49.704 --> 00:21:03.567]   Ladies and gentlemen, you probably remember Last year, Leticia James and the Democratic Party and a bunch of other groups were attacking us and demonizing us and claiming that we had a COVID cure.
[00:21:03.767 --> 00:21:04.808]  We were never saying that.
[00:21:05.229 --> 00:21:06.209]  We did not say that.
[00:21:06.630 --> 00:21:07.391]  And it wasn't true.
[00:21:07.431 --> 00:21:09.713]  But they wouldn't stop saying it.
[00:21:10.273 --> 00:21:13.116]  And so we pulled our best selling toothpaste.
[00:21:13.675 --> 00:21:21.158]  That had been sold long before the whole COVID hysteria began, that was whitening toothpaste that had some colloidal silver in it that my dad had designed.
[00:21:21.178 --> 00:21:22.179]  It was very, very popular.
[00:21:22.539 --> 00:21:23.139]  It was amazing.
[00:21:23.520 --> 00:21:28.602]  But they wouldn't stop saying that I was selling it as some type of COVID cure, so we pulled it off the market.
[00:21:29.022 --> 00:21:37.326]  Now, over a year later, we have the same toothpaste, but without the silver, and it's even better, ladies and gentlemen.
[00:21:37.686 --> 00:21:38.827]  It's more concentrated.
[00:21:38.887 --> 00:21:40.007]  It's even a better formula.
[00:21:40.327 --> 00:21:49.827]   So Super Silver is now Dr. Jones Naturals Super Coral Whitening Toothpaste with Natural Whitening with Coral Calcium.
[00:21:49.847 --> 00:21:55.452]  You can go to infowarrestore.com and read all about the ingredients, all about how it works, and what it does.
[00:21:55.472 --> 00:21:58.755]  It's for your teeth and your gums and for your breath.
[00:21:59.175 --> 00:22:00.955]  It's available at InfoWarsTore.com.
[00:22:01.235 --> 00:22:08.037]  And so is our Concentrated Activated Charcoal Toothpaste and Essential Oil Mouthwash that are amazing.
[00:22:08.097 --> 00:22:10.878]  And they're 50% off together.
[00:22:10.898 --> 00:22:15.499]  And we're running this sale through the end of the month of November.
[00:22:15.539 --> 00:22:19.239]  So it's going to run for a couple of weeks or while supplies last.
[00:22:19.339 --> 00:22:22.400]  We now have storewide free shipping and double Patriot points.
[00:22:22.500 --> 00:22:24.942]  For all the products at InfoWarStore.com.
[00:22:25.082 --> 00:22:31.527]  It is the Time to Get Prepared 2021 Mega Blowout Sale at InfoWarStore.com.
[00:22:31.587 --> 00:22:34.929]  And we have the new Super Coral Toothpaste available.
[00:22:35.009 --> 00:22:39.453]  It's even better than the last one, and it's concentrated, so it lasts a lot longer.
[00:22:39.513 --> 00:22:41.414]  It's very, very strong.
[00:22:41.494 --> 00:22:43.696]  Again, my dad is a retired dentist and oral surgeon.
[00:22:43.796 --> 00:22:45.397]  It is amazing he put it together.
[00:22:45.417 --> 00:22:50.121]  It took a long time to reformulate it, a long time to do it, but it would just easily pull the silver out of the old one.
[00:22:50.681 --> 00:22:52.262]  We decided to make it even better.
[00:22:52.282 --> 00:22:56.543]  So if you love the toothpaste before, you're absolutely going to love this toothpaste.
[00:22:56.643 --> 00:23:00.645]  And we have the Activated Charcoal Toothpaste at InfoWarsTore.com.
[00:23:01.045 --> 00:23:02.106]  They are 50% off together.
[00:23:04.103 --> 00:23:11.374]  25% off when you get them individually and you can find the best combo deals at drjonesnaturals.com.
[00:23:11.394 --> 00:23:20.807]  We've got great deals at m4store.com, but drjonesnaturals.com has some of the best deals, so take advantage of that.
[00:23:21.307 --> 00:23:24.551]  Again, we have the all-new Super Coral Whitening Toothpaste.
[00:23:24.591 --> 00:23:26.713]  It's finally arrived at InfoWarsTore.com.
[00:23:27.113 --> 00:23:31.418]  Now with free shipping and double Patreon points, the team over at Dr. Jones Naturals has done it again.
[00:23:31.818 --> 00:23:37.044]  They have secured a new line of fluoride-free toothpaste that's loaded with natural ingredients shown to freshen your breath.
[00:23:37.464 --> 00:23:39.265]  Whiten your teeth and so much more.
[00:23:39.345 --> 00:23:44.589]  Stop damaging your teeth with risky whitening products that are full of toxic synthetic garbage.
[00:23:44.869 --> 00:23:54.056]  Super Coral Whitening Toothpaste is 100% natural and free of BPA, parabens, harsh preservatives, harmful sulfates, and SLSs.
[00:23:54.316 --> 00:24:00.680]  For a limited time, get the new Super Coral Whitening Toothpaste for an introductory price of $9.95 at infowarstore.com.
[00:24:00.941 --> 00:24:12.367]   And for an even better deal, go to drjonesnaturals.com, one word, and save up to 50% off With your purchase in the combo packs, we do expect to sell out of this limited first run very quickly.
[00:24:12.627 --> 00:24:17.169]  So now is the time to get your bottle of an info or store.com while you still can.
[00:24:17.429 --> 00:24:18.750]  That's info or store.com.
[00:24:18.790 --> 00:24:21.851]  And again, it's part of the big store wide sale.
[00:24:21.991 --> 00:24:25.192]  Turbo force 10 hour clean energy back in stock 40% off.
[00:24:27.279 --> 00:24:32.064]  And a bunch of other products up to 50% off at InfoWarStore.com.
[00:24:32.104 --> 00:24:34.986]  But Turbo Force now back in stock.
[00:24:35.066 --> 00:24:36.588]  Bodies back in stock.
[00:24:36.708 --> 00:24:39.010]  All of it available at InfoWarStore.com.
