[00:00:04.091 --> 00:00:15.416]  I'm watching the midterms.
[00:04:22.762 --> 00:04:28.604]  tax dollars, while the CCP is preparing to wage war against the U.S.
[00:04:30.180 --> 00:04:39.243]  By hook or by crook, the ethos of the communist Chinese is what the bankers want for their world government dream.
[00:04:39.243 --> 00:04:52.527]  Every individual connected to a central bank, controlled by a social credit score, and made to accept endless injections of unknown substances into their body.
[00:04:52.527 --> 00:04:55.788]  For InfoWars.com, this is Greg Reese.
[00:04:55.788 --> 00:04:57.149]  Ladies and gentlemen, stand by.
[00:04:57.149 --> 00:04:58.029]  We'll be back in 60 seconds.
[00:05:00.623 --> 00:05:07.849]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[00:05:07.849 --> 00:05:13.794]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[00:05:13.794 --> 00:05:15.195]  Horrible crashes and
[00:05:16.744 --> 00:05:19.025]  Again, so many toxins in them.
[00:05:19.025 --> 00:05:31.112]  All of the nootropic products that we sell at InfoWarsTore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[00:05:31.112 --> 00:05:34.114]  And right now, our strongest product, the three nootropics we have,
[00:05:35.120 --> 00:05:43.785]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at InfoWareStore.com.
[00:05:43.785 --> 00:05:47.227]  TurboForce has been sold out for more than six months.
[00:05:47.227 --> 00:05:50.108]  It's back in stock with free shipping, 40% off.
[00:05:50.108 --> 00:05:55.091]  It is 10 hours of clean energy.
[00:05:55.091 --> 00:05:59.673]  Clean energy without the big crash, and it's available right now, and it funds the InfoWare 360 win.
[00:06:07.322 --> 00:06:08.804]  Ladies and gentlemen,
[00:06:40.828 --> 00:06:49.993]  Infowars, because there is a war on for your mind.
[00:06:49.993 --> 00:07:01.099]  All right, I am going to lay out news and information today that is the absolute key to victory and liberty and will save millions of lives and change the entire course of human development.
[00:07:02.173 --> 00:07:04.694]  Everything is now 100% crystal clear.
[00:07:04.694 --> 00:07:07.495]  All the pieces have fallen into place.
[00:07:07.495 --> 00:07:19.079]  And the good news is there's a chain reaction taking place right now that is simply amazing.
[00:07:19.079 --> 00:07:21.119]  And what am I talking about?
[00:07:21.119 --> 00:07:27.522]  Well, this came out actually six months ago.
[00:07:27.522 --> 00:07:31.363]  And we covered it with several guests and we read articles about it and showed documents on air.
[00:07:33.206 --> 00:07:40.971]  But then I saw stories last night that when I first saw it on Twitter, I thought it was a joke.
[00:07:40.971 --> 00:07:45.313]  But then I went and looked at it, and there it was, the link to the federal court, and it wasn't even in the mainstream news.
[00:07:45.313 --> 00:07:48.555]  They were reporting it like it was no big deal.
[00:07:48.555 --> 00:07:57.821]  And then it reminded me of the documents that leaked in the United States, and the documents that leaked in Brazil, and in the European Union.
[00:07:57.821 --> 00:08:00.863]  There was over 50 countries signed onto it.
[00:08:00.863 --> 00:08:02.524]  A secret agreement
[00:08:05.191 --> 00:08:24.495]  A secret agreement with Pfizer and the United Nations with billions of dollars of payoff money paid by Bill Gates, that's in the news today too, to the government officials and the media, right down to reporters.
[00:08:24.495 --> 00:08:30.436]  I mean, small reporters got hundreds of thousands of dollars.
[00:08:30.436 --> 00:08:32.517]  Big ones, millions.
[00:08:32.517 --> 00:08:34.697]  The numbers are about four billion that we now know of.
[00:08:36.917 --> 00:08:38.758]  He was the bag man for?
[00:08:38.758 --> 00:08:42.021]  I mean, this is just over the top.
[00:08:42.021 --> 00:08:43.982]  And what are the secret agreements say?
[00:08:43.982 --> 00:08:46.764]  Well, we don't have but part of it.
[00:08:46.764 --> 00:08:55.090]  And it puts Pfizer in control of the governments and in the response to COVID and all news and information.
[00:08:56.946 --> 00:09:06.809]  See, you've heard governments can sign treaties with foreign powers, but can those treaties supersede the Constitution and Bill of Rights?
[00:09:06.809 --> 00:09:10.010]  That's been argued by globalists for a hundred years.
[00:09:10.010 --> 00:09:16.512]  That's how they've been pushing the UN and all these bodies that transfer our sovereignty.
[00:09:16.512 --> 00:09:23.775]  But to say that government can contract secretly with a corporation and a consortium of corporations
[00:09:24.980 --> 00:09:37.529]  To control information, to control government response, and to not let the public even know what is in a shot for 50 years.
[00:09:37.529 --> 00:09:39.471]  And that's what came out.
[00:09:39.471 --> 00:09:54.142]  A document we didn't know about, but they showed it in federal court and told the federal judge, we want you to seal, because of all these lawsuits, all of our secret studies and what's in these shots, and we want to be able to change what's in them for whenever we want.
[00:09:55.333 --> 00:09:58.714]  I mean, it's just 007 license to kill.
[00:09:58.714 --> 00:10:00.834]  Us.
[00:10:00.834 --> 00:10:07.076]  And the judge is like, yeah.
[00:10:07.076 --> 00:10:12.957]  Hasn't ruled yet, but said, yeah, that's what you've got a contract with Homeland Security and FEMA.
[00:10:12.957 --> 00:10:15.037]  A contract.
[00:10:15.037 --> 00:10:16.918]  And so this is what Trump did to us.
[00:10:18.490 --> 00:10:23.255]  This is what Warp Speed and all this is, and all these other countries signed on to it.
[00:10:23.255 --> 00:10:24.997]  He, of course, didn't read it.
[00:10:24.997 --> 00:10:29.022]  And I remember Trump, about two months ago, did three interviews.
[00:10:29.022 --> 00:10:31.264]  In fact, I forgot to tell the crew to find some.
[00:10:31.264 --> 00:10:32.846]  We played it at the time.
[00:10:32.846 --> 00:10:37.411]  Headline, Trump says Pfizer has more power than governments should be looked at.
[00:10:40.066 --> 00:10:49.499]  And then Trump was in a Fox News, he was in a NBC interview, and he was on Newsmax all three times and said, people should really look at Pfizer.
[00:10:49.499 --> 00:10:50.580]  Very interesting.
[00:10:50.580 --> 00:10:52.723]  I don't think you should have to give people booster shots.
[00:10:52.723 --> 00:10:54.285]  I don't think you should make people take shots.
[00:10:55.566 --> 00:11:01.049]  I'm very interested for people to research that they'll be blown away by how much power Pfizer has.
[00:11:01.049 --> 00:11:08.413]  Because he knows, under the agreements now, that he's just learned what he signed on to, that he didn't read, that it gave them more power than a president.
[00:11:08.413 --> 00:11:09.093]  In fact, that's what he said.
[00:11:09.093 --> 00:11:11.494]  He said, Pfizer has more power than the president.
[00:11:11.494 --> 00:11:13.295]  That was one of the quotes.
[00:11:13.295 --> 00:11:15.377]  Kind of a big deal.
[00:11:15.377 --> 00:11:19.859]  Now, that's endearing that Trump woke up and admits he got conned.
[00:11:19.859 --> 00:11:21.340]  But he needs to come out fully against it.
[00:11:22.762 --> 00:11:27.125]  This is so big, ladies and gentlemen, that we've got Mike Cernovich in the studio.
[00:11:27.125 --> 00:11:28.126]  So happy to have him here.
[00:11:28.126 --> 00:11:29.246]  We've got Tim Pool in the studio.
[00:11:29.246 --> 00:11:30.247]  That's going to be amazing today.
[00:11:30.247 --> 00:11:32.569]  I'm going to do all four hours.
[00:11:32.569 --> 00:11:34.250]  And I'm sure they're going to agree this is a big deal.
[00:11:34.250 --> 00:11:36.471]  I'm going to get their take on it.
[00:11:36.471 --> 00:11:37.952]  But do you understand?
[00:11:37.952 --> 00:11:40.494]  This is all we should be talking about.
[00:11:40.494 --> 00:11:42.055]  This.
[00:11:42.055 --> 00:11:51.982]  And that's why the CEO of Pfizer goes on TV and says, I want laws passed to arrest anybody that criticizes Pfizer and the European Union and Canada and Australia.
[00:11:52.938 --> 00:12:00.059]  And click their heels, the UK, click their heels and pass emergency laws.
[00:12:00.059 --> 00:12:18.203]  Well, how did you pass emergency laws to arrest people that criticize lockdowns and forced injections in Croatia, in Austria, in Australia, in Spain, and the laws about to pass, because you're making it through Parliament, instead of just doing executive power in the UK.
[00:12:20.622 --> 00:12:26.145]  And this guy, like some super villain, beams in to the Atlantic Council.
[00:12:26.145 --> 00:12:29.886]  We need to arrest the dark actors that are blocking us.
[00:12:29.886 --> 00:12:32.327]  And the man, the mini goes, yes, of course.
[00:12:32.327 --> 00:12:33.168]  It should be illegal.
[00:12:33.168 --> 00:12:35.069]  Arrest them.
[00:12:35.069 --> 00:12:35.829]  Oh, boy.
[00:12:35.829 --> 00:12:39.230]  I mean, it's on.
[00:12:39.230 --> 00:12:47.094]  So globalism is a project of getting traitors into local government and national government and having them transfer all the power to international bodies.
[00:12:48.257 --> 00:12:56.219]  And the UN is only a segue into corporate fascism and the corporations finally being in direct control of the planet.
[00:12:56.219 --> 00:12:59.880]  And that's been their goals, again, since they set up the UN.
[00:12:59.880 --> 00:13:02.801]  Hell, since they set up the League of Nations, it fell apart.
[00:13:02.801 --> 00:13:06.222]  So this is a hundred-plus-year-old project.
[00:13:06.222 --> 00:13:07.743]  It's over a hundred years, like 104 years old now.
[00:13:09.724 --> 00:13:11.445]  Since it was officially a global project.
[00:13:11.445 --> 00:13:12.586]  I mean, it's really older than that.
[00:13:12.586 --> 00:13:16.448]  Cecil Rhodes ran the British Empire, and it's really his plan.
[00:13:16.448 --> 00:13:17.849]  And he wrote a bunch of books on it.
[00:13:17.849 --> 00:13:18.429]  You can go read them.
[00:13:18.429 --> 00:13:19.590]  I've read two of them.
[00:13:19.590 --> 00:13:21.631]  So this is a fact.
[00:13:21.631 --> 00:13:27.074]  And oh, by the way, this isn't global government that wants you to have a beautiful planet and a world ID.
[00:13:27.074 --> 00:13:29.155]  We all can go wherever we want, do whatever we want.
[00:13:29.155 --> 00:13:32.337]  No, you're going to be locked in your house and under robot gunpoint.
[00:13:33.550 --> 00:13:34.571]  Under a technocracy.
[00:13:34.571 --> 00:13:38.915]  So, I want to show you these headlines for TV viewers, radio listeners, I'll read these for you.
[00:13:38.915 --> 00:13:57.732]  And listen, I'm not asking you, I'm telling you, please, for your children, for sanity, go read these articles, get this information, share it with folks, and then share the live feed of the show, or take the archive of this when it's on Bandot Video later today, and download it and share it and re-upload it, and make a big deal out of it.
[00:13:58.988 --> 00:13:59.949]  So here it is.
[00:13:59.949 --> 00:14:05.374]  FDA asked court for 55 years to fully release Pfizer COVID-19 vaccine data.
[00:14:05.374 --> 00:14:10.138]  It's just come out that they're killing people and they covered it up and they know it and we've got all the whistleblowers.
[00:14:10.138 --> 00:14:16.763]  So those people can be sued or even arrested if they tell you that they're killing you.
[00:14:16.763 --> 00:14:19.366]  Well, that sounds like something I want to take.
[00:14:19.366 --> 00:14:20.346]  Okay, so there it is.
[00:14:20.346 --> 00:14:24.470]  FDA asked federal judge to grant it total secrecy until the year 2076.
[00:14:27.585 --> 00:14:29.887]  It's not a joke, ladies and gentlemen.
[00:14:29.887 --> 00:14:34.611]  Oh, then this little tidbit here.
[00:14:34.611 --> 00:14:41.396]  Revealed documents show Bill Gates gave $319 million to media outlets, and that's only in one year in just a few countries.
[00:14:41.396 --> 00:14:45.359]  It's $4 billion in the last five years.
[00:14:45.359 --> 00:14:46.520]  That's why they do whatever he says.
[00:14:46.520 --> 00:14:54.887]  That's why he goes on TV, you know, like your dog you feed, and you snap your fingers and say, sit to get a biscuit, and he snaps his fingers, the media sits.
[00:14:56.601 --> 00:15:01.983]  He snaps his fingers and says, give children deadly shots, and they push it because they're owned.
[00:15:01.983 --> 00:15:02.563]  And here it is.
[00:15:02.563 --> 00:15:04.203]  Now, when we come back, I'm going to hit the big news.
[00:15:04.203 --> 00:15:05.284]  Here it is, mainstream news.
[00:15:05.284 --> 00:15:08.024]  ABC.net, that's Australia.
[00:15:08.024 --> 00:15:09.145]  Here it is out of the Washington Post.
[00:15:09.145 --> 00:15:11.305]  I mean, they've already told you this in your face.
[00:15:11.305 --> 00:15:17.407]  Pfizer has power to silence, that's a quote, governments and maximize profits.
[00:15:17.407 --> 00:15:19.208]  Wow, you can silence governments.
[00:15:19.208 --> 00:15:20.388]  Yeah, like you silence U.S.
[00:15:20.388 --> 00:15:22.228]  Senators when they criticize Pfizer.
[00:15:22.228 --> 00:15:23.629]  You're not allowed to say that on the Senate floor.
[00:15:24.689 --> 00:15:29.411]  In secret vaccine contracts with governments, Pfizer took hard line to push profit.
[00:15:29.411 --> 00:15:31.891]  It's not about profit, it's about control and power.
[00:15:31.891 --> 00:15:43.875]  Pfizer demands governments gamble with state assets to secure vaccine debt and sign over the nations to them in receivership, like you go pay a bond when you're out of jail on a murder charge.
[00:15:45.853 --> 00:15:53.757]  They have signed us on to this just like they had third world countries sign on the IMF and World Bank and be bankrupt forever This is the change going on baby.
[00:15:53.757 --> 00:16:13.946]  This is world corporate government that wants to kill you If you're concerned about the there are so many crappy brands of energy products energy drinks energy powders energy pills and look Almost all of them work, but they're toxic and they've got incredible downsides horrible crashes and
[00:16:15.501 --> 00:16:17.762]  Again, so many toxins out.
[00:16:17.762 --> 00:16:29.867]  All of the nootropic products that we sell at InfoWarsTour.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[00:16:29.867 --> 00:16:32.848]  And right now, our strongest product, the three nootropics we have,
[00:16:33.857 --> 00:16:42.522]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at InfoWarsTore.com.
[00:16:42.522 --> 00:16:45.964]  TurboForce has been sold out for more than six months.
[00:16:45.964 --> 00:16:48.846]  It's back in stock with free shipping, 40% off.
[00:16:48.846 --> 00:16:53.049]  It is 10 hours of clean energy.
[00:16:53.809 --> 00:16:59.391]  Clean energy without the big crash, and it's available right now, and it funds the Infowar, a 360 win.
[00:16:59.391 --> 00:17:02.273]  It's time to protect your privacy.
[00:17:02.273 --> 00:17:10.156]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government,
[00:17:10.356 --> 00:17:16.243]  They are stealing all of your data and creating a map and a database of where you go and what you do.
[00:17:16.243 --> 00:17:20.689]  So in the future, under their globalist takeover, they can shut you down.
[00:17:20.689 --> 00:17:29.079]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[00:17:29.560 --> 00:17:32.302]  That's why everybody should visit InfoWarsTore.com.
[00:17:32.302 --> 00:17:40.987]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[00:17:40.987 --> 00:17:42.008]  It's a 360 win.
[00:17:42.008 --> 00:17:47.952]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the globalists.
[00:17:47.952 --> 00:17:49.733]  A true 360 win.
[00:17:49.733 --> 00:17:52.735]  Get your Faraday cages at InfoWarsTore.com.
[00:17:52.735 --> 00:17:53.836]  Check out the new line.
[00:17:53.836 --> 00:17:54.396]  It's amazing.
[00:18:01.670 --> 00:18:03.752]  Your voice counts.
[00:18:03.752 --> 00:18:08.815]  When you share information, be it over the internet or in person, it changes the world.
[00:18:08.815 --> 00:18:11.397]  The globalists know their agenda is unpopular.
[00:18:11.397 --> 00:18:12.898]  They know you're angry.
[00:18:12.898 --> 00:18:17.762]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[00:18:17.762 --> 00:18:28.910]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports, and share them with everyone you know.
[00:18:29.070 --> 00:18:35.972]  Take action now by texting the word NEWS, N-E-W-S, to 833-470-0438.
[00:18:35.972 --> 00:18:41.253]  That's 833-470-0438 for Infowars Emergency News Alerts.
[00:18:41.253 --> 00:18:48.375]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[00:18:48.375 --> 00:18:52.856]  Take action now, create the chain reaction, and tell others to share those texts.
[00:18:52.856 --> 00:18:53.776]  Get news alerts at 833-470-0438.
[00:18:59.875 --> 00:19:04.857]  God created each and every one of us with free will.
[00:19:04.857 --> 00:19:21.683]  When we look at the world system now, openly announcing the Mark of the Beast, everything that it's attempting to do is built around getting rid of our free will and making us bow down and submit and turn our very bodies, our very productivity, our very genetics, our very
[00:19:22.783 --> 00:19:25.225]  Future over to them.
[00:19:25.225 --> 00:19:26.966]  They want control of procreation.
[00:19:26.966 --> 00:19:29.927]  They want control of the relationships between men and women.
[00:19:29.927 --> 00:19:35.691]  They want to bring a form of living death to our society and our civilization.
[00:19:35.691 --> 00:19:41.234]  All of us were formed and made in God's mind and God's image and given free will.
[00:19:41.234 --> 00:19:50.760]  And make no mistake, all of you alive today were created by God to be alive in this special time so that you could make the right decision in free will and stand against evil.
[00:19:51.795 --> 00:20:02.300]  And then, for eternity, win the great birthright prize of being in line with God.
[00:20:02.300 --> 00:20:04.981]  You're listening to the Alex Jones Show.
[00:20:26.078 --> 00:20:34.100]  Alright, so here's the big takeaway, and this is the most important thing in the world that I'm about to say.
[00:20:34.100 --> 00:20:50.463]  The most important thing in your life, the most important thing in my life, and every person on this planet, if you want to be free.
[00:20:53.595 --> 00:20:55.016]  This isn't just a political issue.
[00:20:55.016 --> 00:20:56.877]  This is an issue that is everything.
[00:20:56.877 --> 00:20:59.299]  This is the new type of war.
[00:20:59.299 --> 00:21:00.240]  This is globalism.
[00:21:00.240 --> 00:21:02.521]  This is their endgame plan.
[00:21:02.521 --> 00:21:06.004]  It's what they've been working on for a hundred years.
[00:21:06.004 --> 00:21:11.147]  They wanted to establish world government and carry out depopulation over a hundred years ago on record.
[00:21:11.147 --> 00:21:19.193]  Plato, the father of what you'd call philosophy, wanted to establish an empire and kill all the poor people too.
[00:21:20.424 --> 00:21:22.105]  Not just Malthus 300 years ago.
[00:21:22.105 --> 00:21:24.247]  Not just Galton 170 years ago.
[00:21:24.247 --> 00:21:36.796]  If you don't know who Galton is, if you don't know who Cecil Rhodes is, if you don't know who Thomas Malthus was, if you don't know who Plato was, you need to learn.
[00:21:36.796 --> 00:21:39.959]  Because these are the governing controllers of your life.
[00:21:41.656 --> 00:21:43.538]  Most important thing spiritually is God.
[00:21:43.538 --> 00:21:44.218]  That's number one.
[00:21:44.218 --> 00:21:59.912]  But when it comes to this planet and what's the whole rest of your life, vaccine checkpoints, robots replacing humans, being injected with poisons till you die, total tyranny, re-education camps.
[00:21:59.912 --> 00:22:00.912]  How do they sell those?
[00:22:00.912 --> 00:22:06.157]  Well, vaccine passports and checkpoints and taking people away to the, quote,
[00:22:08.362 --> 00:22:10.542]  Interment facility for their safety.
[00:22:10.542 --> 00:22:11.763]  That's what this is.
[00:22:11.763 --> 00:22:12.803]  That's the plan.
[00:22:12.803 --> 00:22:17.904]  I told you 21 months ago when this all started, that this was all going to be unfolding exactly as it has.
[00:22:17.904 --> 00:22:19.804]  And I told you then there'd be booster shots.
[00:22:19.804 --> 00:22:23.765]  And then they'd say, oh, you've got to take those.
[00:22:23.765 --> 00:22:27.306]  And then they're going to say, oh, we got to arrest all the people that won't take vaccines.
[00:22:27.306 --> 00:22:33.127]  They're the reason everybody keeps getting sick, even though these vaccines erase your immunity and make you sick on record.
[00:22:36.411 --> 00:22:48.176]  And they've got all the nanny state liberal police in all of Europe and Canada and Australia and New Zealand and the UK and in blue cities in the US that will put you in jail for life.
[00:22:48.176 --> 00:22:51.238]  They want to disappear you and your family.
[00:22:51.238 --> 00:22:53.639]  They are totally turned over to this.
[00:22:57.551 --> 00:22:59.392]  You understand, they'll do anything they're told.
[00:22:59.392 --> 00:23:13.037]  They'll beat women and children with clubs for going outside to the park, when Fauci and Bill Gates created the virus and released it, and now give you a vaccine that creates the virus in your body.
[00:23:13.037 --> 00:23:25.982]  No matter how many people die, no matter how evil things get, they are yes-men that have decided to follow orders and have decided to rationalize what they're doing, and so they are capable of anything.
[00:23:25.982 --> 00:23:27.203]  Alright, let me make the big announcement.
[00:23:28.425 --> 00:23:30.525]  What is the big announcement?
[00:23:30.525 --> 00:23:37.627]  Just boil down for everyone so that we can get Rand Paul and Josh Hawley and Ted Cruz on board.
[00:23:37.627 --> 00:23:39.147]  They all know this.
[00:23:39.147 --> 00:23:42.167]  They all know that if they talk about this, the system comes after them.
[00:23:42.167 --> 00:23:44.548]  They won't just be getting shot at or their ribs broken.
[00:23:44.548 --> 00:23:46.888]  It'll be a lot worse.
[00:23:46.888 --> 00:23:52.649]  But we're all going to lose everything anyways if we don't call out the heart of the matter.
[00:23:52.649 --> 00:23:57.170]  The United States government, along with more than 50 other governments,
[00:23:58.246 --> 00:24:14.637]  signed an illegal treaty with Pfizer and the United Nations to put our countries into total receivership to them during the emergency if they would give us the drug to save us.
[00:24:16.138 --> 00:24:32.070]  Total censorship control, total secrecy of what's in it, total secrecy of what it does to people, allowed to lie, allowed to put out fake info, allowed to have anyone arrested they want, allowed to censor anybody they want, total global dictatorship.
[00:24:32.070 --> 00:24:34.432]  In fact, get clip 19 ready with Rand Paul.
[00:24:34.432 --> 00:24:37.254]  Rand Paul came out and said, Fauci's an authoritarian.
[00:24:37.254 --> 00:24:41.997]  And the way he casually talks about, you have no personal rights, is serious tyranny.
[00:24:41.997 --> 00:24:44.199]  Yeah, we're in an authoritarian state.
[00:24:45.555 --> 00:24:51.217]  The big Chinese dissident finally released, it was on PBS, and they said, you know, isn't Trump in America authoritarian and bad?
[00:24:51.217 --> 00:24:52.317]  He goes, no.
[00:24:52.317 --> 00:24:53.417]  Trump is not authoritarian.
[00:24:53.417 --> 00:24:54.958]  He doesn't have any power.
[00:24:54.958 --> 00:24:56.398]  The left is like Mao.
[00:24:56.398 --> 00:24:57.378]  They're taking over.
[00:24:57.378 --> 00:24:58.319]  You're in danger.
[00:24:58.319 --> 00:25:01.019]  And she's like, ha ha ha.
[00:25:01.019 --> 00:25:02.900]  She has no idea.
[00:25:02.900 --> 00:25:05.741]  No idea that she's walking dead.
[00:25:05.741 --> 00:25:06.221]  No idea.
[00:25:06.221 --> 00:25:07.441]  I mean, folks, this is it.
[00:25:07.441 --> 00:25:09.122]  You don't understand.
[00:25:09.122 --> 00:25:10.162]  This is it.
[00:25:11.129 --> 00:25:17.071]  And we either man up and expose this, and pull out of these illegal treaties, and arrest these people, or it's over.
[00:25:17.071 --> 00:25:19.633]  Now, other people won't say that, because they'll come after you.
[00:25:19.633 --> 00:25:21.253]  Listen!
[00:25:21.253 --> 00:25:26.395]  I'm not signing on to billions of dead people in my name!
[00:25:26.395 --> 00:25:34.899]  And all the fools that sit there and do the mental gymnastics that say, I'm the bad guy for fighting these people, you're all gonna see what happens if we're unable to stop this thing.
[00:25:37.065 --> 00:25:38.826]  And why wouldn't they go for broke?
[00:25:38.826 --> 00:25:39.946]  It lets them take over everything.
[00:25:39.946 --> 00:25:41.166]  It lets them depopulate everybody.
[00:25:41.166 --> 00:25:45.768]  It lets them collapse civilization and take all your money and everything through the medical system.
[00:25:45.768 --> 00:25:52.790]  It lets them phase out the majority of the population and roll forward with all the new technologies and systems and life extension for themselves.
[00:25:52.790 --> 00:25:54.530]  And then they just steal the whole future.
[00:25:54.530 --> 00:25:59.352]  And if you want your destiny stolen, and you want your children's future stolen, and all of this, then that's up to you.
[00:25:59.352 --> 00:26:01.132]  But this is real.
[00:26:01.132 --> 00:26:03.433]  And that's why they're fighting like the devil to keep
[00:26:04.378 --> 00:26:05.579]  Us off the air.
[00:26:05.579 --> 00:26:06.500]  This is life and death.
[00:26:06.500 --> 00:26:10.023]  And I'm more than willing to be set up or put in prison or die.
[00:26:10.023 --> 00:26:11.083]  I'm not looking forward to it.
[00:26:11.083 --> 00:26:12.505]  I really don't like it.
