[00:00:13.951 --> 00:00:15.532]  I'm watching the midterms.
[00:03:16.593 --> 00:03:22.434]  And there's footage of Antifa bullying and physically attacking people that don't want to wear a mask on trains.
[00:03:22.434 --> 00:03:27.975]  And the Antifa is there as the enforcers to then force them off of the trains.
[00:03:27.975 --> 00:03:31.536]  They are the terrorist enforcers of the establishment.
[00:03:31.536 --> 00:03:36.037]  They're the ones working with the authoritarian police in places like Germany.
[00:03:36.037 --> 00:03:40.018]  This is a medical tyranny takeover.
[00:03:40.018 --> 00:03:40.778]  Okay, let me tell you.
[00:03:42.799 --> 00:03:43.760]  What's happening here today?
[00:03:43.760 --> 00:03:46.702]  We've got another gigantic transmission lined up for you.
[00:03:46.702 --> 00:03:57.971]  Mike Adams privately called me a week ago and he said, watch next week, Evergrande, the big $300 billion Chinese Ponzi scheme, real estate scam.
[00:03:57.971 --> 00:03:59.532]  It's going to go belly up.
[00:03:59.532 --> 00:04:07.118]  And then you're going to see X, Y, and Z. And right on time, what he talked about did unfold a few days later.
[00:04:07.118 --> 00:04:08.939]  And so I said, I really want you to come on the show.
[00:04:08.939 --> 00:04:09.580]  And he said, well,
[00:04:11.052 --> 00:04:15.975]  This, you know, news is so scary, I don't even want to be the one breaking it.
[00:04:15.975 --> 00:04:22.519]  And I said, you know, Mike, we have a responsibility, and I'm not lecturing him, this is what happened, to just go ahead and tell people.
[00:04:22.519 --> 00:04:28.362]  And I respect your view, and if people know what's coming, they have a chance to stop it, or at least get ready for it.
[00:04:28.362 --> 00:04:36.847]  So, I don't like to be the bearer of bad news, as they say, but it's better to know the bad news is coming than to not know it's coming.
[00:04:36.847 --> 00:04:38.328]  You know, it's nice that we had the advent of
[00:04:40.583 --> 00:04:41.644]  Radar and things like that.
[00:04:41.644 --> 00:04:45.468]  So we know when tornadoes were coming, at least get a 30 minute or an hour head start on them.
[00:04:45.468 --> 00:04:48.071]  Instead of just suddenly they come out of nowhere and you're dead.
[00:04:48.071 --> 00:04:52.275]  So we're going to give you that tornado storm report coming up in the third hour as well.
[00:04:52.275 --> 00:04:53.436]  So much more today.
[00:04:53.436 --> 00:04:56.339]  It's going to be another very historic transmission.
[00:04:56.339 --> 00:04:59.402]  Please stay with us.
[00:04:59.402 --> 00:05:00.143]  Alex Jones here.
[00:05:02.885 --> 00:05:03.286]  ...are great.
[00:05:03.286 --> 00:05:04.386]  Got a bag of it here.
[00:05:04.386 --> 00:05:08.309]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[00:05:08.309 --> 00:05:09.390]  The communist!
[00:05:09.390 --> 00:05:22.040]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee, and yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune, and whatever.
[00:05:22.040 --> 00:05:31.147]  The point is, is that it's good coffee, and we've got it, and the farmers don't let the Mexican government take over, so I actually buy this from the Mexican rebels, and I've been buying it for, what, 14 years, and the price has never gone up.
[00:05:31.147 --> 00:05:32.548]  The same stuff sold at Whole Foods on
[00:05:32.568 --> 00:05:37.971]  There's another name for about 50% more per pound and I just think it's some of the best coffee you're going to find anywhere.
[00:05:37.971 --> 00:05:42.153]  It's Wake Up America Patriot Blend from the Chiapas Rebels, literally.
[00:05:42.153 --> 00:05:45.234]  Um, in fact, I'm not going to tell you the whole story.
[00:05:45.234 --> 00:05:49.617]  Um, we had like the... You wouldn't believe it.
[00:05:49.617 --> 00:05:55.900]  Anyway, so it's InfoWarsTore.com and that's how we fund this operation and if you don't fund us, you don't want us here, that's fine.
[00:06:10.794 --> 00:06:21.480]  It is a big victory against the cultural Marxist and the social engineers using liberation theology to divide and conquer the United States of America.
[00:06:21.480 --> 00:06:22.461]  A jury found Jussie
[00:06:40.615 --> 00:06:50.042]  The race hoax terrorist, Smollett, guilty of staging the hate crime on himself.
[00:06:50.042 --> 00:07:03.273]  And it was really another in-cap, or demonstration piece, with how he defended himself, saying that the judge tried to physically attack him in the courtroom, even though that wasn't true.
[00:07:03.273 --> 00:07:07.436]  Saying that everyone was racist and homophobic, including black people.
[00:07:08.729 --> 00:07:11.230]  And that he was a victim.
[00:07:11.230 --> 00:07:14.570]  But it turns out he wanted more money and more security.
[00:07:14.570 --> 00:07:18.651]  And it wasn't even about boosting the ratings for the flagging show, Empire.
[00:07:18.651 --> 00:07:21.132]  He, of course, was only thinking about himself.
[00:07:21.132 --> 00:07:24.832]  Because I thought they may have staged the false flag, you know, to make hundreds of millions of dollars.
[00:07:24.832 --> 00:07:27.633]  But no, they're not even that sophisticated.
[00:07:27.633 --> 00:07:30.413]  Plus, Hollywood wouldn't go out and have a risk like that.
[00:07:30.413 --> 00:07:32.894]  No, ladies and gentlemen, it was all about him.
[00:07:33.955 --> 00:07:44.998]  All about his power, all about him getting to play the part of the victim all over international news and worldwide.
[00:07:44.998 --> 00:07:52.580]  And so we probably should sometime today go back and get the TV interviews he did where he broke down and cried and talked about what a victim he was.
[00:07:52.580 --> 00:07:59.242]  Just so we can rub this in the face of the establishment of the Hollywood globalist scum.
[00:08:01.536 --> 00:08:15.199]  That you sit back cold-bloodedly and use all of this divide-and-conquer garbage on us.
[00:08:15.199 --> 00:08:15.899]  Guilty.
[00:08:15.899 --> 00:08:18.579]  Smollett, guilty of hate crime hoax.
[00:08:18.579 --> 00:08:25.101]  Jury convicts on five counts.
[00:08:25.101 --> 00:08:27.061]  A terrible, terrible actor.
[00:08:27.995 --> 00:08:30.677]  I mean, I saw that guy on a soap opera crying like that.
[00:08:30.677 --> 00:08:36.261]  This is a terrible actor.
[00:08:36.261 --> 00:08:37.261]  Absolutely terrible.
[00:08:37.261 --> 00:08:38.382]  But that was his job.
[00:08:38.382 --> 00:08:44.546]  And he saw all the other hoaxers getting all that attention.
[00:08:44.546 --> 00:08:50.530]  And so he got on board with it, and the entire media in Hollywood got behind him.
[00:08:50.530 --> 00:08:54.553]  And they had news articles out there talking about, maybe we should sue Alex Jones.
[00:08:54.553 --> 00:08:55.514]  He's questioning this
[00:08:56.360 --> 00:09:00.161]  As well, Mike Jones just questions so much of what happens.
[00:09:00.161 --> 00:09:08.124]  And I do question what corporate media runs with, because most of the time, it's as fake as a $3 bill.
[00:09:08.124 --> 00:09:21.088]  In fact, almost all these big events, almost all hate crimes, almost all of the attacks on synagogues and the attacks on black churches, almost all of them have been staged by the left themselves.
[00:09:23.140 --> 00:09:36.470]  And in the few cases where you've had mass shootings where an actual white supremacist goes and kills nine black people at church, he was mentally ill, he was making threats, they knew about it and did nothing.
[00:09:36.470 --> 00:09:38.651]  Same thing with the whole Parkland situation.
[00:09:38.651 --> 00:09:41.453]  So they want you to forget about what happened with Jussie Small.
[00:09:41.453 --> 00:09:42.754]  They want to just move on from this.
[00:09:42.754 --> 00:09:47.638]  But just like with the Kyle Rittenhouse case, it shows the power of a jury.
[00:09:48.769 --> 00:09:55.630]  And it shows the power of that institution in our country when you're able to actually put on the evidence.
[00:09:55.630 --> 00:10:00.631]  And it's why the establishment fears the jury.
[00:10:00.631 --> 00:10:17.655]  And it's why in the kangaroo trials they're having with these corrupt district judges in Connecticut and Texas, corrupt in my view, you can judge them, they don't want me to have a jury trial on whether I'm guilty of defaming Sandy Hook people for questioning what happened because the things they say I said I didn't even say.
[00:10:19.540 --> 00:10:24.084]  And so, oh no, juries will just decide how much money you owe.
[00:10:24.084 --> 00:10:27.526]  Because you are guilty, they just decide how guilty.
[00:10:27.526 --> 00:10:32.551]  It's all preposterous, but this is the death throes of the corrupt establishment.
[00:10:32.551 --> 00:10:34.832]  Everything they're doing is not a sign of the globalist strength.
[00:10:34.832 --> 00:10:36.974]  It's not a sign of the establishment's power.
[00:10:36.974 --> 00:10:44.900]  The lockdowns, the forced inoculations, all of it is a total indicator of them losing control.
[00:10:44.900 --> 00:10:47.863]  In fact, the LA Sheriff's Department has come out
[00:10:48.684 --> 00:10:59.394]  And warned people not to come to Los Angeles saying that it's more dangerous than Mexico City per capita now.
[00:10:59.394 --> 00:11:08.742]  So the police department, the sheriff's department is coming out saying you cannot come here and be safe because they have a moral responsibility to tell you
[00:11:09.944 --> 00:11:15.229]  You have a very good chance of being mugged or robbed or killed or kidnapped if you go to Los Angeles.
[00:11:15.229 --> 00:11:20.953]  Even the richest neighborhoods now are falling apart with crime.
[00:11:20.953 --> 00:11:22.375]  But that's what evil does.
[00:11:22.375 --> 00:11:27.319]  It undermines and it collapses and that's where it always takes the general population.
[00:11:27.975 --> 00:11:53.573]  And the declassified globalist plan, the leaked globalist plan, and so many different permutations is undermine society, destroy people's will, destroy the family, make people all alone, depress them, dumb them down, destroy the language, destroy any culture of strength or honor, so you can completely, absolutely dominate and control
[00:11:56.556 --> 00:11:58.517]  The chattel minions.
[00:11:58.517 --> 00:12:09.743]  The renaissance and education and being informed and being classically liberal and valuing freedom is an obstacle to global corporate government.
[00:12:09.743 --> 00:12:12.504]  It's an obstacle to scientific tyranny.
[00:12:12.504 --> 00:12:24.510]  It's an obstacle to the absolute complete takeover of the human processes of life to make us a corporate commodity.
[00:12:24.510 --> 00:12:25.491]  This is the globalist
[00:12:27.256 --> 00:12:34.519]  Final revolution, ladies and gentlemen.
[00:12:34.519 --> 00:12:40.882]  And if they succeed, they will truly be the rulers, and we will be the animals.
[00:12:40.882 --> 00:12:42.563]  Those of us that are even alive.
[00:12:42.563 --> 00:12:51.127]  This is a total takeover of free will, a total assault on all that is decent, a total assault on all that is good.
[00:12:51.127 --> 00:12:54.849]  Now, we've got the Jussie Smollett news, ladies and gentlemen.
[00:12:57.486 --> 00:13:06.428]  But we also have the incredible next phase of the COVID-19 tyranny.
[00:13:06.428 --> 00:13:20.512]  And the way the behavioral psychologists operate is they bring up their tightening of the noose in increments so that as it gets tighter and tighter and tighter, you don't notice it.
[00:13:20.512 --> 00:13:26.333]  But if you sit back and look at it in hindsight, they are really tightening down the noose around our throats
[00:13:27.378 --> 00:13:44.147]  As we prepare in just a few weeks to enter the third year of the restrictions and the mask and the inoculations, and in Israel they're already up to the fifth shot, and now the Pfizer CEO has announced that everybody needs a fourth.
[00:13:44.147 --> 00:13:50.451]  So Israel's the beta test, and then next it's rolled out in Europe, then the U.S., and across the world.
[00:13:51.633 --> 00:13:56.316]  And he says, Oh, if you have two more shots, it'll give you the protection you had earlier.
[00:13:56.316 --> 00:13:59.499]  A real inoculation teaches your body how to beat something.
[00:13:59.499 --> 00:14:04.322]  And so it's basically 100% if the inoculation works, it does have side effects.
[00:14:04.322 --> 00:14:11.027]  And they can also spike the shot, which the UN and globalists have been caught doing many times around the world in the last hundred years.
[00:14:11.027 --> 00:14:12.568]  But this is even a vaccine.
[00:14:12.568 --> 00:14:14.930]  We all know that now, but the public doesn't.
[00:14:14.930 --> 00:14:18.753]  And so it's a gene therapy that does indeed
[00:14:20.316 --> 00:14:31.784]  In some cases, block replication of similar viruses, but in many cases creates massive autoimmune responses and blood clots and inserts eating holes in your body.
[00:14:31.784 --> 00:14:37.428]  And then, within six months, you have negative immunity compared to what you had before.
[00:14:37.428 --> 00:14:46.134]  Worse than before you took the shot, but his answer is, oh now you'll get, they announced to the BBC yesterday, seven
[00:14:47.501 --> 00:14:52.404]  Shots, ladies and gentlemen, seven shots a year.
[00:14:52.404 --> 00:14:58.347]  Now you notice Bill Gates said 10 shots a year 20 months ago.
[00:14:58.347 --> 00:14:59.187]  He loves to brag.
[00:14:59.187 --> 00:15:04.330]  He loves to tell you what he's going to do to you and smile at you.
[00:15:04.330 --> 00:15:08.932]  And they've even had big scientists from Pfizer on TV saying
[00:15:14.178 --> 00:15:23.764]  We are going to erase people's immune systems and they're going to have to have us every month for every cold virus, for every flu virus, for every pneumonia virus.
[00:15:23.764 --> 00:15:24.985]  It's going to be constant.
[00:15:24.985 --> 00:15:31.229]  Hell, some people are going to be taking shots every couple days!
[00:15:31.229 --> 00:15:35.672]  And it's all being announced right now.
[00:15:35.672 --> 00:15:42.237]  And then now the massive cancers, massive heart attacks, massive miscarriages, which they don't call spontaneous abortions.
[00:15:44.235 --> 00:15:45.976]  I've got it all coming up next segment.
[00:15:45.976 --> 00:15:47.016]  We've got to expose this.
[00:15:47.016 --> 00:15:48.357]  We've got to warn the world.
[00:15:48.357 --> 00:15:49.757]  We've got to stop them.
[00:15:49.757 --> 00:15:55.639]  They're now admitting twice as many people are dying this year that died last year of this garbage because it's from the shot.
[00:15:55.639 --> 00:15:56.140]  This is it.
[00:15:56.140 --> 00:15:56.660]  They're killing us.
[00:15:58.274 --> 00:15:59.115]  If you're concerned about the
[00:16:19.073 --> 00:16:32.241]  And so, when you visit 1776coin.com, you don't just have the opportunity to get an amazing, one-run, limited-edition silver coin minted right here in America with incredible historical artwork on it.
[00:16:32.241 --> 00:16:40.066]  You will also be funding a very serious, focused, information warfare operation against the New World Order.
[00:16:40.606 --> 00:16:48.254]  So I want to thank you all for your past support, and I want to encourage you now to not wait, to not procrastinate, and to go to 1776coin.com.
[00:16:48.254 --> 00:16:54.781]  I would imagine that we will sell out of this limited run of 10,000 coins in only a few weeks, maybe a few days.
[00:16:54.781 --> 00:16:56.603]  So secure your coin now at 1776coin.com.
[00:16:59.184 --> 00:17:03.405]  I never compromise the quality of ingredients we put in InfoWars Live products.
[00:17:03.405 --> 00:17:06.966]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[00:17:06.966 --> 00:17:09.567]  And we could never get the ingredients again.
[00:17:09.567 --> 00:17:10.507]  Until now.
[00:17:10.507 --> 00:17:16.589]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[00:17:16.589 --> 00:17:20.370]  So out of all the bone broths out there, I'm telling you, this is next level.
[00:17:20.370 --> 00:17:21.210]  Listen to what it's got in it.
[00:17:21.590 --> 00:17:26.792]  Cutting Edge Chicken Bone Broth Protein Isolate Powder for better flavor and dissolvability.
[00:17:26.792 --> 00:17:36.295]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[00:17:36.295 --> 00:17:40.437]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[00:17:40.437 --> 00:17:42.898]  I mean, this sucker has got everything for your electrolytes.
[00:17:42.898 --> 00:17:49.280]  It's got real organic cocoa butter powder with natural chocolate flavor and a touch of sea salt, and it just goes on and on.
[00:17:49.760 --> 00:18:11.073]  So, when I first started taking Survival Shield, basically I was 275 pounds, I was overweight, I had brain fog like you wouldn't believe, I was barely holding on to a job, and I heard Dr. Gerp on your show and I listened to it.
[00:18:11.073 --> 00:18:14.155]  So the first one I got was the original Survival Shield, the X1, and it was
[00:18:15.015 --> 00:18:15.396]  We're good.
[00:18:31.232 --> 00:18:37.837]  And over the course of the next couple of years, I got my health back, and I religiously take basically all of your supplements.
[00:18:37.837 --> 00:18:39.998]  They're all absolutely amazing supplements.
[00:18:39.998 --> 00:18:41.880]  The one I like recently is Knockout.
[00:18:41.880 --> 00:18:44.101]  It literally, like, if you want to sleep, just take it.
[00:18:44.101 --> 00:18:44.842]  It's amazing.
[00:18:44.842 --> 00:18:45.382]  It works.
[00:18:45.382 --> 00:18:47.864]  But anyway, so the point is, we have to get ourselves clean.
[00:18:47.864 --> 00:18:54.108]  We have to break free of the globalist system, and the only way to do that is to take our own health into our own hands.
[00:18:54.108 --> 00:18:55.389]  Beautifully said, brother.
[00:18:55.389 --> 00:18:57.331]  I thank you so much for your call, and Godspeed.
[00:18:59.170 --> 00:19:12.476]  The average person on the face of this incredible planet is still unaware that there's a war between free individuals and nation-states on one side, and the globalists on the other, who are literally trying to create a post-human world.
[00:19:12.476 --> 00:19:20.839]  From the United States to Brazil, and of course triggered by the Brexit in the UK, nations were pulling out of the private, corporate, and fascist world government.
[00:19:20.839 --> 00:19:23.360]  That's why they launched their Great Reset.
[00:19:23.360 --> 00:19:26.962]  And they're programming for collapsing us of Build Back Better.
[00:19:28.063 --> 00:19:33.249]  This is nothing more than a top-down, vertical consolidation of the world economy.
[00:19:33.249 --> 00:19:44.182]  And because they couldn't take our guns, and because we wouldn't bow, because the left, which is the ideology of this world government system, couldn't win, they released a biological weapon on us.
[00:19:44.922 --> 00:19:46.583]  Now we know two years ago.
[00:19:46.583 --> 00:19:49.244]  We learned about it about 20 months ago.
[00:19:49.244 --> 00:19:49.825]  It's that simple.
[00:19:49.825 --> 00:19:52.946]  They can't beat us because of our free speech and our guns.
[00:19:52.946 --> 00:19:57.128]  So the Global Corporate Combine released COVID-19 and you know the rest is history.
[00:19:57.128 --> 00:20:00.910]  Expose this paradigm and we win.
[00:20:00.910 --> 00:20:05.512]  Leading a frontal assault on the lies of the New World Order.
[00:20:05.512 --> 00:20:06.793]  It's Alex Jones.
[00:20:30.290 --> 00:20:32.231]  It's just an incredible time to be alive right now.
[00:20:32.231 --> 00:20:34.532]  That's the only way to say it.
[00:20:34.532 --> 00:20:48.358]  The only way to deal with the reality of it is that we are living in end-of-days, revelations-type times.
[00:20:48.358 --> 00:20:49.578]  And just look at these headlines.
[00:20:49.578 --> 00:20:50.059]  Video.
[00:20:50.059 --> 00:20:56.521]  Pfizer's CEO declares fourth COVID shot needed sooner rather than later.
[00:20:56.521 --> 00:20:58.062]  Boy, you always knew that was coming.
[00:21:00.387 --> 00:21:22.587]  Think about it, they roll something out that erases your immune system that doesn't work, and then kills you later when you come in contact with similar viruses with ADE, Antibody Dependency Enhancement, and then Pfizer spends billions in, quote, sponsoring all the major news, pays them, and that's not even a conflict of interest, when by the way it's completely illegal.
[00:21:24.636 --> 00:21:27.518]  But so is authorizing and unauthorized gene therapy.
[00:21:27.518 --> 00:21:31.421]  It's a revolution by the ruling class against the people.
[00:21:31.421 --> 00:21:37.506]  They're just arrogantly up there gaslighting everybody.
[00:21:37.506 --> 00:21:38.267]  There's another one.
[00:21:38.267 --> 00:21:43.551]  Unvaxxed in Austria could be imprisoned for a year.
[00:21:43.551 --> 00:21:47.995]  And now Fauci's talking about jail time and forced inoculation.
[00:21:47.995 --> 00:21:52.558]  And starting in a month and a half in Germany, forced inoculations begin.
[00:21:52.558 --> 00:21:53.179]  It's been announced.
[00:21:55.174 --> 00:22:02.141]  Bill that would have forced UNVACs to pay their own medical costs pulled in Illinois.
[00:22:02.141 --> 00:22:07.187]  South African scientists share positive news that Omicron isn't causing a spike in deaths.
[00:22:07.187 --> 00:22:07.687]  No.
[00:22:07.687 --> 00:22:08.808]  The vaccines are.
[00:22:08.808 --> 00:22:11.992]  The least vaccinated you are, the lower the death.
[00:22:11.992 --> 00:22:13.313]  Nation by nation.
[00:22:13.313 --> 00:22:14.134]  That's real numbers.
[00:22:17.389 --> 00:22:18.310]  Let's play this clip.
[00:22:18.310 --> 00:22:27.034]  Health Minister questioned, this is a fact, in every western country taking the Pfizer and Moderna shots, massive increases in miscarriages.
[00:22:27.034 --> 00:22:35.519]  Health Minister questioned about reported explosion in fully vaccinated mothers experiencing stillbirths.
[00:22:35.519 --> 00:22:35.919]  Here it is.
[00:22:35.919 --> 00:22:39.601]  The next question, Member for Chatham-Kent-Leamington.
[00:22:39.601 --> 00:22:40.402]  Thanks, Speaker.
[00:22:40.402 --> 00:22:42.963]  My question is to the Minister of Health.
[00:22:42.963 --> 00:22:45.145]  Late last year, my daughter was expecting her first child.
[00:22:46.129 --> 00:22:50.234]  Initially, doctors had recommended against expecting women getting vaccinated.
[00:22:50.234 --> 00:22:53.919]  As any dad should do, I told her not to get the vaccine, and she complied.
[00:22:53.919 --> 00:22:58.645]  Thankfully, on Valentine's Day, she gave birth to a healthy baby girl, Shiloh.
[00:22:58.645 --> 00:23:01.188]  I shed tears of joy.
[00:23:01.188 --> 00:23:05.213]  But a few months later, doctors said it was okay to get the vaccine while pregnant.
[00:23:06.112 --> 00:23:10.415]  What testing have been done to ensure the safety of both the mother and their unborn baby?
[00:23:10.415 --> 00:23:13.138]  But now, Minister, I shed tears of sorrow.
[00:23:13.138 --> 00:23:22.125]  In the Waterloo area, 86 stillbirths have occurred from January to July, and normally it's roughly one stillbirth every two months.
[00:23:22.125 --> 00:23:22.925]  But here's the kicker.
[00:23:23.766 --> 00:23:30.888]  Mothers of stillbirth babies were fully vaccinated, and you have clearly said on numerous occasions that the vaccines are safe.
[00:23:30.888 --> 00:23:43.291]  So Minister, what do you say to the doctors who told expecting women it was okay to get fully vaccinated, and what should they tell the mothers who deliver a stillborn baby?
[00:23:43.291 --> 00:23:45.031]  Minister of Health.
[00:23:45.031 --> 00:23:45.851]  Thank you very much, Speaker.
[00:23:45.851 --> 00:23:51.192]  And first, congratulations to you for the birth of your grandchild.
[00:23:51.192 --> 00:23:53.213]  That is wonderful news, but it is also
[00:23:53.869 --> 00:23:54.409]  Safe.
[00:23:54.409 --> 00:23:55.730]  It has been tested.
[00:23:55.730 --> 00:24:03.192]  We are recommending that women who are pregnant do receive the vaccine for the protection of themselves, protection of their baby as well.
[00:24:03.192 --> 00:24:05.372]  And that has been proven.
[00:24:05.372 --> 00:24:13.595]  It has been accepted by Health Canada, by the World Health Organization, by the FDA.
[00:24:13.595 --> 00:24:17.556]  And this is something that we want to make sure that we can protect everyone.
[00:24:17.556 --> 00:24:22.477]  Women who are pregnant, it is entirely safe and recommended for them to receive the vaccine.
[00:24:22.830 --> 00:24:27.813]  For themselves, their own protection, the safety of their loved ones, and the safety of their community.
[00:24:27.813 --> 00:24:38.539]  And if you're a radio listener, she's there with all these people, in the Parliament, wearing masks.
[00:24:38.539 --> 00:24:40.801]  Oh, but I thought you had the shot, I thought you were protected.
[00:24:40.801 --> 00:24:43.302]  Oh no, now you need more.
[00:24:43.302 --> 00:24:46.864]  Again, this is a planned takeover.
[00:24:46.864 --> 00:24:50.807]  The scientists that literally created this weapon are in charge of the global response.
[00:24:52.099 --> 00:25:01.207]  And there's the health minister lying to the public and saying it's been tested.
[00:25:01.207 --> 00:25:08.032]  No, it was tested on the public, skipping trials, and then it caused mass deaths and stillbirths everywhere it happened.
[00:25:08.032 --> 00:25:10.775]  And then the FDA tried to block the numbers coming out.
[00:25:12.179 --> 00:25:21.044]  But now the documents are out, and the same thing is in the UK, the same thing in Germany, the same thing in Canada, and she just smiles and says, Health Canada has approved this!
[00:25:21.044 --> 00:25:21.845]  Yes!
[00:25:21.845 --> 00:25:23.305]  Without any testing!
[00:25:23.305 --> 00:25:28.268]  And now in the general public, they're hiding the real numbers coming in!
[00:25:28.268 --> 00:25:30.810]  But they've all doubled down, you see.
[00:25:30.810 --> 00:25:36.013]  They've now signed on to the evil, and so now they're going to cover up like their lives depend on it.
[00:25:36.792 --> 00:25:37.893]  That's how corruption works.
[00:25:37.893 --> 00:25:40.736]  It's how the pedophile rings took over the Vatican.
[00:25:40.736 --> 00:25:49.245]  It's how they took over so many other institutions is they go, oh, hey, one of the priests abused a 10-year-old.
[00:25:49.245 --> 00:25:53.769]  And if we say something about this, it's going to bring down the local parish.
[00:25:53.769 --> 00:25:55.471]  It'll break up the church.
[00:25:55.471 --> 00:25:59.956]  So we better just send this priest to another town.
[00:26:02.273 --> 00:26:06.216]  And then they come back later and say, oh, remember you helped cover up that pedophilia.
[00:26:06.216 --> 00:26:10.119]  Now you owe us some political favors.
[00:26:10.119 --> 00:26:11.540]  That's the same thing with this lady.
[00:26:11.540 --> 00:26:12.360]  Oh, it's safe.
[00:26:12.360 --> 00:26:14.141]  Nobody's hurt.
[00:26:14.141 --> 00:26:25.029]  It doesn't matter if there's a 20-fold or 30 times, in some countries, fold increase in stillbirths, in spontaneous abortions of women that take the shot.
[00:26:25.029 --> 00:26:25.950]  Hell, they had a
[00:26:27.085 --> 00:26:35.988]  New England Medical Journal report that said an 84% spontaneous abortion rate in first trimesters.
[00:26:35.988 --> 00:26:40.229]  And then it was only 20-something had miscarriages in the second or third.
[00:26:40.229 --> 00:26:46.511]  Still a massive, massive, multi-thousand percent increase.
[00:26:46.511 --> 00:26:54.654]  I got a clip of a medical doctor talking about it when we come back, but we need more legislators and more leaders and more parliamentarians
[00:26:56.997 --> 00:27:02.932]  To come out and just keep magnifying these numbers because they just want to brainwash the public.
[00:27:05.652 --> 00:27:19.259]  And then we've got the real numbers showing that it's massively increasing, and that's even in the CDC's own documents, and the FDA's own documents, but then they run headlines saying, oh, stillbirth rates not increasing in the regional recording systems.
[00:27:19.259 --> 00:27:24.521]  Stillbirth rates not increasing in the region according to hospital officials.
[00:27:24.521 --> 00:27:33.986]  Oh, the officials say, they don't cite any documents, they don't show any proof, they don't show you the FDA documents, and the CDC documents, and the UK government
[00:27:35.509 --> 00:27:36.789]  Documents.
[00:27:36.789 --> 00:27:39.210]  National Health Service.
[00:27:39.210 --> 00:27:42.271]  They just tell you, oh, we talked to a doctor.
[00:27:42.271 --> 00:27:44.972]  Remember the headlines a few months ago?
[00:27:44.972 --> 00:27:49.714]  A doctor in Oklahoma says thousands have died.
[00:27:49.714 --> 00:27:52.035]  Thousands and thousands sick from ivermectin.
[00:27:52.035 --> 00:27:56.336]  Hospitals around the block from people sick on ivermectin.
[00:27:56.336 --> 00:27:59.037]  And they went and called the hospitals and they said, no, nobody.
[00:27:59.037 --> 00:28:00.758]  We only had one person in here sick from ivermectin.
[00:28:03.325 --> 00:28:08.607]  Just like Fauci said, oh, if you take the shot, you're 99% protected.
[00:28:08.607 --> 00:28:09.527]  All lies.
[00:28:09.527 --> 00:28:14.769]  Oh, 99% of people in the hospitals haven't been vaccinated.
[00:28:14.769 --> 00:28:16.249]  And people said, where'd that number come from?
[00:28:16.249 --> 00:28:20.851]  It was just made up.
[00:28:20.851 --> 00:28:25.753]  And so they sit up there and they tell you everywhere, oh, we talked to a doctor.
[00:28:25.753 --> 00:28:27.753]  Everybody's dying from the horse paste.
[00:28:27.753 --> 00:28:28.694]  They go check the doctor.
