[00:00:00.410 --> 00:00:02.353]  Q lies to you.
[00:05:49.141 --> 00:05:55.284]  Global reset puppets are going to hammer America hard now and people are going to have them to blame.
[00:05:55.304 --> 00:06:04.269]  We've got major articles at InfoWars.com where Germans set to detain COVID rule breakers in refugee camps, but they've let murderers out of jail.
[00:06:05.090 --> 00:06:10.172]  We have a proposed Oregon bill on InfoWars.com calls for normalization of martial law.
[00:06:10.392 --> 00:06:12.714]  Pentagon deploys active duty troops ahead of DC.
[00:06:13.194 --> 00:06:14.134]  It goes on and on.
[00:06:14.775 --> 00:06:16.696]  So yes, Trump has valiantly fought.
[00:06:17.708 --> 00:06:18.489]  But he's only a man.
[00:06:19.409 --> 00:06:20.790]  I don't trust in Q's plan.
[00:06:21.451 --> 00:06:22.391]  I trust in God.
[00:06:22.451 --> 00:06:23.432]  I trust in Jesus Christ.
[00:06:24.113 --> 00:06:29.216]  So, we have a sarcastic clickbait headline because that's what Q does.
[00:06:29.476 --> 00:06:31.138]  Oh, it's part of the intel we lie to you.
[00:06:31.378 --> 00:06:34.140]  Oh, it's part of the intel Hillary was in Gitmo three years ago.
[00:06:34.420 --> 00:06:39.243]  Oh, it's part of the intel that Sessions and Barr are on our side.
[00:06:39.483 --> 00:06:41.485]  Oh, that was disinfo for you and the enemy.
[00:06:41.685 --> 00:06:42.806]  Well, I don't give you disinfo.
[00:06:43.006 --> 00:06:44.287]  So how's that headline feel?
[00:06:45.047 --> 00:06:45.528]  It's a lie.
[00:06:47.145 --> 00:06:48.246]  Biden's not stepping down.
[00:06:48.306 --> 00:06:49.167]  He's been installed.
[00:06:49.528 --> 00:06:50.889]  Trump is being forced out.
[00:06:51.069 --> 00:06:51.950]  They've all turned against him.
[00:06:52.130 --> 00:07:02.161]  And in case he tries to rally the American people to come defend him, which they're scared of, they've got 40,000 police and troops plus there to deny us that.
[00:07:02.381 --> 00:07:03.963]  This is globalist oppression.
[00:07:04.203 --> 00:07:05.324]  This is globalism.
[00:07:05.524 --> 00:07:08.588]  This is martial law, and this is illegal, and this is wrong.
[00:07:10.100 --> 00:07:14.241]  Let's talk about where Trump failed, because we need to not just paper over history.
[00:07:14.661 --> 00:07:19.323]  He failed in stopping big tech censorship and cartel activity against the American people.
[00:07:19.643 --> 00:07:29.886]  And he failed and allowed the globalists to continue to harass the American people through the IRS for their political beliefs and so many other things.
[00:07:31.506 --> 00:07:33.647]  And so again, President Trump is just a man.
[00:07:33.707 --> 00:07:34.787]  He's not God.
[00:07:35.765 --> 00:07:38.007]  And so he made a lot of mistakes on big tech censorship.
[00:07:38.247 --> 00:07:40.789]  He made a lot of mistakes when it came to vaccines.
[00:07:41.150 --> 00:07:42.751]  Thinking, oh, the economy shut down.
[00:07:42.771 --> 00:07:46.074]  If I just accept vaccines, that'll turn it back on.
[00:07:46.094 --> 00:07:48.356]  But notice they say, it doesn't matter how many shots you take.
[00:07:48.576 --> 00:07:53.521]  The economy is never reopening because the globalists invested in China and that's their investment.
[00:07:53.561 --> 00:07:55.983]  So when they shut us down, their investments go up.
[00:07:56.043 --> 00:07:57.985]  It's very simple what happened.
[00:07:58.925 --> 00:08:02.969]  And now two minutes to midnight, President Trump finally gets it.
[00:08:03.348 --> 00:08:11.273]  I hope and pray that he takes himself from doing a great job to an excellent job and pardons Julian Assange, Edward Snowden, and others.
[00:08:11.793 --> 00:08:13.534]  But regardless, we can't put our faith in men.
[00:08:13.554 --> 00:08:16.696]  We've got to put our faith in God and our own conscience and action.
[00:08:17.256 --> 00:08:19.538]  That's why Infowars has been the tip of the spear.
[00:08:19.558 --> 00:08:26.602]  It's why they try to censor us and shut us down because we're populist, we're nationalist, we're capitalist, we're free market, and we love God and we love justice.
[00:08:27.142 --> 00:08:29.224]  So remember, we're still on air, fighting harder than ever.
[00:08:29.464 --> 00:08:39.852]  And tell folks, when you leave Fox News, you leave these other establishment channels, that the real resistance is on air at BAN.VIDEO and Infowars.com and Newswars.com.
[00:08:39.912 --> 00:08:42.094]  And Paul Watson has launched his own site, Summit.News.
[00:08:42.594 --> 00:08:49.880]  But whatever you do, launch your own websites, launch your own local newsletters, and speak out and be part of the resistance and the solution.
[00:08:51.305 --> 00:08:53.246]  President Trump's going to be under attack now that he's leaving.
[00:08:53.927 --> 00:08:55.908]  They're coming after him with a lynch mob.
[00:08:56.188 --> 00:08:59.490]  We've got to defend him and support him still because we stand with our people.
[00:09:00.210 --> 00:09:01.291]  But this is bigger than Trump.
[00:09:01.311 --> 00:09:02.191]  It's bigger than Infowars.
[00:09:02.231 --> 00:09:03.952]  It's about the Republic and it's about America.
[00:09:04.973 --> 00:09:05.893]  You mark my words.
[00:09:07.034 --> 00:09:17.120]  Once Biden's sworn in on January 20th, I'm going to air this video so that we stop listening to the known globalist operatives inside the CIA and other groups.
[00:09:18.117 --> 00:09:22.807]  That took control of a large part of the Trump movement with acute delusion and that's why Trump lost.
[00:09:23.629 --> 00:09:25.372]  Because people thought he was invincible.
[00:09:26.234 --> 00:09:27.517]  That's why this thing has to be shut down.
[00:09:29.082 --> 00:09:31.303]  I'm Alex Jones and I have been on the air 27 years.
[00:09:31.463 --> 00:09:32.824]  I am very appreciative of all of you.
[00:09:33.204 --> 00:09:34.225]  I thank you all for your support.
[00:09:34.965 --> 00:09:49.012]  Please be the Paul Reveres that you are and redouble your efforts to warn people about globalism and the new world order and all the issues that pre-existed that we were all exposing together before Q came along and said he was our leader, our nebulous, crazy leader.
[00:09:50.213 --> 00:09:53.935]  You imagine if I went on air and said, Oh, here's this random dude that sends you messages.
[00:09:53.975 --> 00:09:54.535]  Do what he says.
[00:09:54.855 --> 00:09:55.736]  You'd say, that's a cult.
[00:09:55.956 --> 00:09:56.576]  That's dangerous.
[00:09:58.077 --> 00:09:58.597]  That's what happened.
[00:10:00.327 --> 00:10:03.449]  And so I give credit to the globalists.
[00:10:03.489 --> 00:10:06.832]  Their Q creation has defeated us in this round of the fight.
[00:10:07.432 --> 00:10:09.774]  But we'll be smarter in the next round of the fight.
[00:10:09.954 --> 00:10:14.477]  I was smart up front, but people didn't listen to me because they wanted to hear the hopium.
[00:10:14.717 --> 00:10:16.218]  They wanted to hear we were all invincible.
[00:10:16.398 --> 00:10:20.141]  They wanted to hear everything was handled because it was too scary to face the New World Order.
[00:10:20.381 --> 00:10:22.122]  Too scary to face the Chinese slave camps.
[00:10:22.422 --> 00:10:24.444]  Too scary to face the combat robots.
[00:10:25.643 --> 00:10:26.304]  Too scary!
[00:10:26.344 --> 00:10:28.565]  Let Trump and the special forces handle it!
[00:10:29.066 --> 00:10:29.506]  In the U.S.
[00:10:29.546 --> 00:10:32.028]  military, special forces means you can read and write.
[00:10:32.989 --> 00:10:36.271]  I'm not bashing the military, but the average military cannot tie their shoes now.
[00:10:36.532 --> 00:10:37.152]  We're so dumbed down.
[00:10:37.592 --> 00:10:38.934]  Special forces can tie their shoes.
[00:10:39.514 --> 00:10:42.416]  And the super elite special forces are what you used to think of like James Bond.
[00:10:42.837 --> 00:10:43.097]  Okay?
[00:10:43.297 --> 00:10:44.498]  That's how far gone we are.
[00:10:44.758 --> 00:10:45.999]  Most of our boys are autistic.
[00:10:46.039 --> 00:10:46.980]  Most of us have cancer.
[00:10:47.120 --> 00:10:48.081]  We're all going to die soon.
[00:10:48.241 --> 00:10:51.784]  We're being implanted right now with mRNA murder technology.
[00:10:52.802 --> 00:10:54.603]  Q didn't protect us and Trump didn't protect us.
[00:10:55.304 --> 00:11:01.648]  So I believed in Trump because they tried to destroy him and because he was blocking their carbon taxes and new world order, but he was not perfect.
[00:11:02.449 --> 00:11:04.150]  And now we can learn from the mistakes of Trump.
[00:11:04.551 --> 00:11:07.953]  But I'll tell you again, they're installing Biden.
[00:11:08.213 --> 00:11:10.395]  That martial law you see is against us.
[00:11:10.995 --> 00:11:12.076]  We do not control that.
[00:11:12.096 --> 00:11:14.478]  And I don't want martial law, no matter who controlled it.
[00:11:15.933 --> 00:11:26.522]  So again, I'll see you at man.video and Infowars.com for who knows how long, because the crackdowns, the shutdown of Parler, Telegraph, Telegram, all this stuff is so accelerated, who knows how long we'll be on air.
[00:11:27.123 --> 00:11:29.765]  I just know this, I trust the plan of Jesus Christ.
[00:11:30.165 --> 00:11:34.870]  God bless, and good luck, and now the fight is against the globalist Chi Com agent,
[00:11:35.430 --> 00:11:40.595]  Who is not the president who stole the election and who was an enemy of America, Joe Biden.
[00:11:40.655 --> 00:11:44.318]  I will peacefully, through civil disobedience and the truth, fight him.
[00:11:44.678 --> 00:11:47.020]  My president is not Joe Biden.
[00:11:47.741 --> 00:11:49.042]  My president was reelected.
[00:11:49.082 --> 00:11:51.184]  His name was Donald John Trump.
[00:11:51.544 --> 00:11:52.965]  That's how we fight for integrity.
[00:11:53.245 --> 00:11:54.326]  That's how we fight for freedom.
[00:11:54.667 --> 00:11:56.728]  Not with delusions, but with reality.
[00:11:58.050 --> 00:12:01.212]  It's time to wake up!
[00:12:04.588 --> 00:12:07.471]  This is an emergency transmission from deep in the heart of Texas, the U.S.
[00:12:07.511 --> 00:12:15.778]  resistance against a global corporate combine, empowered and funded by Communist China, allied with the big megabanks that set up Communist China in 1949.
[00:12:16.258 --> 00:12:18.720]  The Communist Chinese have taken control of U.S.
[00:12:18.760 --> 00:12:20.241]  telecommunications infrastructure.
[00:12:20.562 --> 00:12:22.483]  The Communist Chinese have taken control of Hollywood.
[00:12:22.724 --> 00:12:24.825]  The Communist Chinese have taken control of the main universities.
[00:12:25.066 --> 00:12:26.147]  This is all confirmed.
[00:12:26.167 --> 00:12:27.127]  This is not a drill.
[00:12:27.267 --> 00:12:31.211]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[00:12:31.491 --> 00:12:32.931]  They've officially become state-run.
[00:12:33.051 --> 00:12:33.531]  Apple 100%.
[00:12:33.931 --> 00:12:39.572]  Google is now making the transition and announcing a merger and total worldwide censorship.
[00:12:40.012 --> 00:12:44.793]  They are now beta testing using me as the straw man, a demonized version of Alex Jones, to do that.
[00:12:45.093 --> 00:12:45.934]  This is happening.
[00:12:45.974 --> 00:12:53.875]  This is not like the other probes before that were meant to get you used to probes and censorship, thinking you would adapt to censorship by just putting up with it.
[00:12:53.955 --> 00:12:59.896]  Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[00:13:00.336 --> 00:13:08.339]  This is a titrated dose, reverse psychological warfare operation using adapt and overcome, subversion, paradigm manipulation.
[00:13:09.199 --> 00:13:12.740]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[00:13:13.021 --> 00:13:16.162]  We adapt to being oppressed with the low dosages of oppression.
[00:13:17.182 --> 00:13:19.906]  Megaton hits us of the total takeover.
[00:13:19.946 --> 00:13:23.511]  We try to adapt to the poison infusion instead of not knowing.
[00:13:23.792 --> 00:13:26.435]  It's a lethal dose if we accept the dose.
[00:13:26.776 --> 00:13:31.723]  Total Internet of Things integration global social score complete command and control system.
[00:13:32.044 --> 00:13:33.646]  It is the virtual reality AI.
[00:13:33.806 --> 00:13:39.908]  I have been chosen for destruction because I brought you this information and have been battering, ramming it out as much as I can.
[00:13:54.306 --> 00:14:03.031]  They want to double use me as they always do in any complex system of mathematical deception where every angle of my good is turned against us.
[00:14:03.051 --> 00:14:07.914]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[00:14:08.314 --> 00:14:11.415]  I'm a person that cares about life and children and is against these wars.
[00:14:11.616 --> 00:14:13.216]  And so they make me a herder of children.
[00:14:13.617 --> 00:14:20.781]  And then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[00:14:21.741 --> 00:14:28.483]  So even if I didn't sell out to them, they've now used me as an archetype to serve them by being the main distraction.
[00:14:28.923 --> 00:14:34.285]  I have now been captured by the enemy in the information warfare fulcrum, and it's being used against you.
[00:14:34.485 --> 00:14:39.206]  Only your full understanding of this key will break you free from this paradigm.
[00:14:39.426 --> 00:14:41.307]  I have given you the transmission!
[00:14:41.447 --> 00:14:42.327]  Now break free!
[00:14:46.114 --> 00:14:54.840]  I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man.
[00:14:55.261 --> 00:14:58.103]  Thomas Jefferson.
[00:14:58.203 --> 00:15:02.106]  If you are receiving this transmission, you are the resistance.
