[00:00:15.476 --> 00:00:19.638]  InfoWars, the most banned network in the world.
[00:04:01.182 --> 00:04:06.703]  Because they're, quote, guardians of the Earth and doing this emergency surgery to cull us from the overpopulation that threatens the planet.
[00:04:07.259 --> 00:04:14.661]  But then I go back to the original fact that they're playing God and says they're going to merge the machines and that humanity is obsolete.
[00:04:15.702 --> 00:04:19.663]  So that's the excuse, again, for them to get power is claiming they're environmental guardians.
[00:04:20.323 --> 00:04:25.305]  But in reality, they're just megalomaniacs who are in a race for life extension technologies.
[00:04:27.105 --> 00:04:31.227]  And of course, historically, that's what mad scientists do.
[00:04:31.247 --> 00:04:34.948]  That's what the scientific system does, is they get on a quest for discovery.
[00:04:35.825 --> 00:04:45.033]  The other financiers or their own visions, a lot of our match geniuses that everybody else must be subserved into that system.
[00:04:46.294 --> 00:04:47.475]  The end justifies the means.
[00:04:49.257 --> 00:05:02.548]  But of course, if they entered other factors in other than their psychotic behavior and their their lust for knowledge and control, they realize that every group
[00:05:03.709 --> 00:05:18.681]  An organization in revolution, whether it be good or bad, or a mix of the two, that takes over a former civilization, because it's weak, it's decadent, it's collapsed, it's been infiltrated, or it's just suicidal, like the West is.
[00:05:19.902 --> 00:05:27.508]  After they've taken over, the bloodletting, the war, the civil war, only intensifies.
[00:05:29.330 --> 00:05:31.592]  And so the very people that have helped bring in this
[00:05:34.412 --> 00:05:37.793]  Technocratic, technotronic era that Brzezinski talked about.
[00:05:37.813 --> 00:05:43.416]  And I hope you guys are listening that are in on this, because you're fools.
[00:05:44.256 --> 00:06:01.663]  You've destroyed your own safety net of due process and chivalry and then the things that were developed to bring us out of barbarism so that we could have a stable civilization and stop powerful oligarchies and autocratic groups and plutocracies and other authoritarian systems from trying to take over society.
[00:06:02.771 --> 00:06:15.319]  And to kind of end that ongoing struggle that's continually happening just as a function of mammalian challenges, mating rituals, whatever you want to call it.
[00:06:15.939 --> 00:06:25.926]  And of course, that's the whole reason for world government, the League of Nations, and the UN was to stop the wars that end all wars, to stop World War I, to stop World War II from happening again.
[00:06:27.037 --> 00:06:47.437]  But we're always right back where we were, just with bigger weapons and more technology, but also a more decadent, dumbed-down population, because the side effects of the largesse, which again, the power structure that argues against us at sea, the largesse has made us decadent, though they do everything they can to make us passive, stupid, dumbed-down, and decadent, and then use the bread and circuses to grease the skids.
[00:06:48.974 --> 00:06:49.735]  Into collapse.
[00:06:49.775 --> 00:06:51.836]  So all of their reasoning is circular.
[00:06:52.317 --> 00:06:53.778]  All of their reasoning is hypocritical.
[00:06:54.598 --> 00:07:17.175]  Oh man, all the top globalists, down the line from Galton, before him, Malthus, right through to the Kaiser Wilhelm Institute and Cold Springs Harbor, through Hitler and the Soviets and the Chinese Communists and the psychologists, Sigmund Freud, Deborah Bernays, and all of them, here,
[00:07:18.143 --> 00:07:41.697]  In the West, they say they're sentient, they're god-men, they're discovering the uber-mission in themselves, but they must first throw off their humanity and dominate us to get to that point, while they teach us that we're just programmable animals that have no free will and no destiny, so that we will again subserve ourselves to their programming and become the biological robots they so much lust after.
[00:07:42.518 --> 00:07:59.243]  And what is the point of that universe run by a bunch of sick inbred control freaks with a bunch of genetically mutated biological automatons that just serve as trophies for scooting the walls of their celebratory halls?
[00:08:00.704 --> 00:08:02.504]  So, that's where I'm at on all this.
[00:08:03.825 --> 00:08:07.746]  The truth is good people are allowing evil people to take control.
[00:08:08.306 --> 00:08:10.627]  We're allowing ourselves to basically go along with this.
[00:08:11.511 --> 00:08:13.731]  Hoping that things aren't as bad as we thought they were.
[00:08:13.791 --> 00:08:15.852]  Hoping that things will somehow turn around.
[00:08:15.912 --> 00:08:27.494]  Hoping somehow that the avarice and the hunger for power and domination and control and torture and pain and subservience somehow burns itself out.
[00:08:28.994 --> 00:08:40.096]  And yes, it will burn itself out after it's dominated us and taken over and just engaged in all sorts of bizarre barbaristic excesses in the name of climate change.
[00:08:41.436 --> 00:08:49.420]  And all these other neo-paganistic religions, which David admits are neo-paganistic and replace Christianity with it.
[00:08:49.520 --> 00:08:51.401]  They said they want to return human sacrifice.
[00:08:51.421 --> 00:08:53.463]  The UN openly said that 30 years ago.
[00:08:53.503 --> 00:08:54.483]  I covered it in my film, Endgame.
[00:08:54.523 --> 00:08:56.884]  So, this is just madness.
[00:08:58.005 --> 00:08:59.105]  And they will destroy themselves.
[00:08:59.125 --> 00:09:00.166]  They will burn themselves out.
[00:09:01.127 --> 00:09:02.447]  But they think they're burning us out.
[00:09:02.467 --> 00:09:07.490]  They think they're controlling the cycle of stoic society that rises
[00:09:08.326 --> 00:09:34.356]  out of adversity into a powerful golden age of innovation and creativity and empowerment and egalitarianism and then decadence and corruption sets back in and there's a struggle between those forces and good overcomes for a while but in time corruption takes hold then what's left of the strength of the old empires thrust into conquest against other systems which then are conquered themselves and then
[00:09:35.023 --> 00:09:37.084]  Fold in upon the Empire later conquering it.
[00:09:37.584 --> 00:09:44.467]  It's the same story like China conquering us, just as the Visigoths and Ostrogoths and Germanics conquered Rome.
[00:09:45.447 --> 00:09:54.791]  It just repeats, but now you've added hydrogen bombs, chemical weapons, and the weird twisted Hollywood hatred because of some
[00:09:55.856 --> 00:10:12.702]  thousand-year-old war with Christianity that it needs to then dynamite any foundations of stability created by Christianity because those mere edifices are a threatening symbol to the globalists and their hunchbacked, Gaboric-like slouch.
[00:10:14.143 --> 00:10:23.086]  And so they wish to blow up the castles and fortresses and systems and factories and ideas and literature of which they have conquered.
[00:10:23.815 --> 00:10:34.880]  Of which they could step into those clothes and become that, though an imposter, like a fiddler crab stealing a shell from another deceased creature.
[00:10:34.920 --> 00:10:37.621]  But no, these are not as smart as fiddler crabs.
[00:10:38.262 --> 00:10:48.026]  They would tear the shell apart, no matter how long it took for them to gnaw through it, even though it destroyed them in the process, because the shell was so beautiful and did not originally come from them.
[00:10:48.986 --> 00:10:50.387]  Alright, well, that's the bottom line.
[00:10:50.407 --> 00:10:52.528]  The Great Reset is going into acceleration mode.
[00:10:53.565 --> 00:10:55.446]  And, Katie, bar the door.
[00:10:57.026 --> 00:11:01.128]  All you gotta do is go to Twitter, my God, and put in the Great Reset and just watch them gloating over us.
[00:11:02.048 --> 00:11:05.729]  Of course, the advisory board to Biden says they want to only let you have five pounds of meat a year.
[00:11:06.289 --> 00:11:08.610]  That's the official advisory UN board advising Biden.
[00:11:08.870 --> 00:11:10.891]  Then Biden goes, that's not in my plan.
[00:11:11.171 --> 00:11:12.812]  That's made up by Fox News.
[00:11:13.132 --> 00:11:14.072]  That's how they always do it.
[00:11:14.112 --> 00:11:15.953]  Like, we don't want pedophilia.
[00:11:16.453 --> 00:11:17.333]  And now that's all they want.
[00:11:17.373 --> 00:11:18.974]  You know, we don't want your guns.
[00:11:19.034 --> 00:11:19.854]  Yeah, we want your guns.
[00:11:20.354 --> 00:11:22.175]  They always just play these sick games.
[00:11:22.972 --> 00:11:25.994]  But on British TV they're saying, you're going to have to get rid of your cat.
[00:11:26.774 --> 00:11:30.957]  Or pay the equivalent of a cat tax of 2,000 pounds a year starting.
[00:11:31.257 --> 00:11:32.317]  Because your cat's evil.
[00:11:32.598 --> 00:11:33.778]  Because it releases carbon.
[00:11:34.719 --> 00:11:40.642]  With the perfect taxation system to track, trace, control, and tax what we are.
[00:11:42.263 --> 00:11:45.365]  So they got proposals to cut down trees and bury them.
[00:11:45.725 --> 00:11:48.027]  There's carbon offsets because carbon's bad.
[00:11:48.847 --> 00:11:50.228]  Oh, they talk about science.
[00:11:50.308 --> 00:11:52.129]  It's just so diabolical.
[00:11:53.197 --> 00:11:59.122]  But a lot of people are waking up that we're formally on the left and the right and realizing that we're far past midnight already, ladies and gentlemen.
[00:11:59.142 --> 00:12:11.171]  Alright, well I've tried to just give you some of my ideas here on this Saturday morning as I'm driving into work to an emergency broadcast with Dr. Francis Boyle and others on the whole push for forced inoculations is totally illegal.
[00:12:12.453 --> 00:12:18.878]  Now it's governments and corporations teaming up, which is the definition of corporate fascism to force this medical tyranny.
[00:12:19.258 --> 00:12:21.680]  We'll be covering it all on a special Saturday transmission I'm going to tape.
[00:12:22.498 --> 00:12:25.820]  This early afternoon, air tonight, that we posted the Bandai video.
[00:12:27.301 --> 00:12:29.583]  I'm not sure of the headline yet, but you'll see it up there.
[00:12:29.603 --> 00:12:34.486]  It's basically the Great Reset goes into high gear, planetary collapse accelerates.
[00:12:34.506 --> 00:12:36.887]  I mean, words can't describe this.
[00:12:37.408 --> 00:12:38.468]  You know, they admit they're doing it.
[00:12:38.488 --> 00:12:50.376]  It's still... I look at the global public, still think of it a little bit in the lap of luxury, in the lap of Western societies, with fire and EMS and power and a social contract that's still operated.
[00:12:50.916 --> 00:12:51.797]  That social contract
[00:12:53.012 --> 00:12:53.972]  It's being dynamited.
[00:12:54.232 --> 00:13:19.338]  There's a three-pronged fork, or attack, pincer plus one, of the environmental shutdown, takeover, as their excuse to track, trace, control everything, that they define everybody in the West being invaded by organized third world populations, already exploited by the UN, as their new client group, and their new captured permanent underclass group to bring it in, and then the
[00:13:21.715 --> 00:13:35.768]  He's calling anyone a white supremacist that doesn't accept that love was conquering you, and that is the police state prong where you're the declared terrorist, as Biden did in his joint session to Congress, no longer a state of the union, as the very walls of the union are dissolved.
[00:13:36.469 --> 00:13:38.991]  And as the average man, average woman, has no idea what's hitting him.
[00:13:39.792 --> 00:13:46.919]  But you, my friends, are informed, you are involved, and the evidence of this new world order is as plentiful as fish in the sea.
[00:13:47.839 --> 00:13:50.300]  And so I hope you'll investigate it for yourself and discover it to be true.
[00:13:50.320 --> 00:13:52.580]  And I hope you will share this information with everyone you know.
[00:13:52.940 --> 00:13:56.221]  I don't know how long influenza will be on the air, the way things are accelerating.
[00:13:56.941 --> 00:13:59.082]  They're clearly going to release a new bioweapon soon.
[00:13:59.502 --> 00:14:00.562]  We are the bioweapons.
[00:14:00.622 --> 00:14:01.462]  It's now confirmed.
[00:14:01.502 --> 00:14:02.202]  Top scientists.
[00:14:02.943 --> 00:14:12.305]  Dozens of mainstream articles even yesterday that 60% of those in hospitals in the U.S., probably higher than that in Europe, that, quote, are dying of COVID, were vaccinated within the month.
[00:14:12.765 --> 00:14:15.046]  So it's the vaccine killing them, then they test positive for COVID.
[00:14:15.506 --> 00:14:16.566]  They tell them that's what's killing them.
[00:14:17.273 --> 00:14:19.534]  That's why Fauci says obviously the vaccine doesn't work.
[00:14:19.554 --> 00:14:20.334]  It was never meant to work.
[00:14:21.114 --> 00:14:43.822]  It's meant to have you accept the oxymoron and the on-the-face fraud is you take five of these shots a year and you still can't go out and you're still not essential and you still wear a mask and it makes you sick but it's okay because you're a hero because you signed on to it at the beginning so via the mask Stockholm Syndrome or somebody buying a lottery ticket who won't admit it's a scam or somebody at a Nigerian email scam won't admit it's a scam keeps doubling down and investing more money with a Nigerian scam
[00:14:44.839 --> 00:14:49.184]  Once these people have taken these shots and gotten sick, even paralyzed women in the hospital say, I'll do it again!
[00:14:49.204 --> 00:14:50.846]  We need to do this for heroes!
[00:14:51.206 --> 00:14:52.528]  It's worth it to save us from COVID!
[00:14:53.008 --> 00:14:54.270]  Even though it's all basically fraud.
[00:14:55.011 --> 00:14:55.451]  See how it works?
[00:14:56.312 --> 00:14:57.894]  Alright, that's this report.
[00:14:58.014 --> 00:14:59.175]  InfoWars.com.
[00:14:59.676 --> 00:15:05.042]  Only way this article, only way this video, only way this audio analysis gets out is if you share it.
[00:15:05.740 --> 00:15:09.562]  So I'm asking all of you to please share this transmission.
[00:15:10.382 --> 00:15:12.203]  The time is very, very short.
[00:15:12.283 --> 00:15:12.983]  Please share it.
[00:15:13.424 --> 00:15:15.325]  You are just as important as I am making this report.
[00:15:15.825 --> 00:15:16.365]  You're sharing it.
[00:15:16.385 --> 00:15:17.306]  It is beyond key.
[00:15:17.686 --> 00:15:22.188]  On your email, on your text message, one of the more primitive ways, there's still ways you can get it out somewhat non-censored.
[00:15:22.728 --> 00:15:28.731]  They won't let you send out Bandai Video or InfoWars.com links on things like Google email.
[00:15:29.588 --> 00:15:35.149]  Email but you can or many other platforms, but you can do it at band this dot TV They haven't banned that URL yet.
[00:15:35.469 --> 00:15:42.951]  That's an index of all the same videos same page ban this dot TV And this dot TV and when they ban that will give you a new URL.
[00:15:42.971 --> 00:15:55.654]  There's only a work stop gap Around the enemy, but the fact you're trying to block this should let you know how important it is So again, please share it from band this dot TV if you want to see detailed reports proving all of this and
[00:15:56.643 --> 00:15:56.923]  I think?
[00:16:17.412 --> 00:16:28.560]  Is that if you look at places in Europe or Australia, but especially the UK, where they've taken the guns and where the people have been trained to be subservient, that's where the lockdowns are complete and basically never end.
[00:16:29.481 --> 00:16:35.165]  They only take the lockdowns off to bring them back two weeks later to create the pretext.
[00:16:35.185 --> 00:16:38.047]  There's actually, you know, a value to doing these lockdowns.
[00:16:38.407 --> 00:16:40.008]  Does it matter what the math science says?
[00:16:40.028 --> 00:16:42.129]  Does it matter if they turn up the PCR test?
[00:16:42.169 --> 00:16:42.610]  Does it matter?
[00:16:44.127 --> 00:16:48.270]  To the sheeple because they're under Stockholm syndrome and have basically submitted to it.
[00:16:49.671 --> 00:16:51.092]  And they can't admit they've been conned.
[00:16:51.512 --> 00:16:52.472]  I talked about that earlier.
[00:16:52.533 --> 00:17:00.938]  It's just that realize you better thank the founders for fighting to enshrine rights that already existed, but who fought to enshrine them and protect them and defend them.
[00:17:01.298 --> 00:17:02.619]  And that's the first and second amendment.
[00:17:03.420 --> 00:17:05.421]  The first and second amendment now are more important than ever.
[00:17:05.441 --> 00:17:06.742]  We better use the first amendment.
[00:17:08.223 --> 00:17:09.043]  CNN has almost no viewers.
[00:17:09.083 --> 00:17:12.965]  The ADL is reviled and hated across the United States and the world.
[00:17:33.211 --> 00:17:33.291]  Yes.
[00:17:49.668 --> 00:17:56.971]  And they've even officially called the ADL for my arrest for my speech and for Mark Zuckerberg to be arrested for free speech as well.
[00:17:57.392 --> 00:17:58.932]  These are very, very dangerous times.
[00:17:59.312 --> 00:18:00.493]  They don't want us to be on air.
[00:18:00.833 --> 00:18:02.354]  You funding our operation is critical.
[00:18:02.574 --> 00:18:07.076]  We make it easy at InfoWareStore.com with amazing products like water filtration,
[00:18:07.456 --> 00:18:14.385]  Air Filtration, Non-GMO Heirloom Seeds, T-Shirts, Books, Films, and now, four of our best-selling products sold out for months, back in stock.
[00:18:14.625 --> 00:18:22.575]  Boddy's Ultimate Turmeric Formula, Vazobeats, Prostagard, Alpha Power, and more, back in stock, and it keeps us on air, despite what the tyrants want!
