[00:00:01.328 --> 00:00:02.649]  Well, they've introduced H.R.
[00:03:01.198 --> 00:03:12.266]  But see, they're planning one-party rule, and to pack the courts, and to open the borders, and to arrest their political opposition, and to take your guns, and to brainwash your kids, and to teach them when they're five that they're a different sex.
[00:03:12.306 --> 00:03:15.248]  I mean, this is just a total power grab cult takeover.
[00:03:16.329 --> 00:03:18.971]  And it's just incredible.
[00:03:19.171 --> 00:03:19.871]  We're inside of it.
[00:03:19.891 --> 00:03:21.252]  World government, New World Order out in the open.
[00:03:21.653 --> 00:03:24.314]  But thank God InfoWars is still in the air thanks to you, so I really thank you all.
[00:03:24.875 --> 00:03:26.176]  Again, God bless, and good luck.
[00:03:33.254 --> 00:03:37.120]  I love the Patriot Blend Wake Up America Coffee.
[00:03:37.321 --> 00:03:38.402]  I just love it.
[00:03:38.422 --> 00:03:39.604]  I can't get enough of it.
[00:03:40.745 --> 00:03:42.586]  We got a fresh brew right now.
[00:03:42.986 --> 00:03:44.127]  That's what fills my mug.
[00:03:44.207 --> 00:03:45.228]  That's what fills my belly.
[00:03:45.368 --> 00:03:46.669]  That's what fills my soul.
[00:03:46.869 --> 00:03:48.710]  Wake Up America Patriot Blend Coffee.
[00:03:48.790 --> 00:03:52.913]  Folks, we have had this coffee for years at InfoWarsStore.com.
[00:03:52.953 --> 00:03:53.313]  Years.
[00:03:53.553 --> 00:03:55.074]  Never raised the price.
[00:03:55.234 --> 00:03:55.494]  Never.
[00:03:55.534 --> 00:03:58.016]  The Wake Up America Blend, the best coffee.
[00:03:58.056 --> 00:03:59.136]  The crew here loves it.
[00:03:59.256 --> 00:04:00.337]  We drink it every day.
[00:04:00.457 --> 00:04:04.980]  And of course, that's just one of the great ways you can support InfoWars here at
[00:04:05.080 --> 00:04:05.380]  Attention.
[00:04:35.439 --> 00:04:37.301]  This is a message from President Biden.
[00:04:37.881 --> 00:04:47.310]  You know, the rapidly rising, um, uh, in with, uh, with, uh, I don't know.
