[00:00:00.149 --> 00:00:05.363]  We are investigating the center of the web, and we're going wherever the truth takes us.
[00:04:35.330 --> 00:04:42.004]  A regular fixture at the most glamorous parties in Mayfair and Knightsbridge, and close to royalty itself.
[00:04:44.286 --> 00:04:51.473]  We've pored over thousands of court documents, accounts, books, photographs and videos and spoken with multiple sources.
[00:04:51.994 --> 00:04:58.220]  They reveal that both Maxwell and Epstein regularly visited the UK where alleged abuse took place.
[00:04:58.721 --> 00:05:05.187]  Despite the high-profile scandal, all of this seemingly escaped the attention of the police here at Scotland Yard.
[00:05:05.908 --> 00:05:15.754]  Until 2015, when a British child abuse campaigner filed a formal complaint claiming that Epstein and Maxwell had trafficked a woman to the UK for sex.
[00:05:16.455 --> 00:05:26.441]  The complaint was based on the court testimony of Virginia Roberts, who was just 17 when she said she was pressured by Epstein to have sex with Prince Andrew in London.
[00:05:27.725 --> 00:05:38.427]  In a statement, the Met told us they were not the appropriate authority to investigate and that any investigation would be largely focused on activities and relationships outside the UK.
[00:05:39.627 --> 00:05:45.669]  In November 2016, they said, a decision was made not to proceed to a full criminal investigation.
[00:05:46.349 --> 00:05:47.709]  And that was the end of it.
[00:05:48.769 --> 00:05:57.311]  The Met have explicitly denied that Prince Andrew's involvement with Maxwell and Epstein had any bearing on their decision not to investigate fully.
[00:05:58.291 --> 00:06:05.954]  The problem was the fact that once he had been convicted, I stayed with him.
[00:06:05.974 --> 00:06:16.619]  And that's the bit that, as it were, I kick myself for on a daily basis, because it was not something that was becoming a member of the Royal Family.
[00:06:16.799 --> 00:06:23.522]  And we try and uphold the highest standards and practices, and I let the side down.
[00:06:23.922 --> 00:06:24.382]  Simple as that.
[00:06:25.063 --> 00:06:30.006]  One of Epstein's accusers, Virginia Roberts, has made allegations against you.
[00:06:30.826 --> 00:06:32.387]  She says she met you in 2001.
[00:06:33.628 --> 00:06:37.870]  She says she dined with you, danced with you at Tramp Nightclub in London.
[00:06:38.430 --> 00:06:44.553]  She went on to have sex with you in a house in Belgravia belonging to Gerlaine Maxwell, your friend.
[00:06:45.354 --> 00:06:45.994]  Your response?
[00:06:47.875 --> 00:06:50.677]  I have no recollection of ever meeting this lady.
[00:06:51.920 --> 00:06:52.600]  None whatsoever.
[00:06:52.801 --> 00:06:54.942]  You don't remember meeting her?
[00:06:54.962 --> 00:06:55.062]  No.
[00:06:55.802 --> 00:07:13.091]  And then when you research Jeffrey Epstein's girlfriend, and the fact that her father worked for British Intelligence and the Mossad, and the fact that he was involved compromising members of the British aristocracy, you understand this was a family business the entire time.
[00:07:13.431 --> 00:07:18.614]  In July 2019, Jeffrey Epstein took his own life in a prison in New York.
[00:07:20.660 --> 00:07:26.579]  Ghislaine Maxwell disappeared but was tracked down and arrested in New Hampshire in July last year.
[00:07:27.867 --> 00:07:41.131]  We allege that from at least 1994 through at least 1997, Ms Maxwell assisted Jeffrey Epstein's abuse of minor girls by helping to recruit, entice, groom and abuse children under the age of 18.
[00:07:41.331 --> 00:07:52.474]  The 59-year-old is facing up to 80 years imprisonment for her alleged role in procuring four underage girls for Jeffrey Epstein to sexually abuse between 1994 and 2004.
[00:07:55.495 --> 00:07:58.476]  Ghislaine Maxwell has been denied bail three times now.
[00:07:59.177 --> 00:08:00.597]  Dubbed a flight risk, she is.
[00:08:01.418 --> 00:08:11.142]  Her lawyers have called her confinement conditions horrific due to a lack of drinking water, sewage stench and an inability to meet privately with lawyers.
[00:08:11.684 --> 00:08:18.431]  Jeffrey Epstein's longtime confidant, Jelaine Maxwell, facing two new charges, including, for the first time, sex trafficking.
[00:08:18.772 --> 00:08:26.360]  The new indictment also adds a fourth alleged victim, saying Maxwell groomed and paid a 14-year-old girl to engage in sex acts with Epstein from 2001 to 2004.
[00:08:28.382 --> 00:08:36.545]  I think when you look at the charges that have been added here, those sex trafficking charges, as you mentioned, you think about those and you think about the potential penalties if she's convicted.
[00:08:36.565 --> 00:08:39.145]  Now, she's pleaded not guilty to all the charges in the past.
[00:08:39.506 --> 00:08:49.669]  Some of them are on screen right now, but when you look at the sex trafficking charge in particular, in the conspiracy sex traffic, you look at those charges and you look at the maximum penalties
[00:08:50.069 --> 00:08:54.551]  And it could be effectively a life sentence for her if she's convicted and given the maximum here.
[00:08:54.631 --> 00:08:57.332]  So the allegations are very disturbing.
[00:08:57.412 --> 00:09:07.257]  This involved allegedly a 14-year-old girl that apparently on numerous occasions she was paid quote hundreds of dollars according to the superseding indictment.
[00:09:07.717 --> 00:09:18.065]  Uh, to engage in sex acts with Jeffrey Epstein, that originally was supposed to be massages for him, and then it turned into, uh, to sex acts and sex abuse on behalf of Jeffrey Epstein.
[00:09:18.085 --> 00:09:31.816]  Of course, we've seen that in nearly every other victim before, uh, that she was involved, allegedly, in grooming, uh, this young person, that, uh, she appeared, uh, nude several times in front of this person, made inappropriate comments.
[00:09:32.416 --> 00:09:42.411]  Uh, also tried to get her to travel with Jeffrey Epstein, even offering the ability to get her a passport, which apparently this victim denied or declined.
[00:09:43.332 --> 00:09:48.419]  And also they paid her to recruit other young girls for these massages that would then of course
[00:09:48.880 --> 00:09:49.861]  Later turned sexual.
[00:09:49.941 --> 00:09:53.043]  So a series of disturbing allegations.
[00:09:53.404 --> 00:10:05.614]  An affidavit filed in April alleges Epstein and his supposed ex-girlfriend, Ghislaine Maxwell, told a 15-year-old girl to take off all of her clothes and then touched her inappropriately on a massage table at the ranch in 1996.
[00:10:07.395 --> 00:10:14.319]  And in a lawsuit filed Tuesday morning, an accuser claims Epstein coerced her to engage in sex acts there between 2007 and 2010.
[00:10:14.379 --> 00:10:23.363]  Soon after the well-connected Epstein registered as a sex offender here in New Mexico, state officials informed him that he wasn't required to do so.
[00:10:23.703 --> 00:10:26.525]  That's despite having to register in Florida and New York.
[00:10:27.285 --> 00:10:35.870]  Official documents from 2010 show that just two days after Epstein registered in New Mexico, a legal loophole allowed him to be taken off the list.
[00:10:36.170 --> 00:10:36.590]  The reason?
[00:10:37.050 --> 00:10:42.854]  The victim in his Florida case was not younger than 16, a condition for registry in New Mexico.
[00:10:43.034 --> 00:10:46.135]  The corrupt system has tried to hide the horrors that have gone on in here.
[00:10:46.576 --> 00:10:49.437]  They've tried to block it behind these codes and these big doors.
[00:10:50.198 --> 00:10:52.199]  But you and I have blown this thing wide open.
[00:10:52.799 --> 00:10:58.803]  Law enforcement sources say several accusers have come forward in New Mexico, where Epstein owns a sprawling ranch.
[00:10:59.263 --> 00:11:07.989]  According to a new report published in the New York Times, Epstein wanted to use the ranch for controlled breeding, using his DNA to improve humanity.
[00:11:08.309 --> 00:11:22.259]  Citing two award-winning scientists and an advisor to large companies and wealthy individuals, the article reports Epstein surrounded himself with leading scientists and would tell them he wanted to have 20 women impregnated at a time on the ranch.
[00:11:22.719 --> 00:11:26.765]  Well, tonight we're learning much more about the people Jeffrey Epstein targeted.
[00:11:27.085 --> 00:11:32.193]  The director of MIT's Media Lab, Joichi Ito, announced Saturday that he is stepping down.
[00:11:32.733 --> 00:11:37.160]  He's been facing criticism for his financial ties with convicted sex offender Jeffrey Epstein.
[00:11:37.625 --> 00:11:43.266]  Three top MIT administrators signed off on donations from convicted sex offender Jeffrey Epstein.
[00:11:43.666 --> 00:11:56.790]  Investigators faulting head lawyer R. Gregory Morgan, fundraising chief Jeffrey Newton, and VP Treasurer Israel Ruiz, saying there were, quote, significant errors in judgment that resulted in serious damage to the MIT community.
[00:11:56.970 --> 00:12:02.311]  Then when I started conversations with the MIT Media Lab about the position that I was applying for,
[00:12:02.991 --> 00:12:12.876]  It was explained to me that Joey Ito and Jeffrey Epstein had an existing relationship and that part of my job would be to help aid that relationship along.
[00:12:13.076 --> 00:12:15.597]  And Epstein's money was purposely marked anonymous.
[00:12:15.937 --> 00:12:23.201]  The donations driven by former Media Lab Director Joey Ito and Mechanical Engineering Professor Seth Lloyd, who's been placed on leave.
[00:12:23.561 --> 00:12:30.024]  We were expected to keep this quiet at every turn, involving as few people as possible.
[00:12:30.585 --> 00:12:30.885]  He was
[00:12:31.445 --> 00:12:37.976]  Referred to by just his initials, sometimes a pseudonym, but in general we were just supposed to avoid
[00:12:39.306 --> 00:12:46.951]  Other people learning about this, the visit, where he came to the lab, we were expected to keep off books as much as possible.
[00:12:47.492 --> 00:12:51.954]  And according to this report, Epstein visited this campus nine times since 2013.
[00:12:52.915 --> 00:12:54.936]  He was here for nine times.
[00:12:54.957 --> 00:13:04.503]  I mean, there are apparently hundreds, maybe thousands of hours of closed circuit TV footage from Epstein's various properties that are still under seal for some reason.
[00:13:04.543 --> 00:13:09.046]  Will we ever find out who exactly was involved in whatever scam he was running?
[00:13:09.726 --> 00:13:12.907]  So the big question is, what's more evil?
[00:13:13.607 --> 00:13:14.367]  Skull and Bones?
[00:13:15.287 --> 00:13:16.187]  Bohemian Grove?
[00:13:17.147 --> 00:13:20.648]  Jeffrey Epstein's pedophile sex dungeon?
[00:13:21.808 --> 00:13:25.529]  Or the larger system that controls it?
[00:13:26.169 --> 00:13:27.229]  That's where we're going next.
[00:13:28.529 --> 00:13:31.510]  There are a lot of historic locations in New York City.
[00:13:31.550 --> 00:13:33.050]  A lot of historic buildings.
[00:13:34.170 --> 00:13:37.851]  But this building right here doesn't have any names on it.
[00:13:39.039 --> 00:13:41.421]  Does it tell you who's based here?
[00:13:42.241 --> 00:13:45.424]  Does it tell you what business they're engaged in?
[00:13:46.805 --> 00:13:52.669]  There's a name on the building for who it was named after over a hundred years ago, but that's it.
[00:13:53.650 --> 00:14:06.039]  But the decisions that have been made in this building created the modern United Nations we know of today, the Bretton Woods Agreement for world currency, and basically every other
[00:14:07.188 --> 00:14:11.709]  Major governmental system we've seen in the 20th century and now the 21st century.
[00:14:18.294 --> 00:14:25.859]  For 100 years, the Council on Foreign Relations has been helping America play a vital part on the world stage.
[00:14:26.759 --> 00:14:39.347]  The Council has served as an invaluable resource for its members, policymakers, and the public by publishing bold new ideas, providing research and a forum for debate, and proposing policies.
[00:14:40.791 --> 00:14:49.034]  CFR has helped navigate the challenges of a changing world ever since it was born out of the ashes of a global conflict.
[00:14:52.115 --> 00:15:01.638]  Faced with the new horrors of total war, President Woodrow Wilson tasked 150 of the brightest minds with crafting a path to lasting peace.
[00:15:03.158 --> 00:15:08.500]  Known as the Inquiry, this project helps guide his vision for the post-war order.
[00:15:09.457 --> 00:15:14.061]  That our people are wedded and devoted to the idea of international justice.
[00:15:15.162 --> 00:15:21.967]  Members of the inquiry set sail with President Wilson to work the sidelines of the Versailles Peace Conference.
[00:15:25.731 --> 00:15:31.816]  The treaty sign, European powers agree to Wilson's idea of a League of Nations.
[00:15:33.397 --> 00:15:35.599]  But in the end, the Senate rejects it.
[00:15:36.883 --> 00:15:43.609]  Undeterred, members of the inquiry vowed to continue encouraging American participation in world affairs.
[00:15:48.474 --> 00:15:52.518]  Back in New York, they formed the Council on Foreign Relations.
[00:15:53.783 --> 00:16:05.448]  While comprised at the time mostly of white Northeastern men, the Council's mission has endured through a century, even as the organization, the country, and the world all changed.
[00:16:06.308 --> 00:16:19.674]  It aspires to be a continuous conference on international questions affecting the United States by bringing together experts on statecraft, finance, industry, education, and science.
[00:16:20.294 --> 00:16:25.077]  It lies at the corner of Park Avenue and East 68th Street in New York City.
[00:16:25.638 --> 00:16:33.483]  An organization publicly created by British intelligence with the express goal of merging the British Empire with the United States.
[00:16:34.464 --> 00:16:35.665]  And it's right here in New York City.
[00:16:35.705 --> 00:16:39.908]  It's got an American flag flying right there above it.
[00:16:40.648 --> 00:16:48.253]  But this building was established working with a foreign intelligence agency in 1922.
[00:16:50.265 --> 00:16:52.486]  This building is the Pratt House.
[00:16:53.467 --> 00:16:58.690]  This building is the headquarters of the Council on Foreign Relations.
[00:16:59.130 --> 00:17:06.875]  And so this is the important thing to, I think, understand that this left-right paradigm is a political ploy.
[00:17:07.495 --> 00:17:09.696]  It works very well for those who know what they're doing.
[00:17:10.357 --> 00:17:17.461]  We find that the Republican Party and the Democrat Party both are pretty much in the hands of a relatively small group of people.
[00:17:18.301 --> 00:17:22.587]  With a membership of about 4,000, it's called the Council on Foreign Relations.
[00:17:22.987 --> 00:17:27.953]  These are the people that are really pulling the strings in both the Republican and the Democrat Party.
[00:17:28.494 --> 00:17:29.756]  And they've even written about it.
[00:17:30.276 --> 00:17:36.384]  There's a fellow by the name of Carol Quigley, who's a former history professor at Georgetown University.
[00:17:36.744 --> 00:17:43.307]  And he comes to a very interesting point in one of his books where he says, okay, this is the way the real world is.
[00:17:43.327 --> 00:17:55.394]  He said, how is it that we, collectivists, we elitists, how can we rule the world when at the same time we want to let the average person think that they're living in a, quote, democracy?
[00:17:55.794 --> 00:17:58.235]  They're living in a system where their vote counts.
[00:17:58.715 --> 00:18:00.416]  And he answers the question brilliantly.
[00:18:00.436 --> 00:18:01.437]  He said, it's very simple.
[00:18:01.977 --> 00:18:17.063]  You've got to have two major political parties, and they'll both have the same major goals, the same basic fundamental principles, and they'll argue with each other on the surface with slogans and leadership and style and all of that sort of thing.
[00:18:17.083 --> 00:18:20.325]  He said, but we will control them both.
[00:18:21.145 --> 00:18:27.448]  A special televised meeting of the New York-based Council on Foreign Relations provides a window to the real story.
[00:18:28.128 --> 00:18:30.329]  The speaker, Vice President Dick Cheney,
[00:18:31.027 --> 00:18:55.053]  Mr. Vice President, I just enjoyed so much your whole speech, but I was particularly pleased that you gave such a strong endorsement for the Free Trade Agreement for all the Americas, a subject that has been of great concern to me for many years, and particularly recently, and I think it's absolutely essential for the strength of our economy.
[00:18:56.434 --> 00:19:01.959]  Rockefeller's role in the drive for an FTAA was a lot more central than he portrays.
[00:19:02.700 --> 00:19:07.585]  Rockefeller cultivated Latin American leaders who could be counted on to support such a proposal.
[00:19:08.185 --> 00:19:16.333]  Both the 1994 Miami Summit and the FTAA proposal were conceived and nurtured by a Rockefeller-created network.
[00:19:17.076 --> 00:19:25.100]  Prominent among the organizations sponsoring the Miami event were the Council of the Americas, Founder and Honorary Chairman, David Rockefeller.
[00:19:25.560 --> 00:19:28.822]  The Americas Society, Chairman, David Rockefeller.
[00:19:29.282 --> 00:19:32.404]  The Forum of the Americas, Founder, David Rockefeller.
[00:19:32.724 --> 00:19:37.767]  The Institute for International Economics, Financial Backer and Board Member, David Rockefeller.
[00:19:38.107 --> 00:19:42.289]  The Trilateral Commission, Founder and Honorary Chairman, David Rockefeller.
[00:19:43.559 --> 00:19:46.800]  Rockefeller's influence also extends to the current administration.
[00:19:47.300 --> 00:19:56.921]  He was chairman emeritus of the CFR when Vice President Dick Cheney once served as a director, a relationship that Cheney concealed during his congressional career.
[00:19:57.682 --> 00:20:00.282]  It's good to be back at the Council on Foreign Relations.
[00:20:00.422 --> 00:20:06.363]  As Pete mentioned, I've been a member for a long time and was actually a director for some period of time.
[00:20:07.103 --> 00:20:10.624]  I never mentioned that when I was campaigning for re-election back home in Wyoming.
[00:20:11.195 --> 00:20:16.058]  Thank you very much, Richard, and I am delighted to be here in these new headquarters.
[00:20:17.159 --> 00:20:27.126]  I have been often to, I guess, the mothership in New York City, but it's good to have an outpost of the Council right here down the street from the State Department.
[00:20:27.826 --> 00:20:38.173]  We get a lot of advice from the Council, so this will mean I won't have as far to go to be told what we should be doing and how we should think about the future.
[00:20:38.553 --> 00:20:45.175]  The CFR exists, the Trilateral Commission exists, and it's a, quote, conspiracy of ideas.
[00:20:45.235 --> 00:20:46.875]  This is an ideological battle.
[00:20:46.915 --> 00:20:51.057]  Some people believe in globalism, others of us believe in national sovereignty.
[00:20:51.697 --> 00:20:55.858]  And there is a move on toward a North American Union, just like
[00:20:56.358 --> 00:21:01.444]  Early on, there was a move on for a European Union, and it eventually ended up.
[00:21:01.504 --> 00:21:04.807]  So we had NAFTA, and moving toward a NAFTA highway.
[00:21:04.827 --> 00:21:05.768]  These are real things.
[00:21:06.189 --> 00:21:07.810]  It's not somebody made these up.
[00:21:07.870 --> 00:21:08.972]  It's not a conspiracy.
[00:21:09.312 --> 00:21:12.976]  They don't talk about it, and they might not admit about it, but there's been money spent on it.
[00:21:13.516 --> 00:21:18.802]  There was legislation passed in the Texas legislature unanimously to put a halt on it.
[00:21:19.162 --> 00:21:30.188]  They're planning on millions of acres taken by eminent domain for an international highway from Mexico to Canada, which is going to make the immigration problem that much worse.
[00:21:30.548 --> 00:21:42.895]  So it's not so much a secretive conspiracy, it's a contest between ideologies, whether we believe in our institutions here, our national sovereignty, our constitution,
[00:21:43.275 --> 00:21:47.398]  Or are we going to further move in the direction of international government?
[00:21:47.498 --> 00:21:48.138]  More UN.
[00:21:48.158 --> 00:21:50.840]  You know, this country goes to war under UN resolutions.
[00:21:51.220 --> 00:21:53.362]  I don't like big government in Washington.
[00:21:53.702 --> 00:21:56.864]  So I don't like this trend toward international government.
[00:21:57.064 --> 00:22:02.228]  We have a WTO that wants to control our drug industry, our nutritional products.
[00:22:02.568 --> 00:22:06.831]  So I'm against all that, but it's not so much as a sinister conspiracy.
[00:22:07.171 --> 00:22:08.772]  It's just knowledge is out there.
[00:22:09.052 --> 00:22:12.875]  If we look for it, you'll realize that our national sovereignty is
[00:22:12.995 --> 00:22:13.856]  He's under threat.
[00:22:14.676 --> 00:22:23.284]  And I had gotten a commitment from Poroshenko and from Yatsenyuk that they would take action against the state prosecutor, and they didn't.
[00:22:24.005 --> 00:22:29.790]  So they said they had, they were walking out to press conference, said, no, I said, I'm not going to, we're not going to give you the billion dollars.
[00:22:30.691 --> 00:22:32.072]  They said, you have no authority.
[00:22:32.092 --> 00:22:32.932]  You're not the president.
[00:22:32.952 --> 00:22:34.394]  The president said, I said, call him.
[00:22:36.095 --> 00:22:37.977]  I said, I'm telling you, you're not getting a billion dollars.
[00:22:38.686 --> 00:22:39.927]  I said, you're not getting a billion.
[00:22:39.967 --> 00:22:40.867]  I'm going to be leaving here.
[00:22:40.987 --> 00:22:42.248]  I think it was what, six hours?
[00:22:42.308 --> 00:22:43.849]  I looked, I said, I'm leaving in six hours.
[00:22:44.349 --> 00:22:46.711]  If the prosecutor's not fired, you're not getting the money.
[00:22:47.451 --> 00:22:48.292]  Oh, son of a bitch.
[00:22:49.830 --> 00:22:50.430]  Got fired.
[00:22:51.030 --> 00:23:03.675]  The Royal Institute of International Affairs is the main roundtable group that in the early 1920s created its first major offshoot, the Council on Foreign Relations.
[00:23:04.615 --> 00:23:12.398]  And it also set up similar chapters in India, in different nations in Africa, Latin America, Asia, the Middle East, all across Europe.
[00:23:13.118 --> 00:23:22.848]  This is the predecessor of the Bilderberg Group, of the Davos Group, and all of these other major global organizations that are pushing the Great Reset.
[00:23:23.309 --> 00:23:34.320]  And they go in, per country, and recruit thousands of the best and brightest in academia, banking, science, the military, and get them on board with their global operation.
[00:23:34.560 --> 00:23:35.781]  And as long as you agree with them,
[00:23:36.602 --> 00:23:45.887]  As long as you go along with their plan to transfer national power to unelected multinational corporations and governments, you will be pushed upwards through the ranks.
[00:23:46.368 --> 00:23:52.131]  The Council on Foreign Relations is an unbiased, unvarnished view of policy.
[00:23:52.411 --> 00:24:00.536]  And what we want to do is start a conversation in this country about the need for Americans to be better prepared for the world they're about to enter.
[00:24:00.816 --> 00:24:05.138]  The Council is a place where people can try to get to some common understanding.
[00:24:05.198 --> 00:24:08.840]  Foreign policy can be so daunting, it can be so scary for people.
[00:24:09.000 --> 00:24:12.101]  And yet, CFR makes it very accessible.
[00:24:12.401 --> 00:24:16.243]  You want to hear from intelligence people, you want to hear from policy people, you want to hear from NGOs.
[00:24:16.323 --> 00:24:20.024]  You read the headlines, you read the newspapers, but then you're trying to go deeper.
[00:24:20.305 --> 00:24:23.346]  One of my go-to resources, of course, is foreign affairs.
[00:24:23.446 --> 00:24:27.908]  The Council work is so grounded in facts and what's happening in the world without an agenda.
[00:24:28.168 --> 00:24:29.910]  We're not political, we're not ideological.
[00:24:30.030 --> 00:24:32.132]  We don't take institutional positions here.
[00:24:32.473 --> 00:24:34.175]  We don't take money from governments.
[00:24:34.255 --> 00:24:42.965]  This policy-relevant space that's both intellectually solid, but still applied, still connected to reality, that's the sweet spot we try to operate in.
[00:24:46.226 --> 00:24:47.967]  And that is how we've gotten our world government.
[00:24:48.467 --> 00:24:52.430]  So I ask the question that I first asked at the beginning of this investigative report.
[00:24:53.110 --> 00:24:54.431]  Who is most powerful?
[00:24:55.192 --> 00:24:56.192]  Is it the Bilderberg Group?
[00:24:56.913 --> 00:24:57.933]  Is it the CFR?
[00:24:58.654 --> 00:24:59.894]  Is it the Trilateral Commission?
[00:24:59.935 --> 00:25:00.455]  The IMF?
[00:25:00.475 --> 00:25:01.075]  The World Bank?
[00:25:01.335 --> 00:25:01.956]  The UN?
[00:25:02.176 --> 00:25:02.816]  Microsoft?
[00:25:02.836 --> 00:25:02.976]  IBM?
[00:25:02.996 --> 00:25:06.919]  I'm going to answer that question here in just a few minutes.
[00:25:07.375 --> 00:25:11.477]  As the council's prestige and numbers grow, it needs a bigger home.
[00:25:12.077 --> 00:25:17.820]  And the late council member Harold Pratt's Park Avenue mansion becomes its iconic headquarters.
[00:25:18.320 --> 00:25:25.144]  With the nuclear arms race underway, CFR invites a young Harvard scholar to oversee a study group on deterrence.
[00:25:26.084 --> 00:25:36.547]  The Council publishes Henry Kissinger's resulting book, which becomes an unexpected bestseller and launches one of the most influential diplomatic careers of the century.
[00:25:37.088 --> 00:25:46.591]  I think his task will be to develop an overall strategy for America in this period, when really a new world order can be created.
[00:25:46.671 --> 00:25:47.871]  It's a great opportunity.
[00:25:48.251 --> 00:25:53.433]  Under Chairman David Rockefeller, the Council opens a small office in Washington, D.C.
[00:25:54.033 --> 00:25:56.674]  Long overdue, women are invited to join.
[00:25:57.334 --> 00:26:01.195]  The Council adds a new term member program for younger professionals.
[00:26:01.656 --> 00:26:08.578]  Military fellowships provide rising officers an opportunity to think more broadly about national security.
[00:26:08.978 --> 00:26:17.541]  Plus, international affairs fellowships are created to build a bridge between academia and government and create scholar practitioners.
[00:26:18.162 --> 00:26:24.084]  It is a superb program and it was indeed one of the best, best experiences of my life.
[00:26:24.892 --> 00:26:27.333]  World War II was generation-defining.
[00:26:28.214 --> 00:26:36.418]  It was the deadliest conflict in human history, ushered in the age of nuclear weapons, and brought about a world no longer dominated by European powers.
[00:26:37.218 --> 00:26:41.300]  In the wake of its destruction, governments met to try to form a new world order.
[00:26:42.281 --> 00:26:46.323]  They created institutions that became household names to the generations that followed.
[00:26:46.703 --> 00:26:50.385]  The United Nations, the International Monetary Fund, and the World Bank.
[00:26:51.556 --> 00:27:04.202]  The United Nations, founded in 1946, purportedly to stop World War by unifying all the nations under a central, powerful world government.
[00:27:05.122 --> 00:27:17.728]  And it was the Rockefeller family and their foundation that donated the land here in New York City to build this facility, this obelisk to world government.
[00:27:18.911 --> 00:27:29.601]  So right here in New York we have Jeffrey Epstein's pedophile compound, we have the Pratt House and the Council on Foreign Relations, and we have the United Nations right here.
[00:27:31.062 --> 00:27:32.463]  But which one's more powerful?
[00:27:33.444 --> 00:27:35.106]  Which one is more corrupt?
