[00:00:00.050 --> 00:00:00.660]  Jones Show.
[00:09:05.095 --> 00:09:12.200]  Dealing with the imminent fall, we hope, of Hillary Clinton as all of her lies and corruption begin to come out.
[00:09:13.020 --> 00:09:13.941]  Dealing with so much.
[00:09:15.182 --> 00:09:16.443]  But before we get into...
[00:09:18.240 --> 00:09:24.225]  Cruz walking into that powerful left uppercut of Trump on insulting New Yorkers.
[00:09:25.486 --> 00:09:35.655]  Before we get into the whole natural born citizen issue that both of them frankly have under a very strict interpretation of the Constitution, that's Trump and
[00:09:37.711 --> 00:09:39.092]  Cruz, and I've always thought that way.
[00:09:39.112 --> 00:09:43.434]  His mom's born in Scotland, too, so it really gets interesting from that point out.
[00:09:43.735 --> 00:09:45.696]  David Knight's going to be breaking that down as well.
[00:09:46.236 --> 00:09:52.640]  But I want to start with a special report that we aired in that first little segment that some stations don't carry by John Bowne.
[00:09:52.940 --> 00:09:54.801]  Global economy dead in the water.
[00:09:55.141 --> 00:09:56.162]  It's five minutes long.
[00:09:56.182 --> 00:09:57.503]  It's on InfoWars.com.
[00:09:57.543 --> 00:09:59.064]  I'm going to tweet it out right now.
[00:10:00.148 --> 00:10:05.834]  But real Alex Jones, in case you didn't hear it or see it, I mean, this global economy is melting down.
[00:10:05.874 --> 00:10:11.679]  The Dow Jones Industrial Average is down 400 plus points today.
[00:10:11.719 --> 00:10:17.585]  That's almost 2,000 points the last two weeks since the new year began 15 days ago.
[00:10:20.111 --> 00:10:21.772]  So, this is engineered.
[00:10:21.912 --> 00:10:23.133]  We told you it was coming.
[00:10:23.514 --> 00:10:25.555]  We told you the derivatives were bigger than they'd ever been.
[00:10:25.836 --> 00:10:31.800]  We told you the big banks were already positioning themselves, buying up gold at record levels while saying you shouldn't buy gold.
[00:10:31.820 --> 00:10:35.703]  And I'm not saying, you know, gold's the best thing in the galaxy anyways.
[00:10:36.043 --> 00:10:41.688]  What I'm saying is they're hoarding it while telling you not to have it, which is a hedge against collapse, so you have something.
[00:10:43.055 --> 00:10:44.936]  The world has never been this leveraged.
[00:10:45.397 --> 00:10:54.002]  Different numbers are out there, but we're reportedly leveraged many times more than Weimar Republic or even Zimbabwe when it comes to derivatives.
[00:10:54.422 --> 00:11:03.228]  So I'm not here glooming and dooming, but I'm watching CNN, I'm watching Fox News this morning while I'm on the elliptical, while I'm exercising, just kind of watching the closed captioning at the gym, and
[00:11:06.274 --> 00:11:13.337]  It was pretty much all about the debate, or all about cultural stuff, and really not much about what's happening with the economy.
[00:11:13.758 --> 00:11:15.518]  They would just mention it in the background.
[00:11:16.539 --> 00:11:22.782]  Well, the Dow Jones is down 400 plus points, and John Bowne's report on Infowars.com goes over that.
[00:11:22.882 --> 00:11:25.723]  Dow falls 400 points as oil weighs.
[00:11:26.784 --> 00:11:30.745]  Fidelity, stealth, bear could see big turnaround.
[00:11:31.866 --> 00:11:33.707]  So they're acting like this wasn't seen coming.
[00:11:35.623 --> 00:11:37.505]  Here's another headline from CNBC.
[00:11:37.525 --> 00:11:39.987]  This is not 2008, it's actually worse.
[00:11:40.568 --> 00:11:43.730]  What have all of our experts and what have I been saying the last two years?
[00:11:44.091 --> 00:11:45.072]  This will be worse than 2008.
[00:11:47.250 --> 00:12:02.499]  Because it's by design, just like 2008, to get more banker bailouts, more funding, more global government, more bank regulations against banks the globalists don't control, against mutual funds they don't control, against businesses they don't control in the financial market.
[00:12:02.700 --> 00:12:06.702]  The financial market has been consolidated since 2008 over 80%.
[00:12:06.842 --> 00:12:08.983]  I mean, that's in the news.
[00:12:09.043 --> 00:12:10.164]  They have taken it over.
[00:12:10.404 --> 00:12:12.225]  The big corrupt robber barons
[00:12:13.286 --> 00:12:20.573]  That ran this whole show are the ones using regulatory systems to come in and take over everything.
[00:12:21.054 --> 00:12:23.957]  They're trying to take down local banks.
[00:12:23.977 --> 00:12:26.099]  They're trying to take down credit unions.
[00:12:26.159 --> 00:12:26.559]  They are.
[00:12:26.579 --> 00:12:28.021]  I mean, I talked to credit union heads.
[00:12:28.081 --> 00:12:28.962]  I talked to bankers.
[00:12:29.282 --> 00:12:31.805]  I've read the Texas Banking Association head back in 2009.
[00:12:33.826 --> 00:12:35.287]  It read like Alex Jones wrote it.
[00:12:35.347 --> 00:12:36.507]  It's a foreign takeover.
[00:12:36.567 --> 00:12:37.587]  Banks, they did this.
[00:12:37.827 --> 00:12:39.928]  They're now shutting us down, not letting us lend.
[00:12:39.948 --> 00:12:42.208]  This will kill lending to real businesses.
[00:12:42.388 --> 00:12:45.789]  And now the big banks, you notice, don't lend to small businesses like they did.
[00:12:46.990 --> 00:12:47.990]  Even when you have good credit.
[00:12:48.050 --> 00:12:49.910]  Because they got all the free money they want.
[00:12:50.690 --> 00:12:52.531]  They went beyond fractional reserve banking.
[00:12:53.371 --> 00:12:54.411]  So that's the big issue.
[00:12:54.471 --> 00:12:56.312]  Now David Knight and others are going to be coming in.
[00:12:58.177 --> 00:13:02.878]  Breaking down all the different angles of this, then I'll be back live this Sunday 4 to 6 p.m.
[00:13:02.898 --> 00:13:04.618]  We'll be doing a live report tonight as well.
[00:13:05.799 --> 00:13:09.239]  I've got major stories I'm working on and I'll be popping in.
[00:13:09.520 --> 00:13:14.161]  But the time we have till we go to break here, I want to start then getting into some of these clips.
[00:13:14.841 --> 00:13:17.541]  And the most important one is Trump saying, I am angry.
[00:13:18.561 --> 00:13:19.122]  I am angry.
[00:13:20.102 --> 00:13:21.882]  Well, of course he has a right to be angry.
[00:13:22.202 --> 00:13:24.983]  And the media and Obama act like it's weird to be angry.
[00:13:25.663 --> 00:13:30.816]  They've got all their surrogates out spewing racism, division, civil war, class envy.
[00:13:32.958 --> 00:13:34.079]  Gender war.
[00:13:34.760 --> 00:13:37.382]  But then he gets up there and says, can't we all just get along?
[00:13:37.982 --> 00:13:40.485]  Can't we all just be buddies, a la Rodney King?
[00:13:40.885 --> 00:13:42.666]  This is how he appears to rise above it.
[00:13:42.927 --> 00:13:45.709]  But people see through his surrogates and others.
[00:13:45.989 --> 00:13:47.390]  And of course we should be angry.
[00:13:47.651 --> 00:13:48.892]  That's why Trump's successful.
[00:13:49.112 --> 00:13:49.652]  He's angry.
[00:13:49.933 --> 00:13:50.753]  He's off the cuff.
[00:13:50.813 --> 00:13:52.094]  People are sick of scripting.
[00:13:52.815 --> 00:13:58.980]  That's all I ever told Rand Paul to do, to stay at the lead, was to be, you know, real, populist.
[00:13:59.201 --> 00:14:00.322]  That's why I'm successful.
[00:14:01.243 --> 00:14:02.704]  Because I'm real, I'm populist.
[00:14:03.264 --> 00:14:08.546]  Well, even if you're not that, but you're a patriot, people need to see you get more down in the trenches.
[00:14:09.587 --> 00:14:10.907]  And that's lessons for everybody.
[00:14:11.308 --> 00:14:12.488]  So let's go ahead and go to this clip.
[00:14:12.528 --> 00:14:15.229]  Trump, I'm angry because our country is run horribly.
[00:14:15.249 --> 00:14:20.972]  South Carolina Governor Nikki Haley, in her response to the State of the Union address.
[00:14:26.499 --> 00:14:34.723]  Nikki appears to choose sides within the party, saying Republicans should resist, quote, the siren call of the angriest voices.
[00:14:35.303 --> 00:14:38.205]  She confirmed she was referring to you, among others.
[00:14:38.605 --> 00:14:39.745]  Was she out of line?
[00:14:40.206 --> 00:14:44.167]  And how would a President Trump unite the party?
[00:14:44.528 --> 00:14:44.988]  Okay.
[00:14:45.328 --> 00:14:49.450]  First of all, Nikki this afternoon said I'm a friend of hers, actually a close friend.
[00:14:49.510 --> 00:14:52.091]  And wherever you are sitting, Nikki, I am a friend.
[00:14:52.491 --> 00:14:52.972]  We're friends.
[00:14:53.052 --> 00:14:53.432]  That's good.
[00:14:54.651 --> 00:14:57.541]  She did say, she did say there was anger.
[00:14:58.368 --> 00:14:59.629]  And I could say, oh, I'm not angry.
[00:14:59.969 --> 00:15:00.849]  I'm very angry.
[00:15:01.250 --> 00:15:04.171]  Because our country is being run horribly.
[00:15:04.671 --> 00:15:08.153]  And I will gladly accept the mantle of anger.
[00:15:08.813 --> 00:15:10.674]  Our military is a disaster.
[00:15:11.014 --> 00:15:13.075]  Our healthcare is a horror show.
[00:15:13.156 --> 00:15:15.997]  Obamacare, we're gonna repeal it and replace it.
[00:15:16.237 --> 00:15:17.558]  We have no borders.
[00:15:18.218 --> 00:15:20.139]  Our vets are being treated horribly.
[00:15:20.159 --> 00:15:22.980]  Illegal immigration is beyond belief.
[00:15:23.361 --> 00:15:27.062]  Our country is being run by incompetent people.
[00:15:27.083 --> 00:15:27.723]  Alright, let's stop there.
[00:15:28.303 --> 00:15:29.223]  I am angry.
[00:15:29.323 --> 00:15:31.484]  Everything he said is true except the incompetence.
[00:15:31.524 --> 00:15:38.926]  They put incompetent people in the low levels and mid-levels who will just follow the computer programs basically and do what they're told and not question.
[00:15:39.207 --> 00:15:40.627]  But at the top, this is by design.
[00:15:41.287 --> 00:15:45.469]  The globalists write books about it, they brag about it, they're taking over the planet with economic warfare.
[00:15:45.689 --> 00:15:46.409]  But great job.
[00:15:47.189 --> 00:15:51.350]  Oh, and I would say great job to Fox Business.
[00:15:51.731 --> 00:15:53.651]  They did the opposite of CNBC.
[00:15:54.992 --> 00:15:55.892]  CNBC got
[00:15:57.535 --> 00:15:58.496]  I don't know.
[00:16:15.436 --> 00:16:20.380]  Academic, because most of those Republicans won't actually do what they say they're pushing.
[00:16:20.560 --> 00:16:24.883]  They're known for being total, flying around in the wind like a weather vane.
[00:16:24.923 --> 00:16:29.507]  I saw a political commercial where Rubio's a weather vane, flip-flopping, you know, spinning in the wind.
[00:16:29.827 --> 00:16:31.749]  That's absolutely true, and so are the others.
[00:16:32.649 --> 00:16:37.173]  Other than people like Ted Cruz and folks like Rand Paul.
[00:16:37.213 --> 00:16:38.454]  They have not flip-flopped.
[00:16:39.154 --> 00:16:43.718]  They've changed a few issues here and said why they did, but overall they've been very, very, very, very steady.
[00:16:46.633 --> 00:17:02.039]  This is really all about the fact that everybody's watching the Republican debates, while meanwhile the Democrats hide them on the weekend during playoff games because they don't want you to hear Hillary and don't want you to hear Bernie Sanders and hear all the socialism and hear all the tyranny and hear all the anti-gun stuff.
[00:17:02.079 --> 00:17:03.199]  They're hiding them.
[00:17:03.539 --> 00:17:05.740]  That's really the big issue here.
[00:17:06.687 --> 00:17:08.689]  That's what has to be dealt with here.
[00:17:09.030 --> 00:17:16.417]  Now, I'm not going to get to the Ted Cruz clip, but he comes out and says, look, I'm, you know, New York, we all know, liberal, pro-abortion, you know, gay marriage.
[00:17:16.958 --> 00:17:18.059]  We know what New York is.
[00:17:18.099 --> 00:17:19.441]  Conservatives don't really come out of there.
[00:17:20.302 --> 00:17:21.663]  And he's trying to play to the South.
[00:17:22.163 --> 00:17:26.088]  I don't think Cruz really understands the South and the West and stuff.
[00:17:27.205 --> 00:17:27.525]  Okay.
[00:17:28.206 --> 00:17:29.426]  Northerners love Southerners.
[00:17:29.446 --> 00:17:31.648]  Southerners love Northerners when it comes down to Americana.
[00:17:33.049 --> 00:17:34.209]  Southerners love Trump.
[00:17:35.610 --> 00:17:38.552]  I get the fact that you can't really trust somebody that's been up in the elite of New York.
[00:17:38.612 --> 00:17:46.097]  If he would have said Trump's from the elite of New York, he's been for Hillary before, he just doesn't have a history, we don't know what we're getting.
[00:17:46.357 --> 00:17:50.980]  What he says sounds great, but with me, you know what you're going to get because of my track record.
[00:17:52.312 --> 00:17:53.552]  I mean, I like Ted Cruz.
[00:17:53.592 --> 00:17:53.972]  He's great.
[00:17:54.853 --> 00:18:03.154]  The problem is, is that he walks into things and he just really let Trump tear him up.
[00:18:03.694 --> 00:18:06.635]  And then here's Trump's response to him talking about New York.
[00:18:06.695 --> 00:18:10.936]  I would have said, you know, I think you're part of the New York elites that feed on the great people of New York.
[00:18:11.396 --> 00:18:14.157]  That's what New Yorkers really think, instead of what he did.
[00:18:14.357 --> 00:18:17.397]  Let's go to part of this clip from Trump as we get ready to go to break.
[00:18:17.697 --> 00:18:20.698]  Here he is responding to Cruz, quote, insulting New Yorkers.
[00:18:23.855 --> 00:18:32.722]  So, conservatives actually do come out of Manhattan, including William F. Buckley and others, just so you understand.
[00:18:33.943 --> 00:18:40.107]  And, just so, if I could, because he insulted a lot of people, I've had more calls on that statement that Ted made.
[00:18:40.708 --> 00:18:45.551]  That New York is a great place, it's got great people, it's got loving people, wonderful people.
[00:18:46.352 --> 00:18:51.936]  When the World Trade Center came down, I saw something that no place on earth
[00:18:52.617 --> 00:18:56.019]  Could have handled more beautifully, more humanely than New York.
[00:18:56.059 --> 00:19:08.327]  You had two one hundred... You had two one hundred and ten story buildings come crashing down.
[00:19:08.387 --> 00:19:09.347]  I saw them come down.
[00:19:09.787 --> 00:19:11.188]  Thousands of people killed.
[00:19:12.029 --> 00:19:21.514]  And the cleanup started the next day and it was the most horrific cleanup probably in the history of doing this and in construction.
[00:19:21.574 --> 00:19:22.215]  I was down there.
[00:19:23.164 --> 00:19:24.545]  And I've never seen anything like it.
[00:19:24.826 --> 00:19:28.088]  And the people in New York fought and fought and fought.
[00:19:28.629 --> 00:19:29.770]  And we saw more death.
[00:19:30.370 --> 00:19:31.932]  And even the smell of death.
[00:19:32.492 --> 00:19:33.353]  Nobody understood it.
[00:19:33.433 --> 00:19:34.914]  And it was with us for months.
[00:19:35.374 --> 00:19:36.636]  The smell, the air.
[00:19:37.276 --> 00:19:39.258]  And we rebuilt downtown Manhattan.
[00:19:39.698 --> 00:19:41.560]  And everybody in the world watched.
[00:19:41.700 --> 00:19:45.323]  And everybody in the world loved New York and loved New Yorkers.
[00:19:45.443 --> 00:19:49.887]  And I have to tell you, that was a very insulting statement that Ted made.
[00:19:50.647 --> 00:19:52.410]  Well, I mean, it's what Democrats would do.
[00:19:52.430 --> 00:19:54.612]  And I'm not attacking Ted Cruz, but divide and conquer.
[00:19:55.454 --> 00:19:58.377]  And I'm not attacking Cruz, it's just that's why he got torn up.
[00:19:58.738 --> 00:19:59.499]  We'll be right back.
[00:19:59.559 --> 00:20:00.160]  Stay with us.
[00:20:00.220 --> 00:20:01.601]  Roundtable discussion coming up.
[00:20:01.962 --> 00:20:04.966]  I'm Alex Jones, InfoWars.com, PrisonPlanet.tv.
[00:20:11.528 --> 00:20:12.930]  Hi, this is Walt Augustinowicz.
[00:20:13.370 --> 00:20:15.332]  I'm the founder and CEO of ID Stronghold.
[00:20:15.893 --> 00:20:19.517]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:20:19.757 --> 00:20:28.246]  Ten years ago, I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:20:28.587 --> 00:20:31.870]  I felt having to broadcast my personal information was an invasion of privacy.
[00:20:32.731 --> 00:20:35.815]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:20:35.875 --> 00:20:40.480]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:20:41.241 --> 00:20:45.465]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:20:46.166 --> 00:20:48.969]  There are a lot of misconceptions out there today about RFID.
[00:20:49.330 --> 00:20:51.572]  I encourage everyone to get informed and get protected.
[00:20:52.413 --> 00:20:58.657]  Please go to IDStronghold.com and get the facts and the wallet sleeves or badge holders you need to protect your personal financial data.
[00:20:59.438 --> 00:21:04.662]  You'll be pleasantly surprised that through our direct sales model you won't pay more than other comparable unprotected wallets.
[00:21:05.042 --> 00:21:06.763]  It is as though the protection is free.
[00:21:07.404 --> 00:21:09.045]  Visit IDStronghold.com today.
[00:21:10.618 --> 00:21:15.420]  As your body ages, there's a 10% decline in your ability to repair each passing decade after the age 28.
[00:21:16.080 --> 00:21:22.043]  By age 40, your ability to repair from demanding manual labor, exercise, or a stressful desk job has declined by 12%.
[00:21:22.783 --> 00:21:27.585]  By using One World Whey, you supercharge your body's ability to repair and eliminate inflammation.
[00:21:27.786 --> 00:21:35.529]  Our unique, frequency-encoded whey protein, coupled with our high-quality whey, improves your cell's ability to make protein, which is to say, repair itself.
[00:21:35.609 --> 00:21:37.850]  My name is Jonathan Wright, and I'm 40 years old.
[00:21:37.930 --> 00:21:40.711]  I recently went from a desk job to a manual labor job.
[00:21:40.791 --> 00:21:41.751]  Normally, I'm worn out.
[00:21:41.891 --> 00:21:47.493]  With Energy Enhanced One World Way, I now recover so quickly that I can perform very hard work all day long.
[00:21:47.693 --> 00:21:52.775]  I use Energy Enhanced One World Way for breakfast and lunch, and I experience less hunger throughout the day.
[00:21:53.055 --> 00:21:55.896]  I have a 30% increase in energy, and I just feel better.
[00:21:56.176 --> 00:21:59.417]  I plan to make Energy Enhanced One World Way a permanent part of my lifestyle.
[00:21:59.597 --> 00:22:04.583]  Call 888-988-3325 or visit OneWorldWay.com.
[00:22:04.623 --> 00:22:05.584]  That's OneWorld.
[00:22:06.085 --> 00:22:07.647]  W-H-E-Y.com.
[00:22:11.031 --> 00:22:13.434]  You've heard infidel body armor ads for years.
[00:22:13.814 --> 00:22:17.398]  You've thought about investing in body armor, but just haven't found the time.
[00:22:17.999 --> 00:22:18.279]  Stop!
[00:22:19.150 --> 00:22:20.271]  Now is the time.
[00:22:20.651 --> 00:22:21.891]  You want the industry leader.
[00:22:22.191 --> 00:22:23.832]  You need a proven product.
[00:22:24.032 --> 00:22:26.193]  Go to InfidelBodyArmor.com.
[00:22:26.333 --> 00:22:29.735]  Products made in the USA designed to protect Americans.
[00:22:30.035 --> 00:22:32.876]  We make armor easy to understand and easy to purchase.
[00:22:33.096 --> 00:22:34.817]  InfidelBodyArmor.com.
[00:22:35.117 --> 00:22:37.178]  Get yours before time runs out.
[00:22:40.273 --> 00:22:49.617]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:49.717 --> 00:22:54.038]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:54.138 --> 00:23:00.941]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:23:01.141 --> 00:23:02.862]  Buy now at DefenderShield.com.
[00:23:03.002 --> 00:23:05.222]  For 10% off, use promo code GCN.
[00:23:05.403 --> 00:23:08.924]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:23:09.935 --> 00:23:14.899]  Do you have relatives and friends that are convinced there's no need ever to prepare for any kind of emergency?
[00:23:15.139 --> 00:23:17.621]  Are these also folks you buy Christmas presents for?
[00:23:18.101 --> 00:23:22.105]  At 30dayfoodsupply.com, we can solve both of these problems at the same time.
[00:23:22.425 --> 00:23:27.529]  Go to 30dayfoodsupply.com or call 541-229-0010.
[00:23:27.829 --> 00:23:29.851]  We can ship your Christmas presents directly to them.
[00:23:30.131 --> 00:23:38.958]  Choose from our original $99 30-day food supply, our long-term storage vegan burger mixes, and other oatmeal, soups, porridges, beans, and granolas for everyday use.
[00:23:39.358 --> 00:23:42.360]  All products are non-GMO, MSG-free, and vegetarian.
[00:23:42.420 --> 00:23:44.001]  Most are gluten, soy, and nut-free.
[00:23:44.281 --> 00:23:47.443]  Call 541-229-0010 today.
