[00:00:12.174 --> 00:00:13.055]  We're live.
[00:05:02.869 --> 00:05:04.672]  I'm your host, Alex Jones.
[00:05:05.233 --> 00:05:08.478]  Get ready, because we're taking the fight to the next level.
[00:05:10.302 --> 00:05:12.304]  Joe Biggs here with Infowars.com.
[00:05:12.384 --> 00:05:20.671]  Headline news quietly confirmed Dr. Drew Pinsky's program will end next month, though he will remain a contributor for CNN Worldwide.
[00:05:20.851 --> 00:05:26.876]  Back on August 18th, Dr. Drew dropped a bombshell that he was gravely concerned about Hillary's health.
[00:05:27.116 --> 00:05:30.679]  The famous TV doctor was actually asked to be on KABC's
[00:05:31.119 --> 00:05:31.759]  And now, New York Post.
[00:05:31.779 --> 00:05:32.959]  Headline news drops, Dr. Drew.
[00:05:32.979 --> 00:05:39.661]  Now here at Infowars.com, we've gone into great detail talking about the many issues surrounding this presidential candidate's health.
[00:05:39.761 --> 00:05:42.022]  Why is it bad for Dr. Drew to be concerned about that?
[00:06:00.606 --> 00:06:01.406]  But guess what happened?
[00:06:01.446 --> 00:06:03.867]  His concerns have gotten his show dropped.
[00:06:03.967 --> 00:06:04.727]  Question Hillary?
[00:06:05.007 --> 00:06:06.688]  Die or lose your job.
[00:06:06.808 --> 00:06:09.609]  You can find more reports like this at InfoWars.com.
[00:06:10.049 --> 00:06:19.132]  If you can't see the irony in having a gun ban enforced by men with guns, well then you fail to understand why the Second Amendment was written in the first place.
[00:06:19.152 --> 00:06:21.993]  Throughout history, only slaves are disarmed.
[00:06:22.133 --> 00:06:25.894]  A well-regulated militia being necessary to the security of a free state.
[00:06:26.014 --> 00:06:27.135]  The right of the people.
[00:06:27.215 --> 00:06:28.355]  The right of the people.
[00:06:28.415 --> 00:06:29.335]  The right of the people.
[00:06:29.415 --> 00:06:31.856]  To keep and bear arms shall not be infringed.
[00:06:31.896 --> 00:06:40.799]  For all of you actors out there who go to your red carpet events surrounded by full battle rattle SWAT teams while you accept your awards for your latest violent movie.
[00:06:41.139 --> 00:06:50.022]  For all you politicians who spend your nine to five days scheming up ways to take away my second amendment rights, meanwhile you have first responders on site there to protect you
[00:06:50.382 --> 00:06:50.982]  I say this.
[00:06:51.322 --> 00:06:52.423]  Come and take it.
[00:06:52.603 --> 00:06:55.044]  I have a strict gun control policy.
[00:06:55.564 --> 00:06:58.165]  If there's a gun around, I want to control it.
[00:06:58.805 --> 00:06:59.485]  Clint Eastwood.
[00:06:59.705 --> 00:07:00.246]  Go ahead.
[00:07:01.266 --> 00:07:02.206]  Make my day.
[00:07:02.346 --> 00:07:07.728]  Dads demand guns because it's me that's got to get up and go check out that noise at 2am.
[00:07:07.948 --> 00:07:08.809]  Infowars.com
[00:07:10.123 --> 00:07:19.151]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:07:19.231 --> 00:07:27.458]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:27.618 --> 00:07:32.322]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:32.522 --> 00:07:36.165]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:07:37.386 --> 00:07:38.166]  We're good to go.
[00:08:01.360 --> 00:08:07.483]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:07.623 --> 00:08:09.324]  Available at Infowarslife.com.
[00:08:09.424 --> 00:08:10.765]  We've got it.
[00:08:10.825 --> 00:08:17.628]  This transmission is coming to you.
[00:08:17.688 --> 00:08:19.789]  Waging war on corruption.
[00:08:22.090 --> 00:08:27.733]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:08:32.719 --> 00:08:41.124]  I've studied history and any historian will tell you it's worth their salt that those that don't know history are doomed to repeat it.
[00:08:43.325 --> 00:08:57.312]  There's another historical maxim from Lord Acton that power tends to corrupt and absolute power corrupts absolutely.
[00:08:58.633 --> 00:09:02.015]  The quote is normally cut down to power corrupts.
[00:09:04.455 --> 00:09:07.478]  And the power structure is betting that you don't know history.
[00:09:08.719 --> 00:09:24.831]  The power structure of the Anglo-American technocratic global combine, as they describe themselves, that's their term for themselves, are establishing an authoritarian, autocratic, centralized world government.
[00:09:26.036 --> 00:09:42.226]  And for over 130 years, major banking associations, in their own corporate monthly letters, there's been books written on this, talked about taking over education in the West, and dumbing people down, and reversing the 400 year old, at that time, renaissance.
[00:09:42.286 --> 00:09:43.326]  Now 500 plus.
[00:09:44.707 --> 00:09:48.669]  And they've done a pretty darn good job, on average.
[00:09:48.710 --> 00:09:52.552]  The problem is intellectual true understanding, true liberty.
[00:09:53.641 --> 00:09:56.503]  is like fire in the description of Thomas Jefferson.
[00:09:57.263 --> 00:10:16.656]  And so, unless you extinguish it all, tyrannical, autocratic, plutocratic wastes that centralized status create are like giant tinderboxes for liberty to consume.
[00:10:19.960 --> 00:10:39.474]  And that's why tyrants are trying to dumb down the human spirit, domesticate us, break up our families, kill the human life force, because to tyrants, to psychopaths, to control freaks, good, strong, vibrant, awake, electrified humans are absolutely, totally horrifying.
[00:10:41.615 --> 00:10:47.899]  Globalist, inner-bred, psychopathic families, even mainline psychiatrists will tell you, represent
[00:10:48.911 --> 00:10:51.553]  Genetic bloodlines of psychopathic behavior.
[00:10:51.913 --> 00:10:52.653]  And just look at history.
[00:10:54.034 --> 00:11:03.279]  But the Renaissance represents the end of that system, and we're still in the Renaissance today, and I believe are about to enter the golden age of the Renaissance.
[00:11:03.639 --> 00:11:04.320]  Now, continuing.
[00:11:07.041 --> 00:11:08.122]  Mainstream media
[00:11:10.131 --> 00:11:30.391]  Particularly mainstream news, depending on the university study or the Associated Press study just from this year, there's four or five studies that are scientific, that I've looked at the research papers on, how they conducted it, find that the general public trusts the media,
[00:11:33.174 --> 00:11:35.375]  Between a 6 and a 10 percent level.
[00:11:35.855 --> 00:11:37.736]  So, let's just give them 10 percent.
[00:11:38.276 --> 00:11:40.516]  10 percent of the public trust the media.
[00:11:40.877 --> 00:11:56.602]  And in scientific polls, that's what it's been borne out for about 20 years now, that 90 plus percent of Americans in the average poll believe that there were more than one shooter at JFK
[00:12:01.164 --> 00:12:02.985]  And believe the government's covering up what really happened.
[00:12:03.386 --> 00:12:15.654]  So you can have mainstream media set up there like parrots and repeat for decades that we're all kooks, we're all crazy, as on average, over 90%, it's around 92% in poll after poll, say there's a cover-up.
[00:12:16.354 --> 00:12:23.579]  And no matter how many books they put out, and no matter how many times they have Hollywood stars come out and tell us we're wrong, it doesn't work anymore.
[00:12:23.979 --> 00:12:25.620]  You people are discredited.
[00:12:27.202 --> 00:12:29.143]  And that's only one bellwether.
[00:12:32.426 --> 00:12:33.487]  Of what I'm talking about.
[00:12:35.668 --> 00:12:37.569]  Now, there is an area they're still winning.
[00:12:38.650 --> 00:12:43.553]  We are defeating the dinosaur Decepticon news media.
[00:12:44.714 --> 00:12:50.297]  CNN, MSNBC, The Compromise, and Overrun, and Taking Over Fox, and other platforms.
[00:12:51.158 --> 00:12:56.341]  This broadcast has quote radicalized, in Hillary's own statements, talk radio.
[00:12:56.841 --> 00:12:58.642]  No, we've just helped them take the blinders off.
[00:12:59.503 --> 00:13:00.783]  Our listeners have educated them.
[00:13:00.803 --> 00:13:01.504]  That's really what's happened.
[00:13:03.854 --> 00:13:05.175]  And so they're in panic mode.
[00:13:05.255 --> 00:13:11.537]  Now, in the last six, seven years, they've shifted most of their propaganda focus into entertainment.
[00:13:13.518 --> 00:13:14.398]  The late shows.
[00:13:16.359 --> 00:13:17.740]  The Jimmy Kimmel Lives.
[00:13:20.779 --> 00:13:48.895]  The propaganda placement that is put into TV shows and movies and fiction, they admit this is going on when they have Obama on Jimmy Fallon pushing the Trans-Pacific Partnership, a secretive world government combine that even the left says is completely authoritarian and a nightmare, legalizing slavery, slave labor, restricting free speech, destroying sovereignty.
[00:13:50.026 --> 00:13:54.908]  But then Obama goes on and makes it part of a cute song and saying, yeah, you know me, I'm down with TPP.
[00:13:56.108 --> 00:14:05.451]  But no amount of fancy suits and perfect lighting and beautiful music can spice up the rotten dead possum you're trying to serve.
[00:14:05.772 --> 00:14:07.352]  You can put delicious gravy on it.
[00:14:07.632 --> 00:14:08.893]  You can put perfume in the air.
[00:14:09.093 --> 00:14:10.373]  You can light it perfectly.
[00:14:10.693 --> 00:14:13.754]  It tastes like Bravo Sierra.
[00:14:14.475 --> 00:14:15.055]  Because it is.
[00:14:18.140 --> 00:14:38.569]  And that's why now, on a weekly basis, Stephen Colbert or Fallon or Kimmel or, you know, any of these people misrepresents what we say and what we do here on air in an attempt, as alchemists often do politically, to take something that's really dangerous to them and to turn it into a joke.
[00:14:39.109 --> 00:14:43.591]  And look, I don't think that people like Jimmy Kimmel are even bad people.
[00:14:44.770 --> 00:14:49.271]  In fact, I've had mutual friends that are friends with Kimmel decades ago and they say he's a great guy.
[00:14:49.611 --> 00:14:50.291]  I'm sure he is.
[00:14:50.431 --> 00:14:54.052]  People like Joe Rogan and others who's hosted shows with him.
[00:14:56.433 --> 00:15:05.055]  But the writers at those networks that are putting together the propaganda that they then stand up there and read off a teleprompter and look smart, and they are smart,
[00:15:06.391 --> 00:15:08.433]  But the point is, they're reading what was written for them.
[00:15:08.473 --> 00:15:09.214]  Sometimes they write it.
[00:15:10.054 --> 00:15:20.344]  To make me look stupid, you have to understand that I saw a few days ago a Mark Dice video on Picklegate, which he started, on Infowars.com.
[00:15:20.584 --> 00:15:24.208]  He's a correspondent for us, from MarkDice.com.
[00:15:24.428 --> 00:15:29.273]  And I thought, yeah, the pickle top doesn't pop of the pickle jar.
[00:15:31.249 --> 00:15:35.370]  And so I'm going to go and illustrate how she's even lying about this.
[00:15:35.691 --> 00:15:36.911]  He doesn't really take her pulse.
[00:15:37.251 --> 00:15:38.692]  She doesn't really open that pickle jar.
[00:15:39.032 --> 00:15:41.092]  I opened four jars and got a tight one.
[00:15:41.112 --> 00:15:42.133]  It was kind of tough for me.
[00:15:42.153 --> 00:15:44.514]  And I'll guarantee you, I'm a lot stronger than Hillary.
[00:15:44.834 --> 00:15:46.574]  I'm not bragging, but I'm a lot stronger than her.
[00:15:52.557 --> 00:15:53.398]  We're being lied to.
[00:15:53.478 --> 00:15:56.380]  And then he's, and Kimmel comes out, and this is about Kimmel talking about me.
[00:15:56.541 --> 00:15:57.281]  That's not our top story.
[00:15:57.702 --> 00:16:06.890]  It's about how this is a illustration or an exhibit to show us how this system is operating that he says, okay, big deal if we did stage it.
[00:16:08.393 --> 00:16:17.280]  And basically admits they did, because then they make a joke where they show the security guard behind the scenes opening it to eat one of the pickles, so that's why it was actually open when Hillary opens it.
[00:16:17.921 --> 00:16:20.763]  And when he opens it, it's a real video, it pops!
[00:16:21.624 --> 00:16:23.446]  It doesn't pop when Hillary opens it!
[00:16:23.846 --> 00:16:25.327]  Everyone knows that.
[00:16:25.708 --> 00:16:28.810]  The point is that she's lying and staging something there.
[00:16:28.870 --> 00:16:35.576]  And by the way, almost everyone agrees with me on YouTube and even on leftist sites, because they go, of course they're not gonna
[00:16:35.876 --> 00:16:40.961]  Have her PR people, put her on national live television, and not be able to open something.
[00:16:42.762 --> 00:16:45.625]  One out of 30, 40 jars, nobody can open.
[00:16:46.506 --> 00:16:48.588]  You gotta beat the lid off, you know, with basically a...
[00:16:49.892 --> 00:16:51.012]  Back of a spoon or a knife.
[00:16:51.092 --> 00:16:51.753]  Everybody knows that.
[00:16:52.193 --> 00:16:53.093]  Slam it down on the table.
[00:16:54.113 --> 00:16:55.374]  Of course they scripted it.
[00:16:55.454 --> 00:16:56.934]  Of course he didn't really take her pulse.
[00:16:57.314 --> 00:16:57.694]  Of course.
[00:16:58.174 --> 00:16:58.875]  But it gets worse.
[00:16:59.375 --> 00:17:00.475]  You guys don't even understand.
[00:17:00.495 --> 00:17:01.495]  I'm going to explain this to you.
[00:17:02.036 --> 00:17:03.796]  Just because I always like to show people the hat trick.
[00:17:04.316 --> 00:17:07.637]  I told Pat Riley, when I got into work, I said, go get pickle jars.
[00:17:07.777 --> 00:17:08.918]  I'm going to troll Kimmel.
[00:17:09.018 --> 00:17:09.278]  Watch.
[00:17:09.598 --> 00:17:10.858]  It'll be on in the next few days.
[00:17:11.258 --> 00:17:16.780]  And I went on air and played caddy shack clips and said I was joking and said I was having fun.
[00:17:17.620 --> 00:17:21.182]  And that this wasn't really that serious and I just wanted to be light-hearted.
[00:17:21.202 --> 00:17:23.823]  He goes, this guy is crazy.
[00:17:23.863 --> 00:17:26.924]  Look at a grown man spending seven minutes on a pickle jar.
[00:17:27.325 --> 00:17:28.265]  This guy's crazy.
[00:17:29.866 --> 00:17:31.387]  Then he cuts to a gun.
[00:17:31.407 --> 00:17:32.927]  A BB gun.
[00:17:34.008 --> 00:17:36.969]  In fact, I went and dug one out of my safe this morning.
[00:17:37.249 --> 00:17:40.391]  I even locked those up in the gun safe and I forgot to bring it to work.
[00:17:40.451 --> 00:17:41.611]  Or maybe Pat Riley did.
[00:17:42.212 --> 00:17:46.674]  But the point is that he then shoots the pickle jar to get rid of the evidence.
[00:17:48.302 --> 00:17:49.783]  With his pellet gun or his BB gun.
[00:17:51.523 --> 00:17:53.864]  That looks like a Glock handgun.
[00:17:56.505 --> 00:17:58.286]  And says, Alex, you better watch it.
[00:17:58.306 --> 00:18:00.047]  You know, the New World Order is basically coming after you.
[00:18:00.547 --> 00:18:06.389]  Now, Kimmel, I don't think you want to hurt anybody, but do you understand Hillary brags about being in combat she wasn't in?
[00:18:06.689 --> 00:18:09.671]  She talks about, I came, I saw, Qaddafi died.
[00:18:09.731 --> 00:18:10.591]  It's a failed state.
[00:18:10.671 --> 00:18:12.212]  Hundreds of thousands died.
[00:18:13.300 --> 00:18:15.761]  It's admitted this woman has a death trail.
[00:18:16.201 --> 00:18:26.424]  CNN, Fox News, last night had stories about the four dead staffers and the guy shot four times in the back that WikiLeaks basically says is their source of the DNC emails.
[00:18:27.244 --> 00:18:35.666]  Where Hillary sending her people dressed like Bernie Sanders supporters to attack Trump supporters so that both Trump and the Sanders people, her enemies, look bad.
[00:18:36.026 --> 00:18:37.447]  She's a bad lady, bro.
[00:18:39.096 --> 00:18:43.595]  And I understand you wouldn't have your job if you didn't have people like her on.
[00:18:47.571 --> 00:18:51.673]  The misrepresentation that that was all serious is a joke.
[00:18:51.733 --> 00:18:58.957]  I mean, they show clips all the time when we bought the creature Zorg or whatever that Captain Kirk fights back in the 60s.
[00:18:59.037 --> 00:19:01.899]  I mean, the greatest comedy ever.
[00:19:02.459 --> 00:19:05.020]  We were going to reenact that, never did, so I wore the lizard head.
[00:19:05.781 --> 00:19:09.002]  And then they say, oh, Alex Jones really thinks lizard people are real.
[00:19:09.142 --> 00:19:10.203]  No, that's David Icke, not me.
[00:19:12.520 --> 00:19:14.701]  But I think psychopaths basically operate like a lizard.
[00:19:14.741 --> 00:19:19.163]  I mean, they have absolutely no gumption about, you know, treating fellow humans like animals.
[00:19:19.883 --> 00:19:21.524]  Whether it's Mao Zedong or Adolf Hitler.
[00:19:22.104 --> 00:19:24.865]  So, you guys need to learn what satire is.
[00:19:24.885 --> 00:19:28.086]  90% of that was satire.
[00:19:28.106 --> 00:19:31.147]  Like when I was playing Caddyshack clips of where he opens the Perrier, but it's already open.
[00:19:32.908 --> 00:19:38.850]  And it was to have some fun, because... Let me tell you, I... Some of my listeners... I'm gonna skip this network break, this is so important.
[00:19:39.651 --> 00:19:40.411]  Some of my listeners...
[00:19:42.574 --> 00:19:43.256]  Send me emails.
[00:19:43.296 --> 00:19:46.524]  I see the comments going, Alex, the world's in a very serious situation right now.
[00:19:47.065 --> 00:19:48.910]  You know, why are you criticizing her with a pickle jar?
[00:19:49.010 --> 00:19:50.834]  Sure, it's obviously fake, but there's bigger issues.
[00:19:51.733 --> 00:19:56.837]  I can't sit here four hours a day just talking about her emails, which everyone knows she lied about.
[00:19:57.277 --> 00:20:07.985]  I can't just sit here looking at images of dead kids that ISIS has cut their heads off and point out how the head of Defense Intelligence says Hillary and Obama ordered them to put ISIS in command.
[00:20:08.685 --> 00:20:09.286]  I've covered it.
[00:20:09.486 --> 00:20:10.147]  We broke it.
[00:20:10.427 --> 00:20:11.007]  We know it.
[00:20:11.748 --> 00:20:12.448]  We hammer it.
[00:20:12.708 --> 00:20:14.410]  But I've got to have some fun sometimes.
[00:20:14.910 --> 00:20:17.052]  And quite frankly, I never did any of this on purpose.
[00:20:17.532 --> 00:20:18.613]  I've been kind of a natural.
[00:20:20.359 --> 00:20:28.041]  In that, and I don't say that on a power trip, I mean, I'm a natural at having train wrecks, I'm a natural at stammering, but I'm real and people resonate with it.
[00:20:28.101 --> 00:20:36.504]  And sometimes, you know, when I get into this comedy mode, I just intentionally, like an idiot savant, start doing really goofy, funny stuff.
[00:20:36.544 --> 00:20:39.405]  Like I said, can of pickles 30 times.
[00:20:40.385 --> 00:20:53.818]  I didn't know, I just thought, just in a quick one second gestalt, I'm going to go on air, I'm going to do this, just as an example, and I'm going to take over Jimmy Kimmel, and they're going to respond, and they're going to attack me, and if I say pickle can a bunch, they're going to freak out on that.
[00:20:54.018 --> 00:20:56.460]  I kind of know how those writers operate.
[00:20:58.162 --> 00:21:04.748]  I kind of get that, you know, Woody Allen style, style, Monty Python humor.
[00:21:07.034 --> 00:21:08.214]  And so that's what happened.
[00:21:08.915 --> 00:21:09.655]  That's what goes on.
[00:21:10.515 --> 00:21:13.076]  And so, just think about that.
[00:21:13.156 --> 00:21:18.258]  Because, you know, I told more than two people in the office, I said, watch, I'm going to troll Jimmy Kimmel.
[00:21:19.699 --> 00:21:20.299]  And that's what we did.
[00:21:20.399 --> 00:21:22.399]  And it's not like I have something over you.
[00:21:22.960 --> 00:21:26.381]  It's that I never intentionally
[00:21:28.837 --> 00:21:30.658]  Tried to bait those guys in in the past.
[00:21:30.818 --> 00:21:32.718]  I noticed that when I had fun it would do it.
[00:21:33.038 --> 00:21:35.699]  So basically now I've just learned to customize it a little bit more.
[00:21:35.939 --> 00:21:42.302]  Where anytime I actually sit down and try I can have the mainstream media saying and doing whatever I want.
[00:21:43.322 --> 00:21:48.624]  Because you guys have been hired and trained and manipulated to be programmable.
[00:21:50.464 --> 00:21:54.866]  And so I can sit here and program you on air if I want to.
[00:21:55.346 --> 00:21:57.067]  But instead I just get up here
[00:21:58.126 --> 00:22:05.732]  And try to just be completely open with everybody as a fellow human and talk to you about the state of the world, the state of history, and what's happening on this planet.
[00:22:06.172 --> 00:22:14.338]  They've had national TV shows in the last 20 years many times make fun of me and go, he's the crazy person that thinks they're merging humans with animals.
[00:22:15.058 --> 00:22:17.960]  No, I read it in MIT Magazine and the BBC 20 years ago.
[00:22:20.552 --> 00:22:21.473]  I covered it on air.
[00:22:22.334 --> 00:22:36.788]  Research scientists sent me letters and papers about how they were creating dozens and dozens of different species of part human, part animal clones so they could grow human tissue inside those clones and not have rejection.
[00:22:38.114 --> 00:22:39.836]  Now that's science you're being given.
[00:22:40.016 --> 00:22:40.576]  That's a fact.
[00:22:40.897 --> 00:22:45.781]  Now it's AP, Reuters, hey it's great, we're going to be able to have organs now grown in cows.
[00:22:46.302 --> 00:22:52.187]  And the cow is part human so that it doesn't reject the humanoid that is grown inside of it.
[00:22:52.387 --> 00:22:58.733]  And the humanoid grows up larger, doesn't have rights, it's not an animal, and it's not a human, according to the government.
[00:22:59.393 --> 00:23:00.495]  They're talking about robot rights.
[00:23:00.575 --> 00:23:02.997]  How about chimera rights?
[00:23:06.738 --> 00:23:08.239]  These are the big issues, folks!
[00:23:08.279 --> 00:23:09.360]  These are the big ones!
[00:23:09.900 --> 00:23:21.287]  We are already in science fiction land, and you're making jokes, and lying to your viewers, because I said, this is a joke!
[00:23:21.868 --> 00:23:31.614]  I played Caddyshack Clips, and you know, and they say, look at this crazy guy, he's so serious about a thing of pickles, and I get you have license to make it funny.
[00:23:31.774 --> 00:23:32.334]  Okay, fine.
[00:23:33.955 --> 00:23:34.776]  But when you tell us
[00:23:35.768 --> 00:23:42.811]  That it's no big deal that you staged it.
[00:23:42.991 --> 00:23:44.471]  Okay, if we did stage it, what's the big deal?
[00:23:45.251 --> 00:23:49.233]  You're there implying she doesn't have health problems and saying we're conspiracy theorists.
[00:23:50.933 --> 00:24:03.338]  Dr. Drew, who'd been on CNN with some of the highest ratings on that channel, Headline News, for five years, was let go one week after
[00:24:05.216 --> 00:24:08.117]  He came out and said, look, I'm nonpartisan, she looks ill.
[00:24:09.617 --> 00:24:14.038]  I've got a stack of news today of more staffers and more dead around Hillary.
[00:24:14.478 --> 00:24:17.759]  And then WikiLeaks says we never give up our sources, but yes, he is a source.
[00:24:21.180 --> 00:24:26.081]  That's Julian Assange, who's never lied to anybody with these leaks, who's been proven to be impeccable.
[00:24:27.382 --> 00:24:29.542]  I said time would tell about him, you know, six, seven years ago.
[00:24:29.802 --> 00:24:31.243]  I'm here to tell you, impeccable!
[00:24:32.105 --> 00:24:33.386]  Goes after Bush for what's wrong.
[00:24:33.646 --> 00:24:34.907]  Goes after Clinton for what's wrong.
[00:24:35.267 --> 00:24:36.208]  How can you dispute that?
[00:24:36.408 --> 00:24:40.311]  And he says, well, we have a source in the DNC.
[00:24:40.711 --> 00:24:41.572]  He was probably the source.
[00:24:41.652 --> 00:24:43.873]  I can't tell you he's the source, but I'll say he's the alleged source.
[00:24:45.674 --> 00:24:49.757]  To get around their pledge of saying we'll never tell you if somebody's a source, they offered a $20,000 reward.
[00:24:49.957 --> 00:24:52.499]  The police have offered a $25,000 reward.
[00:24:52.519 --> 00:24:55.121]  He was shot four times in the back after being tortured.
[00:24:56.710 --> 00:24:58.112]  And made to get on his knees.
[00:24:58.693 --> 00:25:02.758]  And now Assange is back on Fox News, and they're like, why are you so obsessed with this guy?
[00:25:02.798 --> 00:25:03.298]  Here's the clip.
[00:25:03.879 --> 00:25:12.169]  WikiLeaks, in fact, offered $20,000 for information leading to the arrest of Seth Rich's killer.
[00:25:12.650 --> 00:25:15.133]  Why are you so interested in Seth Rich's killer?
[00:25:17.156 --> 00:25:22.580]  We're very interested in anything that might be a threat to alleged WikiLeaks sources.
[00:25:22.720 --> 00:25:25.662]  The police have offered $25,000.
[00:25:26.223 --> 00:25:28.124]  We have offered $20,000.
[00:25:28.985 --> 00:25:34.689]  We're not saying that Tetris debt necessarily is connected to our publications.
[00:25:35.029 --> 00:25:36.611]  That's something that has to be established.
[00:25:36.951 --> 00:25:42.335]  But if there's any question about a source of WikiLeaks being threatened,
