[00:00:14.232 --> 00:00:15.373]  You have the power.
[00:02:41.365 --> 00:02:51.934]  With the Brexit debacle landing in the laps of the self-serving, arrogant Bilderberg scum, a propulsion of liberty is accelerating, and the globalists know it.
[00:02:52.134 --> 00:02:54.736]  Brace yourself for planetary turbulence.
[00:02:54.997 --> 00:03:06.927]  The New World Order will either go quietly in the night, as they wisely should, or their maniacal desperation to rule the world will result in more false flags and order out of chaos.
[00:03:07.347 --> 00:03:12.208]  Ultimately winding its way down the path toward a very public downfall.
[00:03:12.388 --> 00:03:15.909]  People have been asking, how will the Brexit affect the United States?
[00:03:16.249 --> 00:03:17.829]  Will it impact the stock market?
[00:03:18.029 --> 00:03:19.910]  The Federal Reserve's interest rate?
[00:03:20.230 --> 00:03:22.130]  Global diplomatic relations?
[00:03:22.470 --> 00:03:29.112]  These questions are all based on a ruinous stagnant counterfeit system devouring the sovereignty of nations
[00:03:29.352 --> 00:03:32.557]  That must be finally recognized and dismantled.
[00:03:32.697 --> 00:03:44.575]  Presidential candidate Donald Trump congratulated the UK for voting to assert its independence from the EU and encouraged the American people in November to also assert their independence from the global elite.
[00:03:44.827 --> 00:03:53.074]  You know, I said this was going to happen, and I think that it's a great thing, and we will see, but I think it's going to be a great thing.
[00:03:53.374 --> 00:03:55.535]  Basically, they took back their country.
[00:03:55.555 --> 00:03:56.456]  That's a great thing.
[00:03:56.576 --> 00:04:03.662]  Following the British vote to exit the EU, Trump said the election results marked a shift toward more nationalistic tendencies.
[00:04:03.882 --> 00:04:06.504]  The Trump campaign said in a statement, Trump continued,
[00:04:29.384 --> 00:04:32.545]  It will soon be time to believe in America again.
[00:04:32.925 --> 00:04:44.109]  As InfoWars has reported countless times, the idea for the European Union globalist super state came directly out of discussions held at the secretive Bilderberg Group conference in 1955.
[00:04:45.729 --> 00:04:53.015]  At which European politicians consider the necessity to bring German people into a common European market as quickly as possible.
[00:04:53.235 --> 00:04:59.961]  The lunacy of the global elite can't survive once their dark secrets are completely exposed.
[00:05:00.261 --> 00:05:06.807]  Thomas Jefferson once said, nothing can stop the man with the right mental attitude from achieving his goals.
[00:05:07.047 --> 00:05:10.030]  And nothing on earth can help the man with the wrong.
[00:05:10.822 --> 00:05:12.183]  Clean, pure drinking water.
[00:05:12.463 --> 00:05:13.744]  You can't survive without it.
[00:05:13.964 --> 00:05:14.844]  But where do you get it?
[00:05:15.164 --> 00:05:20.908]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:05:21.148 --> 00:05:26.871]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:05:27.051 --> 00:05:43.935]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:05:44.315 --> 00:05:46.435]  Filter capacity up to 5,000 gallons.
[00:05:46.796 --> 00:05:47.996]  Stainless steel construction.
[00:05:48.276 --> 00:05:49.036]  Easy assembly.
[00:05:49.296 --> 00:05:49.916]  Low maintenance.
[00:05:50.216 --> 00:05:52.036]  Replacement filters are simple to install.
[00:05:52.317 --> 00:05:59.418]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:05:59.598 --> 00:06:04.599]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:06:04.779 --> 00:06:07.359]  Go to InfowarsStore.com or call 888-253-3139.
[00:06:19.218 --> 00:06:26.107]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:44.133 --> 00:06:47.974]  It is Sunday, the 26th day of June 2016.
[00:06:48.014 --> 00:06:50.494]  I'm your host Alex Jones.
[00:06:50.514 --> 00:06:53.655]  We'll be here live for the next two hours as we are every Sunday 4 to 6 p.m.
[00:06:53.695 --> 00:07:05.377]  Central Live and re-aired on fine AM and FM affiliates across the United States blasting out across the world via the somewhat still free World Wide Web, the Internet.
[00:07:07.617 --> 00:07:10.558]  My friends, obviously we have a full plate this evening.
[00:07:11.803 --> 00:07:14.305]  Don't forget, we have the weekday broadcast as well, 11 a.m.
[00:07:14.325 --> 00:07:14.905]  to 3 p.m.
[00:07:14.965 --> 00:07:18.908]  Central, and also re-aired on Fine Affiliates across the United States.
[00:07:18.928 --> 00:07:33.218]  You can always find the free audio and video feeds, the free iPhone, Android apps, and podcast links, and more at InfoWars.com forward slash show, because there's a war on for your mind.
[00:07:33.719 --> 00:07:36.181]  Those of you that are awake, those of you that know what's happening,
[00:07:36.801 --> 00:07:42.245]  You can see that the fight against globalism, the fight against world government, has now been drug out in the open.
[00:07:43.146 --> 00:07:53.894]  And the forces of human liberty and self-determination and sovereignty of the individual and the nation-state, of the man and the woman, are now becoming central.
[00:07:54.374 --> 00:08:01.300]  They've denied this globalist program was going on forever, because if you deny reality and people live in a fantasy land, well then you're never threatened as an elite.
[00:08:02.193 --> 00:08:11.387]  But we, in the liberty movement worldwide, the pro-human, pro-Renaissance, true liberal movement that Thomas Jefferson is the greatest example of.
[00:08:13.422 --> 00:08:15.923]  ...are beginning to win the info war on every front.
[00:08:16.663 --> 00:08:20.724]  The globalists still have the centralized control, but they've robbed it fraudulently.
[00:08:21.144 --> 00:08:24.245]  They have gotten into control by deceit, and it is illegitimate.
[00:08:24.625 --> 00:08:25.566]  It is fraud.
[00:08:25.706 --> 00:08:27.366]  It is no and void.
[00:08:27.666 --> 00:08:28.407]  We're on the march.
[00:08:28.827 --> 00:08:32.848]  The global technotronic technocracy is on the run.
[00:08:34.560 --> 00:08:55.687]  Obviously the Brexit took place Thursday and despite massive election fraud with people's votes being reversed and harassment and demonization campaigns, England voted to get out of the European Union because it maintained some of its sovereignty when it entered the UK.
[00:08:57.767 --> 00:09:02.229]  But now Scotland is threatening to try to block that vote along with Northern Ireland.
[00:09:04.019 --> 00:09:08.101]  Which shows why it's not good to ever waive your rights into a larger so-called union.
[00:09:09.361 --> 00:09:11.302]  But this is a devastating victory.
[00:09:11.402 --> 00:09:12.503]  The fight's not over.
[00:09:13.223 --> 00:09:29.750]  But once you admit there's a world government, once you admit the EU is a central hub of that, once the statements of the former head of the EU, Herman Van Rompuy and others about, we're establishing world government through the EU, merging with the American Union and the Asian Union, I mean, these are real video clips.
[00:09:30.626 --> 00:09:32.687]  That I have in my film, The Obama Deception.
[00:09:33.267 --> 00:09:35.028]  That I have in my film, Fall of the Republic.
[00:09:35.668 --> 00:09:47.633]  I mean, I have scores of these clips of British Prime Ministers and US Senators and German Chancellors saying, we're establishing a private global corporate government with world taxes through the EU.
[00:09:48.634 --> 00:09:49.534]  It is the model of it.
[00:09:50.035 --> 00:09:54.256]  We're going to get rid of our borders and we're going to merge with the Middle East and merge with Africa.
[00:09:54.316 --> 00:09:57.198]  That's what the EU is doing now, outside of law.
[00:09:58.220 --> 00:10:02.143]  Once that debate is forced out in the open, there's no reversing it.
[00:10:03.284 --> 00:10:05.465]  Oh, the Federal Reserve's not private, it's federal.
[00:10:05.785 --> 00:10:09.208]  Well, everybody now knows it really is private and it was a giant scam.
[00:10:09.688 --> 00:10:13.430]  In national polls, 95% in Gallup want it audited.
[00:10:14.351 --> 00:10:21.296]  We've gone from one person, 20 years ago in Congress, sponsoring the bill, to it passing the House and narrowly being blocked in the Senate.
[00:10:22.788 --> 00:10:25.129]  Oh, but they called us tinfoil hat people.
[00:10:25.289 --> 00:10:26.570]  Well, that gets a little old.
[00:10:27.150 --> 00:10:29.332]  Just like we told people 20 years ago.
[00:10:30.232 --> 00:10:38.157]  There was a plan to phase out the gas tax and give you a tax by the mile with a tracker box in your car.
[00:10:38.777 --> 00:10:42.379]  That's now being implemented in more than 16 states next year.
[00:10:44.122 --> 00:10:53.549]  Exactly as we said it would be, because we were reading the MIT reports, we were reading the big UN plans, we were reading the big consortium meeting documents on air.
[00:10:55.336 --> 00:10:58.878]  And now, on the West Coast, Oregon launching program to tax drivers by the mile.
[00:10:59.338 --> 00:11:00.819]  And I have the Washington Post here.
[00:11:00.959 --> 00:11:07.182]  East Coast states want to tax drivers travel, not their gas, and track everywhere you go and what you do.
[00:11:07.782 --> 00:11:09.483]  And of course, they've already done this in areas of Europe.
[00:11:09.603 --> 00:11:11.884]  On average, they double the cost of travel.
[00:11:12.324 --> 00:11:13.845]  Turning your car into a taxi.
[00:11:14.526 --> 00:11:16.046]  But, I digress.
[00:11:17.507 --> 00:11:21.769]  They want to keep us from ever having a debate about what's really going on.
[00:11:21.809 --> 00:11:22.710]  It's like the TPP.
[00:11:23.752 --> 00:11:27.755]  The Trans-Pacific Partnership's been negotiated for seven years in secret.
[00:11:28.736 --> 00:11:30.357]  Congress wasn't even allowed to read it.
[00:11:31.578 --> 00:11:36.822]  Infowars and Drudge and other Patriot sites like WorldNetDaily made a big deal about it the last few years.
[00:11:37.183 --> 00:11:44.368]  And so, in the last six months, Congress was allowed to go in and read one page at a time, but not tell anyone what was in it.
[00:11:45.109 --> 00:11:46.290]  How could Congress
[00:11:48.348 --> 00:11:54.274]  Even under pressure, be only allowed to look at it one page at a time, when it was over 12,000 pages long.
[00:11:57.337 --> 00:12:02.222]  Well, how does the EU appoint leaders in places like Greece and Italy?
[00:12:02.922 --> 00:12:04.163]  And now they want to do it in Spain.
[00:12:04.764 --> 00:12:09.368]  They want to do it... They appoint the leaders, and it's always a former head of Goldman Sachs!
[00:12:10.029 --> 00:12:10.610]  Isn't that funny?
[00:12:12.113 --> 00:12:15.256]  And Goldman Sachs is at the heart of funding a world government project.
[00:12:15.276 --> 00:12:17.217]  This is a Goldman Sachs-J.P.
[00:12:17.237 --> 00:12:18.659]  Morgan project more than anything else.
[00:12:19.379 --> 00:12:20.760]  It's planetary corporate rule.
[00:12:21.841 --> 00:12:32.711]  And they want to just keep us in the point of always debating with the New Yorker magazine and Raw Story and more than 50 other articles I saw in the last two days.
[00:12:32.751 --> 00:12:33.791]  Didn't even have time to read them all.
[00:12:33.992 --> 00:12:34.832]  Only read five or six.
[00:12:35.393 --> 00:12:36.574]  Attacking yours truly.
[00:12:38.177 --> 00:12:51.466]  Saying I'm insane and Donald Trump's insane when he says that the British exit vote is a blow to globalism, a blow to world government, a blow to unelected bureaucracy.
[00:12:51.886 --> 00:12:59.711]  And they quote us and make fun of it and then twist quotes in things I've said to make it look like I'm saying crazy things.
[00:13:03.012 --> 00:13:11.516]  But that doesn't work because even the Associated Press has the headline that the British exit empowers Trump as a sign of populism and a blow to global government.
[00:13:12.596 --> 00:13:14.497]  Even George Soros came out and said that.
[00:13:14.577 --> 00:13:15.197]  It's crazy!
[00:13:15.437 --> 00:13:22.460]  It's like if I say the sky is blue, play you video of it being blue, and they say, no, you're crazy, you're a conspiracy theorist.
[00:13:22.720 --> 00:13:31.264]  This is a so-called intellectual elite arrogantly running a giant gaslighting operation, that's a CIA psychology term, where
[00:13:33.456 --> 00:13:38.218]  The most famous example is a film, based on a play, where this guy beats the daylights out of his wife.
[00:13:38.938 --> 00:13:41.480]  Breaks her nose, knocks her, you know, cheekbones in.
[00:13:41.520 --> 00:13:45.121]  And when she's bleeding, he looks at her and says, you're insane, I didn't hit you.
[00:13:45.541 --> 00:13:52.965]  And even when she's got witnesses, he says he didn't do it, and acts super confident, and she's so overwhelmed, she thinks, okay, maybe she did it to herself.
[00:13:53.665 --> 00:13:56.706]  This is the highly suggestible, dumbed-down population.
[00:13:56.746 --> 00:14:02.789]  But even a dumbed-down, sleeping population, at a certain point, starts to wake up.
[00:14:04.206 --> 00:14:13.068]  So this is such an exciting time to be alive because mainstream media has a six percent trust rate now in Gallup polls and in AP polls.
[00:14:13.709 --> 00:14:14.829]  So what are they going to do?
[00:14:15.749 --> 00:14:26.152]  What are they going to do as they try to announce world government and global carbon taxes and taxing you by the mile and smart meters taxing you in your house and tracking everything you do and admitting they're doing it to you?
[00:14:26.212 --> 00:14:27.092]  And Zuckerberg!
[00:14:27.152 --> 00:14:27.713]  I forgot!
[00:14:28.833 --> 00:14:30.413]  Zuckerberg was in the New York Times.
[00:14:30.433 --> 00:14:31.094]  Guys, type it in.
[00:14:31.114 --> 00:14:32.234]  I meant to cover this Friday and didn't.
[00:14:33.323 --> 00:14:37.145]  Zuckerberg covers up his webcam camera and you should too.
[00:14:37.666 --> 00:14:44.970]  Oh my gosh, 21 years after I said cover up cameras that were starting to come in standard on some apples.
[00:14:47.071 --> 00:14:50.673]  I said it'll soon be ubiquitous and they're going to watch you with them and tax you with them.
[00:14:50.994 --> 00:14:54.596]  A few years after I warned of that because an NSA insider warned me and said they're already doing it.
[00:14:55.515 --> 00:15:07.721]  Google patented it and announced in 2003 that they were going to start watching and listening to you and sending it through third-party aggregators for corporate data mining.
[00:15:09.813 --> 00:15:12.396]  Oh, but do I get an award for telling you first?
[00:15:12.576 --> 00:15:13.096]  No, no, no.
[00:15:13.697 --> 00:15:24.047]  I'm the kook, but Zuckerberg covers his up and says you should too, and the FBI director came out two months ago and said you should cover up your webcam.
[00:15:24.067 --> 00:15:26.730]  Because it's not just corporations breaking in.
[00:15:29.162 --> 00:15:30.603]  But what about your smartphone?
[00:15:30.623 --> 00:15:34.226]  Can somebody bring me a, quote, smartphone, an Apple phone?
[00:15:34.247 --> 00:15:35.968]  Because I don't bring mine with me very often.
[00:15:36.388 --> 00:15:36.989]  I don't have mine.
[00:15:37.850 --> 00:15:41.933]  It's a limited weapons system I only use to upload videos as a shelf-based computer.
[00:15:42.133 --> 00:15:44.055]  But I know it's got globalist tech and tracking.
[00:15:45.796 --> 00:15:48.399]  No one's telling you, though, there's a built-in camera on this.
[00:15:48.919 --> 00:15:51.401]  And that by federal law, it's not allowed to be turned off.
[00:15:51.822 --> 00:15:55.445]  Even when your camera's off, even when your phone is physically turned off,
[00:15:56.818 --> 00:16:07.535]  Under the 1996 Telecommunications Act, all future computers and quote smartphones, they coined that term, have to be remotely accessed and appear like they're still off but still recording and tracking you.
[00:16:07.775 --> 00:16:08.256]  Federal law.
[00:16:09.861 --> 00:16:10.341]  Not a group.
[00:16:10.381 --> 00:16:11.783]  You developed Living Defense for us.
[00:16:11.803 --> 00:16:12.904]  It took you over a year to do it.
[00:16:13.164 --> 00:16:14.085]  Why is this so good?
[00:16:14.385 --> 00:16:19.609]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:16:19.709 --> 00:16:33.260]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:16:33.320 --> 00:16:34.702]  Right now with all the refugees,
[00:16:35.462 --> 00:16:37.063]  Uh, spreading disease around.
[00:16:37.124 --> 00:16:39.606]  We have biological warfare going on everywhere.
[00:16:39.706 --> 00:16:40.967]  These are all parasites.
[00:16:41.007 --> 00:16:42.088]  Tell us about all the stuff it says.
[00:16:42.108 --> 00:16:43.189]  There's so many things that are in it.
[00:16:43.469 --> 00:16:50.074]  You have the neem in there, you have the organic clove bud, the organic wormwood, you have enzyme blend in there.
[00:16:50.114 --> 00:16:55.319]  This is very important because a lot of these microorganisms, and even going up to tapeworms, pinworms,
[00:16:55.859 --> 00:16:58.040]  You have to disintegrate the lining.
[00:16:58.060 --> 00:17:03.062]  I mean, viruses protect themselves, and so do bacteria, protozoa, and mycoplasms.
[00:17:03.462 --> 00:17:07.684]  They have a protective shell that a lot of times the immune system can't even get into.
[00:17:07.884 --> 00:17:08.925]  Our own immune system.
[00:17:09.485 --> 00:17:12.186]  Especially since most people's immune system are weak anyway.
[00:17:12.346 --> 00:17:14.888]  People can avoid toxic air if they want.
[00:17:14.928 --> 00:17:16.570]  They can get an air purification system.
[00:17:16.590 --> 00:17:19.213]  They can avoid toxic water and drink clean water.
[00:17:19.633 --> 00:17:22.756]  But it's really hard to avoid parasites.
[00:17:23.236 --> 00:17:27.521]  It's hard to avoid attacking organisms and that's where I see this going.
[00:17:27.561 --> 00:17:29.563]  I mean, I think a lot of the information that we
[00:17:30.083 --> 00:17:30.443]  I think so.
[00:17:51.733 --> 00:17:53.354]  So the Living Defense is amazing.
[00:17:53.574 --> 00:17:55.854]  We've seen just tremendous reviews.
[00:17:56.515 --> 00:17:58.675]  How often should you take Living Defense?
[00:17:58.755 --> 00:18:00.076]  I mean, is it a regimen every day?
[00:18:00.116 --> 00:18:01.936]  That's what I was doing until we ran out.
[00:18:02.276 --> 00:18:03.997]  Or do you do it heavier for certain cleanses?
[00:18:04.017 --> 00:18:04.837]  What do you do, Dr. Group?
[00:18:05.537 --> 00:18:17.081]  Well, I do usually six weeks at a time because if you look at the life cycle of most parasites, it's six weeks from the time... So you've got to kill the ones that are in there and then kill their babies when the eggs hatch up.
[00:18:17.401 --> 00:18:31.995]  If you're suffering from abdominal pain, allergies, even like headaches, anemia, weakened immune system, gut problems, depression, hair loss, excess gas, muscle pain, nervousness, I mean all these things.
[00:18:32.055 --> 00:18:39.142]  If you look at some of these conditions and then us opening up our borders and all the other countries opening up their borders.
[00:18:39.682 --> 00:18:50.137]  You're just dealing with a mass amount of parasites or harmful organisms or biological weapons that are spreading and mutating all across the world.
[00:18:50.157 --> 00:18:54.303]  And I think that's one of the reasons why, I mean, all you have to do is look at the news these days.
[00:18:54.864 --> 00:18:57.285]  You can type in refugees spreading disease.
[00:18:57.345 --> 00:18:59.646]  I mean the CDC is going crazy right now.
[00:19:00.246 --> 00:19:04.668]  There's a new antibiotic resistant E. coli that they just identified.
[00:19:04.788 --> 00:19:05.869]  Doctors don't know.
[00:19:05.969 --> 00:19:09.610]  They don't teach doctors in medical school about parasites and harmful organisms.
[00:19:09.630 --> 00:19:11.751]  There's a reason why they don't teach them about that.
[00:19:11.851 --> 00:19:16.513]  Just like they don't teach doctors about the root cause of disease and how to eliminate it.
[00:19:16.793 --> 00:19:17.814]  All disease out there.
[00:19:17.874 --> 00:19:19.255]  They don't want you to know about it.
[00:19:19.515 --> 00:19:22.218]  You don't want your own immune system being attacked.
[00:19:22.498 --> 00:19:25.880]  Again, you know, you have animals, especially your cats, dogs.
[00:19:25.921 --> 00:19:27.762]  So many people have pets these days.
[00:19:28.242 --> 00:19:29.664]  People eat raw sushi.
[00:19:30.064 --> 00:19:31.685]  People eat more raw food.
[00:19:31.725 --> 00:19:35.949]  You have all these different organisms showing up in the water supplies now.
[00:19:36.449 --> 00:19:39.772]  You even have it in the air supplies, these tiny microorganisms.
[00:19:39.812 --> 00:19:42.614]  So it's not like we can get away from them.
[00:19:42.694 --> 00:19:44.175]  We just have to do everything.
[00:19:44.255 --> 00:19:45.736]  I recommend doing a parasite
[00:19:46.637 --> 00:19:51.103]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:19:51.143 --> 00:19:52.144]  It just came back in yesterday.
[00:19:52.204 --> 00:19:52.725]  Living Defense.
[00:19:53.025 --> 00:19:54.086]  Infowarslife.com.
[00:19:54.146 --> 00:19:55.168]  And folks, you can't lose.
[00:19:55.188 --> 00:19:57.250]  It's full of stuff that's great for your body, period.
[00:19:57.891 --> 00:19:59.753]  And you support the broadcast.
[00:19:59.813 --> 00:20:00.894]  Infowarslife.com.
[00:20:01.175 --> 00:20:03.057]  Thank you, Dr. Group from the Global Healing Center.
[00:20:03.437 --> 00:20:05.400]  Thank you so much for all your work, sir, on this great product.
[00:20:13.402 --> 00:20:19.585]  You're listening to The Alex Jones Show.
[00:20:32.131 --> 00:20:38.394]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:41.189 --> 00:20:43.033]  Monday through Friday from 11 a.m.
[00:20:43.253 --> 00:20:43.674]  to 3 p.m.
[00:20:43.694 --> 00:20:43.975]  Central.
[00:20:43.995 --> 00:20:44.696]  We're here weekdays.
[00:20:44.777 --> 00:20:47.502]  I return live Sundays 4 to 6 p.m.
[00:20:47.563 --> 00:20:47.883]  Central.
[00:20:47.923 --> 00:20:48.845]  Thank you so much for joining us.
[00:20:49.935 --> 00:20:57.337]  Coming up in the next segment, I'm going to get back into the British exit, this death blow to the EU, which is a key world government project.
[00:20:57.377 --> 00:20:58.898]  This is such a huge victory.
[00:20:59.398 --> 00:21:02.419]  But I also want to break down how the globalists are going to strike back.
[00:21:02.819 --> 00:21:04.739]  I predicted this on Thursday and Friday.
[00:21:04.799 --> 00:21:07.400]  They are now doing exactly as I predicted.
[00:21:07.460 --> 00:21:09.241]  It's not hard to understand them, though.
[00:21:09.621 --> 00:21:11.901]  They've done this to countless other nations and regions.
[00:21:12.221 --> 00:21:13.782]  It's very, very formulaic.
[00:21:14.482 --> 00:21:17.143]  But speaking of that, the UN
[00:21:19.653 --> 00:21:34.358]  The program that we see taking place in Europe and the United States is funded and pushed by the big central banks that want to have cheap labor and want to basically play different nation states and populations off against each other.
[00:21:34.398 --> 00:21:35.559]  It's classic divide and conquer.
[00:21:35.739 --> 00:21:36.439]  That's no secret.
[00:21:38.840 --> 00:21:44.142]  But if you look at the UN Migrant Borders Council,
[00:21:45.416 --> 00:22:11.887]  And the holiday they've created, World Refugee Day, that they just celebrated last week, this is where the globalists weaponize third world populations from the Middle East and bring them into Europe, from Latin America and Asia, and bring them into the United States, and then organize them into internal political groups, which are then given welfare at levels even higher than U.S.
[00:22:12.027 --> 00:22:13.928]  Social Security recipients.
[00:22:15.494 --> 00:22:21.517]  17,000 plus dollars a year in basic benefits to leverage out the domestic population.
[00:22:22.317 --> 00:22:29.581]  This is classical tyranny, classical subterfuge, over-the-top treason.
[00:22:31.201 --> 00:22:34.343]  Now we've been pointing out that the last three years
[00:22:35.569 --> 00:22:52.562]  Obama went from very lax enforcement of illegals, including illegals that have felony backgrounds and convictions, aggravated felons, rapists, arsonists, bank robbers, you name it, and went to total catch and release about four years ago, and he didn't get in trouble for that.
[00:22:53.042 --> 00:22:56.044]  So then Obama went to the mother of all tyrannies.
[00:22:57.325 --> 00:23:00.348]  The illegals get into the US on trains and on buses.
[00:23:01.434 --> 00:23:07.039]  Mexico lets them in from South America and Central America, but doesn't let them stay there.
[00:23:08.060 --> 00:23:14.865]  And once they get into the country, buses are waiting at every major town and city, from California to Texas.
[00:23:15.626 --> 00:23:18.809]  And all in between, Arizona, New Mexico, Nevada, you name it.
[00:23:19.149 --> 00:23:28.096]  And they bus them to Democratic Party facilities, to public schools, to Catholic churches, where they are then put on welfare.
[00:23:29.051 --> 00:23:33.535]  And given stipends, and then part of that money is donated back to the Democrats.
[00:23:34.055 --> 00:23:35.236]  You cannot make this up.
[00:23:35.296 --> 00:23:38.099]  Now, we broke this two years ago.
[00:23:38.439 --> 00:23:39.540]  The Border Patrol called us.
[00:23:40.000 --> 00:23:40.661]  ICE called us.
[00:23:41.121 --> 00:23:44.024]  We said, wow, thank you for giving this inside info.
[00:23:44.044 --> 00:23:47.126]  And they said, listen, Mr. Jones, we gave this to Fox News.
[00:23:47.487 --> 00:23:49.228]  We gave this to the New York Times before you.
[00:23:49.688 --> 00:23:50.669]  None of them will report.
[00:23:51.150 --> 00:23:55.874]  We drove down, Adon Salazar, Jacari Jackson, Kit Daniels, Joe Biggs, and met.
[00:23:56.914 --> 00:24:02.356]  And did the interviews, with the Border Patrol agents' faces blurred out and their voices scrambled.
[00:24:03.057 --> 00:24:11.941]  And then we went to where they said go, and there were dozens of buses, four times a day, pulling up in McAllen, Texas.
[00:24:11.981 --> 00:24:12.741]  It's a small town.
[00:24:14.522 --> 00:24:25.727]  And the emergency manager told us, yo, yo, we bring them in, the Border Patrol gives them vouchers of money, we put them on Greyhound buses and send them to wherever they want to go.
[00:24:27.788 --> 00:24:34.931]  No one covered this, but Fox a little bit, because the Border Patrol union head was on and said, we complete the smuggling process.
[00:24:35.291 --> 00:24:37.232]  We've warned people, no one will tell the public.
[00:24:37.492 --> 00:24:39.292]  We get threatened with our jobs if we tell you.
[00:24:41.213 --> 00:24:43.214]  So Jakari Jackson went down and got the report.
[00:24:43.994 --> 00:24:49.896]  Now, all these years later, two years later, this was two Junes ago, here is KRGV.
[00:24:49.956 --> 00:24:51.097]  This is so amazing.
[00:24:51.617 --> 00:24:56.779]  I'm not going to play the whole report here, you can see it at InfoWars.com, but they report on it like it's no big deal.
[00:24:58.069 --> 00:24:59.410]  They're, oh, the U.N.
[00:24:59.550 --> 00:25:01.552]  More Central Americans headed to the U.S.
[00:25:02.352 --> 00:25:03.913]  That's what Obama admitted last week.
[00:25:04.314 --> 00:25:10.078]  The State Department has videos that we played here admitting that they get their orders from the U.N.
[00:25:10.098 --> 00:25:14.481]  Remember when Obama said, I'm allowed to go into Syria, I'm allowed to go into Libya because I have U.N.
[00:25:14.541 --> 00:25:17.003]  authorization and I have NATO authorization?
[00:25:17.324 --> 00:25:23.268]  And generals and others went before Congress and Congress senators said, you get your authority from Congress, from us.
[00:25:23.288 --> 00:25:25.590]  They go, no, we get it from NATO and the U.N.
[00:25:27.742 --> 00:25:29.944]  Just like Merkel says she gets it from the UN.
[00:25:29.964 --> 00:25:32.526]  They're like, it's illegal for you to bring these people in here unvetted.
