[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[00:08:40.988 --> 00:08:49.576]  Well a Pew Research report shows that 1 in 8 voter registrations are quote, significantly inaccurate or no longer valid.
[00:08:50.037 --> 00:08:55.442]  The corporate media in our country is no longer involved in journalism.
[00:08:56.122 --> 00:09:01.287]  And their agenda is to elect crooked Hillary Clinton.
[00:09:02.367 --> 00:09:08.470]  At any cost, at any price, no matter how many lives they destroy.
[00:09:09.571 --> 00:09:13.913]  I have presented the evidence to my viewers and my viewers trust me to tell them the truth.
[00:09:14.013 --> 00:09:16.554]  We try to fact check the candidates, people don't believe us.
[00:09:16.815 --> 00:09:21.577]  When we try to report on the candidates, people think they are not getting the straight scoop from us.
[00:09:21.777 --> 00:09:23.718]  We run elections and we run them well here.
[00:09:24.258 --> 00:09:28.260]  In 22 primaries, the votes have shifted in 20 of them.
[00:09:29.421 --> 00:09:32.062]  The exit polling data in New York State shifted 12%.
[00:09:32.162 --> 00:09:34.002]  A shift of 2% is fraud!
[00:09:48.565 --> 00:09:57.887]  Live from the InfoWars.com studios... There is no serious person out there who would suggest somehow that
[00:09:59.255 --> 00:10:03.019]  You could even, you could even rig America's elections.
[00:10:03.299 --> 00:10:12.248]  Indiana State Police raided the group, the Indiana Voter Registration Project, in an investigation of alleged voter registration fraud that has grown to 56 counties.
[00:10:12.608 --> 00:10:15.611]  Crashing through the lies and disinformation.
[00:10:16.191 --> 00:10:17.513]  It's Alex Jones.
[00:10:17.853 --> 00:10:37.061]  After the release of the latest Project Veritas videos, in particular, I want to draw your attention to Robert Kramer, a convicted felon who visited the White House, according to reports, 342 times, also met personally with the President, some 47 times, the most recent occasion being in June of this year.
[00:10:44.352 --> 00:10:45.153]  Five days.
[00:10:45.934 --> 00:10:47.675]  Five days out, ladies and gentlemen.
[00:10:48.897 --> 00:10:49.918]  Thank you so much for joining.
[00:10:49.998 --> 00:10:54.302]  It's hard to believe, ladies and gentlemen, that we are only five days out.
[00:10:55.143 --> 00:10:56.465]  It is simply incredible.
[00:10:56.785 --> 00:10:57.886]  Wednesday, November 2nd, 2016.
[00:10:57.926 --> 00:11:00.609]  I'm your host, Alex Jones.
[00:11:00.629 --> 00:11:02.371]  We're going to be here for the next four hours.
[00:11:04.602 --> 00:11:11.610]  We are going to break and document and confirm the most important news in modern history in the United States.
[00:11:12.131 --> 00:11:22.943]  Historical actions have already taken place and more are about to take place of the highest import, of the highest importance.
[00:11:25.640 --> 00:11:27.861]  Obviously we have a new Project Veritas video.
[00:11:27.921 --> 00:11:29.362]  It's up on Infowars.com.
[00:11:29.802 --> 00:11:32.384]  It got so much traffic it crashed their website.
[00:11:33.124 --> 00:11:37.246]  And it's a top Democrat saying that black people have something wrong with them and are stupid.
[00:11:38.887 --> 00:11:40.128]  If they're supporting Trump.
[00:11:40.188 --> 00:11:42.549]  And then he uses the most perfect analogy.
[00:11:43.729 --> 00:11:47.592]  Using the German name for Jews that helped round up other Jews and kill them.
[00:11:48.052 --> 00:11:50.693]  And says that black people that support Trump are like that.
[00:11:51.153 --> 00:11:53.595]  And it's just funny because this guy's Jewish saying this.
[00:11:54.537 --> 00:12:06.807]  And the liberals in this country follow one of the top Nazi collaborators of World War II, incredibly prolific helping sniff out and round up Jews, George Soros.
[00:12:07.988 --> 00:12:16.975]  And then Madeleine Albright, her dad, probably rivaled the exploits of the young George Soros.
[00:12:17.035 --> 00:12:20.538]  It's just, when you know history, it's so rich.
[00:12:23.020 --> 00:12:23.901]  Like when Hillary
[00:12:25.396 --> 00:12:30.659]  Accuses Trump of Russian ties with no evidence, but they've opened up FBI investigations now.
[00:12:33.740 --> 00:12:35.741]  Closed one on Trump, opened one on Manafort.
[00:12:37.282 --> 00:12:37.982]  Zero evidence.
[00:12:38.402 --> 00:12:39.263]  Former campaign head.
[00:12:39.903 --> 00:12:41.524]  And it's exactly what Hillary's up to.
[00:12:41.544 --> 00:12:54.410]  And those emails have now come out with Podesta hiding the money he was getting from Russia and Hillary getting huge amounts of money in her foundation for uranium and cobalt.
[00:12:56.766 --> 00:13:05.996]  So you can build dirty bombs, not just hydrogen bombs, but jacket them with cobalt so that the half-life is basically forever.
[00:13:07.657 --> 00:13:09.219]  And it's extremely radioactive.
[00:13:09.920 --> 00:13:12.422]  So a radiation bomb is what they are.
[00:13:12.442 --> 00:13:18.449]  A 40 megaton warhead jacketed in cobalt properly.
[00:13:19.875 --> 00:13:22.496]  Creates millions of times the radiation.
[00:13:22.536 --> 00:13:22.956]  Look it up.
[00:13:23.196 --> 00:13:25.257]  Millions, millions of times.
[00:13:25.797 --> 00:13:29.158]  And that's what our loving government and the Russians have been developing for 40 years.
[00:13:29.818 --> 00:13:31.919]  Cobalt jacketed H-bombs.
[00:13:33.279 --> 00:13:37.540]  They're called doomsday bombs because they make the surface of the earth unlivable.
[00:13:39.561 --> 00:13:42.202]  For basically ever.
[00:13:42.402 --> 00:13:45.183]  Because millions of years is forever for our species.
[00:13:46.522 --> 00:13:47.562]  So, there you have it.
[00:13:48.082 --> 00:13:50.403]  That's the type of stuff we have here in front of us today.
[00:13:51.923 --> 00:13:55.964]  But I'm going to get to our number one gigantic mega story that's bigger than anything we've ever covered.
[00:13:57.144 --> 00:13:58.924]  And it's because it's hiding in plain view.
[00:13:59.445 --> 00:14:06.486]  We've known this for a long time, but now there's a mass awakening in our police, and in our military, and in the intelligence agencies.
[00:14:08.546 --> 00:14:11.787]  And it ties into the front of the Hollywood Reporter today.
[00:14:13.706 --> 00:14:19.250]  Wanda Chairman reveals ambitious plan to invest billions in all six Hollywood studios.
[00:14:19.270 --> 00:14:20.351]  That means take them over.
[00:14:20.972 --> 00:14:27.297]  Wang Jianlin, China's quote richest man, wants to take over the big six studios.
[00:14:27.677 --> 00:14:28.958]  They already have to a great extent.
[00:14:32.581 --> 00:14:34.983]  And that ties into what I was already going to cover today.
[00:14:35.982 --> 00:14:59.112]  I have interviewed on and off air generals, spy chiefs, former spy chiefs, you name it, and the consensus is, and the evidence is overwhelming even in mainstream news, that Hillary Rodham Clinton is the number one communist Chinese agent in the world, and the WikiLeaks all show that, and she's in direct contact with the President of China doing his bidding.
[00:15:02.039 --> 00:15:06.761]  To the point of, she was representing him to other governments as well.
[00:15:07.561 --> 00:15:11.783]  She's a globalist, top-level operative like Kissinger, and I'm going to explain this very simply.
[00:15:12.044 --> 00:15:18.206]  It's mainline history, taught by the Council on Foreign Relations, not taught to the general public, but taught to executives.
[00:15:18.506 --> 00:15:19.487]  Available if you want to know.
[00:15:20.931 --> 00:15:45.437]  A deal was made in the 70s to move all of our industry to China, give them all the deep water ports, all the main infrastructure, the Panama Canal, the rarest minerals, leverage out global competition, end competition, consolidate control through a rigged economy by putting regulations on the West but not on China, dominate and then dictate the terms of economic surrender to the planet.
[00:15:47.793 --> 00:15:51.296]  And that's why it's come out that her aide reportedly gave classified information to China.
[00:15:51.356 --> 00:15:52.858]  It's all high treason, ladies and gentlemen.
[00:15:52.878 --> 00:15:59.584]  That's why she wears 1960s Maoist-era outfits, silk outfits from China.
[00:15:59.865 --> 00:16:04.549]  It's a total message that I'm your bitch to China.
[00:16:08.493 --> 00:16:09.754]  We have been blown wide open.
[00:16:12.397 --> 00:16:12.517]  Now,
[00:16:15.703 --> 00:16:19.226]  Steve Pachinick's obviously told me a lot of stuff off air he hasn't told the public.
[00:16:19.406 --> 00:16:21.747]  I'm going to really push him today to just do it.
[00:16:22.508 --> 00:16:24.329]  And I don't just get my information from Steve Pachinick.
[00:16:24.649 --> 00:16:36.137]  This came out in the 80s, in the 90s, it came out in the news, the missile secrets, the re-entry devices, you know, the MIRV technology, the multiple re-entry device systems, all of it, the booster systems, the whole thing.
[00:16:36.377 --> 00:16:38.499]  That's cruise missiles, nuclear reactors.
[00:16:39.079 --> 00:16:42.202]  Our government gave China everything after 1949.
[00:16:42.302 --> 00:16:42.562]  Everything.
[00:16:45.385 --> 00:16:45.825]  Everything.
[00:16:50.929 --> 00:16:51.549]  They're fighters.
[00:16:51.589 --> 00:16:52.270]  They're helicopters.
[00:16:52.310 --> 00:16:53.150]  It's all copies.
[00:16:53.230 --> 00:16:56.512]  Now, we have been maneuvered into this treason.
[00:16:57.653 --> 00:17:06.019]  And so, of course, Trump comes out and says, oh yeah, Wang Zhonglin thinks he's going to get us by the short hairs.
[00:17:09.501 --> 00:17:11.222]  Trump is going to grab China's Wang.
[00:17:11.422 --> 00:17:12.143]  You better know that.
[00:17:13.581 --> 00:17:14.402]  I don't mean that as a joke.
[00:17:14.562 --> 00:17:15.003]  They know it.
[00:17:15.704 --> 00:17:16.505]  He's an American.
[00:17:16.746 --> 00:17:18.408]  He doesn't like seeing us get a raw deal.
[00:17:18.588 --> 00:17:19.069]  He's coming.
[00:17:19.550 --> 00:17:22.294]  And Trump represents America returning.
[00:17:22.454 --> 00:17:24.197]  He isn't perfect, but he's America!
[00:17:25.669 --> 00:17:26.329]  I'm America.
[00:17:26.590 --> 00:17:27.310]  You're America.
[00:17:27.330 --> 00:17:31.232]  No matter what color you are, you believe in this country and free market and freedom.
[00:17:31.712 --> 00:17:35.454]  All we hear about is the crimes of America on the media all day that are nothing compared to China.
[00:17:36.234 --> 00:17:46.299]  And the constant pissing on the Republic to make us feel bad while nothing is said about China and mobile execution vans and robots replacing people and Christians and everybody having their organs harvested.
[00:17:46.379 --> 00:17:47.220]  Good God!
[00:17:48.857 --> 00:17:54.340]  And the left gets all the deals for the apple factories and the suicide nets and the worst labor.
[00:17:54.580 --> 00:17:58.362]  But they're all liberal here, like, oh, I've got a long beard and I wear a pink shirt.
[00:17:58.462 --> 00:17:58.983]  I'm liberal.
[00:17:59.883 --> 00:18:04.866]  It's all camo for hardcore predators that are taking this country down.
[00:18:05.766 --> 00:18:10.049]  Apple, Al Gore, all of them are literally in bed with China.
[00:18:11.210 --> 00:18:13.231]  Maurice Strong, David Rockefeller.
[00:18:14.090 --> 00:18:20.892]  When Mao died, wrote sad articles in the New York Times about how great communism was under him, and the model for America.
[00:18:22.212 --> 00:18:31.755]  And it's these guys worth hundreds of billions of dollars, like Wang Junlin, saying they're in a communist country with a bunch of slaves under them.
[00:18:31.795 --> 00:18:33.096]  That's what communism is.
[00:18:33.636 --> 00:18:37.337]  When Obama says you can't have a car, you can't have air conditioning, and he's in a jumbo jet.
[00:18:41.092 --> 00:18:43.593]  China is the global model for world government.
[00:18:43.933 --> 00:18:46.895]  The last four Chinese presidents say that constantly in the news.
[00:18:47.295 --> 00:18:53.778]  China and its model of communism is the ultimate expression of capitalism in the global governance model and is being adopted on a planetary scale.
[00:18:53.938 --> 00:18:54.519]  These are quotes.
[00:18:57.840 --> 00:19:00.342]  Americans must be taught that they cannot have their firearms.
[00:19:02.283 --> 00:19:06.104]  Americans must be brought into line with the global community and China's model.
[00:19:07.225 --> 00:19:07.805]  These are quotes.
[00:19:08.286 --> 00:19:08.846]  Let's skip the break.
[00:19:09.841 --> 00:19:11.061]  Most important information we ever covered.
[00:19:12.022 --> 00:19:22.485]  Now we know this, but I mean, there are articles out today where we're being dictated that you cannot act masculine or show your arms in college now if you have big muscles because it's hurtful to women.
[00:19:24.426 --> 00:19:27.887]  They're emasculating the country, folks, saying men can't show muscles.
[00:19:29.133 --> 00:19:31.515]  Or you can't have pictures of men for the sports team.
[00:19:31.795 --> 00:19:32.396]  It's hurtful.
[00:19:32.416 --> 00:19:33.997]  This is total cult brainwashing.
[00:19:34.157 --> 00:19:35.578]  This isn't out-of-control liberals.
[00:19:35.858 --> 00:19:39.821]  This is scientific destruction of the family and turning us all against each other.
[00:19:40.142 --> 00:19:47.828]  And now the communist Chinese are working with Zuckerberg to censor the internet and taking Hollywood over, allied with the Saudi Arabians.
[00:19:49.650 --> 00:19:50.790]  This has been going on for a decade.
[00:19:51.471 --> 00:19:52.811]  All the ignorant people make little jokes.
[00:19:52.991 --> 00:19:53.431]  Oh, really?
[00:19:53.731 --> 00:19:55.752]  China and Saudi Arabia run Hollywood.
[00:19:56.112 --> 00:19:58.052]  Oh, you're covering up for the Jews.
[00:19:58.312 --> 00:19:59.893]  All the stupid anti-Semites out there.
[00:20:00.453 --> 00:20:03.374]  The point is, is that Hollywood's being taken over, ladies and gentlemen.
[00:20:03.394 --> 00:20:04.014]  It's a fact.
[00:20:04.494 --> 00:20:05.915]  And the propaganda's worse than ever.
[00:20:05.935 --> 00:20:10.156]  And if you thought Hollywood was anti-family, anti-America before, get ready.
[00:20:11.576 --> 00:20:12.917]  I'm sorry I'm a trailblazer.
[00:20:12.957 --> 00:20:14.437]  I'm sorry I know what I'm talking about.
[00:20:14.637 --> 00:20:15.978]  But we're giving you the facts here.
[00:20:16.798 --> 00:20:16.938]  Now,
[00:20:19.178 --> 00:20:22.839]  Trump keeps saying this is America's last chance unless we go to the Second Amendment.
[00:20:22.919 --> 00:20:25.580]  We are in mayday emergency.
[00:20:25.620 --> 00:20:26.920]  We are on fire.
[00:20:27.260 --> 00:20:28.141]  We are down.
[00:20:28.421 --> 00:20:29.641]  We have been overrun.
[00:20:29.661 --> 00:20:31.382]  Our borders are wide open.
[00:20:31.402 --> 00:20:32.562]  They're sowing distrust.
[00:20:32.942 --> 00:20:34.423]  They're trying to start race riots.
[00:20:34.443 --> 00:20:35.703]  They're trying to get the police killed.
[00:20:36.283 --> 00:20:37.264]  More got killed today.
[00:20:37.884 --> 00:20:48.067]  They are ramping up the civil unrest with a crazy Nazi collaborator on an oxygen tank still running the country, basically, who's totally allied with China.
[00:20:48.985 --> 00:20:51.227]  But what does China and George Soros have in common?
[00:20:51.527 --> 00:20:54.309]  They've got screaming you-know-what's for this country.
[00:20:55.710 --> 00:20:59.672]  They want to mount our heads, man, like a trophy hunter wants a mount of the biggest bull elephant.
[00:20:59.913 --> 00:21:12.721]  They want to mount George Washington's head on the damn wall, and I will not sit here and watch what our forebears did, and what your fathers and mothers and everybody did, and what we've done to watch this country taken over and shut down.
[00:21:15.953 --> 00:21:19.636]  We keep saying, where's the military, where's the police, where's the FBI, where are all these agencies?
[00:21:19.656 --> 00:21:20.357]  I'll tell you where they are.
[00:21:20.397 --> 00:21:21.177]  They're waiting for you.
[00:21:25.020 --> 00:21:26.421]  They've put out the WikiLeaks.
[00:21:26.461 --> 00:21:31.986]  By the way, it was in 2009, the Inspector General sent letters that have just now been released in the last month.
[00:21:32.086 --> 00:21:37.410]  Paul Watson did an article on this saying investigate the State Department and the way Hillary's handling information.
[00:21:38.211 --> 00:21:39.452]  They were telling you then it was happening.
[00:21:39.812 --> 00:21:40.913]  The National Archives as well.
[00:21:41.734 --> 00:21:43.075]  Then, more came out.
[00:21:44.013 --> 00:21:47.594]  In 2012, 2013, investigations were begun.
[00:21:47.834 --> 00:21:49.255]  The FBI whitewashed it all.
[00:21:49.595 --> 00:21:54.197]  Julian Assange was given the intel by people inside the intelligence community.
[00:21:54.277 --> 00:21:55.157]  I'm going to stop right there.
[00:21:55.537 --> 00:21:57.298]  So they start the narrative it's the Russians.
[00:21:57.338 --> 00:21:58.618]  The Russians have hacked stuff before.
[00:21:58.778 --> 00:21:59.578]  They admit it when they do.
[00:21:59.798 --> 00:22:00.619]  It's stuff that affects them.
[00:22:00.659 --> 00:22:01.339]  It's international.
[00:22:02.179 --> 00:22:06.581]  They are really good about not getting involved with actual statecraft and telling the U.S.
[00:22:06.621 --> 00:22:07.241]  not to with them.
[00:22:07.621 --> 00:22:08.962]  They only got into U.N.
[00:22:09.202 --> 00:22:12.623]  because that treaty affected them for carbon taxes and other things like that.
[00:22:13.407 --> 00:22:14.788]  They're constantly hacking the U.N.
[00:22:14.988 --> 00:22:15.929]  They're constantly hacking U.S.
[00:22:15.949 --> 00:22:17.930]  diplomats when they're doing international stuff.
[00:22:18.290 --> 00:22:19.871]  Internal stuff, Russia's been leaving it alone.
[00:22:20.111 --> 00:22:30.338]  It's China, while it works with the globalists, bombarding the United States because the globalists are letting China do it to penetrate things on purpose.
[00:22:30.958 --> 00:22:36.661]  China reportedly has something like 200 times a day more cyber attacks going on to the U.S.
[00:22:36.681 --> 00:22:37.282]  than Russia does.
[00:22:38.629 --> 00:22:42.051]  Russia basically isn't cyberattacking anything, and they admit that.
[00:22:42.371 --> 00:22:46.313]  There's organized crime over there that has credit card theft and stuff like that, and Russia's certainly got its problems.
[00:22:47.534 --> 00:23:07.225]  But the issue here is, ladies and gentlemen, China is hammering the hell, probing everything, super belligerent, super arrogant, has penetrated everything, tells the president to get off the back of the plane, total big insult in Asia, to rub his face in the manure, scream at the diplomats on the tarmac saying, this is our country, you go if you don't like it!
[00:23:08.032 --> 00:23:14.014]  Because they have no respect for us, because they've penetrated us, and they've bought us, and they've controlled us.
[00:23:14.334 --> 00:23:18.896]  And ladies and gentlemen, when you see fake liberal media, these are the most pathetic, sad people in the world.
[00:23:19.196 --> 00:23:24.778]  You are seeing teleprompter readers who have been hired because they're empty nobodies, who will say any lie or do anything.
[00:23:25.279 --> 00:23:27.740]  No wonder the big newspapers are collapsing, they've announced today.
[00:23:28.020 --> 00:23:32.941]  Revenue down 95% in quarterly profit.
[00:23:33.882 --> 00:23:34.922]  They're in free fall.
[00:23:35.122 --> 00:23:36.503]  Total free fall.
[00:23:37.568 --> 00:23:40.079]  Because people now know this isn't just liberal idiots.
[00:23:40.360 --> 00:23:42.067]  These are enemy operatives.
[00:23:43.473 --> 00:23:44.133]  Do you understand?
[00:23:44.374 --> 00:23:51.099]  These are the most disgraceful, dishonored, actual officers of a take.
[00:23:51.239 --> 00:23:55.962]  They are literal collaborators in the cloth of the Vichy French.
[00:23:56.863 --> 00:23:58.464]  The French stood down in World War II.
[00:23:58.704 --> 00:24:01.727]  The Maginot Line and all that crap, and Dunkirk.
[00:24:02.127 --> 00:24:03.348]  Only the British fought a little.
[00:24:03.448 --> 00:24:08.972]  The British military didn't fully stand down, but the French did because the General Staff was already sold by Hitler.
[00:24:09.192 --> 00:24:10.653]  They took over France the next day.
[00:24:11.054 --> 00:24:12.555]  Hitler, two weeks later, was in Paris.
[00:24:13.988 --> 00:24:16.989]  The French were told by the media, stand down and do what Hitler said.
[00:24:19.549 --> 00:24:20.229]  You understand that?
[00:24:22.290 --> 00:24:23.130]  That's the same deal.
[00:24:23.210 --> 00:24:25.010]  It's a covert operation.
[00:24:26.291 --> 00:24:28.971]  And they are all arrogant up there.
[00:24:30.152 --> 00:24:31.532]  And so there's been a countercoup.
[00:24:31.572 --> 00:24:33.592]  We've told you about this for the last year.
[00:24:34.432 --> 00:24:35.793]  And now we've had William Benny come out.
