[00:00:00.169 --> 00:00:01.050]  and get free shipping.
[00:04:42.606 --> 00:04:47.390]  I didn't even really read it because I was so busy looking at financial news, world news, and other stuff.
[00:04:49.632 --> 00:04:55.557]  But as I began to read, you know, deeper into the news today, I couldn't help myself but actually read the article.
[00:04:56.568 --> 00:05:05.837]  And it's got the creator of the X-Files admitting that the new season, the relaunch, is going to be based basically around this show.
[00:05:06.478 --> 00:05:07.359]  And he even admits it.
[00:05:07.439 --> 00:05:08.440]  It's pretty amazing.
[00:05:12.023 --> 00:05:16.726]  The first Republican debate of 2016 is this Thursday, January 14th.
[00:05:17.007 --> 00:05:23.031]  And join the InfoWars Nightly News and Prison Planet TV once again for Political Science Theater 3K.
[00:05:23.451 --> 00:05:26.393]  The stage will be getting smaller with only six candidates making the cut.
[00:05:26.713 --> 00:05:29.735]  Maybe seven if they let John Kasich slip in through the back door.
[00:05:30.035 --> 00:05:31.176]  Coverage starts at 7 p.m.
[00:05:31.196 --> 00:05:34.599]  Central on the InfoWars Nightly News and then the debate kicks off at 8 p.m.
[00:05:34.619 --> 00:05:34.919]  Central.
[00:05:35.259 --> 00:05:38.442]  Join us for analysis that cuts through the lies in real time.
[00:05:38.802 --> 00:05:40.503]  When's the next Democratic debate, you ask?
[00:05:40.543 --> 00:05:44.006]  Well, it's on a Sunday during the NFL playoffs, because that's when most people want to watch it.
[00:05:44.266 --> 00:05:49.190]  It does not appear that Rand Paul is going to make the cut in this primetime debate, but John Kasich is?
[00:05:49.711 --> 00:05:50.832]  What is this world coming to?
[00:05:51.192 --> 00:05:57.896]  Just a little side note here, the majority of Americans polled think that Hillary Clinton should continue to run if she is indicted under this new email skin.
[00:05:58.377 --> 00:05:59.978]  Join us this Thursday, 7 p.m.
[00:06:00.018 --> 00:06:02.999]  Central, for Political Science Theater 3K.
[00:06:03.380 --> 00:06:05.741]  Rob Dew reporting for InfoWars.com and PrisonPlanet.tv.
[00:06:10.390 --> 00:06:13.612]  When cells become toxic, they die early and aging sets in.
[00:06:13.913 --> 00:06:21.939]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:22.159 --> 00:06:27.182]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:27.583 --> 00:06:29.864]  You want the best that's out there at the lowest price anywhere?
[00:06:30.105 --> 00:06:31.906]  We now have the synergistic solution.
[00:06:32.226 --> 00:06:36.409]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:06:40.330 --> 00:06:41.231]  Brain Force is here.
[00:06:41.431 --> 00:06:43.553]  Ladies and gentlemen, I've been on this the last few months.
[00:06:43.653 --> 00:06:48.376]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of Brain Force.
[00:06:48.636 --> 00:06:51.819]  There's always hidden additives in your food, even organic food has hidden additives.
[00:06:51.919 --> 00:06:55.121]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:06:55.402 --> 00:06:57.103]  Ultimately, we've all been dumbed down to some degree.
[00:06:57.363 --> 00:06:57.603]  I think?
[00:07:28.224 --> 00:07:40.032]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes that are blocked by estrogen mimickers and other toxic elements in the food chain.
[00:07:40.192 --> 00:07:45.236]  Super Mill Vitality from InfoWarsLife.com has sold out multiple times in the last three months.
[00:07:45.376 --> 00:07:52.739]  To fix that problem, we have now produced the biggest and most concentrated high-quality batch of Super Mel Vitality in the product's history.
[00:07:52.959 --> 00:07:55.540]  Our new Ultra Strength Formula is even stronger.
[00:07:55.720 --> 00:08:00.041]  Check out the third-party reviews and informational videos at InfoWarsLife.com.
[00:08:00.262 --> 00:08:02.983]  Now it's time to get your body in balance and fight back.
[00:08:03.223 --> 00:08:09.245]  I'm Alex Jones for Super Mel Vitality and InfoWarsLife.com and I salute you, our supporters!
[00:08:19.818 --> 00:08:22.879]  Crashing through the lies and disinformation.
[00:08:23.359 --> 00:08:27.460]  It's Alex Jones on the GCN Radio Network.
[00:08:28.801 --> 00:08:31.682]  Look at these headlines at InfoWars.com.
[00:08:32.082 --> 00:08:37.864]  Integrated Muslim migrants say the world would just go on by itself without Germans.
[00:08:38.384 --> 00:08:39.404]  Nobody would notice.
[00:08:40.045 --> 00:08:40.625]  They're scum.
[00:08:41.917 --> 00:08:43.518]  That zoo is brought into Germany.
[00:08:44.379 --> 00:08:54.247]  The leftists teach them hatred of the indigenous culture and then want to override it with a weird amalgamation of gangster culture.
[00:08:54.267 --> 00:08:57.450]  This is admitted by sociologists.
[00:08:58.371 --> 00:09:05.857]  Gangster hip-hop culture with radical Wahhabist hatred of women, gays and others.
[00:09:07.523 --> 00:09:12.145]  Mixed with bizarre leftist anti-free speech oppression.
[00:09:13.365 --> 00:09:17.307]  Talk about a mutated mongrel of tyranny.
[00:09:18.707 --> 00:09:20.428]  This is really disgusting.
[00:09:21.208 --> 00:09:28.031]  New email shows Hillary absolutely ready and willing.
[00:09:30.772 --> 00:09:34.113]  Stories up on Infowars.com right now.
[00:09:35.629 --> 00:09:39.712]  To foment Palestinian uprising for political gain.
[00:09:41.153 --> 00:09:50.720]  Again, this follows the pattern of knowing there's an Arab Spring coming, knowing there's a lot of real beefs, knowing there's a lot of real progressive liberal movements.
[00:09:51.943 --> 00:09:59.205]  Towards women having freedom, lower taxes, less regulations, Thomas Jefferson liberal stuff.
[00:09:59.865 --> 00:10:10.487]  They want to head that off at the past five years ago, so they detonate the Muslim Brotherhood operations to flood the Middle East and Africa and take over with radical jihad.
[00:10:11.427 --> 00:10:12.327]  And it's in our emails.
[00:10:14.108 --> 00:10:15.828]  I mean, we have them, ladies and gentlemen.
[00:10:15.868 --> 00:10:17.628]  We know their battle plan.
[00:10:17.968 --> 00:10:19.289]  And shame on us.
[00:10:21.556 --> 00:10:23.576]  If we don't stand up against it.
[00:10:24.196 --> 00:10:30.218]  That's just some of the news that's up on InfoWars.com and PrisonPlanet.com.
[00:10:32.078 --> 00:10:35.358]  We've got more attacks in Europe, the US, and Canada.
[00:10:36.119 --> 00:10:49.321]  They're almost daily now with people going into nightclubs, police stations, you name it, and shooting at people, shooting people, suicide vests, attacking, shooting police, and it's
[00:10:50.748 --> 00:10:53.969]  Really, not even in the news that it's an Islamic Jihad attack.
[00:10:54.809 --> 00:10:56.169]  I mean, you thought it was bad?
[00:10:57.850 --> 00:11:02.050]  What just happened in San Bernardino a month ago?
[00:11:02.070 --> 00:11:07.072]  And it took them two and a half days to even admit that it was an Islamic attack.
[00:11:07.532 --> 00:11:09.372]  Obviously, it was a radical Islamic attack.
[00:11:09.612 --> 00:11:10.792]  They've been trained overseas.
[00:11:11.132 --> 00:11:13.673]  The FBI was on them two years ago in the mosque.
[00:11:18.169 --> 00:11:27.171]  And they sent the Justice Department down to basically engage in a criminal investigation for civil rights violations and ordered the FBI and Homeland Security to leave the mosque alone.
[00:11:29.471 --> 00:11:35.113]  And out of the entire mosque of over 500 people, they were targeting those two.
[00:11:36.073 --> 00:11:36.873]  And look what happened.
[00:11:37.453 --> 00:11:39.974]  So you wonder why the FBI can't stop these people.
[00:11:40.034 --> 00:11:41.074]  It's because they're not allowed to.
[00:11:42.955 --> 00:11:48.058]  And it's because when the attacks happen, the establishment comes and takes our rights and our liberties.
[00:11:48.299 --> 00:11:50.120]  And I want to be 100% clear about something.
[00:11:51.641 --> 00:12:03.068]  There have been times in Islam, for several hundred years, Lord Monckton's talked about this, when they innovated, they invented science, and they were not as barbaric as Europe was.
[00:12:04.009 --> 00:12:04.669]  It's just a fact.
[00:12:05.170 --> 00:12:11.394]  But in its first phase of Islam, and now this latter phase, not the middle section, but the third act of Islam,
[00:12:12.495 --> 00:12:14.837]  is probably the most barbarous we've ever seen.
[00:12:16.398 --> 00:12:21.421]  And it is a radical, expansionist, political system now, not religious.
[00:12:22.362 --> 00:12:24.683]  Religion is being used for political control.
[00:12:27.145 --> 00:12:29.806]  And people can say, look, Islam is not a religion of peace.
[00:12:31.047 --> 00:12:32.748]  Obviously, in the modern sense, it's not.
[00:12:32.949 --> 00:12:34.450]  Obviously, in its founding, it's not.
[00:12:34.650 --> 00:12:40.694]  Obviously, it's like saying, up is down, down is up, left is right, two plus two equals ten.
[00:12:41.854 --> 00:12:54.157]  But at the same time, you could argue Christianity is not a religion of peace with periods of its history and some of the things that are in the Old Testament and other areas taken out of context and being applied.
[00:12:54.197 --> 00:12:56.658]  I mean, there's genocidal stuff in the Old Testament.
[00:12:57.678 --> 00:13:05.440]  Because if one tribe came and took over the Israelites, they would kill all the men and take the women and children.
[00:13:05.480 --> 00:13:06.561]  That's what tribes did.
[00:13:06.601 --> 00:13:07.521]  That's what the Romans did.
[00:13:08.629 --> 00:13:21.415]  But before the Romans came along, and after the Israelites had left and gotten out of Egypt, they basically just started adopting many of the policies that they'd been under with Pharaoh.
[00:13:21.435 --> 00:13:23.096]  I mean, isn't that how it is?
[00:13:23.156 --> 00:13:28.578]  You complain about the old boss, but as soon as you're the new boss, you engage in that same behavior.
[00:13:28.598 --> 00:13:29.719]  So I'm not going to sit here
[00:13:30.945 --> 00:13:37.749]  And be dishonest to earn political points and say that only Islam is running around bloodthirsty, murdering people.
[00:13:38.450 --> 00:13:49.276]  In history, under different phases of every culture, whether it was Zen Buddhist Japanese or the 12 tribes in Israel,
[00:13:51.374 --> 00:13:52.656]  Judah only being one of them.
[00:13:53.517 --> 00:13:57.281]  I mean, the tribes were fighting each other in Israel, to use an Old Testament example, constantly.
[00:13:57.681 --> 00:14:00.024]  And one tribe would be good and would become prosperous.
[00:14:00.044 --> 00:14:03.167]  The other tribe would become corrupt and would collapse and go into bondage.
[00:14:03.227 --> 00:14:03.387]  I mean...
[00:14:04.662 --> 00:14:08.085]  It's a history book, really, to show you the cycles we go through.
[00:14:08.906 --> 00:14:19.215]  But whether it's the Muslims, whether it's the Orthodox Christians, whether it's Evangelical Christians, whether it's been the Catholics, you've had warlike popes, you've had anti-war popes.
[00:14:19.315 --> 00:14:21.497]  There's been different periods in culture.
[00:14:21.717 --> 00:14:22.658]  But here's the fact.
[00:14:24.650 --> 00:14:49.023]  There's a billion, two hundred million Muslims, they're being dominated and run by radical groups now, and so Islam itself is being completely radicalized in this period, and is a dangerous, bloodthirsty, political cult, intimidating and radicalizing its own people to the most bizarre extremes, because when you become a cult, the most radical of the group, whether it be third-wave feminist,
[00:14:49.543 --> 00:15:03.796]  Whether it be Black Lives Matter, whether it be radical Islam, whether it be Second Amendment groups, whoever is the most radical will end up in an orthodoxy being the dominant.
[00:15:05.902 --> 00:15:09.185]  And that's why, under leftism, they try to be so radical.
[00:15:09.525 --> 00:15:10.846]  Mothers and fathers are bad.
[00:15:11.527 --> 00:15:12.567]  He and she is bad.
[00:15:12.587 --> 00:15:13.448]  You're purple penguins.
[00:15:13.488 --> 00:15:14.649]  Brown bags are racist.
[00:15:15.350 --> 00:15:18.452]  Oh my gosh, they're serving Chinese food at the college on Tuesdays.
[00:15:18.492 --> 00:15:19.193]  That's racist.
[00:15:20.013 --> 00:15:21.815]  Oh my gosh, the hall's called Lynch.
[00:15:22.095 --> 00:15:22.796]  Don't hang us.
[00:15:22.836 --> 00:15:23.436]  We're scared.
[00:15:25.478 --> 00:15:26.439]  You're like, that doesn't make any sense.
[00:15:26.479 --> 00:15:26.999]  That's crazy.
[00:15:27.079 --> 00:15:27.419]  Oh really?
[00:15:27.459 --> 00:15:28.200]  They run everything.
[00:15:28.220 --> 00:15:28.921]  They're taking over.
[00:15:29.221 --> 00:15:34.165]  They're the most radical, demanding full political control, and then we acquiesce to it.
[00:15:35.376 --> 00:15:40.340]  I mean, if you'll stop saying mother and father, you'll do anything these cultists tell you to do.
[00:15:40.641 --> 00:15:41.601]  And it's all over the world.
[00:15:42.442 --> 00:15:44.084]  These are power-tripping nuts.
[00:15:47.066 --> 00:15:55.593]  They are cult leaders by every historical yardstick, and there is a rebellion against it worldwide, and they want to make that rebellion.
[00:15:56.676 --> 00:15:57.996]  Right-wing versus left-wing.
[00:15:59.277 --> 00:16:01.698]  And the main vehicle of the takeover is left-wing.
[00:16:02.098 --> 00:16:13.221]  But if we just fight it as we're fighting left-wingism, we're going to lose because they've got the controlled opposition of the Republican and the Tory leadership in England and the Conservative leadership in Europe.
[00:16:13.581 --> 00:16:21.884]  They've got those people on a very short leash, financed, blackmailed, bribed, controlled, intimidated into submission.
[00:16:22.144 --> 00:16:26.045]  And if you don't submit like Nigel Farage, your airplane blows up.
[00:16:26.425 --> 00:16:27.005]  Or crashes.
[00:16:27.845 --> 00:16:32.927]  And then the wheels are unbolted on your car, so the wheels come off and you almost die last week.
[00:16:35.228 --> 00:16:40.549]  Or you're arrested like Marie Le Pen, the leader in the presidential race that's starting up in France.
[00:16:43.150 --> 00:16:46.431]  If you're real, they come after you.
[00:16:47.251 --> 00:16:51.672]  And I've had them come after me, obviously, in the press, the media, physically as well.
[00:16:52.512 --> 00:16:54.233]  So, folks need to understand that
[00:16:55.353 --> 00:17:02.780]  The totalitarians masquerading as the left are making a move teamed up with radical Islam to actually take over the world.
[00:17:03.461 --> 00:17:17.194]  They're not going to install Sharia law this year or even ten years from now in the United States, though it's now happening in Paris, it's now happening in Frankfurt, it's now happening in Berlin, it's now happening in many of these European cities.
[00:17:19.380 --> 00:17:43.134]  But what is going to come in is leftist police and bureaucracies and South African style truth and reconciliation commissions under the UN Strong Cities Initiative, this is their announcement, to bully local governments, bully local police into submitting to their whole political system and their whole political view or they'll be destroyed in the media.
[00:17:43.474 --> 00:17:44.615]  It's a bunch of intimidation.
[00:17:46.078 --> 00:17:52.562]  And then ending free speech if it, quote, offends any outside group, like the Muslims.
[00:17:56.544 --> 00:18:05.509]  But then classical libertarian or conservative ideas, Americana ideas, family ideas, will not be accepted or condoned.
[00:18:07.150 --> 00:18:11.392]  So it's the classic animal farm, where, you know, they tell you up front all animals are equal.
[00:18:12.486 --> 00:18:17.929]  But then by the end, the pigs go, no, we're more equal than you, and two legs good, four legs bad.
[00:18:17.949 --> 00:18:32.518]  You know, at first, you know, the humans are bad, we gotta revolt against them in the allegory, because they're on two legs, and, you know, they all enslave us, and we're all equal, and let's come together and overthrow this, and then the pigs get control, and then they turn around and are worse than the humans.
[00:18:35.319 --> 00:18:36.860]  Well, that's exactly what's happening.
[00:18:37.040 --> 00:18:39.802]  The Democrats are more racist than the Republicans ever were.
[00:18:40.615 --> 00:18:41.876]  They are more controlling.
[00:18:41.896 --> 00:18:42.876]  They're more out of control.
[00:18:43.096 --> 00:18:44.077]  That's why they're dominant.
[00:18:44.237 --> 00:18:45.257]  It's why they run the show.
[00:18:45.478 --> 00:18:46.538]  It's why everybody's scared of them.
[00:18:47.078 --> 00:18:47.919]  I mean, let me tell you something.
[00:18:47.939 --> 00:18:49.299]  We've had some corrupt Republicans.
[00:18:49.560 --> 00:18:50.480]  We've had some problems.
[00:18:50.700 --> 00:18:53.402]  But the Democrats openly giving stinger missiles to Al-Qaeda?
[00:18:53.822 --> 00:18:56.103]  Openly overthrowing countries and killing all the Christians?
[00:18:57.184 --> 00:18:57.944]  That can't escape?
[00:18:59.725 --> 00:19:01.526]  I mean, these are some hardcore people.
[00:19:03.127 --> 00:19:04.267]  They're not playing games.
[00:19:04.567 --> 00:19:09.390]  That's what Hillary's new emails, where she's been caught lying, you know, about she'd released all of them.
[00:19:10.811 --> 00:19:12.913]  Is how are we going to foment Muslim uprisings?
[00:19:14.935 --> 00:19:17.016]  So I can pose as the liberal savior.
[00:19:18.698 --> 00:19:21.520]  This is what they're doing all over the world, and they're going to do it here.
[00:19:21.701 --> 00:19:27.646]  They're going to bring in incompatible people that can't even get along in their own countries, that run around killing each other 24-7.
[00:19:28.426 --> 00:19:33.511]  They're going to bring them here to bully the Muslims that ran here to get away from the tyranny.
[00:19:34.892 --> 00:19:39.034]  Take control of those communities and then use them as lockstep political blocs.
[00:19:39.554 --> 00:19:44.996]  You know mosques of 5,000 people in Michigan will vote to a man and woman how they're ordered to.
[00:19:45.936 --> 00:19:47.017]  And they're allowed to be political.
[00:19:47.457 --> 00:19:49.338]  Oh, but Christian churches, you better not be.
[00:19:49.578 --> 00:19:50.578]  We'll come audit you.
[00:19:50.778 --> 00:19:51.919]  We'll come shut you down.
[00:19:51.939 --> 00:19:53.379]  All right.
[00:19:53.399 --> 00:20:00.022]  I'm going to get into the big Syria news, the big election news, the big Second Amendment news, and the big
[00:20:01.916 --> 00:20:03.758]  News on the economy, that's really what's big.
[00:20:04.098 --> 00:20:10.163]  And then, yes, Chris Carter's come out, it's a big article on DrugsReport.com, and says the new X-Files is based on this show.
[00:20:11.144 --> 00:20:14.326]  Winter has just begun, and are you already tired of being cold?
[00:20:14.747 --> 00:20:16.588]  How would you like to never be cold again?
[00:20:17.129 --> 00:20:23.234]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[00:20:23.979 --> 00:20:33.287]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[00:20:33.867 --> 00:20:37.250]  If you snowmobile, ski, snowboard, get Fortress.
[00:20:37.890 --> 00:20:43.995]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[00:20:44.516 --> 00:20:52.883]  If you're stuck outside working in the cold or find yourself in an emergency situation, get our winter bug out bag and you will never be cold again.
[00:20:53.383 --> 00:20:57.289]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[00:20:57.550 --> 00:21:00.294]  It's a mid-layer garment that goes with anything you want to wear.
[00:21:00.754 --> 00:21:04.400]  Enter coupon code RADIO and get 20% off any item.
[00:21:04.821 --> 00:21:06.723]  Go now while we still have inventory.
[00:21:07.124 --> 00:21:08.065]  FortressClothing.com
[00:21:10.396 --> 00:21:11.876]  Are you looking to sell body armor?
[00:21:12.096 --> 00:21:14.917]  Want to make extra money selling body armor at your local gun shows?
[00:21:15.037 --> 00:21:18.598]  With low minimum buys and great returns, KD Armor is the answer.
[00:21:18.698 --> 00:21:20.378]  Make money in your spare time.
[00:21:20.518 --> 00:21:27.260]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[00:21:27.660 --> 00:21:29.300]  And they'll ship it to you for free.
[00:21:29.541 --> 00:21:32.121]  If you own a business, give them a call today at 855-488-KD.
[00:21:32.141 --> 00:21:32.541]  That's 855-488-2284.
[00:21:32.641 --> 00:21:34.742]  Or go to kdarmor.com.
[00:21:34.822 --> 00:21:35.462]  Come and take it.
[00:21:40.325 --> 00:21:49.650]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:21:49.750 --> 00:21:54.093]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:21:54.173 --> 00:22:00.996]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:01.177 --> 00:22:02.877]  Buy now at DefenderShield.com.
[00:22:03.058 --> 00:22:05.299]  For 10% off, use promo code GCN.
[00:22:05.459 --> 00:22:08.981]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:10.985 --> 00:22:12.367]  Hi, this is Walt Augustinowicz.
[00:22:12.787 --> 00:22:14.769]  I'm the founder and CEO of ID Stronghold.
[00:22:15.330 --> 00:22:18.954]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:22:19.194 --> 00:22:27.663]  Ten years ago, I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:22:28.004 --> 00:22:31.287]  I felt having to broadcast my personal information was an invasion of privacy.
[00:22:32.148 --> 00:22:35.229]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:22:35.289 --> 00:22:39.911]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:22:40.652 --> 00:22:44.873]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:22:45.594 --> 00:22:48.375]  There are a lot of misconceptions out there today about RFID.
[00:22:48.755 --> 00:22:50.976]  I encourage everyone to get informed and get protected.
[00:22:51.816 --> 00:22:58.079]  Please go to IDStronghold.com and get the facts and the wallet sleeves or badge holders you need to protect your personal financial data.
[00:22:58.860 --> 00:23:04.102]  You'll be pleasantly surprised that through our direct sales model you won't pay more than other comparable unprotected wallets.
[00:23:04.463 --> 00:23:06.184]  It is as though the protection is free.
[00:23:06.824 --> 00:23:08.465]  Visit IDStronghold.com today.
[00:23:10.333 --> 00:23:11.114]  This is Dan Pilla.
[00:23:11.134 --> 00:23:12.635]  Do you have the IRS money you can't pay?
[00:23:12.955 --> 00:23:14.236]  Are tax debts crippling you?
[00:23:14.596 --> 00:23:16.938]  I've defended people from the IRS for over 30 years.
[00:23:17.418 --> 00:23:19.280]  I've helped thousands and I can help you too.
[00:23:19.720 --> 00:23:23.763]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:23:24.224 --> 00:23:27.927]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:23:28.167 --> 00:23:31.630]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:23:31.950 --> 00:23:32.250]  Call 800-34-NO-TAX.
[00:23:32.270 --> 00:23:33.691]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:23:39.562 --> 00:23:46.064]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:23:46.344 --> 00:23:50.445]  Since 2005, thousands have depended on Berkey Purified Water.
[00:23:50.585 --> 00:23:55.006]  The Berkey guy provides the lowest price filtration systems in every size.
[00:23:55.226 --> 00:24:00.708]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:24:00.728 --> 00:24:00.768]  877-886-3653.
[00:24:00.788 --> 00:24:01.268]  GoBerkey.com
[00:24:21.852 --> 00:24:22.792]  Monday through Friday, 11 a.m.
[00:24:22.892 --> 00:24:23.452]  to 3 p.m.
[00:24:23.753 --> 00:24:24.093]  Central.
[00:24:24.113 --> 00:24:25.753]  We're here live on Alex Jones, your host.
[00:24:27.513 --> 00:24:35.155]  By the way, coming up a little bit in the next segment, I went and saw The Revenant with Leonardo DiCaprio, and it was better than I thought it'd be.
[00:24:35.655 --> 00:24:41.657]  It is a very avant-garde film, but depressing by the end.
[00:24:43.393 --> 00:24:49.608]  So definitely a new height in cinema, and I can tell you what the bear really does.
[00:24:49.628 --> 00:24:51.052]  So spoiler alert straight ahead.
[00:24:51.112 --> 00:24:52.094]  Does it really rape him?
[00:24:53.902 --> 00:24:55.383]  Well, we'll talk about that coming up.
[00:24:55.643 --> 00:25:01.147]  Just because it's interesting to look at culture and to see how it affects people versus reality.
[00:25:01.848 --> 00:25:03.209]  But this is one of my big subjects.
[00:25:03.489 --> 00:25:10.294]  I wish they'd make movies about the Indian Wars, as they were called, from say 1800 to 1840 in the Midwest.
[00:25:11.195 --> 00:25:12.696]  That's the real wars.
[00:25:13.317 --> 00:25:15.919]  That's the, you know, hardcore stuff.
[00:25:15.959 --> 00:25:17.980]  And this film actually touches on it.
[00:25:18.020 --> 00:25:18.721]  So that's coming up.
[00:25:19.588 --> 00:25:21.389]  We're not about entertainment, we are about history.
[00:25:22.129 --> 00:25:26.851]  And I will get into how this broadcast is affecting culture.
[00:25:28.372 --> 00:25:33.154]  I've known that most big Hollywood films
