[00:00:12.829 --> 00:00:15.790]  Wednesday, April 20th, 2016.
[00:02:39.099 --> 00:02:46.323]  In order to have the bill move forward, Senate Majority Leader Mitch McConnell would need to file procedural motions.
[00:02:46.343 --> 00:02:49.205]  60 votes are required to have the bill move forward.
[00:02:49.838 --> 00:02:56.927]  After 9-11, it was clear that the Congress was going to be called upon to conduct some form of an inquiry as to what happened.
[00:02:57.588 --> 00:03:05.237]  The decision by the leadership was to combine the intelligence committees of the House and the Senate into a single body.
[00:03:05.298 --> 00:03:08.702]  For the first time in the history of the Congress, that had occurred.
[00:03:09.062 --> 00:03:23.559]  On April 10th, the former chairman of the Senate Select Committee on Intelligence and co-chair of the bipartisan Joint Congressional Inquiry into the 9-11 attacks, Bob Graham, told CBS News he believes Saudi Arabia was behind the attacks.
[00:03:23.920 --> 00:03:26.683]  What I'm trying to tell you is, so what?
[00:03:27.484 --> 00:03:28.806]  We did not invent
[00:03:30.681 --> 00:03:31.382]  Uh, corruption.
[00:03:31.642 --> 00:03:37.085]  Graham said support came from the Saudi government, charities, and rich people in the country.
[00:03:37.345 --> 00:03:45.649]  He said that support was downplayed because of the special relationship between the United States and the Saudi Arabian Kingdom.
[00:03:45.929 --> 00:03:47.390]  The evidence is overwhelming.
[00:03:47.710 --> 00:03:54.754]  For example, here's Donald Rumsfeld chomping at the bit to keep the momentum of the New World Order's tyrannical soft war moving.
[00:03:54.814 --> 00:03:58.356]  We haven't had an attack in five years.
[00:04:04.179 --> 00:04:05.639]  Building 7, I often hear about.
[00:04:05.659 --> 00:04:06.740]  No plane hit building 7.
[00:04:06.780 --> 00:04:08.400]  Why did building 7 come down?
[00:04:08.460 --> 00:04:09.240]  What do you tell people?
[00:04:09.300 --> 00:04:10.401]  What is building 7?
[00:04:10.481 --> 00:04:10.961]  Building 7.
[00:04:11.061 --> 00:04:11.941]  I have no idea.
[00:04:12.041 --> 00:04:13.821]  I've never heard that.
[00:04:26.385 --> 00:04:38.332]  We must never forget our fellow Americans that paid the ultimate price in a bid to end the American way, quarterbacked by a protected elite class now blackmailing the U.S.
[00:04:38.392 --> 00:04:42.994]  government by threatening to sell off $750 billion in U.S.
[00:04:43.135 --> 00:04:43.575]  assets.
[00:04:43.815 --> 00:04:49.018]  This obvious and inflated admission of guilt by the Saudis begs the question
[00:04:49.358 --> 00:04:56.145]  How much are the 2,996 innocent fellow American lives that perished on 9-11-2001 worth to you?
[00:04:56.185 --> 00:04:58.348]  What's going on, Betty?
[00:04:58.648 --> 00:04:59.849]  Betty, talk to me.
[00:05:01.531 --> 00:05:05.375]  Betty, are you there?
[00:05:05.796 --> 00:05:07.698]  John Bowne for Infowars.com
[00:05:08.641 --> 00:05:09.202]  We'll be back.
[00:05:09.242 --> 00:05:09.842]  Stay with us.
[00:05:10.703 --> 00:05:11.704]  Brain Force is here.
[00:05:12.244 --> 00:05:14.526]  Ladies and gentlemen, I've been on this the last few months.
[00:05:14.787 --> 00:05:22.614]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:05:23.396 --> 00:05:26.958]  One of the worst things with most energy products is it's not sustainable, right?
[00:05:26.978 --> 00:05:29.320]  You're gonna crash, you're gonna feel really bad afterwards.
[00:05:29.680 --> 00:05:33.203]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:05:33.263 --> 00:05:36.385]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:05:36.885 --> 00:05:41.708]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:05:42.229 --> 00:05:44.070]  For example, the L-theanine inside of it.
[00:05:44.410 --> 00:05:48.813]  That is activated by the different compounds in the yerba mate that we put inside of it as well.
[00:05:48.993 --> 00:05:51.015]  This just increases the compounds you already have.
[00:05:51.616 --> 00:05:53.098]  This is what you're actually designed to run on.
[00:05:53.238 --> 00:05:53.498]  Exactly.
[00:05:53.518 --> 00:05:57.283]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:05:57.803 --> 00:06:05.793]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:06:10.615 --> 00:06:12.016]  My name is Alex Jones.
[00:06:12.537 --> 00:06:18.461]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:06:18.681 --> 00:06:32.853]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights
[00:06:33.433 --> 00:06:35.374]  You're focusing on fighting the globalists.
[00:06:35.755 --> 00:06:43.580]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[00:06:43.800 --> 00:06:50.945]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:06:51.225 --> 00:06:56.949]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:06:57.069 --> 00:07:03.253]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[00:07:03.493 --> 00:07:09.756]  Check them out today at Infowarslife.com or give our crew a call at 888-253-3139.
[00:07:10.257 --> 00:07:11.637]  Clean, pure drinking water.
[00:07:11.917 --> 00:07:13.198]  You can't survive without it.
[00:07:13.398 --> 00:07:14.319]  But where do you get it?
[00:07:14.599 --> 00:07:20.362]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:07:20.582 --> 00:07:26.325]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:07:26.485 --> 00:07:43.355]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:07:43.755 --> 00:07:45.876]  Filter capacity up to 5,000 gallons.
[00:07:46.236 --> 00:07:47.437]  Stainless steel construction.
[00:07:47.697 --> 00:07:48.458]  Easy assembly.
[00:07:48.738 --> 00:07:49.378]  Low maintenance.
[00:07:49.658 --> 00:07:51.479]  Replacement filters are simple to install.
[00:07:51.760 --> 00:07:58.864]  And now, as part of an exclusive limited time introductory offer, you can save $20 off a retail price and get free shipping.
[00:07:59.024 --> 00:08:04.047]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:08:04.227 --> 00:08:06.808]  Go to InfowarsStore.com or call 888-253-3139.
[00:08:10.686 --> 00:08:15.536]  As a community moves towards despotism, respect is restricted to fewer people.
[00:08:18.419 --> 00:08:27.143]  That's veteran Denver Police Officer Charles Jones IV smashing an unarmed suspect in the face six times.
[00:08:27.623 --> 00:08:31.945]  Officers accused of using excessive force on a suspect and then trying to erase the evidence.
[00:08:32.005 --> 00:08:34.526]  I'm observing what they're doing and they don't see me.
[00:08:34.746 --> 00:08:36.867]  I don't understand what's going on.
[00:08:36.907 --> 00:08:46.271]  A community rates low on an information scale when the press, radio, and other channels of communication are controlled by only a few people.
[00:08:47.170 --> 00:08:54.652]  Does it raise ethical questions about the use of government money to produce stories about the government that wind up being aired with no disclosure that they were produced by the government?
[00:08:54.932 --> 00:08:56.492]  How can you ask such a question?
[00:08:56.512 --> 00:09:00.133]  What difference at this point does it make?
[00:09:00.173 --> 00:09:06.495]  When a competent observer looks for signs of despotism in the community, he looks beyond fine words and noble phrases.
[00:09:06.515 --> 00:09:14.137]  There are actions I have the legal authority to take as president that will help make our immigration system more fair and more just.
[00:09:15.299 --> 00:09:17.260]  Tonight, I'm announcing those actions.
[00:09:17.280 --> 00:09:18.641]  What I say, go.
[00:09:18.861 --> 00:09:19.081]  See?
[00:09:19.101 --> 00:09:21.483]  I'm the law around here.
[00:09:22.963 --> 00:09:26.666]  He came, you saw, you died.
[00:09:29.890 --> 00:09:37.632]  We just have to be repetitive about this.
[00:09:37.672 --> 00:09:44.634]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:09:45.094 --> 00:09:47.455]  We are trained to deceive if we have to.
[00:09:47.495 --> 00:09:48.975]  You really don't have to trust me.
[00:09:48.995 --> 00:09:49.796]  You shouldn't trust me.
[00:09:49.836 --> 00:09:53.317]  In fact, by my actually participating in that, I will taint the news.
[00:09:53.897 --> 00:09:57.158]  In communities of this kind, despotism stands a good chance.
[00:09:59.058 --> 00:10:05.044]  Nine most terrifying words in the English language are, I'm from the government and I'm here to help.
[00:10:05.064 --> 00:10:08.247]  Okay, Miss Hughes, well, we're gonna do everything we can to help you.
[00:10:10.229 --> 00:10:13.713]  Resistance to tyrants is obedience to God.
[00:10:14.333 --> 00:10:16.535]  It's The Alex Jones Show.
[00:10:16.996 --> 00:10:19.778]  Because there is a war on, for your mind.
[00:10:23.072 --> 00:10:28.894]  Ladies and gentlemen, we are seeing just amazing historical things happen every day now.
[00:10:30.354 --> 00:10:41.937]  The conspiratorial patriot, extreme right-wing view of the world is being documented to be the true state of the planet and how things operate.
[00:10:43.037 --> 00:10:46.758]  Now, I don't call it the extreme right-wing patriot movement.
[00:10:46.898 --> 00:10:48.759]  That's what the mainstream media calls it.
[00:10:50.151 --> 00:10:53.514]  We are a movement based in the United States, but allied across the world.
[00:10:53.814 --> 00:11:07.586]  There are patriots and pro-humans in parties in Africa, in parties in Asia, in parties in Europe, in parties in Central and South America, as well as North America and the Pacific Islands, right through to Australia.
[00:11:09.788 --> 00:11:10.749]  We study history.
[00:11:12.530 --> 00:11:14.472]  We study economics.
[00:11:16.206 --> 00:11:17.947]  We study empires.
[00:11:18.987 --> 00:11:20.628]  We study cartels.
[00:11:22.809 --> 00:11:23.650]  We are learned.
[00:11:25.210 --> 00:11:26.311]  We are informed.
[00:11:27.492 --> 00:11:28.672]  We are involved.
[00:11:29.533 --> 00:11:34.255]  We are empowered individuals, as the Pentagon calls us.
[00:11:35.295 --> 00:11:44.140]  And the Pentagon is tasked with going after its number one enemy, Jade Helm's own documents admitted, the empowered individual.
[00:11:45.270 --> 00:11:53.717]  Not a terrorist, not a criminal, but the empowered individual enlightened with a mind of renaissance.
[00:11:57.379 --> 00:12:09.729]  That individual will not fit in to this new robotic planetary dark age that the establishment is trying to foist upon us.
[00:12:12.073 --> 00:12:22.462]  But the spirit of liberty that beats in the human breast, the indomitable human spirit that refuses to submit, is beginning to rise.
[00:12:23.604 --> 00:12:35.975]  And just as the earth itself goes through birth pains, and just as tectonic activity rises to the highest level ever recorded, just as volcanoes begin to erupt,
[00:12:41.460 --> 00:12:42.661]  As above, so below.
[00:12:42.701 --> 00:12:44.262]  That's what the ancient alchemist said.
[00:12:45.583 --> 00:12:49.685]  And you're seeing that happen yet again in front of everyone.
[00:12:49.725 --> 00:12:51.186]  This is a great time of change.
[00:12:51.847 --> 00:12:54.769]  A lot of horrible things are going to happen in the next decade, obviously.
[00:12:55.569 --> 00:12:57.751]  But a lot of amazing things are going to happen as well.
[00:12:58.942 --> 00:13:02.745]  Humanity is entering its birthright of super-science.
[00:13:03.386 --> 00:13:09.190]  I use the 1900 term for comic book super-science, imaginary super-science.
[00:13:09.731 --> 00:13:17.857]  What was super-science a hundred years ago has been surpassed in almost every imagination of the mind of man.
[00:13:19.579 --> 00:13:20.600]  Quite a species!
[00:13:21.735 --> 00:13:23.435]  And that's why you've been told you're ugly.
[00:13:23.995 --> 00:13:25.616]  It's why you've been told you're a failure.
[00:13:26.156 --> 00:13:28.917]  It's why you've been told you're not beautiful and have no power.
[00:13:30.477 --> 00:13:37.598]  Because as Mahatma Gandhi said, in our heart, in each human, there is the seed of the universe.
[00:13:40.839 --> 00:13:43.080]  And that's what we're talking about here today.
[00:13:43.420 --> 00:13:49.381]  The globalists want to rob that seed, that potential of our destiny,
[00:13:50.871 --> 00:13:52.212]  And run for the hills with it.
[00:13:53.652 --> 00:13:58.054]  This is a mugging, a cosmic globalist mugging of our species.
[00:13:58.754 --> 00:14:00.735]  An attempt to harness our species.
[00:14:02.496 --> 00:14:03.276]  True slavery.
[00:14:04.977 --> 00:14:06.297]  Slavery to the next power.
[00:14:07.278 --> 00:14:08.558]  Slavery squared.
[00:14:10.719 --> 00:14:12.820]  Total control of reality.
[00:14:13.500 --> 00:14:14.661]  False paradigms.
[00:14:15.641 --> 00:14:16.882]  Programmed masses.
[00:14:20.134 --> 00:14:27.518]  Donald Trump, just a symbol of populism, a flawed one as all humans are, was able to have an election.
[00:14:27.758 --> 00:14:41.186]  The last five contests that the Republicans cancelled them and just gave all the votes to the anointed one, Ted Cruz, anointed by I guess our high priest, Glenn Beck, because he said so.
[00:14:42.495 --> 00:14:46.638]  He wears ironic sweaters to look non-threatening, so everything's fine when he creeps around.
[00:14:46.678 --> 00:14:47.518]  We must do what he says.
[00:14:47.978 --> 00:14:49.299]  Him and Count Chocula.
[00:14:49.319 --> 00:14:51.300]  I mean, excuse me, Ted Cruz.
[00:14:54.622 --> 00:15:01.927]  Trump actually got to have an election, and he dominated getting all the delegates in New York.
[00:15:04.414 --> 00:15:10.818]  Now, of course, Hillary was behind the polls in New York, but Bernie Sanders magically lost.
[00:15:10.878 --> 00:15:13.019]  And, of course, when he wins states, she gets the delegates.
[00:15:13.659 --> 00:15:24.966]  That's why Cruz just started having the Republicans cancel primaries all out, because if you have them and then give the delegates when Trump wins in Tennessee, Arizona, Louisiana, and a bunch of other states, it's a little bit embarrassing.
[00:15:24.986 --> 00:15:26.286]  You know, like in Wyoming was another one.
[00:15:28.868 --> 00:15:30.709]  So you just cancel things outright, like
[00:15:32.930 --> 00:15:34.350]  Like Colorado and now other states.
[00:15:34.410 --> 00:15:41.732]  And the problem is, is that they're not, they can't get the Republicans and the party machines in states like Pennsylvania and New York.
[00:15:42.652 --> 00:15:47.353]  They're just not agreeing to say there was never voters, they didn't exist and you're a kook if you say it.
[00:15:48.553 --> 00:15:52.494]  I saw this talking point starting three weeks ago and I played a lot of clips of it, made a big deal out of it.
[00:15:53.254 --> 00:15:59.976]  Because Cruz would go on national television and radio and say, the Texas Senator,
[00:16:02.742 --> 00:16:06.505]  I mean, I gotta say, at the Carpetbagging Center, I now do not accept Ted Cruz as a Texan.
[00:16:06.785 --> 00:16:07.406]  He's not from here.
[00:16:07.446 --> 00:16:08.247]  Nothing against Canadians.
[00:16:08.267 --> 00:16:08.967]  You got a great country.
[00:16:09.408 --> 00:16:14.492]  But, you know, just please, man, stop with the cowboy hats and the boots and making us all look bad, okay?
[00:16:15.993 --> 00:16:16.714]  I mean, seriously.
[00:16:18.515 --> 00:16:23.559]  I mean, you hand that guy a lariat, he'd think it was for hanging the Constitution by the neck until dead.
[00:16:23.579 --> 00:16:24.420]  He wouldn't know what to do with it.
[00:16:26.282 --> 00:16:28.684]  So there was a paradigm shift when Sean Hannity
[00:16:29.548 --> 00:16:30.971]  I've been a critic of him over the years.
[00:16:31.471 --> 00:16:32.473]  At least he's pro-gun and stuff.
[00:16:32.493 --> 00:16:33.555]  I'm not an enemy with him.
[00:16:33.575 --> 00:16:37.421]  I don't think he's duplicitous and sneaky like Glenn Beck.
[00:16:39.554 --> 00:16:40.995]  And I don't like to bash these people.
[00:16:41.615 --> 00:16:42.776]  I'm not in competition with them.
[00:16:43.537 --> 00:16:44.617]  I'm changing the narrative.
[00:16:44.757 --> 00:16:45.818]  I'm changing the talking points.
[00:16:46.118 --> 00:16:47.879]  They follow us, and that's a fact.
[00:16:48.339 --> 00:17:04.890]  We influence them and take their fake conservatism and bring it into true constitutional libertarianism because we educate the public to where they're forced to follow or become passé, become obsolete, become redundant, become vestigial, become ceremonial.
[00:17:06.769 --> 00:17:11.752]  Become empty if they don't follow because the truth is unstoppable.
[00:17:11.792 --> 00:17:15.394]  But to his credit, Hannity really got it.
[00:17:15.414 --> 00:17:16.595]  I'm going to play the clip coming up.
[00:17:17.255 --> 00:17:17.735]  Cruz is on.
[00:17:17.775 --> 00:17:19.697]  He goes, listen, man, you've been on my show more than anybody.
[00:17:20.297 --> 00:17:24.119]  And you keep playing this mind game where you talk about landslides in these terms.
[00:17:24.499 --> 00:17:26.000]  You've been canceling elections.
[00:17:26.961 --> 00:17:27.881]  And don't give me this.
[00:17:27.961 --> 00:17:28.942]  Nothing's going on.
[00:17:28.962 --> 00:17:30.403]  And voters aren't upset.
[00:17:30.463 --> 00:17:31.904]  My audience is really upset.
[00:17:32.910 --> 00:17:34.271]  We're gonna play the clip, but that's a paraphrase.
[00:17:34.911 --> 00:17:40.373]  And Cruz just keeps going, no, I want a landslide, I won, he's a sore loser, only Trump.
[00:17:40.473 --> 00:17:42.354]  I mean, it's just amazing.
[00:17:43.014 --> 00:17:49.516]  And to finally see Hannity go, Hannity goes, stop it, stop it, stop it, stop it.
[00:17:50.296 --> 00:18:02.021]  Because when someone's looking at you, insulting you, it's like if you're standing there at high noon outside and the sky's blue, and somebody goes, no, it's not, it's black, or it's purple.
[00:18:03.015 --> 00:18:06.137]  And you're like, no, it's an azure blue sky.
[00:18:06.457 --> 00:18:06.917]  Heavenly.
[00:18:08.418 --> 00:18:10.199]  And they look at it and they go, I say it's not.
[00:18:10.579 --> 00:18:31.591]  There comes a point where no matter how big your red carpet is, or how fancy your tuxedo is, or how slick you can talk, people just go, hey, the sky's blue, two plus two equals four, Obamacare's a ripoff, you are coming after our guns, the country's run by foreign banks, the Chinese communists lecture us and own our debt and tell us what to do, along with the Saudi Arabians who run slave brothels?
[00:18:32.739 --> 00:18:36.902]  They're lecturing us on human rights and they run the UN Human Rights Commission?
[00:18:37.362 --> 00:18:42.606]  Man, this is funnier than George Carlin, if it wasn't so serious!
[00:18:46.868 --> 00:18:55.954]  So, look, the world is going to decide that 2 plus 2 equals 4, or it's not, as Eric Blair, aka George Orwell, wrote in 1948, when he published 1984.
[00:19:00.592 --> 00:19:23.869]  What he believed it would be like if the socialists took over, they would destroy language, turn everything on its head, call tyranny love, create social justice warrior networks of young trendies running around, denouncing everyone, to have them drug off to re-education centers, because he'd worked for the British Secret Police, he'd been in MI6 and OSS, and he'd worked for the communists as well, as a commander in the Spanish Civil War fighting the Nazis.
[00:19:25.259 --> 00:19:30.602]  He wrote essay after essay, non-fiction, about how he figured out the communists were as bad as the Nazis.
[00:19:32.023 --> 00:19:38.247]  And how they didn't want to set up a nice world, they wanted to rape your wife and have you starve to death when they sat up in a castle.
[00:19:41.149 --> 00:19:43.330]  They want to stomp on your face because they like it.
[00:19:45.032 --> 00:19:47.293]  You ask, why does a pedophile want to grab your kid out of their backyard?
[00:19:47.393 --> 00:19:48.074]  It's horrible.
[00:19:48.274 --> 00:19:50.015]  Because you're not like them.
[00:19:52.523 --> 00:19:54.405]  You're attracted to a wonder woman.
[00:19:54.906 --> 00:19:55.566]  Who wouldn't be?
[00:19:56.147 --> 00:20:02.173]  Powerful, beautiful, creature made of God, reproductive, the feminine energy.
[00:20:02.193 --> 00:20:03.494]  That's what a real man's attracted to.
[00:20:03.675 --> 00:20:04.415]  Not these people.
[00:20:04.916 --> 00:20:07.919]  They want to grab your five-year-old out of the backyard and torture him to death.
[00:20:08.299 --> 00:20:08.640]  Okay?
[00:20:08.840 --> 00:20:09.561]  That's who they are.
[00:20:20.788 --> 00:20:46.086]  There was a mighty nation Blessed above all of creation It was a rare and precious pearl Conceived in faith and liberty Home of the brave, land of the free It was the envy of the world But this shining city on the hill Has turned from the Creator's will And let evil take control
[00:20:48.769 --> 00:20:55.596]  Now the reckless men who lead them Want to strip away their freedom And to steal their very souls
[00:20:58.126 --> 00:21:00.548]  Now it's smoke and mirrors, switching bait.
[00:21:01.008 --> 00:21:05.010]  Criticize and confiscate and let the guilty walk away.
[00:21:05.030 --> 00:21:07.392]  What difference at this point does it make?
[00:21:07.452 --> 00:21:14.436]  In this once righteous, godly nation, in the halls of education, they forbid a child to pray.
[00:21:14.616 --> 00:21:17.238]  Our society is moving towards Marxism.
[00:21:17.278 --> 00:21:19.659]  They say we need to spread the wealth.
[00:21:19.719 --> 00:21:23.722]  They pretend to guard the health of the feeble and the poor.
[00:21:23.742 --> 00:21:25.083]  You can keep productive.
[00:21:26.243 --> 00:21:33.228]  While the hand they hold behind their back confuses and conceals the fact that the proof is at the door.
[00:21:33.288 --> 00:21:39.411]  There's an unseen hand that pulls the string.
[00:21:40.972 --> 00:21:44.715]  It makes his little puppets dance to every song he sings.
[00:21:44.935 --> 00:21:49.377]  It's a knife holding on a rising tide.
[00:21:50.438 --> 00:21:51.879]  Look beyond the shadows.
[00:21:53.663 --> 00:21:56.805]  Behold a pale horse ride.
[00:21:56.965 --> 00:21:58.046]  Something's wrong.
[00:21:58.586 --> 00:21:59.126]  We all know.
[00:21:59.447 --> 00:22:02.188]  They claim to seek a new world order.
[00:22:02.248 --> 00:22:03.809]  Nations without borders.
[00:22:04.710 --> 00:22:08.192]  But don't believe the lie.
[00:22:08.272 --> 00:22:15.297]  Even in this wealthy nation, it can come down to starvation and the twinkling of an eye.
[00:22:18.315 --> 00:22:45.768]  They tell us there will soon be peace Our lives will be at endless speed But they lead us toward the dark In the distance sabers rattle And the army's trained for battle As the beast repairs his mark There's an unseen hand That pulls the string And makes his little puppets dance To any song he sings
[00:22:54.741 --> 00:22:58.106]  Behold the pale horizon!
[00:22:58.166 --> 00:23:01.051]  The nation has been hijacked by international forces.
[00:23:01.732 --> 00:23:04.857]  The Dark Side bent on global governance.
[00:23:11.354 --> 00:23:25.523]  My fellow InfoWarriors, I am very excited to be able to announce to you the introduction at InfoWarsLife.com of a new way to save time and money when you stock up on InfoWarsLife formulations like Survival Shield X2 and Super Metal Vitality.
[00:23:25.744 --> 00:23:35.230]  Just go to InfoWarsLife.com today, select your favorite product, click on Auto Ship before adding to cart, and choose how often you want us to send you another order.
[00:23:35.530 --> 00:23:44.316]  Every time you choose AutoShip at Infowarslife.com, you get 10% off and you won't have to worry about running out and having to reorder next time.
[00:23:44.557 --> 00:23:46.978]  And of course, you can cancel with one click anytime.
[00:23:47.379 --> 00:23:50.881]  As you know, I'm all about the idea of a 360 win.
[00:23:51.081 --> 00:23:55.204]  And the new AutoShip feature at Infowarslife.com is a sure win for everybody.
[00:23:55.444 --> 00:23:56.305]  A win for liberty.
[00:23:56.525 --> 00:23:59.150]  A win for health and a win when it comes to big savings.
[00:23:59.450 --> 00:24:05.581]  Visit InfoWarsLife.com today and save 10% on your next InfoWarsLife order by selecting AutoShip at checkout.
[00:24:05.721 --> 00:24:07.744]  That's InfoWarsLife.com or call 888-253-3139.
[00:24:21.387 --> 00:24:27.670]  I'm looking at InfoWars.com right now.
[00:24:27.690 --> 00:24:29.651]  I'm also looking at DrugsReport.com.
[00:24:29.691 --> 00:24:31.332]  If you're a TV viewer, I'm going to point to it.
[00:24:31.993 --> 00:24:35.975]  Saudi Arabia borrows $10 billion as oil slump.
[00:24:39.277 --> 00:24:40.557]  Drains reserves.
[00:24:41.378 --> 00:24:43.419]  They supposedly have all these trillions, but they've got to borrow money.
[00:24:44.189 --> 00:24:51.391]  Because they've got more than 10,000 princes worth hundreds of millions or billions apiece, depending on which one you talk about, in all their little palaces.
[00:24:52.631 --> 00:24:56.932]  You always hear about these people worth, you know, $100 million, these boxers, and a year later, they're bankrupt.
[00:24:57.692 --> 00:24:59.393]  A fool and his money will soon be parted.
[00:24:59.753 --> 00:25:03.454]  Fresh evidence links Saudi Arabian government to 9-11.
[00:25:03.834 --> 00:25:04.534]  Mainstream news.
[00:25:04.554 --> 00:25:05.714]  We're going to get to those articles.
[00:25:07.155 --> 00:25:07.775]  Again, paper.
[00:25:08.375 --> 00:25:08.995]  National poll.
[00:25:09.015 --> 00:25:10.475]  Only 6% trust media.
[00:25:11.916 --> 00:25:12.976]  But it should be less.
[00:25:14.448 --> 00:25:18.951]  And then Politico founder says the death of the clicks is here.
[00:25:18.971 --> 00:25:35.382]  Yeah, I called in my sales staff for radio ads and click ads four and a half years ago, and I said, listen, I'm going to let three of you go, and I'm going to keep two of you.
[00:25:37.293 --> 00:25:42.377]  And I said, uh, I'm doing this because people have been fighting me on sponsorship.
[00:25:42.617 --> 00:25:46.520]  And I said, I will only take stuff that I endorse that I absolutely know is the best.
[00:25:47.681 --> 00:25:53.425]  And I have to hear constantly about how, um, you know, this is a pretty good sponsor.
[00:25:57.388 --> 00:25:58.508]  And I said, let me explain something.
[00:26:01.170 --> 00:26:03.412]  You're going to see the death of the clickbait.
[00:26:05.060 --> 00:26:13.926]  Everything is going to be about viral videos and news and analysis and people and sources that the population trusts.
[00:26:15.087 --> 00:26:16.668]  So credibility is everything.
[00:26:17.388 --> 00:26:19.190]  Not just to be successful, but to who I am.
[00:26:20.100 --> 00:26:22.461]  Now, I'm not a total purist, because you can't be.
[00:26:22.761 --> 00:26:29.823]  I'm on radio stations across this country airing local ads and things that I can't tell you're perfect, and I can't speak for them, and I'm not judging anybody.
[00:26:30.123 --> 00:26:35.564]  The network, quite frankly, has some ads, things that I can't speak for, but that's their ads, that's fine.
