[00:00:23.038 --> 00:00:29.301]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:05:23.075 --> 00:05:26.217]  One of the worst things with most energy products is it's not sustainable.
[00:05:26.517 --> 00:05:26.637]  Right?
[00:05:26.657 --> 00:05:28.999]  You're gonna crash and gonna feel really bad afterwards.
[00:05:29.359 --> 00:05:32.862]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:05:32.922 --> 00:05:36.064]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:05:36.564 --> 00:05:41.367]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:05:41.908 --> 00:05:43.749]  For example, the L-theanine inside of it.
[00:05:44.089 --> 00:05:48.512]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:05:48.672 --> 00:05:50.694]  This just increases the compounds you already have.
[00:05:51.314 --> 00:05:52.775]  This is what you're actually designed to run on.
[00:05:52.915 --> 00:05:53.175]  Exactly.
[00:05:53.195 --> 00:05:57.041]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:05:57.482 --> 00:06:05.493]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:06:23.507 --> 00:06:24.227]  Big Brother.
[00:06:24.627 --> 00:06:25.847]  Mainstream media.
[00:06:26.428 --> 00:06:27.428]  Government cover-ups.
[00:06:28.328 --> 00:06:29.768]  You want to stop tyranny?
[00:06:30.008 --> 00:06:31.149]  Well, so does he.
[00:06:31.669 --> 00:06:36.190]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:37.670 --> 00:06:41.791]  It is Sunday, the 22nd day of May, 2016.
[00:06:41.871 --> 00:06:43.031]  I'm Alex Jones, your host.
[00:06:50.145 --> 00:06:53.486]  We're gonna be here for the next few hours, as we are every Sunday, 4 to 6 p.m.
[00:06:53.526 --> 00:06:53.846]  Central.
[00:06:54.646 --> 00:06:58.927]  We broadcast on stations around the country we're very thankful for.
[00:06:59.748 --> 00:07:01.808]  It is my distinct honor to be here with you.
[00:07:03.969 --> 00:07:10.590]  It is my distinct honor in my own humble way to put on the best defense I can of species I love.
[00:07:12.391 --> 00:07:16.632]  Species that I am just one example of.
[00:07:17.774 --> 00:07:25.362]  All of us share this great honor of the experience that our species has gone through and the shared knowledge.
[00:07:26.423 --> 00:07:37.235]  We're being robbed of our birthright right now, but I want the globalist social engineers to understand that they will be betrayed.
[00:07:39.039 --> 00:07:48.827]  And that they will not be the transcendent superhumans they claim they'll be by robbing humanity of its birthright and trying to dumb down the whole of the population, cut off the resources, and stop human expansion.
[00:07:51.129 --> 00:08:01.637]  A truly enlightened elite would not keep the general public in the dark, and would not try to reduce the general population to that of servile, brain-damaged slaves.
[00:08:04.680 --> 00:08:06.802]  There's a lot I want to cover today, obviously,
[00:08:09.738 --> 00:08:25.341]  But the first thing I want to do is just take a case point example as best I can that is a key to open a door to understand how our civilization has been controlled.
[00:08:29.602 --> 00:08:38.264]  There is false opposition in this country and every other major nation that is controlled by the three different power syndicates.
[00:08:44.326 --> 00:08:57.396]  And what happens immediately when opposition rises to this larger global plan, power brokers from the Chinese complex, the Russian complex, or the Anglo-American complex that is the dominant complex.
[00:08:57.676 --> 00:08:59.898]  It's got about 80% of the power right now, it's about to take out the others.
[00:08:59.918 --> 00:09:04.041]  Because it's the most ruthless and fourth dimensional in warfare.
[00:09:07.810 --> 00:09:15.993]  They go and they basically intimidate, they buy off, they infiltrate, they scare, they death-threat people until they join them.
[00:09:16.253 --> 00:09:32.118]  But in many cases, they take social climbers who they know can be puppets, marionettes, and they put them forward to lead the opposition so the opposition can be hamstrung and defeated.
[00:09:36.826 --> 00:09:44.728]  I want to be clear, when I criticize Glenn Beck here on air, it is not because he's a popular talk show host that has made hundreds of millions of dollars.
[00:09:45.608 --> 00:09:46.828]  It's not because of his success.
[00:09:49.228 --> 00:10:00.551]  I criticize him because he obviously knows the truth of what's going on and has covered a lot of issues and done some good, but then only to have control of the opposition to betray it at critical junctures.
[00:10:03.911 --> 00:10:06.012]  And Glenn Beck at some point may have been a good person,
[00:10:07.037 --> 00:10:13.622]  I can't judge him, only God can do that, but he is a perfect case point example of what we don't want to be.
[00:10:15.343 --> 00:10:29.773]  And folks asked me a few weeks ago, Drudge linked to it, a bunch of newspapers linked to it, it got millions and millions of views, just a clip from the show where I talked about Glenn Beck being the modern Benedict Arnold, what he was doing with Ted Cruz, and saying folks are going to hell if you don't vote for Ted Cruz.
[00:10:33.396 --> 00:10:33.856]  I said,
[00:10:36.718 --> 00:10:41.242]  You know, a lot of things need to be said there, but people ask why I actually started crying.
[00:10:42.663 --> 00:10:48.007]  And not sobbing on air, I uncontrollably had tears running down my face.
[00:10:50.970 --> 00:11:02.619]  Because when you see a Judas Iscariot tarot card, an archetype, when you actually see Judas Iscariot in the modern world, a true Benedict Arnold,
[00:11:06.249 --> 00:11:09.791]  And just the spirit of deception and true manifest evil.
[00:11:11.232 --> 00:11:11.952]  It's very painful.
[00:11:17.436 --> 00:11:22.158]  And when I talk about Glenn Beck, I talk about him because he is a very evil person.
[00:11:22.999 --> 00:11:23.599]  Very evil.
[00:11:26.801 --> 00:11:29.863]  And now you see him destroying himself, his so-called empire collapsing.
[00:11:33.025 --> 00:11:35.166]  As he grasps a hold of the power structure,
[00:11:36.932 --> 00:11:45.299]  And says, oh, I've got the person from American Idol coming to work for me and the guy that did Oreo cookies and is burrowing himself deeper and then going to this Zuckerberg meeting.
[00:11:46.700 --> 00:11:55.387]  When Zuckerberg is an admitted CIA front guy for a giant data tracking control grid that put Obama into office.
[00:11:55.427 --> 00:11:59.150]  I'm going to show you the news articles here in our Facebook file here in a moment if you're a TV viewer.
[00:11:59.450 --> 00:12:00.551]  I'll read them for radio listeners.
[00:12:01.792 --> 00:12:05.095]  That is admittedly the number one contributor to Hillary Clinton.
[00:12:06.260 --> 00:12:12.026]  And this guy's putting statements out like they're good liberals over at Facebook, not progressives.
[00:12:14.389 --> 00:12:20.935]  I mean, now he's telling you that Zuckerberg is good so that he'll get promoted on Facebook that's like a third of the Internet now.
[00:12:21.696 --> 00:12:24.740]  You got Google hanging out at the White House, basically running things.
[00:12:25.340 --> 00:12:27.603]  It can predict the future now in mass movements.
[00:12:28.783 --> 00:12:31.185]  No, one of the politicians are arrogant and out of control.
[00:12:31.365 --> 00:12:36.128]  And you've got this guy fawning at their feet, and still a lot of people can't see it.
[00:12:36.529 --> 00:12:37.589]  So it's bigger than Glenn Beck.
[00:12:37.629 --> 00:12:38.790]  I want to make that clear.
[00:12:41.632 --> 00:12:45.895]  Glenn Beck is just a symbol of deception.
[00:12:46.115 --> 00:12:58.084]  Because it's one thing if you're a Rachel Maddow, or it's one thing if you're Hillary Clinton, working for the globalists, openly selling evil, breaking up the family, destroying our sovereignty, coming after our right to self-defense, attacking manhood.
[00:12:59.974 --> 00:13:05.399]  Trying to sexualize children, all the wicked things they do to create a bunch of zombies, a bunch of slaves.
[00:13:06.681 --> 00:13:07.982]  These are spiritual slave masters.
[00:13:08.322 --> 00:13:11.466]  They trade them in souls, as Revelation talks about.
[00:13:12.727 --> 00:13:18.573]  But to see someone go into that position, be made the quote leader of the liberty movement by the media,
[00:13:19.952 --> 00:13:27.378]  And then to watch them creep around and betray everybody at every chance and to see the wolf-like stalking.
[00:13:27.438 --> 00:13:36.685]  I mean, it's just flagrant naked Judas Iscariot.
[00:13:38.947 --> 00:13:42.430]  And then, I knew when he was going to meet Zuckerberg a week ago, I said, watch.
[00:13:43.905 --> 00:13:45.706]  He's gonna come out and say there's no censorship.
[00:13:45.926 --> 00:13:47.726]  There are a lot of right-wing groups that need to be controlled.
[00:13:48.026 --> 00:13:52.388]  There are wonderful people over at Facebook, and sure enough, sure enough, that's what he did.
[00:13:52.408 --> 00:14:01.491]  You know, first Tucker Carlson was in the meeting, and he came out and said, you know, Glenn Beck was groveling, wanted to be a manservant of Zuckerberg, totally just auditioning and groveling.
[00:14:03.752 --> 00:14:06.933]  Others refused to go that were asked to go, because obviously it's just to be a prop.
[00:14:08.213 --> 00:14:09.834]  But see, Beck can't even see that.
[00:14:11.516 --> 00:14:20.661]  And so, like a rat leaving a sinking ship, he's scurrying into the arms of Zuckerberg, who just is the very vision of a vampire.
[00:14:21.361 --> 00:14:22.281]  We can put a photo of him up.
[00:14:22.301 --> 00:14:24.883]  I mean, not just the giant canine teeth, the psycho eyes.
[00:14:25.103 --> 00:14:30.806]  You can look at him and see an evil that may rival Beck's.
[00:14:32.406 --> 00:14:32.987]  Look at Hillary.
[00:14:33.027 --> 00:14:34.928]  These are monsters.
[00:14:38.160 --> 00:14:39.961]  Zuckerberg that calls his users dumb efforts.
[00:14:40.001 --> 00:14:50.729]  Zuckerberg that meets with the Communist Chinese and helps them censor and they help him censor in his meeting with the White House and now rolling out the idea with the media going, it's okay for them to censor, it's their platform, good, censor people.
[00:14:51.330 --> 00:14:57.274]  And their own employees come out and say, no, we censor election information, veterans information, anything.
[00:14:57.834 --> 00:14:58.675]  It's totally controlled.
[00:14:58.715 --> 00:15:00.276]  We censor people's individual pages.
[00:15:00.556 --> 00:15:06.641]  Well, that's already been known, but now there's a Senate investigation and it all turns into Beck going and saying, no, conservatives,
[00:15:07.321 --> 00:15:08.722]  There's not censorship happening.
[00:15:09.122 --> 00:15:10.022]  Everything's fine.
[00:15:10.442 --> 00:15:11.743]  Zuckerberg's a good liberal.
[00:15:12.003 --> 00:15:13.404]  They're good people at Facebook.
[00:15:15.405 --> 00:15:17.886]  Former Facebook workers, we routinely suppress conservative news.
[00:15:19.206 --> 00:15:20.567]  Folks, it's beyond conservative news.
[00:15:20.627 --> 00:15:21.247]  It's gardening.
[00:15:21.287 --> 00:15:22.288]  It's organic news.
[00:15:22.488 --> 00:15:23.928]  It's non-GMO news.
[00:15:24.008 --> 00:15:25.309]  It's anything pro-human.
[00:15:26.830 --> 00:15:30.771]  They just say, oh, it's conservative, so liberals go, oh, good, censor that, but next it's everything.
[00:15:32.192 --> 00:15:34.093]  And this is how they roll it out in this country.
[00:15:35.374 --> 00:15:36.214]  This is how they do it.
[00:15:37.890 --> 00:15:44.575]  And I've got a clip of this coming up, but just, you need to understand when you see this, what this is.
[00:15:46.656 --> 00:15:48.398]  They're openly announcing world government.
[00:15:49.559 --> 00:15:51.620]  They're bringing in a global cashless society.
[00:15:52.201 --> 00:15:53.521]  They're cutting off the resources.
[00:15:53.561 --> 00:15:56.824]  They're doing everything they said they would in their white papers, written 30, 40 years ago.
[00:15:57.444 --> 00:15:58.225]  And they're doing it.
[00:15:59.386 --> 00:16:04.890]  And the point is, where we're going is a place like hell on earth.
[00:16:05.984 --> 00:16:07.925]  The globalists have bad intents for everybody.
[00:16:09.446 --> 00:16:12.789]  There is an attack on the human institution of family.
[00:16:13.529 --> 00:16:17.132]  And if you want to take down the nuclear family, you attack males.
[00:16:17.992 --> 00:16:21.795]  Males are the defender of the human tribe.
[00:16:22.355 --> 00:16:27.099]  When men fall, the rest of humanity can be completely enslaved.
[00:16:27.879 --> 00:16:31.561]  The attack on the family is in movies, sitcoms, dramas.
[00:16:31.841 --> 00:16:33.362]  This isn't to empower women.
[00:16:33.842 --> 00:16:35.363]  This is to wreck civilization.
[00:16:35.603 --> 00:16:41.306]  For too long, we have been allowing the globalist controllers to launch a full-scale chemical war on our masculinity.
[00:16:41.506 --> 00:16:42.587]  You've seen the headlines.
[00:16:42.627 --> 00:16:48.210]  The estrogen mimickers and the gender-bending compounds and the food and water supply are changing the way our bodies work.
[00:16:48.370 --> 00:16:52.072]  And men are the number one target of this program.
[00:16:52.392 --> 00:16:58.555]  With the estrogen mimickers in the plastics, in the printer paper, and in thousands of other items, it's on record.
[00:16:58.855 --> 00:17:05.257]  Our testosterone level, many times from the time we hit 40, is 80% lower than it should be or more.
[00:17:05.457 --> 00:17:13.000]  Our sperm counts, depending on which western country you look at, are 80 to almost 96% reduced.
[00:17:13.581 --> 00:17:16.662]  Fertility is plummeting through the floor.
[00:17:17.282 --> 00:17:20.864]  Now, it's impossible, even if you're a health nut, to avoid all of this.
[00:17:21.664 --> 00:17:28.208]  But for myself personally, what I've experienced with the products at Infowarslife.com has been simply amazing.
[00:17:29.089 --> 00:17:32.371]  Supermail Vitality has changed my life in the last three years.
[00:17:32.691 --> 00:17:38.894]  That's why we wanted to develop something that works in conjunction with Supermail to take it to the next level.
[00:17:39.355 --> 00:17:40.836]  It's only been out for about six months.
[00:17:41.676 --> 00:17:50.479]  It sold out so quickly in its first run, and now it is back after months of not being available, Anthroplex.
[00:17:51.279 --> 00:17:57.381]  The reason we sell out when other big vitamin and mineral and nutraceutical makers don't,
[00:17:58.121 --> 00:18:04.142]  Is because we only source the purest, cleanest, high-quality, organic products.
[00:18:04.222 --> 00:18:14.024]  And it's really hard when you've got a formulation that's got a bunch of really great ingredients in it to get them and to always have them be perfectly clean and to be able to pass some of the highest standards in the world.
[00:18:14.344 --> 00:18:25.186]  When you go to Infowarslife.com, you can see that for yourself and find out why Anthroplex, taken by itself or in conjunction with Super Male Vitality, is such a game-changer.
[00:18:25.506 --> 00:18:26.746]  This is the next level.
[00:18:27.706 --> 00:18:31.668]  And I'm so proud that we were able to bring a product like this to you.
[00:18:32.349 --> 00:18:34.950]  This is how men were supposed to feel.
[00:18:35.270 --> 00:18:39.673]  Quite frankly, I remember what it felt like to be 18 or 19 or 20.
[00:18:40.233 --> 00:18:44.796]  To be crazed, to be aggressive, to feel just exhilaration.
[00:18:45.676 --> 00:18:55.058]  And it's the Super Mel Vitality and the AnthroPlex with exercise and a better diet that have taken me back to where I was and quite frankly beyond.
[00:18:55.498 --> 00:18:56.158]  It's amazing.
[00:18:56.358 --> 00:19:00.199]  And AnthroPlex is now back in stock at Infowarslife.com.
[00:19:00.539 --> 00:19:06.060]  Men, do yourself a favor and get a bottle of AnthroPlex today and see what I'm talking about.
[00:19:06.560 --> 00:19:14.301]  All of our products at Infowarslife.com are recognized as safe and they are made in FDA certified labs.
[00:19:14.801 --> 00:19:20.763]  The media tries to demonize supplements because, quite frankly, Mother Nature's got a lot to offer that Big Pharma doesn't.
[00:19:21.384 --> 00:19:25.945]  But there are some bad companies out there and there are some substances that Mother Nature produces that aren't good for you.
[00:19:26.646 --> 00:19:35.049]  That's why everything we put in these products is recognized as safe and produced at the highest level, highest quality FDA certified labs.
[00:19:35.529 --> 00:19:43.678]  Talk to your physician or healthcare provider before you take Anthraplex or any of the products at InfoWarsLife.com like X2.
[00:19:44.198 --> 00:19:46.280]  Because this stuff's real.
[00:19:46.661 --> 00:19:49.944]  Just one of the ingredients in Anthraplex is horny goat weed.
[00:19:50.225 --> 00:19:55.991]  In Chinese traditional medicine, it is recognized as one of the most powerful male stimulants.
[00:19:56.471 --> 00:19:59.194]  Not just of libido, but overall vitality.
[00:19:59.575 --> 00:20:06.002]  We put together a classic formula, souped up with the highest quality at a very low price.
[00:20:06.483 --> 00:20:08.966]  Available at Infowarslife.com today.
[00:20:13.691 --> 00:20:16.295]  You're listening to the Alex Jones Show.
[00:20:25.376 --> 00:20:30.097]  Fear is the passion of slaves, and this man knows no fear.
[00:20:31.897 --> 00:20:33.918]  He is Alex Jones.
[00:20:34.558 --> 00:20:37.919]  Well, that's a very nice line or somebody wrote.
[00:20:37.939 --> 00:20:41.179]  I think they're puffing me up a little bit too much.
[00:20:41.219 --> 00:20:43.060]  Ha ha, I know fear.
[00:20:44.160 --> 00:20:50.541]  The fear of letting these evil people take over and completely win and dominate the human spirit that struggles so hard to bring us to where we're at right now.
[00:20:50.561 --> 00:20:52.982]  With the light of God shining right through us.
[00:20:57.784 --> 00:21:02.287]  You know, I feel sorry for evil people if they weren't so dangerous because they are just so shut off from the truth.
[00:21:03.428 --> 00:21:04.208]  They have no idea.
[00:21:04.228 --> 00:21:07.190]  The real power waiting for them.
[00:21:08.591 --> 00:21:12.173]  When they become believers in humanity.
[00:21:16.067 --> 00:21:32.379]  This whole political system claims it's going to empower you, but every metric, every measurement, every statistic shows humanity is disintegrating into ignorance, into deformity, into stupid, backwards, petty, divide and conquer trash.
[00:21:36.732 --> 00:21:38.193]  There is a lot of news I'm going to get to.
[00:21:38.233 --> 00:21:43.155]  Joel Skousen, who's a great sage when it comes to geopolitics and what's happening, will be joining us in the second hour.
[00:21:43.175 --> 00:21:46.416]  We'll open the phones up in the last 30 minutes, the transmission as well.
[00:21:46.496 --> 00:21:48.697]  But here's what I want to get at.
[00:21:48.977 --> 00:21:50.498]  I've talked a lot about this the last two months.
[00:21:50.698 --> 00:22:00.262]  The Associated Press had a big poll, scientific poll, and found that 6% of the American people, it was 20-something thousand they interviewed, trusted mainstream media.
[00:22:01.803 --> 00:22:05.745]  And parallel university studies show that around 70% of people trust the Internet.
[00:22:06.556 --> 00:22:18.162]  And by that, they don't trust everything they see, but they trust the general opinion of the public, or video the public shot, or random musings, or reviews, you know, of restaurants, whatever.
[00:22:18.522 --> 00:22:20.543]  Crowdsourcing, crowd judgment.
[00:22:22.004 --> 00:22:24.325]  They trust that a lot more than they trust mainstream media.
[00:22:24.445 --> 00:22:33.790]  So, when you see the incredible arrogance of the Pope saying, Europe shouldn't have Christian roots, Christianity isn't good, these are quotes,
[00:22:36.519 --> 00:22:38.620]  Jesus was like ISIS, remember that last week?
[00:22:38.680 --> 00:22:41.661]  And La Croix newspaper, big Catholic paper.
[00:22:41.681 --> 00:22:50.085]  When you see stuff like that, or you see Obama saying you didn't build your business, it's meant to be over the top to normalize crazy tyranny.
[00:22:50.846 --> 00:22:58.169]  That's a desperation tactic to get your normalcy bias so high that they can get away with anything.
[00:22:59.070 --> 00:23:01.551]  I mean, if they can get you to teach your five-year-olds
[00:23:03.072 --> 00:23:10.174]  What sex they should be, or they shouldn't be any sex, you let the school engage in pedophile training, that's what it is, then you'll put up with anything!
[00:23:10.634 --> 00:23:15.155]  If they can come and take your children's minds, they can do anything.
[00:23:17.396 --> 00:23:31.060]  So, the SEC has come out, as Drudge visited us last year and warned us, and called for censoring all political information and ideas on the internet, and taxing you, and not letting you actually have it.
[00:23:32.281 --> 00:23:34.383]  And they're arresting filmmakers and people across the country.
[00:23:34.664 --> 00:23:36.105]  They're indicting conservative governors.
[00:23:36.145 --> 00:23:36.786]  I mean, they're moving.
[00:23:37.507 --> 00:23:38.187]  Here's the Daily Beast.
[00:23:38.528 --> 00:23:40.410]  First came the drug sling, then the death threats.
[00:23:40.930 --> 00:23:45.355]  Oh, oh, she just... Ann Revelle was a relatively unknown government official.
[00:23:46.476 --> 00:23:47.557]  Not a servant, but an official.
[00:23:47.597 --> 00:23:49.980]  Until her words got featured on the drugs report.
[00:23:50.060 --> 00:23:54.865]  Soon, the trolls, see the bad people, were screaming at her to drop dead.
[00:23:56.331 --> 00:24:03.973]  In October 2014, the Federal Election Commission Vice Chairwoman, Ann Revell, did what she does best, speak her mind about political campaign issues.
[00:24:04.753 --> 00:24:13.955]  And she went on to say, we should register and restrict political talk, starting with the Drudge Report, and not allow it to even link to news articles.
[00:24:15.035 --> 00:24:16.116]  And it goes on to admit it there.
[00:24:17.816 --> 00:24:19.717]  Now, here it is.
[00:24:21.417 --> 00:24:25.678]  FEC dims would ban Drudge, New York Times, Free Media, on Election Eve.
[00:24:27.256 --> 00:24:32.419]  FEC Chair once warned that conservative media like Drudge Report and Sean Hannity face regulation.
[00:24:32.439 --> 00:24:32.639]  See?
[00:24:34.100 --> 00:24:45.006]  And they've done this before with the Fairness Doctrine on Talk Radio that finally got overturned by Bruce Fine, who was the head lawyer for the FEC, or the FCC at the time, was able to get that removed.
[00:24:46.727 --> 00:24:47.948]  But they want to bring this back.
[00:24:49.636 --> 00:24:57.020]  Because no matter how fancy their sets, no matter how much money they spend on MSNBC and CNN, their top shows have a half million viewers now.
[00:24:58.601 --> 00:25:02.563]  Big radio shows in New York City have more on one affiliate than that.
[00:25:03.884 --> 00:25:12.009]  We have rated, on our close to 200 affiliates, 470-something thousand people every 15 minutes.
[00:25:12.049 --> 00:25:13.109]  It was 300-something thousand.
[00:25:13.449 --> 00:25:16.491]  I mean, in the aggregate, every hour, there's over 800,000 people that are tuning in.
[00:25:18.922 --> 00:25:20.123]  That's on AM and FM stations.
[00:25:21.043 --> 00:25:23.885]  Five million YouTube views a day on our platforms.
[00:25:24.705 --> 00:25:26.686]  Millions a day on- I mean, I'm not gonna keep going here.
[00:25:26.926 --> 00:25:32.529]  Point is, these people are in their own world, and they want to keep you in their little fantasy land.
[00:25:33.810 --> 00:25:35.551]  But they know fantasy land's dead.
[00:25:35.831 --> 00:25:36.772]  They're leaving it up.
[00:25:37.668 --> 00:25:57.124]  As a facade, hoping and dreaming that if they can censor the internet and censor you and censor the news you spread, but also shut down the main capital ships, the mother ships, like DrudgeReport.com, Infowars.com, WorldNetDaily.com, DailyCaller.com, Breitbart.com.
[00:25:57.365 --> 00:25:58.686]  None of us are perfect and have all the answers.
[00:25:58.706 --> 00:26:01.228]  The point is, though, that's what they openly say they want to go after.
[00:26:03.942 --> 00:26:06.664]  If they can shut that down and then shut down grassroots, it's game over.
[00:26:06.784 --> 00:26:13.888]  And one of the frequent people that Paul Watson interviews, we're going to interview her, she's a conservative, anti-third-wave feminist in Canada.
[00:26:14.608 --> 00:26:19.291]  Facebook told her, she published it, we have an InfoWars.com article right now, she's coming on in a couple days.
[00:26:20.391 --> 00:26:21.452]  I'm going to cover this in a moment.
[00:26:22.292 --> 00:26:30.697]  And they told her, sorry, you're talking about Facebook censorship, it's a huge national story, hundreds of articles a day, we're not going to allow you to share that, you're suspended.
[00:26:31.297 --> 00:26:32.018]  What is it, for a week?
[00:26:34.423 --> 00:26:40.186]  Now we've been suspended on Facebook before for putting out a Navy SEAL meme about, you know, she didn't act and these SEALs died.
[00:26:41.647 --> 00:26:44.288]  Facebook bans conservatives for complaining about censorship.
[00:26:44.628 --> 00:26:49.410]  Social media giant back to its old ways despite much-heralded meeting with conservatives.
[00:26:50.851 --> 00:26:52.032]  They bring in Glenn Beck.
[00:26:52.072 --> 00:26:52.712]  They meet with him.
[00:26:52.752 --> 00:26:54.653]  He comes out and says, there's no censorship.
[00:26:54.673 --> 00:26:56.354]  These are quote, good liberals, not progressives.
[00:26:56.374 --> 00:26:56.934]  These are quotes.
[00:26:59.195 --> 00:27:02.297]  And everything's okay now as they have a Senate investigation of this.
[00:27:04.474 --> 00:27:06.816]  Zuckerberg meets with the Communist Chinese leadership.
[00:27:07.276 --> 00:27:12.180]  He's involved in the number one campaign money raiser right now for Hillary.
[00:27:12.761 --> 00:27:13.141]  Look it up.
[00:27:13.341 --> 00:27:14.122]  I have the articles right here.
[00:27:14.142 --> 00:27:16.964]  I'm going to go over them.
[00:27:16.984 --> 00:27:19.086]  And they're sitting there selling censorship.
[00:27:19.707 --> 00:27:22.669]  They tell you, have your Facebook, have your pictures, talk about your world views, whatever.
[00:27:22.949 --> 00:27:24.230]  Oh, you want to push carbon taxes?
[00:27:25.271 --> 00:27:28.314]  You want to push, you know, Heather has two mommies or whatever.
[00:27:28.354 --> 00:27:30.476]  You want to push whatever you want on little kids, that's fine.
[00:27:31.698 --> 00:27:34.159]  You want to push Black Lives Matter that says go out and kill the cops?
[00:27:34.179 --> 00:27:36.221]  I mean, that's what Facebook admits they give top billing to.
[00:27:36.661 --> 00:27:38.962]  See, it's not top news anymore that you look at.
