[00:00:11.499 --> 00:00:16.542]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:15:21.014 --> 00:15:34.517]  They have a skeleton audience compared to what they had, a shadow of a shadow, they are discredited, they have a 6% trust rate in scientific polls, and other information shows that AP poll is very, very accurate, common sense shows it.
[00:15:35.390 --> 00:15:44.687]  But still, when they cover topics, we're forced to respond, and we still kind of act like it's a big deal to be on CNN or something.
[00:15:45.067 --> 00:15:48.493]  Every day people say, I saw you on CNN, I saw you on Fox, I could care less.
[00:15:50.059 --> 00:15:52.682]  They're playing clips of this show on those shows every day.
[00:15:53.123 --> 00:15:58.028]  I don't even sit here and play clips of my own show now, 95% of the time.
[00:15:58.588 --> 00:16:00.030]  Because again, it's not about us.
[00:16:00.550 --> 00:16:09.840]  But when they're sitting there totally and absolutely deceiving people, we have to, because it's illustrative of how they operate and how they get their job done.
[00:16:12.139 --> 00:16:19.246]  Oh, shutting off all these big reservoirs in Northern California and Southern Oregon, it didn't cause anybody to go bankrupt.
[00:16:19.487 --> 00:16:20.588]  There's nothing happening.
[00:16:20.988 --> 00:16:24.592]  Why can you believe that Donald Trump said the moon was made of cheese yesterday?
[00:16:24.612 --> 00:16:26.914]  And where'd he get the disinfo from?
[00:16:29.397 --> 00:16:30.238]  Why the bad guy?
[00:16:31.038 --> 00:16:32.160]  The king of conspiracy.
[00:16:33.677 --> 00:16:52.831]  Who actually has been out to Northern California to talk to these farmers, and my reporters have been there many times just last year, and we've been all over the story, and had scientists on to talk about it, but none of that matters because CNN, MSNBC, Salon, and all those other groups, they came out and laughed at us and said it didn't exist.
[00:16:54.672 --> 00:16:55.933]  It didn't exist.
[00:16:56.734 --> 00:16:58.335]  Just like families never existed.
[00:17:00.503 --> 00:17:05.849]  Because next they're going to say that, not just that father and mother is bad, but that it never really even existed.
[00:17:07.111 --> 00:17:11.676]  They're already coming out and saying, you know, it was always really a village that raised the children, not a family.
[00:17:11.716 --> 00:17:16.041]  See, that's, which is true, but that was your other extended family.
[00:17:16.081 --> 00:17:16.862]  You could trust them.
[00:17:17.964 --> 00:17:20.906]  Then the state came in and said, it's not good to discipline your own children.
[00:17:21.166 --> 00:17:28.510]  Then they said, it's not good to have your neighbors watch them, and your kids can't be in their front yard or their backyard unattended, even when they're 11 or 12 years old, or we'll arrest you.
[00:17:28.550 --> 00:17:33.773]  See, they kill the village, they build artificial systems, and then they tell us the state is the village.
[00:17:35.173 --> 00:17:38.055]  And they take away our farms, and give us big factory farms.
[00:17:38.395 --> 00:17:43.258]  Everything is about total and complete control.
[00:17:44.821 --> 00:17:46.782]  All right, I've already digressed at the very start of the broadcast.
[00:17:46.802 --> 00:17:48.622]  Let me tell you what's coming up after the break.
[00:17:51.003 --> 00:17:51.343]  Look at this.
[00:17:51.503 --> 00:17:53.964]  Donald Trump uses Alex Jones as an actual news source.
[00:17:54.585 --> 00:17:54.945]  Ha ha!
[00:17:55.245 --> 00:17:56.685]  They are so scared of what we cover.
[00:17:56.705 --> 00:18:00.907]  They are so scared of how we read the defense bills, where they say they have re-education camps.
[00:18:00.927 --> 00:18:01.867]  They actually use that term.
[00:18:02.067 --> 00:18:04.208]  They are so freaked out that we know how government works.
[00:18:04.428 --> 00:18:07.309]  They're so freaked out we know about shadow government and COG.
[00:18:07.529 --> 00:18:11.191]  They're so freaked out we understand a larger battle plan and have read their white papers.
[00:18:11.351 --> 00:18:12.311]  They're so freaked out.
[00:18:17.748 --> 00:18:20.790]  Environmentalists caused California drought to protect this fish.
[00:18:21.031 --> 00:18:25.174]  Ah, California, the place where liberalism is wrecking real world havoc on people.
[00:18:25.414 --> 00:18:26.635]  And they make fun of this article.
[00:18:28.896 --> 00:18:29.477]  Think about that.
[00:18:30.137 --> 00:18:33.860]  It's well known that the high taxes are making people leave California.
[00:18:34.100 --> 00:18:36.482]  It's well known the regulations are making people leave California.
[00:18:36.782 --> 00:18:42.607]  It's well known California is in deep manure, with most of its counties and cities already bankrupt.
[00:18:43.851 --> 00:18:48.654]  Just like so many other cities and counties around the country and so many protectorates of this republic.
[00:18:50.595 --> 00:18:55.939]  Like the one out there straddling the Caribbean and the Atlantic Ocean that just went belly up a month ago.
[00:18:56.339 --> 00:18:56.900]  Puerto Rico.
[00:18:59.841 --> 00:19:00.662]  It's so incredible.
[00:19:05.452 --> 00:19:10.334]  There's one country out there that's doing well, and that's because it won't take any global funding or money and it's independent.
[00:19:10.834 --> 00:19:15.495]  And it's the eastern half of what was Hispaniola, Dominican Republic today.
[00:19:16.136 --> 00:19:23.218]  But again, I'm digressing into a topic I was going to get into a little bit later in the transmission.
[00:19:25.350 --> 00:19:27.531]  Obviously, we're going to get into all the latest Donald Trump news.
[00:19:27.711 --> 00:19:35.734]  Obviously, we have our reporters in Germany covering Bilderberg that kicks off in a couple days, but they've already been to migrant camps with explosive results.
[00:19:36.154 --> 00:19:38.614]  Migrant camp freaks out on reporters asking questions.
[00:19:38.675 --> 00:19:40.555]  Rob Dew for InfoWars.com.
[00:19:40.655 --> 00:19:43.536]  Also, medieval Trump wall found in Germany.
[00:19:43.856 --> 00:19:44.837]  Very powerful report.
[00:19:45.157 --> 00:19:46.657]  That's up on InfoWars.com.
[00:19:47.337 --> 00:19:47.978]  Also, another clip.
[00:19:47.998 --> 00:19:51.779]  Hillary Clinton says government has a right to regulate the Second Amendment.
[00:19:53.680 --> 00:19:54.881]  We're going to be covering all of that.
[00:19:55.301 --> 00:20:02.408]  We also have another article up on Infowars.com written by Paul Joseph Watson that's going viral via DrugsReport.com right now.
[00:20:03.449 --> 00:20:03.949]  Video!
[00:20:04.369 --> 00:20:09.073]  Obese woman starts trashing store after EBT card gets refused.
[00:20:10.635 --> 00:20:19.222]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech.
[00:20:20.203 --> 00:20:23.305]  ...enshrined here in our Republic as the First Amendment.
[00:20:24.006 --> 00:20:27.408]  It's the First Amendment to the Bill of Rights because it is the most important.
[00:20:27.428 --> 00:20:36.394]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice your own religion and not having a state-run or authorized system.
[00:20:36.554 --> 00:20:45.781]  We have seen Facebook, Google, Twitter, and other media platforms increasingly censor even mainline libertarian and conservative ideas.
[00:20:46.101 --> 00:20:57.647]  Ladies and gentlemen, Facebook, if it's able to successfully get away with censoring a wide spectrum of ideas that the establishment doesn't agree with, not just conservatives, will set a mega-massive precedent.
[00:20:58.168 --> 00:20:59.548]  Facebook's over a third of the internet.
[00:20:59.568 --> 00:21:00.349]  Speaking about that?
[00:21:00.849 --> 00:21:02.350]  Of the traffic and people visiting things.
[00:21:02.710 --> 00:21:03.310]  And then it's over.
[00:21:03.610 --> 00:21:07.913]  You think it's bad that communist China with a billion, 300 million people is censoring?
[00:21:08.753 --> 00:21:16.022]  Zuckerberg, who calls his users dumb F-ers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[00:21:16.122 --> 00:21:21.028]  He met with Merkel, and openly in a hot mic, said, don't worry, I'm going to start suppressing and censoring people.
[00:21:21.229 --> 00:21:25.674]  They report when someone criticizes open borders to the German government, and they come and arrest you.
[00:21:25.834 --> 00:21:26.655]  This is a global
[00:21:27.176 --> 00:21:27.616]  We're good.
[00:21:44.531 --> 00:21:45.071]  Most don't want.
[00:21:45.171 --> 00:21:47.292]  This is the ultimate threat to humanity.
[00:21:47.692 --> 00:21:49.853]  This is worse than what we saw in the Soviet Union.
[00:21:50.273 --> 00:21:54.055]  This is right out of Nazi Germany or right out of Maoist China.
[00:21:54.455 --> 00:21:55.796]  So we're fighting for free speech.
[00:21:56.136 --> 00:22:06.200]  When you spread the word about Infowars.com, our videos, our stories, our reports, and when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[00:22:06.340 --> 00:22:08.261]  We stand together or we hang separate.
[00:22:08.481 --> 00:22:13.323]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[00:22:13.743 --> 00:22:21.569]  Getting on as many third party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[00:22:22.070 --> 00:22:25.333]  But also, the experts I've talked to said, Alex, you missed the boat.
[00:22:25.373 --> 00:22:28.855]  You've been a pioneer in many ways, but you haven't promoted email.
[00:22:29.076 --> 00:22:31.037]  And I said, yeah, I don't ever really market on email.
[00:22:31.137 --> 00:22:32.959]  I just, I just, it's low tech.
[00:22:33.139 --> 00:22:35.461]  And they're like, no, no, no, that's what's going to be hard to censor.
[00:22:35.521 --> 00:22:42.146]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still
[00:22:43.127 --> 00:22:48.631]  To stop email and to stop that information being sent over networks, you name it.
[00:22:48.691 --> 00:23:02.341]  So, it's essential that everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo code sometimes, the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[00:23:02.641 --> 00:23:07.465]  I mean there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[00:23:07.785 --> 00:23:12.127]  You can send the email and the newsletter on with exclusive videos and articles many days.
[00:23:12.767 --> 00:23:13.728]  So that's another great reason.
[00:23:13.748 --> 00:23:20.051]  But overall, it's so that we have direct contact with fellow patriots out there around the world.
[00:23:20.571 --> 00:23:29.295]  And if they try to start shutting our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos
[00:23:29.975 --> 00:23:31.876]  That you can then send on to others.
[00:23:31.896 --> 00:23:51.804]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do, but really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[00:23:52.064 --> 00:23:53.145]  So please join
[00:23:54.025 --> 00:23:59.471]  Hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[00:23:59.811 --> 00:24:08.941]  And you can also spread the word about our free feeds and more podcasts, droid apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[00:24:19.568 --> 00:24:32.839]  Roger Stone did not tell me who the VP choice of Donald Trump is for Vice President.
[00:24:35.261 --> 00:24:39.945]  But he did concur with my prediction.
[00:24:42.438 --> 00:24:43.319]  Of who it will be.
[00:24:43.679 --> 00:24:45.520]  He said no one knows but Trump at this point.
[00:24:45.560 --> 00:24:53.825]  He's not gonna talk about private meetings that he's been in with the shortlist, hearing what Trump thinks, and Trump bouncing it off Stone and others.
[00:24:56.227 --> 00:25:08.034]  And he doesn't want to talk bad about Corey Lewandowski, the embattled head of the campaign, who really is just a glorified trail manager right now.
[00:25:11.983 --> 00:25:17.304]  But when Lewandowski goes on television and says that he's heading up the vetting process, that is not the case.
[00:25:18.005 --> 00:25:26.407]  They brought in former top lawyers for Ronald Reagan who are doing the background checking and research on who Trump likes.
[00:25:27.067 --> 00:25:33.129]  So it's Donald Trump, and I came up with my own list of three people.
[00:25:34.241 --> 00:25:35.802]  And Stone, actually, his eyes got big.
[00:25:35.822 --> 00:25:36.322]  He gulped.
[00:25:36.543 --> 00:25:37.203]  I've got to know him good.
[00:25:37.243 --> 00:25:37.984]  He's such a character.
[00:25:38.264 --> 00:25:39.144]  I just like him as a person.
[00:25:39.985 --> 00:25:41.886]  And he just said, well, you said that on air.
[00:25:41.906 --> 00:25:42.727]  You didn't get that from me.
[00:25:42.747 --> 00:25:47.630]  And he visibly kind of turned a little bit red and was concerned that Trump would think he told me.
[00:25:47.950 --> 00:25:55.636]  So we've got an interview where he actually goes further than he ever has on who he thinks the shortlist is.
[00:25:56.036 --> 00:25:57.137]  That's going to air at 1.33 today.
[00:25:57.157 --> 00:25:57.937]  It's a 20 minute interview.
[00:26:01.260 --> 00:26:04.402]  And then that ends the hour or so, and then David Knight comes in.
[00:26:05.343 --> 00:26:06.363]  But that's coming up today.
[00:26:06.403 --> 00:26:09.806]  We have our reporters from the migrant camps there in Germany.
[00:26:09.826 --> 00:26:10.666]  They're just everywhere.
[00:26:11.487 --> 00:26:14.789]  And that the government's trying to keep the press from documenting.
[00:26:16.906 --> 00:26:18.306]  Good luck stopping drones.
[00:26:34.991 --> 00:26:41.203]  We've got Rob Duh and Josh Owens in Deutschland, what's left of it, for the next 10 days.
[00:26:41.323 --> 00:26:47.414]  Bilderberg kicks off on Thursday, they'll run right through Sunday, and then more migrant camps come back next week.
[00:26:48.413 --> 00:26:50.094]  I appreciate Rob Dues' wife.
[00:26:50.894 --> 00:26:54.276]  He's our news director making the sacrifice to let Rob be out on the road so much.
[00:26:54.336 --> 00:27:06.121]  He wants to do it, and I'm really good friends with Rob and his four children, and my children, but we vacation together some and hang out a lot, so he's a good friend, a great guy, and so is Josh Owens.
[00:27:06.241 --> 00:27:07.381]  It's just wonderful, all these people.
[00:27:07.421 --> 00:27:08.261]  I've gotten to know so well.
[00:27:08.281 --> 00:27:08.862]  They're my family.
[00:27:09.782 --> 00:27:12.505]  At the end of the day, but they're over there, so pray for them.
[00:27:12.826 --> 00:27:14.988]  By the way, I'm gonna come back and hit the news here in a moment.
[00:27:15.008 --> 00:27:15.769]  This is a short segment.
[00:27:16.770 --> 00:27:21.996]  It's not a story about Roger Stone so much as it's about life, because I'm gonna come back and briefly talk about Muhammad Ali.
[00:27:23.097 --> 00:27:25.960]  I was here on Saturday to tape three different segments.
