[00:00:01.593 --> 00:00:04.204]  You're listening to The Alex Jones Show!
[00:07:27.791 --> 00:07:36.733]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:07:37.213 --> 00:07:45.822]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:46.082 --> 00:07:53.009]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGerX herbal processing technique.
[00:07:53.169 --> 00:07:58.555]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price.
[00:07:58.835 --> 00:08:04.297]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:08:04.437 --> 00:08:05.838]  That's InfoWarsLife.com.
[00:08:05.978 --> 00:08:06.338]  Or call 888-253-3139.
[00:08:06.358 --> 00:08:08.539]  This transmission is certified to four on three.
[00:08:26.793 --> 00:08:31.034]  Ladies and gentlemen, we are broadcasting worldwide.
[00:08:56.514 --> 00:09:04.960]  On this Thursday, the 28th day of January 2016, really hard to believe that the first month of 2016 is almost bye-bye.
[00:09:05.900 --> 00:09:06.261]  Wow!
[00:09:06.441 --> 00:09:08.462]  Total information overload again.
[00:09:08.482 --> 00:09:10.744]  I pledge today to go over all this news.
[00:09:10.904 --> 00:09:13.365]  I will cover all 200 plus articles.
[00:09:13.826 --> 00:09:15.547]  I will get to all five guests.
[00:09:15.967 --> 00:09:18.429]  I will, I will, I will, or die trying.
[00:09:19.943 --> 00:09:27.485]  We have Harry Dent, who's predicted exactly what's happening with the economy with the last few years, with stunning precision, popping in for 30 minutes.
[00:09:27.845 --> 00:09:39.289]  David Knight and Joe Biggs from Oregon, where we've got one dead, another was grazed, and now Ayman Bundy has told the folks inside the Wildlife Refuge, please come out, please, you know, give up.
[00:09:40.269 --> 00:09:42.111]  And they're saying that they may not charge you.
[00:09:42.632 --> 00:09:47.717]  There's a seven-mile perimeter around it, and our crew is approaching that perimeter right now.
[00:09:47.757 --> 00:09:49.179]  They got in last night.
[00:09:49.439 --> 00:09:56.427]  They've now been driving out of the rural area from Portland since they got in last night, Joe Biggs and, of course, David Knight.
[00:09:57.288 --> 00:10:01.372]  Former Congressman Ron Paul is coming on about the huge
[00:10:02.493 --> 00:10:16.016]  Developments with the unprecedented authorization for military force that is a complete rewrite of the War Powers Act, transferring power from Congress to the presidency for 360 total war with boots on the ground anywhere in the world.
[00:10:16.656 --> 00:10:21.177]  No one has ever had a declaration like this, not even Julius Caesar or Adolf Hitler.
[00:10:21.917 --> 00:10:23.017]  It is wild.
[00:10:23.477 --> 00:10:25.078]  And folks go, well, it probably won't pass.
[00:10:25.718 --> 00:10:31.019]  It was written by the leader of the Senate and is sailing through right now.
[00:10:32.878 --> 00:10:33.899]  Just incredible.
[00:10:34.479 --> 00:10:36.840]  It doesn't mean actual martial law is coming.
[00:10:37.481 --> 00:10:39.782]  They're just putting it on paper to do whatever they want.
[00:10:39.822 --> 00:10:40.302]  It's crazy.
[00:10:40.722 --> 00:10:46.325]  By the way, the Pentagon just announced yesterday, last night, we're staying in Afghanistan another decade.
[00:10:47.366 --> 00:10:50.547]  They promised eight years ago they'd be out within two years.
[00:10:50.948 --> 00:10:52.308]  Then they promised another year.
[00:10:52.609 --> 00:10:54.189]  I mean, now they just say, no, we're not leaving.
[00:10:54.209 --> 00:10:56.851]  Oh, and by the way, we're going back into Iraq.
[00:10:57.131 --> 00:10:58.632]  And there's not even discussion of it.
[00:10:59.454 --> 00:11:03.038]  Because that's where all this is going as the nation goes bankrupt.
[00:11:04.679 --> 00:11:18.973]  And then Richard Reeves from Iowa, we got contacted by the Trump folks, they're so nice, and said, hey, we're doing this Wounded Warrior thing last night, and we were serious about trying to raise them millions of dollars, when Trump first said, hey, if I go on Fox,
[00:11:20.137 --> 00:11:26.919]  Or CNN, you guys ought to donate the extra money, because they admit instead of making 5, 10 million dollars on a debate, they might make 20 million dollars.
[00:11:26.939 --> 00:11:30.480]  Instead of 100,000 dollars a minute, they get upwards of a million dollars a minute.
[00:11:31.581 --> 00:11:35.222]  Fox is selling it for 700 plus thousand dollars a minute until Trump dropped out.
[00:11:35.942 --> 00:11:36.683]  Now it's gone down to like 150,000.
[00:11:38.322 --> 00:11:39.504]  Despite all the nationwide hype.
[00:11:40.084 --> 00:11:41.226]  And he says, I don't want any money.
[00:11:41.306 --> 00:11:42.227]  I want it to go to veterans.
[00:11:42.267 --> 00:11:47.434]  And the media lies and says, that dirty, greedy scoundrel, remember this a few months ago?
[00:11:47.834 --> 00:11:49.676]  He just wants the money for himself.
[00:11:49.796 --> 00:11:50.457]  He wants it.
[00:11:51.215 --> 00:11:53.336]  Until we played the full video here and others did.
[00:11:54.117 --> 00:11:55.878]  That's how they deceive.
[00:11:56.379 --> 00:11:57.579]  And so he's brought that up.
[00:11:57.619 --> 00:11:59.140]  He said, I don't like Megyn Kelly.
[00:11:59.180 --> 00:12:00.101]  She's disingenuous.
[00:12:00.581 --> 00:12:01.402]  She makes stuff up.
[00:12:01.442 --> 00:12:04.384]  They want to set me up and have everybody attack me in a rig deal.
[00:12:04.784 --> 00:12:13.530]  I'm going to go over here and I'm going to run a feed and we're going to raise money, forget advertising, directly for the veterans.
[00:12:13.570 --> 00:12:17.413]  And he's saying, CNN, you can carry it, but you better give money to the Wounded Warriors.
[00:12:20.273 --> 00:12:22.154]  And the media's calling it despicable.
[00:12:24.674 --> 00:12:32.356]  Talked to Mr. Stone this morning, one of the main advisors to Trump, and he is going to be on Fox News with Megyn Kelly tonight.
[00:12:32.676 --> 00:12:33.517]  He's in New York.
[00:12:33.817 --> 00:12:41.659]  We're working on, and we'll probably be able to get him on today, during the fourth hour of Anthony Gucciardi popping in and on our live coverage.
[00:12:42.810 --> 00:12:42.990]  That's
[00:13:05.580 --> 00:13:10.022]  Of course, covering it live from here in Austin, Texas with Richard Reeves in Iowa with our own feed.
[00:13:10.462 --> 00:13:16.725]  With the Trump folks inviting Richard over to run our own InfoWars feed out of there, knowing CNN will probably try to come over and stop us or something.
[00:13:16.745 --> 00:13:21.206]  But notice CNN says they're going to be taking Trump's feed and then commenting on it.
[00:13:21.807 --> 00:13:26.829]  Oh, what we do, taking CNN and Fox's feed and MSNBC's feed and commenting on it.
[00:13:27.429 --> 00:13:29.731]  See, we do our own feed and then they comment on us.
[00:13:30.191 --> 00:13:35.594]  This is what you talk about when you deal with the fall of the mainstream media.
[00:13:36.595 --> 00:13:39.517]  Because now, the debates aren't about them.
[00:13:39.557 --> 00:13:43.419]  It isn't about who they knight, who they king make, who they say the leader is.
[00:13:43.759 --> 00:13:46.921]  It's about who the people tune into and what the people think.
[00:13:47.602 --> 00:13:50.484]  So it's the democratization of the media.
[00:13:51.444 --> 00:13:52.285]  I'm a Republican.
[00:13:53.655 --> 00:13:58.981]  Not Republican Party, Republican when it comes to the Congressional system, our Federalist system.
[00:14:00.345 --> 00:14:01.506]  Our Americana system.
[00:14:01.526 --> 00:14:03.127]  We're a republic, not a democracy.
[00:14:03.548 --> 00:14:23.523]  But it is a representative, small-D democracy, in that there is democratization through the filter of separation of power, state and federal government, three levels of government per state and federal, for a separation of power system to try to stop centralized dictatorships from being formed.
[00:14:25.199 --> 00:14:26.440]  Well, it's the same thing with the media.
[00:14:26.460 --> 00:14:40.673]  We're now seeing the democratization of it, because the mainstream media stopped doing its job, got so openly deceptive, so openly arrogant, so openly imperialist, that the people have now turned against them big time.
[00:14:42.071 --> 00:14:46.274]  Obviously, I didn't cover the Megyn Kelly situation much the last few days.
[00:14:46.314 --> 00:14:49.616]  We talked about it some here, but maybe 5% of our coverage.
[00:14:49.636 --> 00:15:01.725]  Today, I'll be talking maybe 20% about it because it is really important through the lens of Fox and through the lens of what Trump's doing, you see the disintegration of the mainstream media stranglehold.
[00:15:02.935 --> 00:15:17.106]  So it's very, very informative to look at what's happening and to look at technological developments that we have now to be able to challenge the dinosaur media, even if they have 50 times, 100 times the funding that we have.
[00:15:17.906 --> 00:15:24.712]  I can just turn on an iPhone, shoot a video live to YouTube or Facebook, and the average video gets around a million views.
[00:15:25.672 --> 00:15:31.437]  10 o'clock at night on a Saturday, 7 o'clock in the morning on a Sunday, 3 o'clock in the afternoon on a Sunday.
[00:15:33.067 --> 00:15:35.829]  Dominating, dominating, dominating.
[00:15:36.029 --> 00:15:54.843]  You know how much it freaks out Fox News and CNN that they've got to spend massive amounts of money in advertising and propaganda and decades of investment and talking heads and screenwriters and teleprompters and just, you know, 400, 500 million dollar a year budgets and they can't
[00:15:54.983 --> 00:15:56.024]  We're good to go.
[00:16:08.626 --> 00:16:11.927]  But they still have big audiences when it comes to a debate.
[00:16:12.087 --> 00:16:14.447]  And to see Trump say, you know what?
[00:16:14.588 --> 00:16:15.548]  I'm going to do my own thing.
[00:16:16.208 --> 00:16:27.111]  And I bet you if you add up the YouTube, the live streams, the Ustreams, Trump's own feeds, CNN picking it up, everyone else covering what's happening, that people aren't going to be able to stand it.
[00:16:27.151 --> 00:16:30.191]  They're not going to watch the Fox debate.
[00:16:31.132 --> 00:16:31.752]  I predict
[00:16:32.722 --> 00:16:40.445]  It's going to have less viewers than the Donald Trump coverage if you add together the different feeds.
[00:16:40.625 --> 00:16:45.107]  Our feed, CNN, his feed, the Wounded Warrior program, and others.
[00:16:45.427 --> 00:16:46.807]  This is beautiful.
[00:16:47.268 --> 00:16:50.609]  And we'll be here at InfoWars.com tonight, 7 o'clock and on.
[00:16:52.355 --> 00:16:54.717]  Breaking every stinking facet of this town.
[00:16:54.977 --> 00:16:56.578]  We'll be analyzing CNN.
[00:16:56.879 --> 00:16:58.100]  We'll be analyzing Fox.
[00:16:58.440 --> 00:17:04.064]  We'll be, because you know CNN is going to be cutting in with comments and stuff and, you know, trying to hijack it.
[00:17:04.484 --> 00:17:11.190]  And we're going to be here hijacking them, breaking down exactly what they're doing with commentary and live analysis.
[00:17:12.355 --> 00:17:21.941]  With the Young Turks and with Glenn Beck and everybody else following suit now copying what we do, covering the debates, the State of the Unions and others with analysis.
[00:17:22.402 --> 00:17:26.244]  Because that's what it's all about, documenting what the traitor media is doing.
[00:17:26.304 --> 00:17:35.891]  But what a stroke of genius by Donald Trump to come on this show and thumb it in their faces, hoping they'd attack him for coming on the show.
[00:17:36.511 --> 00:17:40.534]  They did it for one day and then zero coverage because it blew up in their face again.
[00:17:41.783 --> 00:17:44.145]  I mean, you don't think Trump didn't know that was what was happening?
[00:17:45.426 --> 00:17:49.329]  And then, of course, Trump leaving the debate knowing he'd be demonized more.
[00:17:49.669 --> 00:17:51.170]  You didn't think he knew what he was doing?
[00:17:51.390 --> 00:18:04.620]  But they're so arrogant, they still haven't figured out the only way to discredit Alex Jones, or Matt Drudge, or Joseph Farah, or Donald Trump, or Vladimir Putin.
[00:18:04.680 --> 00:18:06.001]  I mean, anybody they hate.
[00:18:06.061 --> 00:18:08.143]  I'm not saying we're all good, bad, or perfect, or whatever.
[00:18:08.663 --> 00:18:10.285]  The only way they could defeat Rush Limbaugh
[00:18:11.004 --> 00:18:13.765]  would be to embrace him and endorse him.
[00:18:14.365 --> 00:18:19.927]  Like when Rand Paul started getting embraced by the establishment, he went from number one six months ago to now like number eight.
[00:18:21.828 --> 00:18:37.174]  And I told him off record and I told Politico on record when he got elected to the Kentucky Senate, to the federal Senate out of Kentucky, I said, the only thing you got to worry about is you're such a gentleman, I know you won't sell us out, I know you're not going to compromise in deeds.
[00:18:38.643 --> 00:18:41.286]  But I said, do not compromise in rhetoric.
[00:18:42.968 --> 00:18:44.049]  And Rand Paul has done that.
[00:18:44.089 --> 00:18:47.533]  He's come out and said that good riddance to Donald Trump.
[00:18:49.836 --> 00:18:54.301]  That's like, you know, declaring that Mark Twain was dead 20 years before he died.
[00:18:54.341 --> 00:18:57.024]  He said, rumors of my demise have been greatly exaggerated.
[00:18:58.302 --> 00:18:59.383]  This is something people do.
[00:18:59.443 --> 00:19:00.864]  I see it a lot in media and culture.
[00:19:00.884 --> 00:19:02.945]  They announce someone's over.
[00:19:03.205 --> 00:19:04.786]  They announce someone's bankrupt.
[00:19:05.006 --> 00:19:07.068]  They announce someone's defeated when they're not.
[00:19:07.688 --> 00:19:10.090]  And that used to work when the mainstream media had control.
[00:19:10.270 --> 00:19:10.850]  They don't anymore.
[00:19:10.990 --> 00:19:12.711]  They're constantly announcing that we're done.
[00:19:13.072 --> 00:19:17.995]  They're constantly announcing Drudge as it has been every day when his numbers just go up and up and up.
[00:19:20.537 --> 00:19:22.058]  This is what they engage in.
[00:19:23.519 --> 00:19:24.719]  This is how they operate.
[00:19:24.739 --> 00:19:25.160]  It's like when
[00:19:26.260 --> 00:19:31.382]  The creator of the X-Files came out, Chris Carter, and said it's based mainly on Alex Jones and InfoWars work, the new season.
[00:19:32.103 --> 00:19:34.064]  The trolls came out and said, Jones is crazy.
[00:19:34.164 --> 00:19:36.985]  Even in some news articles, he's claiming it's based on him.
[00:19:40.347 --> 00:19:44.809]  I mean, I knew Chris Carter was a listener ten years ago when one of the stars of his show came and visited me at my house.
[00:19:46.729 --> 00:19:49.531]  But I didn't even say it really on air then because it just sounded pompous.
[00:19:50.558 --> 00:19:54.241]  You know, I mean, I know we've been affecting culture since I started out, 21 years ago.
[00:19:54.561 --> 00:19:57.504]  But it isn't about the fact, oh, I affected culture, aren't I big?
[00:19:57.864 --> 00:20:04.909]  It's that we are dominating and taking the media power away from these people like they're Grendel, we're Beowulf.
[00:20:05.110 --> 00:20:07.311]  They're trying to get out the door and we got them by the arm.
[00:20:07.532 --> 00:20:08.793]  We're pulling it out of the socket.
[00:20:09.273 --> 00:20:10.494]  I feel it coming out right now.
[00:20:10.774 --> 00:20:13.937]  Winter has just begun, and are you already tired of being cold?
[00:20:14.357 --> 00:20:16.178]  How would you like to never be cold again?
[00:20:16.198 --> 00:20:22.844]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[00:20:23.587 --> 00:20:32.891]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[00:20:33.472 --> 00:20:36.873]  If you snowmobile, ski, snowboard, get Fortress.
[00:20:37.494 --> 00:20:43.617]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[00:20:44.117 --> 00:20:52.501]  If you're stuck outside working in the cold or find yourself in an emergency situation, get our winter bug out bag and you will never be cold again.
[00:20:53.001 --> 00:20:56.882]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[00:20:57.162 --> 00:20:59.903]  It's a mid-layer garment that goes with anything you want to wear.
[00:21:00.363 --> 00:21:04.005]  Enter coupon code RADIO and get 20% off any item.
[00:21:04.425 --> 00:21:06.325]  Go now while we still have inventory.
[00:21:06.726 --> 00:21:08.426]  FortressClothing.com.
[00:21:09.927 --> 00:21:13.368]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:21:14.176 --> 00:21:14.676]  It's true.
[00:21:14.797 --> 00:21:18.759]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:21:18.959 --> 00:21:20.801]  It's a disinfectant called chloramine.
[00:21:21.341 --> 00:21:25.824]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:21:26.124 --> 00:21:34.630]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides,
[00:21:34.830 --> 00:21:38.733]  Bacteria and viruses, all forms of fluoride, and much more.
[00:21:38.993 --> 00:21:42.536]  Big Berkey water filters are the original and most trusted on the market.
[00:21:42.797 --> 00:21:45.099]  The gold standard in water purification.
[00:21:45.459 --> 00:21:49.482]  And our filters last for years at less than two cents per gallon.
[00:21:49.762 --> 00:21:54.046]  Big Berkey, the one that's powerful enough to purify stagnant pond water.
[00:21:54.286 --> 00:21:55.888]  Get your Big Berkey today.
[00:21:56.028 --> 00:21:58.111]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:21:58.151 --> 00:21:59.032]  That's 1-877-99-BERKEY.
[00:21:59.152 --> 00:22:00.534]  Big Berkey Water Filters.
[00:22:00.574 --> 00:22:01.595]  For the love of clean water.
[00:22:10.592 --> 00:22:11.974]  Hi, this is Walt Augustinowicz.
[00:22:12.414 --> 00:22:14.376]  I'm the founder and CEO of ID Stronghold.
[00:22:14.937 --> 00:22:18.561]  By now you've heard our commercials about wallets that protect you from electronic pickpocketing.
[00:22:18.801 --> 00:22:27.291]  Ten years ago, I created a way to protect my own cards from prying eyes after government officials started talking about issuing a national ID card with a built-in radio chip called RFID.
[00:22:27.631 --> 00:22:30.895]  I felt having to broadcast my personal information was an invasion of privacy.
[00:22:31.776 --> 00:22:34.860]  Soon after, it was also announced that credit cards, debit cards, U.S.
[00:22:34.900 --> 00:22:39.526]  passports, hotel room keys, and even transit passes would all soon incorporate RFID.
[00:22:40.267 --> 00:22:44.492]  It was then I formed IDStronghold to share my inventions in blocking RFID signals with the world.
[00:22:45.213 --> 00:22:48.016]  There are a lot of misconceptions out there today about RFID.
[00:22:48.377 --> 00:22:50.599]  I encourage everyone to get informed and get protected.
[00:22:51.480 --> 00:22:57.702]  Please go to IDStronghold.com and get the facts and the wallets, sleeves, or badge holders you need to protect your personal financial data.
[00:22:58.463 --> 00:23:03.744]  You'll be pleasantly surprised that through our direct sales model, you won't pay more than other comparable unprotected wallets.
[00:23:04.085 --> 00:23:05.745]  It is as though the protection is free.
[00:23:06.445 --> 00:23:08.126]  Visit IDStronghold.com today.
[00:23:09.907 --> 00:23:12.568]  The following statements have not been evaluated by the FDA.
[00:23:12.648 --> 00:23:16.129]  This product is not intended to diagnose, treat, cure, or prevent any disease.
[00:23:17.341 --> 00:23:20.522]  Something shocking just happened in a Coast Guard unit in San Diego.
[00:23:20.843 --> 00:23:25.925]  The old guys in the unit have turned the tables and are now destroying the young bucks in head-to-head fitness tests.
[00:23:26.265 --> 00:23:27.486]  How is this even possible?
[00:23:27.766 --> 00:23:35.069]  Turns out, the old guys in this unit have been part of a special test group for a doctor-formulated fountain of youth drink called Patriot Power Greens.
[00:23:35.309 --> 00:23:42.712]  Patriot Power Greens has been so effective for many of the older soldiers that it's made their achy joints, stiff muscles, and lack of energy a thing of the past.
[00:23:42.952 --> 00:23:46.154]  Previously, this drink was only available to elite military units.
[00:23:46.434 --> 00:23:53.839]  But for a limited time, the creator of Patriot Power Greens has set aside a small number of free samples specifically for our conservative friends.
[00:23:54.239 --> 00:23:56.961]  All they ask is that you chip in a few bucks to cover shipping.
[00:23:57.421 --> 00:24:01.564]  To claim your free samples of Patriot Power Greens, go to Greens75.com.
[00:24:01.584 --> 00:24:02.204]  That's Greens75.com.
[00:24:02.224 --> 00:24:02.625]  Greens75.com.
[00:24:16.550 --> 00:24:17.892]  Welcome back, ladies and gentlemen.
[00:24:17.952 --> 00:24:19.033]  I'm Alex Jones, your host.
[00:24:19.073 --> 00:24:21.796]  We have a raft of guests joining us today, obviously.
[00:24:21.836 --> 00:24:23.477]  We'll be back tonight, 7 o'clock central.
[00:24:23.497 --> 00:24:24.658]  Here's how you listen or watch.
[00:24:26.260 --> 00:24:35.609]  Many of our radio affiliates, I never thought of this, are now picking up the nightly news every night at 7 o'clock and then running their ads, obviously, over our ads.
[00:24:35.709 --> 00:24:36.230]  That's fine.
[00:24:38.968 --> 00:24:44.231]  We seem to kind of create a contract on that so folks know where we stand, but quite frankly, I don't even care.
[00:24:44.311 --> 00:24:50.815]  I mean, I'd say Nightly News, go ahead and carry it and run ads over every block of ads we've got.
[00:24:50.835 --> 00:24:58.080]  The contract we've got for TV and VHF, UHF and cable stations is we get like 20% of the ads.
[00:24:58.620 --> 00:25:04.864]  And it's not very ad heavy, but we want the money to go to the local affiliates because we know how bad the economy is.
[00:25:04.904 --> 00:25:05.945]  We just want to get the word out.
[00:25:06.707 --> 00:25:10.755]  And then we've sprinkled, obviously, some advertising into the show to be able to finance ourselves.
[00:25:14.102 --> 00:25:16.223]  Infowars.com forward slash show.
[00:25:16.803 --> 00:25:32.611]  We'll have the feed that we produce here that is a feed of CNN, a feed from Trump, a feed of our reporters on the ground, a feed of our reporters in Iowa, our reporters in Oregon, with the ongoing standoffs just all mixed together.
[00:25:32.971 --> 00:25:36.893]  That's the super feed, the nightly news debate coverage feed.
[00:25:38.117 --> 00:25:43.682]  And then you'll have the feed from this four-hour show that a lot of people want to watch, that's re-streaming on Wednesday at 3 o'clock.
