[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[00:06:30.753 --> 00:06:34.635]  The teacher stood up and said, this election doesn't count.
[00:06:35.275 --> 00:06:38.179]  She had another election, and I wasn't class president.
[00:06:38.599 --> 00:06:43.304]  So, hey, look, if it could be done in the fifth grade in the Bronx when I was a kid, why can't they do it to us now, right?
[00:06:43.324 --> 00:06:44.005]  We're just children.
[00:06:44.025 --> 00:06:45.607]  I had a similar thing happen.
[00:06:45.627 --> 00:06:50.733]  You know, when you really do things in this world, you start to learn how rigged they are, and it's just crazy to see them go.
[00:06:51.313 --> 00:06:52.414]  He was on the same newscast.
[00:06:53.115 --> 00:06:54.436]  The Russians are rigging the election.
[00:06:54.756 --> 00:06:56.697]  We're having to bring in the UN to oversee it.
[00:06:56.757 --> 00:06:58.117]  And then meanwhile, Trump's crazy.
[00:06:58.397 --> 00:07:01.839]  He says they're rigging the election, even as we catch election officials admitting the fraud.
[00:07:02.039 --> 00:07:03.359]  We do have a minute or two more if you've got it.
[00:07:03.859 --> 00:07:04.960]  Elaborate on what you're saying.
[00:07:05.120 --> 00:07:05.560]  I mean, I agree.
[00:07:05.580 --> 00:07:08.861]  The internal polls, I know from Trump, but also other big groups are doing internal polls.
[00:07:09.382 --> 00:07:11.483]  5, 10, 15 points ahead in most battleground states.
[00:07:11.783 --> 00:07:13.023]  He's going to win in a landslide.
[00:07:13.283 --> 00:07:16.965]  They're only creating the perception he's way behind, so we buy it right now.
[00:07:16.985 --> 00:07:17.845]  Do you concur with that?
[00:07:18.005 --> 00:07:19.626]  A. B. What happens when he gets in?
[00:07:20.528 --> 00:07:20.729]  100% right.
[00:07:20.769 --> 00:07:21.874]  You and I think the same way.
[00:07:21.914 --> 00:07:23.801]  I said that to Donald yesterday on my radio show.
[00:07:23.841 --> 00:07:24.062]  I said...
[00:07:25.977 --> 00:07:30.940]  Donald, I said what they're doing is they're not trying to get Hillary people to vote for Hillary.
[00:07:30.980 --> 00:07:32.922]  They've got all the people they could ever, ever get.
[00:07:32.942 --> 00:07:39.106]  I said what they're trying to do is discourage Trump voters from voting by thinking that it's over already.
[00:07:39.146 --> 00:07:41.748]  They're trying to make them think that he lost, that she won.
[00:07:41.768 --> 00:07:43.989]  So they're going to throw their hands up and not vote for him.
[00:07:44.289 --> 00:07:47.812]  He's got to make sure that people think he can still win, which he can.
[00:07:48.712 --> 00:07:53.575]  And then if all of us who are supporting him come out, I think he will win.
[00:07:53.795 --> 00:07:54.456]  It's that simple.
[00:07:54.636 --> 00:07:56.177]  That's right, you can't steal landslides.
[00:07:56.197 --> 00:08:01.160]  I've interviewed experts who are Democrats, Republicans, die-bold engineers from the highest levels, they agree.
[00:08:01.821 --> 00:08:03.502]  You cannot steal a landslide.
[00:08:12.468 --> 00:08:14.349]  The Alex Jones Show.
[00:08:14.409 --> 00:08:17.151]  Because there is a war on.
[00:08:25.512 --> 00:08:28.535]  We are now only 12 days out from the big date.
[00:08:29.076 --> 00:08:32.159]  I'm Alex Jones, your host, broadcasting worldwide from Austin, Texas.
[00:08:32.740 --> 00:08:33.561]  Thank you for joining us.
[00:08:33.621 --> 00:08:37.345]  Trump absolutely dominates in his Florida speech yesterday.
[00:08:37.365 --> 00:08:39.687]  He is up four points in Ohio.
[00:08:39.727 --> 00:08:42.290]  That's even in polls that sample more Democrats than Republicans.
[00:08:42.990 --> 00:08:45.533]  He pulls to three ahead in Pennsylvania.
[00:08:46.494 --> 00:08:53.318]  He's way ahead in Florida and again that is with cooked polls on average adding 9 to 12 points.
[00:08:53.959 --> 00:08:55.039]  More Democrats.
[00:08:55.480 --> 00:08:59.742]  This is a landslide that we are looking at right now.
[00:09:00.303 --> 00:09:03.965]  The bad news is more Colorado election troubles.
[00:09:04.485 --> 00:09:08.288]  Investigation finds people are voting twice, of course for Hillary.
[00:09:09.178 --> 00:09:09.898]  The Living Dead.
[00:09:10.058 --> 00:09:11.739]  Anti-Trump violence sweeps country.
[00:09:12.099 --> 00:09:13.120]  Media ignores.
[00:09:13.680 --> 00:09:15.981]  Walk of Fame star destroyed by vandals.
[00:09:16.401 --> 00:09:18.782]  Angry protesters to storm DC hotel.
[00:09:19.163 --> 00:09:20.123]  Grand opening.
[00:09:21.023 --> 00:09:22.484]  That's up on DrudgeReport.com.
[00:09:22.924 --> 00:09:23.845]  Obama busted.
[00:09:23.945 --> 00:09:26.706]  Wiki shows President lied to nation.
[00:09:27.306 --> 00:09:29.747]  Emails unleash hell on administration.
[00:09:30.468 --> 00:09:33.349]  Even the New York Times admits, okay, it's a cover-up.
[00:09:33.749 --> 00:09:34.750]  A criminal cover-up.
[00:09:35.780 --> 00:09:36.360]  Absolutely.
[00:09:36.520 --> 00:09:40.021]  All her testimony, everything to the FBI, to Congress, lies, lies, lies.
[00:09:40.341 --> 00:09:45.123]  That's why they gave him immunity to testify so they'd be covered when they knew all this came out.
[00:09:46.183 --> 00:09:53.966]  And now it's coming out as Trump talked about yesterday, $600,000 plus to the head of the FBI's wife.
[00:09:54.806 --> 00:09:56.427]  I mean, this is all coming out.
[00:09:56.447 --> 00:09:57.787]  People running the investigations.
[00:09:58.267 --> 00:10:00.128]  This is Loretta Lynch on the airplane.
[00:10:01.013 --> 00:10:10.081]  With Bill Clinton flaunting it in your face, total criminal arrogance of unprecedented magnitude.
[00:10:11.800 --> 00:10:13.241]  It's now come out it was not the Russians.
[00:10:13.281 --> 00:10:14.041]  This is mainline.
[00:10:14.081 --> 00:10:17.443]  Even the federal government admits that took down the part of the internet last week.
[00:10:17.803 --> 00:10:19.164]  It came from inside the United States.
[00:10:20.024 --> 00:10:27.708]  We've also got massive news when it comes to Michelle Obama hosting people that promote date rape and gang rape.
[00:10:28.288 --> 00:10:30.769]  But she's the moral high ground person.
[00:10:31.329 --> 00:10:32.830]  All of this is coming up and more.
[00:10:32.850 --> 00:10:40.054]  But first, I want to air some excerpts from the hour-long speech he gave in Tampa that is his most powerful yet.
[00:10:41.829 --> 00:10:43.570]  It's headlined on InfoWars.com.
[00:10:43.610 --> 00:10:44.311]  Spread the video.
[00:10:45.071 --> 00:10:46.832]  Is this the most powerful speech ever?
[00:10:46.852 --> 00:10:48.173]  And then there's another important video.
[00:10:48.553 --> 00:10:50.635]  Donald Trump has already won the 2016 election.
[00:10:51.335 --> 00:11:02.682]  He's already hurt the globalists big time, exposed it, and made the true issues we face, global governance, the number one issue in the world, and nationalism is spreading worldwide.
[00:11:03.063 --> 00:11:04.143]  Resistance is victory.
[00:11:04.503 --> 00:11:06.705]  Here is Donald Trump from Tampa, Florida.
[00:11:08.209 --> 00:11:09.310]  Yeah!
[00:11:09.370 --> 00:11:10.291]  There he is!
[00:11:10.431 --> 00:11:12.613]  Donald Trump, our leader.
[00:11:13.094 --> 00:11:16.216]  Heading for the White House to drain the swamp.
[00:11:16.277 --> 00:11:17.117]  Look at that man.
[00:11:17.998 --> 00:11:21.922]  A battering ram into the global establishment.
[00:11:22.923 --> 00:11:26.186]  Historic numbers coming out for Donald Trump at these rallies.
[00:11:26.746 --> 00:11:27.807]  Tim Kaine got 30 people.
[00:11:29.368 --> 00:11:31.870]  30 people at a Hillary rally the other day.
[00:11:31.950 --> 00:11:33.331]  This is a Donald Trump rally.
[00:11:33.471 --> 00:11:34.471]  Look at that.
[00:11:34.571 --> 00:11:37.393]  Welcome back to the Nightly News, everybody.
[00:11:37.453 --> 00:11:40.255]  Theinfowars.com, Nightly News.
[00:11:40.675 --> 00:11:47.659]  The truth that is coming out of Donald Trump's mouth is rocking the entire world right now.
[00:11:47.759 --> 00:11:50.640]  And I feel bad for those who are missing out entirely.
[00:11:51.041 --> 00:11:54.903]  Here are the highlights from Donald Trump's historic speech in Florida today.
[00:11:55.043 --> 00:11:55.603]  Thank you, Owen.
[00:11:55.683 --> 00:11:58.364]  I'll tell you what, the media, folks, is no good.
[00:11:58.424 --> 00:11:59.064]  They're no good.
[00:11:59.785 --> 00:12:02.726]  Very dishonest.
[00:12:02.846 --> 00:12:05.567]  In 14 days, we're going to win the state of Florida.
[00:12:05.607 --> 00:12:09.348]  We're going to win back the White House.
[00:12:10.548 --> 00:12:14.190]  The lines at the voting booths are record.
[00:12:17.011 --> 00:12:20.392]  And I noticed that a lot of the people
[00:12:21.517 --> 00:12:23.279]  Online, do you see the pictures?
[00:12:23.839 --> 00:12:29.825]  They're wearing the red hat, the white hat, this hat, they're wearing buttons all over the place.
[00:12:30.685 --> 00:12:36.551]  I think those are people that are inclined to vote for us, do you agree?
[00:12:36.571 --> 00:12:43.397]  75% of the American people think our country is on the wrong track, every poll says it.
[00:12:44.935 --> 00:12:53.226]  We are going to fix it and we are going to get our country back on the right track very, very quickly.
[00:12:54.048 --> 00:13:01.177]  Together we're going to deliver real change that once again puts America first.
[00:13:03.817 --> 00:13:12.680]  That begins with immediately repealing and replacing the disaster known as Obamacare.
[00:13:13.360 --> 00:13:24.924]  Repealing Obamacare and stopping Hillary's healthcare takeover is one of the single most important reasons that we must win on November 8th.
[00:13:26.644 --> 00:13:30.545]  Change has to come from outside our corrupt system.
[00:13:31.026 --> 00:13:39.288]  The fact that the Washington establishment has tried so hard to stop our campaign, which is actually a movement.
[00:13:39.308 --> 00:13:40.229]  This is a movement, folks.
[00:13:42.369 --> 00:13:48.351]  And this is the last time we're gonna have a chance.
[00:13:48.691 --> 00:13:49.752]  Four years, it's over.
[00:13:50.292 --> 00:13:50.732]  It's over.
[00:13:52.310 --> 00:13:54.672]  In four years, you don't have a chance.
[00:13:55.293 --> 00:13:58.555]  All these characters that want to run in four years, they can forget it.
[00:13:58.575 --> 00:13:59.636]  They're wasting their time.
[00:14:00.457 --> 00:14:03.560]  You don't have even a little bit of a chance.
[00:14:03.600 --> 00:14:04.120]  This is it.
[00:14:04.701 --> 00:14:05.742]  And we're really close.
[00:14:06.242 --> 00:14:09.645]  We're going to win Florida.
[00:14:09.665 --> 00:14:10.706]  $1,500 and an iPhone.
[00:14:11.166 --> 00:14:13.048]  Go in the rally and beat people up.
[00:14:26.431 --> 00:14:30.815]  They found out our people are not so easy to beat up, that's for sure.
[00:14:31.395 --> 00:14:32.356]  But do you remember?
[00:14:33.277 --> 00:14:38.041]  Remember they went in and there was a policeman with blood pouring down his face.
[00:14:38.081 --> 00:14:40.363]  There was another one with a badly gashed face.
[00:14:40.563 --> 00:14:42.225]  This was all thugs put in there.
[00:14:42.525 --> 00:14:45.868]  And then I'm listening to her talk about peace at our rallies.
[00:14:45.928 --> 00:14:46.468]  We want peace.
[00:14:46.809 --> 00:14:49.291]  This is one of the great phonies of all time.
[00:14:49.611 --> 00:14:53.414]  And she shouldn't be allowed to run for president with what she's done, I'll tell you right now.
[00:14:54.275 --> 00:15:08.526]  The fact that the Washington establishment has tried so hard to stop this movement is only more proof that our campaign represents the kind of change that only arrives once in a lifetime.
[00:15:08.566 --> 00:15:09.907]  This is once in a lifetime.
[00:15:10.808 --> 00:15:15.972]  I'm telling you, I opened the door, I looked out the window, I said, wow, it's so different from what they report.
[00:15:17.052 --> 00:15:19.955]  These people up here, they are the worst.
[00:15:22.443 --> 00:15:23.563]  And you know what it's called?
[00:15:24.364 --> 00:15:26.044]  By the way, you know what it's called, don't you?
[00:15:26.064 --> 00:15:27.985]  It's called voter suppression.
[00:15:28.605 --> 00:15:29.905]  Just keep it going, folks.
[00:15:29.945 --> 00:15:31.786]  We're fighting a crooked establishment.
[00:15:32.146 --> 00:15:39.688]  And just about the biggest part of the crooked establishment are these people right back there with the phony cameras.
[00:15:40.988 --> 00:15:42.488]  That some of the voting is rigged.
[00:15:42.588 --> 00:15:44.009]  Okay, everybody knows.
[00:15:44.369 --> 00:15:46.610]  Check out Philadelphia, Chicago, St.
[00:15:46.630 --> 00:15:46.810]  Louis.
[00:15:47.170 --> 00:15:50.231]  And he said, this is a threat to our system.
[00:15:50.751 --> 00:15:51.871]  This is terrible.
[00:15:52.131 --> 00:15:53.011]  This is a threat.
[00:15:53.511 --> 00:15:55.052]  Okay, I figured you is.
[00:15:55.112 --> 00:15:56.072]  Wow, that's pretty bad.
[00:15:56.592 --> 00:16:03.174]  Except last night on television, last night, I'm watching Obama from eight years ago.
[00:16:03.734 --> 00:16:06.895]  And he's basically saying that the whole thing is fixed.
[00:16:08.396 --> 00:16:13.224]  Before he won his first race, he was talking about voting.
[00:16:13.784 --> 00:16:15.848]  And he said, remember, I come from Chicago.
[00:16:15.868 --> 00:16:17.610]  I mean, they do.
[00:16:18.111 --> 00:16:19.313]  Give me a break.
[00:16:19.353 --> 00:16:21.216]  This guy's such a phony guy.
[00:16:21.957 --> 00:16:22.859]  What a phony.
[00:16:24.040 --> 00:16:26.901]  The system, the whole system is rigged.
[00:16:27.582 --> 00:16:29.282]  The whole system is rigged.
[00:16:30.283 --> 00:16:32.304]  Keep your plan, keep your doctrine.
[00:16:32.524 --> 00:16:33.144]  He lied.
[00:16:33.524 --> 00:16:41.427]  Jonathan Gruber said the American people are essentially stupid for approving and allowing Obamacare to happen.
[00:16:41.727 --> 00:16:42.388]  And you know what?
[00:16:42.728 --> 00:16:46.569]  We've got to show them on November 8th that we're not stupid.
[00:16:46.750 --> 00:16:47.470]  We're not stupid.
[00:16:48.885 --> 00:17:05.710]  Crooked Hillary Clinton bleached and deleted 33,000 emails, lied to Congress under oath, made 13 iPhones disappear, some with a hammer, then told the FBI she couldn't remember 39 times.
[00:17:05.750 --> 00:17:06.310]  Bad memory.
[00:17:17.910 --> 00:17:19.791]  They were sent by Russia, Russia.
[00:17:20.751 --> 00:17:24.232]  They're always using Russia, like I have nothing to do with Russia.
[00:17:24.772 --> 00:17:26.692]  They were sent by Russia and Donald Trump.
[00:17:27.593 --> 00:17:32.154]  Can you imagine if I got the answers or the questions to a debate?
[00:17:33.034 --> 00:17:34.675]  It would be the electric chair, right?
[00:17:35.235 --> 00:17:38.956]  No, no, it would be the biggest story in the world.
[00:17:39.676 --> 00:17:42.537]  The criminal conduct of Hillary Clinton
[00:17:43.217 --> 00:17:45.959]  Threatens the foundations of democracy.
[00:17:46.019 --> 00:17:46.499]  I mean that.
[00:17:47.239 --> 00:17:54.643]  I proposed a contract with the American voter that will give the government back to the people.
[00:17:55.184 --> 00:17:56.564]  I'll tell you, I love our country.
[00:17:56.885 --> 00:17:57.665]  I had to do it.
[00:17:58.005 --> 00:18:01.227]  I see where our country is going, and it's not good.
[00:18:02.348 --> 00:18:08.511]  I want everyone in Washington to hear and to heed the words I'm about to say.
[00:18:09.451 --> 00:18:10.072]  If we win,
[00:18:11.013 --> 00:18:21.486]  On November 8th, we are going to Washington DC and we together are going to drain the swamp.
[00:18:22.488 --> 00:18:27.374]  A constitutional amendment to impose term limits on all members of Congress.
[00:18:27.814 --> 00:18:32.538]  A lifetime ban on government officials lobbying for a foreign government.
[00:18:32.558 --> 00:18:33.299]  Do you believe this?
[00:18:33.940 --> 00:18:38.744]  A total ban on foreign lobbyists raising money for American elections.
[00:18:38.824 --> 00:18:40.486]  Thank you very much, we don't need your money.
[00:18:41.046 --> 00:18:43.628]  The Trans-Pacific Partnership, another beauty.
[00:18:45.122 --> 00:18:48.923]  Hillary Clinton called the gold standard and then during the debate she lied.
[00:18:48.963 --> 00:18:50.084]  She said, I never said that.
[00:18:50.744 --> 00:18:53.345]  Unfortunately, at the next debate they announced she did say it.
[00:18:54.485 --> 00:18:59.366]  And she also said she never was Secretary of State when they talked about the red line in the Senate.
[00:18:59.907 --> 00:19:02.287]  I wasn't Secretary of State then, right?
[00:19:02.447 --> 00:19:02.867]  Remember?
[00:19:03.488 --> 00:19:04.008]  I wasn't.
[00:19:06.411 --> 00:19:07.552]  She lied, she was.
[00:19:08.193 --> 00:19:09.975]  What a group of people we have.
[00:19:09.995 --> 00:19:13.820]  What a group of dishonest scum we have, I'm telling you.
[00:19:13.840 --> 00:19:14.080]  Oh, I love it.
[00:19:14.140 --> 00:19:16.583]  You vote for her, you're crazy, okay?
[00:19:18.755 --> 00:19:19.756]  She is the worst.
[00:19:20.137 --> 00:19:24.422]  My plan also includes major investments in space exploration.
[00:19:24.722 --> 00:19:27.225]  Things come out of it, including great jobs.
[00:19:28.207 --> 00:19:31.831]  And it'll change very quickly under a Trump administration.
[00:19:32.251 --> 00:19:38.419]  As a cornerstone of my policy, we will substantially expand public-private partnerships to maximize
[00:19:38.559 --> 00:19:48.366]  All right, ladies and gentlemen, the full speech is posted on InfoWars.com under the rest of those highlights titled, Is This the Greatest Speech Ever on InfoWars.com.
[00:19:48.787 --> 00:19:50.908]  Donald Trump has already won the 2016 election.
[00:19:51.188 --> 00:19:52.549]  All the polls, all the numbers show it.
[00:19:52.930 --> 00:19:54.090]  Hillary's intending to steal it.
[00:19:54.691 --> 00:19:56.432]  The only way we lose is rolling over.
[00:19:56.472 --> 00:19:59.614]  We're going to fight for it, and we'll talk about that straight ahead.
[00:19:59.674 --> 00:20:01.336]  We are 12 days out!
[00:20:01.356 --> 00:20:02.717]  12 days out!
[00:20:03.925 --> 00:20:08.309]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:20:08.409 --> 00:20:19.360]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:20:19.520 --> 00:20:24.442]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:20:24.562 --> 00:20:27.063]  It helps balance the thyroid gland.
[00:20:27.143 --> 00:20:28.623]  It helps detoxify.
[00:20:28.843 --> 00:20:31.664]  Selenium is another one of those absolute must-haves.
[00:20:31.724 --> 00:20:36.486]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:20:36.506 --> 00:20:42.728]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:20:42.748 --> 00:20:48.070]  So it really is an all-around nutrient that everybody really needs.
[00:20:48.090 --> 00:20:48.850]  I'm taking it now.
[00:20:49.090 --> 00:20:49.610]  Every day.
[00:20:49.810 --> 00:20:50.531]  This is so key.
[00:20:50.791 --> 00:20:53.092]  BioTrue Selenium is the product.
[00:20:53.352 --> 00:20:55.073]  The best selenium that we could bring you.
[00:20:55.113 --> 00:20:57.193]  We believe it's the best out there at a very, very low price.
[00:20:57.333 --> 00:21:00.795]  Exclusively available at Infowarslife.com or by calling toll-free 888-253-3139.
[00:21:04.133 --> 00:21:08.495]  Get Brain Force at 25% off for a limited time at Infowarslife.com.
[00:21:08.615 --> 00:21:10.796]  Ladies and gentlemen, I've been on this the last few months.
[00:21:10.916 --> 00:21:17.720]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:21:17.960 --> 00:21:21.221]  One of the worst things with most energy products is it's not sustainable, right?
[00:21:21.241 --> 00:21:22.402]  You're gonna crash afterwards.
[00:21:22.702 --> 00:21:29.109]  And the cool thing about this is it's not just a bunch of energy compounds that are going to fire your brain up to a higher RPM or whatever, which it does do.
[00:21:29.349 --> 00:21:30.270]  This is sustainable.
[00:21:30.290 --> 00:21:34.275]  This isn't going to spike and you're going to collapse and you're going to feel really bad afterwards.
[00:21:34.475 --> 00:21:37.658]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:21:37.719 --> 00:21:40.722]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:21:40.862 --> 00:21:42.264]  We're looking at the television screen.
[00:21:42.304 --> 00:21:48.012]  For research purposes, whatever we've been doing, trying to learn something, or staring at the computer all day, working, doing good, you're still damaging your brain.
[00:21:48.052 --> 00:21:53.881]  You will find BrainForce and other game-changing products at Infowarslife.com or call 888-253-3139.
