[00:00:16.280 --> 00:00:18.282]  Ladies and gentlemen, wow!
[00:06:35.585 --> 00:06:37.946]  And here's the biggest and best part I almost forgot.
[00:06:39.329 --> 00:06:46.893]  This shirt arrived in 18 Wheeler printed right here in the USA a week ago and I forgot, I've been so busy to even talk about the fact it's been in the store.
[00:06:47.753 --> 00:06:55.497]  That on the back of the shirt is a design that I worked on with some of our great graphics people that is George Soros as a goblin.
[00:06:56.178 --> 00:07:03.742]  I made a goblin joke a year ago about Trump saying you better not, you know, actually get in bed with the goblins if you have to work with politicians.
[00:07:03.762 --> 00:07:07.724]  I don't understand if he has to actually, you know, get needy for their political guts, but you just can't.
[00:07:09.144 --> 00:07:10.326]  Get caught in bed with a goblin.
[00:07:10.806 --> 00:07:14.731]  So we now have George Soros, because the media attacked me on this whole goblin meme.
[00:07:14.771 --> 00:07:17.755]  They've made huge jokes about it, but it's totally blown up their face.
[00:07:18.195 --> 00:07:25.485]  We now have George Soros as a goblin on the back, and it says, with a cross through him, you know, an X like Ghostbusters.
[00:07:25.825 --> 00:07:26.466]  No Soros.
[00:07:26.846 --> 00:07:27.567]  Him as a goblin.
[00:07:28.328 --> 00:07:33.471]  It says Deport Soros on the bottom and on the top it says InfoWars established 1996.
[00:07:34.932 --> 00:07:42.036]  So it is a limited edition Deport Soros on the back, Hillary for prison on the front, right hand shoulder InfoWars.com.
[00:07:42.376 --> 00:07:42.916]  It's powerful.
[00:07:42.936 --> 00:07:44.017]  I hope you get out to everybody you know.
[00:07:44.297 --> 00:07:47.619]  InfoWarsStore.com or call 888-253-3139.
[00:07:47.859 --> 00:07:52.842]  So to all the fellow liberty lovers around the world, I salute you and thank you for your support.
[00:07:53.482 --> 00:08:04.670]  This shirt is a celebration of the fight and the victory we've seen in 2016 against tyranny, but looking forward for justice against George Soros, Hillary Clinton, and their entire criminal network.
[00:08:05.150 --> 00:08:07.532]  And don't forget our new motto, no more pizza parties.
[00:08:27.624 --> 00:08:35.573]  23 days until President Trump is seated, inaugurated the 45th President of the United States of America.
[00:08:38.584 --> 00:08:41.825]  We're only four days away from 2017.
[00:08:42.685 --> 00:08:45.545]  It's Tuesday, the 27th day of December 2016.
[00:08:45.945 --> 00:08:59.368]  I'm your host, Alex Jones, and we're going to be here live for the next four hours as we transmit globally from deep in the heart of Texas, Austin, from the InfoWars News Studios.
[00:09:06.809 --> 00:09:07.729]  There is a real
[00:09:09.620 --> 00:09:14.442]  Global realignment taking place right now.
[00:09:16.703 --> 00:09:22.705]  Does it mean the forces that are engaging the globalists and attempting to overthrow their system are perfect?
[00:09:22.885 --> 00:09:23.845]  Absolutely not.
[00:09:26.746 --> 00:09:30.008]  We've reached the point now where the pendulum is swinging the other way.
[00:09:30.528 --> 00:09:36.290]  The globalist program of dehumanization and planetary regime is being capsized.
[00:09:38.177 --> 00:09:55.343]  And so there are now a lot of globalists and their minions who are opportunists running over, attempting to insert their little piggy snouts in, and try to take over the movement.
[00:09:56.544 --> 00:09:58.204]  But we knew that was always going to happen.
[00:09:59.004 --> 00:10:03.086]  The point is, globalism and private planetary government
[00:10:03.945 --> 00:10:13.611]  Of the private central banks that control the private Federal Reserve, the private IMF, the private World Bank, they're all in deep crisis and being identified now.
[00:10:14.532 --> 00:10:24.538]  And once the public understands, oh, there's a ruling elite above this, and they're the ones that are trying to make us poor by design, and they write books admitting it all,
[00:10:26.513 --> 00:10:28.474]  Well, once we get to that point, it's game over.
[00:10:28.935 --> 00:10:41.103]  Now, if you're a listener who's been listening 21 years, we've had listeners that have been tuning that long, or a listener for five years, or even a year, you're like, Alex, you probably open 10% of your broadcasts the way you just did.
[00:10:41.864 --> 00:10:42.544]  We know that.
[00:10:42.704 --> 00:10:43.685]  We understand that.
[00:10:44.045 --> 00:10:45.346]  We know about the Davos Group.
[00:10:45.386 --> 00:10:46.387]  We know about Bilderberg.
[00:10:46.407 --> 00:10:47.788]  We know about the globalist system.
[00:10:48.028 --> 00:10:49.149]  We know about the TPP.
[00:10:49.229 --> 00:10:50.810]  We know they admit it's a world government.
[00:10:51.991 --> 00:10:55.153]  I know, but the general public still doesn't completely get it.
[00:10:56.280 --> 00:10:59.401]  So see, I'm not here just trying to have an entertaining show.
[00:11:00.562 --> 00:11:01.782]  This isn't broadcast.
[00:11:03.242 --> 00:11:05.183]  This is information warfare using the truth.
[00:11:06.244 --> 00:11:09.625]  In fact, I forgot my stack of news from yesterday when I was up here working last night.
[00:11:09.665 --> 00:11:10.545]  It's on Zimmerman's desk.
[00:11:12.186 --> 00:11:17.427]  And there's a copy of the bill, subsections that Obama signed Friday night.
[00:11:18.368 --> 00:11:19.368]  Can somebody run that into me?
[00:11:19.428 --> 00:11:20.048]  Please, thank you.
[00:11:20.088 --> 00:11:24.390]  I forgot to bring that off his desk where I was working with him last night.
[00:11:29.215 --> 00:11:42.722]  The bill, if it's implemented, completely federalizes all communications in the United States and weaponizes 16 U.S.
[00:11:43.163 --> 00:11:45.124]  intelligence agencies against the American people.
[00:11:45.684 --> 00:11:50.086]  A lot of folks on InfoWars went, well, Alex, isn't the CIA already running the mainstream media?
[00:11:50.547 --> 00:11:56.390]  Yes, but this just officially puts it on paper and then gives billions of dollars of funding.
[00:11:58.078 --> 00:12:00.599]  One part of it's $160 million is for the State Department.
[00:12:01.999 --> 00:12:05.621]  The headlines, Red Alert, Obama signs bill putting CIA in control of media.
[00:12:05.921 --> 00:12:08.562]  Now that's one live video I did that was 45 minutes long.
[00:12:09.102 --> 00:12:14.844]  I did another one that was HD, because after I shot that one live, I went, that's not actually as bad as it is.
[00:12:15.484 --> 00:12:16.784]  People always say I'm sensational.
[00:12:16.844 --> 00:12:17.124]  No, no, no.
[00:12:17.445 --> 00:12:21.606]  Reality's so sensational, nine times out of 10, I underestimate.
[00:12:21.626 --> 00:12:22.906]  And I went, what is this?
[00:12:22.966 --> 00:12:24.007]  What are we facing, Zimmerman?
[00:12:24.747 --> 00:12:26.768]  And he said, this is total federalization of all media.
[00:12:26.788 --> 00:12:27.428]  And I go, that's it.
[00:12:29.704 --> 00:12:39.850]  Now, we'll battle this, we'll fight this, and then in five years, when it doesn't completely happen, if we're blessed, and we fight hard, people will say, oh, he said they'd federalize it!
[00:12:40.211 --> 00:12:52.438]  Now, they have taken over a lot of stuff, and they do go after people, and they do have attacks on people that they claim are disinformation, and they do have filters that block it, and the government does sue people now, but that's what they're announcing.
[00:12:53.059 --> 00:12:56.041]  And the Board of Governors of the FCC has taken over all communications.
[00:12:56.641 --> 00:12:59.406]  But, you know, still Alex Jones is allowed to operate.
[00:12:59.586 --> 00:13:00.928]  So it wasn't as bad as you said.
[00:13:00.948 --> 00:13:05.555]  That's how they roll.
[00:13:07.520 --> 00:13:09.241]  But let me teach you how I roll.
[00:13:10.062 --> 00:13:18.408]  Just so you can get a mind's eye, a bird's eye view, a window into how my brain works, because I'm somebody more committed than probably anybody else to fighting this.
[00:13:18.849 --> 00:13:23.672]  Seven days a week, 365 days a year, I dream this stuff.
[00:13:24.033 --> 00:13:24.873]  I eat this stuff.
[00:13:25.173 --> 00:13:29.717]  I don't feel alive unless I'm resisting it, because I understand how diabolical they are.
[00:13:31.715 --> 00:13:35.957]  People go watch movies where they're on a spaceship and there's a monster creeping around killing people.
[00:13:36.177 --> 00:13:36.897]  That's made up!
[00:13:37.477 --> 00:13:46.441]  I'm not scared when I go see a horror movie, and then I'm walking around, you know, with the lights off in my huge sprawling complex, even though it looks like a spaceship with all the computer terminal lights.
[00:13:46.901 --> 00:13:47.901]  Little kids, though, come in here.
[00:13:47.941 --> 00:13:51.763]  My kids do, and it's dark, and they're, like, scared, because they've seen a few movies or whatever.
[00:13:52.083 --> 00:13:53.203]  Those are fantasies.
[00:13:53.244 --> 00:13:54.224]  Those aren't real fears.
[00:13:55.284 --> 00:13:56.565]  The globalist tyrants?
[00:13:57.950 --> 00:14:08.253]  They're a clear and present danger, a menace that's killed hundreds of millions of people last century and this century alone combined and who openly have declared war on humanity.
[00:14:08.553 --> 00:14:11.653]  So I'm constantly in war mode against them.
[00:14:13.574 --> 00:14:24.417]  And because I realize it's a war and I direct operations against them like it's a war, it's having an effect because it is a war and they call it a war against us.
[00:14:24.757 --> 00:14:26.097]  So I was sitting here this morning.
[00:14:27.805 --> 00:14:34.316]  And I'm always frustrated when I'm reading literally hundreds of news articles that I'm scanning over that I'm missing something.
[00:14:37.782 --> 00:14:39.424]  And I keep thinking, what are you missing?
[00:14:40.206 --> 00:14:41.227]  It's in legislation.
[00:14:41.287 --> 00:14:42.049]  It's been announced.
[00:14:44.384 --> 00:14:50.786]  What are you looking at that's triggered a memory here that's got you so upset because you're on the verge of a huge understanding?
[00:14:51.486 --> 00:14:53.627]  So I went back through like 60, 70 articles.
[00:14:53.687 --> 00:14:54.147]  Where was it?
[00:14:54.167 --> 00:14:54.527]  Where was it?
[00:14:54.847 --> 00:14:56.147]  Something triggered a memory.
[00:14:56.627 --> 00:14:59.648]  Something triggered something key and then it hit me.
[00:15:01.149 --> 00:15:03.669]  So I'm going to reenact that right now before I get into all the huge news.
[00:15:05.310 --> 00:15:05.930]  Here's a headline.
[00:15:07.210 --> 00:15:11.652]  New York Times fumes over conservative media appropriated fake news.
[00:15:11.692 --> 00:15:12.612]  Turn it against MSM.
[00:15:13.837 --> 00:15:15.478]  We've always been calling you the fake news.
[00:15:15.518 --> 00:15:29.807]  You've stolen our term, we're using it back on you, but now you've really popularized it because you have this system set up where you supposedly create the new definitions and we're supposed to accept it like from Moses on top Mount Sinai with the tablets that God carved with his fiery finger.
[00:15:31.748 --> 00:15:33.710]  So I'm looking at that headline, then I go through another stack.
[00:15:34.370 --> 00:15:37.332]  The Washington Post blacklist story is shameful and disgusting.
[00:15:37.712 --> 00:15:38.833]  I'd ask for that to be reprinted.
[00:15:39.293 --> 00:15:40.114]  That's Rolling Stone.
[00:15:41.434 --> 00:15:43.155]  I saw an article about do people still read books?
[00:15:43.195 --> 00:15:44.817]  The answer is Democrats don't on average.
[00:15:45.757 --> 00:15:49.380]  And then I saw this headline from Infowars.com by Fiona Miller.
[00:15:50.481 --> 00:15:54.043]  And the headline was, Sunlight Supports Immune System.
[00:15:55.004 --> 00:15:56.866]  And I thought, who said that?
[00:15:57.786 --> 00:16:02.690]  Who said that should be outlawed and you should be fined $10,000 if you publish it?
[00:16:03.751 --> 00:16:05.532]  Even though it's in thousands of studies.
[00:16:07.213 --> 00:16:10.616]  And old timer doctors always said, get out, get some fresh air, go on a hike, get some sunshine.
[00:16:12.742 --> 00:16:16.818]  Get sunshine, feed a cold, eat garlic, eat chicken noodle soup, you know, things like that.
[00:16:21.175 --> 00:16:22.676]  And I went, Cass Sunstein, that's it.
[00:16:22.996 --> 00:16:33.584]  Cass Sunstein called for taxing alternative news, and Cass Sunstein talked for a global system to mimic China when he wrote articles as a professor at Harvard, but also at Chicago Business School.
[00:16:34.105 --> 00:16:41.390]  And then I went and started pulling up the actual papers this morning, and there it all was, the fake news plan of what these agencies are going to do.
[00:16:41.710 --> 00:16:45.873]  Because I knew a lot of what they were going to do by what they'd announced, but I went, there's a battle plan.
[00:16:46.114 --> 00:16:47.034]  There's a battle plan.
[00:16:47.134 --> 00:16:48.175]  Where was the battle plan?
[00:16:48.455 --> 00:16:50.077]  I knew it was the Communist Chinese with a model.
[00:16:50.737 --> 00:16:54.098]  I knew they were in our papers the last month, lecturing us that this is the thing to do.
[00:16:54.818 --> 00:16:55.379]  And then it hit me.
[00:16:55.999 --> 00:16:57.179]  And that's how it works all the time.
[00:16:58.200 --> 00:17:08.963]  That's why I seem so frustrated, is my brain speeds up and is constantly accessing all this data and all this backup info, and then I'm kind of like, because I can't even get it all out to you.
[00:17:09.343 --> 00:17:10.404]  That's what's so frustrating.
[00:17:11.283 --> 00:17:21.347]  And it's just everything, since lightning chills through me, the AI systems getting placed in all of our homes, you think smart meters forced on you are bad.
[00:17:21.367 --> 00:17:30.391]  This total takeover, this battle to control the home and control your life, in the words of Microsoft, 15 years ago.
[00:17:32.452 --> 00:17:33.432]  And now it's all happening.
[00:17:34.772 --> 00:17:36.413]  I'm gonna get into that stack of news.
[00:17:40.335 --> 00:17:40.855]  But first,
[00:17:45.580 --> 00:17:48.622]  I'm sitting here, deciding what to lead with.
[00:17:49.923 --> 00:18:03.994]  The fact that John Kerry is about to announce, according to our sources and other leaks, a full recognition of Palestine ahead of Trump getting into office to hand him a civil war in the Middle East.
[00:18:04.634 --> 00:18:05.975]  They weren't going to do this previously.
[00:18:06.275 --> 00:18:10.658]  This is being done as sabotage, part of the internal civil war going on inside our government.
[00:18:11.879 --> 00:18:13.821]  And I went, no, I'll get to that later.
[00:18:14.892 --> 00:18:19.616]  And I looked over here at all the smart meters that are really AI surveillance grids in their own words.
[00:18:20.076 --> 00:18:21.257]  I said, no, that's not our top story.
[00:18:22.518 --> 00:18:26.040]  Now, I said, our top story is what it was yesterday while I came in and shot special reports.
[00:18:26.581 --> 00:18:30.604]  Obama enacts ministry of truth as public focuses on holidays.
[00:18:31.004 --> 00:18:32.485]  You got to read the bill to believe it.
[00:18:32.565 --> 00:18:37.289]  It says it's to counter information warfare, foreign and domestic.
[00:18:40.999 --> 00:18:46.043]  I studied what the globalists were doing to us 20 years ago and called it information warfare resistance.
[00:18:47.083 --> 00:18:50.506]  Well, they now recognize we're kicking their butt up and down the street because we're the real Americans.
[00:18:50.786 --> 00:18:51.687]  We have the moral high ground.
[00:18:51.707 --> 00:18:52.147]  We have the history.
[00:18:52.167 --> 00:18:52.647]  We have the facts.
[00:18:52.988 --> 00:18:59.893]  But I was sitting here looking at this and I was looking at this article going, what is this article about sunlight supports immune system?
[00:19:00.253 --> 00:19:01.374]  What does this have to do?
[00:19:03.351 --> 00:19:05.191]  With fake news, and then it hit me.
[00:19:06.392 --> 00:19:15.534]  Cass Sunstein, and I pulled up the articles, and there he was saying $10,000 fines if you say some sunlight is needed for health.
[00:19:15.754 --> 00:19:16.754]  You'll die without it.
[00:19:16.774 --> 00:19:21.955]  I mean, the studies are absolutely conclusive.
[00:19:22.435 --> 00:19:25.256]  You will die without sunlight early.
[00:19:25.436 --> 00:19:28.957]  And if you don't have vitamin D supplementation, you will die within just a year or so.
[00:19:28.977 --> 00:19:31.057]  It's an absolute fact.
[00:19:33.544 --> 00:19:40.089]  Now that's nothing to do with the whole fake news story other than the fact that's an example of what they plan to ban once they get in full control.
[00:19:40.789 --> 00:19:46.073]  And how Sunstein wants to do it, and the inside thinking, this got rejected eight years ago.
[00:19:46.814 --> 00:19:48.455]  This was eight years ago he was pushing all this.
[00:19:48.695 --> 00:19:52.218]  Right when he first got in, so like seven years ago and eight, nine months.
[00:19:52.979 --> 00:19:56.641]  And we've got it all, and then now it ties to all the new information.
[00:19:57.887 --> 00:20:06.869]  And no one else had made this point, and I'm not bragging, it's just, I'm telling you, I've got ten times more of the data buried in my brain that I can't even pull up on this subject.
[00:20:15.468 --> 00:20:21.490]  We have a special program today because in a few moments we are joined by a legendary American journalist Alex Jones.
[00:20:22.710 --> 00:20:27.632]  But before that, let's see this short piece about our today's special guest Alex Jones.
[00:20:29.156 --> 00:20:32.741]  Mainstream media, the fourthest state, is molding us today.
[00:20:33.061 --> 00:20:39.190]  We form our worldview, our perception of reality, depending on how the mainstream media presents the information to us.
[00:20:39.750 --> 00:20:44.036]  In the Western world, the dictatorship of the liberal paradigm is all too obvious when
[00:20:44.096 --> 00:20:44.496]  I don't know.
[00:21:02.543 --> 00:21:10.708]  Meanwhile, all the front pages of every other publication portray Trump as a loser, intentionally exaggerating his supposed dark past.
[00:21:10.888 --> 00:21:15.671]  His words taken out of context and repeated over and over on all media outlets.
[00:21:15.951 --> 00:21:25.597]  On November 8, the main Western media operations had already prepared their November 9 issue with Hillary's portrait on the cover and headline, Madam President.
[00:21:25.837 --> 00:21:32.041]  And television programs have prepared reports praising the Lady Kingpin of the world financial elites.
[00:21:32.601 --> 00:21:38.168]  Something went wrong and all the pre-scripted news packages turned a complete fiasco.
[00:21:38.248 --> 00:21:40.912]  They've put everything on the line and bailed miserably.
[00:21:41.032 --> 00:21:44.456]  The predetermined Clinton win has suffered a death blow.
[00:21:44.596 --> 00:21:45.998]  The numbers spoke for themselves.
[00:21:46.158 --> 00:21:46.959]  Trump won.
[00:21:47.420 --> 00:21:50.864]  No one in the US mainstream media believed or wanted to believe in Trump.
[00:21:51.104 --> 00:22:03.690]  No one except for those in the scientific polls, Los Angeles Times, and one dynamic, highly passionate, energetic, and unrelenting journalist and documentary producer Alex Jones, the director and editor-in-chief of InfoWars News.
[00:22:03.910 --> 00:22:08.253]  It is this journalist who had the courage to show the truth of what is really going on in the United States.
[00:22:08.493 --> 00:22:12.955]  For many years, he has been fighting the false narratives of the mainstream media information.
[00:22:13.075 --> 00:22:20.198]  He has exposed the globalist liberal ideology prevailing in a totalitarian style on the modern Western media front.
[00:22:20.499 --> 00:22:25.721]  He reported on the financial elites, their stakes and strategies during the election.
[00:22:26.061 --> 00:22:34.965]  Alex Jones believes that behind all the world's media outlets there's an ideological liberal agenda which aims at building a unipolar empire.
[00:22:35.225 --> 00:22:40.548]  This world government manipulates all the prominent media systems for the sake of their own personal interests.
[00:22:41.208 --> 00:22:46.250]  He was all but ostracized for continually exposing the war crimes of Hillary Clinton.
[00:22:46.450 --> 00:22:51.552]  They avoided mentioning his name, and his website suffered repeated denial-of-service attacks.
[00:22:51.772 --> 00:22:53.732]  But they couldn't stop him.
[00:22:53.933 --> 00:22:57.294]  His videos continue to gather hundreds of thousands of views.
[00:22:57.554 --> 00:23:04.036]  Infowars.com was practically the only resource where the elections were covered thoroughly and objectively.
[00:23:04.256 --> 00:23:10.518]  They didn't cut their live feeds when someone voiced criticism towards the FBI, and they discussed the WikiLeaks dumps.
[00:23:10.798 --> 00:23:15.100]  InfoWars has built itself to serve the interests of the American people.
[00:23:15.320 --> 00:23:20.022]  This media organization showed its independence from the world financial elites.
[00:23:20.242 --> 00:23:22.923]  It showed its sovereignty from the globalist owners.
[00:23:23.223 --> 00:23:39.842]  And today, when all the mainstream liberal media have utterly been discredited, revealing themselves as puppets, InfoWars, along with the new independent media outlets, are becoming powerful forces in the new era and new paradigm which ushered Donald Trump.
[00:23:40.686 --> 00:23:43.347]  Look, I'm not gonna sit here and say, see, I told you so.
[00:23:43.587 --> 00:23:46.627]  That communist Chinese-style net censorship is coming to the web.
[00:23:46.647 --> 00:23:47.728]  Because it's already here.
[00:23:48.108 --> 00:23:48.768]  It's been announced.
[00:23:49.128 --> 00:23:52.589]  The way you keep the internet open and free is you get involved more than ever.
[00:23:53.009 --> 00:23:54.969]  Go to InfoWars.com forward slash app.
[00:23:55.070 --> 00:23:56.610]  A new battleship in the fight.
[00:23:56.810 --> 00:23:57.790]  InfoWars Live.
[00:23:57.990 --> 00:23:58.810]  Available right now.
[00:23:59.090 --> 00:24:00.451]  We're looking for a crew to man it.
[00:24:00.891 --> 00:24:03.271]  You gonna sit down and play games and be a trendy?
[00:24:03.972 --> 00:24:04.892]  Or you gonna be part of history?
[00:24:05.452 --> 00:24:08.453]  Don't sit by and let the internet and free speech be stolen from you.
[00:24:08.953 --> 00:24:09.513]  Take action!
[00:24:15.911 --> 00:24:40.323]  Okay, so there's so much tyranny that I'm here already reading articles about a new department created, run by the, quote, intelligence agencies, the Pentagon and the State Department, to oversee the Board of Governors of the FCC to regulate the internet, print media, cable TV, not just broadcast TV or radio, and to organize and then police that information.
[00:24:41.732 --> 00:24:53.458]  And then I flip to another article in the Science Stack about how moderate sunlight is essential to your immune system, to not being depressed, to being healthy, to having good hormone rates.
[00:24:53.618 --> 00:24:57.000]  It raises your testosterone and other key hormones you need.
[00:24:57.040 --> 00:24:59.341]  People wonder why they don't have good sperm counts, you name it.
[00:24:59.541 --> 00:25:00.802]  Your body thinks you're dying.
[00:25:01.182 --> 00:25:02.303]  It thinks you live in a cave.
[00:25:02.683 --> 00:25:03.604]  It thinks you're a prisoner.
[00:25:04.164 --> 00:25:07.766]  Everybody knows prisoners are unhealthy that are in supermaxes from no sunlight.
[00:25:09.565 --> 00:25:23.157]  And then I remember, oh my gosh, it's Cass Sunstein, the White House regulations czar, who comes up with legislation that Obama and the globalists want, one of the most important people in the administration.
[00:25:23.857 --> 00:25:32.765]  And he's a guy that wrote not one, but two papers at Harvard and Chicago Business School calling for fining people 10,000 smackers.
[00:25:36.932 --> 00:25:45.077]  If you quote, put out fake news, and he said a government body headed up by the State Department, so we now know whose plan this is.
[00:25:45.377 --> 00:25:46.458]  It's Cass Sunstein!
[00:25:49.459 --> 00:25:53.422]  Eight years later, this thing got, you know, shot down early in 2008, 2000.
[00:25:54.582 --> 00:25:56.804]  Yeah, it was early 2008, 2009.
[00:25:57.024 --> 00:26:00.946]  So think about that.
