[00:00:19.698 --> 00:00:20.479]  Another time.
[00:12:04.055 --> 00:12:07.901]  Oh, more long lines this time at Atlanta for multiple hours.
[00:12:09.264 --> 00:12:10.965]  BSTV reports.
[00:12:11.605 --> 00:12:14.166]  Just training everybody that the TSA needs more funding.
[00:12:14.186 --> 00:12:15.326]  That's how you hold folks hostage.
[00:12:15.366 --> 00:12:15.827]  Good job.
[00:12:16.247 --> 00:12:18.568]  Good job, federal government, hijacking our transportation.
[00:12:19.028 --> 00:12:24.490]  Murder rates in Chicago, LA, Dallas and Vegas skyrocket because the economy is imploding.
[00:12:24.710 --> 00:12:28.171]  These are all in big city areas where the general population is not armed, of course.
[00:12:29.512 --> 00:12:31.613]  Chicago had the highest crime rate in the world two years ago.
[00:12:31.653 --> 00:12:34.714]  It's doubled since then, to double its previous record.
[00:12:36.513 --> 00:12:42.223]  These are places run by the Mafia, run by the Clintons and the Obamas and others.
[00:12:42.784 --> 00:12:44.366]  Hillary Clinton says her husband will fix...
[00:12:46.325 --> 00:12:46.925]  The economy.
[00:12:47.286 --> 00:12:50.548]  That's right, Bill Clinton planted the seeds of economic destruction.
[00:12:50.568 --> 00:12:55.072]  We're going to be talking about the real economic record of these people.
[00:12:55.772 --> 00:13:06.281]  Princeton professor, there are few superstitions that are more absurd than transgenderism, saying that it's basically complete mental illness.
[00:13:07.970 --> 00:13:11.332]  Twelve signs that a cloud of insanity has descended on the land.
[00:13:11.372 --> 00:13:18.176]  I want to go through these twelve signs because it's a good article by Michael Snyder, but I want to just point out there's stuff a lot crazier than this.
[00:13:18.196 --> 00:13:19.737]  So I've got a list of about a hundred.
[00:13:19.777 --> 00:13:23.079]  I'm really going to attempt to go through this today.
[00:13:24.460 --> 00:13:24.840]  Study.
[00:13:24.920 --> 00:13:25.501]  Go to church.
[00:13:25.641 --> 00:13:26.241]  Live longer.
[00:13:26.341 --> 00:13:27.302]  CBS Philly.
[00:13:28.362 --> 00:13:30.844]  Another scientific study shows what all the other studies show.
[00:13:31.065 --> 00:13:34.268]  Absolutely increases your lifespan, just like the Bible says.
[00:13:34.968 --> 00:13:42.575]  Follow the Lord by God's commandments and you will be given at least 75 years and maybe another 25 on top of it.
[00:13:42.876 --> 00:13:44.417]  Go read Leviticus for yourself.
[00:13:47.860 --> 00:13:48.741]  Continuing here.
[00:13:49.986 --> 00:13:53.669]  I told you at the time this was totally fake because Whole Foods had come out and said it was fake.
[00:13:54.470 --> 00:13:57.492]  And the baker that actually made the cake was, quote, gay.
[00:13:57.512 --> 00:14:03.377]  I'm not going to use the word you say, not because I dislike you, but because now we can't use the word mother or father either because the media said so.
[00:14:03.397 --> 00:14:05.598]  So the baker was homosexual.
[00:14:06.559 --> 00:14:14.705]  And he said that the pastor, wanting attention, said that they wrote fag on it.
[00:14:15.486 --> 00:14:18.989]  And I could look at the cake and see it was even done in another hand.
[00:14:19.923 --> 00:14:25.745]  Whoever had, you know, squeezed out the blue paste, we can probably put it on screen for TV viewers, had put it in a little bit different font.
[00:14:26.406 --> 00:14:30.267]  And, I mean, why would someone put in a cake saying, love wins, and then this comes back?
[00:14:30.327 --> 00:14:33.889]  It was a huge publicity stunt, just like most of these things are, a false flag.
[00:14:34.189 --> 00:14:34.469]  And guess what?
[00:14:34.489 --> 00:14:36.830]  The surveillance camera shows him getting it, and it didn't say it.
[00:14:37.130 --> 00:14:39.431]  He went home and did it, and now he's, quote, apologized.
[00:14:39.911 --> 00:14:41.272]  But here's the big lesson in all this.
[00:14:42.352 --> 00:14:43.633]  It's probably changed our headline, too.
[00:14:45.472 --> 00:14:50.677]  Homosexual activists caught in false flag are caught staging a hate crime against himself.
[00:14:53.500 --> 00:14:56.503]  Because this is all how we're diverted while all our basic liberties are taken.
[00:14:56.743 --> 00:14:59.305]  We're diverted off into who bakes people's cakes.
[00:14:59.906 --> 00:15:05.952]  While all of our freedoms are stolen, we're signed on to giant debts, but oh my gosh, there's this obsession with bakeries.
[00:15:06.993 --> 00:15:07.854]  But here's the big issue.
[00:15:09.508 --> 00:15:15.972]  Look at this article out of the Austin American Statesman, also have one out of KVUE TV, and they all have the same headline.
[00:15:16.973 --> 00:15:20.555]  Pasture to drop lawsuit against Whole Foods over anti-gay slur on cake.
[00:15:20.875 --> 00:15:25.778]  It should be pasture caught lying in hoax for attention.
[00:15:27.856 --> 00:15:37.862]  Almost every time a swastika gets put on a dorm, or a cross is burned in the yard, or the lacrosse team supposedly rapes the black woman, 99% of the time it comes out it's fake.
[00:15:38.702 --> 00:15:40.543]  I mean, I'm telling you, when is it real?
[00:15:41.444 --> 00:15:42.064]  When is it real?
[00:15:42.905 --> 00:15:43.505]  When is it real?
[00:15:44.205 --> 00:15:44.786]  When is it real?
[00:15:45.386 --> 00:15:45.946]  When is it real?
[00:15:46.427 --> 00:15:51.710]  It was real when three white supremacist convicts pulled over
[00:15:53.300 --> 00:15:58.606]  And killed a homeless former black convict that they knew and drug him behind their car until his head came off.
[00:15:59.027 --> 00:16:08.738]  Then a couple years later, on the same stretch of road, a white homeless person was drugged to death and there was one article and no coverage.
[00:16:09.098 --> 00:16:11.081]  And again, I'm talking about control here, folks.
[00:16:11.101 --> 00:16:11.902]  Just media control.
[00:16:13.288 --> 00:16:21.251]  They will not tell you this guy staged it to the last paragraph and says Whole Foods has video and that they believe he did it himself and that they're suing him.
[00:16:21.451 --> 00:16:23.191]  He says, I'm sorry, I shouldn't have done this.
[00:16:23.611 --> 00:16:24.732]  But he doesn't admit to it.
[00:16:26.332 --> 00:16:27.693]  And the media lets him get away with it.
[00:16:29.893 --> 00:16:36.816]  I think it's wrong to drag a red-haired man down the road, a black-haired man down the road, a purple person down the road.
[00:16:37.276 --> 00:16:40.417]  The point is, though, it's how the media reports this stuff.
[00:16:41.846 --> 00:16:43.508]  Again, there are a lot of problems with the police.
[00:16:43.728 --> 00:16:46.050]  Massive corruption in many areas.
[00:16:46.290 --> 00:16:47.851]  Part of the corrupt overall system.
[00:16:48.472 --> 00:16:52.716]  But statistically, police kill around 1,000 to 1,100 people a year.
[00:16:53.797 --> 00:16:58.300]  And in the feds on investigations, they say around 100 to 150 every year are questionable.
[00:16:58.581 --> 00:16:59.602]  Let's say that's a whitewash.
[00:16:59.642 --> 00:17:01.944]  Let's say 400 are questionable.
[00:17:01.984 --> 00:17:03.425]  No, let's say 500 are questionable.
[00:17:03.605 --> 00:17:04.786]  Let's say 550.
[00:17:05.126 --> 00:17:07.889]  Half of them are bad shootings, which I don't believe they are.
[00:17:12.281 --> 00:17:13.601]  More cops than that get shot a year.
[00:17:13.882 --> 00:17:16.442]  But you don't know any of the cops' names that ever got shot, do you?
[00:17:16.643 --> 00:17:23.925]  But you know the name of every other person in the inner city that got shot because it's the media hyping it into racial division.
[00:17:26.666 --> 00:17:30.067]  And then the feds are coming in to federalize the police to supposedly fix that problem.
[00:17:30.107 --> 00:17:32.068]  I'm sorry, the numbers don't add up.
[00:17:33.828 --> 00:17:36.629]  Now, do I like cops out there revenue generating instead of stopping criminals?
[00:17:37.130 --> 00:17:37.830]  Absolutely not.
[00:17:37.870 --> 00:17:41.051]  And that's the government directing the police departments to do that.
[00:17:42.065 --> 00:17:51.869]  And so, it's like, I'm mad at the TSA for the stuff they do, but the Congress does it, and the parties do it, while they leave the border open and ship in the illegals, saying, I've got to have my genitals groped.
[00:17:52.150 --> 00:17:53.570]  The problem is Congress.
[00:17:54.250 --> 00:17:56.231]  And the problem is our states not stopping it.
[00:17:56.451 --> 00:18:08.217]  But when Texas passed a law, passed it in the House, and was about to pass the Senate unanimously in the House, to not let them grope children at the airport, Obama, five years ago, threatened air blockades with F-16s.
[00:18:08.317 --> 00:18:10.758]  It was almost civil war again.
[00:18:13.922 --> 00:18:14.602]  See, think about that.
[00:18:14.683 --> 00:18:23.609]  See, all of our rights are being destroyed by multinationals that have come in and taken this country over, just like they did China 200 years ago, or African countries, or you name it.
[00:18:23.849 --> 00:18:32.795]  We're being colonized by multinational corporations who want us poor, and want to drive down wages, and don't want prosperity, who are cold-blooded.
[00:18:32.875 --> 00:18:34.196]  They're not free marketers.
[00:18:34.216 --> 00:18:35.017]  They're monopoly men.
[00:18:35.197 --> 00:18:36.297]  They're our mortal enemies.
[00:18:36.538 --> 00:18:39.740]  They exempt themselves from the taxes and regulations they put on us.
[00:18:41.926 --> 00:18:48.052]  We're too busy for two years hearing that the lacrosse team raped a black stripper and it turned out the whole thing was fake because she wanted attention!
[00:18:49.873 --> 00:18:50.274]  And you know what?
[00:18:50.294 --> 00:18:52.896]  People do that because they know they'll get attention.
[00:18:55.679 --> 00:19:01.044]  They'll get attention and they'll get lawsuits and people get money because the media plays along with this.
[00:19:02.329 --> 00:19:08.731]  To divide and conquer our nation and tens of millions of lawyers suing everyone for everything as the economy collapses.
[00:19:08.931 --> 00:19:11.712]  You can't do business in this country anymore.
[00:19:14.773 --> 00:19:17.274]  Swimming pools are now two feet deep because of lawsuits.
[00:19:17.574 --> 00:19:19.295]  Diving boards were gone 20 years ago.
[00:19:19.835 --> 00:19:21.515]  Dodgeball and tag's been banned.
[00:19:21.775 --> 00:19:23.436]  Soon it'll be football and baseball.
[00:19:23.776 --> 00:19:29.218]  We're being totally captured in a scientific, panopticonic nanny state designed to kill.
[00:19:30.376 --> 00:19:31.437]  Normal human activity.
[00:19:31.917 --> 00:19:33.018]  And the metrics are all in.
[00:19:33.178 --> 00:19:36.880]  We're dumb, we're fat, we're stupid, we're lazy, we're jellyfish.
[00:19:37.740 --> 00:19:41.342]  The public walks around with giant fluoride goiters hanging by their necks.
[00:19:42.243 --> 00:19:44.344]  You're under chemical attack, wake up to it!
[00:19:46.325 --> 00:19:49.447]  The problem is not 150 bad shootings a year.
[00:19:51.408 --> 00:19:54.490]  You could execute that 150 cops every year, it wouldn't do jack crap.
[00:19:55.680 --> 00:19:58.342]  And I'm certainly not here saying I've got no problems with the police.
[00:19:58.542 --> 00:20:00.543]  The point is, it's a red herring!
[00:20:01.303 --> 00:20:02.684]  Excuse me, I'm gonna try to control myself.
[00:20:03.044 --> 00:20:05.886]  Okay, I got through, like, I got through, like, 20-something stories.
[00:20:05.926 --> 00:20:06.807]  I got, like, a hundred more.
[00:20:07.027 --> 00:20:09.748]  When we come back, I'm going through each one, bam, bam, bam, then I'm going back into them.
[00:20:10.709 --> 00:20:14.011]  There is an attack on the human institution of family.
[00:20:14.784 --> 00:20:18.387]  And if you want to take down the nuclear family, you attack males.
[00:20:19.247 --> 00:20:23.050]  Males are the defender of the human tribe.
[00:20:23.630 --> 00:20:28.374]  When men fall, the rest of humanity can be completely enslaved.
[00:20:29.154 --> 00:20:32.837]  The attack on the family is in movies, sitcoms, dramas.
[00:20:33.117 --> 00:20:34.618]  This isn't to empower women.
[00:20:35.119 --> 00:20:36.620]  This is to wreck civilization.
[00:20:36.860 --> 00:20:42.565]  For too long, we have been allowing the globalist controllers to launch a full-scale chemical war on our masculinity.
[00:20:42.785 --> 00:20:43.846]  You've seen the headlines.
[00:20:43.886 --> 00:20:49.491]  The estrogen mimickers and the gender-bending compounds and the food and water supply are changing the way our bodies work.
[00:20:49.631 --> 00:20:53.335]  And men are the number one target of this program.
[00:20:53.655 --> 00:20:59.817]  With the estrogen mimickers in the plastics, in the printer paper, and in thousands of other items, it's on record.
[00:21:00.137 --> 00:21:06.519]  Our testosterone level, many times by the time we hit 40, is 80% lower than it should be or more.
[00:21:06.719 --> 00:21:14.261]  Our sperm counts, depending on which western country you look at, are 80 to almost 96% reduced.
[00:21:14.842 --> 00:21:17.942]  Fertility is plummeting through the floor.
[00:21:18.543 --> 00:21:22.144]  Now, it's impossible, even if you're a health nut, to avoid all of this.
[00:21:22.924 --> 00:21:29.468]  But for myself personally, what I've experienced with the products at Infowarslife.com has been simply amazing.
[00:21:30.349 --> 00:21:33.651]  Supermail Vitality has changed my life in the last three years.
[00:21:33.951 --> 00:21:40.154]  That's why we wanted to develop something that works in conjunction with Supermail to take it to the next level.
[00:21:40.615 --> 00:21:42.096]  It's only been out for about six months.
[00:21:42.956 --> 00:21:51.760]  It sold out so quickly in its first run and now it is back after months of not being available and ThroPlex.
[00:21:52.541 --> 00:21:58.624]  The reason we sell out when other big vitamin and mineral and nutraceutical makers don't
[00:21:59.384 --> 00:22:05.409]  Is because we only source the purest, cleanest, high-quality, organic products.
[00:22:05.489 --> 00:22:15.316]  And it's really hard when you've got a formulation that's got a bunch of really great ingredients in it to get them and to always have them be perfectly clean and to be able to pass some of the highest standards in the world.
[00:22:15.616 --> 00:22:26.464]  When you go to Infowarslife.com, you can see that for yourself and find out why Anthroplex, taken by itself or in conjunction with Super Male Vitality, is such a game changer.
[00:22:26.785 --> 00:22:28.025]  This is the next level.
[00:22:28.986 --> 00:22:32.947]  And I'm so proud that we were able to bring a product like this to you.
[00:22:33.607 --> 00:22:36.208]  This is how men were supposed to feel.
[00:22:36.548 --> 00:22:40.949]  Quite frankly, I remember what it felt like to be 18 or 19 or 20.
[00:22:41.490 --> 00:22:46.051]  To be crazed, to be aggressive, to feel just exhilaration.
[00:22:46.951 --> 00:22:56.355]  And it's the super male vitality and the AnthroPlex with exercise and a better diet that have taken me back to where I was and quite frankly beyond.
[00:22:56.756 --> 00:22:57.416]  It's amazing.
[00:22:57.636 --> 00:23:01.478]  And AnthroPlex is now back in stock at InfoWarsLife.com.
[00:23:01.798 --> 00:23:07.320]  Men, do yourself a favor and get a bottle of AnthroPlex today and see what I'm talking about.
[00:23:07.840 --> 00:23:15.564]  All of our products at InfoWarsLife.com are recognized as safe and they are made in FDA certified labs.
[00:23:16.064 --> 00:23:22.029]  The media tries to demonize supplements because, quite frankly, Mother Nature's got a lot to offer that Big Pharma doesn't.
[00:23:22.649 --> 00:23:27.233]  But there are some bad companies out there and there are some substances that Mother Nature produces that aren't good for you.
[00:23:27.934 --> 00:23:36.321]  That's why everything we put in these products is recognized as safe and produced at the highest level, highest quality FDA certified labs.
[00:23:36.781 --> 00:23:44.705]  Talk to your physician or healthcare provider before you take Anthraplex or any of the products at Infowarslife.com like X2.
[00:23:45.445 --> 00:23:47.526]  Because this stuff's real.
[00:23:47.926 --> 00:23:51.208]  Just one of the ingredients in Anthraplex is horny goat weed.
[00:23:51.488 --> 00:23:57.251]  In Chinese traditional medicine, it is recognized as one of the most powerful male stimulants.
[00:23:57.731 --> 00:24:00.472]  Not just of libido, but overall vitality.
[00:24:00.853 --> 00:24:07.276]  We put together a classic formula, souped up with the highest quality at a very low price.
[00:24:07.736 --> 00:24:10.237]  Available at Infowarslife.com today.
[00:24:24.104 --> 00:24:26.665]  Well, he got demonized by
[00:24:28.138 --> 00:24:31.059]  Glenn Beck, he got demonized by Ted Cruz.
[00:24:33.360 --> 00:24:38.782]  I got demonized as well by those same individuals.
[00:24:39.803 --> 00:24:56.750]  Matt Drudge got attacked by the entire Republican establishment that he was a horrible person, that he was evil, that he was bad because he pointed out that in the primaries Trump was winning but they would then take the delegates in six different states
[00:24:58.024 --> 00:24:59.605]  And give them to Cruz and make him win.
[00:25:01.347 --> 00:25:03.289]  And just say, oh, it's our rules, we say so.
[00:25:04.890 --> 00:25:12.837]  Then they started just cancelling the primaries and just having the superdelegates unanimously give everything to Ted Cruz.
[00:25:13.137 --> 00:25:14.058]  And folks really got upset.
[00:25:14.098 --> 00:25:16.500]  And every day that that happened, Drudge would link to it.
[00:25:16.880 --> 00:25:18.121]  Showininfowars.com.
[00:25:18.842 --> 00:25:23.566]  And just run the headline, she keeps losing, how come she's winning?
