[00:00:11.132 --> 00:00:17.154]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:10:26.024 --> 00:10:43.689]  are so scared illustrates the fact that they've already hijacked the nation and they don't like anybody talking about the fact that they've set up a lot of unfair deals that have put America at a disadvantage by design to de-industrialize us and to consolidate control over our lives.
[00:10:44.429 --> 00:10:49.670]  And coming up, Donald Trump has said, quote, we have the video clip, I'm so happy China is upset.
[00:10:50.230 --> 00:10:52.711]  They have waged economic war against us.
[00:10:54.497 --> 00:10:57.558]  And I'm glad Trump talks like that now, because I know he knows what's going on.
[00:10:57.939 --> 00:11:04.502]  Previously he would say that they're smarter than us, their leaders are smarter than our leaders, and that we've made some really bad deals.
[00:11:05.082 --> 00:11:05.402]  No.
[00:11:06.682 --> 00:11:10.964]  Globalists like Henry Kissinger and the Bushes, Bush was the, Bush Sr.
[00:11:11.004 --> 00:11:22.850]  was the first ambassador to China, and once it opened back up, they made deals, one-sided factory deals, to pass regulations in America prohibiting industry here.
[00:11:23.780 --> 00:11:24.421]  We're good to go.
[00:11:34.349 --> 00:11:41.636]  Slave plantation model labeled communism to leverage out all competition globally.
[00:11:42.277 --> 00:11:48.102]  This is economic warfare and I've been hammering that for 21 years on air because that's what it is.
[00:11:48.883 --> 00:11:51.045]  Globalism is economic warfare.
[00:11:51.565 --> 00:11:54.948]  It is a modern form of corporate colonialism.
[00:11:56.710 --> 00:11:58.412]  Corporate monopoly.
[00:12:00.492 --> 00:12:01.353]  Colonialism.
[00:12:01.754 --> 00:12:04.577]  And by the way, I've coined all these terms that are now in use.
[00:12:04.618 --> 00:12:05.278]  I'm not bragging.
[00:12:05.599 --> 00:12:07.441]  I'm just showing the power of the truth.
[00:12:07.942 --> 00:12:17.995]  The power of people finally hearing the truth and then historically looking at definitions and realizing that they are establishing neo-feudalistic global fascism.
[00:12:18.931 --> 00:12:22.332]  Labeled as socialism and communism at the grassroots level.
[00:12:22.893 --> 00:12:25.634]  The name of the game is domestication of the population.
[00:12:25.994 --> 00:12:27.014]  Making you dependent.
[00:12:27.294 --> 00:12:47.863]  Putting you into an artificial system so you can't survive outside of a quote modern smart grid that is really a AI high-tech artificially intelligent false creation template that is a proto matrix type human soul-destroying machine.
[00:12:50.794 --> 00:12:52.195]  We're gonna get to all of that today.
[00:12:53.655 --> 00:12:56.757]  We're gonna get to even foreign newspapers and even major U.S.
[00:12:56.817 --> 00:13:00.359]  papers going, look, you're supposed to have voters in primaries.
[00:13:00.979 --> 00:13:02.980]  You've never done anything like this before.
[00:13:03.000 --> 00:13:04.941]  This is unprecedented.
[00:13:05.462 --> 00:13:10.564]  And the worst part is Ted Cruz keeps talking about the popular vote, landslides, and voters.
[00:13:10.824 --> 00:13:12.385]  And I talked about this two weeks ago.
[00:13:13.045 --> 00:13:19.409]  I said, he keeps saying, I've got grassroots, I've got democracy, I've got the vote, and Trump's a sore loser.
[00:13:20.464 --> 00:13:26.845]  And Fox News and CNN won't ever say what Trump is being a sore loser about.
[00:13:26.885 --> 00:13:32.547]  They're now trimming Trump down, folks, so that people don't know exactly what's happening.
[00:13:34.187 --> 00:13:48.070]  But if you actually go look at what's happened in Wyoming this weekend, and in Colorado, and in Georgia, and in Tennessee, and in Arizona, and Louisiana, they either steal delegates after Trump wins and give them to Ted Cruz,
[00:13:49.617 --> 00:13:54.419]  Or, they just cancel it outright, and the whole world sees that and goes, wait a minute.
[00:13:55.439 --> 00:14:04.062]  You're trying to run a PSYOP where you look at people with a straight face, a psychological operation, and you say, listen, there was never a vote.
[00:14:04.462 --> 00:14:05.103]  Get used to it.
[00:14:05.143 --> 00:14:17.647]  And Previs, and Curly Hewland, and all of them keep going on TV, smiling with Cheshire Cat, you know what, eatin' grins, laughing at you, trying to act as confident as they can.
[00:14:19.161 --> 00:14:31.749]  Like walking in, you get home from work early, your wife is in the bed, there's no sheets, your neighbor is right there, plain as day, on top of your wife.
[00:14:32.509 --> 00:14:46.878]  And he gets up, naked as a jaybird in front of you, starts putting on his pants and he says, Mr. Brown, Mr. Sanchez, Mr. Johnson, whatever your name is, I was just helping your wife put her shoes on.
[00:14:48.663 --> 00:14:49.724]  And she goes, that's right, honey.
[00:14:50.064 --> 00:14:51.845]  He was just helping with sweat running down her.
[00:14:52.865 --> 00:14:54.706]  Folks, that's how dumb they think we are.
[00:14:54.746 --> 00:14:56.948]  And I hate to use an allegory or an analogy like that.
[00:14:57.228 --> 00:14:59.769]  It's a family show, but that's what's going on here.
[00:15:01.490 --> 00:15:05.452]  Except it's not just cheating, you know, with your wife in front of you.
[00:15:05.692 --> 00:15:07.393]  They're robbing your whole future.
[00:15:07.613 --> 00:15:11.315]  This is 21st century, fourth, fifth generation conquest.
[00:15:12.276 --> 00:15:13.176]  This is warfare.
[00:15:13.917 --> 00:15:15.698]  And Donald Trump's saying this is warfare.
[00:15:16.618 --> 00:15:23.123]  The Chinese president, the Chinese head of trade, the Chinese censorship board have all come out and called him Hitler.
[00:15:24.304 --> 00:15:31.991]  These are people with mobile execution vans that sell peaceful, not even Zen Buddhists.
[00:15:32.051 --> 00:15:33.812]  The Falun Gong aren't even religious.
[00:15:34.553 --> 00:15:37.015]  You can argue, well Buddhism isn't a religion, it's a philosophy.
[00:15:37.375 --> 00:15:38.596]  It's a religion, okay?
[00:15:39.637 --> 00:15:44.381]  And it's also a very peaceful religion historically and has a lot of tenets that I find admirable.
[00:15:44.401 --> 00:15:45.422]  I'm not a Buddhist.
[00:15:46.796 --> 00:15:49.218]  But the point is, this is one of the most peaceful groups of people there are.
[00:15:49.598 --> 00:15:58.084]  They're into not eating unhealthily, not drinking, and exercising, and so they are perfect for organ harvesting.
[00:16:02.967 --> 00:16:08.791]  And you have people shelling peaceful political dissidents who get caught practicing their
[00:16:09.890 --> 00:16:10.350]  Religion.
[00:16:11.010 --> 00:16:14.311]  And there's no pointing out that Buddhism is a religion in my view, though they say it isn't.
[00:16:14.631 --> 00:16:19.232]  When you get down to Falun Gong, they've trimmed it back so much that it's not even a religion.
[00:16:19.512 --> 00:16:26.074]  It's like an exercise, relaxation, health practice.
[00:16:27.534 --> 00:16:30.035]  And they are killing them
[00:16:32.270 --> 00:16:35.193]  On record and advertising that they, quote, have fresh organs.
[00:16:35.213 --> 00:16:38.436]  That's how they translate it in the Chinese communist publications.
[00:16:38.996 --> 00:16:47.383]  And then, again, they take your organs on the way to the airport so they're totally fresh, put them on ice, fly the hour flight into Tokyo, and implant most of the organs right there.
[00:16:47.403 --> 00:16:51.046]  And there's a huge tourism, medical tourism trade to go over there.
[00:16:51.647 --> 00:16:52.728]  And they have the nerve.
[00:16:52.748 --> 00:16:55.590]  This is just one of the huge crimes China commits.
[00:16:56.724 --> 00:17:02.971]  The suicide nets, the forced abortions, the infanticide, the one-child policy, on and on.
[00:17:03.011 --> 00:17:07.996]  The 84 million killed by Mao Zedong alone during his nightmare.
[00:17:09.137 --> 00:17:09.938]  What was his reign?
[00:17:11.239 --> 00:17:12.781]  Officially over China, 49 until the late 70s.
[00:17:15.606 --> 00:17:17.267]  Under him, 84 million?
[00:17:17.367 --> 00:17:19.007]  The Chinese government admits?
[00:17:19.427 --> 00:17:24.669]  You guys killed probably, just under Mao, four or five times what Hitler did?
[00:17:25.249 --> 00:17:29.710]  Three times what Stalin and Lenin did together?
[00:17:30.810 --> 00:17:36.912]  You are the heavyweight champion mass murderers of world history, of your own people.
[00:17:37.272 --> 00:17:39.373]  Most of them didn't even resist you.
[00:17:42.751 --> 00:17:48.214]  And then you get up in the whole political correct racket and tell us Donald Trump is Hitler.
[00:17:48.774 --> 00:17:52.356]  And let's get down to what the Ford Foundation is really saying there when they put that talking point out.
[00:17:53.237 --> 00:17:55.138]  They're saying if you're white, you're Hitler.
[00:17:57.694 --> 00:18:04.303]  Just like Obama said, sorry, I'm trying to appoint a white guy who's a horrible anti-gunner, even worse than Kagan and Sotomayor in many ways.
[00:18:04.683 --> 00:18:06.946]  I'm sorry he's white, but he's the best jurist for the job.
[00:18:07.547 --> 00:18:12.653]  Again, the idea that white people are inherently bad, that's all they're selling is total balkanization.
[00:18:13.314 --> 00:18:21.319]  Get at everybody's throat because we're bringing in hundreds of thousands of non-vetted refugees where they don't even check their IDs or passports in many cases.
[00:18:21.339 --> 00:18:25.501]  They won't even give the state governors their names, the state police their names for a database.
[00:18:25.761 --> 00:18:31.925]  The feds just turn them loose, millions of them in Europe, and he says you gotta stop everybody coming in until we start vetting them again.
[00:18:32.165 --> 00:18:37.368]  Yeah, close the border till we turn the vetting back on that Obama's order turned off and they spin that.
[00:18:37.388 --> 00:18:40.230]  I saw an article in USA Today, I saw another one.
[00:18:41.141 --> 00:18:45.464]  This morning in CNN about why New Yorkers are rejecting Trump.
[00:18:45.504 --> 00:18:47.165]  Yeah, that's why he's about to win by 60 points.
[00:18:47.185 --> 00:18:53.309]  It was like, well, this guy from Italy who's an African doesn't like him because he hates immigrants.
[00:18:53.689 --> 00:18:55.210]  Trump never said that immigrants are great.
[00:18:55.451 --> 00:18:56.091]  Come here legally.
[00:18:56.411 --> 00:18:59.793]  But then it's this whole article about how hurt he is that Trump hates him.
[00:19:01.455 --> 00:19:04.957]  And again, that's the new titles in America of nobility.
[00:19:05.397 --> 00:19:06.298]  I get to be a victim.
[00:19:07.483 --> 00:19:08.504]  I get to be protected.
[00:19:09.024 --> 00:19:18.631]  I get to go around with a chip on my shoulder, disliking everyone and sovereignty because I just listen to talking points of the media and decide to be butthurt.
[00:19:19.531 --> 00:19:28.938]  And it's this whole religion where people collect like baseball cards how they've been slided and how someone got in their way and you know that's why they're not successful.
[00:19:29.298 --> 00:19:33.201]  People get in my way, I just go over them, around them, through them.
[00:19:34.616 --> 00:19:37.521]  Quite frankly, a lot of times I'll be exhausted and somebody tries to block what I'm doing.
[00:19:37.541 --> 00:19:40.146]  I just suddenly go, oh my gosh, I just got five hours of energy.
[00:19:42.671 --> 00:19:45.056]  It's called the animating contest of liberty.
[00:19:46.633 --> 00:19:47.933]  But no, no, no.
[00:19:48.814 --> 00:19:56.156]  Let's not worry about the cancer viruses, the vaccines, the GMOs, the human cloning that's already going on everywhere, all of the craziness, the toxic waste dumping.
[00:19:56.176 --> 00:20:07.259]  Let's worry about Donald Trump, because the communist Chinese mass murderer grand champions who out Hitler Hitler by four to five times under one dictator, they say so.
[00:20:11.687 --> 00:20:17.150]  We are witnessing an unprecedented coming out of the closet by tyrants.
[00:20:18.330 --> 00:20:25.674]  Barack Obama represents the top five megabanks and the Fortune 100 that are owned and controlled by this group.
[00:20:26.334 --> 00:20:31.097]  They are establishing an open world government where they are above the law.
[00:20:32.930 --> 00:20:50.180]  But at the domestic level, they want dictators or communist or fascist systems to control the population, to extract the wealth to the offshore combines that again are above the law, tax-exempt, and have diplomatic and regulatory immunity.
[00:20:51.101 --> 00:21:00.166]  That's what President Obama was talking about a few weeks ago when he traveled to Argentina to say there's not much difference between capitalism and communism.
[00:21:00.760 --> 00:21:04.941]  In the past, there's been a sharp division between left and right.
[00:21:05.741 --> 00:21:09.702]  Between capitalists and communists or socialists.
[00:21:10.202 --> 00:21:13.643]  And especially in the Americas, that's been a big debate, right?
[00:21:14.443 --> 00:21:20.065]  Ah, you know, you're a capitalist Yankee dog.
[00:21:20.405 --> 00:21:25.886]  I think for your generation, you should be practical and just choose from what works.
[00:21:28.174 --> 00:21:49.053]  The controlled corporate media no longer criticizes Cuba and its massive human rights violations, or China's intensifying violations, killing Buddhists in Falun Gong, peaceful people who weren't even protesting, and selling their organs that are chopped out of their bodies in mobile execution vans.
[00:21:49.814 --> 00:21:51.816]  Ten years ago, our government didn't criticize it.
[00:21:52.216 --> 00:21:52.617]  No more.
[00:21:53.277 --> 00:21:56.338]  And it's because our system is going totalitarian.
[00:21:57.158 --> 00:22:00.739]  This is the fall of America that we're witnessing right now.
[00:22:01.160 --> 00:22:05.741]  And that's why it's more important than ever that you use your First Amendment or lose it.
[00:22:06.641 --> 00:22:08.342]  InfoWars is the tip of the spear.
[00:22:08.822 --> 00:22:11.143]  Go to InfoWars.com forward slash newsletter.
[00:22:11.483 --> 00:22:18.505]  Sign up for our InfoWars Insider so we can get past the censors and send you critical videos, articles, and other intel.
[00:22:18.985 --> 00:22:24.906]  There are so many ways for you to support InfoWars.com and get these critical articles and information out.
[00:22:25.106 --> 00:22:29.087]  We're already growing exponentially, but we need to turbocharge and go to the next level.
[00:22:29.627 --> 00:22:35.249]  Every day, sign off on your email, your Facebook, your Twitter with InfoWars.com forward slash show.
[00:22:35.609 --> 00:22:37.309]  Send people the free podcast list.
[00:22:37.349 --> 00:22:42.370]  Send people the free iPhone and Droid apps that are at InfoWars.com forward slash show.
[00:22:42.610 --> 00:22:44.671]  People are ready to hear the truth.
[00:22:45.271 --> 00:23:04.508]  Visit InfoWarsStore.com to find thousands of items, the highest quality, the lowest prices on nutraceuticals and supplements, on shortwave radios, on non-GMO heirloom seeds, on powerful Second Amendment t-shirts, ball caps, Hillary for prison apparel, you name it.
[00:23:05.148 --> 00:23:08.932]  Now is the time to practice the First Amendment or lose it.
[00:23:09.572 --> 00:23:11.334]  Now they're trying to take our right to vote away.
[00:23:12.014 --> 00:23:15.598]  But we also have the right of the free market voting with our dollars.
[00:23:16.058 --> 00:23:27.671]  And we can still change things by supporting institutions and organizations that tell the truth and support and promote basic free market, renaissance, Americana values.
[00:23:28.231 --> 00:23:42.083]  That's why when you spend your money at InfoWarsStore.com and when you spread the word about the broadcast to everyone you know, you're an active participant in the second American revolution against the tyrants that have come in and occupied this nation.
[00:23:42.584 --> 00:23:46.727]  For all of you that have supported us, I want to thank you and ask you to increase your efforts.
[00:23:47.067 --> 00:23:51.231]  For those that have been on the fence but know this country's in trouble, I know I'm not perfect.
[00:23:51.451 --> 00:23:52.032]  Nobody is.
[00:23:52.432 --> 00:23:58.134]  But InfoWars has been the most effective and has got the best shot at really awakening the sleeping giant.
[00:23:58.594 --> 00:23:59.734]  So join us today.
[00:24:00.294 --> 00:24:03.335]  Support the InfoWars and be part of the solution.
[00:24:18.573 --> 00:24:22.836]  Trump said, I'm so happy China is upset they have waged economic war against us.
[00:24:22.876 --> 00:24:24.838]  We're going to play that clip here in a moment.
[00:24:24.878 --> 00:24:32.843]  But first off, I want everybody out there, especially listeners we've had for 15 years, to do a huge victory lap right now.
[00:24:33.704 --> 00:24:37.267]  Because if this information fully comes out, it will be
[00:24:38.607 --> 00:24:58.685]  A death blow to the New World Order corporate national security combined system that organizes terrorists, that protects terrorists, that funds and arms radical jihadists all over the world and other criminal groups and allows them to then attack or protects them and opens the door for them to attack
[00:24:59.676 --> 00:25:13.422]  Or sometimes carries out the complete attack, and then the affiliate group takes the credit, so that the West and the rest of the world can have whatever progress we've made towards due process and human liberty and privacy dismantled.
[00:25:14.863 --> 00:25:16.784]  And now the examples are completely naked.
[00:25:17.384 --> 00:25:19.505]  They think the public's so dumb and so illogical.
[00:25:20.166 --> 00:25:21.006]  Totally out in the open.
[00:25:21.406 --> 00:25:27.049]  Europe brings in 5 million people in the last two years, mainly out of North Africa and Syria,
[00:25:28.211 --> 00:25:49.082]  A huge conduit of migrants, of invaders, through the Middle East is allowed into Syria, who borders Eastern Europe and Southern Europe and Turkey, and allows them to then come in and have safe harbor and safe transport into Deutschland, France and other nations.
[00:25:49.862 --> 00:25:55.505]  They then trans-ship through the EU system to the United States and the rest of the world.
[00:25:57.714 --> 00:26:08.262]  And they think we're so dumb when these groups start attacking, which they've done, and when they launch their huge jihad-tet offensives that we know are coming in the future, civil emergency will be declared.
[00:26:08.282 --> 00:26:11.845]  We're on the anniversary of the Boston bombing.
[00:26:12.645 --> 00:26:14.867]  The media claims that I say there was no bombing at all.
[00:26:15.027 --> 00:26:15.808]  I do not say that.
[00:26:18.050 --> 00:26:23.994]  Or they say that I claim mercenaries did it because people were wearing Kraft International-style uniforms and Punisher hats.
[00:26:24.254 --> 00:26:26.176]  I'm not saying Kraft International did that.
[00:26:29.099 --> 00:26:31.580]  I'm saying they were clearly there running some type of security.
[00:26:31.861 --> 00:26:34.822]  They knew something was coming and there was a drill going on that day.
[00:26:35.102 --> 00:26:37.244]  Perfect cover for someone else to bomb it.
[00:26:41.106 --> 00:26:43.587]  And then it turned out the two brothers had CIA connections.
[00:26:43.827 --> 00:26:49.591]  The older one paid by the State Department through Georgetown University to travel undercover under a fake name.
[00:26:51.803 --> 00:26:55.886]  To areas of southern Russia and into the stands, like Chechnya.
