[00:00:17.463 --> 00:00:17.884]  17 seconds.
[00:09:18.029 --> 00:09:19.010]  It's like Waterborne.
[00:09:19.190 --> 00:09:19.911]  Yeah, exactly.
[00:09:19.951 --> 00:09:20.511]  That's what Eric said.
[00:09:20.531 --> 00:09:21.312]  Not even tour insurance.
[00:09:22.112 --> 00:09:23.393]  Low-level college hazing.
[00:09:23.934 --> 00:09:25.015]  Okay, so here's a question.
[00:09:25.695 --> 00:09:32.439]  Did Rubio and Cruz and Kasich, did they not join the Republican Party when they became senators and governors?
[00:09:32.479 --> 00:09:33.119]  Because that's what it says.
[00:09:33.360 --> 00:09:36.141]  The nominee joins the Republican Party.
[00:09:36.161 --> 00:09:36.822]  That's what's happening.
[00:09:37.082 --> 00:09:37.882]  They're joining us.
[00:09:37.902 --> 00:09:38.523]  They're joining us.
[00:09:38.643 --> 00:09:41.604]  And so it's like there is a Republican Party where the voters are.
[00:09:41.704 --> 00:09:44.086]  There's another Republican Party where some of these office holders are.
[00:09:44.446 --> 00:09:47.808]  And there's the inner circle of the establishment.
[00:09:48.008 --> 00:09:52.770]  It's like there's hunting clubs and then there's hunting clubs.
[00:09:52.810 --> 00:09:59.974]  You might be a hunter but you're not a green wardrobe dancing around the fire with satanic sculptures.
[00:10:00.234 --> 00:10:07.138]  Guys, one of the services you have to go through to get into Skull & Bones is you lay in a coffin and you just talk about your sexual history.
[00:10:07.338 --> 00:10:10.260]  Right, and you're naked, and they all stand around you with robes.
[00:10:10.620 --> 00:10:11.661]  This could be the same type of thing.
[00:10:11.681 --> 00:10:18.486]  They're asking about your history, they're asking you to answer some questions that might be uncomfortable, and if you get through that process, then you're good to go.
[00:10:18.666 --> 00:10:22.229]  So you have to get in a coffin, naked, and have Megyn Kelly ask you questions?
[00:10:22.249 --> 00:10:26.632]  So these are non-Republicans competing to be in the Republican spot?
[00:10:26.652 --> 00:10:28.313]  Because I thought this was the Republican debate.
[00:10:28.573 --> 00:10:29.794]  Yeah.
[00:10:29.834 --> 00:10:32.735]  This is really about the Elitist Club.
[00:10:32.995 --> 00:10:35.016]  Are you capable of joining the Elitist Club?
[00:10:35.116 --> 00:10:37.758]  Otherwise, they're going to get all these donors together and try to get you out.
[00:10:37.798 --> 00:10:38.938]  And it's not working for them.
[00:10:39.199 --> 00:10:43.741]  They spent $150 million on Jeb alone and got zero out of it.
[00:10:43.841 --> 00:10:44.521]  Zero out of it.
[00:10:45.022 --> 00:10:53.006]  I hate this visual, guys, but George W. Bush, he had to get in a coffin and talk about all that stuff in front of his dad.
[00:10:54.747 --> 00:10:54.787]  Oh.
[00:10:55.147 --> 00:10:55.788]  Skull and bones.
[00:10:55.808 --> 00:10:57.409]  My dad knows everything.
[00:10:57.449 --> 00:10:58.270]  Must have been awkward.
[00:10:58.290 --> 00:11:01.853]  I'm sure they were together for a few things.
[00:11:02.434 --> 00:11:13.044]  Well, this is what's so interesting to me about what he, Reince, said, was that it's like, no, America, you might really have come out in full force for a particular candidate.
[00:11:13.604 --> 00:11:14.845]  But that doesn't matter.
[00:11:15.185 --> 00:11:20.329]  What matters is if we accept him into our club and allow him to be your president.
[00:11:20.349 --> 00:11:20.649]  That's right.
[00:11:20.669 --> 00:11:22.610]  That's what we've been saying all of these times.
[00:11:22.630 --> 00:11:30.896]  Well that's going to wake a lot of people up because you're going to see people coming out in record numbers filling up coliseums and you're looking at when Jeb was running, you're looking at like Rubio's numbers.
[00:11:30.936 --> 00:11:38.040]  I mean no one can compare to the amount of people that Trump's bringing and if this elite club picks Rubio or Cruz or something, which probably won't happen.
[00:11:38.160 --> 00:11:39.121]  Or if they do, a broker
[00:11:39.121 --> 00:11:39.902]  We're good to go.
[00:12:03.942 --> 00:12:06.185]  So now break this down for me with the Brokered Convention.
[00:12:06.265 --> 00:12:20.340]  So I know that that was one of the reasons why I was kind of excited to get to go to one of the conventions this year, because of the way these delegates are working, and obviously the popular vote is going for Bernie Sanders versus Hillary, or here, Trump versus one of these other establishments.
[00:12:20.360 --> 00:12:24.245]  Well, it's kind of the metaphorical thing you've always heard of, the smoke-filled room, okay?
[00:12:24.946 --> 00:12:30.232]  I remember as a child, the Republican and Democrat conventions were typically always brokered.
[00:12:30.612 --> 00:12:32.334]  And so it was really kind of interesting.
[00:12:32.354 --> 00:12:35.437]  Now it's more of a beauty pageant or a parade of like, look who your candidate is.
[00:12:35.558 --> 00:12:35.778]  Exactly.
[00:12:39.722 --> 00:12:44.025]  For the last several decades, it's been decided well before they get there, okay, through the primary system.
[00:12:44.345 --> 00:12:48.108]  Because they said, we don't want smoke-filled rooms and all this stuff done in private.
[00:12:48.368 --> 00:12:50.549]  We would all sit there, not knowing what was going to happen.
[00:12:50.590 --> 00:12:54.072]  I mean, they'd already had primary votes and that sort of thing, but we wouldn't really know what was going to happen.
[00:12:54.292 --> 00:13:00.016]  They would call the roll call vote from each one of these states and they had live coverage on the floor with Walter Cronkite and all these guys doing it.
[00:13:00.276 --> 00:13:03.139]  And that's the way, by the way, the Libertarian Party is.
[00:13:03.219 --> 00:13:05.662]  It's actually kind of fun to participate in a couple of those as a delegate.
[00:13:06.022 --> 00:13:11.989]  So it's interesting, okay, but it is still a club, okay, and you're competing to join them, you know.
[00:13:12.469 --> 00:13:16.193]  But that's a core thing for people to understand.
[00:13:17.193 --> 00:13:25.797]  Right's previous RNC chair continued to repeat that, and Alison Camerota just like, well, no wait a minute, we're having an election here.
[00:13:25.817 --> 00:13:26.757]  No, no, no, you don't understand.
[00:13:26.777 --> 00:13:27.698]  They're joining us.
[00:13:27.758 --> 00:13:28.338]  We're having an election.
[00:13:28.358 --> 00:13:29.678]  And this went on for quite some time.
[00:13:29.698 --> 00:13:31.359]  We could play that clip for a lot longer.
[00:13:31.659 --> 00:13:33.180]  He wanted to get that clear.
[00:13:33.220 --> 00:13:34.421]  You're joining us.
[00:13:34.481 --> 00:13:38.142]  This is our private club, and we're going to exercise our control to keep that.
[00:13:38.202 --> 00:13:39.823]  And that's one of the things I think really hurt
[00:13:40.243 --> 00:13:48.386]  Rand Paul, at the very beginning, at least with me, I supported Rand Paul until he got out because of where he was on civil liberties issues and other constitutional issues.
[00:13:48.426 --> 00:13:51.127]  But I was very disappointed in him in the very first question.
[00:13:51.147 --> 00:14:04.411]  I remember Megyn Kelly, or it wasn't Megyn Kelly that asked it, but it was one of the guys at the first debate, says to Trump, well says to all of them, would you leave the party, because it was directed at Trump, would you leave the party if you don't get the nomination?
[00:14:04.451 --> 00:14:05.692]  And he honestly raised his hand.
[00:14:06.232 --> 00:14:08.733]  And then they came after him, but Rand Paul came after him.
[00:14:08.753 --> 00:14:10.353]  And I thought, why does that matter?
[00:14:10.713 --> 00:14:11.834]  Why does that matter to Rand?
[00:14:12.154 --> 00:14:12.514]  You know?
[00:14:12.534 --> 00:14:12.734]  Yeah.
[00:14:12.754 --> 00:14:15.895]  Because he had had, I guess, he knows a secret handshake or something.
[00:14:15.935 --> 00:14:16.275]  I don't know.
[00:14:16.555 --> 00:14:19.996]  But it really disappointed me to see that that mattered so much to him.
[00:14:20.016 --> 00:14:20.116]  Yeah.
[00:14:20.256 --> 00:14:23.337]  Because it mattered more to him than a lot of these civil liberties issues.
[00:14:23.657 --> 00:14:25.217]  He got so angry at Trump.
[00:14:25.257 --> 00:14:28.898]  And that was the first sparks of the, right there, the very first question.
[00:14:29.278 --> 00:14:31.259]  And it was like, why is that an important issue?
[00:14:31.579 --> 00:14:45.703]  Right, yeah, and it's, I mean, just watching now with the establishment being so kind of shaking in their boots with who their candidate might actually be, it's just kind of waking up the rest of the world to say it's time for a third party.
[00:14:46.063 --> 00:14:49.864]  Time to break up this two-party system because we see the game is rigged.
[00:14:49.924 --> 00:14:51.204]  They cannot hide it anymore.
[00:14:51.667 --> 00:14:56.351]  You know, there's another article, and I don't have it here on my desk, but I pretty much remember what it was about.
[00:14:56.631 --> 00:15:01.956]  It was the article that was at the top of Drudge this afternoon, where the former president of Mexico, uh, okay.
[00:15:02.336 --> 00:15:03.837]  We will not build that wall.
[00:15:03.937 --> 00:15:06.079]  He says, we will not build the effing wall, okay?
[00:15:06.459 --> 00:15:08.962]  Well, that was the headline, and that was an interesting headline.
[00:15:09.002 --> 00:15:11.784]  He's trying, I guess, in an inarticulate way to express his anger.
[00:15:12.605 --> 00:15:18.890]  However, if you look at what he said, he said, I was very disappointed to see that 44% of the Hispanics voted for Trump.
[00:15:19.474 --> 00:15:21.916]  Now, that's the majority of Hispanics in the Nevada election.
[00:15:22.196 --> 00:15:26.519]  And then the former Mexican president says, I want to know who those people are.
[00:15:26.539 --> 00:15:28.941]  It's like, well, I'm sorry, you don't get a chance to do that.
[00:15:29.221 --> 00:15:32.623]  But he goes on to say, this isn't about our race.
[00:15:33.364 --> 00:15:35.325]  This isn't about our creed.
[00:15:35.385 --> 00:15:36.206]  And I'm thinking, what?
[00:15:36.566 --> 00:15:37.126]  What is this?
[00:15:37.206 --> 00:15:39.508]  It's like everything breaks down along racial lines.
[00:15:39.528 --> 00:15:40.969]  Hey, it's not Mexico.
[00:15:41.189 --> 00:15:45.834]  But I mean, it's breaking down along racial lines, because remember, La Raza is the race, okay?
[00:15:46.054 --> 00:15:46.875]  Viva La Raza!
[00:15:47.095 --> 00:15:50.319]  Yeah, it's very racist the way they set this up.
[00:15:50.339 --> 00:15:52.581]  They come at this with a very racist perspective.
[00:15:52.902 --> 00:15:59.529]  I don't know what he meant by our creed, but then he says, if you are, you need to do this for the country that is hosting you.
[00:15:59.909 --> 00:16:01.990]  And it's like, wait a minute, hosting you?
[00:16:02.491 --> 00:16:06.614]  If this country is hosting somebody, they don't get to vote in the election.
[00:16:06.794 --> 00:16:24.226]  And I'm glad that the 44% of the people who were Hispanic there, the majority of them were doing what they, you know, the majority of them were not voting along some kind of a racist line, not seeing themselves as being hosted by a country, doing, exercising their right to do that as citizens of this country.
[00:16:24.366 --> 00:16:30.388]  Right, and that's what Trump has said a lot, that he has support of the Hispanic population.
[00:16:30.628 --> 00:16:35.489]  But they do not want to believe it, just like they don't want to believe that there could be black people that want to vote for Trump.
[00:16:35.789 --> 00:16:38.070]  How dare you get off that thought plantation?
[00:16:38.090 --> 00:16:46.612]  But the Mexican president is assuming that non-citizens from his country, or non-citizen Hispanics, are voting in our elections.
[00:16:46.952 --> 00:16:52.015]  He says do this for your host country, not for your country that you belong to, that you have loyalty to.
[00:16:52.335 --> 00:16:59.398]  You know, we know you're special race, you've got your own creed, and you really don't belong to this country, you know, but do it for them.
[00:16:59.418 --> 00:17:01.399]  I mean, what kind of a remark is that?
[00:17:01.760 --> 00:17:11.205]  That bothered me a lot more than his effing comment, you know, which is like, okay, I know English isn't your first language, but if you have to resort to that to try to impress people, okay, fine, you know.
[00:17:12.485 --> 00:17:20.148]  But what he had to say, to me, just portrayed a rabid racism and an expectation that non-citizens are going to vote in our election.
[00:17:20.288 --> 00:17:20.468]  Right.
[00:17:20.688 --> 00:17:22.149]  And I don't think it's an expectation.
[00:17:22.189 --> 00:17:27.171]  I mean, I think they've made it pretty clear that they have the voting, the polls open.
[00:17:27.191 --> 00:17:27.771]  That's right.
[00:17:27.811 --> 00:17:30.492]  And you guys are talking about, you guys are talking about hosting.
[00:17:30.532 --> 00:17:32.453]  This is Carrie Jackson over in the Situation Room.
[00:17:32.773 --> 00:17:35.294]  I have a clip here, David, I think you may find very interesting.
[00:17:35.334 --> 00:17:36.754]  This is the RNC chairman.
[00:17:36.774 --> 00:17:38.275]  He said this just a moment ago.
[00:17:42.073 --> 00:17:45.234]  Chakari Jackson on our playback station, instant replay.
[00:17:45.674 --> 00:17:48.315]  We're not getting any audio from that, so.
[00:17:48.935 --> 00:17:49.135]  Yeah.
[00:17:51.756 --> 00:17:52.376]  Is there any audio?
[00:17:52.396 --> 00:17:53.197]  I don't hear any audio.
[00:17:53.217 --> 00:17:54.277]  Chakari, read what it says.
[00:17:54.717 --> 00:18:01.239]  Okay, well basically this is the RNC chairman saying that these guys are pretty much competing to join the party.
[00:18:01.279 --> 00:18:03.240]  He doubled down on that too.
[00:18:03.260 --> 00:18:06.001]  It's an honor to be with Mrs. Bush and President Bush.
[00:18:06.061 --> 00:18:07.881]  Thank you so much for joining us.
[00:18:08.122 --> 00:18:08.562]  Thank you so much.
[00:18:10.852 --> 00:18:12.254]  Sorry about Jeff.
[00:18:12.434 --> 00:18:14.296]  We did everything we could for Jeff.
[00:18:14.316 --> 00:18:17.380]  As you may remember, he was also chairman of the RFC.
[00:18:17.400 --> 00:18:19.663]  I'll let you guys know when something else pops up.
[00:18:19.743 --> 00:18:28.134]  Okay, so what you heard there Jakari was, and we missed the audio of it, but he's repeating that line again that they're competing to join his little personal party.
[00:18:28.454 --> 00:18:31.016]  And the elites up there, the Bushes, that he's honoring.
[00:18:31.056 --> 00:18:33.138]  That's just amazing.
[00:18:33.178 --> 00:18:41.065]  We need to let Primus know that this isn't his own little personal party, and if it is, let's open up the process to more than just these two parties.
[00:18:41.105 --> 00:18:42.106]  Stay with us, we'll be right back.
[00:19:10.680 --> 00:19:11.981]  We believe in win-win, folks.
[00:19:12.041 --> 00:19:13.763]  Treating people like we want to be treated.
[00:19:14.004 --> 00:19:18.569]  That's why we developed NutraCyticals with Dr. Group and other top researchers, chemists, scientists, you name it.
[00:19:18.709 --> 00:19:19.671]  He's one of our advisors.
[00:19:19.931 --> 00:19:25.418]  To come up with products like AnthroPlex that is an original product that he made just for us.
[00:19:26.339 --> 00:19:28.241]  And this is a base
[00:19:29.230 --> 00:19:34.052]  System to make super male or super female vitality work even better.
[00:19:34.752 --> 00:19:36.093]  It is natural.
[00:19:36.513 --> 00:19:40.414]  It just helps get your body pumping and going in the way you need to be going.
[00:19:40.795 --> 00:19:54.480]  And Dr. Group is here until we go to break to tell us about the latest product at Infowarslife.com, AnthroPlex, that out of the gates, and we do this all the time with the new product, we discount it out of the gates to get you to try it, knowing that you're going to love it.
[00:19:55.478 --> 00:19:56.119]  It'll sell out.
[00:19:56.439 --> 00:20:07.232]  So, Infowarslife.com, Anthroplex, 15% off and free shipping for the next two days only when you get it with Supermail or Female Vitality.
[00:20:07.352 --> 00:20:08.153]  Let's go to Dr. Group.
[00:20:08.313 --> 00:20:14.180]  Why do you call this the foundation to start the fire and then the Supermail takes you to the next level?
[00:20:15.550 --> 00:20:32.217]  Well, we just look at the base problem that's going on right now all over the world, which is the endocrine-disrupting chemicals, the amount of estrogen that men have, the femininity of men, and what's going on even in children right now with low testosterone levels.
[00:20:32.697 --> 00:20:39.601]  Low sperm count levels and the problems that in the attack that we're seeing on the endocrine systems of both male and female.
[00:20:40.102 --> 00:20:49.127]  So I'm always looking for ways to boost that and to make it more effective and naturally get the body to start producing these hormones and balancing themselves.
[00:20:49.927 --> 00:21:00.034]  So what we decided to do is how can we add a few other components in there that would actually boost the effectiveness of the super male vitality and at the same time
[00:21:00.974 --> 00:21:05.338]  ...address different issues that the male might have, so there'd be a full approach.
[00:21:05.398 --> 00:21:06.498]  And one of those was zinc.
[00:21:06.599 --> 00:21:09.841]  And zinc is actually necessary for the production of testosterone.
[00:21:10.422 --> 00:21:14.745]  There's more and more studies coming out that zinc is essential for hormone balancing.
[00:21:20.149 --> 00:21:33.262]  Well the horny goat weed was given that name because years ago in India they noticed that a certain time of the year this weed would grow and the goats would eat it and they would just go crazy with all the female goats.
[00:21:33.322 --> 00:21:34.864]  So that's how it was developed.
[00:21:34.884 --> 00:21:35.825]  It's called epimidium.
[00:21:36.625 --> 00:21:43.309]  And what that's been proven to do over thousands of years is increase sexual pleasure, help balance the male hormones.
[00:21:43.349 --> 00:21:45.110]  It can actually be used for women as well.
[00:21:45.550 --> 00:21:52.414]  But it really kind of resets and brings the hormone balance, improves sperm motility, and increases testosterone levels.
[00:21:52.454 --> 00:21:54.415]  So it counters the stuff they've been throwing at us.
[00:21:54.696 --> 00:21:56.276]  Results will vary overall.
[00:21:56.697 --> 00:21:58.518]  All I know is dynamite.
[00:21:58.958 --> 00:22:03.821]  I mean, absolutely dynamite with the stamina, with the weightlifting, with the swimming.
[00:22:04.081 --> 00:22:05.382]  Folks, the new product is available.
[00:22:05.982 --> 00:22:09.045]  Anthroplex, available at InfoWarsLife.com.
[00:22:09.426 --> 00:22:11.548]  Dr. Group, thank you for developing this amazing product.
[00:22:11.708 --> 00:22:12.009]  Thank you.
[00:23:34.905 --> 00:23:42.412]  Welcome back to the InfoWars Nightly News, live coverage of the final GOP debate before Super Tuesday in just five days.
[00:23:42.492 --> 00:23:47.396]  As we were talking in the last segment, we were talking about Rubio's path to the nomination.
[00:23:47.416 --> 00:23:52.641]  Of course, there was an amazing confession from Rubio that went up on TPM.
[00:23:52.861 --> 00:23:56.284]  He said, you don't win the nomination by how many states you win.
[00:23:57.315 --> 00:23:59.196]  You don't win the nomination by how many steps.
[00:23:59.216 --> 00:24:00.816]  That's how desperate he is.
[00:24:01.276 --> 00:24:07.718]  That's how much he is talking in circles to try to make a case that he still has a chance in this race.
[00:24:08.138 --> 00:24:09.278]  And of course, they met with donors.
[00:24:09.779 --> 00:24:17.921]  200 donors in Manhattan met last night talking about the only path he really has left at this point, and that is a brokered convention.
[00:24:18.081 --> 00:24:19.401]  Well, two plus two does equal five.
[00:24:19.481 --> 00:24:20.181]  That's right.
[00:24:20.362 --> 00:24:21.722]  He is getting desperate, though.
[00:24:22.182 --> 00:24:24.983]  He's holding out for the GOP foam party, we all know.
[00:24:26.240 --> 00:24:29.083]  That's Wayne Madsen's research there, there you go.
[00:24:29.383 --> 00:24:44.038]  Yeah, he is getting very desperate when he calls Breitbart a conspiracy website because they talked to the president of the ICE union who said that when he was testifying, trying to testify before the Gang of Eight, Rubio had him ejected, was standing by, as he said, I was
[00:24:44.719 --> 00:24:45.520]  I know what it is.
[00:24:46.200 --> 00:24:49.922]  As a law enforcement officer, I know what it is to be under arrest.
[00:24:50.122 --> 00:24:53.425]  He goes, I was in custody and I was yelling loudly, am I under arrest?
[00:24:53.485 --> 00:24:55.926]  And he goes, and the Rubio people kind of backed off at that point.
[00:24:56.246 --> 00:24:59.008]  And they took me out and he goes, oh, they're a conspiracy website.
[00:24:59.028 --> 00:25:00.029]  That guy is a liar.
[00:25:00.069 --> 00:25:03.291]  And they said, well, you know, Cavuto said, really, Breitbart?
[00:25:04.171 --> 00:25:05.192]  A conspiracy site?
[00:25:05.432 --> 00:25:09.876]  And then other people point out that Rubio had written op-ed pieces for that conspiracy site.
[00:25:09.916 --> 00:25:19.363]  So he's desperate to do this, and of course the officer was backed up by other law enforcement officers who were there to testify at the time, said, no, I saw it, it is as he described.
