[00:00:22.239 --> 00:00:25.670]  Resistance to tyrants is obedience to God.
[00:16:09.929 --> 00:16:22.595]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our Republic as the First Amendment.
[00:16:23.296 --> 00:16:26.697]  It's the First Amendment to the Bill of Rights because it is the most important.
[00:16:26.717 --> 00:16:35.622]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice your own religion and not having a state-run or authorized system.
[00:16:35.842 --> 00:16:45.111]  We have seen Facebook, Google, Twitter, and other media platforms increasingly censor even mainline libertarian and conservative ideas.
[00:16:45.411 --> 00:16:56.963]  Ladies and gentlemen, Facebook, if it's able to successfully get away with censoring a wide spectrum of ideas that the establishment doesn't agree with, not just conservatives, will set a mega-massive precedent.
[00:16:57.463 --> 00:16:59.164]  Facebook's over a third of the internet.
[00:16:59.184 --> 00:16:59.644]  Think about that.
[00:17:00.144 --> 00:17:01.584]  Of the traffic and people visiting things.
[00:17:02.004 --> 00:17:02.645]  And then it's over.
[00:17:02.925 --> 00:17:07.226]  You think it's bad that communist China with a billion, 300 million people is censoring?
[00:17:08.046 --> 00:17:15.308]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[00:17:15.428 --> 00:17:17.829]  He met with Merkel, and openly in a hot mic.
[00:17:18.209 --> 00:17:20.353]  Don't worry, I'm gonna start suppressing and censoring people.
[00:17:20.513 --> 00:17:24.960]  They report when someone criticizes open borders to the German government and they come and arrest you.
[00:17:25.120 --> 00:17:29.106]  This is a global phenomenon that's taking place right now.
[00:17:29.307 --> 00:17:33.353]  They're passing laws in Canada to arrest people that criticize transgender.
[00:17:33.533 --> 00:17:34.734]  Well, that's your free speech.
[00:17:35.034 --> 00:17:37.495]  It's not hate propaganda, as they call it.
[00:17:37.795 --> 00:17:44.379]  If they set the precedent on these issues, they will basically ban any other type of speech that the globalists don't want.
[00:17:44.459 --> 00:17:46.600]  This is the ultimate threat to humanity.
[00:17:47.000 --> 00:17:49.161]  This is worse than what we saw in the Soviet Union.
[00:17:49.581 --> 00:17:53.363]  This is right out of Nazi Germany or right out of Maoist China.
[00:17:53.763 --> 00:17:55.084]  So we're fighting for free speech.
[00:17:55.444 --> 00:17:58.786]  When you spread the word about Infowars.com, our videos, our stories, our reports,
[00:17:59.266 --> 00:18:05.511]  And when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[00:18:05.632 --> 00:18:07.593]  We stand together or we hang separate.
[00:18:07.773 --> 00:18:12.638]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[00:18:13.058 --> 00:18:20.825]  Getting on as many third-party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[00:18:21.365 --> 00:18:24.626]  But also the experts I've talked to said, Alex, you missed the boat.
[00:18:24.646 --> 00:18:28.086]  You've been a pioneer in many ways, but you haven't promoted email.
[00:18:28.106 --> 00:18:30.327]  And I said, yeah, I don't ever really market on email.
[00:18:30.427 --> 00:18:32.247]  I just, I just, it's low tech.
[00:18:32.407 --> 00:18:33.227]  And they're like, no, no, no.
[00:18:33.268 --> 00:18:34.728]  That's what's going to be hard to censor.
[00:18:34.788 --> 00:18:47.931]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still to stop email and to stop that information being sent over networks, you name it.
[00:18:47.991 --> 00:18:49.411]  So it's essential.
[00:18:50.385 --> 00:19:01.635]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo code sometimes, the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[00:19:01.935 --> 00:19:06.779]  I mean, there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[00:19:07.079 --> 00:19:11.443]  You can send the email and the newsletter on with exclusive videos and articles many days.
[00:19:12.084 --> 00:19:13.025]  So that's another great reason.
[00:19:13.065 --> 00:19:16.668]  But overall, it's so that we have direct contact
[00:19:17.208 --> 00:19:31.175]  With fellow patriots out there around the world, and if they try to start shutting our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos that you can then send on to others.
[00:19:31.835 --> 00:19:39.759]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent liberty-based media for granted, which I know you don't do.
[00:19:40.979 --> 00:19:51.121]  But really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[00:19:51.361 --> 00:19:58.762]  So please join hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[00:19:59.102 --> 00:20:08.204]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[00:20:14.039 --> 00:20:18.504]  You're listening to The Alex Jones Show.
[00:20:24.811 --> 00:20:26.333]  We are on the march.
[00:20:26.694 --> 00:20:29.116]  The Empire is on the run.
[00:20:29.857 --> 00:20:33.561]  Alex Jones and the GCN Radio Network.
[00:20:37.941 --> 00:20:39.302]  Ladies and gentlemen, we are back.
[00:20:39.362 --> 00:20:40.342]  Thank you for joining us.
[00:20:40.803 --> 00:20:49.708]  Anthony Gucciardi, again, is coming up towards the end of the hour and will be hosting the broadcast, taking your phone calls on what Memorial Day and Veterans Day means to you.
[00:20:49.728 --> 00:20:51.809]  Do you disagree with what I've said?
[00:20:53.030 --> 00:20:54.791]  If so, what do we replace it with?
[00:20:55.551 --> 00:20:56.572]  Simple questions like that.
[00:20:57.752 --> 00:21:00.554]  But I also want to hear from people just about American exceptionalism.
[00:21:00.614 --> 00:21:04.496]  We were exceptional by every benchmark, by every foreign historian's eye.
[00:21:04.576 --> 00:21:05.897]  We really have been a special country.
[00:21:06.137 --> 00:21:06.938]  What made us special?
[00:21:08.052 --> 00:21:11.454]  And I want to rediscover that, and I want to promote that, and that's what I believe in.
[00:21:11.474 --> 00:21:13.115]  And that's what I stand for.
[00:21:14.096 --> 00:21:23.562]  And I'm not going to sit here and just give up on this republic as the globalists try to destroy our morale and destroy our will and get all of us to stand down.
[00:21:24.063 --> 00:21:27.885]  Because I'm here to tell you, we're in a battle for this republic and a battle for this world.
[00:21:28.245 --> 00:21:30.547]  The globalists are evil, anti-human eugenicists.
[00:21:30.827 --> 00:21:34.830]  Cold-blooded, self-serving, the most wicked people you could imagine.
[00:21:35.010 --> 00:21:37.552]  Totally turned over to the dark side.
[00:21:38.652 --> 00:21:43.456]  And we can stand up and defeat it if we realize how big the stakes are.
[00:21:44.096 --> 00:21:44.716]  It's that simple.
[00:21:45.517 --> 00:21:49.940]  And Donald Trump, regardless of who he is, has caught that zeitgeist of nationalism.
[00:21:51.081 --> 00:21:53.442]  And that's why the controllers are so scared of him.
[00:21:53.482 --> 00:22:00.047]  And that's why there's a huge awakening happening around the world that he and all of us are only one small manifestation of.
[00:22:00.107 --> 00:22:01.508]  This is only the beginning.
[00:22:02.308 --> 00:22:14.801]  So I'm going to re-air this special report we did on how Donald Trump has helped take us over the zeitgeist, the tipping point against globalism, where now people see the worldwide shadow government for what it is and are now learning the details.
[00:22:16.123 --> 00:22:18.025]  That is the first major step in defeating the globalists.
[00:22:18.065 --> 00:22:18.425]  We're there.
[00:22:18.465 --> 00:22:20.087]  The education level is here.
[00:22:20.347 --> 00:22:21.708]  This is a very, very special moment.
[00:22:21.748 --> 00:22:22.089]  Stay with us.
[00:22:26.943 --> 00:22:30.086]  The establishment is in panic mode like it's never been before.
[00:22:30.427 --> 00:22:37.555]  In the last 24 hours, the New York Times, CNN, MSNBC, and many other establishment media outlets all came out
[00:22:39.024 --> 00:22:52.876]  And any sort of conspiracy theory, anything from the 80s, the 90s, or even beyond, I think is just continuously stoking that.
[00:22:52.916 --> 00:22:54.957]  But this also just feels very narrow cast to me.
[00:22:54.977 --> 00:22:58.200]  I mean, this really is like, I really think it's been amazing to watch this
[00:22:58.200 --> 00:23:00.522]  I mean, you got Alex Jones, who I've been watching a lot recently.
[00:23:00.542 --> 00:23:07.306]  He's like the sort of, the sort of main conspiracy theorist, the sort of probably the most popular in American life right now.
[00:23:07.606 --> 00:23:09.267]  You know, Roger Stone goes on that show every day.
[00:23:09.528 --> 00:23:16.312]  There's this crazy vortex of all that stuff back from the 90s and Dan Burton firing a gun, you know, into a pumpkin or whatever the hell it was.
[00:23:16.772 --> 00:23:22.136]  All of that stuff, which has been simmering there forever and judges stoked, is now sort of exploding through the channel of Trump.
[00:23:22.636 --> 00:23:23.917]  And part of the challenge, Michael, is straight.
[00:23:24.257 --> 00:23:25.838]  He's talking about the JFK assassination.
[00:23:25.858 --> 00:23:27.620]  He's talking about Clinton's killing people and rape.
[00:23:28.440 --> 00:23:29.780]  Oh my gosh, it's so terrible.
[00:23:30.221 --> 00:23:30.921]  It's so horrible.
[00:23:30.961 --> 00:23:31.481]  What do we do?
[00:23:32.161 --> 00:23:34.742]  Well, the majority of Americans know the government killed Kennedy.
[00:23:34.782 --> 00:23:35.922]  It's over 90% in polls.
[00:23:37.523 --> 00:23:41.364]  The Clinton scandals, with the mysterious deaths and everything, are incredibly famous.
[00:23:41.384 --> 00:23:42.504]  The term, Arkenside.
[00:23:43.104 --> 00:23:46.865]  He's talking about things that the majority of Americans know are going on.
[00:23:47.585 --> 00:23:56.788]  And what's happening is the facade of the mainstream media is falling, and they're figuring out the facade is falling, because when they criticize Trump for talking about these things, he gets more popular.
[00:23:57.984 --> 00:23:59.565]  The tide is now officially turned.
[00:23:59.845 --> 00:24:02.806]  They keep trying to turn the tide back and it's not working.
[00:24:03.947 --> 00:24:08.309]  Am I proud of the fact that they're saying, you know, Trump gets his worldview from Alex Jones?
[00:24:08.349 --> 00:24:09.669]  Yes, but that's not even true.
[00:24:10.449 --> 00:24:15.812]  My worldview of how the globalists operate in history is mainly off declassified documents, congressional hearings.
[00:24:17.532 --> 00:24:30.418]  It was declassified in the 1960s and the 70s in the church hearings that the CIA put out the term conspiracy theorist to criticize even mainline investigative journalists that were exposing opium coming out of Vietnam and things like that.
[00:24:30.698 --> 00:24:31.478]  This is all happened.
[00:24:31.799 --> 00:24:32.979]  They've been caught over and over again.
[00:24:33.179 --> 00:24:33.880]  That's their term.
[00:24:34.320 --> 00:24:41.303]  And now Trump comes in, amplifies what I'm saying, what Drudge Report and Matt Drudge is saying and just common sense stuff.
[00:24:42.103 --> 00:24:45.245]  And it's blown past them and their facade has collapsed.
[00:24:45.965 --> 00:24:48.049]  It was always at the side, but now it's blown over.
[00:24:49.031 --> 00:24:52.097]  And Trump is hitting a whole new demographic worldwide.
[00:24:53.119 --> 00:24:55.985]  Even if he was a sellout, even if he's a bad guy, which I don't think he is.
[00:24:56.045 --> 00:24:57.007]  I think the guy's a hero.
[00:24:57.990 --> 00:24:59.491]  He's doing irrevocable damage to him.
[00:25:00.351 --> 00:25:04.993]  This is an incredible time to be alive, and the info war has never been exploding faster.
[00:25:05.033 --> 00:25:07.535]  We're getting like triple the traffic we got six months ago.
[00:25:08.655 --> 00:25:11.977]  It's just amazing how mainline our information is going.
[00:25:12.937 --> 00:25:22.682]  Mainline libertarians, mainline conservatives, mainline anti-war patriots, Amish-type folks, folks that are into being natural and organic, they're all awake.
[00:25:23.422 --> 00:25:24.423]  But they were already awake.
[00:25:25.144 --> 00:25:25.985]  I didn't wake them up.
[00:25:26.506 --> 00:25:34.495]  I was just a prominent person putting the information out and organizing it, and having great reporters like our crew, and you, the listeners, getting the info out.
[00:25:34.595 --> 00:25:35.677]  We're all a family.
[00:25:35.957 --> 00:25:38.119]  For me, race, color, and creed, part of this fight.
[00:25:38.700 --> 00:25:39.821]  And history is happening.
[00:25:40.442 --> 00:25:43.004]  This is the potential beginning of 1776 Part 2.
[00:25:43.044 --> 00:25:45.146]  They're going to crash economies.
[00:25:45.406 --> 00:25:46.507]  They're going to start big wars.
[00:25:46.967 --> 00:25:48.548]  They're going to pull out the stops, folks.
