[00:00:00.009 --> 00:00:00.511]  We're good to go.
[00:03:02.634 --> 00:03:07.359]  It'll start when they're killing ranchers who try to go to their 100-year-old ranch house.
[00:03:08.717 --> 00:03:12.199]  And if they want to start an election in a concord like that, that's their problem.
[00:03:12.599 --> 00:03:13.760]  I'm trying to stop that.
[00:03:13.820 --> 00:03:16.081]  But yes, we have an occupied federal government.
[00:03:16.722 --> 00:03:17.462]  It is lawless.
[00:03:17.562 --> 00:03:18.223]  It is foreign.
[00:03:19.703 --> 00:03:21.545]  The general public hasn't figured that out yet.
[00:03:21.585 --> 00:03:22.545]  They're starting to get it.
[00:03:23.005 --> 00:03:24.126]  They're starting to get it.
[00:03:25.367 --> 00:03:30.270]  The globalists want to have physical confrontations because they can spin and misrepresent that.
[00:03:30.290 --> 00:03:35.433]  A lot of people say, oh, you know, you can't beat the helicopters, the troops, the surveillance.
[00:03:35.453 --> 00:03:37.314]  We'll get crushed in a war with the feds.
[00:03:39.608 --> 00:03:43.709]  We won't get crushed militarily in a war with the Feds because they're not Feds.
[00:03:45.750 --> 00:03:56.714]  We will get crushed in an information war with them and then lose the physical war if the public isn't aware that this is an occupying force like the Vichy French in World War II.
[00:03:57.234 --> 00:03:58.474]  These are collaborators?
[00:04:00.415 --> 00:04:02.516]  Now, does that mean everybody in the system is an enemy?
[00:04:02.936 --> 00:04:03.136]  No.
[00:04:03.816 --> 00:04:05.817]  Statistically, there's probably more Feds
[00:04:06.854 --> 00:04:10.417]  that know what's going on than the general public because they're in the middle of it.
[00:04:10.637 --> 00:04:14.460]  They either, though, shut up, get out, or join with it.
[00:04:14.780 --> 00:04:32.213]  And they are recruiting leftists in the last 50, 60 years to fill up key positions who are serious, vitriolic, hardcore, committed zealots to carrying out globalist operations.
[00:04:33.268 --> 00:04:36.230]  They're the types that blow up the Oklahoma City building and blame it on the patriots.
[00:04:36.730 --> 00:04:41.553]  So they've got hardcore cadres that are sworn enemies of this country.
[00:04:42.114 --> 00:04:43.415]  Sworn enemies of the family.
[00:04:43.795 --> 00:04:45.196]  Sworn enemies of Christianity.
[00:04:45.216 --> 00:04:46.657]  That's why they side with radical Islam.
[00:04:47.748 --> 00:04:58.334]  But the average FBI agent, the average person in the military, the average person in the federal marshals, the average cop, I've just studied it, is more awake and does not support what's happening.
[00:04:58.354 --> 00:05:00.175]  So that's why we just shouldn't have a dumb war with them.
[00:05:00.615 --> 00:05:08.039]  We should have an info war and destroy the enemy by exposing that they are an actual hijacking criminal invader.
[00:05:08.971 --> 00:05:11.393]  Joe Biggs here with InfoWars.com.
[00:05:11.553 --> 00:05:12.574]  Picking a fight.
[00:05:12.794 --> 00:05:19.660]  Obama taps DC judge for Supreme Court slot, defies GOP vow to block.
[00:05:19.980 --> 00:05:23.924]  President Obama named federal appeals judge Merrick Garland on Wednesday
[00:05:24.284 --> 00:05:25.226]  I don't think so.
[00:05:39.386 --> 00:05:51.329]  Senator Mike Lee of Utah, member of the Senate Judiciary Committee, told Fox News minutes before the announcement that neither he nor his colleagues would support the nomination or allow it to go forward.
[00:05:51.549 --> 00:06:01.232]  Now with the death of Antonin Scalia, we might also have the final kill to the Second Amendment because Mayor Garland has extremely liberal views on gun rights.
[00:06:01.532 --> 00:06:05.213]  Obama is bringing in someone to finally finish it off.
[00:06:05.413 --> 00:06:07.495]  Stay tuned for more reports at InfoWars.com.
[00:06:07.635 --> 00:06:08.175]  I'm Joe Biggs.
[00:06:08.736 --> 00:06:15.120]  Our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[00:06:15.581 --> 00:06:18.683]  I basically had my gallbladder out within the last nine months.
[00:06:18.963 --> 00:06:22.546]  Needed to get my digestive system working correctly again.
[00:06:22.626 --> 00:06:24.627]  So I stumbled on the X2.
[00:06:24.968 --> 00:06:32.293]  When you look at a product like Survival Shield Nascent Iodine X2, it's something that really has been hiding in plain view for over a hundred years.
[00:06:32.593 --> 00:06:34.315]  I needed a detox basically.
[00:06:39.334 --> 00:06:42.776]  I want to challenge the listeners who have not tried X2 for yourselves.
[00:06:42.976 --> 00:06:44.016]  What do you have to lose?
[00:06:44.296 --> 00:06:52.860]  You are the tip of the spear in the fight for human liberty and you're getting a high quality product that has absolutely changed my life and many other people's lives that I know.
[00:06:53.328 --> 00:06:56.751]  I noticed significant change in my digestive flow.
[00:06:56.911 --> 00:06:58.692]  I was like really more natural.
[00:06:58.972 --> 00:07:03.996]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:07:08.743 --> 00:07:11.964]  Infowarslife.com, oil of oregano formulation.
[00:07:12.244 --> 00:07:17.525]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:07:17.825 --> 00:07:25.767]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:07:26.207 --> 00:07:31.849]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:07:32.389 --> 00:07:41.115]  Extracted directly from the wild herb and sealed in easy-to-use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[00:07:41.435 --> 00:07:47.279]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:07:47.660 --> 00:07:54.044]  Wild-crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:07:54.404 --> 00:07:59.448]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:07:59.768 --> 00:08:01.849]  Now available at InfoWarsLive.com.
[00:08:02.230 --> 00:08:04.511]  That's InfoWarsLive.com or call 888-253-3139.
[00:08:04.531 --> 00:08:05.712]  We've got it.
[00:08:05.792 --> 00:08:16.398]  This transmission is coming to you.
[00:08:16.478 --> 00:08:18.540]  Waging war on corruption.
[00:08:20.821 --> 00:08:26.565]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[00:08:35.285 --> 00:08:44.551]  Well, we knew it was coming, and Obama has nominated Merrick Garland, a Bush-era neocon from Bush 41.
[00:08:46.753 --> 00:08:48.534]  He argued against D.C.
[00:08:48.614 --> 00:08:59.501]  Heller on the federal bench and said that he would have reheard the case of the petitioners to overturn it.
[00:09:00.993 --> 00:09:08.095]  Of course, that's the six-year-old ruling saying that you cannot have complete gun bans in Washington, D.C., Chicago, and other areas.
[00:09:08.135 --> 00:09:12.877]  And still, those cities basically refuse to comply with the ruling.
[00:09:14.337 --> 00:09:28.722]  Just like Obama lawlessly orders the borders wide open, and lawlessly orders refugees brought in, and they're given new Social Security numbers and fake names, and citizens are thrown out of Section 8 housing,
[00:09:30.504 --> 00:09:35.286]  And the radical jihadis are put into their place.
[00:09:36.627 --> 00:09:42.109]  That's happening in Germany, that's all over mainstream news, and we've confirmed it's happening here in the United States.
[00:09:43.950 --> 00:09:50.573]  And we have our investigative reporters in the field as we speak to actually show it happening.
[00:09:50.593 --> 00:09:51.954]  To talk to the victims and more.
[00:09:52.574 --> 00:09:56.776]  Because it's one thing just to say, hey, they admit they won't tell governors where these refugees are going.
[00:09:58.288 --> 00:09:59.009]  Or how many there are.
[00:09:59.029 --> 00:10:02.252]  But it's another thing to see it for yourself.
[00:10:06.356 --> 00:10:13.123]  And I point that out because they claim they're doing all this for our safety and our security while they do everything they can to undermine our safety and our security.
[00:10:13.624 --> 00:10:14.485]  Heaven help us.
[00:10:14.525 --> 00:10:20.491]  This Merrick Garland is a globalist operative par excellence horrible.
[00:10:21.377 --> 00:10:22.697]  He's anti-free speech.
[00:10:23.037 --> 00:10:24.438]  He's pro-surveillance state.
[00:10:25.238 --> 00:10:30.039]  He helped write up a bunch of the garbage rulings on torture, you name it.
[00:10:31.439 --> 00:10:34.600]  But you know he's getting chosen because he's anti-gun.
[00:10:36.521 --> 00:10:39.021]  Anti-right of self-defense.
[00:10:39.101 --> 00:10:40.602]  What a monstrous creature.
[00:10:41.262 --> 00:10:46.563]  And they're saying because he's already a federal judge, right below the Supreme Court level,
[00:10:47.961 --> 00:10:48.161]  I think?
[00:11:09.730 --> 00:11:14.473]  An emergency appointment claiming that there's an emergency in the court because it's deadlocked four to four.
[00:11:15.093 --> 00:11:16.794]  So it's a major constitutional crisis.
[00:11:17.274 --> 00:11:19.555]  The Republicans have a right not to even consider him.
[00:11:19.595 --> 00:11:20.276]  They should not.
[00:11:21.189 --> 00:11:22.929]  They're talking about making a deal now?
[00:11:22.949 --> 00:11:26.611]  Because Obama said, you can't deny this man, you know, he's a Republican.
[00:11:27.291 --> 00:11:29.511]  Yeah, he's another Rockefeller Republican.
[00:11:29.791 --> 00:11:37.734]  That's what George Herbert Walker Bush in the 70s, when he was running for Congress, called himself famously, a Rockefeller Republican from Connecticut.
[00:11:38.334 --> 00:11:47.676]  Nothing against Connecticut, but man, don't come down to Texas and wear cowboy boots and start talking like this and going, ooh boy, and giving Texas a bad name.
[00:11:47.716 --> 00:11:48.457]  We don't like it.
[00:11:48.977 --> 00:11:49.777]  We're tired of it.
[00:11:52.073 --> 00:11:53.494]  So we'll be breaking all of that down.
[00:11:53.614 --> 00:11:56.635]  Obama just shows Merrick Garland for the Supreme Court.
[00:11:56.675 --> 00:12:01.436]  Republicans still won't confirm him, the Washington Post says, even though he's a Republican.
[00:12:03.357 --> 00:12:04.818]  Yeah, like what, John Boehner?
[00:12:04.838 --> 00:12:10.300]  Or a Rudolph Giuliani, that type of guy?
[00:12:12.220 --> 00:12:13.921]  That's exactly the type of individual
[00:12:15.794 --> 00:12:16.676]  That this guy is.
[00:12:17.136 --> 00:12:20.141]  And I tell you, he's just as bad as Kagan.
[00:12:21.103 --> 00:12:23.968]  He's just as bad as Sotomayor, who are both anti-gun.
[00:12:24.008 --> 00:12:25.330]  In fact, he's worse.
[00:12:25.691 --> 00:12:29.097]  He championed keeping the gun ban in place.
[00:12:30.222 --> 00:12:32.064]  And then tried to overturn it on record.
[00:12:32.164 --> 00:12:39.650]  I mean, he is a direct enemy of the Second Amendment, physically in the courts trying to annihilate it.
[00:12:40.350 --> 00:12:46.496]  He is for the abolition of civilian ownership of firearms to complete the power monopoly of the state.
[00:12:48.737 --> 00:12:51.139]  He is a general of victim disarmament.
[00:12:51.179 --> 00:12:54.082]  He is a master of enslavement.
[00:12:54.142 --> 00:12:55.103]  He is a king.
[00:12:56.471 --> 00:13:02.678]  of making individuals defenseless while he sits behind armed guards at federal courthouses.
[00:13:03.599 --> 00:13:11.649]  In short, he is a tyrant and a parasitic, bug-eyed monster, neocon, warmongering piece of filth.
[00:13:14.656 --> 00:13:17.457]  And an enemy of the Republic in every sense.
[00:13:18.598 --> 00:13:28.962]  Every single one of those anti-gun judges knows full well they're delivering this country into the arms of despotism.
[00:13:31.863 --> 00:13:36.285]  And there's no surprise there's a huge push to bring down the Second Amendment as well.
[00:13:36.325 --> 00:13:37.326]  Now that's the bad news.
[00:13:39.306 --> 00:13:40.747]  We'll flesh it out more today.
[00:13:41.467 --> 00:13:42.608]  The good news is Trump
[00:13:44.241 --> 00:13:47.703]  Wins big, takes Florida, Illinois, North Carolina, Missouri.
[00:13:48.204 --> 00:13:50.405]  And I saw he and his sons with tears in their eyes.
[00:13:50.425 --> 00:13:52.967]  We had to pull up some of his victory speech last night.
[00:13:54.888 --> 00:13:57.150]  Because they understood this pushed him past the threshold.
[00:13:57.670 --> 00:13:58.771]  He totally dominated.
[00:13:58.791 --> 00:14:02.534]  And the spin was, oh, some of the states weren't winner-take-all.
[00:14:03.694 --> 00:14:06.256]  So, you know, he's still not the clear leader.
[00:14:06.296 --> 00:14:11.580]  But pundits that were being honest said, look, any other time by now, the entire Republican leadership
[00:14:12.824 --> 00:14:15.429]  I would say everybody else should drop out, get behind Donald Trump.
[00:14:15.830 --> 00:14:18.354]  And then that should have happened the last, you know, two rounds ago.
[00:14:18.454 --> 00:14:19.136]  But they're not.
[00:14:19.556 --> 00:14:21.841]  They're now just saying, no, we're going to take it at the convention.
[00:14:22.121 --> 00:14:22.983]  We're going to steal it.
[00:14:24.844 --> 00:14:30.288]  And everybody from the Pope to George Soros to the Chinese Communist are back in the news.
[00:14:30.949 --> 00:14:35.893]  And all these Arab state dictators and the royalty of Saudi Arabia.
[00:14:36.513 --> 00:14:43.939]  The fact that the royalty of Saudi Arabia doesn't like Donald Trump is just another total certification he's our man.
[00:14:44.199 --> 00:14:48.322]  And in the stack I have an article we put out yesterday that had been out for two days.
[00:14:48.382 --> 00:14:52.686]  No one seemed to notice that all the Federal Reserve, private Federal Reserve money,
[00:14:53.854 --> 00:14:54.594]  Shouldn't be able to donate.
[00:14:54.634 --> 00:14:55.855]  It's a foreign banking institution.
[00:14:55.875 --> 00:14:57.756]  It's predominantly owned by foreign shareholders.
[00:14:58.516 --> 00:15:03.298]  The Union and the Federal Reserve separately gave their money to Hillary Clinton.
[00:15:05.639 --> 00:15:12.922]  They gave $18,000 just in the Union to Hillary, $2,000 to Ted Cruz, and $0 to Donald Trump.
[00:15:13.082 --> 00:15:15.263]  Another feather in his cap.
[00:15:15.644 --> 00:15:20.866]  This guy's got so many feathers in his cap, you can't even see them, there's so many feathers.
[00:15:22.324 --> 00:15:32.212]  And sure, he said some incendiary things I don't agree with that is pure meat and potatoes for some of the warmongering neocon voters out there.
[00:15:32.252 --> 00:15:38.957]  But in policy, he says no war with Russia, pull out of Syria, don't back ISIS, things like that.
[00:15:38.977 --> 00:15:40.558]  That's why they hate his gut.
[00:15:40.598 --> 00:15:42.780]  So let's go over some of the stack.
[00:15:42.880 --> 00:15:44.801]  Most of this news is up on InfoWars.com.
[00:15:46.314 --> 00:15:49.575]  Trump wins big, takes Florida, Illinois, North Carolina, Missouri.
[00:15:49.916 --> 00:15:54.157]  Business Magnet pulls out devastating upset for establishment.
[00:15:54.458 --> 00:15:55.418]  Infowars.com.
[00:15:56.198 --> 00:15:59.440]  Rubio drops out, flew off, Dumbo flew off from the circus.
[00:16:01.781 --> 00:16:05.062]  Rubio drops out after devastating loss to Trump in Florida.
[00:16:05.943 --> 00:16:10.725]  I believe the winner of the Florida primary next Tuesday will be the nominee of the Republican Party, Rubio said last week.
[00:16:11.165 --> 00:16:13.126]  Now he's saying that Trump will still be defeated.
[00:16:14.025 --> 00:16:14.385]  Poll!
[00:16:14.765 --> 00:16:16.626]  The military wants Trump to be president.
[00:16:19.466 --> 00:16:29.268]  In total, 27% of troops listed GOP frontrunner Donald Trump as their preferred candidate, with Senator Bernie Sanders following closely behind because he's seen as anti-establishment.
[00:16:31.709 --> 00:16:35.130]  Media ignores Van Dam remark Rothschild and Rockefeller controlled U.S.
[00:16:35.590 --> 00:16:36.130]  elections.
[00:16:38.206 --> 00:16:39.306]  Poll.
[00:16:39.326 --> 00:16:43.147]  58% of liberals think people should be prosecuted for criticizing religion.
[00:16:43.807 --> 00:16:44.607]  That's not liberal.
[00:16:44.647 --> 00:16:45.567]  That's called tyrannical.
[00:16:46.147 --> 00:16:46.507]  Video.
[00:16:46.527 --> 00:16:47.328]  We're going to play this.
[00:16:47.388 --> 00:16:51.168]  Trump supporter, agitator, exposes Democrat operative.
[00:16:51.588 --> 00:16:56.909]  Time and time again, the folks screaming, cussing, saying racist things and punching are Democrat Party operatives.
[00:16:57.209 --> 00:16:58.709]  Steve Watson has the article.
[00:17:01.410 --> 00:17:04.851]  Soros floods Democrats with millions a day.
[00:17:04.911 --> 00:17:05.471]  It's a day.
[00:17:05.591 --> 00:17:07.271]  Warns Trump of consequences.
[00:17:09.221 --> 00:17:10.161]  Anonymous declares.
[00:17:10.201 --> 00:17:13.942]  That means the CIA and globalists and other operatives posing as quote anonymous.
[00:17:14.302 --> 00:17:15.523]  Total war on Trump.
[00:17:15.923 --> 00:17:17.203]  Plans April attack.
[00:17:19.524 --> 00:17:22.345]  That means they'll leak a bunch of fake garbage just like the media has been doing.
[00:17:23.525 --> 00:17:25.906]  So that's just some of the news on that front.
[00:17:30.807 --> 00:17:32.347]  Russian military aims achieved.
[00:17:32.407 --> 00:17:34.088]  Putin switches to diplomacy.
[00:17:35.529 --> 00:17:41.732]  Social media unleashes slew of selfie reminders for Obama after he scolds GOP on derisive rhetoric.
[00:17:42.052 --> 00:17:44.933]  Remember he said, if somebody brings a knife, bring a gun to the fight, stuff like that.
[00:17:47.034 --> 00:17:50.456]  Here's the article I mentioned, fellow reserve funds Hillary and Cruz, but not Donald Trump.
[00:17:50.676 --> 00:17:52.157]  Kit Daniels, Infowars.com.
[00:17:52.437 --> 00:17:54.218]  That might be a big deal for folks, you know?
[00:17:54.538 --> 00:17:55.879]  That might be something people care about.
[00:17:57.139 --> 00:17:59.820]  Might want to send that to Ron Paul and all the other Ron Paul supporters.
[00:18:00.221 --> 00:18:03.102]  KKK Grand Dragon endorses Hillary Clinton for president.
[00:18:05.356 --> 00:18:10.222]  And of course, she isn't reflective of that, even though her mentor was the top Grand Dragon of the whole U.S.
[00:18:12.044 --> 00:18:14.147]  But it just shows how anybody can pull these stunts.
[00:18:14.827 --> 00:18:16.129]  Voting Rights 2016.
[00:18:16.549 --> 00:18:19.052]  Texas Governor Blasts Obama's Voter ID Critique.
[00:18:19.092 --> 00:18:21.936]  Civil Rights Group Sues Over Election Law.
[00:18:25.273 --> 00:18:29.095]  Trump is the first and only candidate to qualify for GOP nominee.
[00:18:29.115 --> 00:18:33.576]  Trump is well meeting the threshold for the GOP's Rule 40.
[00:18:33.656 --> 00:18:34.477]  No one else does.
[00:18:34.777 --> 00:18:35.597]  And that was yesterday.
[00:18:35.637 --> 00:18:36.918]  After last night, even more so.
[00:18:38.871 --> 00:18:45.835]  Mainstream media claims most GOP voters hate Trump, then Trump hits 53 in new national poll, up from 51 yesterday.
[00:18:46.275 --> 00:18:50.617]  Sheriff Clark says there's a stealth totalitarian movement against free speech.
[00:18:51.077 --> 00:18:54.539]  Everything has to be put through an approved meter, an approval meter.
[00:18:55.039 --> 00:18:56.340]  It's worse than that, Sheriff Clark.
[00:18:57.040 --> 00:18:59.541]  It's an open attack on free speech in this country.
[00:19:00.402 --> 00:19:02.943]  Florida Attorney General endorses Donald Trump.
[00:19:03.623 --> 00:19:04.384]  Another big victory.
[00:19:06.348 --> 00:19:09.597]  So that is just some of the news that we've got.
[00:19:09.617 --> 00:19:12.605]  We'll be detailing it and playing clips when we come back.
[00:19:12.685 --> 00:19:13.908]  Some good news as well.
[00:19:15.612 --> 00:19:19.314]  In court, Texas can sue feds over BLM land grab.
[00:19:19.634 --> 00:19:24.177]  And this isn't taking open public grazing rights that have been there for hundreds of years away.
[00:19:24.537 --> 00:19:32.721]  This is taking a loyal original title in some cases from families that own land for 100 years.
[00:19:33.382 --> 00:19:37.884]  Thousands and thousands of acres per family, hundreds of families it's happening to.
[00:19:39.585 --> 00:19:40.906]  It's unbelievable.
[00:19:42.011 --> 00:19:42.791]  Because here's the deal.
[00:19:42.831 --> 00:19:44.131]  They said this under agenda 21.
[00:19:44.311 --> 00:19:45.292]  Obama promised to do it.
[00:19:46.072 --> 00:19:52.713]  The feds are claiming up to three miles on every side of streams and rivers as owned by them.
[00:19:53.173 --> 00:19:58.814]  Even if you have a fence on it and have paid taxes on it, they're claiming a right-of-way and a jurisdiction.
[00:20:00.215 --> 00:20:05.576]  And in Texas and Oklahoma, they're showing up with men in vans and trucks with submachine guns.
[00:20:05.996 --> 00:20:07.316]  It's called highway robbery.
[00:20:09.181 --> 00:20:10.481]  Suffering from illness or disease?
[00:20:10.621 --> 00:20:11.421]  Frequently in pain?
[00:20:11.521 --> 00:20:12.122]  Over-stressed?
[00:20:12.262 --> 00:20:12.842]  Always tired?
[00:20:12.902 --> 00:20:18.383]  The solution is to oxygenate your cells because disease cannot survive in an oxygen-rich environment.
[00:20:18.663 --> 00:20:22.624]  Introducing Vital Ion, the first mineralized edible oxygen in the world.
[00:20:22.824 --> 00:20:28.985]  Go to toolsforfreedom.com and get the Miracle of Oxygenation DVD free with any Vital Ion purchase.
[00:20:29.165 --> 00:20:29.485]  Call 800-770-8802.
[00:20:29.585 --> 00:20:29.945]  That's 800-770-8802.
[00:20:30.005 --> 00:20:32.206]  Let Vital Ion Edible Oxygen be your daily fountain of youth.
[00:20:39.127 --> 00:20:48.452]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:20:48.572 --> 00:20:52.875]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:20:52.975 --> 00:20:58.738]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:20:58.958 --> 00:21:01.840]  Buy now at DefenderShield.com.
[00:21:01.860 --> 00:21:04.081]  For 10% off, use promo code GCN.
[00:21:04.261 --> 00:21:07.783]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:21:11.997 --> 00:21:18.481]  I'm Nick Sobolewski, a SelectQuote agent with a true story of how SelectQuote goes to bat for you buying term life insurance.
[00:21:19.422 --> 00:21:22.204]  A while back, a man called me who had had prostate cancer.
[00:21:23.024 --> 00:21:26.707]  He asked if I could beat a very high quote another life insurance agent had given him.
[00:21:27.367 --> 00:21:28.608]  I said, let me see.
[00:21:29.189 --> 00:21:39.799]  Well, I took his pertinent information, then shopped the highly-rated, price-competitive companies we represent, and found one who pre-approved him for a premium way below what he had been quoted.
[00:21:40.280 --> 00:21:51.410]  When it comes to term life insurance, no other company touches select quotes, experience, and expertise in finding the right policy at the right price for almost anyone.
[00:21:52.338 --> 00:21:53.038]  How about you?
[00:21:53.358 --> 00:21:54.659]  For your free quote, call 1-800-654-1632.
[00:21:54.679 --> 00:21:54.979]  That's 1-800-654-1632.
[00:21:54.999 --> 00:21:55.059]  1-800-654-1632.
[00:21:55.099 --> 00:21:56.059]  Or go to selectquote.com.
[00:21:56.079 --> 00:21:56.219]  We shop.
[00:21:56.319 --> 00:21:56.539]  You save.
[00:21:56.559 --> 00:21:59.300]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[00:22:12.845 --> 00:22:13.346]  It's true.
[00:22:13.466 --> 00:22:17.449]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[00:22:17.630 --> 00:22:19.511]  It's a disinfectant called chloramine.
[00:22:20.012 --> 00:22:24.516]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:22:24.816 --> 00:22:37.388]  New NSF EPA certified lab tests show EPA Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:22:37.668 --> 00:22:41.210]  Big Berkey Water Filters are the original and most trusted on the market.
[00:22:41.471 --> 00:22:43.752]  The gold standard in water purification.
[00:22:44.132 --> 00:22:48.155]  And our filters last for years at less than two cents per gallon.
[00:22:48.435 --> 00:22:49.056]  Big Berkey.
[00:22:49.256 --> 00:22:52.758]  The one that's powerful enough to purify stagnant pond water.
[00:22:52.958 --> 00:22:54.559]  Get your Big Berkey today.
[00:22:54.719 --> 00:22:57.001]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:22:57.021 --> 00:22:57.701]  That's 1-877-99-BERKEY.
[00:22:57.842 --> 00:22:59.102]  Big Berkey Water Filters.
[00:22:59.162 --> 00:23:00.223]  For the love of clean water.
[00:23:07.568 --> 00:23:07.840]  We're good.
[00:23:08.402 --> 00:23:10.724]  Are you worried about how dangerous the world has become?
[00:23:11.004 --> 00:23:18.050]  In these days of terrorists, attacks, natural disasters, or even a future collapse, you need to be medically prepared to keep your family safe.
[00:23:18.290 --> 00:23:27.257]  I'm Joe Alton, MD of store.doomandbloom.net, where you'll find an entire line of uniquely designed medical kits and supplies for when help is not on the way.
[00:23:27.497 --> 00:23:34.163]  For everything from individual first aid kits to the ultimate family medical bag, go to store.doomandbloom.net today.
[00:23:34.503 --> 00:23:36.585]  That's store.doomandbloom.net.
[00:23:36.785 --> 00:23:37.826]  You'll be glad you did.
[00:23:38.166 --> 00:23:45.730]  If you want to raise the next generation of patriot leaders, take a look at Freedom Project Academy, a Judeo-Christian online school for kindergarten through high school.
[00:23:46.031 --> 00:23:48.532]  No common core teaching methods or high-stakes testing.
[00:23:48.752 --> 00:23:54.736]  Freedom Project Academy is government-free, doesn't accept any government funding, and is a fully accredited private school.
[00:23:55.096 --> 00:23:58.238]  All classes are taught live online with real teachers across the country.
[00:23:58.438 --> 00:24:01.680]  Open enrollment runs March through July, but classes fill up quickly.
[00:24:01.900 --> 00:24:04.621]  Check them out at FPEUSA.org.
[00:24:04.822 --> 00:24:06.823]  That's FPEUSA.org.
[00:24:12.529 --> 00:24:17.813]  Coming up in the next segment, I'm going to open the phones up, but we're going to screen your calls today.
[00:24:18.333 --> 00:24:19.474]  We do this every once in a while.
[00:24:20.075 --> 00:24:24.258]  I want to hear specifically from people that don't support Donald Trump.
