[00:00:20.390 --> 00:00:21.913]  Welcome to InfoWars Nightly News.
[00:07:43.949 --> 00:07:49.031]  They point out President-elect Donald Trump accepted congratulations on his White House win from Vladimir Putin today.
[00:07:49.631 --> 00:07:54.573]  He told the Russian leader he'd look forward to a strong and enduring relationship with Russia and its people.
[00:07:55.093 --> 00:08:04.756]  RT says the two leaders agree that they share a common view on uniting efforts in the fight with a common enemy number one, international terrorism and extremism.
[00:08:05.256 --> 00:08:15.999]  But as we'll find later in this broadcast, I'm going to tell you that the Obama administration, John Kerry in particular, said, no, global warming and climate change is as big a threat as ISIS.
[00:08:16.500 --> 00:08:18.540]  See, that's the detachment from reality.
[00:08:18.920 --> 00:08:20.401]  And we're a week into this.
[00:08:20.681 --> 00:08:23.702]  We shouldn't expect that the Democrats are going to come back to reality that quickly.
[00:08:24.625 --> 00:08:26.828]  Meanwhile there's division within the Republican Party.
[00:08:26.848 --> 00:08:32.374]  As I point out there's new alliances because Donald Trump is not a creature of the GOP establishment.
[00:08:32.394 --> 00:08:37.400]  So there's new alliances that are being formed and we have to watch very carefully what is going to happen with this.
[00:08:37.460 --> 00:08:41.145]  The Hill points out Republicans face division over Obamacare repeal.
[00:08:41.605 --> 00:08:42.645]  What's going to happen with that?
[00:08:42.725 --> 00:08:43.626]  How is that going to be done?
[00:08:43.666 --> 00:08:49.727]  They say congressional Republicans are looking how far to go in terms of repealing and replacing Obamacare.
[00:08:49.767 --> 00:08:50.868]  Exactly what does that mean?
[00:08:50.928 --> 00:08:54.108]  It's a catchy title, but the devil is in the details.
[00:08:54.168 --> 00:09:02.271]  They say, of course, Senators like Ted Cruz and Mike Lee are pushing for the law to be ripped out root and branch, but then you've got other what they call centrist Republicans.
[00:09:02.571 --> 00:09:03.671]  I would differ with that.
[00:09:04.371 --> 00:09:08.956]  ...worried about millions of people being kicked off insurance rolls if Obamacare is repealed.
[00:09:09.016 --> 00:09:16.422]  And they quote a couple of senators from West Virginia, from Mississippi, that are very concerned about people losing their health insurance.
[00:09:16.743 --> 00:09:19.885]  Listen, you have to understand, there's no such thing as a free lunch.
[00:09:20.984 --> 00:09:30.911]  The way they ought to be selling this to the American public, explaining it to the American public, is that they're going to have markets, real markets, not the phony quote-unquote markets that Obama set up.
[00:09:30.951 --> 00:09:31.852]  Those are not real markets.
[00:09:32.172 --> 00:09:34.354]  We're going to have real markets instead of mandates.
[00:09:34.814 --> 00:09:40.198]  We're going to have choice instead of coercion by the IRS, by an army of IRS agents.
[00:09:40.218 --> 00:09:45.923]  16,000 IRS agents were added to push through Obamacare's fines and mandates on us.
[00:09:46.583 --> 00:09:48.525]  That is something we all ought to be celebrating.
[00:09:49.205 --> 00:09:55.311]  And they're all acting, I think it's very interesting, but they're all acting as if nobody knows what Donald Trump is proposing.
[00:09:55.852 --> 00:09:59.836]  He's had a health care reform plan up for over a year on his site.
[00:10:00.376 --> 00:10:05.081]  And if you look at it, it goes down and it sets up essentially the mechanisms for a marketplace.
[00:10:05.681 --> 00:10:09.825]  It gives people incentives instead of mandates and fines, okay?
[00:10:09.865 --> 00:10:12.147]  It offers them tax deductions instead of fines.
[00:10:12.588 --> 00:10:13.088]  It gives them
[00:10:13.829 --> 00:10:20.632]  Information about health providers as well as health insurance companies, it opens up competition across state lines.
[00:10:20.672 --> 00:10:23.234]  All these people who are always talking about free trade.
[00:10:23.634 --> 00:10:26.835]  The establishment Democrats, the establishment Republicans say we need free trade.
[00:10:27.156 --> 00:10:31.538]  And yet they have opposed free trade within the United States on health insurance.
[00:10:32.378 --> 00:10:37.901]  See, only when it doesn't impact their little monopoly do they really want free trade.
[00:10:38.481 --> 00:10:53.849]  And so what Donald Trump is proposing is incentives, he's proposing ownership, he's proposing allowing people to have their own money first, because of course health insurance is important, so why not allow us to spend our money on our own health care before we have to send it to Washington?
[00:10:54.349 --> 00:10:57.872]  If you really meant it, Obama and Hillary, that's what you would allow to happen.
[00:10:58.333 --> 00:11:02.597]  And that's what's in this plan, this health care reform plan that Donald Trump put out over a year ago.
[00:11:02.637 --> 00:11:05.159]  And yet, everybody is pretending, well you don't know where it's going to go.
[00:11:05.460 --> 00:11:09.103]  Just as they continually say to him, well are you really going to build a wall now that you're president?
[00:11:09.243 --> 00:11:11.405]  I mean, weren't you just lying to everybody just to get elected?
[00:11:11.425 --> 00:11:19.433]  He's like, no, I'm really going to build a wall, and I'm really going to deport people who are criminals, who are in the system, who came here illegally.
[00:11:19.833 --> 00:11:31.021]  So, again, on health care reform, we're going to have the information to make the choices, we're going to have the incentives to make the choices, we're going to have tax deductions and health care savings accounts, so we have the financial ability to make those decisions.
[00:11:32.002 --> 00:11:39.007]  We're also going to have information about insurance companies, competition with them, and competition with health care providers.
[00:11:39.367 --> 00:11:40.528]  That's really what we need.
[00:11:40.888 --> 00:11:42.149]  That's what we ought to be celebrating.
[00:11:42.901 --> 00:11:48.765]  Now there was an interesting article that came out, it was on the Drudge Report, that don't complain that the polls were wrong.
[00:11:49.225 --> 00:11:50.726]  And it had some interesting quotes in it.
[00:11:50.766 --> 00:11:57.790]  They said, we're hearing, oh the polls were all wrong, and yes, they were all wrong, sorry about that, but that's the reality, you can't really escape it.
[00:11:58.251 --> 00:12:01.633]  They say, it reveals a complete misunderstanding of what a poll is.
[00:12:02.233 --> 00:12:04.695]  And what standard forecasts in general are supposed to do?
[00:12:04.735 --> 00:12:08.759]  They say many people confuse forecasts with fortune-telling.
[00:12:09.420 --> 00:12:14.645]  A fortune-teller, they say, seeks to predict the future with certainty, an endeavor that I view with suspicion.
[00:12:15.345 --> 00:12:18.248]  And I have to say, I view that with suspicion as well.
[00:12:18.728 --> 00:12:21.090]  Yet where do we hear fortune-tellers hang out today?
[00:12:21.791 --> 00:12:24.353]  Fortune-tellers hang out in the climate change world.
[00:12:25.054 --> 00:12:26.675]  They're predicting the future with certainty.
[00:12:27.235 --> 00:12:37.779]  I have to ask you, they have these models that are untested, because they're untestable, because they're projecting climate out decades in the future, and there's no way to measure that.
[00:12:37.879 --> 00:12:40.060]  So it's an open-ended process with no feedback.
[00:12:40.661 --> 00:12:45.563]  They make these prognostications, accurately predicting the future, they tell us.
[00:12:45.723 --> 00:12:46.783]  We have no way to check that.
[00:12:47.283 --> 00:12:50.265]  What is the margin of error on a climate change model?
[00:12:50.925 --> 00:12:55.807]  They tell us that we're looking at such and such a number of degrees, if we don't do this or that.
[00:12:56.647 --> 00:12:57.707]  What is their margin of error?
[00:12:58.247 --> 00:13:07.450]  See, when they do that, and they don't give us a margin of error, you ought to take these projections of climate change with the grain of salt that you took all of these polls.
[00:13:07.570 --> 00:13:08.851]  And we said that coming into it.
[00:13:09.682 --> 00:13:11.503]  It wasn't just that we supported Donald Trump.
[00:13:11.563 --> 00:13:12.944]  We had seen this over and over again.
[00:13:12.984 --> 00:13:14.184]  We've seen it in American elections.
[00:13:14.204 --> 00:13:15.525]  We saw it in Brexit this summer.
[00:13:15.865 --> 00:13:24.810]  Even the day of the election in Brexit, as Nigel Farage pointed out, they were telling everybody, hey, leave has lost by 10 points that morning.
[00:13:25.870 --> 00:13:27.351]  And yet, that wasn't what happened.
[00:13:27.391 --> 00:13:31.833]  And so, we constantly see these projections by the climate change people.
[00:13:31.853 --> 00:13:37.056]  And remember, I said earlier, Russia and the United States have a common enemy, ISIS.
[00:13:38.086 --> 00:13:43.607]  Vladimir Putin and Donald Trump are honest enough, are grown up enough to acknowledge that we have a common enemy, ISIS.
[00:13:44.167 --> 00:13:45.088]  They're not playing games.
[00:13:45.568 --> 00:13:54.950]  They're not going to play this divide and conquer game for the military establishment, this regime change where they burn countries down and shift the populations to other countries.
[00:13:55.030 --> 00:13:57.191]  That's the game that the globalists have been playing.
[00:13:57.311 --> 00:13:58.551]  That's why they're so desperate.
[00:13:58.991 --> 00:14:00.692]  That Donald Trump not become president.
[00:14:01.052 --> 00:14:04.674]  Look at this ridiculous statement going back to July of 2016.
[00:14:04.734 --> 00:14:07.775]  John Kerry said that air conditioning was as big a threat as ISIS.
[00:14:08.295 --> 00:14:10.896]  Here's the hilarious way Americans are fighting back.
[00:14:11.217 --> 00:14:22.642]  And at that point in time, what they did was they created a petition asking the State Department to ban all air conditioning units with the State Department in their buildings, in their vehicles, because as John Kerry said,
[00:14:23.502 --> 00:14:26.343]  Climate change is a threat to life on Earth.
[00:14:26.944 --> 00:14:27.224]  Okay?
[00:14:27.684 --> 00:14:34.367]  They said, whereas Secretary of State Kerry has suggested air conditioners are as big a threat as ISIS, therefore government officials ought to lead by example.
[00:14:34.487 --> 00:14:44.471]  Cut it down at all buildings that you own or rent, including, but not limited to, embassies, consulates, office buildings, etc., and all vehicles and limousines that you guys drive.
[00:14:44.531 --> 00:14:46.512]  And here's the quote from John Kerry that was so ridiculous.
[00:14:46.852 --> 00:14:57.759]  As we were working together on the challenge of ISIS and terrorism, he said, it's hard for people to grasp it, but what we're doing, what you're doing right now is of equal importance because it has the ability to literally save life on the planet itself.
[00:14:57.979 --> 00:15:01.181]  He said the use of hydrofluorocarbons is unfortunately growing.
[00:15:01.501 --> 00:15:10.346]  They're being used in refrigerators, air conditioning, other items that are emitting an entire gigaton, gigaton, of carbon dioxide equivalent pollution in the atmosphere annually.
[00:15:10.406 --> 00:15:14.309]  I wonder if that's kind of like the gigawatts that you used to have in Back to the Future, right?
[00:15:15.051 --> 00:15:23.676]  You know, the interesting thing is, is that John Kerry has never installed any air conditionings, but he has installed ISIS, where they are.
[00:15:24.196 --> 00:15:25.477]  And they're now working on this.
[00:15:25.557 --> 00:15:40.725]  One of the things that happened while the election was in full swing, and we didn't talk about it much, back October 15th, we had 170 countries meet in Kigali, Rwanda, and sign an accord that said it was legally binding, although that is pure BS.
[00:15:40.765 --> 00:15:42.286]  That was the way it was reported by the New York Times.
[00:15:42.326 --> 00:15:43.967]  It said, this is a legally binding accord.
[00:15:45.227 --> 00:15:51.189]  To end Freon and to end hydrofluorocarbons in the next few years.
[00:15:51.249 --> 00:15:53.770]  And they set up three different tiers to do this.
[00:15:54.470 --> 00:16:02.993]  One of the things that's interesting about this is they said this was legally binding because it was an amendment to an earlier treaty that had been signed under Ronald Reagan.
[00:16:03.593 --> 00:16:17.619]  So three decades ago they did a real treaty where they sat down and they had the Senate approve this agreement and then the Obama administration comes back and amends that agreement and they say, well now it's legally binding because it's an amendment to the treaty.
[00:16:17.659 --> 00:16:21.761]  No, if you amend the treaty, it's not the treaty that was ratified by the Senate anymore.
[00:16:22.461 --> 00:16:24.302]  That's the legal fiction in their mind.
[00:16:24.642 --> 00:16:25.782]  The living constitution.
[00:16:26.043 --> 00:16:27.123]  These living treaties.
[00:16:27.603 --> 00:16:29.984]  And that's why this is not going to be allowed to stand.
[00:16:30.024 --> 00:16:33.366]  And I want to give you an idea of the crony capitalism that's involved here.
[00:16:33.906 --> 00:16:38.428]  American and Chinese companies have increased production of HFC replacement chemicals.
[00:16:38.448 --> 00:16:39.108]  See, that's the deal.
[00:16:39.148 --> 00:16:45.691]  They want to ban what's out there now, so they have a new monopoly, a copyright, on these new chemicals that are out there.
[00:16:46.391 --> 00:16:51.012]  And meanwhile, we can do everybody a favor by stopping unicorn farts that are going to destroy the world.
[00:16:51.292 --> 00:16:59.894]  They say top officials from the chemical industry were in Kigali to push for the final deal, and the deal will divide the world into three different tracks, okay?
[00:16:59.975 --> 00:17:04.596]  The richest countries, like the United States, are going to have to reduce their production and consumption by 2018.
[00:17:05.916 --> 00:17:07.017]  Just a little over a year away.
[00:17:07.337 --> 00:17:10.979]  Reducing them to 15% of the levels they were three years ago.
[00:17:10.999 --> 00:17:11.700]  Okay?
[00:17:12.040 --> 00:17:20.165]  Now the rest of the world, China, Brazil, and all of Africa, will continue to be able to increase the use of air conditioning and HFCs until 2024.
[00:17:21.466 --> 00:17:23.587]  And then they'll have to start reducing it a little bit.
[00:17:23.907 --> 00:17:29.451]  But the world's hottest countries like Saudi Arabia, Kuwait, and they should include Texas in that.
[00:17:30.671 --> 00:17:32.633]  We'll have a more lenient schedule.
[00:17:32.653 --> 00:17:39.918]  They'll be able to increase their use until 2028, and then they'll have to start reducing it slightly from those increased levels.
[00:17:39.938 --> 00:17:41.459]  Do you understand what's going on here, right?
[00:17:42.080 --> 00:17:43.160]  This is a UN plan.
[00:17:43.961 --> 00:17:53.148]  And if you look at air conditioning, and you look at heating, and you look at heat waves, you look at the people that die when that happens, even in first world countries,
[00:17:53.908 --> 00:17:55.851]  This is population reduction.
[00:17:56.191 --> 00:17:57.553]  It is crony capitalism.
[00:17:57.913 --> 00:17:59.075]  And it is pure fiction.
[00:17:59.475 --> 00:18:00.797]  And let me tell you where this is going to go.
[00:18:00.857 --> 00:18:07.585]  Everybody's talking this weekend about Donald Trump saying, hey, yeah, I was serious when I said I'm going to fight the Paris Climate Accord.
[00:18:08.653 --> 00:18:16.516]  Well you're not going to be able to do that because Obama has signed this agreement and yet the reality is is that he chose not to do a treaty.
[00:18:16.957 --> 00:18:20.418]  What he chose to do was to do by executive order what he called an agreement.
[00:18:20.618 --> 00:18:28.782]  Now you can call this an accord, you can call it an agreement, you can call it a partnership like the TPP or the TTIP, it doesn't matter.
[00:18:29.302 --> 00:18:33.424]  Whenever you make an agreement, the definition of a treaty, okay, is an agreement
[00:18:34.204 --> 00:18:40.828]  An arrangement, an accord, okay, made by multiple countries for a particular purpose.
[00:18:40.868 --> 00:18:46.911]  So calling it something other than a treaty doesn't release you from the requirement to ratify it constitutionally.
[00:18:47.392 --> 00:18:52.294]  But a Donald Trump can now come in by executive order and overturn that executive order.
[00:18:52.314 --> 00:18:53.355]  Stay with us, we'll be right back.
[00:19:01.690 --> 00:19:07.154]  This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[00:19:07.694 --> 00:19:08.195]  Unveiled!
[00:19:08.595 --> 00:19:11.657]  Vitamin Mineral Fusion Advanced Multi-Vitamin Formula.
[00:19:12.338 --> 00:19:12.798]  30 servings.
[00:19:12.998 --> 00:19:15.600]  Fruit punch flavor dietary supplement.
[00:19:15.900 --> 00:19:16.961]  It is simply amazing.
[00:19:17.021 --> 00:19:17.962]  Infowarslife.com
[00:19:18.362 --> 00:19:22.764]  There's a million different products like this out there, but they're, you know, they're good in different ways.
[00:19:23.285 --> 00:19:36.391]  But this takes all of the vitamins, all the essential amino acids, all the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to like clumpy, gross stuff.
[00:19:36.812 --> 00:19:37.972]  And you can put it in your drink every morning.
[00:19:37.992 --> 00:19:39.193]  I put it in my protein shake.
[00:19:39.793 --> 00:19:45.297]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multi-drink vitamin.
[00:19:45.317 --> 00:19:48.339]  The cleanest, the purest, new stuff had to be invented.
[00:19:48.379 --> 00:19:50.620]  That's why it took this long to even bring us something that's good.
[00:19:51.221 --> 00:19:57.365]  Some companies are going to take a small amount of vitamins and make it, you know, so there's so much filler, it looks like there's a lot.
[00:19:57.565 --> 00:19:58.806]  This is ultra-concentrated.
[00:19:58.826 --> 00:19:59.947]  We're not playing games here.
[00:20:00.307 --> 00:20:01.568]  Okay, this... Well, that's my philosophy.
[00:20:01.588 --> 00:20:02.168]  That's your philosophy.
[00:20:02.188 --> 00:20:02.348]  Yeah.
[00:20:02.488 --> 00:20:04.510]  This... I want to... But again, there's some great stuff out there.
[00:20:04.710 --> 00:20:04.890]  Yeah.
[00:20:05.110 --> 00:20:06.591]  And there's other, you know... No, of course.
[00:20:06.871 --> 00:20:09.053]  There's other powders I promote at InfoWarsHealth.com.
[00:20:09.073 --> 00:20:09.513]  They're excellent.
[00:20:09.833 --> 00:20:11.074]  I mean, there's some good stuff out there.
[00:20:11.214 --> 00:20:18.297]  This is just the very best we can bring you, and when you buy it, you support InfoWars, you support the reporters, you support yourself.
[00:20:19.498 --> 00:20:39.088]  Tell folks about some of these other things that are in this, and why this is just this total, complete package for your body, because, again, we didn't put the synthetic amino acids, we didn't put the synthetic vitamins, we put the plant-based, high-quality, clean, natural ingredients into this.
[00:20:39.611 --> 00:20:40.191]  Yeah, exactly.
[00:20:40.231 --> 00:20:43.392]  So you've got your standard vitamins, vitamin C, vitamin E, the list goes on.
[00:20:43.472 --> 00:20:44.732]  A huge amount of vitamin C, by the way.
[00:20:44.752 --> 00:20:45.333]  Tell folks about that.
[00:20:45.493 --> 00:20:48.233]  Yeah, a thousand plus percent of your daily value, which is what you need.
[00:20:48.253 --> 00:20:51.734]  Because the, you know, FDA guidelines, we all know about those.
[00:20:52.314 --> 00:20:58.676]  Zinc, magnesium, selenium, L-glutamine, each one of these you could go on for about 10 minutes about the benefits of these things.
[00:20:59.096 --> 00:21:02.297]  Alpha lipoic acid, folic acid, calcium, and the list goes on.
[00:21:02.317 --> 00:21:03.838]  34 other ones you can check out.
[00:21:04.058 --> 00:21:05.898]  Go to infowarslife.com, the label's up there.
[00:21:06.418 --> 00:21:08.699]  You've got the entire ingredients list that you can
[00:21:09.119 --> 00:21:19.084]  Neurotically examined for yourself and just by the way look on the other side too because we're showing people the minerals and things let's look at the vitamins right there all it's got in there I mean it's amazing.
[00:21:19.104 --> 00:21:19.605]  Top left.
[00:21:19.665 --> 00:21:23.007]  Again if you're radio listeners, InfoWars.com forward slash show.
[00:21:23.387 --> 00:21:29.850]  Vitamin A has 4,333 percent from beta carotene and what's another source?
[00:21:29.890 --> 00:21:30.891]  I show this all the best sources.
[00:21:31.570 --> 00:21:31.970]  Retinol.
[00:21:32.010 --> 00:21:36.472]  So you've also got your vitamin D at a thousand IU, which is a large dose, actually.
[00:21:36.813 --> 00:21:37.213]  And you know what?
[00:21:37.293 --> 00:21:39.454]  Some people could say, well, isn't this competing with the other products?
[00:21:39.694 --> 00:21:40.274]  Well, yeah, you know what?
[00:21:40.314 --> 00:21:47.318]  We could be like some people and just take all the stuff that we sell also at Infowarslife.com and not put any of it, but then it wouldn't be a balanced formula and we're not going to do that.
[00:21:47.638 --> 00:21:53.161]  And it might actually hurt us in the long run to put all the best stuff in here, but that's just the way we got to do it because we can't start thinking like that.
[00:21:53.661 --> 00:21:54.522]  So get them today!
[00:21:54.582 --> 00:21:58.886]  Infowarslife.com or call toll free 888-253-3139.
[00:21:59.607 --> 00:22:01.128]  My name is Alex Jones.
[00:22:01.529 --> 00:22:07.454]  Most of you know me from my syndicated radio program and my documentary films as well as Infowars Nightly News.
[00:22:07.675 --> 00:22:08.816]  When I got on air 20 years ago,
[00:22:10.237 --> 00:22:24.382]  I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights, to focusing on fighting the Globalist.
[00:22:24.742 --> 00:22:28.644]  I've gone from 279 pounds all the way down to 235 pounds, and the weight's going off even faster.
[00:22:32.765 --> 00:22:39.848]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:22:40.189 --> 00:22:45.871]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:22:46.032 --> 00:22:52.155]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[00:22:52.475 --> 00:22:56.217]  Check them out today at InfoWarsLife.com or give our crew a call at 888-253-3139.
[00:23:02.759 --> 00:23:09.402]  Well the same people who put their faith in illegals to win the election are now putting their faith in the faithless to win the election.
[00:23:09.422 --> 00:23:11.664]  They've gone from illegals to faithless.
[00:23:11.944 --> 00:23:13.625]  That's how they're going to stop Donald Trump.
[00:23:13.665 --> 00:23:14.705]  And what am I talking about?
[00:23:15.065 --> 00:23:18.127]  I'm talking about faithless electors.
[00:23:18.627 --> 00:23:35.455]  They're hoping that the people who are going to go to the Electoral College, which is simply a formality to elect the president after the public election, they're going to send electors from each of the states where the candidates won, and they're going to be selected by the political party.
[00:23:35.495 --> 00:23:36.216]  That might tell you
