[00:00:15.359 --> 00:00:23.066]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:02:58.831 --> 00:03:03.153]  Basically, what we saw in Japan earlier today is tiny.
[00:03:03.293 --> 00:03:10.338]  Compared to the destruction, Bilham has been desperately trying to compel governments all over the globe to be aware of.
[00:03:10.598 --> 00:03:15.622]  But Bilham has been turned away from at least one country that refused to hear the truth.
[00:03:15.942 --> 00:03:21.467]  In 2012, Indian officials deported Bilham when his plane arrived in New Delhi.
[00:03:21.487 --> 00:03:21.547]  Why?
[00:03:22.107 --> 00:03:29.333]  Bilham had raised concerns about the dangerous seismic activity in the Jaipur region where a nuclear plant was being planned.
[00:03:29.773 --> 00:03:35.136]  Meanwhile, authorities are quietly racing to monitor the many volcanoes blowing their tops.
[00:03:35.536 --> 00:03:40.779]  Currently, there are 38 active volcanoes as the Earth moves through its volcano season.
[00:03:40.919 --> 00:03:44.922]  The World Net Daily writes, there is a 5% to a 10% chance in the next 80 years, scientists say.
[00:03:47.663 --> 00:03:56.687]  One of these eruptions will kill millions of people and poison the atmosphere beyond the imagination of anything man's activity could do in a thousand years.
[00:03:57.087 --> 00:04:01.848]  And no one is yet making any plans to deal with the calamitous possibilities.
[00:04:03.069 --> 00:04:05.550]  But earthquakes are earthquakes and I don't know.
[00:04:06.050 --> 00:04:07.791]  Hopefully we just won't ever have to worry about it.
[00:04:08.131 --> 00:04:10.792]  How does that make you feel living here and running a business here?
[00:04:12.060 --> 00:04:13.842]  Um, it just feels kind of awkward.
[00:04:14.543 --> 00:04:15.865]  I didn't know about that fault.
[00:04:17.046 --> 00:04:25.576]  We've had earthquakes here in the last two or three months that weren't as big as this, but I'm just happy that I have a building that I know that can withstand it.
[00:04:27.523 --> 00:04:35.092]  Relatively unknown fault line that was here and you can see where the road has just separated into.
[00:04:35.893 --> 00:04:38.596]  It was pushed up against each other directly in this area.
[00:04:38.676 --> 00:04:42.881]  Sidewalks are about three feet high in some places.
[00:04:44.181 --> 00:04:55.588]  True to California fashion, some of the children have seen this as their opportunity to have their own makeshift bike ramps and skate ramps, trying to make the best of this situation.
[00:04:55.848 --> 00:05:04.814]  All eyes should be on the ring of fire as the trenches activate the tectonic plates at exponential levels and earthquake news events multiply.
[00:05:05.034 --> 00:05:06.655]  John Bowne for InfoWars.com.
[00:05:08.596 --> 00:05:09.157]  We'll be back.
[00:05:09.197 --> 00:05:09.637]  Stay with us.
[00:05:10.891 --> 00:05:12.272]  Clean, pure drinking water.
[00:05:12.532 --> 00:05:13.833]  You can't survive without it.
[00:05:14.034 --> 00:05:14.934]  But where do you get it?
[00:05:15.234 --> 00:05:20.999]  Alexa Pure Pro is a brand-new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:05:21.219 --> 00:05:26.964]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:05:27.124 --> 00:05:34.810]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities.
[00:05:37.652 --> 00:05:43.996]  Including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:05:44.376 --> 00:05:46.517]  Filter capacity up to 5,000 gallons.
[00:05:46.877 --> 00:05:48.078]  Stainless steel construction.
[00:05:48.338 --> 00:05:49.119]  Easy assembly.
[00:05:49.379 --> 00:05:49.999]  Low maintenance.
[00:05:50.299 --> 00:05:52.120]  Replacement filters are simple to install.
[00:05:52.401 --> 00:05:58.404]  And now, as part of an exclusive limited time introductory offer, you can save $20 off a retail price.
[00:05:58.624 --> 00:05:59.485]  And get free shipping.
[00:05:59.645 --> 00:06:04.648]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:06:04.868 --> 00:06:07.430]  Go to InfowarsStore.com or call 888-253-3139.
[00:06:23.291 --> 00:06:31.114]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:36.496 --> 00:06:37.536]  There is a paradox.
[00:06:39.400 --> 00:06:43.044]  Thank you for joining us on this live Sunday Worldwide Transmission.
[00:06:43.425 --> 00:06:44.807]  The 17th day of April 2016.
[00:06:45.167 --> 00:06:47.990]  I'm Alex Jones, your host.
[00:06:48.090 --> 00:06:49.772]  I'm here every Sunday 4 to 6 p.m.
[00:06:50.914 --> 00:06:53.998]  Central and then of course we return weekdays 11 a.m.
[00:06:54.018 --> 00:06:54.718]  to 3 p.m.
[00:06:55.179 --> 00:06:57.462]  Central Standard Time in Fuller's Nightly News.
[00:06:57.942 --> 00:06:59.703]  Also airs seven o'clock central.
[00:07:00.063 --> 00:07:05.285]  Find all the details at InfoWars.com in the listen and watch section.
[00:07:05.685 --> 00:07:14.449]  This is primarily a radio slash TV multimedia transmission and of course we are simulcasting on radio and television.
[00:07:14.869 --> 00:07:17.590]  Anyone listening on radio can simply go to InfoWars.com
[00:07:17.910 --> 00:07:18.810]  It's a paradox.
[00:07:18.830 --> 00:07:30.754]  My job is getting easier all the time because the globalists are just out in the open trying to hide their crimes in plain view now because they can't basically bamboozle or hoodwink the public into not understanding that it exists anymore.
[00:07:49.656 --> 00:08:02.746]  So, what I was covering 21 years ago on air, what Barry Goldwater was fighting 50 years ago in the Senate, what Ron Paul was fighting 30 years ago in Congress, was very stealth.
[00:08:03.767 --> 00:08:13.835]  But now, exactly what the old-timers told us they were planning, and they had the documents, was mainly government whistleblowers, top military brass, members of Congress, you name it, that went public.
[00:08:16.104 --> 00:08:16.765]  They'd write a book.
[00:08:16.925 --> 00:08:17.745]  They'd warn people.
[00:08:17.885 --> 00:08:19.407]  The mainstream media would make fun of them.
[00:08:20.547 --> 00:08:21.568]  But people listened.
[00:08:22.429 --> 00:08:23.470]  And the seeds were planted.
[00:08:23.810 --> 00:08:43.505]  And as the global government grew exponentially, but still incrementally, like a metastasizing cancer, there was countless individuals and groups out there that went out, did their own research, and verified what nationalist, pro-freedom patriots had warned them about.
[00:08:43.945 --> 00:08:45.647]  So those Paul Revere's
[00:08:47.059 --> 00:08:52.402]  Going back to 1913 that fought the establishment of the private Federal Reserve and others.
[00:08:54.184 --> 00:09:01.308]  Those patriots in the last hundred plus years are the reason today we have a fighting chance.
[00:09:04.150 --> 00:09:14.557]  Think about how awake the general public is now to the fact that the stock market's rigged, the interest rates are rigged, the currency speculation is rigged, the gold and silver markets are rigged.
[00:09:15.589 --> 00:09:17.190]  That the Federal Reserve again is private.
[00:09:18.871 --> 00:09:42.323]  The public is beginning to wake up and understand that we have a multinational oligarchy of private offshore corporations conquering the globe and seeking to dumb us down and create artificial civilization that disconnects us from common sense and domesticates us because they've stolen the world, now they want to keep what they've stolen.
[00:09:42.923 --> 00:09:43.704]  Now, that said,
[00:09:44.710 --> 00:09:50.894]  The paradox is it's out in the open now.
[00:09:52.496 --> 00:10:07.466]  But the part of the paradox that makes it not be so easy is that they're doing so much so fast and moving so quickly and don't care and have institutional control and don't get in trouble that they're above the law.
[00:10:10.308 --> 00:10:12.350]  And so there's this moment of collective
[00:10:13.851 --> 00:10:20.116]  Cognitive dissidence, or it's beyond that, this moment of collective shrugging the shoulders and saying, what are you going to do about it?
[00:10:20.637 --> 00:10:22.518]  This moment of collective giving up.
[00:10:22.878 --> 00:10:24.039]  And not everybody's given up.
[00:10:24.900 --> 00:10:29.804]  But a large portion of people that are aware of what's happening just say, you're not going to change it.
[00:10:29.964 --> 00:10:31.105]  Well, let me tell those people something.
[00:10:34.128 --> 00:10:38.852]  If you lay down to tyranny, it will only progress and get worse like cancer.
[00:10:41.055 --> 00:10:49.379]  You have to throw sand in the gears of anti-human, unconstitutional, anti-family, totalitarian baloney.
[00:10:53.081 --> 00:10:55.422]  It's like saying, I don't want to have to breathe, it's work.
[00:10:55.562 --> 00:10:56.643]  You die if you don't.
[00:10:57.503 --> 00:11:00.305]  Or, I don't want to have to walk around the block with a dog.
[00:11:00.745 --> 00:11:02.006]  You know, it's too boring.
[00:11:02.666 --> 00:11:03.446]  It's tiring.
[00:11:03.687 --> 00:11:04.967]  You'll end up dying 20, 30 years young.
[00:11:07.619 --> 00:11:10.601]  You'll end up being in a wheelchair when you're 50 living like that.
[00:11:10.941 --> 00:11:12.762]  It's not work to fight tyranny.
[00:11:14.403 --> 00:11:15.764]  It's not work to be informed.
[00:11:15.904 --> 00:11:16.805]  It's animating.
[00:11:17.445 --> 00:11:19.106]  It's the animating contest of liberty.
[00:11:19.146 --> 00:11:20.047]  It's what it's all about.
[00:11:22.168 --> 00:11:27.752]  Now that said, we've got a big now hour and 49 minutes lined up before us here today.
[00:11:28.493 --> 00:11:30.534]  Incredible naked theft.
[00:11:32.620 --> 00:11:40.003]  In Georgia, where Trump won handily, they just took the delegates, the Associated Press, announced it like it was no big deal.
[00:11:40.284 --> 00:11:42.845]  And that's the bigger story is how the mainstream media goes along with this.
[00:11:45.866 --> 00:11:47.507]  Another headline, InfoWars.com.
[00:11:47.927 --> 00:11:49.148]  It's also in Yahoo.
[00:11:49.928 --> 00:11:53.069]  Cruz wins another voterless contest in Wyoming.
[00:11:54.090 --> 00:11:58.492]  And he called it a quote, grassroots victory of the voters, close quote.
[00:11:59.597 --> 00:12:02.438]  A total inversion of reality.
[00:12:07.480 --> 00:12:09.180]  So that's up on Infowars.com.
[00:12:10.061 --> 00:12:11.761]  We're going to be breaking all of that down.
[00:12:12.822 --> 00:12:18.964]  Ted Cruz celebrates Wyoming win calling voterless contest a grassroots uprising.
[00:12:22.489 --> 00:12:25.411]  Party bosses plan to rob Trump in Wyoming and Indiana.
[00:12:25.431 --> 00:12:27.252]  Yeah, there we are a few days ago telling you about that.
[00:12:27.532 --> 00:12:28.252]  They've now done it.
[00:12:28.532 --> 00:12:33.635]  And don't worry, UN Human Rights Commission blasts Trump's hateful slander of foreigners.
[00:12:33.935 --> 00:12:35.216]  You know who runs the commission?
[00:12:35.776 --> 00:12:39.698]  Saudi Arabia, Jordan, and other dictatorships in the Middle East.
[00:12:40.319 --> 00:12:43.220]  That's actually who runs the commission, is Saudi Arabia.
[00:12:44.000 --> 00:12:48.143]  That's like having, I don't know, who's the most famous child molester in U.S.
[00:12:48.163 --> 00:12:48.443]  history?
[00:12:49.704 --> 00:12:50.725]  I don't know the answer to that.
[00:12:51.806 --> 00:12:55.989]  You guys ask Google who is the most famous or most notorious child molester?
[00:12:56.349 --> 00:13:01.994]  It'd be like putting a child molester over the local neighborhood watch program for children or something.
[00:13:02.794 --> 00:13:12.782]  Saudi Arabia that chops women's heads off that refuse to wear headdresses, beaky pursuits, and that chops homosexuals' heads off.
[00:13:13.222 --> 00:13:17.806]  But see the homosexuals, they're mad I'm using the word homosexual, they don't care if Saudi Arabia chops their head off.
[00:13:20.134 --> 00:13:25.255]  I use the word homosexual not because I dislike you, but because you're not going to tell me what words to use.
[00:13:25.495 --> 00:13:26.876]  That's cult garbage!
[00:13:28.416 --> 00:13:28.796]  U.N.
[00:13:28.976 --> 00:13:31.997]  Rights Chief decries bigotry in the U.S.
[00:13:32.057 --> 00:13:33.038]  presidential race.
[00:13:35.318 --> 00:13:35.678]  U.N.
[00:13:35.938 --> 00:13:36.899]  Rights Chief!
[00:13:39.079 --> 00:13:41.700]  Jordan and Saudi Arabia run the stinking thing.
[00:13:44.104 --> 00:13:57.287]  We're gonna get to all of that, and I've got a big stack of censorship news coming up from all over the world against nationalists, against fathers, against Christians, against patriots, against the most law-abiding, decent people.
[00:14:00.007 --> 00:14:07.249]  Merkel is going to arrest the person on TV that wrote a poem about the dictator, basically, of Turkey.
[00:14:09.502 --> 00:14:13.926]  He has staged elections, but it's admitted he kills anybody that gets in his way, arrests newspaper chiefs, you name it.
[00:14:14.286 --> 00:14:14.686]  Ergun.
[00:14:16.067 --> 00:14:17.168]  Germany's gonna arrest.
[00:14:17.769 --> 00:14:26.816]  See, by the way, even the Seattle Post-Intelligence are asked, man, the Black Lives Matter people and other social justice warriors, they won't let anybody have free speech.
[00:14:26.876 --> 00:14:27.777]  They attack people.
[00:14:28.578 --> 00:14:29.318]  Is that okay?
[00:14:29.378 --> 00:14:30.699]  Is that their safe space now?
[00:14:30.980 --> 00:14:32.521]  And they go, yes, it is their safe space.
[00:14:32.581 --> 00:14:34.763]  You don't get free speech when the left says so.
[00:14:35.984 --> 00:14:46.027]  The whole world's a safe space, a free speech zone for you, but they have free speech because they are fascist, brown shirt, lowbrow idiots.
[00:14:46.067 --> 00:14:54.130]  I mean, you go out to a Sanders rally or a Hillary rally and these social justice warriors, I don't care if they're black or white, they can hardly talk.
[00:14:54.170 --> 00:14:57.010]  And we've got more than 30 videos on InfoWars.com.
[00:14:59.051 --> 00:15:04.294]  Facebook, we shot them live on Facebook, live on Ustream, live on InfoWars Nightly News, live everywhere.
[00:15:04.314 --> 00:15:06.535]  When I say 30 or 40 or 50, it's like 100 videos.
[00:15:06.615 --> 00:15:07.635]  I mean, I can't even count them.
[00:15:07.835 --> 00:15:09.496]  I couldn't even watch them all, they're all so insane.
[00:15:10.677 --> 00:15:15.279]  Like the worst 10 or 15 or so are on the website, on InfoWars.com.
[00:15:16.266 --> 00:15:17.347]  I mean, it is crazy.
[00:15:17.628 --> 00:15:23.434]  They were in New York where the anti-Trump people attacked free speech and went crazy and beat people up for no reason.
[00:15:23.874 --> 00:15:25.776]  Even folks who were just out there observing, they just beat them up.
[00:15:26.677 --> 00:15:33.384]  The police, of course, let them do it because that's white privilege to be attacked for your race and be left alone and no one protects you.
[00:15:33.985 --> 00:15:39.148]  And then our crew went out to Denver, where they stole last week the popular vote.
[00:15:39.188 --> 00:15:40.329]  I mean, forget Donald Trump.
[00:15:40.349 --> 00:15:40.949]  The 11 were hating him.
[00:15:40.969 --> 00:15:41.569]  They stole that.
[00:15:42.330 --> 00:15:43.470]  Our crew went and covered that Friday.
[00:15:43.490 --> 00:15:48.833]  And then yesterday, they were in Portland, Oregon, at the university where the left shut down six
[00:15:50.074 --> 00:15:53.858]  Trump supporters last week who were students and said, don't try to have free speech, it's over.
[00:15:54.119 --> 00:15:58.504]  We went there, we conquered, Infowarriors showed up by the hundreds, and we restored.
[00:15:58.544 --> 00:15:59.365]  That's the real story.
[00:15:59.605 --> 00:16:05.472]  The first amendment that's been fought so hard for since 1776 that these dirtbags wanted to bury.
[00:16:05.892 --> 00:16:07.634]  And Saudi Arabia is trying to hold us hostage.
[00:16:07.674 --> 00:16:08.115]  Stay with us.
[00:16:14.264 --> 00:16:19.727]  We are witnessing an unprecedented coming out of the closet by tyrants.
[00:16:20.887 --> 00:16:28.250]  Barack Obama represents the top five megabanks and the Fortune 100 that are owned and controlled by this group.
[00:16:28.911 --> 00:16:33.673]  They are establishing an open world government where they are above the law.
[00:16:35.506 --> 00:16:52.759]  But at the domestic level, they want dictators or communist or fascist systems to control the population, to extract the wealth to the offshore combines that again are above the law, tax-exempt, and have diplomatic and regulatory immunity.
[00:16:53.679 --> 00:17:02.806]  That's what President Obama was talking about a few weeks ago when he traveled to Argentina to say there's not much difference between capitalism and communism.
[00:17:03.337 --> 00:17:07.499]  In the past, there's been a sharp division between left and right.
[00:17:08.319 --> 00:17:12.280]  Between capitalists and communists or socialists.
[00:17:12.780 --> 00:17:16.222]  And especially in the Americas, that's been a big debate, right?
[00:17:17.002 --> 00:17:22.624]  Ah, you know, you're a capitalist Yankee dog.
[00:17:22.644 --> 00:17:28.466]  I think for your generation, you should be practical and just choose from what works.
[00:17:30.734 --> 00:17:51.613]  The controlled corporate media no longer criticizes Cuba and its massive human rights violations, or China's intensifying violations, killing Buddhists in Falun Gong, peaceful people who weren't even protesting, and selling their organs that are chopped out of their bodies in mobile execution vans.
[00:17:52.374 --> 00:17:54.396]  Ten years ago, our government did criticize it.
[00:17:54.796 --> 00:17:55.197]  No more.
[00:17:55.857 --> 00:17:58.898]  And it's because our system is going totalitarian.
[00:17:59.738 --> 00:18:03.298]  This is the fall of America that we're witnessing right now.
[00:18:03.739 --> 00:18:08.299]  And that's why it's more important than ever that you use your First Amendment or lose it.
[00:18:09.200 --> 00:18:10.900]  InfoWars is the tip of the spear.
[00:18:11.380 --> 00:18:13.700]  Go to InfoWars.com forward slash newsletter.
[00:18:14.041 --> 00:18:21.102]  Sign up for our InfoWars Insider so we can get past the censors and send you critical videos, articles, and other intel.
[00:18:21.562 --> 00:18:27.483]  There are so many ways for you to support InfoWars.com and get these critical articles and information out.
[00:18:27.683 --> 00:18:31.664]  We're already growing exponentially, but we need to turbocharge and go to the next level.
[00:18:32.204 --> 00:18:37.806]  Every day, sign off on your email, your Facebook, your Twitter with InfoWars.com forward slash show.
[00:18:38.166 --> 00:18:39.886]  Send people the free podcast list.
[00:18:39.906 --> 00:18:44.927]  Send people the free iPhone Android apps that are at InfoWars.com forward slash show.
[00:18:45.187 --> 00:18:47.228]  People are ready to hear the truth.
[00:18:47.848 --> 00:19:07.083]  Visit InfoWarsStore.com to find thousands of items, the highest quality, the lowest prices on nutraceuticals and supplements, on shortwave radios, on non-GMO heirloom seeds, on powerful Second Amendment t-shirts, ball caps, Hillary for prison apparel, you name it.
[00:19:07.703 --> 00:19:11.506]  Now is the time to practice the First Amendment or lose it.
[00:19:12.146 --> 00:19:13.908]  Now they're trying to take our right to vote away.
[00:19:14.588 --> 00:19:18.171]  But we also have the right of the free market voting with our dollars.
[00:19:18.631 --> 00:19:30.279]  And we can still change things by supporting institutions and organizations that tell the truth and support and promote basic free market renaissance Americana values.
[00:19:30.819 --> 00:19:37.504]  That's why when you spend your money at InfoWarsStore.com and when you spread the word about the broadcast to everyone you know, you're an
[00:19:37.944 --> 00:19:38.264]  Thank you.
[00:20:14.088 --> 00:20:18.670]  You're listening to the Alex Jones Show!
[00:20:30.134 --> 00:20:35.656]  It's always a tough boat because the average person thinks raising the debt ceiling must mean that we're running up our debt.
[00:20:36.296 --> 00:20:39.597]  Raising the debt ceiling, which has been done over a hundred times, does not
[00:20:40.783 --> 00:20:41.584]  Increase our debt.
[00:20:42.064 --> 00:20:45.107]  It does not somehow promote propagacy.
[00:20:45.408 --> 00:20:49.211]  All it does is it says, you gotta pay the bills that you've already racked up, Congress.
[00:20:49.271 --> 00:20:54.717]  That's right, raising the debt, the national debt does not raise the debt, and now they've given the president.
[00:20:55.617 --> 00:20:58.180]  You're listening to the Alex Jones Show.
[00:21:00.277 --> 00:21:05.019]  Blanket control, going out to the next president to just put us into any debt they want.
[00:21:05.059 --> 00:21:08.320]  We're being maneuvered into total receivership, total bankruptcy.
[00:21:08.740 --> 00:21:11.021]  And I want new listeners and viewers to understand something.
[00:21:14.242 --> 00:21:15.662]  You are not hearing rhetoric.
[00:21:15.682 --> 00:21:26.466]  I mean, this is what global government is, it's what the New World Order is, is mega banks controlling huge corporate combines, taking over nation states and maneuvering them towards total collapse.
[00:21:28.140 --> 00:21:32.442]  That is the Agenda 21 Cloward & Piven Globalist Program of Dependency.
[00:21:34.083 --> 00:21:40.165]  So coming up, the theft of more states like Georgia and Wyoming.
[00:21:40.205 --> 00:21:42.246]  And they even had a popular vote in Georgia.
[00:21:43.067 --> 00:21:50.130]  But then when Trump won, they just said, no, we're giving it to Ted Cruz, like Tennessee, like Louisiana, and so many other states like Arizona.
[00:21:53.069 --> 00:22:05.295]  But instead they're doing a new thing where they just go, oh we changed the rules where if we wanted to months ago, we can, in Wyoming and Colorado and all those other states, we can just not even have the election.
[00:22:07.656 --> 00:22:16.480]  And then when DrudgeReport.com and InfoWars.com points out this is crazy and this is wrong, they have mainstream media come out and go, can you believe these nuts?
[00:22:16.540 --> 00:22:18.161]  They claim there's something called voters?
[00:22:21.001 --> 00:22:24.062]  But it is backfiring on the public.
[00:22:24.923 --> 00:22:26.744]  The public is understanding what's happening.
[00:22:27.284 --> 00:22:31.446]  They get that there is a fraud going on and it's a huge wake-up call.
[00:22:31.486 --> 00:22:33.267]  I mean, look at this Hill article.
[00:22:41.613 --> 00:22:47.458]  And then he goes on to say, yeah, the delegates can just represent whoever they want, even though they're pledged to the voters in the precinct.
[00:22:47.818 --> 00:22:54.183]  And there's another article, Republican Party delegates feel sudden power as balance shifts.
[00:22:55.684 --> 00:23:02.670]  It'd be like if you had 10 employees at a restaurant and you showed up as the owner and they told you, we've formed a union, we're throwing you out, we own your business now.
[00:23:04.471 --> 00:23:07.714]  And they really believe, because they say so, that that's the case.
[00:23:09.284 --> 00:23:13.348]  It's like Kim Jong-un, the son of Kim Jong-il, the son of his dad, the dictator.
[00:23:13.588 --> 00:23:23.879]  They become royalty, and he really believes, waddling around, unable to tie his own shoelaces, that he is God-Emperor of the poor slaves, and they can't produce anything.
[00:23:24.079 --> 00:23:24.800]  Worse than Cuba.
[00:23:25.280 --> 00:23:27.843]  No cars, they can produce nothing.
[00:23:28.583 --> 00:23:28.984]  Nothing.
[00:23:31.121 --> 00:23:35.504]  All they've got is a bunch of Chinese and Russian artillery and old rotting tanks from the fifties.
[00:23:36.124 --> 00:23:41.267]  But it doesn't matter, he's obese and went to a prep school in Switzerland, so it's okay.
[00:23:42.688 --> 00:23:49.952]  And there's lots of uniforms and lots of spies and lots of control over what language you use and oh, it's just such a big power trip.
[00:23:50.092 --> 00:23:53.935]  Look at the photo right above that one where he's looking off the one next to it.
[00:23:56.848 --> 00:23:58.029]  Look at that, look at the power trip.
[00:23:58.469 --> 00:24:00.230]  Murdering, executing whoever he wants.
[00:24:00.451 --> 00:24:02.993]  The guy can't even bench press probably 45 pounds.
[00:24:03.553 --> 00:24:08.818]  But he rules a state because it's perfect for him in history.
[00:24:09.198 --> 00:24:12.061]  Only a big bloated evil government would want such a thing running it.
[00:24:14.623 --> 00:24:17.325]  But all you pseudo-intellectuals about Bernie Sanders.
[00:24:17.345 --> 00:24:22.289]  By the way, when we come back from break, we're going to break in a while, but when we come back, Bill Clinton finally told the truth.
[00:24:23.268 --> 00:24:24.189]  I'm stunned by it.
[00:24:24.589 --> 00:24:25.330]  This is a big deal.
[00:24:25.350 --> 00:24:26.050]  We're going to cover that.
[00:24:26.311 --> 00:24:27.492]  So let me tell you what's coming up.
[00:24:27.692 --> 00:24:28.593]  Bill Clinton told the truth.
[00:24:28.613 --> 00:24:33.977]  We're going to get into the election being stolen all across the country by the RNC.
[00:24:34.418 --> 00:24:39.682]  We're going to get into a billion-dollar lawsuit filed following Deutsche Bank's admission of gold-silver rigging.
[00:24:40.783 --> 00:24:48.209]  We're going to get into the world's strongest earthquakes now hitting ever recorded and the most frequent.
[00:24:48.850 --> 00:24:50.572]  And there's one area that hasn't been hit.
[00:24:51.434 --> 00:25:02.624]  And it's two plus years overdue according to all the mainline seismologists and people that study earthquakes and the volcanologists that study the volcanoes and the rest of it.
[00:25:05.306 --> 00:25:09.690]  A bunch of earthquakes today hitting Japan, a bunch hitting just all over the world yesterday.
[00:25:09.730 --> 00:25:11.031]  I mean, this is getting crazy.
[00:25:11.451 --> 00:25:12.572]  We're going to break all that down.
[00:25:14.434 --> 00:25:18.818]  And we're also going to be getting into, as I mentioned, the massive censorship
[00:25:20.546 --> 00:25:24.125]  And just outright political persecution going on by the so-called left.
[00:25:26.328 --> 00:25:38.597]  And see, the left traditionally are the ones sticking up for civil liberties and human rights, so the establishment worldwide is coming after rights from a twisted leftist perspective because they want to get the leftist opposition to stand down and put up with it.
[00:25:38.737 --> 00:25:42.199]  And it's a masterstroke, but man, it's really getting crazy.
[00:25:42.800 --> 00:25:44.020]  It's really getting out of control.
[00:25:44.080 --> 00:25:47.603]  And we got Rob Deuce coming on at the start of the next hour.
[00:25:47.663 --> 00:25:50.105]  He's at DFW right now, just flew in from Portland.
[00:25:50.585 --> 00:25:52.246]  They were again in Portland before that.
[00:25:54.522 --> 00:25:58.925]  Denver, Colorado, fighting against the thefty election there that happened last week.
[00:25:58.945 --> 00:26:06.589]  And then, of course, before that, they were in New York, where the anti-Trump people were attacking just people that were out there for free speech, period.
[00:26:07.089 --> 00:26:09.090]  A lot of folks we talked to weren't even supporting Trump.
[00:26:09.410 --> 00:26:10.491]  They just came out to see it.
[00:26:10.711 --> 00:26:13.253]  But if they were white, they were attacked.
[00:26:13.373 --> 00:26:18.876]  One guy was out there promoting the Second Amendment and just saying, look, we need to defend free speech and the Second Amendment.
[00:26:18.896 --> 00:26:22.638]  So he got attacked and beat up, and the police did nothing.
[00:26:24.557 --> 00:26:33.320]  So, uh, I'm not looking for trouble, but any, uh, I go to Cleveland and other places, anybody thinks they're gonna knock me upside the head, I got some news for ya.
[00:26:33.340 --> 00:26:36.941]  I kick like a mule and I bite like a crocodile.
[00:26:37.821 --> 00:26:39.482]  And so, okay, alright.
[00:26:40.262 --> 00:26:40.662]  Go ahead.
[00:26:42.543 --> 00:26:42.943]  Go ahead.
[00:26:43.823 --> 00:26:45.344]  And I'll probably get arrested.
[00:26:45.404 --> 00:26:46.124]  It'll be on video.
[00:26:47.213 --> 00:26:57.136]  Somebody pops me in the head, I'm going to pop them right in their nose, I'm going to pop them right in their eye, pop them right in their throat, depending on if somebody really goes after me, I'm going to target, I'm going to target.
[00:26:58.116 --> 00:26:59.177]  And you can find out.
[00:26:59.237 --> 00:27:01.217]  And I'm sure you're big and tough, I get it.
[00:27:02.218 --> 00:27:06.899]  And they're watching Oprah Winfrey on TV all day and eating glow-in-the-dark GMO cereal.
[00:27:07.299 --> 00:27:12.181]  It's just that I am coming to execute the First Amendment, and I will defend it.
