[00:00:12.389 --> 00:00:14.530]  He said in October I'd be dead in six months.
[00:04:04.171 --> 00:04:13.439]  So yes, this is really wild, really kooky, really crazy, but it's historic that ruling class elites are obsessed with the blood of the innocents over and over again.
[00:04:13.479 --> 00:04:14.500]  Then we'll ask the question,
[00:04:16.053 --> 00:04:21.880]  Are the elite hijacking the second Earth discovery that we've seen almost no coverage of, but it's truly amazing information?
[00:04:22.841 --> 00:04:26.785]  Then we'll look back over a week ago to the truth about Hillary's alt-right speech.
[00:04:27.406 --> 00:04:30.189]  We'll look back at Matt Drudge's warning of Internet ghettos.
[00:04:30.890 --> 00:04:33.212]  Inquisition 2.0, the Internet has begun.
[00:04:34.645 --> 00:04:37.907]  It's Downward Plunge, with the New World Order taking it hostage.
[00:04:38.547 --> 00:04:39.788]  We also have breaking info.
[00:04:39.828 --> 00:04:41.629]  George Soros is taking over the internet.
[00:04:41.889 --> 00:04:44.811]  We have his own hacked emails and documents.
[00:04:45.671 --> 00:04:46.772]  It's all coming up.
[00:04:47.672 --> 00:05:00.419]  Also, we have Paul Watson's report that we aired on Friday, dealing with the fact that we have Hillary shooting off her mouth about war with Russia, and that ties into my report, the threat of nuclear war is not fear porn.
[00:05:00.719 --> 00:05:02.240]  And that's just the first hour.
[00:05:02.680 --> 00:05:03.461]  I'm Alex Jones.
[00:05:03.481 --> 00:05:03.941]  Stay with us.
[00:05:12.623 --> 00:05:18.788]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:05:19.169 --> 00:05:22.071]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:05:22.391 --> 00:05:27.596]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:05:28.016 --> 00:05:33.981]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:05:34.141 --> 00:05:37.264]  Telomeres are the little cups on the end of our chromosomes.
[00:05:37.424 --> 00:05:38.865]  And when it runs out, you start dying.
[00:05:39.065 --> 00:05:43.208]  We chose the PQQ because it has over 175 different clinical trials.
[00:05:43.388 --> 00:05:46.250]  It's one of the most effective substances in the world.
[00:05:46.330 --> 00:05:47.912]  It works like an antioxidant.
[00:05:48.012 --> 00:05:51.174]  It works to repair nerve growth factor.
[00:05:51.474 --> 00:05:53.796]  So this is a formula to deliver the maximum amount.
[00:05:54.076 --> 00:05:55.037]  It's in powder form.
[00:05:55.137 --> 00:05:57.839]  We have so many five-star reviews.
[00:05:58.019 --> 00:05:58.620]  I take this.
[00:05:58.720 --> 00:06:00.421]  This is the product that I take.
[00:06:00.541 --> 00:06:02.503]  Infowarslife.com and the profit we make.
[00:06:03.323 --> 00:06:04.104]  We fight the Globals.
[00:06:04.124 --> 00:06:05.024]  We fight the New World Order.
[00:06:05.264 --> 00:06:10.187]  Secure your DNA force today at InfoWarsLive.com or call toll-free 888-253-3139.
[00:06:10.247 --> 00:06:30.339]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:44.529 --> 00:06:47.551]  Is the sun in the future of humanity rising?
[00:06:48.431 --> 00:06:49.492]  Or is it setting?
[00:06:50.672 --> 00:06:52.873]  Has the age of the vampire arrived?
[00:06:53.534 --> 00:06:57.235]  Or has the age of the parasitic blood drinker fallen?
[00:06:58.436 --> 00:07:02.838]  Will we continue to allow our souls to be held captive by the globalist system?
[00:07:03.638 --> 00:07:04.979]  Or will we break free?
[00:07:07.304 --> 00:07:10.906]  The secret to reversing some effects of aging might be in the blood of the young.
[00:07:11.366 --> 00:07:17.629]  Three new studies have found that blood from young mice can reverse symptoms of aging in older mice.
[00:07:18.289 --> 00:07:24.372]  Three studies will be published this week in the journals Science and Nature, each exploring the regenerative properties of young blood.
[00:07:24.492 --> 00:07:28.815]  The blood of the young can make the old young again.
[00:07:29.975 --> 00:07:30.675]  Are you kidding me?
[00:07:30.735 --> 00:07:32.636]  It sounds like out of a sci-fi movie or something.
[00:07:32.856 --> 00:07:34.176]  So what is it in the blood?
[00:07:34.216 --> 00:07:34.696]  Do we know?
[00:07:34.716 --> 00:07:37.617]  Peter Thiel here, a member of the PayPal Mafia, it's called.
[00:07:37.657 --> 00:07:40.978]  He's 48 years old, yet plans to live forever.
[00:07:45.599 --> 00:07:47.460]  The process is called parabiosis.
[00:07:48.000 --> 00:07:54.882]  And there's a company called Ambrosia that is openly raising money to bring it to market.
[00:07:56.115 --> 00:08:05.018]  Libertarian billionaire Peter Thiel, who was the star of the Republican National Convention for coming out as being gay, is also a fan of blood.
[00:08:05.519 --> 00:08:06.839]  Blood transfusions.
[00:08:08.440 --> 00:08:22.345]  Parabiosis is a process of taking a young person's blood and putting it into your veins, into your cardiovascular system to rejuvenate your body with the essence of the young.
[00:08:24.400 --> 00:08:27.521]  What it really is is modern vampirism.
[00:08:28.662 --> 00:08:29.642]  Now, I want to be clear.
[00:08:30.102 --> 00:08:34.344]  I don't think Peter is a bad person just because he's attended Bilderberg meeting.
[00:08:35.984 --> 00:08:39.566]  I don't think he's a bad person just because he's into the science of blood transfusion.
[00:08:40.979 --> 00:08:50.364]  My concern though is with the larger cultural movement to see human beings and human fluids as nothing more than commodities.
[00:08:56.007 --> 00:09:05.453]  Now the mainstream media is selling the idea that this technique, parabiosis, is the fountain of youth and that Peter is the first person to really push it.
[00:09:06.872 --> 00:09:16.120]  Actually, if you read it in the press, the Queen Mother, for more than 30 years before she died, was getting, sometimes, entire, whole-body blood transfusions.
[00:09:16.920 --> 00:09:20.703]  It's been reported that Queen Elizabeth II also gets them, as well as Prince Charles.
[00:09:21.304 --> 00:09:35.616]  But where the story really gets weird, is that Prince Charles came out in the last decade and said, I am a direct descendant of Vlad the Impaler, who was, of course, the Hungarian or Romanian Count Dracula of history, that opposed the Muslim invasion.
[00:09:36.781 --> 00:09:41.404]  The genealogy shows that I'm descended from Vlad the Impaler, you see.
[00:09:41.424 --> 00:09:42.785]  So I do have a bit of a stake in the country.
[00:09:43.146 --> 00:09:43.706]  As it were.
[00:09:44.967 --> 00:09:49.570]  I remember almost 20 years ago interviewing the author of Bloodlines, the Illuminati, Fritz Springmeier.
[00:09:50.430 --> 00:09:56.074]  And he was talking about the fact that Prince Charles and the royal family of England traced their lines back to Vlad the Impaler.
[00:09:57.175 --> 00:09:57.936]  I thought he was a kook.
[00:09:58.736 --> 00:09:59.457]  I thought he was a liar.
[00:10:00.197 --> 00:10:06.160]  Then a few years later, they were in the British News admitting that, and saying that Prince Charles was obsessed with Dracula.
[00:10:07.001 --> 00:10:26.851]  Then they started digging up dead bodies on the royal family's palaces, and that of children, and then Jimmy Savelle, who was highly connected to the royal family, was basically caught with all these dungeons and torture centers, and it had turned out that he was a Satanist who was abusing children through the children's charity, and that the BBC had been running it, and was basically protecting all of it.
[00:10:27.651 --> 00:10:28.712]  Then it made more and more sense.
[00:10:29.994 --> 00:10:47.189]  And then I began to research even more and found out that the people running things aren't physical, immortal vampires, but they have the spirit of what you describe as a vampire, and they believe their god Lucifer, if they establish a world government, is going to give them eternal life.
[00:10:48.410 --> 00:10:57.198]  And now they're mainlining the idea of baby parts and blood from the young to make the rich live longer.
[00:10:58.675 --> 00:11:07.623]  The Mayans and the Aztec culture that came out of it sold the body parts of those that were sacrificed to the gods.
[00:11:08.344 --> 00:11:12.007]  They themselves funded their priesthood on the sale of human meat.
[00:11:12.728 --> 00:11:21.555]  When we talk about the legend of vampires, we have to understand that every culture has this because there's always been psychopaths and other groups of individuals.
[00:11:22.256 --> 00:11:41.283]  Who have joined forces and created central governments to actually carry out the practice of bloodletting, bloodlust, human sacrifice, and that the legend of blood-drinking vampires has its roots in real activity that's taken place in every century, in every millennium, and in every culture.
[00:11:41.963 --> 00:11:48.525]  Now to be clear, from our deep research, we don't believe that actual semi or totally immortal vampires exist.
[00:11:49.086 --> 00:11:49.886]  But the spirit
[00:11:51.002 --> 00:12:00.705]  of parasitic evil does exist and has been manifested through what we would call satanic bloodlines in every culture throughout history.
[00:12:01.225 --> 00:12:10.228]  And we see, again, establishment media pushing the idea of women eating babies' placentas at birth and Kim Kardashian doing blood facials.
[00:12:10.848 --> 00:12:14.789]  The idea that if we take something from some other human, we ourselves get something.
[00:12:15.329 --> 00:12:16.510]  This is the psychopaths
[00:12:17.250 --> 00:12:20.211]  Setting up a system where they're the Morlocks from H.G.
[00:12:20.251 --> 00:12:25.232]  Wells and we are the Suboid Eloys, the innocents who are being fed on.
[00:12:25.892 --> 00:12:31.194]  We have a predator class establishing a system where the general public is the prey.
[00:12:32.014 --> 00:12:34.775]  Now the king of the vampires in all of world history
[00:12:35.715 --> 00:12:37.196]  Is the Communist Chinese.
[00:12:38.036 --> 00:12:42.779]  The Communist Chinese kill between 65 and 84 million people.
[00:12:43.279 --> 00:12:44.320]  According to their own annals.
[00:12:45.040 --> 00:12:47.982]  Just during Mao Zedong's Communist rule.
[00:12:48.502 --> 00:13:03.411]  And to this day, hundreds of thousands of political dissidents a year, who've committed no crimes, are grabbed, put in prison, blood-typed, prepared, and then rich Westerners fly into Japan, just an hour away,
[00:13:04.722 --> 00:13:05.823]  Then the prisoner is taken.
[00:13:05.883 --> 00:13:09.146]  They are gutted in a mobile execution van on the tarmac.
[00:13:09.607 --> 00:13:19.516]  The fresh organs are loaded on ice, flown to Tokyo and other Japanese cities where the organs are implanted in rich Asians, Westerners and others.
[00:13:20.297 --> 00:13:36.472]  This is true vampire activity, where you murder a Buddhist or some other person for their religious or political activity, and then steal their organs, make money off of it, and implant it in decadent slobs that paid for the luxury.
[00:13:37.653 --> 00:13:40.235]  The truth is, all of us have a little bit of vampire in us.
[00:13:41.076 --> 00:13:42.097]  All of us can be predators.
[00:13:42.778 --> 00:13:45.662]  All of us cannot have empathy for our fellow humans and dehumanize them.
[00:13:46.142 --> 00:13:55.753]  It's very easy to see the dumbed-down public, if you're intelligent, and decide to not try to help them, but to just let them be ignorant and basically capitalize on the fact that they're unaware of what's happening around them.
[00:13:56.774 --> 00:14:00.117]  But all of us must transcend this because you reap what you sow.
[00:14:00.677 --> 00:14:01.918]  What comes around goes around.
[00:14:02.218 --> 00:14:02.878]  Call it karma.
[00:14:03.659 --> 00:14:05.920]  We as a species must face the light.
[00:14:06.501 --> 00:14:10.083]  We must look into the sun and not hide in the darkness.
[00:14:10.704 --> 00:14:24.973]  We must come together and realize that the elite know that there are very serious developments in life extension technology and have openly said they want a world government in control so the general public doesn't have access to this.
[00:14:25.954 --> 00:14:29.896]  There are a lot of clean, healthy, safe ways to extend our lives.
[00:14:30.436 --> 00:14:31.617]  And the establishment knows this.
[00:14:32.538 --> 00:14:35.599]  The fountain of youth won't be found in the blood of babies or virgins.
[00:14:36.800 --> 00:14:42.863]  We know that Satanists, on record, have been involved inside abortuaries conducting ceremonies.
[00:14:43.583 --> 00:14:51.828]  We know that children, for thousands of years, have been tortured so that they release hormones in their blood so that initiates can have these powerful religious experiences.
[00:14:52.588 --> 00:14:53.789]  That's why it's important to understand.
[00:14:54.949 --> 00:14:56.250]  That humanity is not a commodity.
[00:14:56.811 --> 00:14:58.372]  That humanity is made in the image of God.
[00:14:59.433 --> 00:15:07.962]  And that we face absolute judgment when we attack the human genetic code and also the genetic code of this planet.
[00:15:08.322 --> 00:15:10.144]  Because it was made by the Creator.
[00:15:11.894 --> 00:15:13.175]  The archetypes are clear.
[00:15:13.876 --> 00:15:17.859]  Legend points the way to not just the past, the present, but the future.
[00:15:18.579 --> 00:15:23.503]  The vampire operates in the dark, in the occult, in the secret, in the hidden.
[00:15:24.224 --> 00:15:26.266]  The liberty lover operates in the light.
[00:15:27.326 --> 00:15:29.048]  You will decide the future of humanity.
[00:15:29.848 --> 00:15:33.712]  You will decide if the sun is rising or if the sun is setting.
[00:15:34.904 --> 00:15:42.069]  We will decide whether the age of vampires is now dawning upon us, or whether the age of vampires is now ending.
[00:16:16.880 --> 00:16:19.641]  Infowars is changing the world for the better.
[00:16:20.281 --> 00:16:22.622]  And that means you're changing the world for the better.
[00:16:23.182 --> 00:16:26.943]  When listeners call in and thank me for what I've done, I tell them, are you kidding?
[00:16:27.423 --> 00:16:41.348]  You're the reason we're on the map, spreading the word about the broadcast, telling your friends and family about the show, praying for us, buying the books, the videos, the Hillary for prison shirts that have become one of the major memes of this election.
[00:16:42.128 --> 00:16:46.269]  This election is a referendum on the crimes of George Soros and his puppet Hillary Clinton.
[00:16:46.829 --> 00:16:53.910]  They've already been shaken to their very core by the fact that over 100,000 of these t-shirts are now on the streets across the United States.
[00:16:54.390 --> 00:16:55.571]  Let's double that number.
[00:16:56.171 --> 00:16:58.411]  Let's put bumper stickers on all of our cars.
[00:16:58.651 --> 00:17:02.752]  Let's expose the fact that we're aware of these people's agenda and say we're not afraid of you, bully.
[00:17:03.332 --> 00:17:04.512]  We're never going to shut up.
[00:17:04.772 --> 00:17:08.433]  We're never going to back down because ideas are bulletproof.
[00:17:09.640 --> 00:17:16.583]  Most of the 100,000 shirts that we've sold in the last 15 months or so, we've sold at or near cost.
[00:17:17.483 --> 00:17:24.826]  And ladies and gentlemen, right through to the election, we are going to be selling the shirts at cost for $9.95.
[00:17:25.567 --> 00:17:32.689]  That's $5 for the shirt, $5 for shipping and handling, including all the taxes and the rest of it that we have to pay.
[00:17:33.050 --> 00:17:35.190]  So in many cases, we're actually losing money on this.
[00:17:36.111 --> 00:17:38.792]  But what we saw happen in Cleveland was so amazing.
[00:17:39.551 --> 00:17:50.055]  Where there were tens of thousands of the shirts on the street, big banners we paid for, being towed through the sky, saying Hillary for prison, getting international news attention.
[00:17:50.355 --> 00:17:51.135]  It was amazing.
[00:17:51.935 --> 00:18:01.458]  And it showed not just the mainstream media or the corrupt government, but we the people, the fact that the Liberty Movement is actually incredibly strong and incredibly popular.
[00:18:02.039 --> 00:18:04.279]  And it also showed Donald Trump that.
[00:18:05.100 --> 00:18:08.541]  The truth is, Americans are hungry for liberty.
[00:18:09.414 --> 00:18:14.096]  But people all over the world are hungry for liberty as well, and are aware of the globalist takeover of this planet.
[00:18:14.937 --> 00:18:22.220]  And so even if Hillary has gotten off her crimes so far, because of the incredible corruption of the Justice Department, it doesn't matter.
[00:18:22.600 --> 00:18:25.602]  We are convicting her in the court of public opinion.
[00:18:26.262 --> 00:18:31.465]  That's why she's come out and said I'm one of her main enemies, and called me Dark Heart Alex Jones.
[00:18:32.205 --> 00:18:34.627]  Because the truth is, I don't have a dark heart.
[00:18:35.207 --> 00:18:37.729]  I have a loving heart, just like our listeners and viewers do.
[00:18:38.009 --> 00:18:47.035]  And we have the courage, you have the courage, to wear these shirts openly and to meet like-minded people and to stir conversation with others and hopefully inform them.
[00:18:47.535 --> 00:18:49.997]  Many of you have already gotten your Hillary for President t-shirt.
[00:18:50.297 --> 00:18:51.318]  You've helped spread the word.
[00:18:51.758 --> 00:18:55.040]  You've created what's probably the most popular meme of the 2016 historic election.
[00:18:57.210 --> 00:19:02.754]  I'm asking you to go to the next level and order another shirt today and give it to friends, neighbors, family.
[00:19:03.654 --> 00:19:11.099]  I'm also asking you to take the bumper stickers that say Hillary for prison in each order and put them on your cars or put them in public places where it's legal and lawful.
[00:19:11.659 --> 00:19:21.006]  Because this message absolutely has to punch through the media, as Donald Trump has said, and expose the fact that she may have corrupt courts and the corrupt Justice Department
[00:19:22.026 --> 00:19:25.908]  No bill her for being indicted, but in the court of public opinion, we're taking action.
[00:19:26.428 --> 00:19:36.274]  When Hillary Clinton threatens us, when Hillary Clinton turns her dogs loose on us, when Hillary Clinton has mainstream media basically death threat us, we don't back down, we go to the next level.
[00:19:36.894 --> 00:19:47.781]  That's why I'm encouraging you, if you haven't got the t-shirts, to join all the other great InfoWarriors in history and get your Hillary for Prison 2016 shirt today.
[00:19:48.301 --> 00:20:02.530]  But whether it's a Molon Labe shirt, or a Come and Take It shirt, or an InfoWars.com shirt, you get at InfoWarsStore.com, you are funding the very front lines of the fight against the globalists in America's darkest hour.
[00:20:15.894 --> 00:20:18.596]  You're listening to the Alex Jones Show.
[00:20:24.719 --> 00:20:26.220]  We are on the march.
[00:20:26.561 --> 00:20:28.982]  The Empire is on the run.
[00:20:29.002 --> 00:20:39.328]  Alex Jones and the GCN Radio Network.
[00:20:39.488 --> 00:20:43.371]  As you've already understood, you are about to hear about a very exciting discovery.
[00:20:43.991 --> 00:20:45.232]  Maybe even a momentous one.
[00:20:50.692 --> 00:20:57.801]  A second Earth-like planet, just a mere 4.243 light years away, has been discovered.
[00:20:58.082 --> 00:21:06.172]  A distance that would take the average human using current propulsion technology hurtling through space at 20,000 miles per hour, give or take, 100,000 years to travel to.
[00:21:09.016 --> 00:21:16.998]  has quite possibly been discovered right in our own backyard in the habitable zone of a neighboring system known as Proxima Centauri.
[00:21:17.238 --> 00:21:23.580]  Dubbed Kepler-452b, the Earth-like planet is roughly 60% larger than Earth.
[00:21:23.740 --> 00:21:28.842]  Temperature that you would have on the surface of this planet if there's no atmosphere is actually minus 40 degrees.
[00:21:29.582 --> 00:21:43.027]  Which is not spectacular, but of course we all want this planet to have an atmosphere, and if it has an atmosphere, it is actually pushing up the temperature to the greenhouse effect above zero degrees and in the liquid water habitable zone.
[00:21:43.287 --> 00:21:48.948]  Of course, the vampiric elite of planet Earth are beside themselves with world-conquering glee.
[00:21:49.149 --> 00:21:53.310]  Mark Zuckerberg and his Russian internet billionaire counterpart Yuri Milner
[00:21:53.610 --> 00:22:01.405]  Are hatching a plan to escape the confines of the earthbound hell pit the elite created and preside over for greener pastures.
[00:22:01.726 --> 00:22:03.529]  But now we can transcend it.
[00:22:04.569 --> 00:22:14.374]  With light beams, light sails, and the lightest spacecraft ever built, we can launch a mission to Alpha Centauri within a generation.
[00:22:14.774 --> 00:22:26.339]  Dr. Edith Weeks explains from the book titled, Outer Space Development, International Relations and Space Law, although having been extremely successful, NASA is being constructed as incapable
[00:22:26.579 --> 00:22:30.905]  As a failed government bureaucracy, indeed as somehow effeminate.
[00:22:31.125 --> 00:22:39.075]  In addition, there is a trend wherein private companies contracted with the government are gradually beginning to take over the business of space missions.
[00:22:39.356 --> 00:22:44.863]  These processes regarding space exploration, space travel are consistent with my argument
[00:22:45.003 --> 00:22:51.845]  That part of the hyper-privatization mandate is to transfer many of NASA's assets over to the private sector.
[00:22:52.005 --> 00:23:00.048]  Space missions to other celestial bodies large and small in the past were carried out exclusively by government entities.
[00:23:00.368 --> 00:23:13.072]  Over the next decade, we will work with experts here at ESO and elsewhere to get as much information as possible about the Proxima Centauri planet, perhaps as noted, even including whether it might bear life.
[00:23:13.413 --> 00:23:14.033]  Yuri Miller,
[00:23:14.953 --> 00:23:17.836]  Stephen Hawking and Mark Zuckerberg oversee our project.
[00:23:18.617 --> 00:23:21.099]  It doesn't look like a space shuttle or Voyager.
[00:23:21.820 --> 00:23:25.443]  The ultimate spacecraft is going to be about the size of this.
[00:23:26.364 --> 00:23:32.530]  Maybe quite a bit lighter and having much more functionality.
[00:23:32.810 --> 00:23:37.073]  Space travel was an ambitious endeavor that brought millions of people together.
[00:23:37.213 --> 00:23:46.680]  Humankind sat transfixed on Neil Armstrong's giant leap for mankind, now like everything else that has been hijacked by the emerging New World Order.
[00:23:46.941 --> 00:23:57.749]  The human prospect of traveling to distant worlds has been consolidated and relegated to a handful of hubris-riddled elite hell-bent on the survival of their own selfish goals.
[00:23:58.229 --> 00:24:05.295]  In your estimation, what's the probability of finding intelligent alien life in the next 20 years and why?
[00:24:05.875 --> 00:24:07.477]  The probability is low.
[00:24:08.778 --> 00:24:09.398]  Probably.
[00:24:09.759 --> 00:24:17.545]  May they one day travel at the speed of light only to finally arrive on a planet inhabited by 50 foot tall patriots.
[00:24:17.845 --> 00:24:19.266]  John Bowne for InfoWars.com
[00:24:30.279 --> 00:24:36.721]  Hillary Clinton interrupted her coughing fits, seizures, and three-day naps to attack the alt-right.
[00:24:36.841 --> 00:24:40.942]  Clinton savaged Trump for weaving dark conspiracy theories.
[00:24:41.222 --> 00:24:46.784]  Oh, you mean dark conspiracy theories like a YouTube video being responsible for Benghazi?
[00:24:46.844 --> 00:24:49.325]  What difference at this point does it make?
[00:24:49.485 --> 00:24:53.789]  She then proceeded to weave her own gigantic dark conspiracy theory.
[00:24:53.949 --> 00:24:59.273]  Namely that Vladimir Putin controls InfoWars, Breitbart, and the entire alt-right.
[00:24:59.533 --> 00:25:08.721]  And the grand godfather of this global brand of extreme nationalism is Russian President Vladimir Putin.
[00:25:12.492 --> 00:25:16.875]  That's funny because I don't recall receiving my paycheck in the mail from the Kremlin.
[00:25:16.955 --> 00:25:21.317]  It's also what happens when you listen to the radio host Alex Jones.
[00:25:21.497 --> 00:25:34.846]  Right, so Trump is the conspiracy theorist for listening to Alex Jones, yet you just asserted that a former KGB officer under the communist government of the Soviet Union is now the leader of conservatives in America.
[00:25:34.966 --> 00:25:35.766]  What does that mean?
[00:25:35.886 --> 00:25:40.289]  Of course, Hillary failed to identify the real leader of the alt-right.
[00:25:42.088 --> 00:25:49.112]  Oh yeah, and according to another one of Hillary's dark conspiracy theories, Trump is responsible for bullying in schools.
[00:25:49.312 --> 00:25:50.452]  The Trump effect.
[00:25:50.633 --> 00:25:53.554]  Bullying and harassment are on the rise in our schools.
[00:25:53.754 --> 00:26:01.078]  Right, because it's not like Trump supporters have been viciously attacked and harassed by leftists for the last six months solid.
[00:26:01.198 --> 00:26:03.079]  But wait, it gets even funnier.
[00:26:03.419 --> 00:26:07.762]  Hillary began reading out headlines written by Milo Yiannopoulos.
[00:26:10.902 --> 00:26:13.830]  Birth control makes women unattractive and crazy.
[00:26:14.011 --> 00:26:15.094]  Nobody wants to f*** you.
[00:26:15.194 --> 00:26:18.644]  Would you rather your child had feminism or cancer?
[00:26:22.397 --> 00:26:29.240]  He is taking hate groups mainstream and helping a radical fringe take over.
[00:26:29.460 --> 00:26:42.707]  Oh, you mean like you and Obama have been doing for the last two years by mainstreaming Black Lives Matter, a group that has inspired cop killers and whose ideological inspiration is on the FBI's most wanted terrorist list.
[00:26:42.827 --> 00:26:56.176]  These are racist ideas, race-baiting ideas, anti-Muslim, anti-immigrant, anti-women, all key tenants making up the emerging racist ideology known as the alt-right.
[00:26:56.296 --> 00:27:10.065]  So posting dank memes makes you an evil racist, but openly praising and describing as your mentor a man who founded a KKK chapter, called black people mongrels, and campaigned against the Civil Rights Act?
[00:27:10.365 --> 00:27:12.467]  My friend and mentor, Robert Seabird.
[00:27:12.807 --> 00:27:13.587]  That's just fine.
[00:27:13.727 --> 00:27:17.188]  Hillary also said that the alt-right is anti-women.
[00:27:17.328 --> 00:27:25.110]  This from the so-called feminist who takes hundreds of millions of dollars from a country that treats women little better than cattle.
[00:27:25.350 --> 00:27:35.253]  Nigel Farage, who stoked anti-immigrant sentiments to win the referendum, to have Britain leave the European Union, campaigned with Donald Trump in Mississippi.
[00:27:35.353 --> 00:27:37.614]  Yeah, the key word there, Hillary, is win.
[00:27:38.014 --> 00:27:42.597]  He won because the tactic of constantly calling him a racist failed.
[00:27:42.677 --> 00:27:43.778]  Just like your speech.
[00:27:45.999 --> 00:27:56.504]  But seriously, if the alt-right are trolls, who inside Hillary's campaign thought it was a bright idea to do the one thing you're not supposed to do with trolls?
[00:27:57.325 --> 00:27:58.646]  Witches feed the trolls.
[00:27:58.766 --> 00:28:01.927]  The alt-right only succeeds if you respond.
[00:28:02.308 --> 00:28:04.589]  You just walked straight into a trap.
[00:28:06.471 --> 00:28:13.233]  The people running your campaign are complete **** idiots who don't understand how the internet works.
[00:28:13.393 --> 00:28:17.293]  This has backfired more than any of us could ever dream of.
[00:28:17.374 --> 00:28:29.536]  Hundreds of thousands of new people are now coming to our websites, where we'll continue to educate them about your failing health, rampant corruption, and sneering, arrogant elitism.
[00:28:29.576 --> 00:28:30.396]  Thanks, Hillary.
[00:28:30.617 --> 00:28:31.077]  Racist.
[00:29:12.632 --> 00:29:20.295]  Before the Clintons left their governorship in Arkansas, more than a hundred people had been suspiciously murdered.
