[00:00:06.568 --> 00:00:07.403]  Sounded real when Chevy.
[00:16:15.404 --> 00:16:19.267]  Hillary Clinton and the mainstream media officially are worse than Baghdad, Bob.
[00:16:19.287 --> 00:16:24.370]  Remember the spokesman for the defense ministry in Iraq?
[00:16:25.170 --> 00:16:35.317]  There would be planes and tanks and wars going on two miles behind him, explosions going off, and he'd be on TV in Baghdad going, we have routed the Americans, kicked them out of Baghdad.
[00:16:35.357 --> 00:16:36.798]  In fact, we've kicked them back into Kuwait.
[00:16:37.738 --> 00:16:38.959]  We've kicked them back into Jordan.
[00:16:39.119 --> 00:16:40.380]  They're not even in the country.
[00:16:40.660 --> 00:16:41.801]  We have annihilated them.
[00:16:41.981 --> 00:16:42.642]  A jet flies by.
[00:16:45.353 --> 00:16:46.254]  Then he's like, oh, excuse me.
[00:16:46.495 --> 00:16:48.497]  As I said, Americans are totally defeated.
[00:16:49.178 --> 00:16:50.620]  We must stop press conference now.
[00:16:50.900 --> 00:16:52.302]  Remember Baghdad, Bob?
[00:16:52.322 --> 00:16:56.508]  Our media is more ridiculous than Baghdad, Bob.
[00:16:57.429 --> 00:16:58.210]  It isn't a bombing.
[00:16:58.431 --> 00:16:59.172]  It isn't terror.
[00:16:59.472 --> 00:17:00.393]  Donald Trump's horrible.
[00:17:00.754 --> 00:17:01.775]  And it's a terror attack.
[00:17:01.995 --> 00:17:02.997]  And it's Donald Trump's fault.
[00:17:06.141 --> 00:17:08.923]  I mean these people, Hillary Clinton looks like she's dead.
[00:17:09.163 --> 00:17:10.704]  She can barely get upstairs.
[00:17:10.944 --> 00:17:15.266]  It's in all the emails that she's got Parkinson's medication and that years ago she could barely walk.
[00:17:15.306 --> 00:17:16.126]  Everybody's worried about her.
[00:17:16.287 --> 00:17:16.967]  It's all come out.
[00:17:17.747 --> 00:17:21.009]  The Secret Service told us she falls down more than once an hour.
[00:17:21.790 --> 00:17:22.490]  We said how often?
[00:17:22.510 --> 00:17:24.251]  Just sometimes every 15-20 minutes it's bad.
[00:17:26.459 --> 00:17:31.623]  They've got to keep her so drugged up that she doesn't have seizures, but she then looks drugged up and can barely talk.
[00:17:31.963 --> 00:17:42.990]  I mean, she looks so sleepy and so tired in her quote, you know, couple press interviews she did Saturday and Sunday about the bombings, that she was just like, and I, yeah, Trump bombings, excuse me.
[00:17:43.010 --> 00:17:48.834]  I mean, she's on so much seizure medication, she can't open her eyeballs up.
[00:17:49.915 --> 00:17:53.157]  And the media sits there and goes, Alex Jones is a kook.
[00:17:53.958 --> 00:17:55.439]  Alex Jones is a kook, yeah.
[00:17:56.567 --> 00:18:00.810]  Because we have the sources, we have the evidence, we have the facts, we have all the information.
[00:18:00.850 --> 00:18:01.591]  I'm going to skip this break.
[00:18:03.252 --> 00:18:05.734]  Now, let's just start walking through all of this.
[00:18:05.814 --> 00:18:08.576]  We have Ahmed Khan Rahim.
[00:18:08.596 --> 00:18:09.877]  Did I pronounce that right?
[00:18:10.257 --> 00:18:10.778]  Rahami.
[00:18:11.158 --> 00:18:12.639]  Ahmad Khan Rahami.
[00:18:12.659 --> 00:18:15.201]  Another little sweetie pie from Afghanistan.
[00:18:15.441 --> 00:18:21.246]  And we have this other sweetie pie, we'll put his face and name up, from Somalia.
[00:18:22.165 --> 00:18:26.686]  And by the way, if you go to Minnesota, because that's where the GCN Network's based, and you go to Minneapolis-St.
[00:18:26.726 --> 00:18:30.147]  Paul, you think you're in the Horn of Africa.
[00:18:30.828 --> 00:18:31.948]  You think you're in Somalia.
[00:18:33.148 --> 00:18:35.169]  I've never seen one cab driver that isn't Somali.
[00:18:35.189 --> 00:18:40.650]  And I'm not here to attack Somalis, but the point is that Somalia is probably the most terrorist country on earth.
[00:18:41.291 --> 00:18:41.551]  Okay?
[00:18:42.531 --> 00:18:48.333]  And so we now have the Minnesota mall stabbings might realize worse fears of local Somalis.
[00:18:48.513 --> 00:18:49.113]  Oh my gosh!
[00:18:50.026 --> 00:18:55.991]  There's only been a bunch of terror attacks in Minnesota by Somalis, stabbing, killing and bombing people, but it just gets covered up!
[00:18:58.994 --> 00:19:01.116]  And it's the craziest stuff you've ever seen.
[00:19:02.497 --> 00:19:06.121]  Going on, you can't go to Somalia if you're an American, they'll kill you in a second!
[00:19:06.961 --> 00:19:08.443]  It's the same thing over and over again.
[00:19:08.883 --> 00:19:15.069]  These countries, if you're not a hardcore Sunni Wahhabist, you are dead within about five minutes in Somalia.
[00:19:15.973 --> 00:19:16.553]  Or kidnapped.
[00:19:17.113 --> 00:19:17.533]  You understand?
[00:19:18.033 --> 00:19:18.914]  No one can get in.
[00:19:18.994 --> 00:19:21.794]  Not the press, not special forces, not anybody.
[00:19:22.094 --> 00:19:24.255]  You go to Somalia, you are dead.
[00:19:24.275 --> 00:19:30.036]  Oh, and by the way, a lot of you are going to think, oh, I'm sure we're letting Christians or refugees in from Somalia.
[00:19:30.296 --> 00:19:38.437]  No, I have a mainstream news article today admitting that 99% of the Somalis coming in are Muslims.
[00:19:38.897 --> 00:19:39.817]  And you know why?
[00:19:40.177 --> 00:19:42.698]  There isn't 1% Christian in Somalia.
[00:19:44.844 --> 00:19:46.886]  Because the Muslims don't let you be Christian.
[00:19:47.186 --> 00:20:07.465]  A couple hundred years ago it was Christian, not anymore, because they killed everybody, or sold them into slavery, because Muslims are so sweet, and so good, and so loving, and so these terror attacks, because we can now say they're a terror attack, Hillary has now said it, and these bombing attacks, we can now say it, because Hillary now said it today, has nothing to do with Islam.
[00:20:09.858 --> 00:20:11.580]  We can't say that now.
[00:20:11.600 --> 00:20:13.042]  I mean, I'm so angry, I'm sweating, folks.
[00:20:13.162 --> 00:20:15.766]  I am just totally upset about what's happening.
[00:20:17.448 --> 00:20:23.977]  But now, the media can come out today, the police and the FBI today said, okay, it is an act of terrorism in New York and New Jersey.
[00:20:24.978 --> 00:20:25.559]  Days after,
[00:20:28.442 --> 00:20:30.903]  Days after ISIS took responsibility.
[00:20:30.923 --> 00:20:31.704]  So there's the headline.
[00:20:31.924 --> 00:20:33.285]  We'll put it back on screen for TV viewers.
[00:20:34.045 --> 00:20:35.126]  Explosive language!
[00:20:35.186 --> 00:20:35.766]  The Observer.
[00:20:36.246 --> 00:20:39.128]  Call the New York bombing terrorism already.
[00:20:39.468 --> 00:20:41.989]  Oh my gosh, that scene is right-wing and radical.
[00:20:42.389 --> 00:20:42.870]  Yesterday.
[00:20:43.590 --> 00:20:46.010]  To have the New York Observer come out and say, call it terrorism.
[00:20:46.351 --> 00:20:48.211]  Oh my gosh, how bold!
[00:20:48.571 --> 00:20:57.853]  When you've got Afghans that are refugees, and you've got Somalis that are, quote, refugees, and they're running around screaming Allah Akbar, killing and bombing people and stabbing them.
[00:20:58.333 --> 00:20:59.093]  Oh my gosh!
[00:20:59.573 --> 00:21:03.934]  Oh my gosh, it's so radical to call it terrorism or a bombing or Muslim!
[00:21:06.655 --> 00:21:08.235]  These people are worse than...
[00:21:09.571 --> 00:21:10.211]  Baghdad Bob.
[00:21:10.231 --> 00:21:13.273]  In fact, I'm going to do a piece today after the show where I'm going to show clips of Baghdad Bob.
[00:21:13.313 --> 00:21:16.836]  We have the DVD back there somewhere of his most ridiculous statements.
[00:21:17.716 --> 00:21:22.359]  And then show our media, which I'm telling you, out Baghdad Bob's Baghdad Bob.
[00:21:22.739 --> 00:21:33.266]  Now, the first thing I want to do here, out of literally dozens of clips we've got, is before we show you the Swedish government saying you will not be white or Christian anymore, you will be Muslim.
[00:21:33.486 --> 00:21:36.008]  The new Sweden is a woman with a hijab.
[00:21:37.321 --> 00:21:37.922]  You understand?
[00:21:37.962 --> 00:21:39.723]  That's who Sweetin is now, Cupcake!
[00:21:42.186 --> 00:21:45.109]  Because the fetish, by the left, is to commit suicide of the West.
[00:21:46.334 --> 00:21:47.575]  It's a sacrifice.
[00:21:48.035 --> 00:21:48.736]  They get off on it.
[00:21:48.996 --> 00:21:53.780]  It's like, you know, devil worshippers wanting to grab a little kid out of their backyard and go torture him and cut their heart out to Satan.
[00:21:54.220 --> 00:21:55.261]  That's what they like to do.
[00:21:55.321 --> 00:21:56.242]  They like to hurt things.
[00:21:56.262 --> 00:21:57.443]  They like to overthrow things.
[00:21:57.463 --> 00:21:59.685]  They like to bring in backward things.
[00:21:59.705 --> 00:22:01.166]  They like to bring in oppressive things.
[00:22:01.446 --> 00:22:03.768]  They like to finance sexual mutilation.
[00:22:03.808 --> 00:22:11.614]  And Uma Abedin's mother is the foremost pusher of women having their genitals cut off in the world and writes books on it.
[00:22:11.815 --> 00:22:15.838]  And then we cover it and they have leftist media make fun of us and say, so what?
[00:22:16.732 --> 00:22:17.493]  Because they're not left.
[00:22:17.733 --> 00:22:22.258]  They're sick, degenerate filth that want to bring this country down like kamikazes.
[00:22:23.319 --> 00:22:37.174]  But let's go now to Trump coming out, talking about how disgusting CNN is, and breaking down the fact that these people are like from another planet.
[00:22:37.214 --> 00:22:37.495]  Here it is.
[00:22:38.388 --> 00:22:40.830]  CNN is disgusting, and they're disgraceful.
[00:22:40.891 --> 00:22:41.491]  I watch it all.
[00:22:41.531 --> 00:22:42.492]  I watch all of the folks.
[00:22:42.552 --> 00:22:46.636]  And sometimes Fox actually doesn't treat me well also, by the way, but that's okay.
[00:22:46.896 --> 00:22:47.917]  You people do, that's all right.
[00:22:47.937 --> 00:22:48.758]  You're fair and balanced.
[00:22:48.778 --> 00:22:50.420]  You're fair and balanced, I agree.
[00:22:50.680 --> 00:22:54.304]  But I watch CNN, and I watch, I look at what's happened.
[00:22:54.324 --> 00:22:56.486]  How about Bill Clinton's statement last week?
[00:22:57.026 --> 00:23:02.209]  Where he talked about her sickness, that it's something that happens all the time, or something... Frequently, frequently.
[00:23:02.289 --> 00:23:03.470]  That he said, or frequently.
[00:23:03.490 --> 00:23:07.052]  And then, he said, oh, I meant it only happens.
[00:23:07.132 --> 00:23:14.516]  In other words, she only gets, she gets sick all the time, or frequently, and then he goes, oh, I mean, just every once in a while.
[00:23:14.556 --> 00:23:16.117]  He edited it out.
[00:23:16.137 --> 00:23:17.118]  He took it out!
[00:23:17.438 --> 00:23:20.000]  Do you think, if that happened to me, do you think they'd take it out?
[00:23:20.320 --> 00:23:23.583]  They not only don't take it out, it feels like they ad-pick.
[00:23:23.623 --> 00:23:25.725]  These people are the most dishonest people.
