[00:00:14.033 --> 00:00:16.294]  Wednesday, October 12, 2016.
[00:02:25.106 --> 00:02:25.827]  I've never heard that.
[00:02:27.725 --> 00:02:29.287]  More money for the Pentagon when its own auditors
[00:02:43.524 --> 00:02:44.024]  We know it's gone.
[00:03:12.202 --> 00:03:13.422]  We don't know what they're spending on.
[00:03:13.522 --> 00:03:16.263]  What Trump said amounts to nothing.
[00:03:16.523 --> 00:03:24.986]  Nothing compared to her husband's rape victims, some of them brutally raped, only to be attacked publicly by Hillary after the deed was done.
[00:03:25.626 --> 00:03:40.071]  She grabbed ahold of my arm and my hand and she pulls me into her and she says with this very angry look on her face, which had been so pleasant seconds before, and in a low voice says,
[00:03:40.791 --> 00:03:43.712]  Do you understand everything you do?
[00:03:44.452 --> 00:03:45.353]  And that frightened me.
[00:03:45.933 --> 00:03:46.913]  I felt like she knew.
[00:03:46.933 --> 00:03:48.434]  That he raped you?
[00:03:48.634 --> 00:03:51.475]  Yes, and that she was telling me to keep quiet.
[00:03:51.735 --> 00:04:00.399]  Nothing compared to the savagery Middle Eastern women endure and Hillary ignores, only to push the divide and conquer refugee invasion narrative.
[00:04:00.539 --> 00:04:05.981]  A fiction that will eventually lead to the rape of thousands of unsuspecting American women and children.
[00:04:06.241 --> 00:04:10.242]  Nothing compared to the bodies hidden along Hillary's path to power.
[00:04:10.522 --> 00:04:19.865]  Nothing compared to the thousands that have died in the name of Secretary of State Hillary Clinton's rape of Northern Africa due to the conquest of rich men's wars.
[00:04:20.165 --> 00:04:28.947]  Perpetual wars fought in the perceived name of freedom and democracy, only benefiting the wealthy that become wealthier by playing both sides.
[00:04:29.307 --> 00:04:32.888]  Maiming and killing our brave fighting men and women in the process.
[00:04:33.388 --> 00:04:37.552]  In fact, what Trump said should actually strengthen your resolve.
[00:04:37.752 --> 00:04:42.356]  You see, 11 years ago when Trump said this, he wasn't a politician.
[00:04:42.596 --> 00:04:48.661]  He wasn't being groomed and compromised like CIA plant Hillary has been her entire political life.
[00:04:48.842 --> 00:04:53.065]  He was just a guy, like so many other guys, just making a joke.
[00:04:53.346 --> 00:04:58.270]  If you want to see a sexual predator, take the blinders off and look no further.
[00:04:58.610 --> 00:05:04.593]  Then Hillary's right-hand man, and I'm not referring to the genderless Illuminati sellout Tim Kaine.
[00:05:04.873 --> 00:05:06.934]  John Bowne for InfoWars.com.
[00:05:07.534 --> 00:05:09.295]  We'll be back with Danny Williams and more.
[00:05:10.375 --> 00:05:15.258]  Russia has ordered all of its officials to fly home, including any relatives living abroad.
[00:05:15.278 --> 00:05:19.499]  This news comes as tension mounts over the prospect of pending global war.
[00:05:19.519 --> 00:05:24.702]  A failure to heed the instruction could put promotion chances at risk, according to local reports from Moscow.
[00:05:25.162 --> 00:05:27.943]  This news comes amid worsening relations between Russia and the U.S.
[00:05:28.043 --> 00:05:28.764]  over Syria.
[00:05:28.924 --> 00:05:34.106]  Politicians and high-ranking figures are said to have received a direct warning from Russian President Vladimir Putin.
[00:05:34.226 --> 00:05:40.069]  This news comes as Putin has cancelled a planned visit to France amid conflict over Moscow's role in the Syrian theater.
[00:05:40.249 --> 00:05:46.012]  Just days after this news emerged, the Kremlin has moved nuclear-capable missiles near the Polish border.
[00:05:46.212 --> 00:05:53.196]  Russian political analyst Stanislav Bilkowski said this is all part of a package of measures to prepare elites to some big war.
[00:05:53.516 --> 00:05:55.417]  Relations between Russia and the U.S.
[00:05:55.557 --> 00:05:59.198]  are at their lowest since the Cold War and continue to deteriorate.
[00:05:59.418 --> 00:06:06.640]  Even former Soviet leader Mikhail Gorbachev has warned the world is in a dangerous point due to rising tensions between Russia and the U.S.
[00:06:06.881 --> 00:06:09.661]  I'm Margaret Hale reporting for InfoWars.com.
[00:06:10.562 --> 00:06:12.342]  I'm going to lay it out short and sweet.
[00:06:14.043 --> 00:06:19.725]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[00:06:20.405 --> 00:06:22.546]  I was a total fitness nut.
[00:06:23.874 --> 00:06:24.323]  20 years ago.
[00:06:25.306 --> 00:06:27.487]  About 15 years ago, I just stopped working out.
[00:06:27.567 --> 00:06:28.748]  I gained close to 100 pounds.
[00:06:29.388 --> 00:06:31.969]  I have lost 50, 60 pounds of fat.
[00:06:32.949 --> 00:06:33.289]  Or more.
[00:06:33.369 --> 00:06:35.310]  I've gained 20 pounds of muscle.
[00:06:35.790 --> 00:06:37.791]  I'm stronger than I was when I was 22.
[00:06:38.492 --> 00:06:40.732]  When I could bench press close to 400 pounds and squat 600.
[00:06:40.812 --> 00:06:42.633]  It's actually scary.
[00:06:43.474 --> 00:06:53.518]  And it's because I take products that are researchers developed that block the estrogen mimickers that basically feminize men.
[00:06:54.554 --> 00:07:07.343]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support InfoWars in our fight for both human liberty and freedom.
[00:07:10.169 --> 00:07:19.176]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:19.256 --> 00:07:27.363]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:27.643 --> 00:07:32.345]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:32.526 --> 00:07:39.229]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:39.309 --> 00:07:46.392]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:46.473 --> 00:07:53.356]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:53.516 --> 00:07:57.858]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:57.998 --> 00:08:01.260]  Available in original or with our immune support infusion blend.
[00:08:01.380 --> 00:08:07.504]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:07.684 --> 00:08:09.365]  Available at Infowarslife.com
[00:08:15.279 --> 00:08:21.423]  I mean, she is an abject, psychopathic demon from hell that as soon as she gets into power is going to try to destroy the planet.
[00:08:21.863 --> 00:08:25.165]  She's worked like a demon, as you know, with Secretary of State.
[00:08:25.385 --> 00:08:27.967]  We came, we saw, he died.
[00:08:30.208 --> 00:08:32.709]  What difference, at this point, does it make?
[00:08:33.170 --> 00:08:43.836]  And there's only one candidate in this race who understands that democracy in a big, diverse country doesn't work if you constantly demonize each other, demonize each other.
[00:08:44.571 --> 00:08:49.412]  You could put half of Trump's supporters into what I call the basket of deplorables.
[00:08:49.952 --> 00:08:51.493]  And I mean that literally, by the way.
[00:08:51.593 --> 00:08:53.673]  I was reading the other day.
[00:08:53.713 --> 00:08:58.615]  There's a guy on the radio who apparently trumps on his show frequently.
[00:08:58.675 --> 00:09:00.435]  He says me and Hillary are demons.
[00:09:01.015 --> 00:09:01.776]  I'm telling you.
[00:09:04.556 --> 00:09:05.497]  She is a demon.
[00:09:07.877 --> 00:09:08.757]  This is biblical.
[00:09:08.857 --> 00:09:10.758]  She's going to launch a nuclear war.
[00:09:12.612 --> 00:09:14.274]  Said we, smell like sulfur.
[00:09:14.595 --> 00:09:26.008]  Ain't that something?
[00:09:26.128 --> 00:09:31.134]  Now... I mean... Come on, people!
[00:09:33.433 --> 00:09:35.014]  You can't watch that evil off, Ken.
[00:09:35.434 --> 00:09:41.216]  I'm not kidding, people say... Folks, I've been told this by Hyatt folks.
[00:09:41.256 --> 00:09:44.538]  They say, listen, Obama and Hillary both smell like sulfur.
[00:09:45.338 --> 00:09:49.239]  I never said this because the media go crazy with it, but I've talked to people that are in protective details.
[00:09:50.240 --> 00:09:51.400]  I mean, they're scared of it.
[00:09:51.440 --> 00:09:55.722]  And they say, listen, she's a freaking demon and she stinks and so is Obama.
[00:09:55.762 --> 00:09:56.362]  And I go like, what?
[00:09:56.562 --> 00:09:56.903]  Sulfur.
[00:09:58.223 --> 00:09:59.804]  They smell like hell.
[00:10:01.227 --> 00:10:04.629]  On November 8th, the arrogance of Washington D.C.
[00:10:04.669 --> 00:10:09.691]  will come face to face with the righteous verdict of the American voter.
[00:10:09.711 --> 00:10:10.932]  It's about time.
[00:10:12.132 --> 00:10:17.455]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:10:25.472 --> 00:10:43.084]  Max Bluch, a neocon at the Council on Foreign Relations, which admits it operates to shadow government, Hillary Clinton has said that in four different speeches and written about it in two books, wrote a big story over the weekend with the headline, the alt-right is destroying itself listening to its own media.
[00:10:44.325 --> 00:10:49.689]  And he said that we were in an echo chamber and that we were failing.
[00:10:51.311 --> 00:11:00.118]  When mainstream corporate media is a shadow of its former self, has 6% trust, according to the Associated Press' own research, of itself.
[00:11:00.138 --> 00:11:04.421]  I mean, North Korea, the people have more faith in the media.
[00:11:05.923 --> 00:11:09.105]  There it is, Republicans are paying the price for their addiction to their own media.
[00:11:09.906 --> 00:11:17.652]  And what they do is they sit there and create a perception that we're all crazy and take what we say out of context.
[00:11:19.138 --> 00:11:24.283]  But the truth is, the new media, whether it's left-wing, right-wing, libertarian, doesn't matter, is exploding.
[00:11:25.925 --> 00:11:29.749]  Mainstream media is corporately funded, but is collapsing.
[00:11:31.345 --> 00:11:38.810]  And so if you go look at the news every day, it's always Trump in trouble, Trump to drop out, Trump loses all of his support, Trump can't raise any money.
[00:11:39.170 --> 00:11:39.330]  Why?
[00:11:39.390 --> 00:11:42.132]  Out of the blue, 30-something Republicans turned against him.
[00:11:42.212 --> 00:11:49.296]  They were all the same Republicans that said that if you voted for him, the nomination didn't count and that your popular vote didn't count.
[00:11:50.017 --> 00:11:51.938]  So they were just waiting within minutes.
[00:11:52.078 --> 00:11:53.299]  And Jerry Falwell Jr.
[00:11:54.600 --> 00:11:57.621]  actually got calls and met with the top Republicans that warned him
[00:11:58.783 --> 00:12:03.287]  Seven weeks ago this was coming and he told Trump, well, I mean, of course it's coming!
[00:12:04.187 --> 00:12:09.892]  They even said, oh, there'll be, you know, three months, four months after the nomination for us to still get Trump.
[00:12:12.094 --> 00:12:12.754]  And that's what they did.
[00:12:14.476 --> 00:12:19.520]  And then boom, they take this tape, I mean, which is nothing compared to John McCain or Obama or Bill Clinton and their talk.
[00:12:20.805 --> 00:12:26.830]  They edit it, they take it out of context, and then it's the end of the world!
[00:12:27.110 --> 00:12:28.972]  Trump's resigning, it's over!
[00:12:29.152 --> 00:12:32.054]  We heard that three times the last few months for other scandals.
[00:12:32.615 --> 00:12:35.237]  Meanwhile, Hillary represents convicted
[00:12:36.479 --> 00:12:40.480]  Criminals across the board, who then get indicted again for things like child molestation.
[00:12:40.740 --> 00:12:43.341]  Hillary Clinton makes jokes about it on tape, knowing that they were innocent.
[00:12:44.081 --> 00:12:45.221]  Hillary represents jihadis.
[00:12:45.441 --> 00:12:46.622]  Hillary represents foreign governments.
[00:12:46.902 --> 00:12:48.502]  She's everything she says Trump is.
[00:12:48.522 --> 00:12:50.023]  She says Trump won't work for U.S.
[00:12:50.043 --> 00:12:52.883]  interests, he'll work for his own, when she's the one working against U.S.
[00:12:52.923 --> 00:12:53.223]  interests.
[00:12:54.984 --> 00:13:01.125]  And so then, I baited the media a few days ago, I don't even say it on the tape I am, that Hillary and Obama are literal demons.
[00:13:01.165 --> 00:13:02.626]  Now, I was told by
[00:13:03.660 --> 00:13:09.962]  Detective Details, both military and Secret Service, that I said, why do they always have flies landing on them?
[00:13:10.362 --> 00:13:11.523]  We saw it happen during the debate.
[00:13:11.763 --> 00:13:20.126]  Back in the Middle Ages, and even in ancient times before that, a fly landing on someone when it wasn't on anybody else was seen as a symbol of death or evil.
[00:13:21.206 --> 00:13:23.707]  They would paint them in Middle Age paintings.
[00:13:27.423 --> 00:13:33.709]  Dark age paintings, renaissance paintings of a fly on a skull or a fly on a person as a sign of death.
[00:13:34.409 --> 00:13:39.134]  There's paintings of Judas Iscariot that betrayed Christ, famous renaissance paintings with a fly on it.
[00:13:40.455 --> 00:13:44.939]  And so we just said, isn't it archetypal that Hillary's becoming the lord of the flies?
[00:13:45.119 --> 00:13:47.381]  As the Bible says, the devil's the lord of the flies.
[00:13:47.922 --> 00:13:51.946]  And that Obama, all over the world has flies landing on him and they're not landing on anybody else, they're landing on her.
[00:13:52.186 --> 00:13:53.067]  It's archetypal!
[00:13:54.426 --> 00:13:58.428]  It's tongue-in-cheek when I say absolute literal demon from hell.
[00:14:01.469 --> 00:14:12.515]  She's obviously not an absolute literal, her body, but I do believe in the Bible, I do believe there's evil influence, and obviously Hillary Clinton's an evil person that brags about overthrowing countries and letting jihadis in to murder hundreds of thousands of Christians.
[00:14:14.110 --> 00:14:22.939]  And her internal emails show her hatred for the public and the common people and folks that live in their parents' basements and baristas, her own supporters, and her own emails show this.
[00:14:23.099 --> 00:14:25.722]  And more are coming out of her hatred for the public.
[00:14:28.685 --> 00:14:35.912]  Remember when I came out and I said we need to know that they're going to try to federalize and take over the election because Trump is so far ahead in all the major internal polls?
[00:14:38.820 --> 00:14:43.222]  Obama came out two days later and said, oh, that guy in Texas, there's no such thing as election fraud.
[00:14:43.262 --> 00:14:50.605]  That's like saying there's no such thing as wildfires, or no such thing as daisies, or no such things as automobiles.
[00:14:50.665 --> 00:14:52.926]  I mean, it's just ridiculous on its face.
[00:14:53.846 --> 00:14:57.108]  And then, two weeks later, they go, emergency!
[00:14:57.328 --> 00:15:00.729]  The Russians and others are going to hack all the systems and steal it for Trump.
[00:15:00.970 --> 00:15:02.450]  We've got to federalize the elections.
[00:15:02.490 --> 00:15:03.271]  And what did I say at the time?
[00:15:03.491 --> 00:15:06.392]  I said, watch Homeland Security claiming they're stopping hacks.
[00:15:08.769 --> 00:15:09.609]  That will be the hack.
[00:15:10.850 --> 00:15:12.390]  And they did exactly as I said.
[00:15:12.590 --> 00:15:15.291]  Oh, but the mainstream media is so smart.
[00:15:15.692 --> 00:15:17.872]  They come out and go, it's all over for Trump.
[00:15:18.633 --> 00:15:20.553]  Alex Jones says we're literal demons.
[00:15:20.874 --> 00:15:21.514]  We're devils.
[00:15:23.166 --> 00:15:24.807]  Oh my gosh, isn't it kooky?
[00:15:25.327 --> 00:15:27.648]  See, they're all run by CIA people.
[00:15:27.868 --> 00:15:36.973]  And there's more anthropologists and sociologists and psychologists in the CIA than there are commandos and historians.
[00:15:37.453 --> 00:15:48.459]  And they're all obsessed with knowing the subgroup and seeing us all as, you know, pygmy villagers or something, or, you know, ancient Germanic, you know, villagers.
[00:15:49.554 --> 00:15:59.497]  They see us as animals, and they're up there calculating our culture, and calculating our background, and looking at how we operate, keeping us in the dark while they're part of the future.
[00:16:01.858 --> 00:16:03.338]  And they say that, the new WikiLeaks emails.
[00:16:03.358 --> 00:16:08.360]  It's just full of how they control us, and they have all the answers, and they know everything.
[00:16:09.520 --> 00:16:15.622]  I covered some of those yesterday, where they said, we want to keep the public unaware and compliant.
[00:16:17.422 --> 00:16:17.803]  Remember that?
[00:16:18.203 --> 00:16:19.163]  That's the top of the campaign.
[00:16:22.443 --> 00:16:27.405]  So, the way they do it is saying, you're a loser, you failed, there's no awakening.
[00:16:29.166 --> 00:16:48.233]  You understand, until the day that the United States Army Air Corps dropped two A-bombs, Fat Man and Little Boy, on Hiroshima and Nagasaki, Tokyo Rose was on a super powerful AM transmitter every hour saying, you have lost, your ships have been sunk, your fleets are defeated, it's all over, you're dead.
[00:16:50.782 --> 00:16:51.523]  And that's what this is.
[00:16:52.183 --> 00:16:54.765]  Now 20 years ago, they had the upper hand, they were beating us.
[00:16:55.206 --> 00:16:58.429]  And I was telling you, we're getting beat, we're in trouble, it's horrible, we gotta mobilize.
[00:16:59.129 --> 00:17:03.293]  I don't sit here and like try to, like Oprah Winfrey's the secret and speak things into reality.
[00:17:03.753 --> 00:17:04.894]  You have to take action to do that.
[00:17:04.914 --> 00:17:11.960]  And I said over and over again, we have to turn the tide, we have to expose globalism, the puppet masters, not the puppets.
[00:17:12.120 --> 00:17:14.102]  They can always replace the puppets, but not the puppet masters.
[00:17:14.342 --> 00:17:15.583]  We've got to expose that.
[00:17:16.764 --> 00:17:17.365]  I'm gonna skip this break.
[00:17:18.584 --> 00:17:21.551]  And that's what I did over and over and over again.
[00:17:21.611 --> 00:17:25.379]  You did that, others did it, because you could see classical psychological warfare they were using.
[00:17:27.065 --> 00:17:35.447]  So, Max Boot of the Council on Foreign Relations, the group sworn to create world government and our sovereignty, I mean, every publication they put out every two months admits that.
[00:17:35.867 --> 00:17:43.829]  They put out stuff five years ago saying why we need Al-Qaeda in Syria, and admitted our government was financing Al-Qaeda, now known as ISIS.
[00:17:43.869 --> 00:17:46.149]  I mean, they hide this stuff in plain view.
[00:17:46.809 --> 00:17:49.630]  You can go to Barnes & Noble, every two months it comes out, Foreign Affairs.
[00:17:50.470 --> 00:17:52.790]  It's on a magazine, it's like a book, a little green book.
[00:17:53.190 --> 00:17:54.291]  It's about 200 pages thick.
[00:17:58.118 --> 00:18:00.279]  I sit here and read what they're saying, what they're doing.
[00:18:00.599 --> 00:18:04.420]  They think you're so unintellectual that you'll never look into it all.
[00:18:05.781 --> 00:18:07.641]  And know that I'm not telling you my opinion.
[00:18:07.701 --> 00:18:13.924]  I'm telling you word for word what they've said and what they've done and what they stand for.
[00:18:15.064 --> 00:18:17.265]  So he talks about the right wing is in an echo chamber.
[00:18:17.345 --> 00:18:19.586]  Hey brother, you're in an echo chamber and you know it.
[00:18:20.786 --> 00:18:21.566]  I'm not right wing.
[00:18:21.666 --> 00:18:22.807]  I'm a constitutionalist.
[00:18:23.247 --> 00:18:23.987]  I'm a patriot.
[00:18:24.287 --> 00:18:25.748]  I transcend your left-right system.
[00:18:26.658 --> 00:18:48.765]  Now, your modern left is a bunch of fascist, control freak, victim, useful idiot morons who I am exposing with very harsh language to try to shake them out of their mind control stupor of invincible ignorance and wearing their ignorance like it's a crown of enlightenment.
[00:18:49.906 --> 00:18:52.729]  But I'm not here trying to use their ignorance against them.
[00:18:52.849 --> 00:18:54.351]  I'm trying to empower them.
[00:18:54.551 --> 00:19:00.117]  Because when they're empowered, those of us that are already more enlightened and smarter than they are, we will rise even higher.
[00:19:01.238 --> 00:19:03.640]  You can't lower people and not lower yourself.
[00:19:03.981 --> 00:19:07.464]  That's a metaphysical rule of the universe.
[00:19:07.684 --> 00:19:08.926]  It's natural law.
[00:19:10.674 --> 00:19:11.815]  That everything's interconnected.
[00:19:12.555 --> 00:19:14.256]  And these globalists are like cancer.
[00:19:14.656 --> 00:19:19.118]  They think because they take over and dominate because they're evil, they are the enlightened ones and the dominant ones.
[00:19:19.198 --> 00:19:19.358]  No.
[00:19:19.619 --> 00:19:21.079]  You're the malfunctioning cancer.
[00:19:21.299 --> 00:19:25.402]  If I get cancer, you get cancer, and it kills us, the cancer cells die too, don't they?
[00:19:25.942 --> 00:19:26.862]  But they're not conscious.
[00:19:26.882 --> 00:19:28.543]  They just think, I do whatever I want.
[00:19:29.103 --> 00:19:30.444]  I take over whatever I want.
[00:19:31.605 --> 00:19:33.786]  That's conquest versus renaissance.
[00:19:33.806 --> 00:19:35.607]  Now I'm going to get into all the big news here, but
[00:19:37.776 --> 00:19:39.638]  There are just a wall of stories.
[00:19:39.698 --> 00:19:40.319]  Trump is over.
[00:19:40.359 --> 00:19:41.019]  Trump's a loser.
[00:19:41.059 --> 00:19:41.720]  Trump's an idiot.
[00:19:42.080 --> 00:19:43.662]  You know, if you vote for Trump, you lose.
[00:19:43.722 --> 00:19:44.343]  He's gonna lose.
[00:19:44.543 --> 00:19:46.865]  He's 10 points, 20 points, 30 points, 80 points.
[00:19:46.966 --> 00:19:52.271]  I mean, I've seen articles where they're saying he's 30 points behind.
[00:19:52.331 --> 00:19:56.415]  And then you read the poll, and they're sampling 60% more Democrats than Republicans.
[00:19:56.475 --> 00:19:57.817]  I mean, it is getting crazy.
[00:19:59.619 --> 00:20:10.181]  Because again, they think they can put in the methodology of the poll the fact that it's totally fake, but you're too dumb to understand what sampling 46% Democrats and 22% Republicans means.
[00:20:11.181 --> 00:20:14.062]  Or sampling 42% Democrats and 19% Republicans.
[00:20:15.602 --> 00:20:18.063]  And then Bloomberg comes out and says, well, we're not going to do that.
[00:20:18.343 --> 00:20:19.903]  We're only going to sample 10% more.
[00:20:21.684 --> 00:20:22.484]  We're more scientific.
[00:20:24.224 --> 00:20:24.744]  Politico!
[00:20:25.305 --> 00:20:27.327]  They only sampled 7% more.
[00:20:28.027 --> 00:20:30.709]  Oh, and then Hillary was only winning by 2 points in that one.
[00:20:30.729 --> 00:20:31.730]  They had him in a dead heat.
[00:20:31.830 --> 00:20:37.115]  See, all of America should be flipping out at just the way they're running the polls.
[00:20:37.335 --> 00:20:40.117]  The way they turned his microphone off two debates ago.
[00:20:41.438 --> 00:20:46.122]  The way they interrupt him 70 times, 40 times, Hillary 6 times, 3 times.
[00:20:47.303 --> 00:20:51.987]  When you see something this rigged, and the whole corrupt establishment throwing everything it's got at the public,
[00:20:54.002 --> 00:20:55.764]  You've got to know that Donald Trump's the man.
[00:20:56.725 --> 00:20:57.586]  Doesn't mean he's perfect.
[00:20:58.047 --> 00:20:59.969]  Doesn't mean his feet won't have to be held to the fire.
[00:21:00.570 --> 00:21:06.837]  But we know the Clintons, they are the most archetypal, corrupt, out of control group that I could possibly imagine.
[00:21:06.877 --> 00:21:08.018]  Now, here's what's coming up today.
[00:21:09.179 --> 00:21:12.984]  Speaking of censorship, speaking of control, I want to show TV viewers this article right here.
[00:21:13.384 --> 00:21:14.365]  This is DrudgeReport.com.
[00:21:24.454 --> 00:21:36.678]  CNN boss Jeff Zucker has directly ordered network staff not to cover shocking allegations made by Arkansas resident Danny Williams.
[00:21:37.038 --> 00:21:38.259]  The Drudge Report has learned.
[00:21:38.819 --> 00:21:45.861]  Williams, who is set to give his first TV interview today on InfoWars.com, claims to be Bill Clinton's biological son.
[00:21:46.441 --> 00:21:51.523]  Jeff thinks it is ridiculous hoax, a top CNN source said.
[00:21:54.412 --> 00:22:00.216]  I always felt bad about Bill Clinton not wanting to be in my life, Williams explains in the video released Monday.
[00:22:01.918 --> 00:22:03.179]  Was it because I was black?
[00:22:03.619 --> 00:22:04.800]  Was there something wrong with me?
[00:22:04.820 --> 00:22:08.182]  It made me think sometimes even of suicide.
[00:22:10.904 --> 00:22:13.726]  It's not fair and it's been hurtful.
[00:22:14.747 --> 00:22:17.029]  Hillary, please do not deny I exist.
[00:22:17.629 --> 00:22:18.110]  I am your
[00:22:19.747 --> 00:22:20.247]  Stepson.
[00:22:20.267 --> 00:22:22.149]  So all of that is developing.
[00:22:22.169 --> 00:22:23.410]  But what's the bigger story here?
[00:22:23.450 --> 00:22:25.331]  He'll be in studio in about an hour with us.
[00:22:25.351 --> 00:22:26.952]  He's in the room right next to us right now.
[00:22:27.152 --> 00:22:30.154]  We're about to tweet out photos of he and I during the last break here in the studio.
[00:22:32.055 --> 00:22:37.299]  Photo of Danny standing in front of our big TV screen right here with CNN orders blackout on Clinton's son.
[00:22:39.540 --> 00:22:40.061]  Now there it is.
[00:22:40.561 --> 00:22:41.722]  Tweeted at real Alex Jones.
[00:22:44.383 --> 00:22:46.785]  And it's not like this guy just popped up like the media is saying.
[00:22:46.846 --> 00:22:49.808]  I was on air 21 years ago and interviewed his aunt.
[00:22:50.209 --> 00:22:51.390]  I remember interviewing her.
[00:22:52.291 --> 00:22:53.332]  Christian church lady.
[00:22:58.317 --> 00:23:01.020]  I remember having the Arkansas State Troopers on.
[00:23:02.381 --> 00:23:18.610]  I remember hearing about the money being delivered to the little shack, $700 a month, and the Christmas presents until he tried to go to the mansion in Little Rock down the street, a few miles away, and climb the fence and go to the front door and meet Bill Clinton.
[00:23:18.650 --> 00:23:21.912]  But Hillary had the state police come out and run him off.
[00:23:22.552 --> 00:23:25.974]  Or how his mother ran in with the baby years before when he was a baby.
[00:23:28.993 --> 00:23:34.437]  And Bill Clinton, you gotta hand it to him, actually had some heart and some soul and tried to take care of his son.
[00:23:34.457 --> 00:23:37.178]  If it wasn't his son, why would he do that?
[00:23:39.500 --> 00:23:41.221]  Please Hillary, do not deny I exist.
[00:23:41.361 --> 00:23:42.042]  I am your stepson.
[00:23:42.062 --> 00:23:42.662]  That is coming up.
[00:23:42.702 --> 00:23:44.043]  So how does the media respond?
[00:23:44.663 --> 00:23:48.406]  Oh, the head of CNN, Jeff Zucker, just says, I think it's
[00:23:51.072 --> 00:23:51.933]  Ridiculous hoax.
[00:23:52.553 --> 00:23:52.994]  Close quote.
[00:23:53.014 --> 00:23:55.676]  So he believes it just like they said in the last year.
[00:23:55.696 --> 00:23:56.978]  Never talk about Hillary's health.
[00:23:57.198 --> 00:23:58.779]  Don't let anybody talk about her falling down.
