[00:00:14.902 --> 00:00:16.103]  Isn't this Bing Crosby?
[00:03:56.701 --> 00:04:13.210]  To realize free speech is under attack, InfoWars is under attack, the free press is under attack, so I want to thank you all for your support, and I want to encourage all of you to continue to support us right into next year, because I never thought InfoWars would become the spearhead, the tip of the spear, the whole nine yards.
[00:04:13.530 --> 00:04:22.355]  We are, but that's because we are representing basically you, and your will, and your honor, and your courage to be free.
[00:04:23.319 --> 00:04:46.693]  We're going to go to break, and we're looking back at a few days after the election in the middle of November, I guess Tuesday was November 8th, so 9th or 13th or whatever it was, when we had the Sunday broadcast, and I kind of laid out what I thought Trump would try to do, how they would try to counter him, the fact that they'd try to block his election, which they did do, and as of taping this for the Sunday broadcast, they haven't overthrown Trump yet, but
[00:04:47.193 --> 00:04:48.553]  They're openly calling for him to be killed.
[00:04:48.573 --> 00:04:48.994]  You name it.
[00:04:49.034 --> 00:04:50.554]  So, let's pray for America.
[00:04:50.614 --> 00:04:51.694]  Let's pray for a free world.
[00:04:51.954 --> 00:04:55.475]  Let's pray for Christians being persecuted in the Middle East and elsewhere by the jihadis.
[00:04:55.796 --> 00:04:57.956]  Let's pray for peace and a great awakening this Christmas.
[00:04:58.656 --> 00:05:00.377]  I'm very, very thankful and I'm very, very thankful to you.
[00:05:00.397 --> 00:05:03.238]  Let's also pray for Trump and pray for America and the unborn.
[00:05:03.678 --> 00:05:04.778]  Thanks to the crew and everybody else.
[00:05:04.818 --> 00:05:05.178]  I love you.
[00:05:05.198 --> 00:05:06.819]  We'll be right back with the retransmission.
[00:05:10.299 --> 00:05:14.162]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:05:14.463 --> 00:05:21.749]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:05:21.929 --> 00:05:32.938]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:05:33.379 --> 00:05:40.929]  In the history of InfoWars life, we've brought out a lot of amazing products, like Survival Shield X2, Super Mel Vitality, and so many others.
[00:05:41.229 --> 00:05:50.542]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process, designed for maximized effects.
[00:05:50.842 --> 00:05:55.064]  This formula is the platinum standard of multivitamin mineral products.
[00:05:55.304 --> 00:06:02.026]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:06:02.346 --> 00:06:03.487]  That means it's clean.
[00:06:03.807 --> 00:06:04.907]  That means it's pure.
[00:06:04.967 --> 00:06:07.728]  That's infowarslife.com and Vitamin Mineral Fusion.
[00:06:07.888 --> 00:06:09.569]  Take action now before we sell out.
[00:06:22.287 --> 00:06:30.012]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:39.738 --> 00:06:43.801]  Last Sunday we were sitting here only two days out from the presidential election.
[00:06:45.242 --> 00:06:47.287]  Cueing our fingernails.
[00:06:47.327 --> 00:06:52.781]  I was telling you that the internal polls show Donald Trump is going to win basically every swing state unless Hillary tried to steal it.
[00:06:54.013 --> 00:06:55.053]  Well, we were proven right.
[00:06:55.434 --> 00:06:58.755]  He did win, but she successfully stole at least five states.
[00:06:59.275 --> 00:07:00.795]  The numbers are overwhelmingly clear.
[00:07:01.736 --> 00:07:08.898]  I had Bev Harris, the Democrat, the liberal, the top election fraud expert in the country, extremely bipartisan, totally respected.
[00:07:09.878 --> 00:07:14.460]  And she came out and laid out the fact that they were going to try to steal it from Trump beforehand, and they certainly did.
[00:07:14.480 --> 00:07:20.322]  And she concurred on those key states where Hillary, the evidence that leans towards, stole it.
[00:07:20.982 --> 00:07:28.685]  Lots of evidence of late night, right as the polls are closing, some precincts getting 100% of the voters voting.
[00:07:29.025 --> 00:07:29.845]  That never happens.
[00:07:30.266 --> 00:07:32.006]  Or sometimes more than 100% voting.
[00:07:32.547 --> 00:07:33.267]  Major evidence.
[00:07:33.307 --> 00:07:39.709]  But despite that, despite that, still Donald Trump becomes the 45th President of the United States.
[00:07:41.910 --> 00:07:46.452]  I want to pull back here before I plunge into all the latest news and information.
[00:07:49.355 --> 00:07:51.036]  And I want people to savor this victory.
[00:07:52.237 --> 00:07:55.799]  I was the one Tuesday night, Wednesday morning saying, look, they're going to counter-strike.
[00:07:56.660 --> 00:07:58.121]  Soros will fund a bunch of riots.
[00:07:58.161 --> 00:07:59.782]  They're going to try to block him in Congress.
[00:08:00.383 --> 00:08:01.523]  Our fight has just begun.
[00:08:02.784 --> 00:08:06.747]  But it is important to basically think about what we have done together.
[00:08:08.048 --> 00:08:08.728]  Because it's big.
[00:08:09.549 --> 00:08:10.409]  It's very, very big.
[00:08:14.792 --> 00:08:18.395]  The entire establishment media has been discredited.
[00:08:21.348 --> 00:08:24.190]  All the pollsters have been turned into laughingstocks.
[00:08:25.311 --> 00:08:36.440]  The entire political correct cult trying to bully this country into submission to cultural tyranny has been blown into a million, million pieces.
[00:08:42.926 --> 00:08:44.067]  And the successes go on.
[00:08:45.040 --> 00:08:51.266]  Globalism itself and the fact that crony capitalists control and manipulate the system worldwide has been exposed.
[00:08:52.327 --> 00:09:02.037]  This last year and a half campaign did more work to expose the global tyranny than all of the Liberty Movement's 60-year history to try to restore this republic.
[00:09:02.898 --> 00:09:09.084]  Because we're coming towards the peak, the crescendo here in the next decade or so, maybe even sooner.
[00:09:12.253 --> 00:09:22.701]  Donald Trump is already moving to fulfill his promises announcing he's going to reverse the climate deal Obama signed seven years ago without congressional approval.
[00:09:22.721 --> 00:09:27.145]  I have the articles right here, we'll go over them in a moment.
[00:09:27.185 --> 00:09:36.952]  We have John Kerry trying to race to get it ratified with other countries globally and completed before Trump takes office in two months.
[00:09:39.134 --> 00:09:40.095]  Think about them apples.
[00:09:41.991 --> 00:09:56.143]  Trump is announcing already that he is going to ignore the EPA's order to shut down another 500 power plants and allow the other clean burning plants that were shut down to get their licenses and fire back up.
[00:09:56.984 --> 00:09:59.426]  Get ready for more energy competition.
[00:09:59.466 --> 00:10:01.808]  Get ready for dropping prices.
[00:10:02.609 --> 00:10:06.452]  The hidden taxes against the poorest Americans of every race, color, and creed.
[00:10:09.468 --> 00:10:11.269]  Trump reportedly looking for a way to pull U.S.
[00:10:11.329 --> 00:10:12.190]  out of climate agreement.
[00:10:14.572 --> 00:10:15.352]  Looking for a way?
[00:10:16.914 --> 00:10:23.338]  Congress didn't pass it, so the Supreme Court just said that the EPA could do whatever they wanted to.
[00:10:23.358 --> 00:10:23.839]  Well, guess what?
[00:10:24.199 --> 00:10:25.160]  Guess who's over the EPA?
[00:10:25.180 --> 00:10:26.200]  El Presidente.
[00:10:26.461 --> 00:10:28.202]  He could abolish that cabinet position.
[00:10:29.743 --> 00:10:30.043]  The U.S.
[00:10:30.063 --> 00:10:32.805]  to push ahead on climate pact before Trump takes over.
[00:10:32.885 --> 00:10:35.988]  Kerry, Yahoo News, AP, Reuters.
[00:10:38.411 --> 00:10:38.791]  Report!
[00:10:38.871 --> 00:10:41.632]  Obama administration giving up on the Pacific trade deal.
[00:10:41.652 --> 00:10:47.853]  Not a trade deal, a global government deal to merge the Asian Union, the EU, and the American Union that have already all been set up through the Atlantic Treaty Agreement.
[00:10:49.153 --> 00:10:49.833]  And TPP.
[00:10:50.653 --> 00:10:51.433]  In deep trouble.
[00:10:52.873 --> 00:10:54.154]  Chalk that up to the patriots.
[00:10:54.254 --> 00:10:54.994]  You, the listeners.
[00:10:55.034 --> 00:10:56.094]  The heart of the Infowar.
[00:10:57.754 --> 00:10:58.414]  Chalk that up.
[00:11:01.695 --> 00:11:02.415]  To Donald Trump.
[00:11:02.435 --> 00:11:07.196]  The reason I wanted to start here with some positive news is
[00:11:08.263 --> 00:11:09.944]  We're now seeing the game plan against Trump.
[00:11:10.724 --> 00:11:21.911]  When he's still two months out and change, the rest of November, December, and then what, 18 days into January.
[00:11:21.951 --> 00:11:23.052]  We're more than two months out.
[00:11:23.812 --> 00:11:26.594]  We're more than 60 days out.
[00:11:26.614 --> 00:11:28.795]  67 days.
[00:11:29.315 --> 00:11:31.637]  Thank you Darius, you popped in my ear.
[00:11:31.657 --> 00:11:32.157]  67 days out.
[00:11:32.798 --> 00:11:35.039]  And they're already saying he failed and didn't deliver.
[00:11:39.059 --> 00:11:39.959]  That's going to be their tactic.
[00:11:40.500 --> 00:11:44.901]  It's also going to be something I discovered yesterday that made me so mad it gave me a headache.
[00:11:44.921 --> 00:11:47.142]  And that rarely happens because I hate Amy Schumer.
[00:11:47.842 --> 00:11:55.805]  Ever since I saw her pig face on TV and her anti-family garbage and know that they force feed her to all the young girls in America and she's not even popular, she's a failure.
[00:11:56.905 --> 00:12:04.248]  I saw this headline, it punched me in the stomach because it was a fake headline the New York Times had put out in an article over a year ago that they had to retract.
[00:12:07.312 --> 00:12:12.575]  But for this, they dolled up... I'm going to show this to you later.
[00:12:12.595 --> 00:12:15.536]  It's up on Infowars.com with video.
[00:12:15.576 --> 00:12:24.200]  They dolled up a fake news headline from supposedly 20 years ago with yellowed, acid-damaged paper and jaggedly cut edges.
[00:12:26.041 --> 00:12:29.323]  And it's supposedly Donald Trump saying, if I were to run, I'd run as a Republican.
[00:12:29.683 --> 00:12:31.804]  They're the dumbest group of voters in the country.
[00:12:31.844 --> 00:12:33.465]  They believe anything on Fox News.
[00:12:33.545 --> 00:12:35.046]  I could lie and they'd still eat it up.
[00:12:35.526 --> 00:12:36.927]  I bet my numbers would be terrific.
[00:12:38.072 --> 00:12:41.315]  At the end of a lengthy article she puts out, she admits it's a fake quote.
[00:12:42.236 --> 00:12:48.401]  But she knows full well 90 plus percent of people would never read down to the bottom of it to find out she says it's fake.
[00:12:49.622 --> 00:12:51.184]  This is super fraud.
[00:12:52.765 --> 00:12:53.586]  Now why do I mention that?
[00:12:53.646 --> 00:12:57.910]  Because there's so many of these that I can't even cover them all.
[00:12:58.050 --> 00:13:03.515]  You're going to have to decipher it yourself, deal with it yourself, because a lot of the time they don't admit it's a fake.
[00:13:03.535 --> 00:13:04.656]  I mean I'm seeing stuff now
[00:13:06.567 --> 00:13:08.467]  Where they are saying things about me, which is fine.
[00:13:08.487 --> 00:13:09.047]  They're liars.
[00:13:09.087 --> 00:13:09.828]  They've been discredited.
[00:13:09.868 --> 00:13:10.788]  They've lost so far.
[00:13:11.388 --> 00:13:12.848]  But they're going to the next level.
[00:13:12.888 --> 00:13:13.728]  They're not backing down.
[00:13:13.748 --> 00:13:15.168]  They're only intensifying their lies.
[00:13:15.869 --> 00:13:19.009]  Where they'll write the wildest crap about me that I never even said.
[00:13:19.269 --> 00:13:25.250]  They'll usually kind of trim it apart and move it around and change it when they lie.
[00:13:25.270 --> 00:13:28.791]  Now they're doing stuff just whole hog I never said.
[00:13:30.991 --> 00:13:35.272]  So... They're hitting next level, ladies and gentlemen.
[00:13:41.058 --> 00:13:41.958]  So it goes on and on.
[00:13:42.059 --> 00:13:44.340]  Now, that said, let me give you the big news here.
[00:13:45.620 --> 00:13:49.142]  Most people, if they had a lengthy conversation with President-elect, would tell you all about it.
[00:13:49.542 --> 00:13:51.523]  And the conversation was not off the record.
[00:13:51.563 --> 00:13:55.365]  I asked the President, Donald Trump, Friday if it was off the record.
[00:13:55.385 --> 00:13:55.905]  He said no.
[00:13:56.886 --> 00:13:59.707]  But most of the conversation is going to be off the record.
[00:14:03.369 --> 00:14:09.612]  Just because the enemies out there try to use this against the movement to restore the Republic.
[00:14:10.464 --> 00:14:12.285]  But I can assure you Donald Trump's for real.
[00:14:13.426 --> 00:14:14.627]  He knows exactly what he's doing.
[00:14:15.448 --> 00:14:20.451]  And I'm going to give him my complete backing and confidence until I see the policies he starts to deliver.
[00:14:20.852 --> 00:14:22.573]  And he's going to try to deliver them or die fighting.
[00:14:23.414 --> 00:14:24.274]  He's never let me down.
[00:14:24.294 --> 00:14:25.755]  He's never let you down.
[00:14:25.775 --> 00:14:28.737]  And I happen to know for a fact that Donald Trump Jr.
[00:14:28.798 --> 00:14:29.558]  is not going to let you down.
[00:14:29.598 --> 00:14:30.819]  He's a big listener for years.
[00:14:31.900 --> 00:14:33.321]  And I'm going to just stop right there.
[00:14:37.722 --> 00:14:40.522]  But Donald Trump's for real, ladies and gentlemen, and that's why they're so scared of him.
[00:14:40.542 --> 00:14:47.844]  I have a clip coming up of Dave Chappelle up on InfoWars.com saying, let's give Donald Trump a chance.
[00:14:49.964 --> 00:14:51.684]  And I've always liked Dave Chappelle when I've seen him on TV.
[00:14:51.724 --> 00:14:56.945]  I went and saw his concert, and I guess he bought into the hype, and it was just the biggest race-baiting thing I ever heard.
[00:14:57.325 --> 00:15:02.766]  I want to hear some funny comedy, man, not about white people or black people or this or that, all this race comedy.
[00:15:02.826 --> 00:15:03.466]  It gets a little old.
[00:15:04.467 --> 00:15:05.867]  I've never been big on the race jokes.
[00:15:09.301 --> 00:15:17.608]  It's not that I've been politically correct all my life, I just like to think about people as individuals, and then if I don't like that individual, I'll tell you why I don't like them.
[00:15:17.648 --> 00:15:18.609]  It's not because of what color they are.
[00:15:20.370 --> 00:15:32.220]  But the old Dave Chappelle was back, and he just made a really great point about, we're saying this guy can't govern, he can't rule, just like people used to say black people couldn't rule or couldn't be in the White House.
[00:15:32.240 --> 00:15:34.101]  And he goes, let's just give Donald Trump a chance.
[00:15:34.682 --> 00:15:36.964]  And only Dave Chappelle could say that in a Saturday Night Live audience.
[00:15:38.712 --> 00:15:39.672]  They didn't really even boo.
[00:15:41.713 --> 00:15:46.995]  Because really, what has Donald Trump done except say he tried to have major reinvestment in black communities and cut taxes?
[00:15:48.936 --> 00:15:52.177]  I mean, the truth is Donald Trump is going to deliver.
[00:15:53.418 --> 00:15:56.159]  And the media is going to do everything they can to try to stop it.
[00:15:57.219 --> 00:16:01.621]  Because the media works for foreign multinationals that want to sew this country up.
[00:16:01.641 --> 00:16:02.741]  They want to bag this nation up.
[00:16:02.761 --> 00:16:05.022]  They want us poor so they can buy everything up, folks.
[00:16:05.062 --> 00:16:05.782]  It's real simple.
[00:16:06.183 --> 00:16:06.823]  We'll be right back.
[00:16:06.843 --> 00:16:07.203]  Stay with us.
[00:16:19.071 --> 00:16:26.974]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[00:16:27.054 --> 00:16:30.136]  They're true game changers, they're organic, they're proven as safe.
[00:16:30.953 --> 00:16:32.813]  And they're also very affordable.
[00:16:54.938 --> 00:17:01.682]  Went on what Mother Nature gave us, and it's changed my life, and it's also helped the InfoWar change the country and the world.
[00:17:02.082 --> 00:17:02.843]  It's a win-win.
[00:17:03.323 --> 00:17:04.303]  InfoWarsLife.com.
[00:17:09.226 --> 00:17:13.629]  We have the new product at InfoWarsLife.com, BioTrue Selenium.
[00:17:13.689 --> 00:17:24.635]  We've had so many requests over the years for selenium, and just recently, we were able to source a certified organic, bioavailable selenium from mustard seed extract.
[00:17:24.775 --> 00:17:29.717]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:17:29.837 --> 00:17:32.338]  It helps balance the thyroid gland.
[00:17:32.418 --> 00:17:33.898]  It helps detoxify.
[00:17:34.118 --> 00:17:36.959]  Selenium is another one of those absolute must-haves.
[00:17:36.999 --> 00:17:41.761]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:17:41.781 --> 00:17:48.003]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:17:48.043 --> 00:17:53.345]  So it really is an all-around nutrient that everybody really needs.
[00:17:53.365 --> 00:17:54.125]  I'm taking it now.
[00:17:54.485 --> 00:17:56.566]  Clean, pure drinking water.
[00:18:11.010 --> 00:18:12.270]  You can't survive without it.
[00:18:12.471 --> 00:18:13.371]  But where do you get it?
[00:18:13.671 --> 00:18:19.453]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:18:19.653 --> 00:18:25.395]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:18:25.575 --> 00:18:33.338]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities.
[00:18:36.099 --> 00:18:42.441]  Including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:18:42.821 --> 00:18:44.962]  Filter capacity up to 5,000 gallons.
[00:18:45.322 --> 00:18:46.502]  Stainless steel construction.
[00:18:46.783 --> 00:18:47.563]  Easy assembly.
[00:18:47.823 --> 00:18:48.463]  Low maintenance.
[00:18:48.743 --> 00:18:50.564]  Replacement filters are simple to install.
[00:18:50.844 --> 00:18:57.966]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:18:58.106 --> 00:19:02.428]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:19:03.308 --> 00:19:07.349]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:19:07.389 --> 00:19:11.210]  I mean I try to make sure that I don't put toxins from food and water and beverages in my system but
[00:19:24.733 --> 00:19:32.337]  Right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:19:32.377 --> 00:19:38.701]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere.
[00:19:38.801 --> 00:19:40.062]  These are all parasites.
[00:19:40.102 --> 00:19:41.202]  Tell us about all the stuff that's in it.
[00:19:41.222 --> 00:19:42.263]  There's so many things that are in it.
[00:19:42.563 --> 00:19:46.865]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:19:47.065 --> 00:19:50.227]  I recommend doing a parasite cleanse at least twice a year.
[00:19:50.367 --> 00:19:53.428]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[00:19:53.468 --> 00:19:54.469]  It just came back in yesterday.
[00:19:54.509 --> 00:19:56.390]  Living Defense, Infowarslife.com.
[00:19:56.450 --> 00:19:57.470]  And folks, you can't lose.
[00:19:57.490 --> 00:19:59.571]  It's full of stuff that's great for your body, period.
[00:20:00.191 --> 00:20:02.072]  And you support the broadcast.
[00:20:02.132 --> 00:20:03.233]  Infowarslife.com.
[00:20:03.473 --> 00:20:05.354]  Thank you, Dr. Group from the Global Healing Center.
[00:20:05.754 --> 00:20:07.715]  Thank you so much for all your work, sir, on this great product.
[00:20:12.088 --> 00:20:18.031]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:21.452 --> 00:20:35.419]  It's always a tough boat because the average person thinks raising the debt ceiling must mean that we're running up our debt.
[00:20:36.039 --> 00:20:39.261]  Raising the debt ceiling, which has been done over a hundred times, does not
[00:20:40.536 --> 00:20:41.777]  Increase our debt.
[00:20:41.817 --> 00:20:44.858]  It does not somehow promote profligacy.
[00:20:45.158 --> 00:20:55.323]  All it does is it says, you gotta pay the bills that you've already racked up Congress.
[00:20:55.363 --> 00:20:57.905]  You're listening to the Alex Jones Show.
[00:21:00.748 --> 00:21:07.754]  By the way, Nico Acosta, our great lead producer here for the radio slash TV transmission six days a week, 11 a.m.
[00:21:07.774 --> 00:21:09.695]  to 3 p.m.
[00:21:09.736 --> 00:21:12.458]  Central, and then of course we come back Sundays 4 to 6 p.m.
[00:21:13.219 --> 00:21:16.802]  I came and I said, look at this, Nico, and he said, no, I put that on screen for you when you came in today.
[00:21:17.282 --> 00:21:25.109]  I'd forgotten the time Donald Trump, I guess 10 years ago, the 43rd president of the United States, now, but back in the future.
[00:21:26.553 --> 00:21:31.078]  He body slams the guy and of course there's a mock beat up of him.
[00:21:31.118 --> 00:21:33.160]  So he is a great actor.
[00:21:33.841 --> 00:21:39.206]  But he is going to actually deliver lower taxes and turn the carbon taxes off.
[00:21:39.306 --> 00:21:41.989]  That alone will be a death blow to the globalists.
[00:21:42.049 --> 00:21:43.771]  And he's moving in that direction right now.
[00:21:43.811 --> 00:21:48.156]  But for TV viewers, here it is, Donald Trump slamming down the opposition.
[00:21:50.335 --> 00:21:53.057]  We ought to get this and load this into the computer and actually play it with audio.
[00:21:53.617 --> 00:21:55.458]  Trump doing a mock beat-up.
[00:21:56.218 --> 00:21:57.119]  Oh, it's hilarious.
[00:21:57.519 --> 00:21:59.520]  Just the fact that he'd go out there and do all that.
[00:21:59.560 --> 00:22:00.460]  He's so ridiculous.
[00:22:00.520 --> 00:22:00.880]  I love it.
[00:22:01.801 --> 00:22:04.402]  He's got such an amazing sense of humor.
[00:22:07.649 --> 00:22:09.330]  Hey, will you guys get that with audio, please?
[00:22:09.350 --> 00:22:11.111]  I want to play this for everybody.
[00:22:11.531 --> 00:22:12.412]  There's Vince McMahon.
[00:22:13.232 --> 00:22:15.454]  Oh my gosh, he's going to get his head shaved when Trump beats him.
[00:22:16.334 --> 00:22:17.375]  Those guys are ridiculous.
[00:22:17.955 --> 00:22:19.636]  Okay, let's expand on all this.
[00:22:19.656 --> 00:22:30.122]  I want to play the Dave Chappelle clip in a little while, but first off, we've got to play this clip one more time, and then I'm going to walk through the attacks and what's going to happen.
[00:22:31.363 --> 00:22:33.224]  They're trying to get Prevost in right now.
[00:22:33.984 --> 00:22:35.425]  Steve Bannon was the general.
[00:22:36.923 --> 00:22:39.124]  Ran the attack, the best person in the campaign.
[00:22:39.204 --> 00:22:43.267]  I've talked to people inside the campaign, not just Roger Stone from outside the campaign.
[00:22:44.588 --> 00:22:47.570]  Bannon really kicked ass, the head of Breitbart.com.
[00:22:48.190 --> 00:22:50.752]  So we need Bannon to be the chief of staff.
[00:22:50.772 --> 00:22:51.772]  He's hardcore, folks.
[00:22:52.573 --> 00:22:57.476]  I mean, Bannon, since he took over Breitbart, they run my videos, they run our articles, they love what we do, they get it.
[00:22:57.756 --> 00:22:59.257]  They've gotten more hardcore like us.
[00:22:59.317 --> 00:23:05.041]  They've moved more towards drudge and info wars on the libertarian constitutional side than mainline Republican.
[00:23:06.249 --> 00:23:08.031]  And in some cases have surpassed what I've done.
[00:23:08.131 --> 00:23:09.913]  So I'm very, very excited to see that.
[00:23:11.335 --> 00:23:15.219]  Rince Priebus, the head of the Republican Party, backstabbed Trump a hundred different ways.
[00:23:15.560 --> 00:23:18.944]  When Trump finally defeated him so many times, he kind of backed off at the end.
[00:23:20.759 --> 00:23:29.528]  But all I can tell you is we absolutely need to try to keep as many establishment people out as we can.
[00:23:29.588 --> 00:23:30.850]  Now, here's the deal.
[00:23:31.350 --> 00:23:37.277]  Obviously, Trump knows to really get things done, if someone who's been on the inside will come over to our side.
[00:23:38.937 --> 00:23:44.481]  That's fine, as long as the policies then flow towards the Constitution, the Bill of Rights.
[00:23:44.981 --> 00:23:55.727]  But if you get enough old guard neocons, Democrats, Republican establishment in, then the assassination temp level goes way up because they'll be able to come in and take over very, very quickly.
