[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[00:09:18.806 --> 00:09:22.808]  National dissent or national or ethnic origins will be banned.
[00:09:23.429 --> 00:09:34.716]  Unless you're the London Guardian, Facebook, the New York Times and others coming out saying white people are inherently evil and inherently bad and that there's a new cultural revolution against them.
[00:09:35.540 --> 00:09:49.608]  This is an attempt to sell racism to the third world and to old world countries, flood what's left of the West with those people, and assign racial identity to collectivism, socialism, and authoritarianism.
[00:09:49.988 --> 00:09:51.109]  Then you've conquered the planet.
[00:09:52.429 --> 00:09:57.012]  So this is a force feed operation, just looking at the demographics.
[00:09:59.141 --> 00:10:07.667]  To build, if you live in Africa or Latin America or Asia or the Middle East or Eastern Europe, that the fall of the West is how you get ahead.
[00:10:08.948 --> 00:10:22.979]  When the social engineers on record are doing everything they can to keep those countries in squalor and in total social control as well, with UN vaccine medical forces out there openly injecting people with every bioweapon ever heard of.
[00:10:23.860 --> 00:10:27.983]  It is simply amazing.
[00:10:31.325 --> 00:10:36.347]  So that is just some of what we're going to be breaking down here today, ladies and gentlemen.
[00:10:37.367 --> 00:10:38.087]  It is incredible.
[00:10:39.728 --> 00:10:44.750]  And it's because of the cultural ignorance of the average Westerner.
[00:10:45.731 --> 00:10:46.771]  We have a TV culture.
[00:10:46.791 --> 00:10:56.514]  We have a vapid, centimeter-deep ocean of mindless boobs, on average, who have no conception of how the world even works.
[00:10:57.254 --> 00:11:15.039]  And then, meanwhile, you've got third-world countries being given culture by the multinational combines that control their governments, and that culture is an absolute hatred and vitriol against the West and against anyone with lack of melanin in their skin.
[00:11:17.418 --> 00:11:29.342]  This is colonialism, reformed by Christians, reformed by the West, selling Renaissance worldwide, trying to turn the planet around into a new era of prosperity.
[00:11:29.982 --> 00:11:33.183]  We become the most wealthy and powerful because we have the most freedom.
[00:11:33.723 --> 00:11:38.384]  Then the corrupt systems come take us over and turn us into an engine to take over the planet.
[00:11:38.625 --> 00:11:46.427]  They then flip that back inwardly, take our guilt that the West has, exacerbate it,
[00:11:50.034 --> 00:11:56.479]  And then tell us politically we must be slaves and accept the terms of surrender or we're going to be called racist.
[00:11:57.139 --> 00:12:06.126]  And then when we do surrender, the demonization, the race baiting, the cultural warfare, the class warfare only triples on a yearly basis.
[00:12:08.067 --> 00:12:08.788]  Only gets worse.
[00:12:09.048 --> 00:12:13.752]  So again, the West was first to recognize true human barbarism on average.
[00:12:15.123 --> 00:12:20.366]  And try to reverse it, and try to curtail it, and try to actually create wealth and prosperity for all.
[00:12:21.727 --> 00:12:22.347]  Comparatively.
[00:12:23.308 --> 00:12:25.069]  That's a historical fact, it's incontrovertible.
[00:12:27.130 --> 00:12:38.657]  Now, because of our Christian ethos, we love to beat ourselves with cultural whips, and engage in all these different forms of pittance,
[00:12:39.870 --> 00:12:46.035]  And we want to pay cultural indulgences to the government, to the media, to the culture to prove ourselves worthy.
[00:12:46.075 --> 00:12:46.895]  It's the new religion.
[00:12:47.115 --> 00:12:57.063]  They've replaced repressive forms of state-run Christianity that the Renaissance was all about stopping and promoting true Christian ideals.
[00:12:58.700 --> 00:13:05.321]  And they've just returned us to a new form of tyranny under a new religious basis that is political correctness.
[00:13:05.361 --> 00:13:05.801]  That's what it is.
[00:13:05.861 --> 00:13:12.182]  It's a religion merged with a whole green religion that isn't about saving the earth, but about demonizing humanity itself.
[00:13:16.523 --> 00:13:17.343]  And so here it is.
[00:13:17.443 --> 00:13:18.243]  It's official.
[00:13:18.684 --> 00:13:19.584]  I told you it was coming.
[00:13:20.824 --> 00:13:22.104]  Matt Drudge told you it was coming.
[00:13:24.244 --> 00:13:26.425]  We saw the head of the Federal Elections Commission come out.
[00:13:26.465 --> 00:13:26.805]  We saw
[00:13:30.769 --> 00:13:33.271]  40% of the FCC board vote last year.
[00:13:33.291 --> 00:13:36.733]  It failed, but narrowly.
[00:13:36.753 --> 00:13:45.479]  To come out and restrict the First Amendment heavily.
[00:13:47.220 --> 00:13:51.743]  And to give you an internet ID, basically, where if you get three strikes like YouTube,
[00:13:52.711 --> 00:13:59.303]  You aren't suspended off YouTube, you are suspended off of the internet, and you won't be able to work, or have jobs, or do anything.
[00:13:59.503 --> 00:14:02.729]  But meanwhile, they're gonna expunge the records of felons!
[00:14:03.953 --> 00:14:08.557]  Who go through cultural governmental retraining to be leftist street operatives.
[00:14:09.078 --> 00:14:15.804]  And so they will now have armies of felons working for them, but you won't be able to have a job.
[00:14:16.104 --> 00:14:21.829]  And the TSA, as they said 14 years ago in a congressional meeting on C-SPAN, I've been telling you since it happened.
[00:14:22.090 --> 00:14:23.271]  I played clips when it happened.
[00:14:23.971 --> 00:14:29.837]  They said then the TSA will decide what job you have or if you can have a job with the national ID card.
[00:14:30.882 --> 00:14:32.743]  But that won't be enforced on the illegals.
[00:14:33.323 --> 00:14:35.565]  I mean, this is so massive.
[00:14:35.605 --> 00:14:37.426]  This is so over the top.
[00:14:37.486 --> 00:14:42.549]  This is truly our journey into bondage becoming almost complete.
[00:14:43.569 --> 00:14:44.550]  So here's Bloomberg.
[00:14:45.430 --> 00:14:59.839]  The headline should be tech giants working with multinationals prepare a giant offensive against free speech worldwide as globalism goes into high gear and as the world financial collapse goes into its next phase.
[00:15:01.877 --> 00:15:06.159]  Elites accelerate massive censorship ahead of crackdowns on freedoms worldwide.
[00:15:06.439 --> 00:15:07.340]  That should be the headline.
[00:15:08.200 --> 00:15:13.082]  They're already arresting people in Germany and Sweden and France who mildly criticize the open borders.
[00:15:15.323 --> 00:15:24.768]  But now it's just calmly reported tech giants vow to tackle online hate speech within 24 hours.
[00:15:26.917 --> 00:15:27.137]  U.S.
[00:15:27.157 --> 00:15:30.639]  Internet giants Facebook, Inc., Twitter, Inc., Google, and Microsoft Corp.
[00:15:31.280 --> 00:15:40.725]  pledged to tackle online hate speech in less than 24 hours as part of a joint commitment with the European Union to combat the use of social media by terrorists.
[00:15:40.986 --> 00:15:44.528]  Oh, we've got to take everyone's speech because of the terrorists.
[00:15:46.349 --> 00:15:51.092]  Because of the bad little... Because of the bad little terrorists.
[00:15:51.372 --> 00:15:53.013]  The bad little terrorists are going to get us.
[00:15:55.339 --> 00:16:12.512]  And because they're going to get us with their bombs, because the government brought them in, 5 million of our little loving friends have been brought in, and 80%, according to Interpol, are military-age men.
[00:16:14.246 --> 00:16:25.048]  I got stacks of news of them raping and robbing and killing and highways shut down and total bedlam and ferries shut down and just men running around with knives foaming at the mouth and the police running and cowering in fear.
[00:16:25.088 --> 00:16:26.269]  I mean, this is what Europe is.
[00:16:26.849 --> 00:16:30.310]  This has been done by design by the socialists and they're going to bring it completely down.
[00:16:32.070 --> 00:16:41.412]  And then like they're doing all over the UK, they're going to put Muslims in charge as the police chiefs with socialists under them and they're going to persecute and they're going to arrest and they're going to take over.
[00:16:42.520 --> 00:16:49.765]  And the average Western male is going to roll over on his back and get in a fetal position like a dog when it's scared and start urinating on themselves.
[00:16:49.965 --> 00:16:50.465]  I'm not kidding.
[00:16:50.866 --> 00:16:52.106]  This is what we do.
[00:16:52.507 --> 00:16:53.787]  This is what we've been taught to do.
[00:16:54.088 --> 00:16:55.128]  And we're dead because of it.
[00:16:57.390 --> 00:16:59.771]  But it's all so liberal and trendy.
[00:17:00.972 --> 00:17:01.312]  U.S.
[00:17:01.352 --> 00:17:04.735]  Internet giants Facebook Inc., Twitter Inc., Google and Microsoft Corp.
[00:17:04.775 --> 00:17:09.598]  pledged to tackle online hate speech in less than 24 hours as part of a joint
[00:17:11.058 --> 00:17:16.761]  Commitment with the European Union, with the government, to combat the use of social media by terrorists.
[00:17:17.261 --> 00:17:23.024]  And of course, if you criticize the open borders, they arrest you in Germany and France and other places and let the Muslims run around and do whatever they want.
[00:17:23.284 --> 00:17:26.606]  So see, they bring them in and then use them to take everybody else's freedoms.
[00:17:27.346 --> 00:17:38.312]  Beyond national laws that criminalize hate speech, there is a need to ensure such activity by internet users is expeditiously reviewed by online intermediaries and social media platforms under
[00:17:39.065 --> 00:17:46.832]  Receipt of a valid notification in the appropriate time frame, the companies and the European Commission said in a joint statement today.
[00:17:47.273 --> 00:17:55.300]  And of course what's going to be done with all of this is it's all better tested first in China, now in Europe, now here.
[00:17:55.620 --> 00:17:56.421]  And it's already begun.
[00:17:56.861 --> 00:17:59.344]  By the way, groveling didn't do too well for him.
[00:18:01.991 --> 00:18:05.173]  Normally those that sell out are the ones that have their political heads lopped off first.
[00:18:06.133 --> 00:18:16.580]  Sirius XM announces suspension of Glenn Beck over Brad 4 interview comments where he came out and basically said somebody needs to kill Trump for the second time.
[00:18:21.002 --> 00:18:21.983]  Now let me explain something.
[00:18:22.003 --> 00:18:24.824]  They're just using that, I'm not defending what Beck said as an excuse to get rid of him.
[00:18:25.045 --> 00:18:30.328]  They already got rid of over 300 Libertarian hosts despite the fact that we got them topped
[00:18:31.303 --> 00:18:48.112]  Sign ups and there was another division that years ago put me on and was love what my show was doing great sponsorship great you name it one of the only profitable areas of Sirius XM was that whole libertarian group of channels two of them and they had us on twice a day it was so popular and
[00:18:49.349 --> 00:18:52.791]  Point Blank, Goldman Sachs subsidiary, bought it up.
[00:18:53.671 --> 00:18:55.032]  Clear Channel got pushed out.
[00:18:55.092 --> 00:19:00.334]  I don't work with Clear Channel, but it was a division of some patriots of Clear Channel that put me on like ten years ago.
[00:19:00.654 --> 00:19:04.076]  I was on for about seven years, and they told me, the inside baseball, what happened.
[00:19:04.096 --> 00:19:04.977]  We were removed.
[00:19:05.697 --> 00:19:07.898]  A couple years ago, and they said, it's coming across the board.
[00:19:08.278 --> 00:19:13.060]  And then see Beck, who's out there supporting us getting taken off the air and things, and saying we're dangerous.
[00:19:13.421 --> 00:19:14.461]  See, it's happening to you now.
[00:19:16.957 --> 00:19:25.362]  I mean, they're a private company, they can do what they want, but until he actually got in trouble or got indicted or something, I think this shouldn't have happened.
[00:19:25.563 --> 00:19:29.145]  But regardless, it's only being done now because the climate, they think, is safe.
[00:19:29.485 --> 00:19:32.067]  When they start moving against everybody, it means they're just doing it.
[00:19:32.367 --> 00:19:33.388]  And what did Matt Drudge...
[00:19:34.957 --> 00:19:36.157]  He warned us about last year.
[00:19:36.177 --> 00:19:37.538]  I'm going to play that clip when we come back.
[00:19:37.578 --> 00:19:40.859]  He said these are internet ghettos, which are gulags basically, step one.
[00:19:41.419 --> 00:19:45.540]  And he said, they're coming, I was told by a Supreme Court justice in private.
[00:19:46.040 --> 00:19:47.001]  And folks, I've been told.
[00:19:47.541 --> 00:19:50.081]  Now a lot of folks say, well let's just go along with this and they'll leave us alone.
[00:19:50.161 --> 00:19:51.362]  No, that's how they win.
[00:19:51.382 --> 00:19:53.843]  You've got to exercise free speech now or lose it.
[00:19:54.383 --> 00:19:57.023]  And that means support the local AM and FM affiliates.
[00:19:57.064 --> 00:19:57.504]  We're on.
[00:19:57.824 --> 00:19:59.244]  They are the last line of defense.
[00:19:59.284 --> 00:20:01.505]  You should cherish those affiliates.
[00:20:02.385 --> 00:20:04.068]  You should support them now.
[00:20:04.288 --> 00:20:05.329]  This isn't a game.
[00:20:05.790 --> 00:20:06.291]  Stay with us.
[00:20:06.331 --> 00:20:06.911]  We'll be back.
[00:20:07.052 --> 00:20:08.454]  I'm Alex Jones.
[00:20:09.114 --> 00:20:17.706]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech.
[00:20:18.667 --> 00:20:21.788]  ...enshrined here in our Republic as the First Amendment.
[00:20:22.488 --> 00:20:25.889]  It's the First Amendment to the Bill of Rights because it is the most important.
[00:20:25.909 --> 00:20:34.831]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice your own religion and not having a state-run or authorized system.
[00:20:35.031 --> 00:20:44.254]  We have seen Facebook, Google, Twitter, and other media platforms increasingly censor even mainline libertarian and conservative ideas.
[00:20:44.594 --> 00:20:56.143]  Ladies and gentlemen, Facebook, if it's able to successfully get away with censoring a wide spectrum of ideas that the establishment doesn't agree with, not just conservatives, will set a mega-massive precedent.
[00:20:56.663 --> 00:20:58.044]  Facebook's over a third of the internet.
[00:20:58.345 --> 00:20:58.845]  Speaking about that?
[00:20:59.345 --> 00:21:00.786]  Of the traffic and people visiting things.
[00:21:01.187 --> 00:21:01.807]  And then it's over.
[00:21:02.107 --> 00:21:06.391]  You think it's bad that communist China with a billion, 300 million people is censoring?
[00:21:07.231 --> 00:21:14.493]  Zuckerberg, who calls his users dumb F-ers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[00:21:14.613 --> 00:21:19.515]  He met with Merkel, and openly in a hot mic, said, don't worry, I'm going to start suppressing and censoring people.
[00:21:19.695 --> 00:21:24.137]  They report when someone criticizes open borders to the German government, and they come and arrest you.
[00:21:24.317 --> 00:21:25.117]  This is a global
[00:21:25.797 --> 00:21:26.958]  We're good to go.
[00:21:42.807 --> 00:21:43.167]  I think so.
[00:21:58.602 --> 00:22:04.689]  When you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[00:22:04.829 --> 00:22:06.771]  We stand together or we hang separate.
[00:22:06.951 --> 00:22:11.817]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[00:22:12.257 --> 00:22:20.005]  Getting on as many third-party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[00:22:20.546 --> 00:22:23.807]  But also the experts I've talked to said, Alex, you missed the boat.
[00:22:23.847 --> 00:22:27.128]  You've been a pioneer in many ways, but you haven't promoted email.
[00:22:27.188 --> 00:22:29.509]  And I said, yeah, I don't ever really market on email.
[00:22:29.609 --> 00:22:31.429]  I just, I just, it's low tech.
[00:22:31.609 --> 00:22:32.410]  And they're like, no, no, no.
[00:22:32.450 --> 00:22:33.930]  That's what's going to be hard to censor.
[00:22:34.010 --> 00:22:47.114]  Even if the internet kill switch comes into place, there are systems and there are developments that make it very hard still to stop email and to stop that information being sent over networks, you name it.
[00:22:47.194 --> 00:22:48.595]  So it's essential.
[00:22:49.575 --> 00:23:00.822]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo code sometimes, the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[00:23:01.122 --> 00:23:05.965]  I mean, there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[00:23:06.265 --> 00:23:10.608]  You could send the email and the newsletter on with exclusive videos and articles many days.
[00:23:11.248 --> 00:23:12.209]  So that's another great reason.
[00:23:12.249 --> 00:23:15.851]  But overall, it's so that we have direct contact
[00:23:16.391 --> 00:23:30.355]  With fellow patriots out there around the world, and if they try to start shredding our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos that you can then send on to others.
[00:23:30.375 --> 00:23:38.937]  We've all got to start thinking about the censorship and actively fighting it, getting more active and not taking independent, liberty-based media for granted, which I know you don't do.
[00:23:40.157 --> 00:23:50.300]  But really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[00:23:50.540 --> 00:23:57.942]  So please join hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[00:23:58.282 --> 00:24:07.405]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[00:24:15.669 --> 00:24:16.529]  Never on down.
[00:24:17.370 --> 00:24:18.130]  Having anxiety.
[00:24:18.170 --> 00:24:19.311]  George Stray can share it.
[00:24:22.012 --> 00:24:29.275]  If you leave me... If you leave me, I won't miss you.
[00:24:29.876 --> 00:24:31.036]  I won't ever take you back.
[00:24:31.056 --> 00:24:33.677]  I won't ever take you back.
[00:24:37.179 --> 00:24:41.541]  Girl, your memory won't ever haunt me.
[00:24:41.621 --> 00:24:42.522]  We're in world government.
[00:24:42.762 --> 00:24:43.202]  It's here.
[00:24:43.542 --> 00:24:45.223]  And the water only gets hotter.
[00:24:47.043 --> 00:24:51.586]  From this point on.
[00:24:52.066 --> 00:24:54.108]  Humanity is resisting.
[00:24:54.328 --> 00:24:55.689]  Starting to wake up a little bit.
[00:24:55.709 --> 00:24:59.271]  That's a minority of humanity.
[00:25:00.352 --> 00:25:01.753]  Oh, every race, color and creed.
[00:25:02.653 --> 00:25:03.554]  Red blood in their veins.
[00:25:04.054 --> 00:25:09.978]  Pulsing through their arteries.
[00:25:10.158 --> 00:25:10.899]  At the same time,
[00:25:12.230 --> 00:25:21.956]  A larger contingent of people are either selfish and just don't care or dumber than a box of old rusty hammers.
[00:25:25.658 --> 00:25:27.539]  And that's why they can get away with things like this.
[00:25:27.559 --> 00:25:32.342]  And it's a scary time to be alive.
[00:25:32.362 --> 00:25:35.964]  Open censorship is being announced all over the world.
[00:25:37.264 --> 00:25:39.606]  Persecution of Christians is being intensified.
[00:25:41.257 --> 00:25:43.539]  World government is openly being declared.
[00:25:45.100 --> 00:25:48.263]  The internet kill switch has been put in place in every major Western country.
[00:25:48.624 --> 00:25:49.264]  It's been announced.
[00:25:50.025 --> 00:25:51.206]  Cell phone kill switches.
[00:25:52.927 --> 00:25:57.852]  Backdoor switches where your phone suddenly nationwide can't videotape or can't record.
[00:26:01.035 --> 00:26:01.495]  Digitally.
[00:26:04.438 --> 00:26:06.460]  This is quite an open conspiracy.
[00:26:07.261 --> 00:26:08.962]  The smart boxes are in all the cars.
[00:26:09.442 --> 00:26:12.063]  Made in the last 15 years or so to start taxing us by the mile.
[00:26:12.663 --> 00:26:13.944]  The smart appliances are in.
[00:26:13.984 --> 00:26:18.746]  They admit they're tracking us, controlling our homes, taxing us, regulating us.
[00:26:20.727 --> 00:26:33.773]  It's an organized crime revolution against civilization by the technocrats who openly have met and openly met with world governments and are openly coordinating with the Communist Chinese, the EU, and the US government
[00:26:37.793 --> 00:26:47.918]  To go into the next phase, and that is cashless society, bail-ins, where they grab money out of your bank account, where every action you get charged for, or any type of grassroots economy is outlawed.
[00:26:51.320 --> 00:26:52.501]  This is hardcore.
[00:26:53.041 --> 00:26:53.681]  And they're doing it.
[00:26:53.942 --> 00:27:01.846]  And they hope to just do it and bring it out in the open, and just normalize it like it's no big deal, with headlines like this.
[00:27:03.260 --> 00:27:07.821]  Tech giants vow to tackle online hate speech within 24 hours.
[00:27:07.841 --> 00:27:09.841]  This is all in the TPP.
[00:27:10.501 --> 00:27:20.063]  They say to stop terrorists, but they just say, to stop that, you know, we can't have people out there criticizing Muslims, or anything, because that's what makes them attack.
[00:27:20.103 --> 00:27:29.305]  See, you've got to get rid of your speech, and you've got to accept Islam, and it says words, quote, directed against anyone over issues of race, color, or religion.
[00:27:31.465 --> 00:27:38.148]  So if you say, this London Guardian reporter that is a part African, part Anglo, I guess, gay man.
[00:27:38.769 --> 00:27:41.250]  There, I'm using the proper word, gay, or I'll get kicked off the internet.
[00:27:43.387 --> 00:27:44.868]  You know how it starts with gay.
[00:27:44.948 --> 00:27:45.489]  Sounds reasonable.
[00:27:45.529 --> 00:27:46.830]  Now it's everything else.
[00:27:46.870 --> 00:27:47.871]  Now don't say mother and father.
[00:27:47.891 --> 00:27:51.314]  And he says soon we'll get rid of the evil white people and everything will be fine.
