[00:00:24.070 --> 00:00:27.763]  You're listening to an InfoWars.com Frontline Report.
[00:08:58.340 --> 00:09:00.743]  You know, personally, I would see somebody like...
[00:09:01.778 --> 00:09:02.498]  Martin Luther King
[00:09:19.904 --> 00:09:21.385]  Muhammad Ali is an amazing person.
[00:09:22.186 --> 00:09:35.175]  I just get frustrated with the mainstream media only making sports icons what we are supposed to think of as a man or as a woman and that we can only be great within the confines of sport when the whole world is sport.
[00:09:35.215 --> 00:09:36.717]  The whole world is combat.
[00:09:36.997 --> 00:09:40.019]  The whole world is basically competing systems.
[00:09:40.479 --> 00:09:48.946]  And if we all live in just fantasy land facsimiles of sports that do illustrate the greatness of humanity and the great heights we can go to,
[00:09:50.194 --> 00:09:54.895]  Still, at the same time, it only makes that venue the place in which we expect to be able to be great.
[00:09:55.195 --> 00:10:05.237]  And so it's a limiting factor, and I think, overall, become very, very unhealthy, as it did in the Aztec kingdoms, as it did in the Roman kingdoms, as it did in so many other kingdoms, when it becomes gladiatorial.
[00:10:05.597 --> 00:10:07.098]  And that is exactly what it's become.
[00:10:07.138 --> 00:10:11.319]  But that doesn't lessen the greatness of the greatest, Muhammad Ali.
[00:10:11.779 --> 00:10:17.120]  So, without further ado, with a boxing metaphor, let's get ready to rumble!
[00:10:17.540 --> 00:10:24.185]  And look at some of the headlines up on InfoWars.com, PrisonPlanet.com, and then I'm going to drill back through some of these.
[00:10:24.305 --> 00:10:26.326]  Also, a ton of them are on DrudgeReport.com.
[00:10:26.827 --> 00:10:27.888]  Look at these headlines.
[00:10:29.168 --> 00:10:32.991]  Fed secretly releasing violent criminal aliens en masse.
[00:10:33.672 --> 00:10:35.273]  We, of course, broke that two years ago.
[00:10:35.573 --> 00:10:37.214]  They're completing the smuggling process.
[00:10:37.695 --> 00:10:39.716]  TB exploding across the country.
[00:10:39.796 --> 00:10:41.317]  More record levels in Minnesota.
[00:10:41.618 --> 00:10:41.878]  Another 141.
[00:10:41.938 --> 00:10:42.558]  Not even testing them.
[00:10:45.200 --> 00:10:51.002]  And there it is, secret federal programs, totally illegal, outside of law, nothing being done.
[00:10:51.462 --> 00:10:52.983]  And this is all part of the theme of the show.
[00:10:53.423 --> 00:11:04.207]  Our government allied with foreign governments, allied with foreign groups, bringing them in in an anti-American vitriol with a Supreme Court ruling that they can block you displaying the American flag if someone's hurt by it.
[00:11:04.227 --> 00:11:07.169]  I'm going to be covering that here in just a moment.
[00:11:07.369 --> 00:11:08.169]  But here's the good news.
[00:11:11.584 --> 00:11:17.326]  President-elect encourages and urges citizens with guns to shoot and kill drug dealers.
[00:11:18.166 --> 00:11:21.647]  Anti-establishment movement is favorite as voters pick new mayor in Rome.
[00:11:22.147 --> 00:11:24.788]  Swiss reject basic income for all.
[00:11:25.228 --> 00:11:28.649]  Far-right implot to hijack the British exit out of the Euro.
[00:11:29.329 --> 00:11:29.649]  Boom!
[00:11:29.689 --> 00:11:31.490]  You see people all over are resisting.
[00:11:32.310 --> 00:11:34.971]  The Nationalists were going to win in Austria by 10 points.
[00:11:34.991 --> 00:11:35.831]  They stole that election.
[00:11:36.966 --> 00:11:42.210]  This is a globalist attempt to take over, but people are resisting it and standing up.
[00:11:43.091 --> 00:11:46.673]  Continuing now, getting into the other news.
[00:11:46.693 --> 00:11:50.256]  This is up on DrudgeReport.com, a Drudge exclusive.
[00:11:50.376 --> 00:11:53.359]  I've had it mirrored up on Infowars.com for posterity.
[00:11:54.139 --> 00:11:58.124]  Secret Service agent book rocks Clinton campaign.
[00:11:58.584 --> 00:12:00.887]  We've had other Secret Service agents speak out.
[00:12:00.927 --> 00:12:03.069]  We've had a famous FBI agent speak out.
[00:12:03.369 --> 00:12:07.374]  They saw the cracked pipes, the weird communist paraphernalia on the Christmas trees.
[00:12:08.015 --> 00:12:10.557]  And then years later they admitted they did it and said it was a joke.
[00:12:11.417 --> 00:12:16.902]  Just like we have all these other leftist groups promoting communism and authoritarianism and radical Islam.
[00:12:17.383 --> 00:12:22.287]  Anything that's antithetical to the Renaissance and the West, they're demonizing, they're attacking.
[00:12:23.108 --> 00:12:29.434]  Now this new book shot up to number one on Amazon, that means it'll probably be number one on the New York Times, The Secret Project.
[00:12:30.094 --> 00:12:33.978]  Is causing deep concern inside of Clinton's campaign sources tell Drudge Report.
[00:12:34.358 --> 00:12:38.883]  Specifically tells that the agents confessional are being held under tight embargo.
[00:12:39.263 --> 00:12:42.126]  What I saw in the 90s sickened me, Byrne explains.
[00:12:42.346 --> 00:12:44.609]  I want you to hear my story.
[00:12:45.859 --> 00:12:46.279]  We know.
[00:12:46.420 --> 00:12:51.264]  It's her screaming at people, being evil, communist Chinese generals inside the White House.
[00:12:51.344 --> 00:13:10.900]  I mean, we all know what the Clintons did, but this is going to be another witness, another fly on the wall for the things that went on with these criminals that, again, are selling us out to foreign and multinational interests, ganging up on America with the Pope and the communist Chinese leaders and the Mexican president and everybody else under the sun, the Saudis, to tell us who and
[00:13:11.861 --> 00:13:14.563]  When we can elect somebody El Presidente.
[00:13:15.064 --> 00:13:30.055]  Now coming up next segment I'm going to hear a very important report that John Bowne filed that dovetails into the exclusive Roger Stone interview that's coming up on this judge that keeps engaging in bizarre rulings against Donald Trump.
[00:13:31.022 --> 00:13:40.550]  In New York, this federal judge appointed by Obama is a Mexican supremacist, the evidence shows, and is a high-level member of La Raza, which means the race.
[00:13:40.971 --> 00:13:46.856]  So when Trump says, look the guy is into his heritage, he's a Mexican, he means Mexican national.
[00:13:48.001 --> 00:13:52.144]  He means someone dedicated to Mexico as a culture.
[00:13:53.785 --> 00:13:56.527]  Just like you might be a spy for Russia or China.
[00:13:56.887 --> 00:14:06.914]  This is open espionage with the globalists merging us with a bunch of people beating women over the heads with Mexican flags and then the mayor of San Jose says it's basically a good thing.
[00:14:07.474 --> 00:14:08.675]  We have all the footage of this.
[00:14:08.715 --> 00:14:09.555]  This is going on.
[00:14:09.856 --> 00:14:11.016]  This is happening and it's so
[00:14:11.997 --> 00:14:20.580]  Incredibly over the top so that report is coming up here in the next segment But it ties together with these headlines criminal immigrants
[00:14:22.498 --> 00:14:26.342]  Re-offended at higher rates than ICE has suggested and are being secretly released.
[00:14:26.382 --> 00:14:27.884]  That's the Boston Globe.
[00:14:28.004 --> 00:14:28.324]  OK?
[00:14:28.785 --> 00:14:29.025]  Boom.
[00:14:29.045 --> 00:14:29.806]  Let's go to the next story.
[00:14:29.846 --> 00:14:30.406]  That's today.
[00:14:31.247 --> 00:14:31.808]  Here's another one.
[00:14:32.168 --> 00:14:34.570]  Only 6% trust media, but it should be less.
[00:14:34.651 --> 00:14:36.853]  Again, that's Investors Business Daily AP poll.
[00:14:36.893 --> 00:14:43.920]  I mention that every day in the last two months because it shows this is a group that has no one's confidence and they're just trying to con game everybody now.
[00:14:43.940 --> 00:14:44.020]  OK?
[00:14:45.123 --> 00:14:45.923]  No one's buying the lies.
[00:14:46.803 --> 00:14:47.604]  Here's another report.
[00:14:47.724 --> 00:14:52.065]  Trump, Hillary Clinton should be in jail for what she did with her emails.
[00:14:52.285 --> 00:14:54.245]  He's saying it again, calling her out.
[00:14:54.465 --> 00:14:57.826]  This is the only thing that can counter these liars, is getting very, very aggressive.
[00:14:58.086 --> 00:14:58.526]  Here it is.
[00:14:59.927 --> 00:15:02.507]  ...California because I think Hillary is very weak.
[00:15:02.567 --> 00:15:03.707]  I think she's pathetic.
[00:15:04.087 --> 00:15:07.588]  I think she should be in jail for what she did with her emails.
[00:15:08.068 --> 00:15:08.469]  Okay?
[00:15:08.889 --> 00:15:10.069]  She should be in jail.
[00:15:11.363 --> 00:15:13.684]  Those videos are up on Infowars.com.
[00:15:13.704 --> 00:15:16.125]  So that's why they're coming after Trump, and this is a test.
[00:15:16.205 --> 00:15:30.669]  Can the mainstream whore media suppress common sense and actually turn us into complete slaves, all Balkanized based on race and religion, with the very people pushing the Balkanization posing as the referees?
[00:15:31.189 --> 00:15:32.850]  Now, since I've mentioned it, here it is.
[00:15:32.870 --> 00:15:35.711]  Remember this ruling a few months ago and another one last year?
[00:15:36.631 --> 00:15:36.811]  L.A.
[00:15:36.831 --> 00:15:38.513]  Times, ruling on U.S.
[00:15:38.553 --> 00:15:46.319]  flag raises questions about students' free speech rights all over the country, from Texas to California, saying you can't wear American flags, period.
[00:15:46.599 --> 00:15:55.046]  Not just on Cinco de Mayo now, because it makes the Mexicans mad because they see it like a bull sees a red cape as an absolute enemy.
[00:15:55.566 --> 00:15:59.771]  So we're taught to be open, give up our sovereignty, do all of this, but this is happening.
[00:15:59.971 --> 00:16:04.416]  When we come back, I'm going to tie that in with all the rest of the censorship currently happening.
[00:16:04.697 --> 00:16:06.599]  I'm Alex Jones, InfoWars.com.
[00:16:06.619 --> 00:16:07.120]  Stay with us.
[00:16:10.143 --> 00:16:22.809]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[00:16:23.530 --> 00:16:26.931]  It's the First Amendment to the Bill of Rights because it is the most important.
[00:16:26.951 --> 00:16:31.694]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to...
[00:16:31.974 --> 00:16:35.916]  Practice your own religion and not having a state-run or authorized system.
[00:16:36.076 --> 00:16:45.360]  We have seen Facebook, Google, Twitter, and other media platforms increasingly censor even mainline libertarian and conservative ideas.
[00:16:45.640 --> 00:16:57.185]  Ladies and gentlemen, Facebook, if it's able to successfully get away with censoring a wide spectrum of ideas that the establishment doesn't agree with, not just conservatives, will set a mega-massive precedent.
[00:16:57.705 --> 00:16:59.186]  Facebook's over a third of the internet.
[00:16:59.246 --> 00:16:59.866]  Just think about that.
[00:17:00.367 --> 00:17:01.828]  Of the traffic and people visiting things.
[00:17:02.228 --> 00:17:02.848]  And then it's over.
[00:17:03.148 --> 00:17:07.451]  You think it's bad that communist China with a billion, 300 million people is censoring?
[00:17:08.292 --> 00:17:15.556]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[00:17:15.656 --> 00:17:16.537]  He met with Merkel.
[00:17:16.917 --> 00:17:20.579]  And openly in a hot mic said, don't worry, I'm going to start suppressing and censoring people.
[00:17:20.739 --> 00:17:25.180]  They report when someone criticizes open borders to the German government and they come and arrest you.
[00:17:25.360 --> 00:17:29.342]  This is a global phenomenon that's taking place right now.
[00:17:29.542 --> 00:17:33.624]  They're passing laws in Canada to arrest people that criticize transgender.
[00:17:33.764 --> 00:17:34.964]  Well, that's your free speech.
[00:17:35.284 --> 00:17:37.725]  It's not hate propaganda as they call it.
[00:17:38.026 --> 00:17:43.668]  If they set the precedent on these issues, they will basically ban any other type of speech that the global
[00:17:44.128 --> 00:17:46.829]  This is the ultimate threat to humanity.
[00:17:47.230 --> 00:17:49.391]  This is worse than what we saw in the Soviet Union.
[00:17:49.811 --> 00:17:53.573]  This is right out of Nazi Germany or right out of Maoist China.
[00:17:53.993 --> 00:17:55.354]  So we're fighting for free speech.
[00:17:55.674 --> 00:18:05.739]  When you spread the word about Infowars.com, our videos, our stories, our reports, and when you post it on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[00:18:05.879 --> 00:18:07.800]  We stand together or we hang separate.
[00:18:08.000 --> 00:18:12.863]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[00:18:13.303 --> 00:18:21.108]  Getting on as many third-party systems as there are out there is spreading the word of basic free market liberty and human empowerment and the new renaissance.
[00:18:21.609 --> 00:18:24.871]  But also, the experts I've talked to said, Alex, you missed the boat.
[00:18:24.891 --> 00:18:28.393]  You've been a pioneer in many ways, but you haven't promoted email.
[00:18:28.513 --> 00:18:30.575]  And I said, yeah, I don't ever really market on email.
[00:18:30.675 --> 00:18:32.496]  I just, it's low tech.
[00:18:32.656 --> 00:18:33.457]  And they're like, no, no, no.
[00:18:33.517 --> 00:18:37.199]  That's what's going to be hard to censor, even if the internet kill switch comes into place.
[00:18:37.360 --> 00:18:41.682]  There are systems and there are developments that make it very hard still
[00:18:42.643 --> 00:18:48.177]  To stop email and to stop that information being sent over networks, you name it.
[00:18:48.237 --> 00:18:49.660]  So it's essential.
[00:18:50.626 --> 00:19:01.869]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo codes, sometimes the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[00:19:02.169 --> 00:19:07.010]  I mean, there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[00:19:07.310 --> 00:19:11.651]  You can send the email and the newsletter on with exclusive videos and articles many days.
[00:19:12.291 --> 00:19:13.251]  So that's another great reason.
[00:19:13.291 --> 00:19:16.892]  But overall, it's so that we have direct contact
[00:19:17.452 --> 00:19:31.417]  With fellow patriots out there around the world, and if they try to start shredding our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos that you can then send on to others.
[00:19:31.437 --> 00:19:39.981]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent, liberty-based media for granted, which I know you don't do.
[00:19:41.201 --> 00:19:51.343]  But really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[00:19:51.603 --> 00:19:58.984]  So please join hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[00:19:59.324 --> 00:20:08.446]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[00:20:13.675 --> 00:20:19.759]  You're listening to the Alex Jones Show.
[00:20:24.803 --> 00:20:26.324]  We are on the march.
[00:20:26.684 --> 00:20:29.106]  The Empire is on the run.
[00:20:29.827 --> 00:20:33.549]  Alex Jones and the GCN Radio Network.
[00:20:36.505 --> 00:20:37.466]  And we are back again.
[00:20:37.486 --> 00:20:38.366]  I'm Alex Jones, your host.
[00:20:38.406 --> 00:20:39.306]  Thank you for joining us.
[00:20:40.107 --> 00:20:53.353]  Coming up in the next segment, we're going to be breaking down this whole fake controversy about Donald Trump being a racist, pointing out that this judge that keeps ruling against him is a Mexican supremacist slash nationalist.
[00:20:53.593 --> 00:20:58.116]  Well, we're going to look at the evidence of that here in just a moment in a John Bowne report.
[00:20:58.156 --> 00:21:00.957]  But first, going back to the attack on free speech in schools.
[00:21:01.417 --> 00:21:04.659]  Eight years ago, when this first started happening, I would cover local news stories.
[00:21:05.219 --> 00:21:13.545]  Where children and high school students, most of the time Hispanic, were being kicked out of school because they would wear an American flag on their shirt or an American flag on their hat.
[00:21:14.126 --> 00:21:15.447]  Not just on Cinco de Mayo.
[00:21:16.407 --> 00:21:22.552]  And now they admit it and the Supreme Court has said, yeah, you can do that because it's basically seen as gang paraphernalia or whatever.
[00:21:23.112 --> 00:21:23.853]  So remember that.
[00:21:23.933 --> 00:21:30.458]  Now separately, our reporters, Michael Zimmerman and Joe Biggs, have been out on the West Coast for a week documenting everywhere.
[00:21:31.618 --> 00:21:41.884]  That San Jose, you name it, the police let mobs of illegals and others, waving Mexican flags, beat women up, you name it, and now the police have confirmed what we witnessed and videotaped.
[00:21:42.164 --> 00:21:43.404]  And our listeners videotaped.
[00:21:43.664 --> 00:21:46.386]  You can see our listeners' own videos on InfoWars.com right now.
[00:21:47.628 --> 00:21:51.551]  That the police in a tweet have admitted they did it to not incite further violence.
[00:21:51.691 --> 00:21:55.294]  Let people be attacked so that it won't incite more violence.
[00:21:55.354 --> 00:22:04.280]  No, that encourages people to engage in violence and they're trying to let people engage in violence to intimidate Trump supporters or people for the First Amendment to come out, period.
[00:22:04.500 --> 00:22:09.544]  This is one of the most dangerous precedents I've ever seen and truly is like the brown shirts of Nazi Germany.
[00:22:10.024 --> 00:22:11.986]  See the videos at InfoWars.com right now.
[00:22:12.446 --> 00:22:21.631]  And then next, New York Times finds Trump threatening the First Amendment, yet downplays anti-Trump free speech denial in San Jose.
[00:22:22.051 --> 00:22:24.573]  As others, like the mayor, say, folks got what they deserved.
[00:22:24.893 --> 00:22:26.054]  So it's a mixed bag.
[00:22:26.414 --> 00:22:33.958]  Meanwhile, Don Salazar from fullwars.com reports school bars nine-year-old from wearing Make America Great Again hat.
[00:22:34.218 --> 00:22:36.659]  Go see the local newscasts for yourself.
[00:22:36.719 --> 00:22:38.780]  You cannot make this stuff up.
[00:22:38.921 --> 00:22:45.364]  And then, meanwhile, school calls sheriff on seven-year-old for sharing Bible verses, saying separation of church and state.
[00:22:45.764 --> 00:22:51.928]  You're allowed to talk about whatever you want, whether it's Pokémon or Godzilla or the Bible or whatever.
[00:22:52.348 --> 00:22:57.431]  It's the school can't directly force a religion, but this is how they're destroying free speech everywhere.
[00:22:57.691 --> 00:22:59.412]  And I have stacks of more articles.
[00:22:59.832 --> 00:23:01.653]  And, of course, this is happening in California.
[00:23:02.133 --> 00:23:04.495]  But see, you can shut down Trump people.
[00:23:04.715 --> 00:23:06.116]  You can shut down everybody, folks.
[00:23:06.156 --> 00:23:08.298]  They're coming after free speech.
[00:23:08.338 --> 00:23:09.739]  They're coming after internet freedom.
[00:23:09.999 --> 00:23:12.401]  They're coming after everything in our face.
[00:23:13.141 --> 00:23:15.783]  And it is totally and completely sickening.
[00:23:16.183 --> 00:23:21.728]  Everyone needs to go to Infowars.com, scroll halfway down the page, and click on the video.
[00:23:21.788 --> 00:23:28.633]  La Raza, the hidden hand of hate, supremacy group, continues to infect American policies, and this judge
[00:23:29.173 --> 00:23:36.335]  That Trump's exposing is high level in this organization and wants illegals to be legalized.
[00:23:36.635 --> 00:23:40.196]  This is an act of sedition against our republic, allied with the globalists.
[00:23:40.476 --> 00:23:54.719]  That after we play this report, we're going to come back with Roger Stone and drill into who this judge is to understand how this is part of a multinational global ganging up on America and our system to implode it, finally get our guns and bring in the world government.
[00:23:54.899 --> 00:23:55.379]  Stay with us.
[00:23:56.826 --> 00:24:01.850]  Most people are aware that the Ku Klux Klan is a white power organization.
[00:24:02.211 --> 00:24:07.375]  Some are even aware of the fact that the KKK was created by the Democratic Party.
[00:24:07.695 --> 00:24:12.019]  Even fewer are aware of the Klan's foothold in Washington, D.C.
[00:24:12.339 --> 00:24:15.141]  Some people are aware of the new Black Panther Party.
[00:24:15.322 --> 00:24:17.383]  But are they aware of its true purpose?
[00:24:17.764 --> 00:24:23.749]  And most people don't bat an eye when they hear the respectful allowance of La Raza to enter the U.S.
[00:24:23.909 --> 00:24:25.050]  political landscape.
[00:24:25.270 --> 00:24:26.931]  But most people have no idea what La Raza really is or where it came from.
[00:24:26.951 --> 00:24:32.074]  Recently, an exhibit at the Bob Bullock Museum in Austin, Texas glorified the explosive event that took place in the small Texas town of San Diego in 1915.
[00:24:49.065 --> 00:24:58.193]  When a Spanish document appeared calling for Chicanos, African Americans, Native Americans, and Japanese immigrants to start a race war at 2 a.m.
[00:24:58.553 --> 00:25:00.655]  on February the 20th, 1915.
[00:25:01.055 --> 00:25:13.706]  The document also called for the execution of all adult white males over the age of 16 and the recapturing of Texas, New Mexico, Arizona, California, and Colorado from the United States government.
