[00:00:10.407 --> 00:00:11.214]  Silent Railway Chevy.
[00:10:53.613 --> 00:10:55.234]  She's going to use executive orders to take your guns.
[00:10:56.324 --> 00:11:07.678]  UNIDIR, the United Nations Small Arms Disarmament Body, has been asking presidents for 20 years to use executive orders to sign on to treaties outside of Congress and ban basically all firearms.
[00:11:07.978 --> 00:11:13.265]  So when I tell you she wants to take them with the executive order, I know because I already know the blueprint.
[00:11:13.926 --> 00:11:15.588]  That's what I keep trying to explain to everybody.
[00:11:19.086 --> 00:11:20.627]  95% of what we cover is on record.
[00:11:20.787 --> 00:11:22.708]  Like, they misrepresent 9-11 truth.
[00:11:22.748 --> 00:11:35.575]  They say, and I'm the founder of it, questioned it before 9-11, questioned it on the day of 9-11, I said it's being used to take your freedoms by criminals of the government, working with radical Islam, Saudi Arabia, to launch attacks on non-Wahhabi countries like Iraq and take it over.
[00:11:36.195 --> 00:11:37.156]  They carry out 9-11.
[00:11:37.476 --> 00:11:39.697]  Our media and our government blames the wrong country.
[00:11:40.057 --> 00:11:41.598]  We go in and take over Iraq.
[00:11:42.019 --> 00:11:42.659]  They're our Chinamee.
[00:11:43.039 --> 00:11:49.923]  Now, they turned that into the talking point from Popular Mechanics that I believe firefighters blew up the World Trade Center.
[00:11:50.424 --> 00:11:51.084]  They actually say that.
[00:11:51.484 --> 00:11:51.885]  Never said it.
[00:11:53.125 --> 00:11:56.908]  It was the firefighters that came out and exposed that there were bombs in the buildings.
[00:11:57.548 --> 00:11:59.349]  Now, do we know exactly who did all this?
[00:11:59.529 --> 00:11:59.710]  No.
[00:12:00.390 --> 00:12:03.372]  All I'm telling you is the official story you're getting isn't true.
[00:12:04.707 --> 00:12:13.974]  And by the way, there isn't a special forces soldier, there isn't a demolitions person, there isn't a architect or engineer I talked to that doesn't concur with that.
[00:12:14.455 --> 00:12:27.505]  And I've interviewed the police, two different police officers on air, including a deputy fire chief, that's another person, Leanne McAdoo did, it's got like 5 million views on YouTube, when they told them, there's a countdown, we're going to blow up building 7.
[00:12:28.846 --> 00:12:29.867]  We heard the countdown.
[00:12:29.887 --> 00:12:32.670]  And it was coming from the Red Cross.
[00:12:32.690 --> 00:12:34.071]  Do you know who the Red Cross is, folks?
[00:12:35.011 --> 00:12:37.892]  You know who could go behind enemy lines even 500 years ago out of Switzerland?
[00:12:38.933 --> 00:12:39.533]  The Red Cross.
[00:12:39.653 --> 00:12:41.374]  And I'm not bashing you if you were in the Red Cross.
[00:12:41.594 --> 00:12:43.315]  It has a lot of good things it does.
[00:12:43.855 --> 00:12:47.216]  But it is the main global intelligence agency front.
[00:12:47.857 --> 00:12:50.698]  So, you want to put this in your ad, Hillary?
[00:12:51.058 --> 00:12:53.479]  The Red Cross ran the countdown to blow up Building 7.
[00:12:55.180 --> 00:12:57.021]  No one would suspect the Red Cross, would they?
[00:12:59.508 --> 00:13:04.251]  So when I say Red Cross, I mean intelligence operatives there with the countdown.
[00:13:04.671 --> 00:13:07.693]  And then I have the news saying Building 7 has fallen.
[00:13:07.733 --> 00:13:08.674]  Building 7 has fallen.
[00:13:09.834 --> 00:13:16.299]  An hour before it fell, CNN and Aaron Brown's turning around and hadn't fallen, fell on its own footprint symmetrically from fires.
[00:13:17.332 --> 00:13:24.176]  And then 25 minutes later, BBC World, BBC, BBC announced, Building 7, the Solomon Brothers building has fallen.
[00:13:24.536 --> 00:13:25.977]  And Jane Graham turns around, has it fallen?
[00:13:25.997 --> 00:13:30.100]  And later they admitted they were given that feed from Reuters that it had fallen.
[00:13:31.301 --> 00:13:32.481]  They had jumped the gun.
[00:13:33.482 --> 00:13:34.743]  That was the CIA base.
[00:13:34.783 --> 00:13:40.326]  Do you know the CIA's main East Coast base outside of Arlington, Virginia?
[00:13:40.766 --> 00:13:42.688]  Do you know where it's based?
[00:13:43.108 --> 00:13:43.548]  Building 7.
[00:13:44.749 --> 00:13:46.430]  They had at least 10 floors of it.
[00:13:48.547 --> 00:13:49.007]  Look it up!
[00:13:50.127 --> 00:13:50.608]  Look it up!
[00:13:51.948 --> 00:13:53.208]  Now, I'm gonna stop right there.
[00:13:53.228 --> 00:13:54.409]  I could go on for ten hours.
[00:13:54.469 --> 00:13:55.829]  I've made six films on the subject.
[00:13:56.009 --> 00:13:57.129]  I've written a book on the subject.
[00:13:57.789 --> 00:13:59.010]  It needs to be exposed.
[00:13:59.050 --> 00:13:59.950]  It needs to be investigated.
[00:14:01.490 --> 00:14:04.491]  Just like our government's funding radical Islam today, it's the very same program.
[00:14:04.511 --> 00:14:05.491]  Radical Islam is real.
[00:14:05.792 --> 00:14:06.872]  It's being brought in to attack us.
[00:14:06.932 --> 00:14:07.732]  We need to deal with it.
[00:14:08.432 --> 00:14:09.433]  Our borders are wide open.
[00:14:09.693 --> 00:14:10.793]  That's the false flag.
[00:14:11.093 --> 00:14:12.193]  The jihadis are real.
[00:14:12.453 --> 00:14:13.514]  The false flag's bringing them in.
[00:14:16.223 --> 00:14:28.908]  Before I go any further, we've been vindicated by all the twenty-something pages coming out in Congress, the 28 pages, the fact that Saudi Arabia was there, and there was an order to stand down and not investigate them, and the FBI agents at the time went public.
[00:14:28.928 --> 00:14:36.010]  They were ordered to stand down in Texas, and in Arizona, and in Florida, and in Minnesota, and in Oklahoma.
[00:14:36.110 --> 00:14:37.011]  I interviewed some of them.
[00:14:37.907 --> 00:14:42.310]  I interviewed the translators, like Sybil Edmonds, who heard it all, the chatter going on.
[00:14:43.011 --> 00:14:46.013]  They were ordered to stand down and the hijackers were able to carry out their attack.
[00:14:46.273 --> 00:14:50.537]  Now once they got on board, the only real air phone calls that came from stewardesses was there was gas.
[00:14:50.557 --> 00:14:51.777]  They were gassed on the planes.
[00:14:52.238 --> 00:14:56.261]  I don't know what happened, but I know the official story is a lie.
[00:14:57.677 --> 00:15:01.179]  Now, they're going to misrepresent and say, oh my God, Trump supports his 9-11 treasor.
[00:15:01.439 --> 00:15:02.339]  Trump is ready for that.
[00:15:02.439 --> 00:15:03.560]  Trump knows about 9-11.
[00:15:03.820 --> 00:15:04.880]  He brought up Jeb Bush.
[00:15:04.901 --> 00:15:06.701]  He brought up they were running security in the World Trade Center.
[00:15:07.022 --> 00:15:08.262]  He brought up the Saudi connection.
[00:15:08.562 --> 00:15:10.543]  He brought up the Carlisle group meeting with Bush Sr.
[00:15:11.444 --> 00:15:12.164]  in D.C.
[00:15:12.204 --> 00:15:18.007]  the morning of 9-11 at the same table with them at the Carlisle weapons quarterly meeting.
[00:15:21.141 --> 00:15:23.183]  And that's when you notice Jeb dropped out real fast.
[00:15:23.423 --> 00:15:26.767]  So you want to throw Trump in the briar patch, go ahead.
[00:15:26.787 --> 00:15:27.808]  That's exactly where he wants to go.
[00:15:28.088 --> 00:15:29.690]  You people are walking into our trap again.
[00:15:30.911 --> 00:15:31.392]  Thank you.
[00:15:31.792 --> 00:15:32.373]  Great job.
[00:15:32.793 --> 00:15:33.814]  Now, let me give you the info.
[00:15:33.834 --> 00:15:38.439]  I don't want to go to these phone calls or give the number out, take phone calls, go to all these video clips I've got.
[00:15:39.160 --> 00:15:40.221]  Here's what we've got today to cover.
[00:15:42.486 --> 00:15:51.711]  We have more and more of the nine Trump sexual assault accusers, it turns out, inviting him to functions just a few months ago, or a year ago, or two years ago.
[00:15:53.332 --> 00:15:54.933]  Many years after they claim he did this.
[00:15:54.973 --> 00:15:57.074]  Say, please come to my restaurant.
[00:15:58.255 --> 00:15:59.876]  Please come to our event.
[00:16:01.977 --> 00:16:06.520]  Sending emails to him, and when he doesn't, then all this stuff comes up.
[00:16:06.580 --> 00:16:08.001]  Reality show contestants.
[00:16:09.022 --> 00:16:09.943]  From a decade ago?
[00:16:10.703 --> 00:16:16.508]  And they're saying just a few months ago, please come to our restaurant when you're in town, and then Trump couldn't come to their restaurant when he's in town.
[00:16:16.808 --> 00:16:23.093]  So now he grabbed her on an airplane, and Gloria Allred, she's gonna save us, and the lady's crying.
[00:16:23.113 --> 00:16:24.454]  It was so horrible.
[00:16:24.474 --> 00:16:30.598]  And then now all these witnesses are coming out, and the brothers and the cousins and the sisters are saying none of that happened.
[00:16:31.859 --> 00:16:36.183]  And woman after woman we're hearing had a crush on Donald Trump from their families!
[00:16:37.284 --> 00:16:39.365]  And then they tell Trump, go into your emails!
[00:16:39.745 --> 00:16:42.125]  And then Trump's staff goes in, and there they are!
[00:16:45.606 --> 00:16:46.487]  And the letters!
[00:16:48.167 --> 00:16:58.630]  Now, six of the nine women, it turns out, were begging Trump for TV jobs, or begging Trump to take them out to dinner, or begging Trump to come to the restaurant, or begging, begging, begging.
[00:16:58.890 --> 00:17:00.371]  We have this from their families!
[00:17:02.472 --> 00:17:05.453]  And that's why I've got to give credit here, and I just continually notice this.
[00:17:05.774 --> 00:17:22.202]  I see some bad stuff from them, but overall, if you talk about mainstream old newspaper chain, that actually is really classical liberal, and actually tells the truth, other than say something like a Drudge or an Infowars or a Breitbart, McClatchy.
[00:17:23.291 --> 00:17:26.013]  McClatchy just continues to tell the truth.
[00:17:26.033 --> 00:17:29.476]  They've got articles out about real election fraud going on against Trump.
[00:17:29.516 --> 00:17:34.141]  They've got articles, there are way too many coincidences in assaults on Trump.
[00:17:35.241 --> 00:17:36.723]  And they go through this huge article.
[00:17:37.283 --> 00:17:41.067]  This is Andrew Malcolm special to McClatchy.
[00:17:42.408 --> 00:17:46.691]  And the investigative journalist breaks down how it's synthetic, manufactured, ABC, NBC.
[00:17:48.174 --> 00:17:55.715]  While they're attacking Trump, they're the ones calling thousands of women, data mining thousands of women that were on TV shows.
[00:17:56.036 --> 00:17:58.676]  They're getting the info from NBC, his former employer.
[00:17:59.596 --> 00:18:01.277]  They're going through all the pageants.
[00:18:01.637 --> 00:18:03.577]  They are calling thousands of women.
[00:18:04.337 --> 00:18:11.639]  And they've come up with nine who the evidence is pointing towards want to be stars, want to get attention, want to be back in the news.
[00:18:11.919 --> 00:18:13.319]  And the problem is,
[00:18:14.341 --> 00:18:31.258]  When it comes out that just a few months ago, or another case a year ago, or two years ago, they're asking Trump out on a date, they're asking Trump to come to the restaurant, they're asking Trump to give them a TV show again, and then magically, when Trump doesn't respond, they get scorned, they get mad, they get angry.
[00:18:33.188 --> 00:18:36.392]  And this article, I'm going to post the whole thing to Infowars.com, it's that important.
[00:18:36.492 --> 00:18:38.875]  There are way too many coincidences and assaults on Trump.
[00:18:39.455 --> 00:18:43.260]  And you just need to read this for yourself, because it just goes through how the whole thing is scripted.
[00:18:43.900 --> 00:18:51.690]  You can see the scripting, how this is all coming out, obviously, with 20-something days out, 21 days now, so they can't respond.
[00:18:53.109 --> 00:18:55.651]  All being done by design.
[00:18:55.891 --> 00:19:03.735]  Meanwhile, Republican headquarters gets firebombed, CNN and others say they deserve it, because they raise the rhetoric and the tone, oh Trump's so horrible.
[00:19:04.215 --> 00:19:13.961]  I'll hear them on NPR call him a racist, a bigot, a sexual assaulter, and then say we can't believe the Republicans have such mean rhetoric, but say the media is against him and it's going to be rigged.
[00:19:14.201 --> 00:19:15.502]  Boy, he's dangerous and crazy.
[00:19:17.674 --> 00:19:18.434]  But here are the articles.
[00:19:18.814 --> 00:19:22.736]  Trump sexual assault accuser sent glowing email to his assistant in April.
[00:19:24.477 --> 00:19:39.963]  Summer Zervos, former Apprentice star, oh how horrible, he had her on a big hit TV show, who alleges she was sexually assaulted by Donald Trump, sent an email to Trump's assistant in April, praising the GOP candidate and asking him to come to their restaurant when he was in town.
[00:19:39.983 --> 00:19:41.383]  I'm going to skip the break, sorry.
[00:19:41.403 --> 00:19:42.364]  It's too important.
[00:19:43.304 --> 00:19:45.405]  So, we have all this going on.
[00:19:46.519 --> 00:19:47.300]  And it goes on and on.
[00:19:47.360 --> 00:19:50.282]  Woman, after woman, after woman, after woman.
[00:19:50.302 --> 00:19:51.363]  We've got the email on screen.
[00:19:52.564 --> 00:19:55.447]  I'm certain you are a very busy woman.
[00:19:55.527 --> 00:20:05.236]  I am in a unique situation being that I am the only former apprentice who operates a business where Mr. Trump supporters can walk in, express their admiration for him, and inquire about my experience.
[00:20:05.256 --> 00:20:07.298]  Oh, they could find out how great you are, huh?
[00:20:07.898 --> 00:20:10.500]  Mr. Trump has a great deal of support, including
[00:20:11.221 --> 00:20:12.602]  Huntington Beach, California.
[00:20:12.822 --> 00:20:19.328]  He has witnessed both my highs and lows operating a small business and I am pleased to report that my business is good.
[00:20:19.728 --> 00:20:22.531]  Sonny's Restaurant has a long history of making people feel special.
[00:20:22.991 --> 00:20:26.835]  We hire a diverse crew and embrace anyone who is honest while working hard.
[00:20:27.035 --> 00:20:29.917]  How dare him give her all that attention for her restaurant years ago.
[00:20:29.957 --> 00:20:30.818]  He's such a bad man.
[00:20:31.218 --> 00:20:33.180]  Mr. Trump is cut from the same cloth.
[00:20:33.460 --> 00:20:33.520]  Oh!
[00:20:34.554 --> 00:20:38.617]  We hire a diverse crew and embrace anyone with an honest while working hard.
[00:20:39.058 --> 00:20:40.319]  Oh, honest and working hard.
[00:20:40.399 --> 00:20:42.040]  Mr. Trump is cut from the same cloth.
[00:20:42.320 --> 00:20:43.501]  He's honest and works hard.
[00:20:43.822 --> 00:20:47.745]  I would greatly appreciate reconnecting at this time.
[00:20:49.406 --> 00:20:51.088]  He will know my intentions are genuine.
[00:20:51.148 --> 00:20:52.949]  Thank you, Summer Zervos.
[00:20:55.171 --> 00:20:56.712]  We got a bunch of the same story.
[00:20:57.012 --> 00:20:57.493]  Other women.
[00:21:00.675 --> 00:21:01.096]  Same deal.
[00:21:02.165 --> 00:21:05.348]  And then people that were on the plane going, I remember being on the plane talking to Trump.
[00:21:05.388 --> 00:21:07.189]  He wasn't even sitting by that lady.
[00:21:07.289 --> 00:21:07.469]  What?
[00:21:09.030 --> 00:21:10.211]  On and on, on and on.
[00:21:10.311 --> 00:21:11.212]  Little petty garbage.
[00:21:11.552 --> 00:21:13.354]  Meanwhile, I'm going to give you the big bombshell right now.
[00:21:15.095 --> 00:21:17.817]  I don't even feel like I am up to what you're about to see.
[00:21:19.218 --> 00:21:30.828]  I don't even want to present this at the start of the third hour today because I don't think I'm going to even do it justice because they just got back in last night and they've got hours and hours of footage.
[00:21:32.102 --> 00:21:36.944]  Of stuff that is HBO award winning if it was put together right.
[00:21:38.544 --> 00:21:42.166]  We have people dying on video in Haiti this week, last week.
[00:21:43.206 --> 00:21:45.687]  The place looks like a hydrogen bomb went off in Biggs' words.
[00:21:47.668 --> 00:21:49.909]  We have UN helicopters flying around everywhere.
[00:21:50.489 --> 00:21:52.570]  We have children bleeding to death.
[00:21:53.750 --> 00:21:58.832]  We have Gary Haven medivac-ing them into Port-au-Prince and the UN will give no medical aid.
[00:22:00.370 --> 00:22:10.557]  If private interests like Haven fly in and give food, which he does every week, they will then fly it into the villages and the people will die without it.
[00:22:12.078 --> 00:22:14.379]  Hillary is stealing the money that's supposed to go to him.
[00:22:14.759 --> 00:22:15.620]  Billions now total.
[00:22:15.920 --> 00:22:16.440]  That's admitted.
[00:22:16.861 --> 00:22:20.743]  Keeps 94 plus percent and they're saying no aid has come in in years.
[00:22:21.103 --> 00:22:22.064]  She's still collecting money.
[00:22:22.945 --> 00:22:23.665]  Where's the media?
[00:22:24.065 --> 00:22:25.106]  This is so cold-blooded.
[00:22:25.146 --> 00:22:26.167]  This is black people.
[00:22:27.335 --> 00:22:31.938]  These are people really dying, really in trouble, who've had their infrastructure money and everything stolen.
[00:22:33.218 --> 00:22:34.539]  Colonialism over and over again.
[00:22:34.559 --> 00:22:38.521]  The Clintons literally launched their huge foundation worth over $2 billion.
[00:22:38.541 --> 00:22:39.602]  It's raised over $6 billion.
[00:22:40.282 --> 00:22:41.083]  $2 billion from Haiti.
[00:22:41.903 --> 00:22:43.644]  They steal almost all of it.
[00:22:43.664 --> 00:22:48.647]  The little bit they claim is for the charity pays for their little junkets and things to Haiti.
[00:22:51.689 --> 00:22:56.632]  And even mainstream media, like the Washington Post, admits they did nothing with it.
[00:22:58.052 --> 00:23:03.956]  And I'm just saying, wow, nothing on ABC News, nothing on NBC, nothing on NPR.
