[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[00:07:14.166 --> 00:07:19.727]   depopulation takeover, where the most sacrosanct property you have, your body,
[00:07:19.727 --> 00:07:21.727]  now belongs to the state.
[00:07:22.490 --> 00:07:29.676]  And all over the world, old ladies and children are being arrested for being outside without their COVID passports.
[00:07:31.212 --> 00:07:43.217]  That are now official and permanent, all run by the United Nations and its private counterpart, the public arm of the Bilderberg Group, the World Economic Forum, or the Davos Group.
[00:07:45.478 --> 00:07:53.762]  So, people ask me, Alex, what is it like to be totally vindicated?
[00:07:55.879 --> 00:08:01.563]  And to see all the main leadership of the pro-human fight waking up and fighting back, and that's very positive.
[00:08:02.183 --> 00:08:06.946]  But it's also very, very sad because folks think this is bad.
[00:08:08.347 --> 00:08:13.290]  I know what the next phases are, and we won't be on air, and most of us will be dead.
[00:08:15.532 --> 00:08:18.474]  And so I just want everybody that works for the system to remember that.
[00:08:19.034 --> 00:08:20.175]  I'm not the one that's going to kill you.
[00:08:21.178 --> 00:08:22.821]  I'm not the one that's going to have a revolution with you.
[00:08:23.141 --> 00:08:24.504]  I'm not the one... No, no.
[00:08:24.564 --> 00:08:26.227]  You've killed yourself going along with this.
[00:08:27.248 --> 00:08:29.192]  By increments, following orders, and doing this.
[00:08:29.232 --> 00:08:33.239]  This is a design-controlled collapse of civilization.
[00:08:33.279 --> 00:08:34.781]  I want to explain something to everybody.
[00:08:36.434 --> 00:08:46.041]  A lot of people from my Saturday show and my Sunday show, I saw in the comments, not a lot of, not the majority, but a hefty minority were like, oh, Jones is calling for peace.
[00:08:46.141 --> 00:08:47.883]  Jones is calling for not being violent.
[00:08:48.343 --> 00:08:54.367]  Jones is calling for not overthrowing the government because he's scared and because he's selling out.
[00:08:55.542 --> 00:08:56.923]  No, that's not why I'm doing this.
[00:08:57.344 --> 00:09:02.549]  It's because the globalists want conflict, they want a civil war, because they're losing intellectually.
[00:09:02.829 --> 00:09:11.977]  That's why they've launched the medical, biomedical tyranny system as their only smokescreen, their only hope of stopping us from taking the planet back.
[00:09:14.039 --> 00:09:16.301]  And so, strategically, the worst thing to do.
[00:09:16.521 --> 00:09:21.606]  Plus, do you think that the Justice Department and the FBI actually run the country?
[00:09:23.285 --> 00:09:24.466]  Do you think Congress really does?
[00:09:24.486 --> 00:09:26.327]  Do you think President Biden does?
[00:09:26.827 --> 00:09:28.048]  Do you think the governors do?
[00:09:28.088 --> 00:09:28.949]  And the answer is no.
[00:09:33.132 --> 00:09:47.242]  You know, I don't like Xi Jinping, but early last year, he gave a speech in a hotel to the security agencies and heads of the Communist Party in China, several thousand people.
[00:09:48.522 --> 00:10:05.256]  And he said in that meeting, there's even been New York Times and Wall Street Journal articles about it, and I actually went and found the Chinese People's Daily, and then the full text was in another one of the party's groups, but it translates to the truth, the party's truth.
[00:10:06.177 --> 00:10:18.142]   And I read his whole speech in English, it was a long speech, and he said, the number one threat to our communist program is The megacorporations.
[00:10:19.703 --> 00:10:25.785]  And he goes ahead and says, yeah, sure, they helped get us into power, and they've been using us and our people, but they're the enemy.
[00:10:25.805 --> 00:10:30.187]  And they want to depopulate, and they want to enslave, and they want to deindustrialize.
[00:10:30.587 --> 00:10:34.188]  And when they're done taking down the West using our labor and our people, they're going to take us down.
[00:10:34.629 --> 00:10:36.029]  We need to decouple from them.
[00:10:36.909 --> 00:10:40.051]  And he said, I'm announcing incentives to have three children.
[00:10:40.471 --> 00:10:43.592]  We're no longer going to kill the second born.
[00:10:44.032 --> 00:10:46.393]  And in fact, we're going to incentivize more than three children.
[00:10:47.867 --> 00:10:50.569]  We're not going with the globalist depopulation plan.
[00:10:50.829 --> 00:10:51.910]  Incredible speech!
[00:10:53.931 --> 00:11:30.963]   Same thing with Bolsonaro, and he's not a communist, he's the opposite, but I don't care if you're a communist or a populist like Bolsonaro, you need to choose life and a pro-human future, because if you choose the New World Order depopulation plan, You choose tens of billions dead, because not just those living, but into the future they'll be calling numbers, and it will cause wars, and it will cause total destabilization, it will cause complete collapse, and there's no way the Rockefeller-Carnegie endowment plan carried out by the Bilderberg Group, the Davos Group, is going to work.
[00:11:32.418 --> 00:11:34.240]  Because human nature just doesn't operate like that.
[00:11:34.500 --> 00:11:40.907]  They think with smartphones and AI grid and social credit scores they'll be able to enforce it, but it's not going to do that.
[00:11:40.987 --> 00:11:48.536]  And it's designed to collapse society, but I'm saying it's going to create and is creating an uncontrolled collapse.
[00:11:50.643 --> 00:11:54.106]  Yes, China is banning men not seen as masculine from television.
[00:11:54.706 --> 00:11:56.648]  They put homosexuals in work camps.
[00:11:57.188 --> 00:11:58.249]  I'm not saying that's a good thing.
[00:11:59.170 --> 00:12:02.152]  They are promoting having three or more children now.
[00:12:02.232 --> 00:12:04.974]  They've broken with the New World Order.
[00:12:05.074 --> 00:12:06.495]  And so what did Soros come out and say?
[00:12:07.216 --> 00:12:09.598]  Soros said Xi Jinping is the new Hitler.
[00:12:11.719 --> 00:12:17.704]  Well, he certainly killed a lot of people, and as I would say, in the same category, but he's a Hitler, doesn't like you.
[00:12:18.064 --> 00:12:20.146]  Plus, you actually work for Hitler, buddy boy.
[00:12:22.990 --> 00:12:25.092]  So see, that's the big seismic shift.
[00:12:25.152 --> 00:12:26.593]  That's the levels I'm thinking about.
[00:12:26.634 --> 00:12:27.634]  I'm thinking about Africa.
[00:12:27.654 --> 00:12:28.816]  I'm thinking about Eurasia.
[00:12:29.136 --> 00:12:31.598]  I'm thinking about South America, Central America, North America.
[00:12:31.638 --> 00:12:34.521]  I'm thinking about the real global players and what they're actually doing.
[00:12:35.182 --> 00:12:38.365]  And then, all this mindlessness with the militias.
[00:12:39.065 --> 00:12:53.333]  Always being trained by the FBI provocateurs in their midst, and the Defense Department provocateurs in their midst, and the Southern Poverty Law Center and ADL provocateurs in their midst, that, oh, attack a federal building, oh, go shoot up a synagogue, that'll stop the establishment.
[00:12:53.553 --> 00:12:54.113]  Oh, yeah!
[00:12:54.513 --> 00:12:59.256]  We're dealing with human cloning, human-animal splicing, publicly going on everywhere.
[00:12:59.656 --> 00:13:02.638]  We're dealing with a world off the rails.
[00:13:06.152 --> 00:13:19.848]  I've always talked about the big picture and the million-foot view, but understand that the globalists held Russia captured for 80-something years and had a depopulation plan there, and the Russians have finally struggled out of it.
[00:13:20.008 --> 00:13:20.889]  It doesn't mean they're perfect.
[00:13:21.029 --> 00:13:23.492]  They've got their own problems, their own authoritarianism.
[00:13:24.363 --> 00:13:27.765]  But that's what you fall back into when you're under that type of outside attack.
[00:13:27.785 --> 00:13:30.026]  That's a normal function of survival.
[00:13:30.066 --> 00:13:30.687]  I'm not defending it.
[00:13:31.287 --> 00:13:39.412]  The Chinese have been a project of the New World Order since their own revolution in the 40s that was aided by the CIA.
[00:13:41.813 --> 00:13:49.898]  And so the fact that Russia says, we'll pay you to have more children and we don't want sissy men on TV, and China has adopted that, shows they've chosen life.
[00:13:50.478 --> 00:13:55.857]   And I can tell you, at the highest levels of the Communist Party in China, They listen to this show.
[00:13:56.277 --> 00:13:58.718]  And at the highest levels of the Russian government, they listen to my show.
[00:13:58.958 --> 00:14:01.419]  At the highest levels of the Brazilian government, they listen to this show.
[00:14:02.579 --> 00:14:03.659]  And Tucker Carlson listens.
[00:14:03.779 --> 00:14:04.739]  And Joe Rogan listens.
[00:14:04.839 --> 00:14:06.460]  And anybody that's smart listens.
[00:14:06.680 --> 00:14:07.860]  And that's not me up here bragging.
[00:14:08.080 --> 00:14:17.682]  I'm telling you it's because I have the best handle on what's going on for actually researching the academic level papers and then integrating it into a world unified field theory.
[00:14:19.423 --> 00:14:25.943]   And if people don't decide to choose life, And it's just peace.
[00:14:26.103 --> 00:14:27.305]  We're all dead.
[00:14:27.905 --> 00:14:39.521]  And so I'm just, you know, never gonna commit suicide and love life, but I'm just making preparations and really feeling guilty every day that I'm even here instead of in an extremely rural area.
[00:14:40.402 --> 00:14:45.886]  Around just a few people I can trust and just praying every day and trying to grow crops and getting close to God.
[00:14:45.906 --> 00:14:49.688]  Because you're going to see a massive exodus in the coming future to the countryside.
[00:14:49.908 --> 00:14:51.129]  And then the cities are going to collapse.
[00:14:51.169 --> 00:14:52.030]  Everybody's going to run.
[00:14:52.050 --> 00:14:53.951]  And it's going to be war.
[00:14:54.532 --> 00:14:55.532]  Total war, folks.
[00:14:55.572 --> 00:14:57.534]  So everybody better just get ready.
[00:14:58.154 --> 00:14:59.435]  I am not anybody's enemy.
[00:14:59.755 --> 00:15:00.656]  I don't want this to happen.
[00:15:00.696 --> 00:15:01.576]  I told you it was coming.
[00:15:01.636 --> 00:15:01.937]  It's here.
[00:15:02.677 --> 00:15:04.557]  And the globalists are just pawns of Satan.
[00:15:05.017 --> 00:15:09.058]  The only enemy I have is Satan, and I can't defeat Satan, but Jesus Christ, who's in me, can.
[00:15:09.418 --> 00:15:10.058]  We'll be right back.
[00:15:10.078 --> 00:15:10.518]  Stay with us.
[00:15:11.219 --> 00:15:17.140]  The globalists didn't just create fentanyl at MIT and then have the communist Chinese produce it and ship it into the country to kill millions.
[00:15:17.860 --> 00:15:25.561]  They didn't just work overtime through Wall Street to de-industrialize and sell off all the major industry in the Midwest and other areas of the country.
[00:15:26.141 --> 00:15:30.342]  They didn't just promote and push systems to collapse the family.
[00:15:31.462 --> 00:15:38.227]  They're now coming at us with the poisons and injections that erase your immune system, give you cancer, and major heart problems.
[00:15:39.067 --> 00:15:40.048]  Because they're killing you.
[00:15:40.809 --> 00:15:41.689]  Because it's a war.
[00:15:42.950 --> 00:15:50.916]  Because they've taken over through the financial system and don't need us anymore, and they're bringing computers and robots online to serve them.
[00:15:52.377 --> 00:15:55.999]  The outer members of this globalist death cult believe they're going to kill 90% of the public.
[00:15:58.146 --> 00:16:04.968]  Now members of the cult, and I've met and talked to some of the top people, understand they are slated for destruction as well.
[00:16:06.428 --> 00:16:08.849]  You understand, I have met with top scientists.
[00:16:09.029 --> 00:16:09.289]  Top.
[00:16:10.149 --> 00:16:11.649]  I have met with top people in Hollywood.
[00:16:11.689 --> 00:16:13.130]  I've met with top people in the government.
[00:16:13.170 --> 00:16:18.231]  I've met with top people that have been part of this, but don't want to be part of it and don't know what to do.
[00:16:20.111 --> 00:16:21.952]  And I've told them, I don't know what they can do.
[00:16:23.432 --> 00:16:27.533]  Because if you've been part of this group and you speak out, they have a directive to kill them.
[00:16:29.428 --> 00:16:31.229]  These people are risking their lives even to talk to me.
[00:16:33.190 --> 00:16:34.570]  So there's not much time left, okay?
[00:16:35.411 --> 00:16:35.891]  This isn't a game.
[00:16:38.172 --> 00:16:38.692]  This isn't a game.
[00:16:38.712 --> 00:16:45.715]  Everybody needs to get extremely focused and crystal clear on what you're dealing with, and that's the only way out of this.
[00:16:45.835 --> 00:16:48.796]  And the globalists are going to make their run at depopulating everybody.
[00:16:48.816 --> 00:16:49.757]  They're going to make their run.
[00:16:49.797 --> 00:16:51.177]  The Bible says they'll fail.
[00:16:51.838 --> 00:16:53.678]  But a fourth of the Earth's humans will be killed.
[00:16:54.279 --> 00:16:57.080]  That sounds like a low estimate, but I'm sure it's true.
[00:16:59.529 --> 00:17:01.191]  And people ask, am I trying to scare you?
[00:17:01.351 --> 00:17:01.531]  No.
[00:17:02.753 --> 00:17:10.240]  You hear these stories where wildfires, there's 50 mile an hour winds, and wildfires are traveling a couple miles an hour.
[00:17:11.942 --> 00:17:16.006]  And you get the emergency call, get out of your house now, the fires are 10 minutes away.
[00:17:16.447 --> 00:17:19.350]  If you don't get out in 10 minutes, you barbecue in your house and die.
[00:17:20.731 --> 00:17:21.953]  You're like, well, how do we get out of this?
[00:17:22.193 --> 00:17:27.661]  We have a giant awakening to the program and how horrible it is and what it is and what the enemy is.
[00:17:27.882 --> 00:17:33.851]  The UN, the Davos Group, the Carnegie Endowment, the Rockefeller Foundation that runs the CIA publicly.
[00:17:34.372 --> 00:17:35.173]  They're in full command.
[00:17:36.587 --> 00:17:40.028]  And if you look at their ministers and their top people, they look completely scared.
[00:17:40.548 --> 00:17:47.969]  When you see the CIA director, the former head of the Carnegie Endowment, he looks like he is in front of a firing squad, because he's being ordered to do this.
[00:17:48.249 --> 00:17:50.450]  Do you think they like the moment we're actually at?
[00:17:51.790 --> 00:18:04.833]  General Stubblebine told me when he was in meetings with these people in the 80s, when he was the head of the Army, and the Army was trying to talk him out of this stuff, that the people there were government leaders, presidents, prime ministers, and they were scared.
[00:18:05.888 --> 00:18:10.432]  His wife, on record, treated heads of state, they told her the same thing, in the 2000s.
[00:18:11.734 --> 00:18:14.776]  That's how she told Jesse Ventura on his show what was coming.
[00:18:15.537 --> 00:18:17.739]  And how they'd use lockdowns and the shots and all this.
[00:18:17.759 --> 00:18:19.120]  This is a damn plan, people!
[00:18:20.282 --> 00:18:21.042]  You understand this?
[00:18:22.664 --> 00:18:29.022]   And even heads of state, even queens, We're like, I just don't feel good about it.
[00:18:29.142 --> 00:18:30.462]  It's terrible to get rid of everyone.
[00:18:30.502 --> 00:18:31.963]  It's going to be such a calamity.
[00:18:31.983 --> 00:18:35.324]  But if we don't, the carrying capacity we reach, there'll be giant wars.
[00:18:35.724 --> 00:18:37.585]  So if we don't trigger this now, it won't be controlled.
[00:18:37.625 --> 00:18:39.246]  But I just feel terrible about it.
[00:18:39.326 --> 00:18:39.966]  Don't you?
[00:18:40.286 --> 00:18:41.187]  The great culling?
[00:18:42.607 --> 00:18:51.271]  And they write books talking about it now and saying, but the people that say they love it and enjoy it in Wall Street Journal, it's going to be, there's going to be no humans soon.
[00:18:51.311 --> 00:18:51.891]  It's so great.
[00:18:51.911 --> 00:18:52.631]  We're obsolete.
[00:18:53.732 --> 00:18:54.852]  Viruses are going to kill us.
[00:18:55.092 --> 00:18:56.053]  Yeah, viruses you made.
[00:18:57.622 --> 00:18:58.682]  They tell you, it's your fault.
[00:18:59.542 --> 00:19:03.103]  Global warming caused super viruses to come, and now you're gonna die.
[00:19:03.163 --> 00:19:06.304]  No, you made them in a lab, and COVID-19 is just the first salvo.
[00:19:10.925 --> 00:19:13.726]  So even heads of state are not running things.
[00:19:15.006 --> 00:19:17.747]  And they are scared, and they should be scared.
[00:19:19.987 --> 00:19:28.788]   Through a school that my son was going to when he was five, For a couple of years.
[00:19:29.489 --> 00:19:46.239]  I got to know some top scientists that were very well off and very well run out to the Texas Hill Country from Maryland where they'd live doing work in these groups and they were just completely freaked out and scared because that was in the late 2000 and 2010.
[00:19:46.319 --> 00:19:52.223]  That's right when Rima Labo was sharing the plan because they did a test then in 2009-2010 and said we're launching operations in 2011.
[00:19:55.871 --> 00:19:59.373]  What you saw launched in 2000, they said, all right, prepare everyone.
[00:19:59.393 --> 00:20:01.854]  And they went and had their meetings and got their orders.
[00:20:02.034 --> 00:20:05.456]  You put your cell phones up, you go in to a Faraday cage, you get your directive.
[00:20:05.956 --> 00:20:07.216]  And it's a global directive group.
[00:20:07.236 --> 00:20:08.157]  They don't have a name for it.
[00:20:08.877 --> 00:20:12.899]  And they go in and they're telling them, all right, we're launching operations in six months.
[00:20:13.319 --> 00:20:17.281]  Get your family, get yourself ready and be ready to report to these stations.
[00:20:17.461 --> 00:20:19.182]  We'll have a cure for you, but not for others.
[00:20:19.202 --> 00:20:22.143]  And we're going to go ahead and launch airborne Ebola.
[00:20:22.483 --> 00:20:35.937]   Remember right around that same time, the head of the Biology department at UT, Bianca, said on the news, he said, soon I'll be dead, my whole family, but we love it, it's for the earth, airborne Ebola will be released imminently.
[00:20:36.298 --> 00:20:36.458]  That was 2007.
[00:20:36.658 --> 00:20:41.780]  He said within three years, because he was in a deeper cell of it.
[00:20:42.800 --> 00:20:47.882]  On his own UT website he says, I love Lucifer, he's dressed in druid robes, and he wants you to die.
[00:20:49.127 --> 00:20:50.107]  Completely out of his mind.
[00:20:50.167 --> 00:20:53.568]  But that's, oh, he's the head of the UT Biology Department.
[00:20:54.168 --> 00:20:58.569]  And the head of the UT Botany Department basically told my dad the same thing in the 1960s.
[00:20:59.189 --> 00:20:59.910]  Tried to recruit him.
[00:21:00.890 --> 00:21:03.930]  So, this is a death cult.
[00:21:04.331 --> 00:21:07.531]  And they told him that they were going to launch it in 2009, 2010.
[00:21:07.651 --> 00:21:11.372]  Labo and Stubblebine ran to Costa Rica because they were told by their sources it was imminent.
[00:21:11.632 --> 00:21:17.432]   But that was a drill to test and see If their people were going to go along with it.
[00:21:17.692 --> 00:21:22.436]  Labo and Stubblebine had since gotten out of it, but they were told by their sources and by heads of state.
[00:21:25.258 --> 00:21:27.219]  So these are the real discussions they have.
[00:21:27.239 --> 00:21:33.724]  I mean, you know the Pentagon has on-the-record plans.
[00:21:34.105 --> 00:21:50.820]   If there is a war and things collapse and there's a hundred thousand survivors, say, coming from Chicago after it gets nuked, a year after, towards Cheyenne Mountain to dig out the alternate government that they've got weapons and things to kill those people before they quote take out the seat of government.
[00:21:51.559 --> 00:21:54.279]   They're not going to help people on the surface when this all goes down.
[00:21:54.279 --> 00:22:05.799]   So I'm just telling you prepare to die and I don't want you to commit suicide.
[00:22:05.928 --> 00:22:08.950]  You need to spend your energy and time warning people and getting them ready.
[00:22:09.331 --> 00:22:10.331]  And that's the only hope.
[00:22:10.371 --> 00:22:11.312]  That's why it's not going to be 90%.
[00:22:11.572 --> 00:22:12.833]  You believe the Bible?
[00:22:12.853 --> 00:22:16.836]  They're only going to kill... a quarter.
[00:22:20.319 --> 00:22:21.660]  During that period of mass killing.
[00:22:21.680 --> 00:22:22.761]  There's a build-up to it.
[00:22:23.541 --> 00:22:25.363]  So, I mean, I'm telling you what's going on.
[00:22:25.443 --> 00:22:30.546]  I mean, I didn't just get up here on air and say all this just to say it's scary and put myself in the crosshairs of the government.
[00:22:32.128 --> 00:22:32.288]  But...
[00:22:33.629 --> 00:22:35.050]  This is out of my hands now.
[00:22:35.431 --> 00:22:37.252]  I tried to stop the being launched.
[00:22:37.613 --> 00:22:38.273]  We're out of beta.
[00:22:38.453 --> 00:22:39.154]  They pull the trigger.
[00:22:39.314 --> 00:22:39.714]  We're in it.
[00:22:39.995 --> 00:22:40.936]  The collapse has begun.
[00:22:41.516 --> 00:22:45.139]  And I love you and I care about you all.
[00:22:45.239 --> 00:22:46.180]  And I'm so sorry.
[00:22:46.481 --> 00:22:47.281]  I could have worked harder.
[00:22:47.301 --> 00:22:48.062]  I could have done a better job.
[00:22:48.102 --> 00:22:48.522]  I'm serious.
[00:22:48.663 --> 00:22:49.403]  I have failed you.
[00:22:50.144 --> 00:22:50.844]  I'm so sorry.
[00:22:50.864 --> 00:22:53.467]  I'm serious.
[00:22:54.167 --> 00:22:54.348]  So.
[00:22:56.610 --> 00:22:57.150]  Oh, my God.
[00:22:57.731 --> 00:22:59.372]  I mean, that is just this is so horrible.
[00:23:00.712 --> 00:23:10.739]  And all the liberals that left us that don't give a damn about anything, they're laughing and the owners of a major basketball team just says, I don't care if China has death camps.
[00:23:12.240 --> 00:23:13.080]  I start laughing.
[00:23:16.203 --> 00:23:18.344]  I mean, it's the soullessness.
[00:23:18.384 --> 00:23:26.930]  Does this idiot think he's going to be safe when all this is going on if he doesn't care about tens of millions of people, three million of them, that have already been basically murdered?
[00:23:29.485 --> 00:23:31.486]  He thinks it's funny because he's a selfish monster.
[00:23:35.169 --> 00:23:36.610]  It's the name of the game.
[00:23:37.691 --> 00:23:45.016]  We'll play that when we come back and then I've got the war with Russia that they say is going to start any time from tomorrow to the middle of next month.
[00:23:45.036 --> 00:23:48.478]  The Pentagon believes the war officially starts in the next month.
[00:23:49.799 --> 00:23:56.704]  So Laura Logan has been dropped by her talent agency for pointing out that Anthony Fauci is basically the angel of death.
[00:23:57.639 --> 00:23:59.501]  That's exactly what they're doing with these deadly shots.
[00:24:01.622 --> 00:24:05.706]  And she says they may take her off Fox for telling the truth.
[00:24:07.747 --> 00:24:10.149]  So here she is talking about the reality of what's happening.
[00:24:10.169 --> 00:24:11.411]  I'm going to play the clip again first.
[00:24:13.652 --> 00:24:26.043]  And then I want to play for you another one of these billionaires making his money off the slavery in China and off the NBA being a big popular thing in China, saying China does nothing wrong.
[00:24:29.366 --> 00:24:33.189]  And that's just like USA Today saying pedophilia is good and we should abolish the family.
[00:24:33.649 --> 00:24:35.270]  You say, why are they saying all this?
[00:24:35.310 --> 00:24:36.451]  Because it's their coming out.
