[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[00:13:39.666 --> 00:13:55.272]  Well, he's decided that he's going to join with them and signal that he wants to be part of the vestigial conservative remnant that's left after they fully destroy the country and start putting everybody in FEMA camps.
[00:13:55.292 --> 00:13:57.813]  So that's why that's going on.
[00:14:00.194 --> 00:14:00.434]  Wow.
[00:14:00.534 --> 00:14:03.930]   The COVID news is always more insane each day as we Go through it.
[00:14:04.431 --> 00:14:05.851]  I didn't get to a lot of it yesterday.
[00:14:05.871 --> 00:14:13.335]  I have a bunch of news we didn't hit, and then a bunch of new news, where large percentages of schools are now reporting heart attacks on their students.
[00:14:15.916 --> 00:14:16.997]  Oh, I've got the mainstream news.
[00:14:17.017 --> 00:14:18.878]  They're just like, it's normal.
[00:14:19.058 --> 00:14:20.078]  You're gonna die, too.
[00:14:20.679 --> 00:14:23.200]  It didn't used to happen, but it's the new normal.
[00:14:24.781 --> 00:14:37.554]   CDC document says it causes that, but if you try to share it on any major platform, not allowed to because I mean, Google and Twitter, they're liberal and they want you to die to save the Earth.
[00:14:37.634 --> 00:14:38.434]  Very liberal.
[00:14:38.874 --> 00:14:41.675]  They're doing what they have to do to protect you.
[00:14:41.715 --> 00:14:44.957]  Now the AI system is in place.
[00:14:44.977 --> 00:14:45.637]  So we have all of that.
[00:14:46.298 --> 00:14:55.262]  USPS seeks temporary relief from Biden admin vaccine or test mandate warning of potential catastrophic impact and collapse of the postal system.
[00:14:55.742 --> 00:14:56.262]  Oh, really?
[00:14:56.442 --> 00:14:57.743]  That's what the whole plan is?
[00:14:58.536 --> 00:15:01.818]  Defund the police, fire everybody who won't take a poison shot.
[00:15:02.098 --> 00:15:07.440]  I kept wondering, why are they giving us a poison shot up front, putting in a World ID to track that we have the shots?
[00:15:07.861 --> 00:15:19.366]  You want to give folks a placebo first to have them accept the shots, and then put the global cashless society, social credit score, carbon tax, monitoring vaccine passport in place.
[00:15:20.347 --> 00:15:21.587]  And then you start killing people.
[00:15:21.627 --> 00:15:34.275]   But see, they want it where, these are behavioral psychologists, They look at how that will then cause panic in smart people, who will then leave the system and be fired, and then you get a collapse that causes even more depopulation.
[00:15:34.975 --> 00:15:37.216]  And the lockdowns that cause all the big depopulation.
[00:15:38.217 --> 00:15:56.812]   And we've got the drumbeat by Biden and other world leaders, like the puppet Prime Minister up in Canada, blaming The lockdowns and the collapse of society and all the deaths from people not getting medical care they needed on the unvaxxed.
[00:15:56.832 --> 00:15:58.113]  Of course, all that's not true.
[00:15:58.133 --> 00:16:05.483]  You can disprove it with the facts in five seconds, but he doesn't care because it's about shicking the general public pissed about lockdowns, pissed about going bankrupt.
[00:16:05.783 --> 00:16:07.623]  Pissed about being sick on the unvaxed.
[00:16:07.623 --> 00:16:09.863]  Oh, you took three, four shots, but you're still sick.
[00:16:09.863 --> 00:16:10.822]  It's the unvaxed.
[00:16:10.822 --> 00:16:12.383]  Oh, you lost your job because of lockdown.
[00:16:12.383 --> 00:16:13.263]  It's the unvaxed.
[00:16:13.263 --> 00:16:16.582]   Oh, the third world's collapsing and dying tens of millions of starvation.
[00:16:16.582 --> 00:16:17.582]  It's the unvaxed.
[00:16:17.582 --> 00:16:19.201]  No, it's the great reset.
[00:16:19.201 --> 00:16:20.263]  It's Klaus Schwab.
[00:16:20.263 --> 00:16:21.503]  It's Justin Trudeau.
[00:16:21.503 --> 00:16:24.822]  They need to go to prison for mass murder.
[00:16:24.822 --> 00:16:30.822]   The only way to get out of this is to realize this is a long-term psychological program
[00:16:30.822 --> 00:16:38.221]   to break your will, put you under mass Stockholm syndrome, a term I coined, or the scientific term they use,
[00:16:38.221 --> 00:16:41.623]  mass psychosis formation.
[00:16:41.623 --> 00:16:47.502]   And what you see in Germany and in Spain and in Australia and in New Zealand and now in Canada
[00:16:47.502 --> 00:16:48.743]  is what they're bringing here.
[00:16:48.743 --> 00:16:50.062]  It's all the same program.
[00:16:50.062 --> 00:16:52.023]  It's all UN-run.
[00:16:52.023 --> 00:16:56.221]   And now they're saying, oh, healthy people are gonna have to go to camps to protect them
[00:16:56.221 --> 00:17:00.383]  in the shielding process from people that might have COVID.
[00:17:00.852 --> 00:17:03.213]  And none of it's what it seems.
[00:17:03.314 --> 00:17:05.075]  None of it is reality based.
[00:17:05.695 --> 00:17:06.796]  We've got all the answers on that.
[00:17:06.816 --> 00:17:07.857]  We'll be laying it out today.
[00:17:07.917 --> 00:17:12.180]  But this is a nightmare takeover.
[00:17:12.220 --> 00:17:14.722]  This is an accelerated takeover.
[00:17:14.762 --> 00:17:21.937]   And so you've seen them in New Zealand and Australia say you're not allowed to go out Look at the sunset.
[00:17:22.517 --> 00:17:23.358]  Nothing non-essential.
[00:17:23.718 --> 00:17:24.359]  Well, look at the sunset.
[00:17:24.379 --> 00:17:24.979]  It is essential.
[00:17:25.420 --> 00:17:27.881]  Communing with what God created and that connection to God.
[00:17:28.182 --> 00:17:30.123]  The sun's not God, but it's God's artwork.
[00:17:30.924 --> 00:17:31.945]  It's God's cathedral.
[00:17:33.326 --> 00:17:35.427]  And don't talk to your neighbors, even over a fence.
[00:17:35.467 --> 00:17:37.109]  In fact, don't look them in the eyes.
[00:17:38.790 --> 00:17:44.074]  That's on billboards and on signs in the UK and in places like Australia.
[00:17:44.634 --> 00:17:50.519]  And then you've got government health ministers over major provinces in Canada saying, we're keeping the lockdowns going.
[00:17:52.788 --> 00:17:58.852]  Because we don't want people to talk to each other out in public and stop what we're doing.
[00:17:59.172 --> 00:18:02.974]  We're in a transition into the new system.
[00:18:02.995 --> 00:18:05.196]  We're getting you ready for climate lockdowns.
[00:18:06.557 --> 00:18:07.457]  That's all official!
[00:18:09.298 --> 00:18:12.180]  And now they're rolling it all out.
[00:18:15.142 --> 00:18:15.763]  Think about that.
[00:18:19.045 --> 00:18:20.446]  And what has Australia now announced?
[00:18:21.795 --> 00:18:28.720]  The unvaccinated, which, what do people that have had the vaccines and those that haven't have in common, you'll never be fully vaccinated.
[00:18:28.900 --> 00:18:29.741]  There's always more, more, more.
[00:18:29.761 --> 00:18:30.362]  They admit that now.
[00:18:30.382 --> 00:18:32.303]  And I warned you almost two years ago, this was coming.
[00:18:32.323 --> 00:18:32.843]  And here we are.
[00:18:32.863 --> 00:18:34.184]  Because it's a plan.
[00:18:34.785 --> 00:18:35.625]  We know the globalist plan.
[00:18:35.645 --> 00:18:41.050]  It should be easy to defeat it if people just admit how predatory it is and educate themselves about it and then stop complying.
[00:18:44.692 --> 00:18:53.383]   They're now saying in Australia that you can't go outside And exercise if you don't have your little travel pass.
[00:18:53.423 --> 00:18:53.983]  So there it is.
[00:18:54.463 --> 00:19:05.585]  Now you can't leave your house unless you have the digital ID and then everything it takes to get that ID, the social credit score you must comply with, including the carbon taxes, the injections, all of it.
[00:19:05.845 --> 00:19:07.585]  And you are now in a prison planet.
[00:19:07.605 --> 00:19:11.426]  Remember, for 15, 20 years, we had the website PrisonPlanet.com.
[00:19:12.286 --> 00:19:16.246]  And then we just went ahead and made it a redirect to InfoWars.com, but it had been our backup site for years.
[00:19:16.766 --> 00:19:19.547]  And for a time got bigger than InfoWars a decade ago.
[00:19:20.717 --> 00:19:22.078]  People said, why do you call it a prison planet?
[00:19:22.098 --> 00:19:26.181]  Well, I read the Globalist documents, and what they were building was a prison planet.
[00:19:26.701 --> 00:19:36.247]  And then once everybody's in the prison planet, getting sicker and dying, and had 10, 15 shots, the government says, it's the uninjected, they're the reason you're sick.
[00:19:36.807 --> 00:19:38.909]  We've got to finally put them in camps.
[00:19:39.709 --> 00:19:43.432]  And we can't let them be lazy, they're going to have to work in the camps.
[00:19:44.492 --> 00:19:45.513]  Now, how do I know that?
[00:19:45.553 --> 00:19:50.116]  Well, it's historically happened before with authoritarians, demonizing a group and doing that to them for some reason.
[00:19:50.979 --> 00:19:51.880]  They make up different reasons.
[00:19:52.420 --> 00:20:02.527]  But it's also in the CDC documents from a year and a half ago that they want that here, where, oh, we're going to put people that don't take the shots in camps, and we're going to make you work.
[00:20:02.547 --> 00:20:03.347]  Oh, isn't that good?
[00:20:03.367 --> 00:20:05.329]  So they're going to bring the chain gangs back.
[00:20:05.909 --> 00:20:07.310]  But Germany says, screw that.
[00:20:07.650 --> 00:20:11.873]  We're just going to come door to door starting February 1st and forcibly inject you.
[00:20:13.317 --> 00:20:17.902]  That's why Biden put in his new terrorism directive of June of this year that it's the unvaccinated of the terrorists.
[00:20:18.602 --> 00:20:30.554]  Then I had a Army Green Beret doctor in here yesterday, who is one of the top advisors to the governor of Texas, saying he's taken hundreds of vaccines and never got sick, since he's been in the Army since 1983.
[00:20:35.228 --> 00:20:40.210]  He's taken hundreds and never got really sick, even including the anthrax shot that was really dangerous.
[00:20:40.670 --> 00:20:48.793]  But oh, he says he's lost a lot of his acuity in his mind since he took the second shot.
[00:20:49.574 --> 00:20:50.794]  He was in here yesterday, he told you that.
[00:20:51.234 --> 00:20:53.395]  Incredible brain frog, you name it.
[00:20:53.835 --> 00:20:54.356]  Medical doctor.
[00:20:55.456 --> 00:20:56.716]  That's the reality of this.
[00:20:57.017 --> 00:21:00.158]  This is a weapons system that the globalists are inducting us into.
[00:21:00.438 --> 00:21:06.934]   So here is the government of Australia, the criminals, Announcing what's coming to your town, your city, your country.
[00:21:07.495 --> 00:21:09.996]  Don't you, you don't get to go outside, you don't get to exercise.
[00:21:10.336 --> 00:21:12.038]  You do what we said, we're going to take you to prison.
[00:21:12.338 --> 00:21:15.580]  And then next, of course, oh, you can't pay your rent or you can't pay your mortgage.
[00:21:15.620 --> 00:21:16.721]  Well, you're going to go to the camp.
[00:21:16.941 --> 00:21:17.801]  And they've now announced that.
[00:21:17.821 --> 00:21:20.403]  They're building huge camps all over the world for us.
[00:21:20.563 --> 00:21:21.044]  Here it is.
[00:21:22.605 --> 00:21:24.166]  I will now go through each of these decisions.
[00:21:24.846 --> 00:21:25.587]  First, the lockout.
[00:21:26.847 --> 00:21:29.029]  The fully vaccinated can continue as they were.
[00:21:30.276 --> 00:21:35.278]  For people who are not vaccinated, lockdown rules will apply to everyone 16 and above.
[00:21:36.419 --> 00:21:38.500]  If you are not fully vaxxed, stay home.
[00:21:39.801 --> 00:21:44.843]  You are at greater risk of catching COVID, becoming ill and needing hospital care.
[00:21:46.284 --> 00:21:48.405]  You may only leave home for three reasons.
[00:21:49.966 --> 00:21:52.447]  Medical treatment, including COVID testing or vaccination.
[00:21:53.510 --> 00:21:56.872]  For essential goods and services like groceries, power tokens, medications.
[00:21:57.953 --> 00:22:02.355]  To provide care and support to a family member or person who cannot support themselves.
[00:22:04.037 --> 00:22:10.380]  You cannot travel more than 30 kilometres from your home when leaving for one of the three reasons, or the nearest practical destination.
[00:22:10.981 --> 00:22:15.323]  If you need to go to the hospital and it's more than 30 kilometres from your home, that's okay.
[00:22:16.344 --> 00:22:22.208]  The only three reasons, sorry, there are only three reasons to leave the home now, not five.
[00:22:23.243 --> 00:22:26.205]  Work is not a reason to leave the home for the unvaccinated.
[00:22:26.926 --> 00:22:36.794]  The Chief Health Officer has also determined that restriction of movement is critical right now, and that one hour of exercise for the next four days is not essential.
[00:22:37.935 --> 00:22:41.377]  Remember, these restrictions only apply to those who are not fully vaccinated.
[00:22:42.939 --> 00:22:48.983]  So they said it was all coming, and you're never really fully vaccinated, and this is the collapse of civilization.
[00:22:49.003 --> 00:22:55.411]   So you're gonna go bankrupt, we're gonna deny you the right to work, And you're going to just stay at home until you take this, because here's the deal.
[00:22:55.691 --> 00:22:58.891]  They're going to claim a new bioweapons release in a year or two that's going to kill billions.
[00:22:59.431 --> 00:23:00.612]  Really, it's the shot you've taken.
[00:23:00.692 --> 00:23:04.853]  And I'm sorry to have to tell folks, but a lot of you, unless we find out how to reverse this, are dead.
[00:23:05.493 --> 00:23:06.293]  I mean, it's just the way it is.
[00:23:06.313 --> 00:23:08.393]  Doesn't matter if you're in the military, who you are.
[00:23:08.673 --> 00:23:12.094]  But that's why key globalist personnel are given the saline shot.
[00:23:12.854 --> 00:23:14.075]  They're all in on it, too.
[00:23:14.135 --> 00:23:14.575]  They know.
[00:23:14.615 --> 00:23:17.936]  They're giving the conservatives, the Christians, the people's property they want.
[00:23:17.976 --> 00:23:18.956]  They've got actuaries.
[00:23:18.976 --> 00:23:19.916]  They've got databases.
[00:23:21.141 --> 00:23:23.662]  And it's just, it's incredible, ladies and gentlemen.
[00:23:24.762 --> 00:23:26.663]  And so you see it all happening.
[00:23:27.043 --> 00:23:34.485]  Here is the criminal that says he loves dictatorship and wants to be a dictator like Xi Jinping, and he admires China's dictatorship.
[00:23:34.745 --> 00:23:35.465]  Those are quotes.
[00:23:36.666 --> 00:23:43.268]  Blaming people that haven't taken the shots for the lockdowns, when for the first year of it, there weren't even shots.
[00:23:44.068 --> 00:23:50.730]  And they admit that not letting people get their medical care was a government directive of the chief health officials, the chief dictators.
[00:23:51.889 --> 00:24:11.358]  But here he is blaming everybody else that's getting sick from the shots, everybody else with things going bankrupt and society falling apart, not on their lockdowns, not on the Great Reset, not on Klaus Schwab, not on their plan to do all this in their own admissions, but no, on the people that are smart enough to not take these poisons.
[00:24:11.678 --> 00:24:13.079]  They're making their move.
[00:24:13.339 --> 00:24:14.959]  The Great Depopulation is here.
[00:24:15.420 --> 00:24:18.361]  All the top scientists we talked to are on record agreeing this is real.
[00:24:18.985 --> 00:24:24.590]  Ted Nugent's coming up to break it all down, but here is the criminal, the actual archetypal villain, Trudeau.
[00:24:26.312 --> 00:24:37.421]  When people are seeing cancer treatments and elective surgeries put off because beds are filled with people who chose not to get vaccinated, they're frustrated.
[00:24:39.083 --> 00:24:52.581]   When people see that we're in lockdowns or serious public health restrictions right now, Because the risk posed to all of us by unvaccinated people, people get angry.
[00:24:54.301 --> 00:24:55.242]  He's the one that did it.
[00:24:55.422 --> 00:24:56.562]  They're the ones that ordered it all.
[00:24:56.602 --> 00:24:59.343]  They're the ones that put you in the endless fake emergency you never get out of.
[00:24:59.363 --> 00:25:02.364]  He says the people are angry.
[00:25:02.424 --> 00:25:03.324]  Well, yeah.
[00:25:03.644 --> 00:25:05.164]  Now they're going to start hurting us.
[00:25:05.705 --> 00:25:06.805]  They're going to hurt us either way, aren't they?
[00:25:08.507 --> 00:25:09.848]  Republican Senators.
[00:25:10.628 --> 00:25:11.588]  What are they busy doing?
