[00:00:00.000 --> 00:00:02.000]  [Gun cocks]
[00:10:30.607 --> 00:10:36.410]  So I am extremely honored to be under this massive attack because it means I'm over the target.
[00:10:38.646 --> 00:10:49.994]  But in this hierarchy of attacks, 60 plus million starving to death, and tens of millions dying from the poison shots, and all of it, why am I saying Alex Jones is the least important?
[00:10:51.695 --> 00:10:54.157]  Because individually, this is not important.
[00:10:54.497 --> 00:10:55.157]  What happens to me?
[00:10:56.538 --> 00:11:10.025]   But when you realize that if they can silence us, and they can surveil us to enforce the censorship, They can silence you, and on CNN, and the New York Times, and the Washington Post, and MSNBC, I've got the clips.
[00:11:10.525 --> 00:11:11.886]  I've got a stack of news right here.
[00:11:13.826 --> 00:11:17.347]  The Democrats crow, they brag, like a rooster at dawn.
[00:11:18.688 --> 00:11:23.109]  Alex Jones is the model to shut everyone down now, we're gonna ban their speech.
[00:11:23.849 --> 00:11:28.971]  And so, the attack on Infowars is not the bottom of the hierarchy, it's the top.
[00:11:30.071 --> 00:11:32.672]  Individually, it's not important.
[00:11:34.249 --> 00:11:35.189]  In the scale of things.
[00:11:35.749 --> 00:11:50.973]  But when you realize what they fear, you being vocal, you having courage, that they're trying to chill you, and trying to intimidate you, and trying to scare others from telling the truth, then you understand that our speech and our resistance and our non-compliance is beyond paramount.
[00:11:51.473 --> 00:11:52.354]  It is essential.
[00:11:53.214 --> 00:11:54.014]  It is critical.
[00:11:54.414 --> 00:11:54.834]  It is key!
[00:11:55.374 --> 00:11:55.774]  Key!
[00:11:59.738 --> 00:12:13.548]  We cut through their lies, we cut through their propaganda, we know who they are, we know their plan, and we know how to stop them, and we will do it together with God's spirit and blessing.
[00:12:15.109 --> 00:12:22.154]  So I want all of you listening today, the power of us coming together is unstoppable with God's energy.
[00:12:23.058 --> 00:12:30.585]  But God is a free will God and will only do this if we ask and say, our Heavenly Father, we ask you to cleanse us.
[00:12:31.046 --> 00:12:35.450]  You ask us to connect us to your great will and lead God in the right direction.
[00:12:35.470 --> 00:12:52.856]   So we ask you now, in a unified prayer, To pray for justice for the children and justice for the innocent and for the Great Awakening that's happening to expand at record levels and that a hedge of protection be put up for all of us that are standing against this satanic force.
[00:12:53.577 --> 00:12:57.739]  In the name of your Son, our Savior, Christ Jesus, Amen.
[00:13:00.141 --> 00:13:07.491]   We will simply say that prayer in unison together, that God, we cry out to you for Direction.
[00:13:08.311 --> 00:13:12.212]  We cry out to you to send us the Holy Spirit to stand against the spirit of evil.
[00:13:12.771 --> 00:13:21.790]   We can't beat Satan as individuals, but together with God, we are infinity more powerful.
[00:13:21.790 --> 00:13:31.531]   So that's what people need to understand, is that I expected this, I've known this,
[00:13:31.531 --> 00:13:35.110]   I've told you forever this was coming, and I've understood.
[00:13:35.110 --> 00:13:45.111]  [BLANK_AUDIO]
[00:13:37.506 --> 00:13:43.928]  The bargain I made and how the Holy Spirit was so honest that you really want to fight tyranny?
[00:13:44.608 --> 00:13:46.328]  You really want to take it on a point-blank range?
[00:13:46.889 --> 00:13:48.469]  You really want to mobilize the people?
[00:13:49.109 --> 00:13:50.510]  You really want to be that person?
[00:13:50.810 --> 00:13:51.690]  And I said, yes.
[00:13:52.290 --> 00:13:55.871]  And I was shown the aftermath and what it would mean for me personally.
[00:13:56.531 --> 00:14:02.233]  And because I'm imperfect and I'm a sinner, my best efforts can still be twisted against me because Satan is the great accuser.
[00:14:02.593 --> 00:14:03.253]  But it doesn't matter.
[00:14:03.393 --> 00:14:04.273]  God knows the heart.
[00:14:05.294 --> 00:14:06.614]  Just as you knew King David's heart.
[00:14:08.809 --> 00:14:14.890]  And so I said yes to that commission more than 25 years ago.
[00:14:14.910 --> 00:14:16.251]  Already been on air a few years.
[00:14:16.271 --> 00:14:21.092]  I remember sitting there in that Waterloo Ice House after a two-hour show I'd done.
[00:14:21.112 --> 00:14:24.792]  I was eating chicken fried steak by myself, drinking an iced tea.
[00:14:26.193 --> 00:14:30.234]  And I just got like to down low while I was sitting there and was like, this is what you decided?
[00:14:30.254 --> 00:14:31.494]  This is what's going to happen?
[00:14:32.014 --> 00:14:32.994]  I'm ready to back you.
[00:14:33.434 --> 00:14:35.675]  You're going to be able to do this, but are you 100% on board?
[00:14:38.547 --> 00:14:38.867]  100% on board.
[00:14:38.887 --> 00:14:40.009]  And I said, yes, sir.
[00:14:41.591 --> 00:14:43.574]  And it's all happened just like God said it would.
[00:14:44.655 --> 00:14:47.979]  God's in control, not the Satanists, and they will pay for what they've done.
[00:14:48.220 --> 00:14:49.201]  But that's a side issue.
[00:14:49.602 --> 00:14:50.964]  We're doing this for the innocent children.
[00:14:51.524 --> 00:14:52.806]  Massive news straight ahead.
[00:14:52.625 --> 00:15:10.865]  Stay with us.
[00:15:10.902 --> 00:15:17.045]  Absolutely susceptible to turning ourselves over to the Great Reset and the Cashless Society now being announced.
[00:15:17.645 --> 00:15:23.327]  ABC News, NBC News, they've all announced again, you will soon take microchips to buy and sell.
[00:15:23.947 --> 00:15:25.428]  That's coming up next segment.
[00:15:25.468 --> 00:15:30.150]  And as I told you two years ago, they would soon be promoting cannibalism as a good thing.
[00:15:30.210 --> 00:15:35.172]  From the New York Times, the Washington Post, the CNN, we have those clips as well.
[00:15:37.014 --> 00:15:38.015]  Let's hit the big issue.
[00:15:38.755 --> 00:15:43.658]  Again, mass death, mass murder, the New World Order, that's the top story.
[00:15:44.058 --> 00:15:52.443]  But if they can silence us and censor the leading lights that are fighting this tyranny, then they can succeed, they believe.
[00:15:54.744 --> 00:15:56.966]  They wouldn't be trying to censor us if we weren't effective.
[00:15:57.833 --> 00:15:58.774]  Look at some of these headlines.
[00:15:58.794 --> 00:16:00.876]  This is from WFYI.
[00:16:01.317 --> 00:16:06.322]  Insurance executive says death rates among working age people up 40%.
[00:16:09.725 --> 00:16:11.206]  Huge, huge numbers.
[00:16:11.307 --> 00:16:16.772]  Insurance group sees death rates up 40% over pre-pandemic levels.
[00:16:16.832 --> 00:16:18.454]  That's been out for eight months now.
[00:16:20.145 --> 00:16:21.526]  Mortality crisis.
[00:16:21.646 --> 00:16:25.290]  Insurers see rise in non-COVID deaths, the biggest in history.
[00:16:25.950 --> 00:16:28.112]  More than what were lost in World War II.
[00:16:28.653 --> 00:16:33.037]  Mortality trends rise among questions for life insurers.
[00:16:33.858 --> 00:16:35.059]  This is mainstream news.
[00:16:35.919 --> 00:16:42.906]  And then there's this local KUSI news with Dr. Kelly Victory, who's a medical doctor.
[00:16:45.288 --> 00:16:54.415]  And she lays out the numbers she's now been censored off of Twitter for daring to talk about it.
[00:16:55.256 --> 00:16:56.156]  That's coming up.
[00:16:56.697 --> 00:17:02.161]  I'm going to read some of the comments, too, on the YouTube video from morticians and others on what they're seeing.
[00:17:02.221 --> 00:17:04.283]  But this is so insane.
[00:17:04.543 --> 00:17:08.146]  It's testing to see if they can kill us, Logan's run style.
[00:17:09.508 --> 00:17:12.169]  Seeing if we'll accept it and just rolling this out.
[00:17:12.629 --> 00:17:17.672]  It's not a vaccine, it's a gene therapy, gets rid of your immune system, causes blood clots, infertility, cancer.
[00:17:17.992 --> 00:17:21.454]  That was in the October 2000 document from the CDC.
[00:17:21.674 --> 00:17:23.515]  They even told you what it would do.
[00:17:24.195 --> 00:17:24.955]  It's satanic.
[00:17:24.975 --> 00:17:27.016]  They've got to post what they're planning.
[00:17:27.136 --> 00:17:38.435]   And if you want to see the censored video, From KUSI, it's posted in the live show feed from today under the live show feed at InfoWars.com.
[00:17:38.756 --> 00:17:53.443]  So take that video and share it because she's put her reputation alive on the line and she's only covering all the mainline admitted insurance actuaries that confirm triple the deaths that we saw in 2020.
[00:17:57.133 --> 00:17:58.938]  20 we've seen in 2021.
[00:17:59.679 --> 00:18:01.303]  And now to 2022.
[00:18:01.825 --> 00:18:02.767]  It's an eight minute report.
[00:18:02.827 --> 00:18:03.809]  Here's just a few minutes of it.
[00:18:05.544 --> 00:18:05.644]  U.S.
[00:18:05.704 --> 00:18:12.966]  life insurance companies have reported an overwhelming and unexplainable increase in all-cause deaths among 18- to 49-year-olds.
[00:18:13.246 --> 00:18:18.507]  Along with that, there's also been an increase in certain medical diagnoses, such as miscarriages and Bell's palsy.
[00:18:19.107 --> 00:18:27.789]  Here to give us her take on the new data and what she believes could be causing the rise in numbers is emergency medicine and disaster specialist, Dr. Kelly Victory.
[00:18:27.909 --> 00:18:29.270]  Dr. Victory, good morning.
[00:18:29.310 --> 00:18:30.390]  Great to talk to you, as always.
[00:18:31.488 --> 00:18:32.369]  Good morning, Jason.
[00:18:32.389 --> 00:18:33.369]  Thanks for having me.
[00:18:33.449 --> 00:18:38.853]  Okay, we want to make sure that anytime we talk, we want to make sure the information that we have is accurate.
[00:18:38.873 --> 00:18:46.919]  So let's start this interview by telling us, I've seen your correspondence here, what is the source of the information that you're about to present?
[00:18:48.300 --> 00:19:02.968]  Well, this information became available to me or on my radar last week following a hearing with Senator Ron Johnson, who was looking at sort of what he calls a second opinion on the entire response to the COVID pandemic.
[00:19:03.628 --> 00:19:19.419]  The medical data was released by three career military physicians who got the information from the military database that collects what we call ICD codes, which are the diagnosis codes.
[00:19:19.879 --> 00:19:29.065]  And these physicians had a feeling, they believed based on their own observation, that they were seeing a significant uptick in certain conditions.
[00:19:29.466 --> 00:19:41.310]   So they actually went back and culled the database from the conditions over a five-year period from 2016 through 2020,
[00:19:41.310 --> 00:19:50.661]   notably containing one year, 2020, of the full-blown pandemic.
[00:19:48.947 --> 00:20:01.232]  So they looked at 2016, 17, 18, 19, and 20 at the prevalence of certain conditions including things like heart attack, blood clots to the lung, miscarriages, those sorts of things.
[00:20:01.351 --> 00:20:08.011]   and they compared it to the incidence of those same things in the calendar year 2021,
[00:20:08.011 --> 00:20:11.851]  and saw an alarming increase in certain things.
[00:20:11.851 --> 00:20:19.131]   For example, they saw a 270% increase in myocardial infarction in 2021,
[00:20:19.131 --> 00:20:25.831]   a 300% increase in incidence of Bell's palsy and of certain neurologic complaints,
[00:20:25.831 --> 00:20:32.351]   a 470% increase in pulmonary embolisms, blood clots to the lungs,
[00:20:32.351 --> 00:20:37.210]   and many, many other huge increases that they found alarming.
[00:20:37.742 --> 00:20:50.834]  Now, no one is saying with any certainty, Jason, what is causing this, but we certainly would be remiss as scientists if we didn't look at that and say, there is something going on.
[00:20:51.214 --> 00:21:03.266]  What happened in 2021 that was so different from the previous five-year average that would cause this massive increase in certain medical conditions?
[00:21:04.082 --> 00:21:06.664]  And again, you can go to the CDC's own website in October.
[00:21:06.724 --> 00:21:07.625]  It's still on their site.
[00:21:08.245 --> 00:21:10.767]  Two years ago, 2020, they predicted it all.
[00:21:11.248 --> 00:21:12.329]  So let's go over some of this.
[00:21:12.349 --> 00:21:15.091]  Look at the comments on YouTube and what people had to say.
[00:21:15.531 --> 00:21:18.573]  Her Twitter account has been suspended, which means she's 100% telling the truth.
[00:21:18.934 --> 00:21:21.956]  The only reason to silence someone is because you fear the truth.
[00:21:22.717 --> 00:21:24.058]  Continues Philip Paulson.
[00:21:24.358 --> 00:21:28.181]  When exposing a crime is treated as committing a crime, you're being ruled by criminals.
[00:21:28.581 --> 00:21:29.102]  Edward Snowden.
[00:21:30.069 --> 00:21:30.649]  Black Sun.
[00:21:31.049 --> 00:21:32.510]  The doctor should be all over the media.
[00:21:32.970 --> 00:21:34.650]  She is to be commended.
[00:21:34.670 --> 00:21:35.471]  Another one.
[00:21:35.531 --> 00:21:41.472]  She raises a good point about people reacting to inquisitiveness about the sudden spike.
[00:21:41.973 --> 00:21:43.033]  Asking what's going on.
[00:21:43.433 --> 00:21:46.014]  Some people would rather attack her than hear her.
[00:21:46.354 --> 00:21:49.595]  And those people can fuse and worry me to no end.
[00:21:50.275 --> 00:21:59.437]   As a funeral director, says funeral director EJ, I can tell you that we did have many more deaths in our location in 2021 than 2000.
[00:22:00.377 --> 00:22:02.538]  And it goes on and on.
[00:22:02.978 --> 00:22:18.321]  They're trying to silence military doctors, this AI technology they have, calling for whistleblowers and conspiracy theorists, which in the past we'd call good doctor scientists, who recognize patterns, question all aspects, and speak up when the data is collected.
[00:22:18.821 --> 00:22:19.862]  And it goes on and on, folks.
[00:22:19.882 --> 00:22:21.822]  You got to read every comment, every comment.
[00:22:22.162 --> 00:22:23.844]  I read over 100 today, is awake.
[00:22:24.365 --> 00:22:26.007]  The globalists are in trouble, we're winning.
[00:22:26.347 --> 00:22:31.353]  But usually the crew can pull it up, and it's not their fault, I just called for it real fast.
[00:22:31.854 --> 00:22:32.655]  There it is, they found it!
[00:22:33.536 --> 00:22:34.957]  That's on the CDC website.
[00:22:35.478 --> 00:22:37.400]  FDA COVID-19 vaccine safety...
[00:22:38.342 --> 00:22:42.704]  Surveillance planning and what they predict would happen.
[00:22:43.084 --> 00:22:49.306]  And they go on in the document to talk about adverse reactions and what they predict.
[00:22:49.787 --> 00:22:55.289]  Heart attacks, myocarditis, blood clots, cancer, autoimmune disease.
[00:22:56.820 --> 00:23:01.222]  Guillain-Barre, narcolepsy, stroke, which has all happened!
[00:23:01.823 --> 00:23:09.767]  And we have the senior scientist who retired a year before this started, Dr. Michael Yeadon at Pfizer, predicting it all in lawsuits he filed two years ago!
[00:23:11.268 --> 00:23:14.570]  This is a smoking gun, and this is why they want us silenced.
[00:23:16.471 --> 00:23:19.692]  Because we're telling you the truth, we won't stand by while they kill little babies.
[00:23:20.993 --> 00:23:22.354]  Record deaths in little babies.
[00:23:24.144 --> 00:23:30.469]  Now taking the so-called vaccine, and all the fools that serve the system for power thinking they're getting ahead of everything doing this.
[00:23:30.989 --> 00:23:37.259]   We're going to cover the economic collapse by design, this new Senate legislation that just passed into the House, and
[00:23:37.259 --> 00:23:42.489]   more, and how the media is openly promoting cannibalism as we predicted coming up.
[00:23:42.489 --> 00:23:52.489]  [Music]
[00:23:52.489 --> 00:23:57.489]  You are listening to an InfoWars.com Frontline Report.
[00:23:57.163 --> 00:23:59.163]  It's Alex Jones.
[00:23:59.163 --> 00:24:17.663]   At a 2019 food conference, where topics included whether humans were too selfish to live sustainably,
[00:24:17.663 --> 00:24:23.663]   an economist suggested cannibalism could be a viable solution for climate change,
[00:24:24.462 --> 00:24:28.063]  and that we could start off by eating our pets.
[00:24:28.172 --> 00:24:41.900]  School of Economics professor Magnus Söderlund says that eating human meat from the dead might help save the human race, and that we could overcome the taboos against eating each other by simply trying it out.
[00:24:42.721 --> 00:24:56.869]  And today, a new company is boasting their lab-grown artisanal salami derived from human flesh, and several articles normalizing cannibalism have recently been published by the mainstream media.
[00:24:57.809 --> 00:25:15.556]  The Wikipedia page leads with the benefits of cannibalism, where it says, in environments where food availability is constrained, individuals can receive extra nutrition and energy if they use other con-specific individuals as an additional food source.
[00:25:16.196 --> 00:25:25.365]  This would in turn increase the survival rate of the cannibal and thus provide an evolutionary advantage in environments where food is scarce.
[00:25:26.366 --> 00:25:33.533]  This may be true when there are no other food options, but when there are, it is never favorable for any species.
[00:25:34.093 --> 00:25:47.288]  Cannibals are at risk of related diseases, such as Kuru disease, similar to mad cow disease, a neurological prion disease caused by cannibalistic consumption.
[00:25:48.269 --> 00:25:53.616]  And when there are other food options, cannibalism will always be the most challenging.
[00:25:54.336 --> 00:26:03.781]  Studies show that cannibals tend to eat the young because it is the easiest, and they tend to hunt outside their own gene pool as a way of decreasing the competition.
[00:26:04.421 --> 00:26:12.946]  Cannibals are constantly at war with their own species, and animals have evolved various protections against this barbarism.
[00:26:13.966 --> 00:26:17.268]  Cannibalism is the ultimate expression of barbarism.
[00:26:18.049 --> 00:26:32.083]   The absence of civilization and culture, extreme cruelty, One could argue that the whole purpose of civilization is to increase the amount of food available to keep humanity from turning to cannibalism.
[00:26:32.704 --> 00:26:36.907]  Because who on earth wants barbarism over civility and compassion?
[00:26:37.688 --> 00:26:42.391]  The New York Times published a piece entitled, A Taste for Cannibalism?
[00:26:43.052 --> 00:26:48.012]   And they promoted it by tweeting, "Cannibalism has a time and a place.
[00:26:48.012 --> 00:26:54.491]   Some recent books, films, and shows suggest that the time is now."
[00:26:54.491 --> 00:27:00.212]   The article promotes a list of recent movies and shows about cannibalism, suggesting that
[00:27:00.212 --> 00:27:07.251]   perhaps we should all take the cue and give it a go, as if pop culture decides the destiny
[00:27:07.251 --> 00:27:08.972]  of mankind.
[00:27:08.990 --> 00:27:09.951]  And maybe it does.
[00:27:10.791 --> 00:27:21.298]  There is definitely a herd mentality that finds comfort in blind obedience, and will do whatever they are told by the authoritative state emerging from the shadows.
[00:27:22.159 --> 00:27:25.821]  And the mainstream narrative is now normalizing cannibalism.
[00:27:26.622 --> 00:27:30.644]  So that's what is coming if we continue accepting their offers.
[00:27:31.385 --> 00:27:35.667]  It will be like the film Soylent Green, which was set in 2022.
[00:27:35.888 --> 00:27:45.754]  Or like the film Cloud Atlas, wherein a dystopian government processes the dead into food to feed the wretched masses.
[00:27:47.575 --> 00:27:50.375]  Reporting for InfoWars, this is Greg Reese.
[00:27:50.375 --> 00:28:00.334]   Ladies and gentlemen, two years ago I did the eat my neighbors rant.
[00:28:00.653 --> 00:28:03.294]  And I said, as they collapse society, they're going to promote cannibalism.
[00:28:03.314 --> 00:28:04.995]  Because I know their plan.
[00:28:05.756 --> 00:28:07.656]  I made films off their own documents.
[00:28:09.017 --> 00:28:10.738]  And now here we are in the year 2022.
[00:28:10.778 --> 00:28:16.260]  See all of Greg Reese's incredible reports at band.video.
[00:28:18.723 --> 00:28:19.963]  And Infowars.com.
[00:28:20.684 --> 00:28:23.665]  So let's put the full show headline up if we can for viewers right now.
[00:28:24.245 --> 00:28:27.006]  I'll read it for radio listeners, but that's where we are.
[00:28:27.066 --> 00:28:29.067]  They want you to accept pedophilia.
[00:28:29.087 --> 00:28:31.367]  They want you to accept owning nothing, having nothing.
[00:28:31.387 --> 00:28:37.650]  They want you to accept eating bugs and all of this to get you to give up on your life force and common sense.
[00:28:38.730 --> 00:28:39.530]  Sunday Live!
[00:28:40.191 --> 00:28:46.813]  Dems ram through massive spending bill, weaponizing IRS against middle class and imposing great reset measures.
