[00:00:00.169 --> 00:00:06.313]  China and the globalists will roll out the next phase of COVID hysteria ahead of new lockdowns.
[00:04:22.506 --> 00:04:33.076]  In the first 20 minutes, he spent hammering me for believing in an imaginary new world order and global government and that I want to be violent and overthrow people.
[00:04:35.123 --> 00:04:45.791]  Which goes with the whole January 6th narrative and how they're trying to brand any political opposition as violent to what they're doing, but all the Democrat violence is mostly peaceful.
[00:04:45.811 --> 00:04:56.097]   And Kamala Harris bailing out rioters and looters and people trying to burn down the federal courthouse in Oregon, they're in Portland, that's all okay as well.
[00:04:56.237 --> 00:04:57.638]  Now I'm going to segue out of that.
[00:04:57.658 --> 00:05:06.602]  I'm just pointing out how we have global government up here and we have their prosecutors now with lawfare trying to shut down our free speech at the grassroots level.
[00:05:07.963 --> 00:05:11.365]  And that's so we cannot oppose the worldwide biomedical tyranny.
[00:05:13.024 --> 00:05:25.729]  That is the basis of the World ID, the World Social Credit Score, the World Carbon Tax that they admit is now being rolled out on a planetary scale under the auspices of the vaccine passport.
[00:05:26.230 --> 00:05:30.391]  So there's a big article from Zero Hedge up on InfoWars.com.
[00:05:30.852 --> 00:05:35.874]  And I'm a Zero Hedge fan, but sometimes they have articles that are quite frankly establishment.
[00:05:36.394 --> 00:05:48.820]   And so I saw this story pop up on our site today and I just wanted to respond to it because Really what it should say is China and the globalists will roll out the next phase of COVID hysteria ahead of new lockdowns.
[00:05:49.480 --> 00:05:54.503]  And we know Fauci and Gates and others have said, oh, look in the fall for it to be back in new lockdowns.
[00:05:54.983 --> 00:05:59.185]  The head health minister in Canada came out a month ago and again yesterday said the same thing.
[00:05:59.225 --> 00:06:04.588]  So they're clearly pre-programming and preparing everyone for this.
[00:06:05.869 --> 00:06:09.931]  And last time, 26 months ago, they started the hysteria in China.
[00:06:11.204 --> 00:06:22.088]  And now, we're doing it again, and Xi is working closely with Bill Gates and the Globalist on record to coordinate and choreograph this whole rollout.
[00:06:23.008 --> 00:06:26.490]  So the Zero Hedge article is like, oh, Xi's having trouble.
[00:06:26.530 --> 00:06:33.132]  He tried to save everybody from the COVID, but it just got out of control.
[00:06:33.192 --> 00:06:34.492]  His martial law didn't work.
[00:06:34.532 --> 00:06:35.513]  What is he going to do?
[00:06:35.853 --> 00:06:38.254]  He's not going to have a zero COVID policy now.
[00:06:38.934 --> 00:06:53.657]  Well, it's acting like he failed with martial law and failed with people kneeling and being scanned and failed with the robots and drones flying around and failed with people being welded into their homes and electric fences being put up around their houses so they couldn't get out.
[00:06:54.038 --> 00:06:59.739]  All this dystopic martial law rollout for China and the world is not a failure of Xi.
[00:07:01.149 --> 00:07:12.013]  It's showing them the pretext and the excuse and showing the world how the police state's supposed to work with all of our media pointing at it and saying, look, that's what we need here.
[00:07:12.373 --> 00:07:13.874]  That's what they do in communist China.
[00:07:14.234 --> 00:07:15.975]  That's what they do in authoritarian Australia.
[00:07:16.835 --> 00:07:22.758]  But it's all part of the Build Back Better, Davos group, globalist cult that's coordinating this whole thing with China.
[00:07:23.258 --> 00:07:31.922]  So President Xi faces an impossible dilemma in Shanghai as COVID outbreak worsens despite the COVID lockdown.
[00:07:32.802 --> 00:07:53.545]  In the span of just over a week, the CCP authorities have gone from denying plans for a citywide lockdown of Shanghai to announcing what was supposed to be a two-part staggered lockdown to simply locking down the entire city and sitting in the military and a contingent of medical workers as locals accused the government of violating its social compact to put the people's interests first.
[00:07:54.225 --> 00:08:03.109]  Now the entire city of roughly 26 million faces what's already shaping up to be the most punishing lockdowns in China since the original three-month Wuhan lockdown nightmare.
[00:08:03.589 --> 00:08:04.630]  And then it just goes on.
[00:08:06.230 --> 00:08:25.330]   They've got 9,000 asymptomatic cases meaning they're not even sick but we just have to have the image like out of a zombie apocalypse of thousands of government vans going in into huge identical tower blocks and taking everyone to giant Garbage Rat-Filled Quarantine Centers.
[00:08:25.871 --> 00:08:37.339]  I mean, this is dystopic garbage because Xi is getting ready for the global financial collapse that they are orchestrating to bring in the new global currency, that is programmable tokens.
[00:08:39.020 --> 00:08:44.563]  He's working in concert with the Davos Group, with Bill Gates and the most hardcore group inside the New World Order.
[00:08:44.623 --> 00:08:47.305]  This is their exact plan.
[00:08:47.765 --> 00:08:55.549]  And that's why they want us off air, because they know we're raising the alarm and a lot of thought leaders are listening to us and checking out what we're saying and learning it's true.
[00:08:55.609 --> 00:08:59.691]  So let's not buy in to this new, oh my gosh, there's a lockdown in China.
[00:08:59.831 --> 00:09:02.213]  Oh, there's a new variant of Delta.
[00:09:02.253 --> 00:09:02.973]  It's coming out.
[00:09:03.053 --> 00:09:08.176]  Let's hammer that it came out of a lab with Fauci and the Chinese and Gates and Daszak.
[00:09:08.616 --> 00:09:18.961]  That it is weaponized, that they did release it, and now they've given us a vaccine that creates the same thing on our body and erases our immune system so that future viruses can kill us much, much easier.
[00:09:19.342 --> 00:09:22.964]  That is what's happening, is martial law through the medical system.
[00:09:23.324 --> 00:09:25.245]  A bio-medical tyranny.
[00:09:26.005 --> 00:09:26.806]  We're going to go to break.
[00:09:26.986 --> 00:09:28.587]  Your guest hosts are going to take back over.
[00:09:28.607 --> 00:09:35.974]  I want to thank you all for your support, and I want to encourage you to be more vocal than you've ever been now, because this is the season of awakening.
[00:09:36.294 --> 00:09:44.501]  This is the season when the globalists are making their move against humanity, and people are really receptive to the truth right now.
[00:09:44.782 --> 00:09:46.083]  So don't let them gaslight you.
[00:09:46.363 --> 00:09:51.708]  Don't let them tell you that there's not a new world order, not a global government, while they also announce it out of the other side of their mouth.
[00:09:51.827 --> 00:09:57.067]   call them out on it and just move forward and keep raising the alarm in a peaceful way,
[00:09:57.067 --> 00:09:58.067]  Paul Reveres.
[00:09:58.067 --> 00:10:00.106]  God bless and good luck.
[00:10:00.106 --> 00:10:05.506]   So far, it's corporations and governments collecting data about where we go, who we
[00:10:05.506 --> 00:10:08.247]  meet, what movies we watch.
[00:10:08.247 --> 00:10:12.666]  The next phase is the surveillance going under our skin.
[00:10:12.667 --> 00:10:28.262]  The whole idea that humans have, you know, they have this soul or spirit and they have free will and nobody knows what's happening inside me, so whatever I choose, whether in the election or whether in the supermarket, this is my free will, that's over.
[00:10:28.542 --> 00:10:32.686]  We have the technology to hack human beings on a massive scale.
[00:10:32.866 --> 00:10:40.433]  New surveillance technologies that are now deployed just to deal with this coronavirus outbreak.
[00:10:40.934 --> 00:10:48.020]  When it's over, some governments may say, yes, but there is a second wave of corona coming, so we have to be prepared.
[00:10:48.360 --> 00:10:50.803]  And there is Ebola, and there is also regular flu.
[00:10:51.163 --> 00:10:59.180]   Why not protect people against that too with this new surveillance Uh, indefinitely.
[00:10:59.521 --> 00:11:03.842]  Also, it's the moment when surveillance goes really under the skin.
[00:11:04.562 --> 00:11:12.325]  Governments are now not just interested in where we go and who we meet, but even in what's happening inside our bodies.
[00:11:12.505 --> 00:11:14.466]  And now's the time when things are shifting.
[00:11:14.486 --> 00:11:17.007]  There's going to be a new world order out there.
[00:11:17.527 --> 00:11:18.568]  And we've got to lead it.
[00:11:18.687 --> 00:11:21.408]   And we've got to unite the rest of the free world in doing it.
[00:11:21.408 --> 00:11:26.847]  [Explosion]
[00:11:27.327 --> 00:11:35.726]  [Music]
[00:11:35.886 --> 00:11:41.087]   If you're not doing everything you can to boost your body's natural defenses,
[00:11:41.087 --> 00:11:44.927]  your God-given immune system, you are insane.
[00:11:45.089 --> 00:11:49.590]  Now, I've been selling high quality supplements for over a decade that boost your immune system.
[00:11:49.890 --> 00:11:55.671]  Vitamin D of the highest quality, and of course, the best quality you're going to find out there from iodine.
[00:11:56.172 --> 00:11:57.372]  All of that boosts your immune system.
[00:11:57.932 --> 00:12:14.016]  But a couple years ago, I set out with top developers to come out with a concentrated herbal tincture that's been cold pressed that has the very best herbs that God gave us through Mother Nature's medicine chest to supercharge our immune systems.
[00:12:14.516 --> 00:12:22.539]  Ladies and gentlemen, two years in the making, InfoWars Life, immune support is now in stock and out of the gates, it is 25% off.
[00:12:23.758 --> 00:12:28.838]   and your purchase of this product funds the InfoWAR at such a critical juncture as the
[00:12:28.838 --> 00:12:31.118]  global awakening explodes.
[00:12:31.118 --> 00:12:36.478]   So go to InfoWARStore.com today and get this product 25% off and take it every morning
[00:12:36.478 --> 00:12:40.797]   when you get up and every evening when you go to sleep and all the studies show these
[00:12:40.797 --> 00:12:46.078]   compounds will turbocharge your immune system in a natural and healthy way.
[00:12:46.078 --> 00:12:52.477]   Elderberry concentrate, Echinacea concentrate, Astragalus root concentrate, Angelica root
[00:12:52.477 --> 00:12:58.718]  concentrate, Lomatium root concentrate, and so much more.
[00:12:57.150 --> 00:13:06.497]  This is a game changer, ladies and gentlemen, and with Winter Sun and X2 and X3, it will take your immune system to the next level, and it will fund the InfoWar.
[00:13:06.597 --> 00:13:07.658]  A true 360 win.
[00:13:09.739 --> 00:13:12.360]  This is a non-zero-sum game, ladies and gentlemen.
[00:13:12.640 --> 00:13:19.943]  The only way you fail, the only way you lose, is not supporting the broadcast while you get a product that supports your immune system.
[00:13:20.363 --> 00:13:27.125]  Immune support from InfoWars Life, exclusively available at InfoWarsStore.com or by calling toll-free, 888-253-3139.
[00:13:27.485 --> 00:13:32.607]  Follow the link below if you're at Bandop Video and get yours today.
