[00:00:00.290 --> 00:00:00.791]  It's here.
[00:04:37.850 --> 00:04:43.454]  I want to recognize that, and on behalf of all Canadians, I want to thank you for your strength.
[00:04:46.336 --> 00:04:55.483]  This is a guy that said, right after he got elected a few years ago, the first time, he stole the last election, evidence is overwhelming, that he wanted a dictatorship like China, and that's what he admires.
[00:04:56.744 --> 00:04:59.225]  He's made all these other statements about how you shouldn't have free speech.
[00:05:00.767 --> 00:05:06.471]  And so, the long, dark night for Canada begins.
[00:05:07.601 --> 00:05:25.369]  Even people that I've known for decades that I would call liberals 20 years ago, like Joe Rogan, are now 100% pro-Second Amendment, and they get that when you take the guns from the general public, only the state and the criminals have them, and horrors invariably follow.
[00:05:26.109 --> 00:05:28.751]  Most of the crime in this country is in Democrat-run blue cities.
[00:05:28.791 --> 00:05:31.072]  We know it's three to five times on average.
[00:05:31.963 --> 00:05:32.664]  Any other area.
[00:05:33.324 --> 00:05:34.505]  That's the same thing in Canada.
[00:05:35.206 --> 00:05:39.469]  In the cities, you have a bunch of disarmed sheep and criminals running around feeding on them.
[00:05:39.830 --> 00:05:42.612]  In the rural areas, almost no crime because people are still armed.
[00:05:43.232 --> 00:05:44.133]  But not for long.
[00:05:44.373 --> 00:05:45.634]  They follow an exact formula.
[00:05:46.035 --> 00:05:49.498]  Let's go out to break with Joe Rogan laying out the basic facts we all know.
[00:05:51.451 --> 00:05:55.915]  I wrote this thing once that I said this country has a mental health problem disguised as a gun problem.
[00:05:56.895 --> 00:05:57.936]  And that's what it is.
[00:05:59.097 --> 00:06:00.658]  There's so many guns.
[00:06:01.199 --> 00:06:02.540]  There's more guns than there are people.
[00:06:02.740 --> 00:06:04.962]  I don't think it's a gun situation.
[00:06:05.422 --> 00:06:11.527]  And I don't think you can change the fact that there's... And I don't think it's wise to take the guns away from the people and leave all the power to the government.
[00:06:11.567 --> 00:06:14.149]  We see how they are even with an armed populace.
[00:06:14.709 --> 00:06:19.709]  they still have a tendency towards totalitarianism.
[00:06:19.709 --> 00:06:22.908]   And the more increased power and control you have over people,
[00:06:22.908 --> 00:06:25.149]  the easier it is for them to do what they do.
[00:06:25.149 --> 00:06:27.709]   And it's a natural inclination when you are a person in power
[00:06:27.709 --> 00:06:30.669]  to try to hold more power and acquire more power.
[00:06:30.669 --> 00:06:34.669]   And it's never, there's never an inclination to give more power back to the people,
[00:06:34.669 --> 00:06:36.669]  to give more freedoms back to the people.
[00:06:36.669 --> 00:06:38.928]  Freedoms lost are rarely regained.
[00:06:38.928 --> 00:06:42.789]  Perfectly said, common sense, and it's spreading fast.
[00:06:42.815 --> 00:06:43.196]  Stay with us.
[00:06:43.976 --> 00:06:58.828]  Trudeau's father, who was also the leader of Canada at one point, said that he admired Fidel Castro and Mao Zedong, and traveled there to be taught at the knee of Mao Zedong.
[00:06:59.909 --> 00:07:04.544]   And his son, when he was first getting elected, He clearly stole the last election.
[00:07:04.584 --> 00:07:08.746]  Trudeau said that he admires dictatorship in government.
[00:07:09.046 --> 00:07:10.646]  When asked, what do you admire most?
[00:07:11.387 --> 00:07:12.207]  He wasn't joking.
[00:07:12.247 --> 00:07:17.509]  He said, I admire China's basic dictatorship.
[00:07:18.010 --> 00:07:27.894]  And that's why you see Canada mirroring much of what communist China has done in the last 30 months with the whole COVID power grab working through the World Economic Forum.
[00:07:28.374 --> 00:07:29.555]  And that's what's most important.
[00:07:31.274 --> 00:07:51.143]  Klaus Schwab has openly said, we've played the clips here, that Trudeau is the model of the World Economic Forum's quote, penetration of governments, and that they control half the cabinets of the world's governments.
[00:07:52.623 --> 00:08:01.316]   And then in some cases even more, where they totally control it, in the case of The Canadian government.
[00:08:02.837 --> 00:08:15.267]  The Deputy Prime Minister is the same lady that's on the board of the World Economic Forum and has been announcing plans for censorship, gun confiscation, you name it.
[00:08:15.287 --> 00:08:26.875]  And that's why Trudeau has now come out and said, we're freezing all handgun sales and all sales of firearms that can hold more than five rounds of ammunition.
[00:08:27.884 --> 00:08:37.231]  That's the exact blueprint of the UK 30 years ago taking the guns, the exact blueprint of Australia 20 years ago, and New Zealand 20 years ago taking the guns.
[00:08:38.252 --> 00:08:50.202]  First they ban the sale, then they register everything, then they ban everything down to single-shot rifles that you've got to have special licenses for if you live on a farm.
[00:08:52.163 --> 00:08:57.400]   Of course, Mexico has a crime rate Three to five times or even higher in some areas of the U.S.
[00:08:58.180 --> 00:09:01.583]  They have a total gun ban for their citizens, though their citizens still secretly own guns.
[00:09:02.243 --> 00:09:11.069]  Those are some of the only areas that are pretty low in crime is in rural areas, where the local farmers band together and stand up against the cartels and the corrupt governments.
[00:09:13.131 --> 00:09:18.294]  So it's here, and GhostGuns.com on Twitter put together a nice little boil down.
[00:09:19.815 --> 00:09:21.417]  Mass shootings are tragedies.
[00:09:21.837 --> 00:09:25.249]   Do not fall for their Quote, solutions.
[00:09:26.070 --> 00:09:28.151]  Number of people killed by gun violence.
[00:09:28.211 --> 00:09:29.711]  Virginia Tech, 33.
[00:09:31.312 --> 00:09:36.674]  Number killed by communist violence after gun confiscation in China, 65 million.
[00:09:37.414 --> 00:09:38.314]  Sandy Hook, 28.
[00:09:39.275 --> 00:09:42.256]  Russia, after government confiscates guns, 25 million.
[00:09:42.276 --> 00:09:42.456]  Uvalde, 22.
[00:09:42.516 --> 00:09:44.297]  Cambodia, 2 million.
[00:09:48.735 --> 00:09:49.035]  U.T.
[00:09:49.055 --> 00:09:49.435]  Tower, 18.
[00:09:50.576 --> 00:09:51.996]  North Korea, 2 million.
[00:09:52.537 --> 00:09:52.997]  Parkland, 17.
[00:09:53.257 --> 00:09:55.458]  Ethiopia, 1.7 million.
[00:09:56.198 --> 00:09:58.899]  Columbia, Columbine, 15.
[00:09:58.939 --> 00:10:01.420]  Afghanistan, 1.5 million.
[00:10:01.440 --> 00:10:01.760]  Santa Fe, 10.
[00:10:01.659 --> 00:10:09.578]   Afghanistan 1.5 million, Santa Fe 10, Eastern Block 1 million.
[00:10:09.578 --> 00:10:13.219]  And it goes on with what happens after the guns are confiscated.
[00:10:13.219 --> 00:10:19.100]   And that is a very conservative analysis of this, but it's true.
[00:10:19.103 --> 00:10:34.829]  And that's exactly what Joe Rogan and myself and anybody else that's being honest is saying, is that you have a corrupt system that wants to defund the police, that wants to take your guns while they have security out the yin-yang and own guns themselves.
[00:10:35.785 --> 00:10:37.587]  This is their desire for tyranny.
[00:10:37.607 --> 00:10:41.931]  And remember, Trudeau said, you're not allowed to have your protest, they're terrorists.
[00:10:42.952 --> 00:10:47.616]  And he made all these statements about how he's signing everybody onto Agenda 2030 to cut off the carbon.
[00:10:48.276 --> 00:10:51.880]  He made all these announcements about, you don't own your body and we're going to make you take these shots.
[00:10:53.121 --> 00:10:55.963]  And wouldn't let Canadians travel outside their country, even if they had.
[00:10:56.736 --> 00:10:58.736]  Had the shots that don't work.
[00:10:58.736 --> 00:11:01.736]  And then his basic dictatorship comments.
[00:11:01.736 --> 00:11:03.736]  They're trying to find it.
[00:11:03.736 --> 00:11:06.736]   We played a compilation back during the whole trucker strike
[00:11:06.736 --> 00:11:10.736]   that just had some of the insane things that this guy had to say.
[00:11:10.736 --> 00:11:16.736]   But you ask, why do they sound like a cartoon character from a cartoon depicting a dictator?
[00:11:17.255 --> 00:11:18.876]  Why does this read like 1984?
[00:11:19.496 --> 00:11:25.519]  Because it's happened lots of other times in history, and tyrannies are more common than free nations.
[00:11:26.259 --> 00:11:28.060]  That's why America was so special.
[00:11:28.720 --> 00:11:29.501]  A lot of people came here.
[00:11:29.521 --> 00:11:34.845]  Everybody else in the world lusted after freedom because they never had a shot at it.
[00:11:35.185 --> 00:11:36.226]  No economic freedom.
[00:11:36.566 --> 00:11:37.747]  No freedom of mobility.
[00:11:38.207 --> 00:11:39.648]  No freedom to choose their own career.
[00:11:39.969 --> 00:11:41.310]  No freedom to defend themselves.
[00:11:43.231 --> 00:11:47.314]  A corrupt bureaucracies ruling over the people.
[00:11:47.414 --> 00:11:48.015]  Feudalism.
[00:11:51.337 --> 00:12:16.152]   And now that entire The system that our ancestors have been fighting for, Europeans particularly, since Magna Carta in 1215, and common law paid for in blood so that you would have basic rights, is all being flushed down the toilet very quickly, and rights taken are seldom regained or returned.
[00:12:16.671 --> 00:12:24.031]  That is a well-known maxim.
[00:12:24.031 --> 00:12:27.471]  Rights lost are seldom regained.
[00:12:27.471 --> 00:12:33.550]  And we have a racing to the finish line by these tyrants.
[00:12:33.717 --> 00:12:50.045]  A racing to the finish line to bring in a world ID that will track and control and monitor and tell you what you can buy and what you can't buy with programmable money and a social credit score and a universal basic income because we're being made obsolete.
[00:12:50.325 --> 00:12:53.087]  And they admit the plan is to lock you in your house.
[00:12:54.813 --> 00:12:57.035]  And make you live and work through the metaverse.
[00:12:58.336 --> 00:13:03.761]  They're pushing humans out of the workplace to bring in robots for control, not as an innovation.
[00:13:05.062 --> 00:13:07.965]  Here's some of what the dictator, because he clearly stole the election up there.
[00:13:09.506 --> 00:13:12.529]  Probably got elected the first time, but the evidence is overwhelming, stole the second one.
[00:13:13.590 --> 00:13:16.412]  That snap election last year during the whole, quote, pandemic.
[00:13:17.213 --> 00:13:17.913]  The plan-demic.
[00:13:18.353 --> 00:13:22.353]  So here's some of the dictator to the north.
[00:13:22.353 --> 00:13:29.353]  [Music]
[00:13:29.353 --> 00:13:37.353]   The small fringe minority of people who are on their way to Ottawa
[00:13:37.353 --> 00:13:43.353]   or who are holding unacceptable views that they're expressing.
[00:13:43.353 --> 00:13:45.933]  (upbeat music)
[00:13:44.984 --> 00:14:02.819]  Do not represent the views of Canadians who have been there for each other, who know that following the science and stepping up to protect each other is the best way to continue to ensure our freedoms, our rights, our values as a country.
[00:14:03.020 --> 00:14:09.885]  We are not intimidated by those who hurl insults and abuse at small business workers.
[00:14:10.874 --> 00:14:13.475]  And steal food from the homeless.
[00:14:14.455 --> 00:14:18.416]  We won't give in to those who fly racist flags.
[00:14:19.376 --> 00:14:26.317]  We won't cave to those who engage in vandalism or dishonor the memory of our veterans.
[00:14:26.917 --> 00:14:30.958]  So to those responsible for this behavior, it needs to stop.
[00:14:31.258 --> 00:14:49.175]   The level of admiration I actually have for China Because their, you know, basic dictatorship is allowing them to actually turn their economy around on a dime and say we need to go green as fast as we need to start, you know, investing in solar.
[00:14:49.195 --> 00:14:55.279]  I mean, there is a flexibility that I know Stephen Harper must dream about of having a dictatorship that he could do everything he wanted.
[00:14:55.299 --> 00:14:58.181]  That I find quite interesting.
[00:14:58.761 --> 00:15:11.790]  Regardless of the fact that we are attacking your fundamental rights or limiting your fundamental rights, and the Charter says that was wrong, we're still going to go ahead and do with it.
[00:15:12.571 --> 00:15:24.540]  The federal government has invoked the Emergencies Act to supplement provincial and territorial capacity to address the blockades and occupations.
[00:15:24.820 --> 00:15:26.001]  We went after the funding.
[00:15:27.026 --> 00:15:30.707]  Our efforts combined with the city's efforts eliminated the GoFundMe.
[00:15:31.287 --> 00:15:34.628]  Ten million dollars are no longer accessible to the demonstrators.
[00:15:35.088 --> 00:15:44.730]  There are other funding avenues that we continue to aggressively go after through intelligence, information, coordination with financial institutions, and all three levels of government.
[00:15:44.850 --> 00:15:51.092]  We are broadening the scope of Canada's anti-money laundering and terrorist financing rules.
[00:15:51.932 --> 00:15:58.017]  So that they cover crowdfunding platforms and the payment service providers they use.
[00:15:58.177 --> 00:16:03.200]  We will be relentless in pursuing the funding that has enabled this demonstration to continue to this point.
[00:16:03.641 --> 00:16:11.627]  These changes cover all forms of transactions including digital assets such as cryptocurrencies.
[00:16:12.387 --> 00:16:13.508]  I want to be very clear.
[00:16:14.489 --> 00:16:27.742]  The scope of these measures will be time-limited, geographically targeted, as well as reasonable and proportionate to the threats they are meant to address.
[00:16:28.703 --> 00:16:37.070]  The Emergencies Act will be used to strengthen and support law enforcement agencies at all levels across the country.
[00:16:37.971 --> 00:16:46.785]  This is about keeping Canadians safe, protecting people's jobs, and restoring confidence in our institutions.
[00:16:47.426 --> 00:16:47.966]  As of today.
[00:16:49.045 --> 00:16:59.390]  A bank or other financial service provider will be able to immediately freeze or suspend an account without a court order.
[00:16:59.710 --> 00:17:02.712]  Justin Trudeau, I mean, I thought he was kind of a cool guy.
[00:17:02.732 --> 00:17:05.273]  And I started to read what he said.
[00:17:05.814 --> 00:17:07.034]  This is a couple of weeks ago.
[00:17:07.114 --> 00:17:11.917]  He was or maybe this is September, but he was talking about people who are not vaccinated.
[00:17:13.072 --> 00:17:14.533]  He said, they don't believe in science.
[00:17:14.573 --> 00:17:16.735]  They're often misogynistic, often racist.
[00:17:16.956 --> 00:17:17.616]  No, they're not.
[00:17:17.696 --> 00:17:19.398]  That was not smart of him at all.
[00:17:19.478 --> 00:17:19.758]  Right.
[00:17:19.798 --> 00:17:21.840]  He said, but they take up space.
[00:17:23.141 --> 00:17:26.724]  And with that, we have to make a choice in terms of a leader as a country.
[00:17:27.145 --> 00:17:28.766]  Do we tolerate these people?
[00:17:28.846 --> 00:17:29.987]  It's like, tolerate?
[00:17:29.826 --> 00:17:31.826]  Dude, now you do sound like him.
[00:17:31.826 --> 00:17:47.826]  [Music]
[00:17:47.826 --> 00:17:49.826]  It's here!
[00:17:49.614 --> 00:17:51.097]  We all live to see it!
[00:17:52.599 --> 00:17:53.680]  In the year 2022, racing towards 2030!
[00:17:57.523 --> 00:18:03.706]  The New World Order's agenda to end free societies worldwide and establish a cashless society worldwide.
[00:18:03.746 --> 00:18:12.490]  Dictatorship to carry out the forced depopulation of 90% and those that live will be forced to become cyborg transhumanist.
[00:18:12.950 --> 00:18:20.373]  And the official statements by the Bilderberg Group's public spokesperson Klaus Schwab and his high priest Yuval Harari.
[00:18:21.714 --> 00:18:22.394]  Unbelievable.
[00:18:24.028 --> 00:18:31.751]  Trudeau, and we're going to play the clip coming up next segment, said that he wants a dictatorship.
[00:18:32.472 --> 00:18:51.140]  And Klaus Schwab said, we'll play that clip, that Trudeau, Justin Trudeau, whose father admired dictators and he says he admires dictatorships and dictators and basic dictatorships, is now moving to ban the sale of any type of semi-automatic or handgun.
[00:18:52.332 --> 00:18:55.174]  And then, of course, confiscate is the next phase.
[00:18:55.234 --> 00:19:00.378]  It's an exact formula that they have followed in other Commonwealth countries around the world.
[00:19:00.439 --> 00:19:01.940]  And Canada is not really independent.
[00:19:02.360 --> 00:19:05.302]  It's under the Governor General of the British Empire.
[00:19:07.244 --> 00:19:11.768]  Incredible information to be living in these days.
[00:19:11.828 --> 00:19:14.450]  And here are two extremely important graphs that I'll describe.
[00:19:14.470 --> 00:19:16.872]  Radio listeners, TV viewers can see these.
[00:19:18.288 --> 00:19:27.954]  Figure one, this is from the federal government's own statistics, is the total amount of overdose deaths.
[00:19:27.994 --> 00:19:29.255]  And of course, they're a lot higher than this.
[00:19:29.275 --> 00:19:30.316]  Not all of them get reported.
[00:19:31.037 --> 00:19:36.940]  But you can see starting in 1999, it was 18,000, steadily climbing.
[00:19:38.882 --> 00:19:40.923]  As prescription illegal drugs both flood.
[00:19:41.483 --> 00:19:44.205]  And by the year 2020, we haven't got numbers in about two years yet.
[00:19:44.706 --> 00:19:45.686]  It's at 91,000.
[00:19:46.087 --> 00:19:47.167]  The latest numbers just came out.
[00:19:47.528 --> 00:19:49.914]   It's over 110,000 a year.
[00:19:49.954 --> 00:19:51.115]  So, 110,000 in 2021.
[00:19:51.175 --> 00:19:51.235]  91,799 in 2020.
[00:19:51.395 --> 00:19:52.696]  Quite the acceleration straight up.
[00:19:53.756 --> 00:19:55.737]  Now let's compare that to mass shooting deaths.
[00:19:55.557 --> 00:20:07.596]  in 2021, 91,799 in 2020, quite the acceleration straight up.
[00:20:07.596 --> 00:20:12.756]  Now let's compare that to mass shooting deaths.
[00:20:12.756 --> 00:20:20.676]  The lowest year was 2002.
[00:20:20.676 --> 00:20:24.116]   Nearly zero it says here on the graph from the FBI's own numbers.
[00:20:24.116 --> 00:20:34.116]  [BLANK_AUDIO]
[00:20:25.958 --> 00:20:27.798]  The worst year was Vegas.
[00:20:29.359 --> 00:20:35.100]  You can see that at a hundred and eighteen people.
[00:20:36.841 --> 00:20:39.922]  You can see as it goes then off the graph there.
[00:20:41.943 --> 00:20:43.503]  So a hundred and eighteen people.
[00:20:45.424 --> 00:20:47.144]  One hundred and eighteen people.
[00:20:49.425 --> 00:20:49.845]  Humans.
[00:20:54.491 --> 00:21:06.295]  Versus over 100,000 people in the year 2021.
[00:21:09.536 --> 00:21:12.737]  We don't have numbers obviously for this year yet.
[00:21:15.658 --> 00:21:16.418]  So what's bigger?
[00:21:16.478 --> 00:21:16.959]  What's bigger?
[00:21:17.339 --> 00:21:20.820]  Drug overdoses or mass shootings?
[00:21:23.117 --> 00:21:25.679]  But I use this analogy because it's the perfect one.
[00:21:26.519 --> 00:21:49.214]  Jaws came out in 1972 and for five years straight, it cut the amount of people on the East and West Coast going and staying in little hotels and beach houses to go fishing and swimming because people saw Jaws, made by Steven Spielberg, great movie, totally unrealistic, and they thought that Jaws would eat them and kill them.
[00:21:50.578 --> 00:21:52.238]  So they put national ads out.
[00:21:52.418 --> 00:21:54.179]  You can type it into Google and click images.
[00:21:55.819 --> 00:21:59.340]  Ads telling people it's safe to go to the beach, that sharks won't eat them.
[00:22:00.460 --> 00:22:01.680]  And they would show the statistics.
[00:22:02.961 --> 00:22:06.661]  That, oh, only eight people died in the world of great white attacks.
[00:22:07.241 --> 00:22:07.962]  They would give the number.
[00:22:08.502 --> 00:22:09.702]  The average is about 12 a year.
[00:22:11.622 --> 00:22:14.263]  They'd say, it's safe, please come back to the beach.
[00:22:15.262 --> 00:22:18.623]  Now I'm not lessening the poor dead children and the evil act that happened.
[00:22:19.124 --> 00:22:21.745]  One child being executed for no reason is abhorrent.
[00:22:23.205 --> 00:22:25.326]  But the worst year in U.S.
[00:22:25.346 --> 00:22:37.191]  history of mass senseless shootings is 118 versus 100 plus thousand for drug overdoses and it's only climbing.
[00:22:41.273 --> 00:22:41.853]  Think about that.
[00:22:45.009 --> 00:22:52.072]  Think about that long and hard and let that sink in and realize how nonsensical all of this is.
[00:22:54.413 --> 00:23:14.063]  And ask yourselves why we are so nonsensical and how we've been trained to be so vapid and shallow that all over the news we're told and children's science shows say there's no difference between men and women and we have the same chromosomes, which isn't true.
[00:23:16.141 --> 00:23:17.482]  And that men can have babies.
[00:23:18.502 --> 00:23:22.825]  And that, oh, two women got pregnant from another woman in a jail or a prison.
[00:23:23.446 --> 00:23:25.187]  Or five women got pregnant from another woman.
[00:23:26.107 --> 00:23:27.628]  It is the murder of logic.
[00:23:28.869 --> 00:23:31.871]  It is the murder of common sense.
[00:23:32.291 --> 00:23:40.016]  And it's the same reason that many beach towns for the years after, in fact, they never fully recovered.
[00:23:44.096 --> 00:23:52.561]  It's the reason so many beach towns went bankrupt because of one Hollywood movie and the copycat movies that got made.
[00:23:55.522 --> 00:23:57.384]  That's the same thing with these mass shootings.
[00:23:59.505 --> 00:24:03.247]  They probably made, what, 20 movies after Jaws?
[00:24:04.327 --> 00:24:05.588]  They made four or five Jaws.
[00:24:05.628 --> 00:24:09.430]  They made a bunch of others where piranhas are eating people and everything else.
[00:24:09.610 --> 00:24:12.132]  And folks stopped swimming.
[00:24:13.979 --> 00:24:18.923]  In the ocean, because they thought Jaws was going to eat them, and it's the same thing here.
[00:24:19.583 --> 00:24:28.530]  And then the more security, and the more police, and the more everything, and then still it happens, because the media hypes it, and that's why it's going up.
[00:24:28.971 --> 00:24:30.632]  That's why mass shootings are going up.
[00:24:31.092 --> 00:24:46.780]   Still incredibly rare, but the more they hype them, the same way you can hype people to not swim, or go to the beach because you're scared of Jaws, Even most adults I know, I'll say, hey, let's swim out to that buoy, 200 yards.
[00:24:47.000 --> 00:24:48.860]  Oh, I don't want to do that.
[00:24:48.680 --> 00:24:50.680]  They're the sharks.
[00:24:50.680 --> 00:24:57.680]   And then of course there's something that kills way more than...
[00:24:57.680 --> 00:25:00.680]  drug overdoses.
[00:25:01.343 --> 00:25:07.484]  It's estimated that a quarter million people die a year of hospital infections alone.
[00:25:09.039 --> 00:25:10.981]  Then you add hospital mistakes, it's another $80,000, $90,000.
[00:25:11.521 --> 00:25:18.527]  You're getting up there close to $400,000 debt.
[00:25:18.828 --> 00:25:20.269]  Oh, what about automobile accidents?
[00:25:20.309 --> 00:25:21.290]  Hundreds of thousands a year.
[00:25:22.171 --> 00:25:24.413]  Do we need to ban cars because it's a dangerous thing?
[00:25:26.127 --> 00:25:31.150]  Living is dangerous and the nanny state wants to lock you in your house in the metaverse.
[00:25:31.691 --> 00:25:45.580]  The World Economic Forum announced it to lower your carbon footprint so that clean robots can live your life for you and so you won't even know how to go even buy your own groceries, much less grow your own food.
[00:25:47.202 --> 00:25:57.633]   This is all part of the defanging And the domestication of the people of the world so that we will not resist while we are forcibly depopulated.
[00:25:57.933 --> 00:26:00.494]  And that, my friends, is the rest of the story.
[00:26:00.534 --> 00:26:03.555]  We're going to come back more on the Canadian gun ban.
[00:26:03.995 --> 00:26:09.317]  Biden has let slip their plan for guns here, banning the ammunition in calibers.
[00:26:09.997 --> 00:26:19.361]  Not just guns now, it's all coming up on this special emergency transmission, the last day of May, 2022.
[00:26:19.741 --> 00:26:21.442]  Stay with us and share the links.
[00:26:21.602 --> 00:26:22.802]  Band.video.
[00:26:23.183 --> 00:26:24.323]  Band.video.
[00:26:24.943 --> 00:26:25.964]  Newswars.com.
[00:26:26.929 --> 00:26:40.034]  I have to say, when I mention now names like Mrs. Merkel, even Vladimir Putin and so on, they all have been young global leaders of the World Economic Forum.
[00:26:42.975 --> 00:26:55.808]  What we are very proud of now is the young generation like Prime Minister Trudeau, President of Argentina and so on, that we penetrate the cabinets.
[00:26:56.449 --> 00:27:16.462]   So yesterday I was at a reception for Prime Minister Trudeau and I would know that half of this cabinet, or even more half of this cabinet, are actually young global leaders of the world economy.
[00:27:17.082 --> 00:27:19.223]  And that's true in Argentina, too.
[00:27:19.543 --> 00:27:19.764]  Wow.
[00:27:20.004 --> 00:27:20.244]  Sorry.
[00:27:20.464 --> 00:27:21.804]  That's true in Argentina as well.
[00:27:22.225 --> 00:27:25.786]  It's true in Argentina, and it's true in France now.
[00:27:25.966 --> 00:27:49.765]   I'm with the President, who is a young global leader, but what is important for And last Monday, from Geneva, Switzerland, the newly minted leader of the U.N., Klaus Schwab, under treaty, as the two organizations publicly merged, same globalist created both organizations.
[00:27:50.825 --> 00:28:02.494]  Announced that they control the world and they control your governments, and Klaus Schwab is on record, it's even on his Wikipedia page with a link to his own site, saying they don't believe in democracy.
[00:28:02.935 --> 00:28:08.499]  They don't believe in people running their own countries, that they don't believe the stakeholders should be in control.
[00:28:08.839 --> 00:28:10.801]  That means a corporate dictatorship.
[00:28:13.003 --> 00:28:17.746]  It's so surreal to sit here and watch this authoritarian transformation.
[00:28:18.752 --> 00:28:25.195]  And to see the corporate media defend it, and to see classical so-called liberals become such fascists.
[00:28:26.555 --> 00:28:28.336]  But they're being paid to do so.
[00:28:29.217 --> 00:28:32.338]  The New World Order is making its big move.
[00:28:32.618 --> 00:28:36.039]  I want to show you in a moment a clip from Biden.
[00:28:37.240 --> 00:28:37.840]  Yeah, there it is.
[00:28:38.320 --> 00:28:41.902]  We capture the democratic institutions and structures.
[00:28:42.942 --> 00:28:43.783]  We capture them.
[00:28:45.323 --> 00:28:46.264]  We control them.
[00:28:47.139 --> 00:28:49.880]  The people will have no say, no free will.
[00:28:49.900 --> 00:28:51.081]  You want to hear the clips again?
