[00:00:00.757 --> 00:00:02.158]  World War Three.
[00:11:41.739 --> 00:11:43.159]  Why would they escalate the war?
[00:11:43.219 --> 00:12:03.618]   Why would they put over 100 billion US dollars and over 20 billion euros alone into this proxy war with Russia that is now an admitted open war with the West, with US troops already dying, embedded inside Ukrainian forces. Because we're not in Kansas anymore. We're
[00:12:03.618 --> 00:12:07.998]   not in beta anymore. We are in operational mode of the Great Reset and the Build Back
[00:12:07.998 --> 00:12:17.227]   Better program. Now I talked about this last 20, I guess it's 30 months or more. It's longer than
[00:12:17.227 --> 00:12:18.017]  that now.
[00:12:18.159 --> 00:12:20.940]  Hard to believe so much time has flown since early 2020.
[00:12:22.641 --> 00:12:54.962]   I said, when they give people these shots, and when it causes heart attacks and blood clots and death, we know it's going to do that from our own documents, they're going to need some giant crisis so big, so horrible, so out of control in the future, that as those deaths mount around the world from the shots, We are already in a massive war, or a massive cyber attack that makes the power go off for several months, or I said a new virus they'll release that's so bad, they can then blame it on the people dying from the poison shot.
[00:12:55.342 --> 00:13:15.150]   But I knew that you don't pull off something like this, mass sterilization, mass heart attacks, massive cancer, massive blood clots, you don't pull off something like this, now confirmed, Without having an even bigger, more deadly crisis in the wings that will make you forget about the last thing they did to you.
[00:13:15.810 --> 00:13:17.551]  The way to kill a story is with a bigger story.
[00:13:18.011 --> 00:13:31.799]  So that's exactly what they're doing now, and it helps their entire agenda to smokescreen the world collapse, the energy prices exploding, the planetary inflation, by blaming Russia and claiming that that's the reason the energy prices have gone up.
[00:13:32.079 --> 00:13:36.342]   And we've seen them already do this, so we know They're carrying out this game plan.
[00:13:36.642 --> 00:13:38.864]  That's why it's so easy to predict what they're going to do next.
[00:13:40.305 --> 00:13:41.326]  So here's the bottom line.
[00:13:42.006 --> 00:13:43.107]  We are at war with Russia.
[00:13:43.967 --> 00:13:45.849]  The globals that control our country are at war with us.
[00:13:45.869 --> 00:13:51.332]  They're dissolving our borders, dissolving the police, crimes exploding, suicide, everything else.
[00:13:52.012 --> 00:13:56.811]   And they are directing the collapse of the third world through the lockdowns that ended a few months ago.
[00:13:56.811 --> 00:14:04.812]   They are directing a world crisis where the industrial carrying capacity of the planetary system collapses,
[00:14:04.812 --> 00:14:10.211]   causing mass starvation, death of the third world, explosive crime and poverty in the United States and Europe.
[00:14:10.211 --> 00:14:14.711]   And again, out of that, the new allure of technocrats will pose as the saviors,
[00:14:14.711 --> 00:14:19.512]   offering a solution, these new global digital currencies with universal basic income
[00:14:19.512 --> 00:14:23.832]   that of course have the social credit score and the carbon tax and it's all being rolled out.
[00:14:24.055 --> 00:14:25.056]  It's not my opinion now.
[00:14:26.221 --> 00:14:27.262]  What is the solution?
[00:14:27.802 --> 00:14:30.504]  What is the answer to counter this?
[00:14:30.825 --> 00:14:37.430]  I'll talk about solutions when we come back on the other side of the break and then Owen Troyer will take over.
[00:14:37.470 --> 00:14:41.413]  But please, whatever you do today, spread the word about this broadcast.
[00:14:41.533 --> 00:14:44.295]  Share this analysis once it's posted to Bandot Video.
[00:14:44.755 --> 00:14:50.600]  Because if more and more of the political system wakes up to what's happening, we won't sleepwalk into destruction.
[00:14:50.960 --> 00:14:52.802]  It's a very small group of globalists at the top.
[00:14:53.361 --> 00:14:57.280]   that are orchestrating all of this. Most people in the political and corporate system are unaware.
[00:14:57.280 --> 00:14:59.442]  It's our job to wake them up. We'll be right back.
[00:14:59.442 --> 00:15:14.400]  World War III. David Petraeus says U.S.
[00:15:14.578 --> 00:15:19.401]  may lead multinational force against Russia in Ukraine.
[00:15:20.261 --> 00:15:27.425]  He goes on to say the force is ready and prepared, but it won't be NATO, just NATO backed and commanded.
[00:15:28.005 --> 00:15:30.347]  That is NATO in direct war in Europe.
[00:15:31.267 --> 00:15:31.968]  With the Russians.
[00:15:32.668 --> 00:15:34.370]  So what are the solutions to stop this?
[00:15:35.250 --> 00:15:37.412]  For all the great listeners of the Alex Jones Show today.
[00:15:38.293 --> 00:15:38.953]  Call Congress.
[00:15:39.553 --> 00:15:40.334]  Call talk show hosts.
[00:15:40.814 --> 00:15:41.895]  Call university heads.
[00:15:43.116 --> 00:15:43.937]  March in the streets.
[00:15:44.918 --> 00:15:45.498]  Protest.
[00:15:45.618 --> 00:15:46.179]  Demonstrate.
[00:15:46.739 --> 00:15:49.861]  Go confront right wing and left wing warmongering.
[00:15:50.902 --> 00:15:58.005]  Politicians like AOC and Ted Cruz and others that are leading us to the brink of World War III, nuclear Armageddon.
[00:15:58.805 --> 00:16:04.387]  Pray to God for justice in a worldwide awakening.
[00:16:04.407 --> 00:16:14.491]  And engage in information warfare using articles and videos from Infowars.com that detail all this, that predicted all this, to get it out to your friends, your family, your neighbors.
[00:16:16.091 --> 00:16:26.106]  Perfect strangers, and explain to them that this war is the smokescreen to bring in world government and a Mark of the Beast, cashless society that is already here.
[00:16:27.239 --> 00:16:27.619]  That's it.
[00:16:28.820 --> 00:16:32.381]  Explain to people this is a lot bigger than just a regional war in Europe.
[00:16:32.781 --> 00:16:42.465]  This could end civilization as we know it, but regardless, is being used as the cover for the engineered financial collapse.
[00:16:42.886 --> 00:16:44.926]  The globalists have built this giant Ponzi scheme.
[00:16:44.946 --> 00:16:46.627]  They've bought up almost all the resources.
[00:16:46.647 --> 00:16:50.069]  They've doubled and tripled their wealth the last five years by running these scams.
[00:16:51.329 --> 00:17:06.737]  And I said over and over again, they're going to use the virus and the poison shot rollout to destabilize and break down society, and then use an even bigger crisis like war and financial collapse and cyber attacks and power outages as a smokescreen for the last leg of their attack.
[00:17:07.497 --> 00:17:08.878]  And then what's the third leg?
[00:17:09.960 --> 00:17:12.941]  We've already gone through the first, the virus, and the deadly shot.
[00:17:12.981 --> 00:17:15.322]  Now we're going into the war and the energy crisis.
[00:17:16.122 --> 00:17:17.463]  And what is the third leg?
[00:17:17.483 --> 00:17:27.926]  Energy crises accelerating, power outages, cyber attacks, race war, giant third world terror bands, 10, 20, 30, 100 times bigger than the 3, 5, 10, 15, 20,000 person.
[00:17:32.848 --> 00:17:33.889]  Caravans we've seen.
[00:17:34.069 --> 00:17:43.137]  Caravans of millions completely flooding the Western world and bringing us to our knees with the UN overseeing it as the supposed saviors.
[00:17:43.838 --> 00:17:49.283]  I saw a video over the weekend of the world's UN food chief saying we need tens of billions of dollars.
[00:17:49.303 --> 00:17:52.546]  We've got hundreds of millions starving to death right now because of COVID.
[00:17:53.847 --> 00:17:55.228]  No, it was because of the lockdowns.
[00:17:56.249 --> 00:17:57.852]  That they implemented and that they carried out.
[00:17:57.932 --> 00:18:03.580]  Just like we now see Jake Tapper on CNN saying it's terrible that we made kids wear masks and didn't let them go to school.
[00:18:03.981 --> 00:18:05.623]  We hurt them mentally and didn't protect them.
[00:18:05.663 --> 00:18:06.084]  It's wrong.
[00:18:06.605 --> 00:18:10.470]  The very people that launched all this think that you don't have any memory.
[00:18:11.741 --> 00:18:12.642]  Think that you're stupid.
[00:18:13.062 --> 00:18:19.687]  And now they're coming back like the saviors, agreeing with you because the general public is awake and realizing who they are.
[00:18:20.327 --> 00:18:34.317]  That's why I've said hundreds of times, the key to understanding the globalists is having a long-term memory and remembering what they said one year versus the next, and how they play the good cop and the bad cop, sometimes the very same individuals that are engineering the crisis.
[00:18:35.077 --> 00:18:35.738]  Here's an example.
[00:18:35.778 --> 00:18:39.260]  They tell you, oh, man-made global warming made the Wuhan virus, not a lab.
[00:18:39.660 --> 00:18:41.902]  Oh, man-made global warming is the reason there's wars.
[00:18:42.382 --> 00:18:44.663]  Man-made global warming is the reason the third world's collapsing.
[00:18:45.164 --> 00:18:49.287]  In every case, it's been their policies that caused that.
[00:18:49.887 --> 00:19:04.657]  We've got to reach out to the people, not just of America, but the people of the world, and break down that this is a crisis of biblical proportions, as the smokescreen to bring down civilization as we know it, and build on its ashes.
[00:19:05.397 --> 00:19:06.618]  The globalist technocracy.
[00:19:07.378 --> 00:19:11.939]  Finally, before Owen Schroyer takes over, I want to thank the listeners for their outpouring of support.
[00:19:12.439 --> 00:19:21.522]  I want to thank all of the conservative and populist and nationalist media for their unprecedented defense of Infowars and the serious, serious fight we're in.
[00:19:21.882 --> 00:19:26.842]   And I want the listeners to understand the reason you now see these Democrat party ambulance
[00:19:26.842 --> 00:19:36.122]   chasers calling for $2,750,000,000 from this court is because they want to demoralize you
[00:19:36.122 --> 00:19:40.401]   and break your will and have numbers so big and so crazy, it makes you think there's no
[00:19:40.401 --> 00:19:42.522]  way Infowars can stay on the air.
[00:19:43.166 --> 00:19:48.150]  What you're witnessing is the exact same thing that we see in fiction in Wizard of Oz.
[00:19:48.791 --> 00:19:59.879]  In the Wizard of Oz you see the big screen and the big curtain and the big floating head screaming and yelling and trying to scare people and be all powerful when really it's a little man behind the curtain.
[00:20:00.519 --> 00:20:03.841]  Ladies and gentlemen, we will continue to be on air.
[00:20:04.602 --> 00:20:12.467]  We have a program to stay on air through Chapter 5, bankruptcy, that will allow us to continue on indefinitely.
[00:20:12.767 --> 00:20:15.769]  We have at least two years of appeal on these cases as well.
[00:20:16.450 --> 00:20:22.614]  That's why they want you to think we're being shut down tomorrow so you give up and stop supporting the broadcast.
[00:20:22.774 --> 00:20:27.077]  Now more than ever realize, in full words of the Sip of the Spirit, that's why enemies of freedom hate it.
[00:20:27.477 --> 00:20:28.518]  And that's why you should be sharing.
[00:20:29.358 --> 00:20:30.278]  The truth is, we have power.
[00:20:30.298 --> 00:20:31.979]  The truth is, the general public wants freedom.
[00:20:31.999 --> 00:20:33.439]  The truth is, there's a global awakening.
[00:20:33.259 --> 00:20:36.419]   That's why you should be sharing the live show feed with Owen Schroyer coming up and
[00:20:36.419 --> 00:20:38.178]  all the big guests he's got.
[00:20:38.178 --> 00:20:41.118]  Because that's what the enemy fears is the truth.
[00:20:41.118 --> 00:20:43.058]  The truth is we have power.
[00:20:43.058 --> 00:20:45.419]  The truth is the general public wants freedom.
[00:20:45.419 --> 00:20:47.298]  The truth is there's a global awakening.
[00:20:47.298 --> 00:20:50.058]  And the truth is the globalists are scared.
[00:20:50.058 --> 00:20:51.858]  So it's all a smokescreen.
[00:20:51.886 --> 00:20:53.046]  It's all smoke and mirrors.
[00:20:53.126 --> 00:21:02.133]  It's all the Wizard of Oz, writ large as a dying corrupt establishment, attempts to start World War III as a pretext to stay in power.
[00:21:02.754 --> 00:21:05.256]  No, their attempt to start World War III will not be our undoing.
[00:21:05.996 --> 00:21:07.037]  It will be their undoing.
[00:21:07.637 --> 00:21:13.222]  So please take advantage of the biggest sale of the year that has to end in just a few days at InfoWars4.com.
[00:21:13.542 --> 00:21:16.744]  The Save Info Wars Mega 1776 Sale.
[00:21:17.125 --> 00:21:21.768]  Up to 60% off with promo code 1776 at checkout.
[00:21:22.068 --> 00:21:29.374]  Whether it's DNA Force Plus or X3 or Vitamin Mineral Fusion or so many other great amazing supplements that are 40 to 50% off.
[00:21:30.595 --> 00:21:43.466]  When you add 1-776-AT-CHECKOUT, you get an additional 10% off, and that gives you great products that empower your life, empower your immune system, with the fall and winter coming up, more important than ever, and keeps this broadcast on air.
[00:21:43.906 --> 00:21:45.627]  Get a signed copy of The Great Reset.
[00:21:46.127 --> 00:21:51.247]   and the war for the world as a fundraiser or get the unsigned copy at infowarestore.com
[00:21:51.247 --> 00:21:57.567]   go to 1776coin.com and get $30 off the Teddy Roosevelt Man the Arena coin which again is a
[00:21:57.567 --> 00:22:03.006]   fundraiser I thank you for your support with the promo 1776 but whatever you do realize
[00:22:03.006 --> 00:22:08.447]   that the enemy understands you have power and the propaganda would not be necessary
[00:22:08.447 --> 00:22:12.326]   if a situation was hopeless I'm going to hand the baton back to Owen Schroyer.
[00:22:12.606 --> 00:22:13.887]  I'll have more reports coming up today.
[00:22:14.327 --> 00:22:15.228]  God bless my friends.
[00:22:15.608 --> 00:22:16.569]  Now's the time to be praying.
[00:22:16.609 --> 00:22:17.570]  Now's the time to be engaged.
[00:22:18.010 --> 00:22:23.094]  Now's the time to be exposed to the new world like never before because the public of the planet's minds are ready for the truth.
[00:22:23.374 --> 00:22:24.335]  God bless and good luck.
[00:22:27.515 --> 00:22:34.641]  Okay, ladies and gentlemen, we are now broadcasting live from the InfoWars World Headquarters here in Austin, Texas.
[00:22:34.681 --> 00:22:35.422]  Owen Schroer with you.
[00:22:36.243 --> 00:22:44.289]  For the rest of the day, let me give you a program update on what we have coming up for the remainder of today's live transmissions.
[00:22:44.329 --> 00:22:46.972]  Guys, who is hosting the fourth hour today?
[00:22:49.946 --> 00:22:54.130]  So we've got the great Gerald Cilente hosting the fourth hour of the Alex Jones Show.
[00:22:54.150 --> 00:22:56.172]  I'm going to be here with you until then.
[00:22:56.252 --> 00:22:57.694]  I've got two guests coming up.
[00:22:58.274 --> 00:23:16.316]   Drew Hernandez is going to join me in about 30 minutes to talk about his recent news coverage at the border and his crew infiltrating Biden events, infiltrating AOC events, and Perfectly executing their First Amendment right at those events.
[00:23:16.997 --> 00:23:29.291]  And then Savannah Hernandez in the one o'clock hour to discuss the sights and sounds from Portland, Oregon, where she followed around some drug addicts that did fentanyl.
[00:23:30.310 --> 00:23:37.815]  And then went to a Matt Walsh event in Nashville, Tennessee, where the liberal crazies were at it, as usual.
[00:23:37.895 --> 00:23:43.258]  And then, when we come back, I'll get into some of the latest news regarding the midterm elections.
[00:23:46.320 --> 00:23:54.125]  Alright, for the next two segments, I'm going to get into the political news here, ahead of the midterm elections.
[00:23:55.856 --> 00:23:57.437]  And again, I have to emphasize this.
[00:23:57.758 --> 00:24:07.285]  I want this to kind of be the framing, to be the context as we go into the political news just 15 days out from the midterms.
[00:24:07.305 --> 00:24:08.987]  I'm starting to get a little bit excited about it.
[00:24:09.447 --> 00:24:15.132]  If anything, just for the closure of the event to happen and to see where the country will go from there.
[00:24:16.513 --> 00:24:18.094]  But here's the background.
[00:24:18.134 --> 00:24:25.320]  Here's the backdrop to me that I think is kind of the most important thing to observe and understand heading into the midterms.
[00:24:27.316 --> 00:24:37.644]  Anywhere you go, the raw human intelligence will tell you that the Republicans are going to have big victories and take back Congress in the midterm elections.
[00:24:37.744 --> 00:24:48.732]  I can give dozens of examples from my own real world experience and from what we're seeing as far as cultural movements.
[00:24:49.819 --> 00:24:52.218]  are considered. Let's start with the cultural movements.
[00:24:52.218 --> 00:24:59.408]   You've had the Blexit, black Americans leaving the Democrat Party. It's gained millions of
[00:24:59.408 --> 00:25:05.319]   followers. You've had the Legzit, Latino Americans leaving the Democrat Party. Gained millions of
[00:25:05.319 --> 00:25:10.779]   followers. You now have the Jegzit, Jewish Americans leaving the Democrat Party.
[00:25:10.994 --> 00:25:12.995]  That's gaining traction now as well.
[00:25:13.475 --> 00:25:14.976]  You've had the walk-away movement.
[00:25:15.496 --> 00:25:19.258]  Millions of liberal Democrats leaving the Democrat Party.
[00:25:19.278 --> 00:25:24.238]   You've got other groups that aren't necessarily political, but you know where their politics
[00:25:24.238 --> 00:25:31.037]   lie now, like gays against groomers with LGBTQ members that don't even claim to be part of
[00:25:31.037 --> 00:25:32.037]  that community.
[00:25:32.037 --> 00:25:33.037]  They just live their lives.
[00:25:33.037 --> 00:25:35.217]  They just want to live free and prosper.
[00:25:35.217 --> 00:25:40.817]   They are abandoning the Democrat Party policies and politics and will obviously not be voting
[00:25:40.817 --> 00:25:42.336]  Democrat.
[00:25:42.336 --> 00:25:46.897]   You've got huge influencers like Elon Musk saying vote Republican.
[00:25:46.897 --> 00:25:49.018]  Joe Rogan saying vote Republican.
[00:25:49.018 --> 00:25:54.557]  Tulsi Gabbard leaving the Democrat Party and so much more.
[00:25:54.557 --> 00:26:01.177]   So that's just kind of the cultural movements, political movements that you see.
[00:26:01.108 --> 00:26:10.453]  On an individual level, I don't know if you've been experiencing this as I have, but I just don't find any Democrat support anywhere I go.
[00:26:11.920 --> 00:26:19.409]  And I understand that, you know, obviously I tried to avoid leftists, liberals, Democrats, like the plague for obvious reasons.
[00:26:19.449 --> 00:26:24.275]  For the warnings I give you, on the air, these people could go psycho at any given time.
[00:26:24.695 --> 00:26:26.637]  Literally, they could have a psychotic break at any given time.
[00:26:27.078 --> 00:26:28.380]  Like, for example, did you know...
[00:26:29.861 --> 00:26:43.950]  That girl who got famous, she was an e-celeb, she'd get on social media, get half-naked, and then support Bernie Sanders, and she had that famous OK Boomer video, do you guys remember that?
[00:26:43.970 --> 00:26:44.531]  Do you guys remember that?
[00:26:45.111 --> 00:26:48.874]  You know she got charged with violent assault of her ex-boyfriend?
[00:26:48.894 --> 00:26:51.776]  I'm telling you folks, these people can break at any moment.
[00:26:51.836 --> 00:26:53.156]  So the average person knows that now.
[00:26:53.617 --> 00:27:09.996]   But I go out in public, I have general conversations, With individuals and they all are just just like Democrat Party politics is like poison or it's like don't touch the lava like the game you used to play as a kid like oh jump around don't touch the lava.
[00:27:10.276 --> 00:27:12.658]  Democrat Party politics are like don't touch the lava.
[00:27:12.938 --> 00:27:15.079]  Yeah I don't like trans kids.
[00:27:15.640 --> 00:27:17.361]  I don't want to chop up little boys and girls.
[00:27:17.401 --> 00:27:18.042]  Yeah you know what?
[00:27:19.192 --> 00:27:22.895]  The issue of abortion is tough, but I'm not going to sit here and praise abortion.
[00:27:22.915 --> 00:27:24.937]  I'm not going to sit here and celebrate baby murder.
[00:27:25.317 --> 00:27:27.539]  We went out in the truck yesterday.
[00:27:27.599 --> 00:27:28.620]  You may have seen the video.
[00:27:28.660 --> 00:27:29.581]  It's up at Bandout Video.
[00:27:29.621 --> 00:27:31.162]  The HD video is at Bandout Video.
[00:27:31.182 --> 00:27:37.107]  The full stream, which is more than two hours long, two live streams, on my Gettr account at allidoizoan.
[00:27:38.048 --> 00:27:45.446]   Usually it's about a 50-50 split from the public response in support or They hate us.
