[00:00:00.069 --> 00:00:01.290]  Yeah, Liberal World Order.
[00:06:49.259 --> 00:06:50.900]  Tomorrow's news today.
[00:06:52.241 --> 00:07:00.768]  And of course you can find all the verboten forbidden videos and information at the vaunted band dot video, but that URL is restricted most places.
[00:07:00.788 --> 00:07:04.651]  So the URL that takes you there is the info war, the info war.tv.
[00:07:06.557 --> 00:07:11.019]  Ladies and gentlemen, it is Friday, July 1st.
[00:07:11.579 --> 00:07:21.282]  On this special worldwide edition of the Transmission, we have another just unbelievably powerful broadcast for you today.
[00:07:21.822 --> 00:07:25.563]  A lot of super good, positive news.
[00:07:26.404 --> 00:07:29.685]  Also a lot of really ugly, ugly, ugly, horrible news.
[00:07:30.245 --> 00:07:32.946]  And some very dangerous news as well.
[00:07:33.926 --> 00:07:38.530]  And a lot of really hilarious stuff that will actually make you cry when you actually think deeper about it.
[00:07:39.191 --> 00:07:45.316]  We've got big Ghislaine Maxwell, Jeffrey Epstein news that is just devastating to the globalist pedophile rings.
[00:07:46.096 --> 00:07:49.059]  We've got huge Ukraine news.
[00:07:50.280 --> 00:07:51.801]  We've got so much here today.
[00:07:55.064 --> 00:07:57.686]  We have Dr. Zev Zelenko dying yesterday.
[00:07:57.706 --> 00:07:58.787]  I was working yesterday.
[00:07:59.247 --> 00:08:03.247]   It's not a vacation day, but I had to take care of my stuff, keep him forced on the air.
[00:08:03.247 --> 00:08:07.247]   And I learned after Owen was already off air that he had died.
[00:08:07.247 --> 00:08:14.247]   I knew privately from folks that were working with him that he would probably die last week
[00:08:14.247 --> 00:08:23.247]   and was extremely ill with cancer all over his body, with one lung and with blood clots, not just in his heart.
[00:08:23.208 --> 00:08:30.253]  And so when we play his final words from just three days ago, where he says, this is the hill to die on.
[00:08:30.273 --> 00:08:33.175]  And his final words are just extremely powerful.
[00:08:33.195 --> 00:08:37.558]  It, it, it made me cry yesterday because he was such a loving, sweet, good person.
[00:08:38.018 --> 00:08:46.624]  And he was really one of the first doctors to come out against the new world order over, uh, you know, 27, 28 months ago and really nailed it.
[00:08:47.685 --> 00:08:49.528]  And was just such had such a beautiful spirit.
[00:08:49.928 --> 00:09:13.963]   We know he is with us in eternity And he certainly understood that better than better than most of us so beautiful soul a beautiful mind and a brother and people are just really really touched by his passing This is our Hill to Die On, and his last words, and these are his last words to the world, the last 30 seconds of what he says is just so calm and so focused and so true.
[00:09:14.744 --> 00:09:18.770]  And this little six and a half minute clip we're going to play at the bottom of the hour is powerful.
[00:09:19.924 --> 00:09:22.725]  It's at Bandot Video in the Bill Gates' Evil section.
[00:09:23.405 --> 00:09:24.605]  And we did a lot of interviews with him.
[00:09:24.665 --> 00:09:25.966]  He was on the other shows as well.
[00:09:26.726 --> 00:09:34.908]  We've put a compilation of some of those together that will be airing coming up in the third hour today.
[00:09:35.168 --> 00:09:43.030]  But I will, bottom of this hour, play his last statement after he'd already been in surgeries and was going to have to go into emergency surgery.
[00:09:43.790 --> 00:09:46.971]  He was basically having a heart attack while he recorded this.
[00:09:47.958 --> 00:09:50.560]  And when you realize that, that's a tough guy.
[00:09:51.621 --> 00:09:55.124]  You can actually see when he's talking, you can see him kind of go, I mean, he is literally fighting.
[00:09:55.864 --> 00:10:02.590]  His heart is absolutely out of control with arrhythmia, as you name it, while he is giving this final message.
[00:10:02.650 --> 00:10:05.352]  And he does it so calmly and so focused.
[00:10:06.213 --> 00:10:07.574]  Just real resilience.
[00:10:09.255 --> 00:10:10.416]  Powerful, ladies and gentlemen.
[00:10:11.497 --> 00:10:15.394]   That is coming up at the Bottom of the hour.
[00:10:15.414 --> 00:10:25.104]  Brings tears to my eyes right now because he was fighting so hard and he didn't want to die because he wanted to keep fighting but he knows he'll continue fighting through us and don't worry Dr. Zelenko, we're gonna up our game.
[00:10:26.265 --> 00:10:29.768]  I'm gonna up my game, we're all gonna up our game like he did.
[00:10:29.808 --> 00:10:36.696]  Traveling the country, working 15, 16 hours a day until the last few days he died.
[00:10:37.901 --> 00:10:40.262]  And that's the human spirit, and that's what I admire.
[00:10:40.282 --> 00:10:45.285]  I don't give a rat's ass about football players, or movie stars, or any of that crap.
[00:10:45.625 --> 00:10:49.607]  But people that are trailblazers and buck the system, they're beautiful, and they're examples to us all.
[00:10:50.507 --> 00:10:56.730]  And Joe Rogan made that point about Fauci and how evil he is, and people like Zelenko and Robert F. Kennedy Jr.
[00:10:57.671 --> 00:11:00.172]  are true leaders leading us out of this tyranny.
[00:11:00.592 --> 00:11:06.355]  That's coming up after the Zelenko clip as well, bottom of the hour segment, so stay with us for that.
[00:11:08.061 --> 00:11:14.224]  Okay, if I mention all the good things the Supreme Court's done the last two weeks, it would take up the whole segment.
[00:11:14.244 --> 00:11:24.370]  So I'm just going to remind you, they said you can't stop Christians from saying they're Christians, or saying prayers at commencement speeches, or football players saying prayers, or coaches if they want to, that's their First Amendment.
[00:11:24.810 --> 00:11:28.992]  You just can't have state-run religion telling people what religion you can be.
[00:11:29.432 --> 00:11:36.316]  Government has no jurisdiction in your religious practices as long as they're not illegal, you know, sacrificing babies like the Satanists do.
[00:11:39.138 --> 00:11:42.780]  And they're not even arguing under the First Amendment, they should be able to do that in official court documents this year.
[00:11:42.800 --> 00:11:43.541]  I'm not kidding.
[00:11:44.161 --> 00:11:45.402]  I'm sure you heard about it, it was big news.
[00:11:46.362 --> 00:11:56.289]  So, we had that, we had the Roe v. Wade that was massive, we had the Second Amendment saying these states and these cities can't just ban people owning guns that don't have criminal records.
[00:11:56.749 --> 00:11:58.750]  You can't just bar them from even gun permits.
[00:11:59.350 --> 00:12:01.092]  Even permits themselves are unconstitutional.
[00:12:01.592 --> 00:12:02.312]  Massive ruling.
[00:12:02.332 --> 00:12:03.133]  It was a bunch of other ones.
[00:12:04.249 --> 00:12:13.171]  But this ruling on energy, if you just talk about the economy and the economic globalist reset war we're under, is gigantor.
[00:12:13.771 --> 00:12:31.505]   And obviously it's going to override the FDA and the EPA and all these agencies that don't care about our health, that don't care about the fentanyl, that don't care about leaking nuclear reactors, they care about power and siege and the Great Reset, And bringing us to our knees.
[00:12:31.545 --> 00:12:34.446]  And so I read the Supreme Court ruling last night.
[00:12:35.487 --> 00:12:37.607]  And it's very clear, very cut and dry, and true!
[00:12:38.147 --> 00:12:44.229]  Congress never passed laws banning carbon dioxide or water vapor out of smokestacks of clean burning coal plants.
[00:12:44.669 --> 00:12:45.970]  They never ban natural gas.
[00:12:46.250 --> 00:12:48.031]  They never ban the use of oil and fuel.
[00:12:48.511 --> 00:12:51.992]  And you've got the Democrats saying under the UN global mandate, they're banning it.
[00:12:52.692 --> 00:12:55.553]  So they said, none of these regulations are constitutional.
[00:12:56.253 --> 00:13:02.425]   You can't make law via Proclamation from a federal agency.
[00:13:03.766 --> 00:13:05.806]  Congress has to be elected and then pass laws.
[00:13:06.206 --> 00:13:07.887]  It's got to be found constitutional by the court.
[00:13:08.627 --> 00:13:27.292]  But the EPA and the FDA and the EEOC and all these groups and the IRS are just imperiums, imperial courts under themselves that just do whatever the hell they want, and then special interests get their people into those agencies, and they are the fourth branch of an elected deep state government.
[00:13:28.072 --> 00:13:29.913]  The bureaucracy is the true deep state.
[00:13:31.434 --> 00:13:39.543]  And so this ruling doesn't just overturn the shutdown of almost all the coal power plants, but see, how are they going to reopen now?
[00:13:39.563 --> 00:13:44.268]  It took billions of dollars to build the bigger plants, hundreds of millions of smaller ones.
[00:13:45.068 --> 00:13:48.512]  So it's kind of like a day late and a dollar short here.
[00:13:49.853 --> 00:13:51.655]  But it rolls back so much.
[00:13:52.196 --> 00:14:01.079]   And remember, a year and a half ago, Much of Texas was out of power because the feds wouldn't let them up output at the coal power plants.
[00:14:01.519 --> 00:14:03.120]  Only got like 15 plants left.
[00:14:03.380 --> 00:14:04.720]  They supply over half the state's power.
[00:14:06.021 --> 00:14:08.782]  There's a gigantic plant outside Austin called the Fayetteville plant.
[00:14:09.682 --> 00:14:10.922]  Three gigantic plants.
[00:14:12.023 --> 00:14:19.885]  And Austin owned two of them and sold them for less than 10% of their value to shut them down.
[00:14:21.146 --> 00:14:23.787]  So taxpayers paid for these gigantic coal power plants.
[00:14:23.807 --> 00:14:24.427]  They're totally clean.
[00:14:26.517 --> 00:14:31.940]  And the Austin City Council, what, a decade ago, ordered them shut down within five years.
[00:14:32.100 --> 00:14:33.081]  Both of them were shut down.
[00:14:33.121 --> 00:14:38.403]  There's one plant going overdrive that is supplying Austin more than half its power right now.
[00:14:40.104 --> 00:14:41.665]  You go out there, it's going overdrive.
[00:14:41.685 --> 00:14:48.749]  You notice what they call smoke coming out the top disappears after a few hundred feet because it's not smoke, it's steam.
[00:14:49.977 --> 00:14:57.578]  And in the summer, you see nothing coming out of it, because it's 100 degrees, and the stuff coming out of the furnace is 100 degrees, and the smokestack, you see nothing coming out.
[00:14:58.639 --> 00:14:59.319]  That's how clean they are.
[00:14:59.579 --> 00:15:09.921]  Now, in the winter, they aim their cameras at them, and you'll see this big steam cloud going for, you know, a half mile, and they go, look at that pollution, my lord, it's so incredibly evil!
[00:15:09.941 --> 00:15:12.161]  I think you guys just found the Fayetteville clip.
[00:15:12.341 --> 00:15:15.322]  Yeah, Fayetteville, Texas, power plant complex.
[00:15:16.547 --> 00:15:17.808]  Two of the big plants are shut down.
[00:15:17.928 --> 00:15:18.648]  One is left going.
[00:15:19.168 --> 00:15:20.529]  And you can go out there and look at it for yourself.
[00:15:20.929 --> 00:15:26.291]  And all that's coming out of those stacks, ladies and gentlemen, is... Yeah, that's not Fayetteville.
[00:15:26.311 --> 00:15:27.072]  That's a smaller facility.
[00:15:27.092 --> 00:15:27.532]  It's still big.
[00:15:29.107 --> 00:15:30.147]  That may be fair, Bill, actually.
[00:15:30.167 --> 00:15:37.511]  The point is, is that all that's coming out of there is water vapor and carbon dioxide, but they aim cameras at it and tell you a bunch of toxic waste is coming out.
[00:15:37.851 --> 00:15:39.292]  Let me tell you where the toxic waste is coming out.
[00:15:39.872 --> 00:15:41.413]  It's coming out of China and Mexico.
[00:15:41.433 --> 00:15:46.395]  And you go down to the Texas border, there are huge coal power plants right across the border with black smoke coming out of them.
[00:15:46.935 --> 00:15:52.417]  That's dirty coal full of mercury and toxins being ejected out of there that gets into the atmosphere and we breathe it.
[00:15:52.718 --> 00:15:57.640]  So they shut down the clean plants and let China and Mexico and India run dirty ones.
[00:15:58.527 --> 00:16:01.068]  And then you wonder why they have cheaper electricity and why all the jobs move there.
[00:16:01.428 --> 00:16:02.648]  It's economic warfare.
[00:16:02.668 --> 00:16:03.408]  They're foot on our necks.
[00:16:03.888 --> 00:16:05.729]  Part of the liberal world order.
[00:16:06.289 --> 00:16:13.911]  So I got a bunch of clips when we come back of the White House spokesman on CNN saying, well of course we've got higher gas prices.
[00:16:13.951 --> 00:16:15.051]  It's part of the new world order.
[00:16:15.091 --> 00:16:15.652]  It's liberal.
[00:16:16.032 --> 00:16:17.132]  We have a liberal agenda here.
[00:16:17.552 --> 00:16:29.715]   And we have the other officials in the Obama administration, the third Obama administration, known as the Biden administration, saying we're doing this to bankrupt You know, gasoline cars, and we're doing this for the liberal world order.
[00:16:31.515 --> 00:16:37.077]  In Europe, they're banning tractor gasoline, tractor diesel, and they're all protesting.
[00:16:37.157 --> 00:16:39.558]  I mean, this is feudalism.
[00:16:39.958 --> 00:16:40.478]  This is a takeover.
[00:16:40.498 --> 00:16:41.699]  We're going to talk about it when we come back.
[00:16:43.133 --> 00:16:46.677]  They say that this could be a long war, measured in years.
[00:16:46.777 --> 00:16:49.699]  And I think everybody understands why this is happening.
[00:16:49.759 --> 00:16:50.961]  But is it sustainable?
[00:16:51.001 --> 00:16:57.647]  What do you say to those families who say, listen, we can't afford to pay $4.85 a gallon for months, if not years.
[00:16:57.687 --> 00:16:58.948]  This is just not sustainable.
[00:17:00.730 --> 00:17:04.733]  Well, what you heard from the president today was a clear articulation of the stakes.
[00:17:04.833 --> 00:17:08.417]  This is about the future of the liberal world order, and we have to stand firm.
[00:17:08.851 --> 00:17:13.392]  We have a club coming up of Biden saying, Russia, Russia, Russia, copying Trump.
[00:17:13.432 --> 00:17:16.773]  He goes, it's Russia is the reason there's no food.
[00:17:16.853 --> 00:17:19.774]  It's Russia is the reason the gas prices are so high.
[00:17:21.514 --> 00:17:26.055]  That, of course, is White House spokesperson Brian Deese saying that.
[00:17:27.736 --> 00:17:33.077]  Meanwhile, Biden just announced a plan to shut down America's largest domestic oil field.
[00:17:35.018 --> 00:17:35.958]  Land-based oil field.
[00:17:37.170 --> 00:17:43.071]  They're shutting down the baby formula plants, they're shutting down the major meatpacking plants, and the other ones are mysteriously burning up.
[00:17:43.211 --> 00:17:48.612]  I mean, have you figured out, folks, we're under attack at every level.
[00:17:51.673 --> 00:17:53.953]  So what an incredible statement out of that guy.
[00:17:55.533 --> 00:18:02.434]  Being honest that, oh, it's a liberal world order and it's the war, though, that's the reason things are never going to get better.
[00:18:03.935 --> 00:18:11.450]   But then all the other spokespersons Say it's a transition off of fossil fuels, but they're not even transitioning us on anything.
[00:18:13.150 --> 00:18:27.415]  And the little bit of systems, the batteries and the solar panels, and all of that is coming almost entirely from China, so it's a complete transference of our industrial power of what's left.
[00:18:28.115 --> 00:18:35.278]  All we had left was our high-tech and our oil, and now they've transferred the high-tech, and now they're transferring the energy away.
[00:18:36.843 --> 00:18:39.904]  And all these other countries are becoming energy leaders while we are destroyed.
[00:18:40.364 --> 00:18:46.125]  Notice it's only against Europe and the United States and Canada, Australia, New Zealand.
[00:18:46.265 --> 00:19:00.948]  It is the British Empire countries that are running this new world order because they control much of the third world countries where all the industry is being developed and then they can further dominate the globe while impoverishing us for control.
[00:19:02.731 --> 00:19:06.715]  Here's Joe Biden, as I mentioned, continuing to blame everything on Vladimir Putin.
[00:19:06.735 --> 00:19:07.095]  Here it is.
[00:19:06.914 --> 00:19:14.914]   Ultimately, the reason why gas prices are up is because of Russia.
[00:19:14.914 --> 00:19:21.914]   Russia, Russia, Russia. The reason why the food crisis exists is because of Russia.
[00:19:21.914 --> 00:19:24.914]  Russia not allowing grain to get out of Ukraine.
[00:19:24.914 --> 00:19:32.914]   Now here's just a clip of farmers in Belgium, farmers in France, farmers in Germany,
[00:19:32.914 --> 00:19:37.914]   farmers in the Netherlands blocking major highways because the EU announced
[00:19:37.914 --> 00:19:41.914]   that they're not just going to let them pay extra taxes for their diesel or gasoline,
[00:19:41.914 --> 00:19:46.914]   that they are forcing them to transition off of it and are paying farmers,
[00:19:46.914 --> 00:19:49.914]  a one-time sum, to never farm again.
[00:19:49.914 --> 00:19:59.914]  [BLANK_AUDIO]
[00:19:51.219 --> 00:19:52.119]  That's the London Guardian.
[00:19:53.519 --> 00:19:58.952]   And you wonder why millions of people, millions, are protesting and blocking roads.
[00:19:59.612 --> 00:20:02.914]  They are literally being shut down.
[00:20:03.655 --> 00:20:04.436]  It's the same thing.
[00:20:04.516 --> 00:20:05.676]  It's not Russia.
[00:20:07.318 --> 00:20:08.899]  The farmers aren't blaming Russia.
[00:20:08.999 --> 00:20:09.839]  It's preposterous.
[00:20:10.220 --> 00:20:21.188]  And of course, Biden last week tried to blame gas stations for the price, when everybody knows gas stations might make 20 cents a gallon on the frickin' gas.
[00:20:23.229 --> 00:20:24.450]  Most stations lose money.
[00:20:26.087 --> 00:20:30.649]  They use the gas to bring you in to buy soft drinks, beer, cigarettes, lottery tickets.
[00:20:31.749 --> 00:20:33.469]  I mean, this is just insane!
[00:20:35.630 --> 00:20:36.671]  But they think you're stupid.
[00:20:36.691 --> 00:20:37.651]  They think I'm stupid.
[00:20:37.691 --> 00:20:38.251]  But we're not.
[00:20:38.531 --> 00:20:39.612]  We know it's you.
[00:20:40.092 --> 00:20:41.732]  We know it's a worldwide agenda.
[00:20:43.313 --> 00:20:44.913]  Here's another clip.
[00:20:44.933 --> 00:20:46.394]  This is Gina McCarthy.
[00:20:47.574 --> 00:20:52.077]  This is one of the Obama administration advisors for the third Obama administration.
[00:20:52.097 --> 00:20:53.819]  I'm just going to refer to it as the Obama administration.
[00:20:54.099 --> 00:20:55.700]  The unelected third Obama administration.
[00:20:56.921 --> 00:20:58.622]  Making a lot of comments on these subjects.
[00:20:58.642 --> 00:20:58.983]  Here it is.
[00:21:00.131 --> 00:21:06.877]  We have opportunities now to transfer to clean energy in a way that grows thousands of jobs.
[00:21:07.117 --> 00:21:15.865]  We just had a recent report that was put out that's showing all of the energy in the employment stats from last year.
[00:21:16.286 --> 00:21:17.527]  Clean energy is winning!
[00:21:18.027 --> 00:21:19.988]  Fossil fuels losing jobs.
[00:21:20.389 --> 00:21:22.590]  We are gaining them every step of the way.
[00:21:23.070 --> 00:21:38.841]  And so the challenge is now that we're moving from denial to actually just trying to disengage the public from understanding the values of solar energy, the values of wind energy, the benefits of clean energy.
[00:21:39.241 --> 00:21:40.482]  We have to get tighter.
[00:21:40.842 --> 00:21:43.304]  We have to get better at communicating.
[00:21:43.684 --> 00:21:52.368]  And frankly, the tech companies have to stop allowing specific individuals over and over again to spread disinformation.
[00:21:52.728 --> 00:21:55.269]  That's what the fossil fuel companies pay for.
[00:21:55.629 --> 00:22:04.433]  That's what folks who make money out of fossil fuels and don't make money and don't care about saving consumers costs.
[00:22:04.713 --> 00:22:05.853]  That's what they do.
[00:22:06.153 --> 00:22:10.315]  We have to be smarter than that and we need the tech companies to really jump in.
[00:22:12.301 --> 00:22:13.722]  That's directly from the White House.
[00:22:15.123 --> 00:22:19.627]  And I could play you another hundred clips of the different criminals up there saying that.
[00:22:19.727 --> 00:22:21.829]  So they have a name for what she just said.
[00:22:22.449 --> 00:22:32.578]  It's called a declaration of war against you and your family and your standard of living to drive you into the social credit score, universal basic income bankruptcy.
[00:22:33.538 --> 00:22:34.339]  That's their game plan.
[00:22:34.419 --> 00:22:35.140]  Make you dependent.
[00:22:36.044 --> 00:22:39.086]  Take your right to defense away, take the police away while they have armed guards.
[00:22:39.606 --> 00:22:45.510]  Every level of it is a hypocritic fraud by this cult, and it is our acquiescence and our ignorance that allows them to do this.
[00:22:45.930 --> 00:22:46.590]  Did you hear?
[00:22:47.191 --> 00:22:56.016]  Now we want to take your speech not to say the vaccine isn't a vaccine, not to say hydroxychloroquine or other things work.
[00:22:57.472 --> 00:23:01.738]  Not to just block treatment with vitamin C or ivermectin.
[00:23:02.139 --> 00:23:11.572]  No, now we don't want you, and they're saying this everywhere, to be able to question not just man-made global warming, but all the policies they have of banning meat.
[00:23:12.461 --> 00:23:16.064]  And having a phone with a carbon credit, track everywhere you go, what you do.
[00:23:16.244 --> 00:23:17.926]  They're putting the ball and chain on.
[00:23:18.186 --> 00:23:20.328]  They're putting the handcuffs on.
[00:23:20.368 --> 00:23:26.032]  They're putting the chains on our bodies, on our economy, on us right now.
[00:23:26.413 --> 00:23:27.874]  So, when they take your speech...
[00:23:29.582 --> 00:23:41.568]  They then take your energy, your mobility, your freedom, and finally your life, which is their goal, global collapse and global depopulation.
[00:23:42.348 --> 00:23:48.311]  You will own nothing, you will have nothing, and you will like it.
[00:23:48.511 --> 00:23:54.694]  Think of the cult-like statements that this group is making.
[00:23:57.135 --> 00:23:58.676]  And then we've got stacks of news.
[00:24:01.653 --> 00:24:02.134]  Like this.
[00:24:02.754 --> 00:24:08.620]  Toronto police cause confusion with post about missing woman with goatee.
[00:24:09.261 --> 00:24:13.165]  And it looks like a crazy meth head schizophrenic with a full beard.
[00:24:13.546 --> 00:24:14.387]  Not just a goatee.
[00:24:15.668 --> 00:24:16.329]  Moustache.
[00:24:18.140 --> 00:24:22.162]  And they put that in your face and show you a man and say, we're looking for a missing woman.
[00:24:22.382 --> 00:24:32.106]  It's all about training you to just see absurdity everywhere, lies everywhere, the murder of logic and common sense everywhere, where you just go into a catatonic state and roll over.
[00:24:32.386 --> 00:24:32.706]  Guess what?
[00:24:32.726 --> 00:24:33.626]  I told you this was coming.
[00:24:34.066 --> 00:24:46.912]  Not just men competing in women's sports, now men are identifying as children and winning in a competition 10 years old to 18.
[00:24:49.011 --> 00:24:52.253]  Trans skateboarder defiant after beating child rivals.
[00:24:54.614 --> 00:24:56.595]  So, I identify as a 10-year-old.
[00:24:56.635 --> 00:25:00.397]  I'm gonna go join a peewee baseball group or a Pop Warner football.
[00:25:01.697 --> 00:25:03.258]  And I'm gonna play 10-year-olds and I'm gonna win.
[00:25:03.298 --> 00:25:04.859]  I'll be the greatest 10-year-old you ever saw.
[00:25:06.598 --> 00:25:07.719]  We got a lot more coming up.
