[00:00:00.731 --> 00:00:01.532]  Monday Live!
[00:04:02.228 --> 00:04:12.336]  The corporate deep states' attempt to consolidate power via controlled collapse has backfired, and they are now a victim of their own evil design.
[00:04:13.285 --> 00:04:19.791]  But the bad news is, like every tyrant and corrupt system in history, they're attempting to take us down with them.
[00:04:20.291 --> 00:04:27.037]  Tune in now and learn how we can stop this terrible process that we've all been drug into.
[00:04:27.057 --> 00:04:36.786]  But I want to be clear, it's not all the corporate leaders that are our enemies, it's not everybody in governments that are our enemies, it's not the police that are our enemies, or the black people, or the white people that are our enemies.
[00:04:37.607 --> 00:04:39.629]  It is ignorant people that are the problem.
[00:04:40.598 --> 00:04:45.220]  Being manipulated by very very corrupt individuals that seek more power and more control.
[00:04:45.801 --> 00:05:02.150]   And it's been our weakness as a society and a civilization, including mine and yours, that has allowed this level of evil To get control and to not feel like it has any checks and balances to what it's doing.
[00:05:02.771 --> 00:05:06.713]  You know, I personally became very popular on the radio very, very early.
[00:05:07.193 --> 00:05:08.213]  That's a lot of power to have.
[00:05:09.074 --> 00:05:12.415]  And I was always doing it really for the right reasons, but I still made mistakes.
[00:05:13.256 --> 00:05:17.758]  And I still hurt people in the process, but it was done from a place of trying to be good.
[00:05:18.618 --> 00:05:23.461]  And I've certainly learned as I've gotten older to be more careful with the power I wield, especially as that power has increased.
[00:05:24.477 --> 00:05:29.079]  That is not the normal process with the type of people that actually seek power.
[00:05:29.739 --> 00:05:34.982]  Most people would seek to be on the radio and TV so they could be famous, because they couldn't get a job in Hollywood.
[00:05:35.622 --> 00:05:43.646]  But I was offered the big jobs in Hollywood and turned them down, because I genuinely wanted to be with the people in the common populace.
[00:05:44.326 --> 00:05:45.466]  And that's really my goal.
[00:05:46.087 --> 00:05:55.489]  But that said, it's been my own process of learning how I've been wrong that has helped me grow up and really see what's wrong with the people that are controlling our planet.
[00:05:55.569 --> 00:05:59.370]  Selfish, arrogant, hateful, disconnected from God.
[00:05:59.891 --> 00:06:01.311]  They're the people we don't want to be.
[00:06:01.731 --> 00:06:04.152]  Huge show lined up for you today.
[00:06:04.972 --> 00:06:07.933]  I promise to take my four-year-old daughter camping for months.
[00:06:08.453 --> 00:06:10.193]  I'm about to take a couple days off and take her camping.
[00:06:10.493 --> 00:06:12.754]  But come up in about 30 minutes, Owen Schroyer takes over.
[00:06:13.034 --> 00:06:14.574]  But first, I've got a lot of big news to hit.
[00:06:14.594 --> 00:06:14.994]  Stay with us.
[00:06:16.074 --> 00:06:22.656]  Thank you for joining us on this live, teleprompter-free Monday, January 24, 2022 transmission.
[00:06:24.116 --> 00:06:44.876]   And I just ended it a little less than an hour ago, my testimony via Cisco Systems, I guess it wasn't Zoom or Skype, a connection, an interview, I guess testimony, deposition is the word, with the January 6th committee.
[00:06:46.017 --> 00:06:48.238]  And it was extremely interesting, to say the least.
[00:06:49.119 --> 00:06:51.360]  I wrote some notes here that I just want to get out of the way.
[00:06:52.449 --> 00:06:54.030]  Because it is newsworthy and important.
[00:06:54.070 --> 00:06:55.471]  And then I'm going to move on to the other big news.
[00:06:55.531 --> 00:07:02.375]  I know Troyer is coming in to take over because I, again, I'm taking my four and a half year old daughter camping.
[00:07:03.095 --> 00:07:09.519]  She really loves to run around in the woods and have bonfires and feed the horses out at my family's place in East Texas.
[00:07:09.559 --> 00:07:11.320]  So about to take a few days off.
[00:07:11.340 --> 00:07:21.543]   Despite looming war with Russia and all the other insane things that are going on, you got to sometimes Let your engine cool down, as they say.
[00:07:21.644 --> 00:07:23.365]  So, Owen Schroyer's taking over.
[00:07:24.365 --> 00:07:25.526]  Coming up in about 30 minutes.
[00:07:26.287 --> 00:07:36.674]  But I said this, my lawyer told me almost a hundred times today, during the interrogation, on advice of counsel, I am asserting my Fifth Amendment right to remain silent.
[00:07:37.295 --> 00:07:39.977]  And the media tells you that's because you're guilty.
[00:07:41.037 --> 00:07:49.346]  Or because you're going to incriminate yourself, but it's also just because it could be used to try to incriminate you and twist something against you.
[00:07:49.546 --> 00:07:59.436]  Adam Schiff is famous for creating fake quotes and fake transcripts and fake emails and fake text messages and fake conversations with people.
[00:07:59.456 --> 00:08:04.561]  I don't have to go over the list of them, but you know the famous one where he goes, let me read a transcript of the phone call with Trump.
[00:08:05.865 --> 00:08:06.905]  And the President of Ukraine.
[00:08:07.626 --> 00:08:09.527]  I'm the boss, you know, like the Godfather.
[00:08:09.867 --> 00:08:11.608]  Do what I say or you'll be destroyed.
[00:08:12.228 --> 00:08:13.688]  You don't call me, I call you.
[00:08:13.748 --> 00:08:14.309]  Is that clear?
[00:08:14.589 --> 00:08:15.849]  You'll fire that prosecutor.
[00:08:17.630 --> 00:08:18.170]  All lies.
[00:08:18.951 --> 00:08:26.714]  In fact, that's basically a transcript of what Biden said a few years before on the Council on Foreign Relations stage on C-SPAN.
[00:08:27.274 --> 00:08:35.118]  Biden actually said, I called him up and said, you better fire that prosecutor or I'll hold back a million dollars.
[00:08:36.483 --> 00:08:40.223]   I get on a plane in six hours, if it isn't done, you're not getting a billion dollars.
[00:08:40.223 --> 00:08:44.523]   Son of a bitch, they fired him and they got the billion dollars.
[00:08:44.523 --> 00:08:50.183]   So you can't walk in to something like that with people like that.
[00:08:50.183 --> 00:08:53.263]  I don't know who these lawyers are running it.
[00:08:53.263 --> 00:08:55.862]  I don't know if they're good people or bad people.
[00:08:55.862 --> 00:08:58.423]  They came off as polite and nice.
[00:08:58.423 --> 00:09:05.002]   But when you've got predators like Schiff back in the background like a moray eel in the rocks
[00:09:05.002 --> 00:09:10.022]   ready to come out and eat you, then there's no reason to even dignify it
[00:09:10.022 --> 00:09:11.342]  because it's not legitimate.
[00:09:11.493 --> 00:09:15.917]  Plus, the committee did not constitute the proper members of the Republican Party.
[00:09:15.957 --> 00:09:18.799]  It didn't allow the Republican Party to put forward its members.
[00:09:18.839 --> 00:09:20.680]  It refused most of those members.
[00:09:21.041 --> 00:09:25.244]  Now they've got that rhino, Republican in name only, Liz Cheney on there.
[00:09:25.965 --> 00:09:35.639]   But that said, The questions were overall pretty reasonable, and I wanted to answer the questions.
[00:09:36.580 --> 00:09:44.426]  But at the same time, it's a good thing I didn't, because I'm the type that tries to answer things correctly, even if I don't know all the answers.
[00:09:44.986 --> 00:09:46.767]  And they can then kind of claim that that's perjury.
[00:09:47.128 --> 00:09:59.017]  Because about half the questions, I didn't know the answer to, and a bunch of them were emails I'd never seen, and planning things I'd never seen, at least from memory.
[00:10:00.165 --> 00:10:03.448]  But then who knows, somebody might say, oh, you saw that member at dinner.
[00:10:03.468 --> 00:10:04.349]  And I'm like, I don't remember.
[00:10:04.669 --> 00:10:08.172]  Because it was all one big blur.
[00:10:08.272 --> 00:10:12.476]  And I just kind of jumped in the river of the million people in D.C.
[00:10:12.516 --> 00:10:13.277]  and floated down it.
[00:10:13.777 --> 00:10:18.362]  You're not in control of the river when you're floating on a tube down the rapids.
[00:10:20.936 --> 00:10:27.818]  I've got their questions here that I obviously couldn't answer under oath because then they could, if I said something even halfway wrong, put me in prison.
[00:10:28.138 --> 00:10:32.500]  And so I'm not going to give Schiff and those people what they want, which is too dangerous of a process.
[00:10:33.860 --> 00:10:36.921]  But they did have some questions that were important.
[00:10:37.942 --> 00:10:47.905]  Again, they have everything that's already on my phones and things, because I saw my text messages to Caroline Wren and Cindy Shafian and some of the event organizers.
[00:10:49.748 --> 00:10:50.128]  Right there.
[00:10:50.168 --> 00:10:51.268]  So they already have everything.
[00:10:51.989 --> 00:10:53.229]  And they already know I didn't do anything.
[00:10:53.269 --> 00:10:54.409]  I wasn't planning any violence.
[00:10:54.909 --> 00:10:57.110]  I was even talking about everybody should be peaceful.
[00:10:58.990 --> 00:11:01.271]  Again, I did not know a lot of the questions they asked.
[00:11:03.091 --> 00:11:09.733]  I had not seen the Matt Bracken clip from December 31st, 2020, when he was guest hosting, because I hadn't watched when he was guest hosting.
[00:11:11.253 --> 00:11:14.734]  And I had only seen it once they sent me the subpoena a few months ago.
[00:11:15.394 --> 00:11:16.875]  And quite frankly, I was shocked by it.
[00:11:17.782 --> 00:11:20.564]  Because I've never seen Matt Bracken basically call for things like that.
[00:11:20.604 --> 00:11:21.665]  He was always the opposite.
[00:11:22.185 --> 00:11:26.148]  He was always saying, look out for provocateurs and look out for federal plants.
[00:11:27.388 --> 00:11:30.290]  And he didn't normally do my show wearing an InfoWars shirt in all the background.
[00:11:30.330 --> 00:11:32.252]  I even noticed he's like an InfoWars guy.
[00:11:32.932 --> 00:11:44.180]  And then it's six days before January 6th and he's basically calling for what happened that day.
[00:11:45.160 --> 00:11:46.561]  But, oh, he wasn't there that day.
[00:11:46.601 --> 00:11:50.854]   He was up at the Washington Monument, if you believe him.
[00:11:51.335 --> 00:12:04.164]  I'm not going to read into whether he's a bad guy, whether he's a provocateur, or whether he just got hyped up in the emotion of the time, but to answer the committee's question, hell no, I don't support that, and that's not what we stand for.
[00:12:05.024 --> 00:12:11.429]  And speaking of capitals, they showed that photo that was all over the news of myself and Ali Alexander.
[00:12:12.309 --> 00:12:16.150]   Ali Alexander, Alex Jones at Georgia Capitol.
[00:12:16.170 --> 00:12:17.671]  You guys can probably search engine it and find it.
[00:12:18.051 --> 00:12:34.025]  And it's he and I walking up the steps to then have a photo shoot with a few hundred people that peacefully went in with the agreement of the state police and the Capitol Police with Vernon Jones, former state rep, I believe.
[00:12:34.545 --> 00:12:35.186]  Really nice guy.
[00:12:36.687 --> 00:12:38.088]  He said, would you like to go in the Capitol?
[00:12:38.848 --> 00:12:40.009]  I was, quite frankly, tired.
[00:12:40.029 --> 00:12:42.830]  I've been there having our demonstration, calling for an investigation of the election.
[00:12:43.431 --> 00:12:44.511]  I didn't really want to go in.
[00:12:44.992 --> 00:12:46.192]  We'd given our speech outside.
[00:12:46.212 --> 00:12:49.294]  I wanted to go back to the hotel and eat a cheeseburger and do my show.
[00:12:50.094 --> 00:12:52.636]  But Ali Alexander and Jones wanted to do it.
[00:12:52.696 --> 00:12:53.997]  So we went through the metal detectors.
[00:12:54.017 --> 00:12:55.057]  That took an hour and a half.
[00:12:56.298 --> 00:12:57.098]  We went inside.
[00:12:57.158 --> 00:12:59.379]  We had a peaceful event.
[00:13:01.240 --> 00:13:01.781]  And we left.
[00:13:02.501 --> 00:13:03.622]  So that was our goal.
[00:13:05.354 --> 00:13:07.635]  And they asked, who organized that and who planned that?
[00:13:09.396 --> 00:13:13.818]  I mean, I remember there were demonstrations already going on in Georgia.
[00:13:15.399 --> 00:13:20.641]  And so, as best I can remember, we just went there to be part of the demonstrations and to cover it, to be part of it.
[00:13:21.482 --> 00:13:28.585]  And then there's Vernon Jones, I think that's how you say his name, African-American fellow, really nice, really smart guy.
[00:13:29.185 --> 00:13:30.246]  Also spoke on January 6th.
[00:13:31.468 --> 00:13:32.029]  In DC.
[00:13:32.569 --> 00:13:34.290]  And so he invited us since we did the event.
[00:13:35.151 --> 00:13:41.256]  They asked me if we were with Proud Boys or if we were with Oath Keepers.
[00:13:41.316 --> 00:13:43.618]  And I do remember being at a Hooters.
[00:13:44.119 --> 00:13:50.444]  That was by our hotel eating and having, you know, there was some Proud Boys in there that sat down and I think we drank a beer and ate cheeseburgers again.
[00:13:51.585 --> 00:13:52.866]  So yeah, there's your answer there.
[00:13:53.547 --> 00:13:55.489]  Yeah, there's Vernon Jones with his arm around my shoulder.
[00:13:56.669 --> 00:14:00.350]  And so that was what we had was a very friendly, very nice event.
[00:14:01.371 --> 00:14:02.611]  There wasn't any violence.
[00:14:03.331 --> 00:14:07.913]  I'm told a few weeks later Antifa came out and there was some scuffles and ongoing demonstrations.
[00:14:07.953 --> 00:14:11.894]  But all I know is what I saw and what I witnessed.
[00:14:11.914 --> 00:14:13.115]  So there's the answer to that.
[00:14:14.762 --> 00:14:17.762]  They kept asking me, "Who was your White House connection?"
[00:14:17.762 --> 00:14:18.762]  Or, "Who was it?"
[00:14:18.762 --> 00:14:22.481]   Well, I mean, I knew that Caroline Wren was a big fundraiser, headed up one of Trump's
[00:14:22.481 --> 00:14:26.521]   PACs, and I knew that she, indeed, when I talked to other people, said, "Yeah, she's
[00:14:26.521 --> 00:14:28.162]  the one that sets up these events.
[00:14:28.162 --> 00:14:31.161]   It's not the White House itself that sets up events, but when you say the White House,
[00:14:31.161 --> 00:14:32.762]  it's the contact in the White House."
[00:14:32.762 --> 00:14:40.202]   So, yes, that was my contact for the 5th and the 6th was Caroline Wren, and that's what
[00:14:40.202 --> 00:14:42.441]  I called White House contact.
[00:14:42.441 --> 00:14:46.522]   She's there that day behind the stage with the Trumps and the family and talking to Secret
[00:14:46.522 --> 00:14:51.082]   Service, and the Secret Service in uniform come over and open the gate up and do direct
[00:14:51.082 --> 00:14:54.242]  us out and do lead us back to the White House.
[00:14:54.242 --> 00:15:04.242]  [BLANK_AUDIO]
[00:14:56.075 --> 00:15:01.076]  Back of the stage, so we could then go and get around the crowd, try to go lead the march.
[00:15:01.136 --> 00:15:05.177]  But by then, a million people were there, hundreds of thousands had already marched to the Capitol.
[00:15:07.157 --> 00:15:12.398]  And we come back, I keep meaning to play this video, for some reason we never do as B-roll, but it's gonna happen next segment.
[00:15:12.678 --> 00:15:13.318]  Just watch.
[00:15:14.158 --> 00:15:24.580]  And that's footage I and others shot, there's a lot of these clips, of once we figured out the people had gone to the Capitol and we couldn't stop it, we tried, we went up on the roof.
[00:15:26.079 --> 00:15:28.821]  And I'll show you the size of these crowds.
[00:15:29.181 --> 00:15:30.782]  You never see this footage on the news.
[00:15:31.303 --> 00:15:32.644]  This is only a small part of them.
[00:15:34.084 --> 00:15:39.188]  Just to give you an idea of how what a tiny group went in the Capitol, there's just oceans of every street and road full of people.
[00:15:39.268 --> 00:15:40.088]  It's a million people.
[00:15:40.869 --> 00:15:41.269]  A million.
[00:15:41.369 --> 00:15:43.771]  It's what the DC police estimated.
[00:15:43.791 --> 00:15:46.893]  And the idea that that could be controlled.
[00:15:46.933 --> 00:15:50.455]  I mean, I just know it was led by provocateurs into a crisis.
[00:15:52.157 --> 00:15:55.599]  It was mission impossible when a million people showed up.
[00:15:58.417 --> 00:16:01.200]  And they cut the amount of Capitol Police in half.
[00:16:01.240 --> 00:16:11.948]  But even the full contingent of Capitol Police couldn't stop even 10,000 people that wanted to break into the Capitol, much less a million people there thinking they were going to hear Trump's speech.
[00:16:12.869 --> 00:16:24.839]  And by the time a few hundred broke in, 800 or so, now they're saying maybe 2,000, waded their way into the Capitol having no idea what was going on.
[00:16:26.516 --> 00:16:29.339]  If you're a TV viewer, you see some of the footage I shot from the rooftop.
[00:16:29.839 --> 00:16:36.265]  You could then pan all the way around and see all the other streets full of people, and it went on for hours.
[00:16:36.305 --> 00:16:46.314]  You have to understand, what I just showed you on TV was in the afternoon, once I got up on the roof, when I was unable to stop people going into the building.
[00:16:47.515 --> 00:16:49.556]  And again, we didn't know Ashley Mabbitt had been shot.
[00:16:49.717 --> 00:16:58.364]   A red flare got shot at by police, and that's when my security Said, I don't know if they use the same military terminology, but a red flare means somebody just got killed or shot.
[00:16:59.105 --> 00:17:00.485]  We need to get out of here.
[00:17:00.565 --> 00:17:01.686]  We're not stopping this.
[00:17:02.206 --> 00:17:04.767]  Because by then we learned there were a bunch of people inside the Capitol.
[00:17:06.568 --> 00:17:10.530]  And that was so stupid and so dumb and we do not support that.
[00:17:10.550 --> 00:17:11.691]  I didn't support it that day.
[00:17:12.531 --> 00:17:13.392]  I don't support it now.
[00:17:13.432 --> 00:17:19.455]  But I don't support that million people that came there.
[00:17:21.414 --> 00:17:24.415]  And a tiny fraction went to the Capitol, and they're all being called terrorists.
[00:17:25.055 --> 00:17:27.316]  My personal doctor didn't even go to the Capitol.
[00:17:30.337 --> 00:17:32.298]  And they raided her house last year.
[00:17:33.178 --> 00:17:34.179]  Raided her with a SWAT team.
[00:17:35.239 --> 00:17:36.940]  Just to see what she had and what she'd done.
[00:17:36.980 --> 00:17:37.520]  Medical doctor.
[00:17:39.901 --> 00:17:43.702]  And... She thought maybe it was because she's my doctor.
[00:17:43.902 --> 00:17:50.465]  But, I mean, I... The doctor that owns the clinic's quasi-retired, so she's just been my doctor recently.
[00:17:51.425 --> 00:17:55.766]  I just need to get checkups, blood work done, like once a year.
[00:17:58.107 --> 00:18:01.268]  So that's how crazy this is.
[00:18:01.308 --> 00:18:03.749]  That's how big this dragnet is.
[00:18:06.190 --> 00:18:13.893]  And they kept, you know, asking me, do we use Oath Keepers?
[00:18:14.693 --> 00:18:17.254]  And did we use Proud Boys as security?
[00:18:19.347 --> 00:18:20.735]  I hire professional security.
[00:18:20.795 --> 00:18:22.464]  I'm not putting these people down, but...
[00:18:23.504 --> 00:18:31.806]  I get mobbed in these big crowds, and big crowds are dangerous, as anybody knows, just because people can stampede or there could be a backfire from a bus, and they're dangerous.
[00:18:32.327 --> 00:18:41.709]  So yeah, I had 12 or 14 security people for all those big events, because when you're out in the middle of hundreds of thousands of people, you need that just to be able to get places.
[00:18:42.329 --> 00:18:50.312]  And so I hired DC and Maryland police, and I hired a well-known private security company here in Austin.
[00:18:51.312 --> 00:19:00.922]  Uh, that is bonded and works for, not going to name names, but the people that work for me have worked for, you know, the richest people in the world, the biggest government people, all of it.
[00:19:01.562 --> 00:19:02.883]  Uh, they've guarded Hillary Clinton.
[00:19:02.923 --> 00:19:05.346]  They've guarded, you know, Joe Biden.
[00:19:05.366 --> 00:19:06.707]  They've guarded Michael Bloomberg.
[00:19:06.747 --> 00:19:07.708]  Hell, I'll just say the names.
[00:19:08.189 --> 00:19:10.471]  And so I, I go and try to get professional people.
[00:19:11.787 --> 00:19:13.308]  And of course, there's no way I had D.C.
[00:19:13.328 --> 00:19:17.689]  police and Maryland police off-duty with us trying to do an insurrection.
[00:19:18.369 --> 00:19:20.930]  By the way, the company we hired was all black guys.
[00:19:22.031 --> 00:19:23.431]  The four or five times we went to D.C.
[00:19:23.671 --> 00:19:25.692]  because that's the company that had good ratings for people we hired.
[00:19:26.092 --> 00:19:27.353]  I mean, big black guys.
[00:19:27.373 --> 00:19:31.714]  They were all basically the size of NFL linemen.
[00:19:31.834 --> 00:19:35.355]  I mean, 6'8", 6'6", with the little guys?
[00:19:35.876 --> 00:19:36.716]  Arms this big around?
[00:19:37.995 --> 00:19:44.203]  Yeah, and they were Democrats most, I think, basically, non-partisan, leaning liberal.
[00:19:44.683 --> 00:19:47.206]  So, no, we didn't go in some premeditated plan.
[00:19:47.507 --> 00:19:50.070]  We didn't believe the Capitol was being attacked with the D.C.
[00:19:50.110 --> 00:19:52.152]  and Maryland black police.
[00:19:52.633 --> 00:19:53.494]  Give me a damn break.
[00:19:54.475 --> 00:19:56.458]  And we got the hell out of there once we couldn't stop it.
[00:19:59.795 --> 00:20:02.657]  Trump thought there might be 30,000 people that came to DC.
[00:20:03.258 --> 00:20:04.399]  I set the ellipse up for that.
[00:20:04.859 --> 00:20:10.884]  Trump could not believe it, according to all the sources out there, that there was a million people.
[00:20:11.024 --> 00:20:12.045]  He kept marveling at it.
[00:20:12.065 --> 00:20:13.026]  He was super excited.
[00:20:13.046 --> 00:20:23.054]  And he has a tendency, and I believe this quote I've heard from witnesses of the committee, that he told Mark Meadows, oh, I told him I'd meet him down there, but I really wasn't going to go.
[00:20:23.114 --> 00:20:26.637]  I might drive by or fly the helicopter over, because he did that at our other events.
[00:20:28.376 --> 00:20:39.364]  And I was just about to leave with my wife, who was freezing, to go back to the hotel and drink coffee and take a hot shower and not even be part of the Capitol thing.
[00:20:39.384 --> 00:20:48.651]  Because I found it hard to believe from our, when I say White House source, campaign has to run events, but it's liaison within the White House, Caroline Wren.
[00:20:50.613 --> 00:20:52.014]  And I'm like, yeah, let's just get out of here.
[00:20:52.054 --> 00:20:53.835]  And I was talking to Enloe, who was with me.
[00:20:53.975 --> 00:20:56.777]  I took one security guy in to the Ellipse.
[00:20:56.897 --> 00:20:57.838]  Our other security was outside.
[00:20:58.929 --> 00:21:05.554]  And because that's a contained area with the Secret Service stuff where Trump was speaking with this 900,000 or whatever people around it.
[00:21:05.574 --> 00:21:07.875]  And I'm like, you know, maybe we just won't do this.
[00:21:09.056 --> 00:21:12.739]  Because they're like, and then all of a sudden, she's back there with all the Secret Service and people.
[00:21:13.139 --> 00:21:14.180]  She comes and opens the gate.
[00:21:14.660 --> 00:21:15.761]  They come over, they get me.
[00:21:16.541 --> 00:21:17.322]  They lead us through.
[00:21:17.862 --> 00:21:19.303]  Whatever it was, it was uniformed people.
[00:21:19.584 --> 00:21:20.464]  She said Secret Service.
[00:21:20.864 --> 00:21:22.806]  We go back and we get let out.
[00:21:24.307 --> 00:21:27.109]  And then I'm given the Mission Impossible job with a bullhorn.
[00:21:28.387 --> 00:21:37.653]  That you can maybe reach a thousand people with, to midstream, jump on Pennsylvania Avenue, where already, God knows, at least over 100,000 had gone before us.
[00:21:37.733 --> 00:21:40.695]  I don't know how many, but a sea of people to try to then control that.
[00:21:41.556 --> 00:21:43.237]  People ask, well, then why'd you get up and try to stop it?
[00:21:44.218 --> 00:21:45.478]  Well, that's a little uppity.
[00:21:45.518 --> 00:21:46.159]  No, it wasn't that.
[00:21:46.199 --> 00:21:49.901]  I mean, I felt like, I knew Ollie had this Lot 8 thing.
[00:21:50.262 --> 00:21:54.404]  It sounded like a pipe dream that Trump was going to come speak, but I hadn't, I just trusted everybody.
[00:21:54.444 --> 00:21:55.245]  I thought, okay, sure.
[00:21:55.265 --> 00:21:56.346]  We've done all these other big events.
[00:21:57.315 --> 00:21:59.077]  You're like, hey, you're going to speak at the Jericho event.
[00:21:59.697 --> 00:22:04.042]  And you go there, and it's a big setup and speakers, and you show up, and you go up, you give a 10-minute speech, and you're done.
[00:22:05.263 --> 00:22:06.504]  Same thing January 5th.
[00:22:07.665 --> 00:22:13.571]  And so, I can tell you what happened here, and just give you the basics of it.
[00:22:14.331 --> 00:22:19.364]   You make one little mistake talking to that committee, About what day something was on or whatever.
[00:22:19.524 --> 00:22:21.567]  They don't care if it's obvious it's political.
[00:22:21.847 --> 00:22:22.588]  They don't care.
[00:22:22.829 --> 00:22:24.331]  They got juries in D.C.
[00:22:24.591 --> 00:22:27.555]  that would convict a newborn baby and put it to death in order to do so.
[00:22:27.755 --> 00:22:28.216]  For breathing.
[00:22:28.857 --> 00:22:29.217]  Seriously.
[00:22:29.337 --> 00:22:29.718]  I've seen it.
[00:22:30.499 --> 00:22:33.883]  And so, you can't go into something like that.
[00:22:34.104 --> 00:22:34.564]  You can't.
[00:22:35.605 --> 00:22:38.188]  Uh, deal with something at that level of corruption.
[00:22:38.248 --> 00:22:38.708]  I'm sorry.
[00:22:39.189 --> 00:22:40.450]  And so the whole thing is tainted.
[00:22:40.490 --> 00:22:41.671]  It's like a big bowl of soup.
[00:22:41.992 --> 00:22:44.034]  You put one rat turd in it, it's no good.
[00:22:44.574 --> 00:22:46.416]  Well, this has got like hundreds of rat turds in it.
[00:22:46.816 --> 00:22:47.737]  And I'm not eating the soup.
[00:22:48.478 --> 00:22:50.220]  Uh, but I'll tell the public what really went on.
[00:22:51.541 --> 00:22:53.683]  I want to say this to the committee, too, because I know they're watching.
[00:22:53.703 --> 00:22:56.065]  They say they watch every day, basically, and all these clips.
[00:22:57.186 --> 00:22:58.708]  Or I, they imply they watch all the time.
[00:23:01.584 --> 00:23:06.026]  The background noise of this, they ask me, did you hear of any plans for violence?
[00:23:06.046 --> 00:23:06.807]  Yeah, the Democrats.
[00:23:07.107 --> 00:23:09.048]  We're going to burn everything down, you know, give us what we want.
[00:23:09.408 --> 00:23:11.609]  You see politicians or Republicans get in their face.
[00:23:11.889 --> 00:23:13.430]  The military is going to march Trump out.
[00:23:13.450 --> 00:23:14.890]  We're going to have military tribunals.
[00:23:15.191 --> 00:23:17.131]  We're going to arrest all the Trump supporters.
[00:23:18.552 --> 00:23:20.593]  We're going to have a military coup against Trump.
[00:23:20.953 --> 00:23:25.155]  We're going to, I mean, we heard all that from Pelosi and Maxine Waters, all of them.
[00:23:25.175 --> 00:23:28.197]  So that raised the background noise of garbage.
[00:23:29.201 --> 00:23:31.543]  And so yeah, all over talk radio, all over everywhere.
[00:23:32.163 --> 00:23:36.846]  There was, you know, headlines about insurrection acts and Trump was all over the news.
[00:23:36.886 --> 00:23:40.268]  But I was getting this from the news like everybody else.
[00:23:41.249 --> 00:23:42.709]  I didn't say I was an insider.
[00:23:43.150 --> 00:23:44.751]  I didn't say I had all the answers.
