[00:00:00.000 --> 00:00:06.000]  [Screaming]
[00:03:59.846 --> 00:04:07.170]  Because I already knew this, and I was already very close to this, and we've already talked about it at Nauseam, but it's admitted now, publicly.
[00:04:07.470 --> 00:04:11.673]  It was admitted in the documents and the reports and the rest of it, but here it is.
[00:04:13.897 --> 00:04:15.417]  And what am I talking about?
[00:04:16.197 --> 00:04:17.758]  End-of-the-world type stuff.
[00:04:18.378 --> 00:04:19.058]  Gain-of-function.
[00:04:19.638 --> 00:04:21.498]  Peter Daszak, Fauci, Bill Gates.
[00:04:22.118 --> 00:04:33.700]  They are like the 12-monkey cult in that great 1990s film with Bruce Willis where these elite cult biomedical scientists release a virus that kills everybody that comes in contact with it.
[00:04:35.401 --> 00:04:49.354]   They have developed not dozens, not hundreds, but thousands of different strains and different varieties of viruses That kill 99% of people that come in contact.
[00:04:51.096 --> 00:04:56.641]  And I've gone and pulled some of the older articles but yesterday it broke and I mentioned it as a footnote.
[00:04:57.482 --> 00:05:00.885]  And thank God it became a bigger story yesterday and everybody else is covering it and that's good news.
[00:05:01.766 --> 00:05:20.555]   But it just proves Fauci lied to Congress and all the rest of it that in Boston At Boston University, they developed with human mice clones, they're mice that have human DNA, so it's exactly the same as humans, 80% kill rate with a COVID.
[00:05:21.656 --> 00:05:23.516]  I told you they had stuff way worse than what they released.
[00:05:23.536 --> 00:05:24.656]  That was just the beta test.
[00:05:25.277 --> 00:05:26.317]  I'm going to tell you what's going on.
[00:05:26.357 --> 00:05:29.418]  I'm telling you, they could imminently release this and wipe everybody out.
[00:05:30.814 --> 00:05:34.938]  COVID was the beta test to see if we would stand down and stand our houses and die when they do it.
[00:05:34.958 --> 00:05:36.319]  They're preparing to kill everyone.
[00:05:36.559 --> 00:05:36.939]  Stay with us.
[00:05:38.100 --> 00:05:40.062]  Ladies and gentlemen, mark your calendars.
[00:05:40.843 --> 00:05:43.525]  Wednesday, October 19th, 2022.
[00:05:45.187 --> 00:05:56.216]  Remember in 2015, Obama was running a legal gain-of-function virus program in Chapel Hill, North Carolina, and then it got moved to China.
[00:05:57.110 --> 00:05:59.771]  Well, it turns out Fauci and Daszak lied to Congress.
[00:06:00.472 --> 00:06:07.895]  They created a COVID superweapon with an 80% kill rate, and it's in a lab right now in Boston, Massachusetts.
[00:06:08.836 --> 00:06:15.179]  On top of it, they admittedly want depopulation and are part of the globalist proto-Nazi cult.
[00:06:15.199 --> 00:06:16.099]  12 Monkeys is a movie.
[00:06:16.840 --> 00:06:18.840]  This is reality.
[00:06:18.840 --> 00:06:20.840]  Do you want to have a look at this?
[00:06:20.840 --> 00:06:24.840]  Excuse me, sir.
[00:06:24.202 --> 00:06:33.909]  Would you mind letting me have a look at the contents of your bag, please?
[00:06:36.171 --> 00:06:36.611]  Me?
[00:06:36.651 --> 00:06:37.732]  Biological samples.
[00:06:37.752 --> 00:06:40.454]  I have the papers right here.
[00:06:41.755 --> 00:06:44.477]  Well, I'm gonna have to ask you to open this up, sir.
[00:06:46.318 --> 00:06:48.820]  Open it?
[00:06:48.940 --> 00:06:49.541]  Yes, of course.
[00:06:51.650 --> 00:06:52.370]  What could be better?
[00:06:52.450 --> 00:06:53.751]  Come on, look over here!
[00:06:53.811 --> 00:06:54.591]  Look at the planes!
[00:06:54.692 --> 00:06:55.232]  Hurry up!
[00:06:55.672 --> 00:06:56.793]  Step on up, man!
[00:06:56.873 --> 00:06:58.714]  You'll have to get in the lounge!
[00:06:59.394 --> 00:06:59.694]  See?
[00:07:00.655 --> 00:07:01.375]  Biological.
[00:07:01.415 --> 00:07:02.115]  Check the papers.
[00:07:03.416 --> 00:07:05.297]  It's all proper.
[00:07:05.317 --> 00:07:11.280]  Permit.
[00:07:12.100 --> 00:07:12.580]  It's empty.
[00:07:13.221 --> 00:07:14.682]  Well, yes, to be sure.
[00:07:14.702 --> 00:07:16.402]  It looks empty.
[00:07:17.023 --> 00:07:19.404]  I assure you, it's not.
[00:07:20.936 --> 00:07:23.117]  No, ma'am, I don't have to understand.
[00:07:23.137 --> 00:07:23.898]  You've done that before.
[00:07:23.978 --> 00:07:25.279]  No, no, this is very important.
[00:07:25.299 --> 00:07:26.779]  There's a man in there.
[00:07:26.799 --> 00:07:27.360]  There you see?
[00:07:28.440 --> 00:07:29.981]  Also invisible to the naked eye.
[00:07:32.503 --> 00:07:37.605]  It doesn't even have an odor.
[00:07:38.586 --> 00:07:40.227]  That's not necessary, sir.
[00:07:40.247 --> 00:07:41.608]  There you go.
[00:07:41.708 --> 00:07:42.688]  Thank you for your cooperation.
[00:07:43.169 --> 00:07:45.169]  Have a good flight.
[00:07:45.169 --> 00:07:54.169]  Who are you calling a mom?
[00:07:54.169 --> 00:07:55.169]  I am calling you!
[00:07:55.463 --> 00:07:56.564]  Get your hands off me!
[00:07:56.584 --> 00:07:56.904]  Hold it!
[00:07:56.944 --> 00:07:57.404]  Wait a moment.
[00:07:57.624 --> 00:07:58.285]  You are getting fired!
[00:07:58.325 --> 00:07:59.085]  You are getting fired!
[00:08:00.346 --> 00:08:01.227]  You are a fucking moron!
[00:08:01.247 --> 00:08:01.868]  You're not getting fired!
[00:08:01.888 --> 00:08:03.048]  You're not getting fired!
[00:08:03.089 --> 00:08:04.249]  Shit!
[00:08:04.269 --> 00:08:04.410]  Stop!
[00:08:04.710 --> 00:08:05.230]  Get in the car!
[00:08:06.211 --> 00:08:06.651]  Get in the car!
[00:08:07.352 --> 00:08:07.712]  Get in the car!
[00:08:08.733 --> 00:08:09.253]  Get in the car!
[00:08:10.354 --> 00:08:11.095]  Get in the car!
[00:08:12.336 --> 00:08:13.176]  Get in the car!
[00:08:14.117 --> 00:08:14.657]  Get in the car!
[00:08:15.938 --> 00:08:16.319]  Get in the car!
[00:08:17.700 --> 00:08:18.200]  Get in the car!
[00:08:19.461 --> 00:08:20.121]  Get in the car!
[00:08:21.723 --> 00:08:22.383]  Get in the car!
[00:08:26.586 --> 00:08:28.586]  Police officer.
[00:08:28.586 --> 00:08:34.586]  [Alarm]
[00:08:34.586 --> 00:08:44.586]  [Shouting]
[00:08:44.586 --> 00:08:45.586]  Watch it.
[00:08:45.586 --> 00:08:52.586]  [Shouting]
[00:08:52.586 --> 00:08:56.586]  [Shouting]
[00:08:56.586 --> 00:08:58.586]  [Shouting]
[00:08:58.586 --> 00:09:02.586]  [Explosion]
[00:09:02.586 --> 00:09:04.586]  [Music]
[00:09:04.586 --> 00:09:08.586]   Silence InfoWars before they can stop the real biological attack that's coming.
[00:09:09.473 --> 00:09:10.894]  And they will kill you and your family.
[00:09:11.214 --> 00:09:13.155]  Most of you will be dead soon if we don't stop them.
[00:09:13.776 --> 00:09:17.798]  You're gonna be in your houses when everything's locked down, the power's off, and you're dying remembering I told you this.
[00:09:18.299 --> 00:09:18.959]  We don't stop them.
[00:09:18.979 --> 00:09:19.680]  But that's okay.
[00:09:20.100 --> 00:09:22.782]  At that point, just get right with God and realize it was a satanic attack.
[00:09:23.102 --> 00:09:23.963]  What matters is your soul.
[00:09:24.483 --> 00:09:27.565]  You and your children will be vomiting up blood and bleeding out of every orifice in your body.
[00:09:28.706 --> 00:09:30.367]  But at least you'll be politically correct and trending.
[00:09:32.028 --> 00:09:37.441]   Maybe you can spin some of your Money from all your anti-free speech lawsuits.
[00:09:39.362 --> 00:09:39.662]  Alright.
[00:09:40.763 --> 00:09:43.664]  What I've just said I 100% know.
[00:09:44.544 --> 00:09:45.445]  I don't believe it.
[00:09:45.965 --> 00:09:46.405]  I know it.
[00:09:47.966 --> 00:09:49.086]  So let me explain something.
[00:09:49.547 --> 00:09:52.768]  I've talked about this until my jaw literally aches.
[00:09:54.209 --> 00:09:58.231]  And I've hammered it and I've shown you literally thousands of examples over the years.
[00:09:58.571 --> 00:09:59.932]  And I've pulled up some examples today.
[00:10:00.700 --> 00:10:22.457]  But every major government, whether it's the British, or the Australians, or the Russians, or the Chinese, or the US, or the South Africans, or the list goes on and on, along with major corporations, have been creating for at least 30 years, since they had the ability to create synthetic DNA.
[00:10:24.539 --> 00:10:29.518]   Viruses That kill whatever amount they want.
[00:10:29.718 --> 00:10:34.499]  They can have it kill 1%, like COVID, or they can have it kill 90-plus percent.
[00:10:34.519 --> 00:10:41.780]  Some people are so immune, have such good health, and such good vitamins and minerals, that it happened with the rats, too, and the mice, that it doesn't kill them.
[00:10:42.340 --> 00:10:43.580]  In fact, they don't even get infected.
[00:10:45.841 --> 00:10:52.162]  Just like there's poisons they spray on cockroaches, and just a certain percentage are immune, and then they have babies, and they're totally immune within three generations.
[00:10:52.702 --> 00:10:53.283]  So we're tough.
[00:10:54.643 --> 00:10:55.243]  We're damn tough.
[00:10:56.630 --> 00:10:58.851]  In fact, they call us the mammalian cockroach.
[00:10:58.911 --> 00:11:03.032]  That's what the globals call their own species, if they are human.
[00:11:04.113 --> 00:11:04.673]  So we're tough.
[00:11:04.873 --> 00:11:05.653]  Our livers are tough.
[00:11:05.713 --> 00:11:06.633]  Our blood cells are tough.
[00:11:06.693 --> 00:11:07.734]  Our white blood cells are tough.
[00:11:08.034 --> 00:11:08.794]  We're tough as snails.
[00:11:08.994 --> 00:11:09.394]  We're tough.
[00:11:10.075 --> 00:11:12.075]  Especially when we know we're under attack and gear up to deal with it.
[00:11:13.756 --> 00:11:22.979]  But I've got all this huge news today, but the news that broke yesterday, and it's now all over and confirmed, and they're hiding it in plain view and saying, what's the big deal?
[00:11:24.321 --> 00:11:40.873]  Is the usual suspects, Fauci and Bill Gates, funding it, along with Peter Daszak, at the Boston University Medical Science Center, in the last five years, created a COVID.
[00:11:41.173 --> 00:11:41.813]  Oh, isn't it funny?
[00:11:41.874 --> 00:11:42.374]  It's COVID.
[00:11:45.407 --> 00:11:47.909]  That kills 80% of the humanized mice.
[00:11:48.109 --> 00:11:51.171]  And these mice are animal-human chimeras.
[00:11:51.271 --> 00:11:54.553]  They're part human, so it has the same effect on mice as it does on humans.
[00:11:54.813 --> 00:11:55.693]  It's about exactly the same.
[00:11:58.255 --> 00:11:58.975]  Gain of function.
[00:11:59.015 --> 00:12:02.698]  Boston University creates COVID strain with 80% mortality rate.
[00:12:02.958 --> 00:12:04.459]  And they're like, yeah, big deal!
[00:12:07.721 --> 00:12:12.724]  We've got a virus that kills 80% of the people that get it.
[00:12:16.394 --> 00:12:17.774]  But it's for biomedical research.
[00:12:18.515 --> 00:12:21.896]  And they get in front of Congress and say, no, no, no, we've never taken a virus and made it more deadly.
[00:12:22.056 --> 00:12:23.216]  The definition of gain of function.
[00:12:24.837 --> 00:12:47.559]   When there's been major scandals in the last 30 years, all over the world, particularly the U.S., where good scientists, like in the case of 2015, said they are creating a gain of function SARS chimeric virus at Chapel Hill, That depending on the variant could kill 80% of people.
[00:12:48.620 --> 00:12:50.601]  That's what I told you, because I've got all the angles here.
[00:12:51.181 --> 00:12:53.002]  They didn't release one of their really strong ones.
[00:12:53.362 --> 00:12:57.644]  And it was a new virus, a Chimera, not a cold, not a flu, totally new.
[00:12:59.305 --> 00:13:14.452]   They released it, killed a bunch of people, blocked the therapeutics to protect you, and then rolled out a vaccine, that's not a vaccine, that creates the autoimmune destroying, blood clot creating, heart attack triggering, stroke inducing, Spike protein.
[00:13:16.112 --> 00:13:43.915]   And so, at the University of Texas, Galveston, and at Boston University Medical Center, and at 46 other labs in the United States, in CONUS, continental United States, that they admit they have developed not just super COVID, but super mousepox that infects humans, and wait for it, has a 99% kill rate, Inhumanized mice.
[00:13:45.856 --> 00:13:48.076]  And apples to apples, it does the same thing to humans.
[00:13:48.756 --> 00:13:49.556]  Let me explain that again.
[00:13:50.917 --> 00:14:01.599]  They got viruses that literally eat your skin off and kill 99% of people, and they're all a bunch of leftist, transhumanist, anti-God scum.
[00:14:02.559 --> 00:14:05.860]  They're not just gonna stop trying to sterilize your son or cut your daughter's breast off.
[00:14:06.100 --> 00:14:07.640]  They're not gonna just stop shipping in fentanyl.
[00:14:08.120 --> 00:14:11.041]  They are a death cult that wants to kill you.
[00:14:13.752 --> 00:14:15.774]  Dr. Eric Bianca, the head of the biology department at UT.
[00:14:15.814 --> 00:14:16.635]  He's in my film, Endgame.
[00:14:17.635 --> 00:14:18.176]  He was the head then.
[00:14:18.576 --> 00:14:21.799]  He came out, gave a speech, and said, I can't wait till the airborne Ebola is released.
[00:14:22.179 --> 00:14:23.961]  It kills 90% of humanity.
[00:14:25.502 --> 00:14:29.626]  He got a standing five, six minute ovation, the news reported.
[00:14:31.488 --> 00:14:37.393]  That's your scientist, at UT, in a ballroom with 2,000 people, and the reporters were there.
[00:14:40.097 --> 00:14:43.159]  And he clarified, he said, yeah, I do think all of humanity should be basically wiped out.
[00:14:43.419 --> 00:14:45.140]  His students came out and said, he's a great man.
[00:14:46.261 --> 00:14:48.062]  We should kill all humans, not just 90%.
[00:14:48.422 --> 00:14:50.863]  And then I looked up the student that said that, it's a former student.
[00:14:51.204 --> 00:14:54.205]  She was working in San Diego at a bioweapons lab.
[00:14:58.268 --> 00:15:01.269]  She says, Pianta's too liberal, meaning too lenient.
[00:15:01.890 --> 00:15:03.431]  We want to kill everybody.
[00:15:04.264 --> 00:15:07.126]  She said, can you not deny humanity's a parasite?
[00:15:07.467 --> 00:15:21.158]  So we're sitting here while these monsters have created things far more dangerous than nuclear reactors, while they lecture us all day about, oh, Kanye said this, or Alex Jones said that, while they have created this, and we sit there and we let them do it.
[00:15:21.578 --> 00:15:22.399]  And here's what's scary.
[00:15:22.939 --> 00:15:24.500]  When we come back, I'm gonna explain the rest of the story.
[00:15:25.281 --> 00:15:26.882]  They are preparing to release it.
[00:15:28.283 --> 00:15:30.685]  So, we either stop them, or we die.
[00:15:30.705 --> 00:15:31.446]  We'll be right back.
[00:15:32.563 --> 00:15:42.673]  I should add we have Jack Posobiec, one of the smartest people I know, one of the greatest patriots living, joining us coming up next segment.
[00:15:43.273 --> 00:15:48.758]  Then we have the filmmakers of The Real Anthony Fauci with Robert Kennedy Jr.
[00:15:48.998 --> 00:15:51.321]  coming up in the third hour today.
[00:15:52.634 --> 00:16:09.869]  Okay, so you've all seen, I would guess, it's been everywhere, the last seven hearings with Senator Paul, Dr. Paul, saying you did gain a function, you let a conference call gain a function, you let a conference promoting gain a function, you funded gain a function, and Fauci lies and says we've never done gain a function.
[00:16:12.672 --> 00:16:18.377]  And then we learn, and they don't deny it, they go, of course we made something that kills 80% of humans, what's the big deal?
[00:16:21.980 --> 00:16:25.023]  It's in case somebody else produces it, we'll have the cure.
[00:16:25.263 --> 00:16:33.810]  But they're the ones that cooked it up, released it, the earlier, weaker version, as a beta test, and then gave us a poison shot that didn't protect us.
[00:16:34.050 --> 00:16:38.514]  And they're the ones that run depopulation foundations worldwide with the UN.
[00:16:40.035 --> 00:16:41.837]  Bill Gates says he wants to depopulate you.
[00:16:41.877 --> 00:16:43.298]  Bill Gates says he wants to kill you.
[00:16:43.338 --> 00:16:45.039]  Bill Gates says he wants to cut your power off.
[00:16:45.059 --> 00:16:46.520]  Bill Gates says he wants a new world order.
[00:16:47.301 --> 00:16:48.182]  Klaus Schwab says it.
[00:16:49.764 --> 00:16:55.748]  And then, they produce the weapons illegally to do it, and laugh at us, and you know what?
[00:16:55.808 --> 00:17:07.156]  If we let them do this, I mean, think of somebody that works at the FBI, or the Justice Department, or the media, or academia, or the intelligentsia, and the clergy.
[00:17:07.536 --> 00:17:09.358]  Where are they?
[00:17:12.560 --> 00:17:23.322]   If I was a selfish person, I would be in a cabin with my family in the middle of nowhere, raising crops, staying away from folks, around neighbors that knew what was going on.
[00:17:24.723 --> 00:17:27.865]  I would be out right now, or years ago, looking for those places.
[00:17:29.347 --> 00:17:43.893]   Because as sure as the sun came up this morning, and as sure as it'll set this evening, The New World Order did their beta test and said, after we're done releasing the first virus, we'll then start cutting power off and having climate shutdowns.
[00:17:44.133 --> 00:17:54.076]  Whether people like it or not, there won't be enough energy and that will train them to stay put when the cyber attack comes and the power's turned off and then another viral attack.
[00:17:54.456 --> 00:17:58.938]  They think you're so dumb, they scripted it all publicly.
[00:18:01.261 --> 00:18:06.124]  Now obviously, I put a big fat target on my back exposing this, but you know what?
[00:18:06.284 --> 00:18:07.765]  I'm not gonna be part of this.
[00:18:09.105 --> 00:18:10.206]  And so I'm gonna tell everybody.
[00:18:11.366 --> 00:18:12.787]  And deep down in your guts, you know this.
[00:18:13.087 --> 00:18:14.108]  Even if you're a sociopath.
[00:18:16.830 --> 00:18:37.783]  If you don't speak out against this, if you don't rally and protest, if you don't go to every city council and county commission and school board and use that pulpit to talk about this, if you don't call C-SPAN, if you don't rally at Congress, if you don't do whatever you've got to legally and lawfully to expose these mass murderers, they already drilled and set up emergency camps around the world for the next more powerful virus.
[00:18:38.677 --> 00:18:40.798]  They're not going to release one that kills 80% the next round.
[00:18:41.239 --> 00:18:46.683]  They release one that kills 1% as I said they do 20 years ago, then they beta test, they release another one that'll kill 20%.
[00:18:47.003 --> 00:18:51.446]  Then people will really be scared and accept the permanent lockdown.
[00:18:52.386 --> 00:19:14.138]   Then once you're in the new permanent lockdown, once you accept that, once the combat robots are in the streets, once everything's controlled, once the carbon tracking's in place, once the medical ID's in place, Within two years of that being in place, they will release multiple, because they know certain percentages are immune.
[00:19:15.039 --> 00:19:18.220]  They'll release a mousepox that they've weaponized that kills 90 plus percent.
[00:19:18.640 --> 00:19:20.922]  They'll release a super COVID that kills 80 percent.
[00:19:24.944 --> 00:19:25.984]  I've studied the enemy a long time.
[00:19:26.004 --> 00:19:30.806]  I think they'll release three bio weapons at once that they obviously have the cure for, but you won't be given it.
[00:19:31.307 --> 00:19:38.370]   And they'll believe that with three bio attacks hitting, And the media control of the beta test have corporate media and big tech sensor.
[00:19:38.730 --> 00:19:40.852]  They'll be able to have you locked down and carry this out.
[00:19:41.132 --> 00:19:42.453]  So you've been told their plan.
[00:19:43.897 --> 00:19:56.161]  It's there, and I just want to ask people that get a paycheck at the media, or a paycheck at the Justice Department, or a paycheck wherever, where you go along with this, why not be like Senator Paul, or DeSantis, or his Surgeon General?
[00:19:56.421 --> 00:19:58.521]  Why not be involved in self-preservation?
[00:19:58.821 --> 00:20:09.124]  The globalists say they want to kill you, they run depopulation agendas, they've been caught releasing bioweapons, they've been caught giving you poison shots, they've been caught lying to Congress, saying they're not developing superweapons, and then here it is again!
[00:20:09.144 --> 00:20:11.805]  And here's my frustration.
[00:20:12.881 --> 00:20:17.124]  They've been hiding in plain view for a long time, so in case it came out, they'd say, oh, no big deal.
[00:20:17.904 --> 00:20:20.486]  Yeah, we produced a mousepox kills 90 plus percent.
[00:20:20.886 --> 00:20:24.849]  Yeah, we produced a COVID that kills 80 percent.
[00:20:26.530 --> 00:20:27.751]  What's the big deal?
[00:20:31.013 --> 00:20:34.855]  And China's the beta test for the martial law, so I'll announce it again in case you just tuned in.
[00:20:36.636 --> 00:20:37.417]  They've now come out.
[00:20:38.274 --> 00:20:46.218]  Getting ahead of whistleblowers that have gone public to Congress, we know behind the scenes, that's about to happen, come out, and said, okay, yeah, we did gain a function at Boston Medical School.
[00:20:48.819 --> 00:20:50.180]  Yeah, and it kills 80% of you.
[00:20:50.901 --> 00:20:52.801]  That's not 12 monkeys a movie.
[00:20:53.302 --> 00:20:55.463]  That's the real world, boys and girls.
[00:20:58.504 --> 00:21:03.227]  You think you're going to be protected because you're in the FBI, or you're a federal marshal, or you're a bureaucrat?
[00:21:05.128 --> 00:21:09.912]  The globalists are going to wipe you out along with all of us and we're just going to sit here like we're in a cult?
[00:21:10.313 --> 00:21:11.534]  Like we're in Stockholm Syndrome?
[00:21:11.554 --> 00:21:15.877]  Like we're at Jim Jones' Guiana facility and we're going to drink the cyanide-laced Kool-Aid?
[00:21:15.977 --> 00:21:16.238]  Really?
[00:21:17.018 --> 00:21:17.279]  Really?
[00:21:20.121 --> 00:21:22.943]  That's why they've attacked me more than anybody because they know I'm on to them.
[00:21:23.204 --> 00:21:27.868]  I've got their number and they want you to be inoculated psychologically that when you hear something from Alex Jones, you don't listen.
[00:21:29.735 --> 00:21:31.636]  That's why they moved heaven and earth to demonize me.
[00:21:31.656 --> 00:21:35.539]  Because they know what I already said is already out there and they're going to do it.
[00:21:36.000 --> 00:21:38.101]  So even if they put me in prison or killed me, that won't work.
[00:21:38.121 --> 00:21:38.902]  It turns me into a martyr.
[00:21:39.142 --> 00:21:42.365]  They need to demonize me fully so you won't listen and stop them.
[00:21:44.126 --> 00:21:45.747]  Quote Monkey's global emergency alert.
[00:21:45.827 --> 00:21:50.291]  Globalist secretly developed super-COVID that kills 80% of those exposed at Boston Lamb.
[00:21:51.792 --> 00:21:53.133]  You might want to share that link.
[00:21:54.758 --> 00:21:58.160]  Here's the Daily Mail, it's in Reuters, it's in AP, but they're like, oh, it's not a big deal.
[00:21:58.441 --> 00:21:59.521]  Daily Mail got it right, though.
[00:21:59.902 --> 00:22:08.748]  Outrage as Boston University creates COVID strain that has an 80% kill rate in mice-human chimera clones.
[00:22:09.889 --> 00:22:10.990]  This is playing with fire.
[00:22:11.030 --> 00:22:12.951]  It could spark a lab-generated pandemic.
[00:22:13.031 --> 00:22:13.591]  Oh, think so?
[00:22:14.032 --> 00:22:18.035]  Experts slam Boston Lab where scientists have created a new deadly COVID strain with an 80% kill rate.
[00:22:20.086 --> 00:22:25.370]  Bill Gates funded it, Peter Daszak's involved, Anthony Fauci, always the same criminals.
[00:22:26.752 --> 00:22:33.257]  Boston University scientists were today condemned for playing with fire after it emerged they had created a lethal new COVID strain in a laboratory.
[00:22:34.018 --> 00:22:45.888]  Daily Mail revealed that the team had made the hybrid virus combined with Omicron, this is the newest version, they've been doing it for five years, and the original Wuhan strain that killed 80% of mice in a study.
[00:22:46.769 --> 00:22:52.113]  The revelation exposes how dangerous virus manipulation research continues to go on even in the U.S.
[00:22:52.153 --> 00:22:54.796]  despite fierce similar practices may have started the pandemic.
[00:22:54.976 --> 00:22:55.376]  May have.
[00:22:56.297 --> 00:22:57.198]  Now let's go back here.
[00:22:57.758 --> 00:23:05.524]  I remember 14 years ago, making a big deal about it, and the headlines, I was able to find it this morning, this was 14 years ago, but you can look it up, we're gonna find it.
[00:23:05.544 --> 00:23:07.966]  I just said 10 minutes because I was busy.
[00:23:08.547 --> 00:23:09.608]  I spent an hour, I'll find it.
[00:23:09.688 --> 00:23:10.649]  The crew had no luck either.
[00:23:11.750 --> 00:23:30.519]   And the headlines in the Australian, I remember it was in the Australian when I covered it, Australian.au was university criticized for releasing genetic code of mousepox that kills 90 plus percent.
[00:23:30.659 --> 00:23:31.259]  That was the headline.
[00:23:35.221 --> 00:23:38.722]  And they said, why would you develop this and then put the code out?
[00:23:38.862 --> 00:23:41.342]  Because now they can genetically synthetically make things.
[00:23:43.403 --> 00:23:46.324]  For plausible deniability when they release it.
[00:23:47.981 --> 00:23:49.442]  They just hit you with the beta test.
[00:23:49.462 --> 00:23:50.844]  They just hit you with the poison shot.
[00:23:51.204 --> 00:23:52.926]  And now they're gearing up for even more.
[00:23:53.906 --> 00:23:56.569]  Jack Posobiec is going to cover this and the waterfront with us.
[00:23:57.089 --> 00:23:58.851]  Straight ahead, Infowars.com.
[00:23:59.211 --> 00:24:00.452]  Tomorrow's news today.
[00:24:01.113 --> 00:24:03.175]  Take the live feeds and share it now.
[00:24:04.636 --> 00:24:12.564]  Jack Posobiec is coming up to lay out the latest developments with the war in Ukraine, the economy, the midterms, 20 days out.
[00:24:13.556 --> 00:24:14.317]  And so much more.
[00:24:14.357 --> 00:24:22.503]  But our number one, gigantic, over-the-top story is the admission that Anthony Fauci and others lied to Congress about gain-of-function research.
[00:24:22.903 --> 00:24:28.427]  Now secret projects they ran with Bill Gates funding is being reported by the Associated Press, Reuters, you name it.
