[00:00:00.149 --> 00:00:00.549]  It's on.
[00:04:34.149 --> 00:04:38.652]  Are you prepared to destroy the enemy?
[00:04:38.732 --> 00:04:39.252]  You bet!
[00:04:39.732 --> 00:04:43.915]  Defending the Republic from enemies, foreign and domestic.
[00:04:44.055 --> 00:04:46.997]  We'll keep control, but we'll keep it here at the top, where it belongs.
[00:04:47.017 --> 00:04:49.599]  3... 2... 1... Impact!
[00:04:50.619 --> 00:04:54.381]  Shall we play a game?
[00:04:54.322 --> 00:05:00.322]  How about global thermonuclear war?
[00:05:00.322 --> 00:05:05.322]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:05.320 --> 00:05:07.321]  All units confirm weapons targeted and ready.
[00:05:07.582 --> 00:05:08.422]  Awaiting launch codes.
[00:05:08.442 --> 00:05:10.003]  We are at a launch mode.
[00:05:10.104 --> 00:05:14.487]  Do you really believe that the enemy would attack without provocation?
[00:05:14.707 --> 00:05:18.670]  If you are receiving this transmission, you are the resistance.
[00:05:19.110 --> 00:05:19.511]  We're in!
[00:05:19.551 --> 00:05:21.993]  The Russians are still denying everything, sir.
[00:05:22.353 --> 00:05:24.294]  We have a Soviet submarine launch detection.
[00:05:24.615 --> 00:05:26.536]  I wish I didn't know about any of this.
[00:05:26.977 --> 00:05:28.418]  I wish I was like everybody else.
[00:05:28.898 --> 00:05:35.898]  The only winning is not today.
[00:05:35.898 --> 00:05:42.898]  [Applause]
[00:05:43.898 --> 00:05:51.898]  [Music]
[00:05:52.169 --> 00:05:53.090]  It's all come out.
[00:05:53.691 --> 00:06:00.136]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[00:06:00.456 --> 00:06:02.958]  And the social engineers fear that so much.
[00:06:03.679 --> 00:06:09.464]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[00:06:11.360 --> 00:06:16.629]  The propaganda would not be necessary if the situation was hopeless.
[00:06:17.169 --> 00:06:28.850]   They need all their propaganda and all their lies and all their evil and all their cultural death because they in the end they signed on the God of this world who is a
[00:06:28.850 --> 00:06:32.651]   loser. And that's why it's so important that everybody keep InfoWars in the air now
[00:06:32.651 --> 00:06:37.670]   more than ever. Because even if you don't believe in God, what the globalists are manifesting
[00:06:37.670 --> 00:06:39.250]  and setting up is satanic.
[00:06:39.250 --> 00:06:43.250]   And we are opposing the one world government and the mark of the beast they just announced.
[00:06:43.250 --> 00:07:01.250]  The answer to 1984 is 1776. InfoWars has been banned.
[00:07:01.250 --> 00:07:03.831]  (upbeat music)
[00:07:03.549 --> 00:07:03.889]  Arrested.
[00:07:03.909 --> 00:07:08.812]  Attacked and threatened.
[00:07:10.252 --> 00:07:11.913]  Because we are effective.
[00:07:11.973 --> 00:07:15.055]  The Great Awakening is here.
[00:07:15.375 --> 00:07:17.036]  Go to Banned.Video.
[00:07:17.736 --> 00:07:19.877]  Download the videos and share.
[00:07:21.798 --> 00:07:31.247]   Support the Information War at InfoWarsStore.com and never give up the fight.
[00:07:31.247 --> 00:07:33.826]  (upbeat music)
[00:07:33.826 --> 00:07:41.507]  Infowars.com.
[00:07:41.507 --> 00:07:47.247]  (upbeat music)
[00:07:47.247 --> 00:07:55.408]   Next week in Geneva, Switzerland, members of the World Health Organization,
[00:07:55.408 --> 00:07:59.766]   which was founded on the principles of establishing a one world government,
[00:07:59.766 --> 00:08:06.828]   will be voting to give themselves worldwide authority when it comes to official international health emergencies.
[00:08:07.389 --> 00:08:15.777]  The same World Health Organization who praised Communist China's extreme authoritarian lockdown against the Chinese people.
[00:08:16.610 --> 00:08:20.633]  ...who suggested forcibly separating families to quarantine them.
[00:08:20.933 --> 00:08:30.339]  In most parts of the world, due to lockdown, most of the transmission that's actually happening in many countries now is happening in the household, at family level.
[00:08:31.019 --> 00:08:36.043]  In some senses, transmission has been taken off the streets and pushed back into family units.
[00:08:37.478 --> 00:08:46.981]  Now we need to go and look in families to find those people who may be sick and remove them and isolate them in a safe and dignified manner.
[00:08:47.301 --> 00:08:49.722]  And who was caught faking the H1N1 pandemic in 2010.
[00:08:52.663 --> 00:09:06.753]  The same World Health Organization run by Tedros Adhanom Ghebreyesus, who's been working with the Clinton Foundation and the Bill and Melinda Gates Foundation since 2007, who said that the lockdowns will never end.
[00:09:06.773 --> 00:09:12.357]  I repeat, there will be no return to the old normal for the foreseeable future.
[00:09:12.737 --> 00:09:19.363]  And that the war in Ukraine was getting massive attention as a result of bias against black lives.
[00:09:19.964 --> 00:09:20.444]  The U.S.
[00:09:20.464 --> 00:09:23.287]  government is in full support of this new U.N.
[00:09:23.387 --> 00:09:37.581]  treaty with the WHO and has submitted 13 amendments, which will be voted on next week, that will give the WHO international authority on lockdowns, forced quarantines, and forced vaccinations.
[00:09:37.961 --> 00:09:45.105]  According to constitutional lawyer Robert Barnes, none of this is legally binding until a treaty is approved by the U.S.
[00:09:45.145 --> 00:09:45.425]  Senate.
[00:09:45.886 --> 00:09:51.429]  But the law hasn't been stopping these criminals from committing crimes against humanity so far.
[00:09:51.949 --> 00:09:58.233]  And if they plan on staying in power, they are going to have to bring back the lockdowns and the ballot-harvesting mules.
[00:09:58.893 --> 00:09:59.954]  So we know it's coming.
[00:10:00.374 --> 00:10:05.237]  And it will soon be climate lockdowns to go with their climate migration.
[00:10:05.857 --> 00:10:10.620]  People are waking up, but the UN's agenda is aggressively pressing forward.
[00:10:11.300 --> 00:10:24.727]  The United Nations is meeting this week with members of the Mayor's Migration Council, which is comprised of nine mayors from nine different cities throughout the world, including Eric Garcetti of Los Angeles, California.
[00:10:25.387 --> 00:10:36.133]  The Mayor's Migration Council is funded by George Soros' Open Society Foundations, sponsored by the Rockefeller Foundation, and partnered with the United Nations.
[00:10:36.693 --> 00:10:38.874]  And their stated goal is pretty clear.
[00:10:39.294 --> 00:10:51.201]  They want to grant mayors the ability to bypass state and federal government when it comes to what they call climate migration, and go straight to international organizations for resources.
[00:10:51.861 --> 00:11:09.024]  They are inviting all interested mayors or senior city staff members to contact them at contact at mayorsmigrationcouncil.org to learn how to engage with the international system and learn how to get funding and boots on the ground support.
[00:11:10.120 --> 00:11:13.965]  This all sounds completely illegal, but who's going to stop them?
[00:11:14.485 --> 00:11:25.379]  There is no longer any justice in America, so expect more lockdowns as the food supply diminishes and the population around you surges with hungry foreign migrants.
[00:11:26.760 --> 00:11:33.760]  Reporting for InfoWars, this is Greg Reese.
[00:11:33.760 --> 00:11:40.760]  [Music]
[00:11:40.760 --> 00:11:48.160]   350 million or more people in Africa and then 12 die of Ebola in one little town.
[00:11:48.192 --> 00:11:49.293]  They go, Oh, Ebola!
[00:11:49.594 --> 00:11:50.274]  Ebola!
[00:11:50.535 --> 00:11:51.215]  Ebola!
[00:11:51.315 --> 00:11:52.156]  Oh, Ebola!
[00:11:52.316 --> 00:11:59.224]  And they had Syrian people saying, saying, diseases will be coming out of the rainforest because Mother Earth is mad!
[00:11:59.564 --> 00:12:02.027]  Literally like witch doctors going, Booga booga!
[00:12:02.067 --> 00:12:02.868]  Some not come back!
[00:12:03.408 --> 00:12:06.530]  You know, when we have floods and rain and meteors might hit the Earth.
[00:12:06.690 --> 00:12:08.731]  What if a meteor hits the Earth tomorrow and destroys a city?
[00:12:08.751 --> 00:12:11.432]  Are they gonna say this is because the people of Earth have been bad?
[00:12:11.452 --> 00:12:13.293]  That meteor just came from space?
[00:12:13.513 --> 00:12:15.595]  It's a very primitive control apparatus.
[00:12:15.915 --> 00:12:19.797]  It's how chiefs and medicine doctors use to control and shaman would control the people.
[00:12:20.077 --> 00:12:21.938]  Saying, oh, if you're not good the crops won't come.
[00:12:22.258 --> 00:12:23.859]  Oh, the environment, if we're not good.
[00:12:24.319 --> 00:12:28.262]  I don't want to eat a piece of meat that's got dioxins in it from plastics production.
[00:12:28.662 --> 00:12:37.369]  I don't want them dumping nickel cadmium and heavy metal grignard reagents in the waters so my kids are deformed.
[00:12:37.429 --> 00:12:38.049]  I don't want that.
[00:12:38.109 --> 00:12:38.950]  I'm for the environment.
[00:12:39.250 --> 00:12:51.319]   But these international corrupt people financing global population control, which is just nothing more but dictators' excuses to kill men, women, and children, and girls in slave labor camps in China making Nikes, You call that good?
[00:12:51.620 --> 00:13:00.608]  And all these Hollywood people that say they love you are the ones that speak out against slave labor, are the ones you find out later, are the ones that own all the sweatshops making their clothes lines?
[00:13:00.968 --> 00:13:02.129]  They're all hypocrites!
[00:13:03.050 --> 00:13:04.971]  They're all hypocrites using you!
[00:13:05.932 --> 00:13:08.615]  So here it is, Global Plan to Fight Infectious Diseases Sought.
[00:13:08.655 --> 00:13:22.083]   I haven't read this yet, but... Washington, a new plan to coordinate International efforts to track and combat infectious diseases will be announcing by the leaders of the G7 Group of Industrial Nations at this weekend's summit in Denver.
[00:13:22.384 --> 00:13:24.305]  White House aides said Monday!
[00:13:24.846 --> 00:13:28.309]  And the combustion engine is the greatest threat to civilization!
[00:13:28.549 --> 00:13:30.151]  Like Al Gore says in Earth and the Balance.
[00:13:30.571 --> 00:13:31.692]  No, Mr. Gore!
[00:13:31.912 --> 00:13:35.175]  The combustion engine is civilization!
[00:13:35.195 --> 00:13:37.858]  And the combustion engine's getting cleaned up!
[00:13:38.298 --> 00:13:41.361]  Because we're putting catalytic converters on the cars!
[00:13:41.662 --> 00:13:46.787]  Just like we got the horses out of the streets a hundred years ago, and we don't have a horse manure problem anymore!
[00:13:46.807 --> 00:13:48.548]  Humans move forward!
[00:13:48.849 --> 00:13:50.690]  I know the bureaucrats don't want that.
[00:13:50.931 --> 00:13:52.652]  You want us to stay down and lowly.
[00:13:52.631 --> 00:13:55.191]  You don't want us to transcend, do you?
[00:13:55.191 --> 00:14:01.191]  [Music]
[00:14:01.191 --> 00:14:05.191]   The majority of the elite are leaning towards, this is a public declaration,
[00:14:05.191 --> 00:14:09.190]  towards the orderly extermination of the mass.
[00:14:09.572 --> 00:14:19.798]  They're not going to just have big robotic factories making brain pods, you know, iPods that go, that plug right into your head, or right through the neural network, right through your eyes.
[00:14:20.238 --> 00:14:23.480]  They're not going to get, you're not going to have that, you're not going to get that.
[00:14:24.355 --> 00:14:30.261]  You're not going to get life extension technologies when they're six and a half billion, going to be eight billion by the time they've really got that shirt up.
[00:14:30.561 --> 00:14:33.480]  (electronic music)
[00:14:33.480 --> 00:14:46.821]  The elite.
[00:14:46.821 --> 00:14:54.381]   I understand, Rourke, you heard about free supply, you heard about mechanized robotic factories so advanced
[00:14:54.381 --> 00:14:57.381]  that you will be able to lay a rat on your hind end all day.
[00:14:57.381 --> 00:15:07.381]  [BLANK_AUDIO]
[00:14:58.758 --> 00:15:03.261]  And that is actually coming in the manufacturing industrial singularity.
[00:15:04.182 --> 00:15:05.463]  There will be many singularities.
[00:15:06.283 --> 00:15:08.885]  Different steps towards the true singularity.
[00:15:09.798 --> 00:15:11.099]  Which is a mathematical fact.
[00:15:11.499 --> 00:15:14.681]  And you better not want the singularity because it means the end of the species.
[00:15:15.001 --> 00:15:16.462]  And it means not even being able to grasp.
[00:15:16.882 --> 00:15:23.566]  You know there aren't, there is no one on the earth who can grasp all the computer technological systems and how they interface and how they run.
[00:15:23.847 --> 00:15:59.847]   And what's happened is humans and human technicians and computer scientists man and oversee with an organic augmentation the computing systems and the Artificial neural networks that have been created and they oversee their different sciences and then attempt to merge those together and are building computer systems that compute and integrate and design other computers and it's basically already, with the technology we know about, not just the suppressed technology, but the technology that we know about, basically already out of human hands.
[00:15:59.947 --> 00:16:08.417]   We might, if we had a full conscience movement towards full disclosure and investigation, And control, be able to slow this down.
[00:16:09.858 --> 00:16:12.780]  You know, in the past, it took a hundred years for major developments to happen.
[00:16:12.820 --> 00:16:14.281]  Now it's happening every six months.
[00:16:16.483 --> 00:16:31.453]  And so, yes, the elite made the decision as early as I can tell, about 80 years ago, that manufacturing in the future, and they even successfully predicted when that would be, turned to the new century.
[00:16:34.688 --> 00:16:48.675]  Here I am in the year 2002 laying out what we are now living.
[00:16:50.316 --> 00:16:57.880]  Open world government has now been announced and it's endgame is complete and total shutdown of civilization as we know it in mass death.
[00:16:58.860 --> 00:17:02.282]  Prepare yourselves and resist with everything you've got.
[00:17:04.687 --> 00:17:16.486]  Be as wise as serpents and peaceful as doves, but fight like your life depends on it in the information war peacefully to warn the world that if you think things are bad now, they're about to get a thousand times worse.
[00:17:17.253 --> 00:17:18.693]  The facts and common sense are in.
[00:17:18.854 --> 00:17:20.494]  Yes, there have been corrupt empires.
[00:17:20.634 --> 00:17:21.734]  Yes, they manipulate.
[00:17:21.874 --> 00:17:23.555]  Yes, there are secret societies.
[00:17:23.895 --> 00:17:25.996]  Yes, there have been oligarchies throughout history.
[00:17:26.316 --> 00:17:43.041]  And yes, today, in 2002, there is a tyrannical organization calling itself the New World Order, pushing for worldwide government, a cashless society, open borders, total and complete tyranny.
[00:17:44.042 --> 00:17:46.765]  We're human beings are absolutely worthless.
[00:17:47.345 --> 00:17:56.294]  There's six and a quarter plus billion of us, and the globalists have said it many times, there's too many of us, we're causing a problem, we need to be cold at the tune of 80%.
[00:17:56.435 --> 00:18:12.024]   It's amazing to talk about that, but it's the globalists, the UN, their own public statements, and they've convinced a lot of Liberals and elitist conservatives and others, that by going along with this, that we're intelligent members of society.
[00:18:12.765 --> 00:18:15.946]  It's the ultimate Malthus worldview.
[00:18:16.146 --> 00:18:23.328]  It is this radical, virulent form of social Darwinism.
[00:18:23.428 --> 00:18:26.149]  It's the excuse of tyrants.
[00:18:27.256 --> 00:18:41.005]  And by creating open borders where there's no national sovereignty and only global bodies that control all the resources, by centralizing and socializing health care, the state becomes God, basically, when it comes to your health.
[00:18:41.164 --> 00:18:47.164]   and then by releasing diseases and viruses and plagues upon us, we then basically get
[00:18:47.164 --> 00:18:48.164]  shoved into their system.
[00:18:48.164 --> 00:18:54.404]  All right, ladies and gentlemen.
[00:18:54.903 --> 00:19:00.485]  I normally play new breaking news and promos at the start of the show because I think that's some of the most important information we have.
[00:19:00.525 --> 00:19:01.625]  Gregory's reports and others.
[00:19:02.686 --> 00:19:04.586]  But today I got in here about an hour before.
[00:19:04.606 --> 00:19:09.327]  I've been getting ready for hours at home and I was going over all the news and getting ready for what I was going to cover.
[00:19:09.767 --> 00:19:19.170]  The whole world government announcement and what the end game of that world government is publicly and the key word global Marshall Plan, which I've warned you would be when they make their main move.
[00:19:19.730 --> 00:19:21.871]  We have Prince Charles saying this is a military action.
[00:19:22.751 --> 00:19:27.354]  We're going to spend more money than exists in the whole world to end carbon as we know it.
[00:19:27.394 --> 00:19:28.655]  We're a carbon-based life form.
[00:19:28.695 --> 00:19:32.078]  In fact, I forgot to tell you guys to get that again from six months ago or five months ago.
[00:19:32.998 --> 00:19:42.385]  Prince Charles says that we need to make it a global military campaign to decarbonize when life is carbon-based on this planet.
[00:19:42.745 --> 00:19:43.766]  He's made new announcements.
[00:19:43.786 --> 00:19:44.566]  We've got all those.
[00:19:44.626 --> 00:19:45.707]  It's just insane.
[00:19:46.388 --> 00:19:48.909]  We are now living in what we warned about for so long.
[00:19:49.778 --> 00:19:59.145]  But I had to run a rebroadcast and play some important old reports and things and some new reports because I don't choke when it comes to stress or being under attack.
[00:20:00.126 --> 00:20:11.014]  But right before the show, about 20 minutes before, a bunch of big developments happened, all of them good, that I just can't even get out of my mind right now.
[00:20:11.575 --> 00:20:14.157]  But I cannot release the information at this point.
[00:20:16.218 --> 00:20:19.920]   And so We have a very special guest.
[00:20:19.980 --> 00:20:24.585]  Federal court just ruled that they could not shut down his church and that it was unconstitutional during the lockdowns.
[00:20:24.605 --> 00:20:27.969]  That pastor is going to be joining us in the second hour and I will be here for that.
[00:20:28.009 --> 00:20:28.950]  That is a big deal.
[00:20:28.970 --> 00:20:30.472]  Of course, we knew that had to happen.
[00:20:30.532 --> 00:20:32.574]  We saw any semblance of freedom.
[00:20:32.955 --> 00:20:38.461]  Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof.
[00:20:39.062 --> 00:20:42.726]  Then it goes on to the right of the press, the right to assemble, and the regressive grievances.
[00:20:43.407 --> 00:20:43.567]  L.A.
[00:20:43.607 --> 00:20:50.694]  pandemic restrictions, Louisiana pandemic restrictions, violated religious rights, court rules, Pastor Tony Spell takes a victory lap.
[00:20:50.955 --> 00:20:52.636]  That's NBC News.
[00:20:53.357 --> 00:20:54.638]  But it's not gotten a lot of attention.
[00:20:54.679 --> 00:20:55.499]  That's local news.
[00:20:55.740 --> 00:20:57.642]  He's joining us, and we've got so much more to hit.
[00:20:58.483 --> 00:21:07.933]   And I'm really prepared here today, too, but I We may just have to call Owen and get him in here, because I don't know if I can do the show.
[00:21:08.273 --> 00:21:23.036]  So the stuff going on is that big, and I need to process this, and I need to... Man, I tell you, I mean... I'm not going to get to it yet.
[00:21:23.135 --> 00:21:28.894]   I can't half-ass this and I've got to go sit in my office for 10-15 minutes and cogitate
[00:21:28.894 --> 00:21:32.894]  on this because I just...
[00:21:32.894 --> 00:21:33.894]  Man.
[00:21:33.894 --> 00:21:40.296]   There's a lot of good news and a lot of really bad news as well.
[00:21:41.268 --> 00:21:49.439]  And I was already going to come in here and cover the bad news so we can get positioned to deal with it and be in a fighting stance.
[00:21:50.541 --> 00:21:53.585]  And then this other information came in and it's just unbelievable.
[00:21:55.034 --> 00:21:55.855]  But it's on.
[00:21:56.095 --> 00:21:57.596]  The fight between good and evil is here.
[00:21:58.557 --> 00:22:02.319]  And a lot of people in the power structure have decided to not join with the New World Order.
[00:22:02.700 --> 00:22:04.441]  Now they see just how damn evil it is.
[00:22:04.461 --> 00:22:09.945]  Because we're now down to the point of literally cutting off the food, the water, not just the baby formula, the electricity.
[00:22:11.566 --> 00:22:13.908]  That's how they're going to win their fight against us is shut everything down.
[00:22:14.288 --> 00:22:16.429]  And what I'm saying is life and death.
[00:22:16.610 --> 00:22:19.031]  So please, just take a moment.
[00:22:19.111 --> 00:22:20.672]  Imagine you can hear a pin drop.
[00:22:21.453 --> 00:22:31.780]   Because I want what I'm about to say to really get home, okay?
[00:22:31.780 --> 00:22:37.780]   If the globalists think they can get away with their operation, they're going to do it.
[00:22:37.834 --> 00:22:43.779]  And they've already done a stress test in the last two years with the COVID lockdowns as a beta test for the next big move.
[00:22:44.419 --> 00:22:52.866]  Planetary collapse, mass riots, mass migration, war in the streets, total crime, UN takeover of what's left.
[00:22:53.146 --> 00:22:56.309]  It is all in progress now.
[00:22:57.770 --> 00:23:02.673]   And by the time the general public figures it out, It'll be too late to reverse it.
[00:23:03.374 --> 00:23:04.695]  We'll win long term.
[00:23:04.735 --> 00:23:09.299]  There's a lot of scenarios I've crawled through psychologically, mentally, spiritually.
[00:23:12.382 --> 00:23:13.243]  We will prevail.
[00:23:15.365 --> 00:23:22.071]  But the globalists were put in power by Satan to carry this out, and they're slaves, and they will execute this attempt.
[00:23:23.212 --> 00:23:27.405]   And so That's where we are right now.
[00:23:27.845 --> 00:23:32.627]  And to say I'm speechless is basically what we're at.
[00:23:32.887 --> 00:23:35.528]  I need to compartmentalize the information I'm not ready to release yet.
[00:23:36.348 --> 00:23:37.269]  And I normally can do that.
[00:23:37.449 --> 00:23:39.389]  I'm trying to right now, but it's the front of my mind.
[00:23:40.490 --> 00:23:42.630]  And then I need to just judiciously cover this news.
[00:23:42.690 --> 00:23:53.514]  I'm going to do the show, but I've got to really go sit down for at least two minutes by myself and just really get some focus here.
[00:23:56.716 --> 00:23:59.997]  Man, it's unbelievable.
[00:24:01.178 --> 00:24:02.398]  Everything is so unbelievable now.
[00:24:03.679 --> 00:24:06.540]  And I just can't believe so many people don't know what they've signed on to.
[00:24:06.560 --> 00:24:07.660]  I mean, God help us.
[00:24:07.720 --> 00:24:08.260]  And I mean that.
[00:24:08.340 --> 00:24:09.621]  God, please help us.
[00:24:10.241 --> 00:24:14.583]  I think we all just need to pray for justice and pray for an awakening and pray to come together and have love.
[00:24:15.703 --> 00:24:18.084]  And none of us are perfect, but God can perfect us.
[00:24:19.046 --> 00:24:42.865]   And with through God we are perfected and I just pray that God send the Holy Spirit to me and everybody else to be stronger than ever so that we can try to avert this because I have an extreme feeling of responsibility knowing all this try to stop it I know you do as well and I I mean, there'll be a billion dead people in two years under this plan, conservatively.
[00:24:42.885 --> 00:24:46.247]  Can you imagine what that's going to look like?
[00:24:46.347 --> 00:24:48.629]  What that's going to entail?
[00:24:49.930 --> 00:24:50.910]  And of course, this is all real.
[00:24:50.950 --> 00:24:52.131]  You see it now, it's all happening.
[00:24:52.151 --> 00:25:01.078]  But I mean, it really needs to sink in that they are running an operation to kill us.
[00:25:02.419 --> 00:25:03.439]  And that they enjoy it.
[00:25:03.800 --> 00:25:04.340]  And they like it.
[00:25:05.401 --> 00:25:06.261]  And we've got to stop them.
[00:25:07.042 --> 00:25:08.363]  I mean, we're not going to let them kill everybody.
[00:25:09.195 --> 00:25:09.775]  We gotta do it!
[00:25:11.076 --> 00:25:12.756]  Alright, get right with God, folks.
[00:25:13.516 --> 00:25:15.897]  I'm gonna try to get focused and just come back and cover the news.
[00:25:16.457 --> 00:25:17.358]  We'll see if I can do it.
[00:25:17.378 --> 00:25:17.798]  Stay with us.
[00:25:18.658 --> 00:25:26.681]  We have got to warn the people that criminals have hijacked our government and are waging war against the nation to bring us to our knees financially.
[00:25:28.661 --> 00:25:29.641]  We have to stop them.
[00:25:30.502 --> 00:25:31.002]  We have to.
[00:25:32.290 --> 00:25:34.792]  Demand the Republicans move for impeachment immediately.
[00:25:35.472 --> 00:25:40.376]  Even though they don't have all the votes, it will expose the Democratic Party and what they're doing and who they are controlled by.
[00:25:40.396 --> 00:25:43.678]  And it will expose Republicans that are in league with them.
[00:25:43.718 --> 00:25:44.359]  It must be done.
[00:25:45.079 --> 00:25:47.041]  That's just one of the default settings.
[00:25:47.801 --> 00:25:54.406]  If you're in a factory and something blows up and a guy's on fire, you grab a fire extinguisher and put him out.
[00:25:55.587 --> 00:25:56.828]  That's just the fire extinguisher.
[00:25:58.049 --> 00:26:00.611]  We've got to continue to educate people as fast as we can.
[00:26:01.111 --> 00:26:06.075]  We are really entering an incredibly explosive moment where the globalist propaganda has totally failed.
[00:26:06.596 --> 00:26:11.399]  Everybody's turning against them, but they still have the centralized power and are accelerating their program.
[00:26:11.920 --> 00:26:13.661]  And it is just super dangerous.
[00:26:15.343 --> 00:26:16.784]  And I've got the stacks right here.
[00:26:17.995 --> 00:26:20.096]  It's on Infowars.com, Zero Hedge article.
[00:26:20.516 --> 00:26:23.898]  Biden administration anticipating wave of summer violence over Roe v. Wade.
[00:26:24.238 --> 00:26:25.639]  They're the ones that are going to be violent.
[00:26:25.979 --> 00:26:28.580]  I told you going into the midterms they were going to pull this.
[00:26:29.100 --> 00:26:30.781]  And it's like clockwork happening.
[00:26:32.159 --> 00:26:32.639]  So we've got that.
[00:26:32.759 --> 00:26:34.720]  And then we've got reports like this.
[00:26:34.740 --> 00:26:36.460]  I mean, it's just, all of these are so insane.
