[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[00:04:34.997 --> 00:04:44.647]  And their excuse for this abomination of justice is they claim that Jones failed to provide them with the incriminating evidence that they imagine must exist.
[00:04:45.368 --> 00:04:55.816]   Whatever that mysterious unspecified evidence is, Both judges have stripped Jones of his First Amendment right, but Judge Gamble has gone much further.
[00:04:56.436 --> 00:05:04.061]  Judge Maya Gamble comes from CPS, who has been exposed for human trafficking and working with pedophiles.
[00:05:04.561 --> 00:05:15.868]  Gamble helped publish CPS propaganda, praising the state's authority and advising parents that it's normal for their children to lie about being abused in foster care.
[00:05:16.688 --> 00:05:28.133]  In the Alex Jones case, Judge Gamble has ordered that the words First Amendment and free speech cannot be used by Alex Jones, his witnesses, or even his lawyers.
[00:05:28.853 --> 00:05:30.814]  He is not allowed to defend himself.
[00:05:31.535 --> 00:05:39.798]  Judge Gamble has instructed that the jury is not allowed to hear about the emotional trauma caused by the mass murderer who killed the children.
[00:05:40.459 --> 00:05:45.501]  They are only allowed to hear how their trauma was caused by the words of Alex Jones.
[00:05:46.421 --> 00:05:54.344]  And during jury selection, not a single juror thought the media has ever treated Alex Jones or InfoWars unfairly.
[00:05:55.245 --> 00:06:02.408]  And any juror who questioned the $100 million amount casually discussed by the plaintiff's lawyers were kicked off the jury.
[00:06:03.650 --> 00:06:11.534]  Alex Jones was cancelled from social media in 2018 and is now being cancelled from the US Bill of Rights and Constitution.
[00:06:12.334 --> 00:06:15.536]  And because of our complacency, everyone else is next.
[00:06:16.296 --> 00:06:22.779]  And in case you were wondering, the way we used to do justice was a thing called innocent until proven guilty.
[00:06:23.459 --> 00:06:26.981]  It relied upon the burden of proof and it was pretty good.
[00:06:28.282 --> 00:06:30.803]  Reporting for InfoWars, this is Greg Reese.
[00:06:32.054 --> 00:06:36.935]  Ladies and gentlemen, it's Wednesday, July 27, 2022.
[00:06:37.936 --> 00:06:45.798]  I'm your host, Alex Jones, coming to you from the embattled Infowar Studios in Austin, Texas, transmitting and broadcasting worldwide.
[00:06:47.038 --> 00:06:48.739]  Thank you again for joining us today.
[00:06:49.519 --> 00:06:58.582]  We're living inside the New World Order now, and everything they're doing to us, as I told you four years ago with deplatforming and censorship, is going to be done to you, and now they're announcing it is.
[00:07:00.129 --> 00:07:12.244]  I have ABC News, I have NBC News, I have CNBC, I have Reuters, all saying Jones has been found guilty of defamation and intentional distress and all this other BS.
[00:07:13.406 --> 00:07:15.748]  And now a jury will decide how much he pays.
[00:07:17.193 --> 00:07:27.242]  And they're just shoehorning in this system that they've been using in CPS and the family courts now into all of the courts where all due process is erased.
[00:07:27.342 --> 00:07:38.351]   And that's why they're now running for office CPS lawyers, CPS judges, CPS operatives that have been on the side of taking children For office.
[00:07:38.391 --> 00:07:52.556]  That's who Soros is funding as judges, like the judge here in Austin, Texas, that is no judge at all in my view, but someone will go down the history books as the example of a kangaroo court, of the weaponized judiciary, of a show trial.
[00:07:53.456 --> 00:08:00.298]  And she just sat there yesterday, four times when I saw it, and I was only there half a day, where I was told it was in the news, she said it more and more to the jury.
[00:08:00.538 --> 00:08:01.679]  He's guilty, remember that.
[00:08:01.959 --> 00:08:03.859]  He's guilty and he's not sorry.
[00:08:04.480 --> 00:08:05.180]  And he's bad.
[00:08:07.110 --> 00:08:09.032]  That's like something out of North Korea.
[00:08:10.333 --> 00:08:11.514]  But this is what they're doing.
[00:08:12.235 --> 00:08:13.496]  This is what they're engaged in.
[00:08:13.697 --> 00:08:21.885]  And then she allowed, like, 20 news cameras outside down the hall there on the top floor of the courthouse.
[00:08:22.445 --> 00:08:26.649]  And everybody's out there talking and yelling at me and screaming, you're guilty, Alex Jones, you're going down.
[00:08:26.669 --> 00:08:27.690]  We have video of it all.
[00:08:28.251 --> 00:08:31.935]  But then I walk out during a 20-minute break, and I talk to the press.
[00:08:33.234 --> 00:08:41.399]  And she comes running down the hall, the deputies, and she's just coming to the chambers, and she says, you're not allowed to talk on this floor.
[00:08:43.840 --> 00:08:44.781]  And on the other floors.
[00:08:44.901 --> 00:08:45.922]  You gotta go to the basement.
[00:08:46.662 --> 00:08:48.863]  And then we went down to the basement, the basement is closed.
[00:08:51.845 --> 00:08:53.806]  Isn't that hilarious, ladies and gentlemen?
[00:08:54.326 --> 00:09:01.211]  And there's some footage of me just calmly talking to the bank of cameras and media that you can't see because they're aimed at me.
[00:09:02.210 --> 00:09:06.411]  This is the massive thought crime that I engaged in, ladies and gentlemen.
[00:09:06.531 --> 00:09:19.194]  And Chep Smith, with his failed show over at CNBC, comes in and says Jones is already guilty, doesn't mention by a judge, and now will decide how much he owes the families.
[00:09:19.494 --> 00:09:20.274]  And they're saying $150 million.
[00:09:20.314 --> 00:09:20.374]  Wow!
[00:09:20.394 --> 00:09:21.134]  Very, very interesting.
[00:09:21.154 --> 00:09:21.615]  $150 million.
[00:09:21.454 --> 00:09:30.774]   dollars. Wow! Very, very interesting. A hundred and fifty million dollars. If you
[00:09:30.774 --> 00:09:34.614]   go back over six, seven, eight years, that's that's how much money we brought
[00:09:34.614 --> 00:09:38.414]   in from selling products, but that's not how you pay for the man with the crew,
[00:09:38.414 --> 00:09:42.574]  the legal, all the stuff. That money all goes away.
[00:09:40.803 --> 00:09:54.252]  150 million bucks, didn't want it used to be, but they picked that number because now they're going to go next week and describe my net worth, and they have experts that are going to tell you I'm worth hundreds of millions of dollars.
[00:09:55.293 --> 00:10:01.857]  Even though, ladies and gentlemen, if I sold my house and sold everything I've got, I would have a couple million dollars.
[00:10:02.538 --> 00:10:04.339]  But the point is, I don't even care about that.
[00:10:04.719 --> 00:10:09.982]  I care about freedom and justice, and they are wrecking it and they are murdering it right in front of us.
[00:10:10.022 --> 00:10:15.125]  But they're doing it across the board, across not just the U.S., but across the world.
[00:10:15.185 --> 00:10:17.066]  It's the exact same plan.
[00:10:17.347 --> 00:10:21.509]  The judges, the district attorneys, the county attorneys, the U.S.
[00:10:21.549 --> 00:10:44.181]   attorneys, the state attorney generals, The majority of them are now Soros, hardcore leftist, and they know this is their criminal takeover, and they have confidence, and they believe they're going to beat the American people, and they believe they're going to make us all their slaves, and treat us all like poor families, where they take their children away, and basically sell them into the system.
[00:10:45.162 --> 00:10:47.564]  This is nothing but human trafficking writ large, in my view.
[00:10:47.924 --> 00:10:49.205]  That's why the borders are wide open.
[00:10:49.445 --> 00:10:58.758]   They found that Obama, Senate report six years ago, That Obama did traffic tens of thousands of children into sex slavery knowingly?
[00:11:00.639 --> 00:11:03.800]  So that's what this whole thing is about, ladies and gentlemen.
[00:11:04.560 --> 00:11:06.081]  And that's where this is all going.
[00:11:06.121 --> 00:11:07.782]  These are very dangerous gangsters.
[00:11:08.422 --> 00:11:14.704]  These are very serious people that have broken the southern border completely and are smuggling millions across every few months.
[00:11:15.345 --> 00:11:17.325]  Hundreds of thousands of children disappearing.
[00:11:17.686 --> 00:11:21.827]  I've witnessed them giving babies to people that aren't their parents with no paperwork at airports.
[00:11:22.087 --> 00:11:23.008]  We've shown you the footage.
[00:11:23.168 --> 00:11:28.429]   I mean, What the South Texas looks like is about to be the whole country.
[00:11:29.509 --> 00:11:38.171]  And they have judges, like this lady, presiding over the takedown, and just the, oh, you don't get jury trials anymore.
[00:11:39.291 --> 00:11:45.593]  You're just guilty because the judge says, and then the jury is told you're guilty, and then how much trouble are you in?
[00:11:47.357 --> 00:11:58.360]  And I've now learned, because I didn't watch much of the jury selection Monday, that a bunch of people, including a lot of minorities and people, were saying, well, I think as a juror, I'm supposed to decide if he's guilty.
[00:11:58.560 --> 00:11:59.620]  Strzok, you're not on here.
[00:12:00.740 --> 00:12:07.142]  And remember, she put an order out saying, I am not allowed to talk about the First Amendment or to say I'm innocent.
[00:12:08.622 --> 00:12:12.123]  And my lawyer will be sanctioned if he says I'm innocent.
[00:12:13.476 --> 00:12:18.298]  So you go in, they make you come to court, and then they say you've got to say you're guilty.
[00:12:18.318 --> 00:12:19.318]  Well, I'm not going along with it.
[00:12:21.319 --> 00:12:34.984]  Can't mention the First Amendment, can't say you're innocent, and then yesterday issued a ruling that all the videos where I said, hey, I covered all sides of the sanding hook, I'm sorry, I would hurt your feelings, I think it happened, but some of the anomalies weren't true.
[00:12:35.024 --> 00:12:35.684]  I've been saying that since 2015.
[00:12:38.424 --> 00:12:39.925]  She said, you can't say that.
[00:12:40.545 --> 00:12:42.487]  Because they've got to rig everything.
[00:12:43.127 --> 00:12:52.873]  Because what they say I did, this campaign of lies, this making money off Sandy Hook, when they're evidence against me, it's 24 minutes of videos.
[00:12:54.194 --> 00:12:57.016]  And I have a right to say those things that I said in the context.
[00:12:58.877 --> 00:13:03.340]  So, ladies and gentlemen, I'm going to not really get into that much more this hour.
[00:13:04.758 --> 00:13:05.679]  Robert Barnes is coming in.
[00:13:05.699 --> 00:13:08.001]  We'll get more into it then.
[00:13:09.883 --> 00:13:12.666]  But it really is incredible to watch how they're trying to deceive you.
[00:13:12.926 --> 00:13:16.190]  But you don't tune in to just hear about what's happened to Alex Jones, even though this affects everybody.
[00:13:16.470 --> 00:13:17.291]  It's a microcosm.
[00:13:17.831 --> 00:13:21.715]  You tune in to get the latest on what's breaking out in the world, and it is insane.
[00:13:22.736 --> 00:13:25.820]  I could spend the next hour on an 11-minute speech Biden put out.
[00:13:26.954 --> 00:13:28.015]  From the White House officially.
[00:13:28.615 --> 00:13:31.096]  People thought it was a deep fake when it first hit Twitter yesterday.
[00:13:31.116 --> 00:13:33.657]  And they went and checked and no, it's on the White House website.
[00:13:34.318 --> 00:13:35.538]  Completely insane.
[00:13:36.039 --> 00:13:38.100]  In 11 minutes, he blinks six times.
[00:13:39.861 --> 00:13:45.323]  I mean, he looks like an animatronic robot at Chuck E. Cheese or something.
[00:13:46.624 --> 00:13:52.427]  I mean, ladies and gentlemen, this looks like the intro to a horror movie or something where body snatchers have taken over.
[00:13:53.427 --> 00:13:56.246]   So, This happens in human civilization.
[00:13:56.306 --> 00:13:58.388]  It normally collapses civilization for at least a time.
[00:13:58.889 --> 00:14:03.615]  When the good people let crazies get in charge, we let them be in control.
[00:14:03.635 --> 00:14:10.023]  And they always start assaulting reality and assaulting common sense and assaulting due process and assaulting logic.
[00:14:10.603 --> 00:14:13.086]  And people keep acquiescing until everything disintegrates.
[00:14:14.295 --> 00:14:16.117]  And that is now the point we've entered at every level.
[00:14:17.078 --> 00:14:19.701]  They've now said that recessions and depressions are actually good for you.
[00:14:20.221 --> 00:14:22.984]  They're now officially saying the school lunch program will be bugs.
[00:14:23.505 --> 00:14:24.666]  It already is in Canada.
[00:14:24.706 --> 00:14:26.488]  The government's rolling out bugs as the new food.
[00:14:27.129 --> 00:14:28.530]  They're banning beef all over Europe.
[00:14:29.191 --> 00:14:30.072]  90 plus percent of the cows.
[00:14:30.812 --> 00:14:32.474]  And it's only going to get worse faster.
[00:14:32.574 --> 00:14:33.615]  This is the big move.
[00:14:34.036 --> 00:14:35.678]  Everything else up until now was beta.
[00:14:36.937 --> 00:14:48.962]  They're making their move now to take your right to self-defense, to take your right to due process, to take your right to not pay for tens of millions of illegals pouring in after the globalists collapsed their countries with two plus years of lockdowns.
[00:14:49.823 --> 00:15:12.877]   But when we come back, the really, really big news that ties together with the accelerated design collapse, the UN has announced, the head of the UN has announced, and the head of the World Health Organization has announced, the puppet of Soros, the puppet of Bill Gates, The UN is directing social media under the global emergency and they have agreements, so you're going to see UN pop-ups again.
[00:15:12.897 --> 00:15:20.540]  Remember what happened during the Pfizer shots causing heart attacks and the doctor said, yeah, this young college student in great shape had a heart attack from it?
[00:15:21.100 --> 00:15:23.141]  They said, even though it's true, it's still hurtful.
[00:15:23.161 --> 00:15:24.641]  It may keep others from tagging it.
[00:15:24.701 --> 00:15:26.082]  You're not allowed to be on Facebook.
[00:15:26.482 --> 00:15:27.383]  Your account is banned.
[00:15:28.023 --> 00:15:30.644]  That was a Yahoo announcement from the UN.
[00:15:32.213 --> 00:15:33.654]  So the UN is taking direct control.
[00:15:33.874 --> 00:15:42.581]  They've called for global censorship of all of their opposition today, ahead of the monkeypox and the Marburg virus.
[00:15:42.621 --> 00:15:43.722]  They say it's Ebola-like.
[00:15:44.222 --> 00:15:45.263]  So new lockdowns are coming.
[00:15:45.283 --> 00:15:46.404]  We've got that whole stack here.
[00:15:46.424 --> 00:15:52.108]  The head of the Federal Reserve saying recession's good for you, and just so much more gaslighting.
[00:15:52.488 --> 00:15:56.431]  Oh, and they're officially naming at the federal level breastfeeding man-feeding.
[00:15:57.612 --> 00:16:01.355]  The COVID crisis was the beginning of the collapse of civilization by design.
[00:16:02.967 --> 00:16:12.155]  World ID's, carbon taxes, social credit scores, universal basic income, total neo-fascistic slavery.
[00:16:13.556 --> 00:16:26.367]  Here is the UN head directing the quote social media, that's the panopticonic surveillance system, to censor anyone pointing out that they're overblowing monkey pox.
[00:16:26.387 --> 00:16:26.748]  Here it is.
[00:16:27.367 --> 00:16:33.252]  Stigma and discrimination can be as dangerous as any virus and can fuel the outbreak.
[00:16:34.713 --> 00:16:41.459]  As we have seen with COVID-19, misinformation and disinformation can spread rapidly online.
[00:16:42.239 --> 00:16:53.289]  So we call on all social media platforms, tech companies and news organizations to work with us to prevent and counter harmful information.
[00:16:54.520 --> 00:16:58.523]  They did this 32 months ago when they launched the last major phase of the takeover.
[00:16:59.503 --> 00:17:07.468]  So when you hear world famine worse than any time in history, Americans worse off than any time since the depression because of COVID.
[00:17:07.528 --> 00:17:11.491]  No, it's because of them launching the fear, them launching the poison shot.
[00:17:12.191 --> 00:17:14.233]  All of it shows the statistics are they're killing us.
[00:17:16.343 --> 00:17:17.403]  So here's the New York Times.
[00:17:17.464 --> 00:17:19.825]  What to know about the Marburg virus disease?
[00:17:19.985 --> 00:17:20.965]  Oh, it's like Ebola.
[00:17:21.505 --> 00:17:24.987]  Look out, it's popped up all over different parts of Asia supposedly.
[00:17:27.408 --> 00:17:28.328]  ABC News.
[00:17:28.809 --> 00:17:33.311]  Ghana declares first ever outbreak of Ebola-like Marburg virus disease.
[00:17:35.432 --> 00:17:37.613]  Now we gotta lock everything down again.
[00:17:38.909 --> 00:17:39.069]  L.A.
[00:17:39.109 --> 00:17:43.071]  County may reinstate mass mandate, but some cities are already pledging to be defiant.
[00:17:43.191 --> 00:17:44.452]  Yes, phase two is coming.
[00:17:44.832 --> 00:17:45.213]  Stop it.
[00:17:45.573 --> 00:17:50.996]  Member of European Parliament labels COVID vaccine coercion, worst crime ever committed in humanity.
[00:17:52.777 --> 00:18:00.161]  Deaths from unknown causes are now the leading killer in Alberta, Canada, following the rollout of the experimental vaccine.
[00:18:00.541 --> 00:18:02.322]  Similar numbers all over the world.
[00:18:04.946 --> 00:18:05.847]  Coming up, we'll play the clip.
[00:18:05.867 --> 00:18:12.230]  Tucker Carlson points out with Mainline Studies that women are having record-level menstrual problems.
[00:18:12.810 --> 00:18:16.792]  In fact, women in the UK are missing two-thirds of their periods suddenly.
[00:18:17.833 --> 00:18:18.013]  Yep.
[00:18:18.033 --> 00:18:19.954]  Not gonna be having babies ever again.
[00:18:21.135 --> 00:18:24.056]  Workers lost $3.7 trillion in earnings during the pandemic.
[00:18:24.497 --> 00:18:26.298]  Women in Gen Z saw the biggest losses.
[00:18:27.058 --> 00:18:28.019]  But it wasn't a pandemic.
[00:18:28.059 --> 00:18:28.939]  It was a shutdown.
[00:18:29.219 --> 00:18:30.340]  Destroy the infrastructure.
[00:18:32.916 --> 00:18:37.916]   officials warn of brain swelling, vision loss in minors using puberty blockers,
[00:18:37.916 --> 00:18:43.596]   but it's okay. Billionaires made 3.3 trillion during the pandemic, enough to
[00:18:43.596 --> 00:18:49.955]   pay for everyone's vaccine, and it goes on and on from there. Researchers hack
[00:18:49.955 --> 00:18:57.876]   fly brains and control them remotely. What do you think they're doing to us? This
[00:18:57.876 --> 00:19:02.476]   powerful report, all these top scientists confirming nanotech in the Pfizer-Moderna
[00:19:02.476 --> 00:19:10.275]   shots, that's coming up as I mentioned a little bit later in the transmission.
[00:19:09.815 --> 00:19:12.055]  But first I wanted to move into this.
[00:19:12.075 --> 00:19:23.740]  Remember I said two years ago, two years ago, that if the economic collapse continued with lockdowns, you'd have worldwide starvation, the worst you've ever seen, and cannibalism in all major studies would explode.
[00:19:24.718 --> 00:19:25.578]  Look at these headlines.
[00:19:26.319 --> 00:19:28.299]  Biden Economic Advisor Claims U.S.
[00:19:28.359 --> 00:19:31.660]  Is Far Better Than Any Other Countries Where There's Famine.
[00:19:32.421 --> 00:19:32.841]  Wow!
[00:19:33.621 --> 00:19:42.104]  Inflation Hits New York City With Bacon, Egg, And Cheese Exploding In Prices.
[00:19:43.405 --> 00:19:45.765]  And the New York Times Says Cannibalism Is A Good Thing.
[00:19:46.045 --> 00:19:47.626]  Has Been Part Of A Good Thing In History.
[00:19:47.886 --> 00:19:49.687]  That We Should Embrace Cannibalism.
[00:19:50.612 --> 00:19:52.333]  They say cannibalism has a time and place.
[00:19:52.353 --> 00:19:53.914]  This is a special New York Times.
[00:19:54.494 --> 00:19:57.236]  Some recent books, films, and shows suggest that the time is now.
[00:19:57.676 --> 00:19:58.537]  Can you stomach it?
[00:19:59.403 --> 00:20:03.885]  They say for the carbon footprint to be lowered when you start eating the bodies of the dead.
[00:20:04.825 --> 00:20:05.885]  All dehumanizing you.
[00:20:06.646 --> 00:20:08.366]  All training you to accept any type of evil.
[00:20:08.666 --> 00:20:10.207]  Hey, you don't get a jury trial.
[00:20:10.567 --> 00:20:11.988]  You're just found guilty by a judge.
[00:20:12.308 --> 00:20:15.549]  Hey, you get checked by the TSA, but illegal aliens don't.
[00:20:16.069 --> 00:20:21.031]  Hey, just get used to all the checks and balances, all the protections being thrown out.
[00:20:22.131 --> 00:20:23.892]  Here's the New York Times, a taste for cannibalism.
[00:20:27.628 --> 00:20:30.510]  Increasingly desperate, Alex Jones says he will kill and eat his neighbors.
[00:20:31.231 --> 00:20:40.197]  And I said, this is satire, a modest proposal, famous, most famous piece of satire ever.
[00:20:40.217 --> 00:20:41.438]  But I said, I'm serious.
[00:20:41.938 --> 00:20:42.859]  This is where the world's going.
[00:20:42.879 --> 00:20:44.600]  This continues and they're going to push cannibalism.
[00:20:45.460 --> 00:20:46.101]  Predicted it all.
[00:20:47.082 --> 00:20:47.362]  Remember?
[00:20:47.402 --> 00:20:47.902]  Two years ago.
[00:20:49.383 --> 00:20:50.784]  Two years ago.
[00:20:51.264 --> 00:20:51.665]  Here it is.
[00:20:52.987 --> 00:20:56.088]  Canada's snack food is now made with crickets as primary ingredient.
[00:20:56.848 --> 00:20:58.568]  And they're rolling them out in the school lunch programs.
[00:20:59.348 --> 00:21:00.448]  You will eat the bugs.
[00:21:01.008 --> 00:21:04.089]  And FEMA says, get prepared now, there may not be enough food soon.
[00:21:04.349 --> 00:21:05.369]  But we're kooks and bad.
[00:21:05.609 --> 00:21:08.890]  We sell the highest quality, terrible food at the lowest prices at preparetoday.com.
[00:21:12.190 --> 00:21:13.131]  And it gets more insane.
[00:21:14.691 --> 00:21:17.171]  Yellen, recession doesn't mean what you think it means.
[00:21:17.231 --> 00:21:18.151]  It's now a good thing.
[00:21:18.532 --> 00:21:20.732]  Big Zero Hedge article on that.
[00:21:23.444 --> 00:21:25.125]  And they continue to gaslight everybody.
[00:21:25.225 --> 00:21:29.826]  AP instructs news media to avoid certain words when referring to transgender issues.
[00:21:30.206 --> 00:21:33.367]  And the encyclopedias are all changing the terms now to get rid of man and woman.
[00:21:34.808 --> 00:21:35.608]  That ties into this.
[00:21:35.628 --> 00:21:36.368]  You think I'm joking?
[00:21:37.148 --> 00:21:42.930]  The federal government has now come out with guidelines a few months ago calling it chest feeding.
[00:21:42.950 --> 00:21:43.630]  That's not enough.
[00:21:44.170 --> 00:21:48.912]  Now the Academy of Breastfeeding Medicine advocating hospitals use the term father's milk.
[00:21:51.124 --> 00:21:51.925]  You're like, that's insane.
[00:21:52.405 --> 00:21:55.527]  It's about getting you trained to accept total and complete insanity.
[00:21:56.648 --> 00:21:58.509]  Combination of videos on Infowars.com.
[00:21:58.889 --> 00:22:00.911]  Biden's Energy Secretary has a new statement out.
[00:22:01.251 --> 00:22:05.974]  Admits being obsessed with green transition, and that's why they're cutting our power off.
[00:22:07.595 --> 00:22:10.657]  See how that all works.
[00:22:11.938 --> 00:22:15.181]  See how the new world order operates.
[00:22:17.502 --> 00:22:23.722]   But the good news is, Humanity is waking up very, very fast.
[00:22:24.565 --> 00:22:26.812]  It's number one on seven of the charts.
[00:22:27.782 --> 00:22:33.026]  It's now number 52, as of last time I checked an hour ago, of books in the world.
[00:22:33.186 --> 00:22:33.927]  It goes to number one.
[00:22:33.947 --> 00:22:35.087]  It'll be the number one book in the world.
[00:22:35.488 --> 00:22:38.310]  It doesn't come out until late August, but it's being printed as we speak.
[00:22:38.890 --> 00:22:41.032]  It'll be shipping out in late August.
[00:22:41.392 --> 00:22:43.754]  I don't normally support Amazon, but we almost hit it to number one.
[00:22:43.774 --> 00:22:46.776]  And again, I will get some of that funding.
[00:22:46.816 --> 00:22:48.337]  It'll be dumped right into InfoWars.
[00:22:48.357 --> 00:22:51.159]  We're also selling the book and sign copies at InfoWarsStore.com.
[00:22:51.179 --> 00:23:02.657]   But the big issue is, Yuval Harari, the high priest of the World Health Organization, gives his book away on Amazon as part of a grant, telling you humans are over, the new world order is taking over.
[00:23:03.098 --> 00:23:06.520]  He's been number two on average.
[00:23:06.540 --> 00:23:13.884]  We're now number one in media studies, in history, in all of these other key charts.
[00:23:14.625 --> 00:23:16.906]  Let me show you some of those charts here that I've printed off.
[00:23:18.747 --> 00:23:21.349]  So you can see this here for yourself.
[00:23:22.759 --> 00:23:30.185]  Again, this is Amazon bestsellers, number one in history, ahead of Sapiens, his book he gives away.
[00:23:30.205 --> 00:23:33.527]  Of course, nothing's for free.
[00:23:33.547 --> 00:23:35.249]  They're teaching you their new religion.
[00:23:36.209 --> 00:23:38.691]  Just like Christians will hand out Bibles, they hand out their Bibles.
[00:23:39.292 --> 00:23:40.593]  You want to know the whole enemy battle plan?
[00:23:42.423 --> 00:23:55.793]  Go to infowarestore.com and get a copy there if you really want to support us as we get half the money of each sale there, or we get a couple bucks from each sale on Amazon, but I want to send them both to number one, and so please go to Amazon and get The Great Reset today.
[00:23:55.833 --> 00:23:58.115]  It's really freaking them out.
[00:23:59.276 --> 00:24:04.459]  It's going to go to number one unless they pull it, and if they do that, it'll just even blow up their face more.
[00:24:04.820 --> 00:24:10.004]  Alex's War is still number two on the Apple charts for pre-order.
[00:24:10.164 --> 00:24:11.505]  It drops.
[00:24:13.198 --> 00:24:13.758]  On Friday.
[00:24:14.359 --> 00:24:20.521]  I did not make the film, and it shows me in a good light, a bad light, a real light, but it is powerful and exposes the New World Order.
[00:24:21.261 --> 00:24:34.826]  That is just a mirror of the people and how awake they are, and how folks understand that the main enemy is the New World Order, and if you want the blueprint of how they're attacking you, their playbook, and how to stop them, you need the Great Reset and the War for the World by yours truly.
[00:24:35.286 --> 00:24:35.827]  Alex Jones.
[00:24:35.847 --> 00:24:38.708]  Steve Bannon called it the most important book since the Founding Fathers.
[00:24:38.728 --> 00:24:39.208]  We'll be right back.
[00:24:40.285 --> 00:24:41.726]  There's been a number of studies.
[00:24:41.746 --> 00:24:47.809]  The New York Times just did one about menstruating cycles and how that is affected by vaccines.
[00:24:49.850 --> 00:24:50.550]  Yeah.
